@relation EntrenamientoP1JACCH
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
178,418,0,228.11,409.451,0.018,247.281,409,0.018,262.452,409,0.016,278.78,409,0.017,290.447,409,0.016,299.259,408.685,0.018,306.5,407.5,0.016,314.306,407.231,0.017,321.989,407,0.017,329.664,403.779,0.016,333.882,402.559,0.017,340.025,403,0.016,350.405,403.901,0.02,362.633,403,0.017,372.416,401.646,0.018,389.471,400.422,0.016,400.229,398,0.016,414.279,396.965,0.017,428.303,397,0.016,438.451,400.49,0.017,453.562,403.712,0.016,463.698,404.94,0.031,473.657,407,0.015,482.567,407,0.016,485.532,407,0.133,480.018,413.964,0.018,474.585,417.415,0.017,468.703,424.729,0.018,463.678,431.983,0.015,458.345,440.54,0.017,448.44,448.448,0.017,430.973,460.355,0.019,416,472.5,0.017,393.652,485.554,0.017,370.793,502.124,0.017,348.331,520.184,0.017,326.281,540.775,0.018,300.715,565.285,0.017,275.766,590.081,0.017,252.322,609.373,0.017,236.331,627.669,0.017,220.976,639.629,0.017,211.675,652.156,0.018,202.763,660.178,0.017,196.149,668.135,0.016,191,678.5,0.017,188.262,685.213,0.017,188,689.928,0.017,187,695.56,0.017,188.42,701.26,0.018,188,705.291,0.015,191.976,707.988,0.017,204.462,713.627,0.017,223.498,716.875,0.017,246.973,718.664,0.016,264.248,719,0.016,276.59,717,0.017,289.088,714.652,0.018,304,714,0.017,316.788,712.202,0.017,332.173,709.975,0.017,346.749,707.75,0.017,374.248,703.046,0.016,406.192,697.586,0.016,432.295,695.07,0.018,450.094,691.844,0.018,458.152,689.616,0.018,465.429,688,0.016,472.513,688,0.016,479.19,687,0.017,483.404,687,0.019,489.481,688,0.016,494.898,689,0.017,498.287,690.096,0.015,502.839,690,0.034,508,691,0.033,514.15,694.05,0.017,518.655,695.328,0.017,528,696,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,3025,JACCH
203,384,0,245.197,394,0.017,255.94,394,0.015,267.946,392.685,0.006,274.798,393,0.033,283.515,393,0.033,293.5,395.5,0.017,301.497,395,0.02,310.402,397.701,0.018,321.111,400.037,0.018,332.141,401,0.018,341.157,402.719,0.016,355.356,405,0.017,366.194,406,0.018,375.948,407,0.017,387.226,407,0.016,395.834,407,0.016,405.263,407,0.017,419.391,406,0.017,429.309,405,0.016,441.874,404,0.018,451.232,401.884,0.016,457.913,402,0.032,465.814,402,0.017,475.747,401,0.017,482,399.5,0.017,488,397.5,0.016,494.758,397,0.016,505.842,397,0.018,505,401.177,0.033,479.56,422.398,0.018,443.5,456.5,0.017,419.906,479.207,0.017,390.862,509.365,0.017,368.5,532.5,0.016,351.662,548.338,0.016,334.999,565.001,0.017,319,577.5,0.016,306.212,591.717,0.017,294.938,600.797,0.017,281,611.5,0.018,271.169,623.888,0.017,256.545,633.873,0.017,245.5,648.5,0.017,234.128,658.904,0.016,222.07,672.24,0.018,213.714,684.928,0.017,207.036,691.982,0.018,201.35,698.65,0.017,198,704.5,0.032,197.118,705.941,0.033,228.106,701.988,0.036,267.5,698,0.016,279.276,698,0.013,289.585,698,0.014,303.5,696.5,0.016,318.368,697,0.017,334.633,696,0.017,349.5,696,0.016,364.683,697,0.017,376.936,698,0.017,393.301,699,0.017,408.575,699,0.017,427.007,699,0.017,441.985,696.806,0.017,454.799,696,0.016,462.824,696,0.018,475.055,696,0.016,483.903,696,0.017,491.587,697.294,0.017,497.532,697,0.032,503.531,697,0.033,504.703,703.89,0.162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,4749,JACCH
202,393,0,223.642,389.67,0.016,234.5,387.5,0.016,243.325,388,0.006,250.993,388,0.017,257.7,386.767,0.016,264.807,388.452,0.016,271.358,387,0.016,275.821,387.911,0.017,281.385,388,0.033,287.797,390.266,0.033,296.135,391,0.017,300.541,393.271,0.016,304.985,395.492,0.017,309,398.5,0.033,317.13,404.065,0.016,325.871,406.581,0.017,332.5,407,0.017,336.485,409.742,0.017,342.916,410.972,0.016,349.798,411,0.017,358.697,412.424,0.017,364.291,412,0.016,369.635,412,0.019,376.312,412,0.016,384.327,411,0.017,390.657,410,0.017,395.564,410,0.016,401.025,410,0.008,406.467,409,0.016,415.832,409,0.017,423.076,408,0.016,430.677,408,0.017,440.734,407,0.017,452.862,406,0.018,462.99,406,0.016,479.726,407,0.016,485.333,407,0.017,490.776,407,0.018,495,405.5,0.033,499.094,406,0.202,491.719,411.625,0.016,484,419,0.046,454.988,442.009,0.007,421.276,471.052,0.016,402.679,492.127,0.017,376.86,523.266,0.017,362.85,540.508,0.018,347.977,558.023,0.017,334.974,570.026,0.011,321.784,583.216,0.016,308.715,595.028,0.017,297.579,603.937,0.017,282.702,617.298,0.017,272.257,625.807,0.016,261,632.333,0.017,251.395,643.006,0.017,243.134,651.488,0.015,236.449,656.701,0.017,227.708,662.219,0.016,223.4,665.3,0.017,219.47,670.794,0.033,217.734,675.798,0.018,215.782,680.655,0.033,214.823,684.355,0.034,217.266,687.133,0.033,223.041,691.041,0.017,230.985,694.493,0.017,239.425,696.475,0.016,246.812,698,0.016,256.646,698,0.017,272.913,698,0.017,285.29,697,0.019,299.653,696,0.016,308.344,695,0.017,316.253,695,0.016,324.175,695,0.017,332.5,697.5,0.016,341.716,698.743,0.018,356.775,699.972,0.017,370.149,701.191,0.016,386.332,699.583,0.018,399.224,703,0.015,413.013,701.247,0.017,425.497,702,0.017,434.27,700.682,0.017,447,698,0.017,455.326,700,0.017,463.034,700,0.016,471.915,700,0.016,482.792,700,0.017,489.052,700,0.016,494.737,701,0.016,501.401,699.866,0.017,508.101,699,0.018,515.187,702.594,0.017,0,0,0,0,0,0,0,0,0,0,0,0,192,3945,JACCH
190,393,0,232.289,394.844,0.017,257.955,397.073,0.016,283.558,399.297,0.018,329,402,0.016,353.278,402,0.017,380.715,402.978,0.016,403.829,403.203,0.016,426.295,401.57,0.016,443.233,400.658,0.016,458.307,401,0.017,472.897,404.224,0.016,487.022,401.663,0.018,496.827,402.565,0.016,506.166,402.417,0.017,500.512,404.395,0.017,487.46,407.923,0.016,465.219,414.445,0.017,441.829,428.654,0.018,409.348,449.032,0.016,378.381,472.47,0.016,350.255,500.802,0.017,323.581,529.274,0.017,298.5,554,0.017,271.371,583.312,0.017,250.29,606.638,0.017,234.66,629.531,0.017,217.101,652.556,0.016,207.787,664.856,0.015,196.651,679.219,0.016,190.809,687.287,0.017,188.676,691.648,0.017,188,695.266,0.084,195.731,694,0.017,213.304,695,0.017,235.611,695,0.017,260.006,696,0.018,284.308,697.59,0.015,306.529,699.816,0.017,329.542,700,0.017,348.459,700,0.017,373.953,701.495,0.017,397.502,702,0.017,420.42,702,0.017,440.595,703,0.017,458.828,704,0.018,470.772,702.743,0.016,480.574,703.858,0.016,486.167,706.083,0.032,491.854,708.427,0.018,497.299,711,0.016,502.5,712.5,0.032,503,706.435,0.142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,2167,JACCH
200,398,0,238.241,400.124,0.017,259.458,402.346,0.03,279.773,402,0.012,310.222,402,0.016,331.278,402,0.017,347.048,399.744,0.017,366.889,394.028,0.017,378.258,391.29,0.016,392.677,390,0.017,400.482,391.161,0.017,408.166,392.389,0.018,419.45,394.612,0.016,426.532,397.844,0.016,435.277,400.069,0.017,449.061,401,0.018,454.5,402.5,0.017,459.496,403.748,0.016,464.944,405,0.017,470.597,405,0.017,478.282,405,0.017,483.304,405,0.015,488.641,404,0.017,494.212,404,0.016,498.666,404,0.066,502.008,404,0.084,497.645,405,0.033,491.226,411.774,0.083,460.484,439.576,0.017,443.667,456.333,0.017,429.639,470.361,0.018,408.706,493.907,0.016,396.788,507.055,0.017,383.516,521.553,0.017,369.225,534.479,0.016,359.5,547,0.017,344.495,561.754,0.016,334.13,571.87,0.018,322.832,586.557,0.017,309.848,596.722,0.017,300.706,605.636,0.016,286.681,618.319,0.017,275.44,627.336,0.017,265.301,637.699,0.017,253.5,649.5,0.017,243.826,658.38,0.016,235.917,665.062,0.017,225.769,670.493,0.017,222.058,676.413,0.017,218,680,0.032,215.5,684,0.015,211.619,688.381,0.05,209.823,692.355,0.133,214.075,691,0.016,221.213,691,0.019,232.702,691,0.013,243.759,691,0.017,252.889,691,0.019,266.46,689.791,0.018,276.738,689.566,0.016,286.305,691,0.016,297.464,691,0.018,306.447,693.112,0.017,314.378,694,0.017,326.41,697,0.017,335.388,698,0.016,345.124,699,0.017,360.703,700,0.016,372.365,701.473,0.017,390.234,700,0.016,403.588,699,0.016,421.565,698,0.016,434.307,698,0.016,449.661,696.39,0.017,459.344,695,0.016,468.245,692.939,0.022,479.859,693,0.01,486.029,692.485,0.017,491.484,693,0.017,496.936,693,0.016,502.573,693,0.018,508.258,693.419,0.03,515.504,695.752,0.017,521.958,700.958,0.014,526.216,705.432,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,3481,JACCH
202,387,0,236.307,383.369,0.014,256.883,383,0.018,272.583,384.083,0.017,293.44,386.625,0.017,304,391.5,0.016,312.301,395.534,0.017,321.989,396.996,0.017,332.314,399,0.017,337.342,400,0.016,347.726,399.325,0.017,360.38,400,0.016,368.378,399,0.017,375.046,396.651,0.017,382.155,395,0.016,386.615,391.192,0.017,390,391,0.017,393.375,388.625,0.019,398.796,388.401,0.016,404.484,388,0.017,412.221,387.945,0.017,418.841,388,0.016,428,390.5,0.017,437.665,388.267,0.016,447.799,388,0.017,458.929,390.186,0.017,468.621,391.405,0.018,474.639,392.918,0.015,482.595,394,0.018,486.435,396.145,0.018,491.318,401.318,0.016,492,404.056,0.019,490.666,409.667,0.018,486.873,416.69,0.017,479.035,426.965,0.017,463.87,438.056,0.016,449.29,450.465,0.017,428.261,467.739,0.017,412.039,482.265,0.017,390.69,503.31,0.016,368.664,523.484,0.015,347.216,543.027,0.019,325.976,568.819,0.016,306.03,592.454,0.012,283.395,614.66,0.017,266.79,631.934,0.018,248.949,651.559,0.017,234.84,661.948,0.016,224.153,671.847,0.017,219.811,678.379,0.016,221.266,681.133,0.134,228.577,685.894,0.017,243.91,689.114,0.017,258.436,691.348,0.018,266.142,692.571,0.015,269.355,694.177,0.018,277.993,695.248,0.017,293.824,693.522,0.017,317.733,693.297,0.017,340.347,691.073,0.015,362.551,686.69,0.015,383.897,686,0.018,399.276,682.389,0.015,419.401,678.48,0.017,440.653,674.869,0.017,456.324,673.71,0.018,462.5,674,0.024,469.49,675,0.016,477.86,677.972,0.017,489.584,680.195,0.017,500.27,680.847,0.016,505.798,687.329,0.033,508.784,696.647,0.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,2937,JACCH
200,394,0,238.438,397.938,0.017,256.247,399,0.017,271.729,401.39,0.018,288.936,405,0.016,303.065,405,0.017,315.428,405,0.016,329.795,405,0.017,339,405,0.018,353.003,406,0.017,364.89,405,0.017,376.018,405,0.017,391.587,404,0.017,402.941,401.343,0.016,419.188,399,0.016,429.449,397,0.017,439.348,398.337,0.017,452.686,397,0.015,457.576,398.788,0.015,461,400.5,0.016,466.483,402.242,0.017,474.88,403,0.017,480.085,404.695,0.017,485.769,405.923,0.016,490.293,406,0.017,494.749,407,0.033,498.532,407,0.084,493.646,408.177,0.034,482.722,419.278,0.016,464.994,435.405,0.017,452,446.5,0.018,430.726,468.027,0.017,413.198,487.759,0.017,394.561,508.645,0.016,372.638,536.671,0.018,353.391,560.27,0.016,333.001,582.777,0.017,310.821,600.75,0.017,294.277,621.404,0.018,275,632.5,0.016,259.643,647.563,0.017,246.907,657.074,0.017,235.784,664.973,0.018,224.12,672.88,0.016,216.604,681.094,0.016,213,685,0.016,210.867,688.266,0.167,217.877,689,0.016,229.988,689,0.017,244.476,689,0.016,258.151,689,0.017,276,689,0.016,290.854,689,0.017,308.918,689,0.017,331.379,690,0.017,349.983,691,0.017,373.022,693,0.017,394.943,693.894,0.017,410.977,696.122,0.017,428.45,697.35,0.019,445.18,698,0.016,459.006,699.801,0.017,471.185,700,0.017,483.02,702.255,0.017,489.443,704.481,0.031,493.417,704,0.01,497,704,0.017,501.253,705,0.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,2721,JACCH
189,405,0,236.862,407,0.015,252.514,407,0.017,265.614,407,0.016,279.649,408,0.016,289.579,408,0.018,301.579,408,0.017,311.362,408,0.018,324.446,407.426,0.016,335.006,407,0.016,344.099,407,0.017,355.272,407,0.016,365.92,403.52,0.017,373.119,401.294,0.016,382.8,399,0.017,392.476,396.841,0.016,397.779,397,0.017,403.455,396.727,0.018,410.807,396.048,0.016,418.894,397,0.017,423.808,397,0.017,428.885,397,0.016,434.574,398,0.023,443.418,397.917,0.009,451.928,398,0.018,458.076,399,0.016,465.294,399,0.017,474.977,398,0.018,484.631,397,0.016,488.893,397,0.032,491.053,399.106,0.034,488.969,408.123,0.017,484.488,417.28,0.016,479.026,427.436,0.016,467.159,440.841,0.016,455.316,452.621,0.017,441.845,461.66,0.017,432.438,468.781,0.017,425.163,474.225,0.015,414.951,479.683,0.017,400.583,490.347,0.016,390.521,501.479,0.018,378,509,0.016,364.51,523.238,0.017,350.168,535.88,0.017,334.793,550.408,0.017,316.111,567.025,0.016,301.426,582.881,0.016,282.955,599.284,0.017,267.246,618.077,0.016,249.669,630.665,0.018,237.632,646.491,0.016,225.063,658.15,0.017,218.975,666.038,0.016,214.52,671.721,0.017,214,675.94,0.017,211.306,681.388,0.017,209.734,684.532,0.018,216.973,688.829,0.018,241.691,691.053,0.017,266.401,692,0.017,289,690.5,0.017,315.496,687.27,0.017,342.559,684.04,0.017,366.85,681.63,0.017,384.735,676.755,0.018,396.56,676,0.016,405.458,675.865,0.017,419.655,676,0.017,427.291,679.323,0.019,437.5,684,0.016,446.315,686.772,0.016,453.995,687,0.017,460.657,688,0.016,467.358,689,0.016,474.717,691,0.016,484.507,693.803,0.017,495.629,696.126,0.017,503.72,697,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,3038,JACCH
200,400,0,277.859,398,0.017,287.814,398,0.015,296.895,400,0.016,303.573,401,0.017,309.532,403.266,0.034,318.631,406.21,0.018,327.516,407,0.016,335.195,409.098,0.016,346.758,409,0.017,365.896,408,0.016,384.826,407.882,0.017,398.827,408,0.017,406.396,408.201,0.017,414.277,406.862,0.017,422.181,406.409,0.016,429.859,405,0.017,440.804,404,0.017,452.833,401,0.015,463.196,399,0.017,473.593,396.602,0.017,483.8,398.267,0.05,489.532,400,0.018,496.883,402.442,0.032,502.004,402.998,0.082,491.267,412.733,0.017,476.498,431.753,0.016,452.866,451.134,0.015,426.413,476.519,0.017,397.823,501.905,0.017,373.339,524.881,0.016,352.403,544.698,0.017,333.535,562.172,0.015,315.48,573.52,0.016,302.112,587.888,0.016,287.45,596.62,0.018,276.052,604.948,0.016,265.03,616.961,0.017,253.013,625.658,0.017,244.665,634.335,0.015,235.975,645.025,0.017,225.942,655.058,0.017,218.614,661.386,0.016,213.967,668.066,0.016,208.628,678.117,0.033,203.469,685.796,0.018,201,691.355,0.067,210.901,695.634,0.017,222.88,698.976,0.017,244.253,702,0.031,263.588,701,0.017,275.311,701,0.017,287.79,700,0.017,306.935,697.213,0.017,323.786,695,0.017,337.395,695,0.016,350.234,696,0.016,365.434,698.145,0.017,381.451,699,0.017,400.312,699,0.017,419.169,698,0.017,429.015,698,0.017,438.692,698,0.017,447.562,698,0.017,455.924,700,0.015,465.928,701.976,0.017,481.286,702.321,0.018,491.319,702,0.016,497.177,701,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,4257,JACCH
199,396,0,247.826,395,0.018,263.766,396.691,0.017,278.07,399,0.017,289.1,399,0.018,302.141,400,0.017,312.153,401,0.017,325.582,402,0.019,337.186,403.729,0.017,350.346,403,0.017,363.64,400.59,0.017,372.25,400,0.017,382.358,398.911,0.017,391.797,400.266,0.018,398.77,400,0.017,406.451,401,0.017,419.699,401,0.016,428.72,401,0.02,438.728,401,0.018,452.744,400,0.007,464.693,399,0.011,481.056,398.736,0.036,491,399,0.03,496.256,400,0.149,492.734,405.532,0.021,487.335,412.997,0.04,471.11,435.89,0.035,447.396,460.604,0.012,418.222,487.46,0.03,394.864,507.113,0.016,370.079,527.191,0.017,353.079,541.515,0.016,337.809,558.239,0.055,317.171,577.439,0.015,304.87,593.196,0.014,289.944,605.028,0.022,277.056,619.944,0.03,266.155,629.845,0.054,244.564,650.436,0.025,230.865,660.568,0.018,223.747,667.253,0.016,218.07,673.93,0.021,214.198,680.604,0.016,209.744,685.128,0.033,204.882,690.118,0.1,206.133,694,0.067,212.126,696,0.067,218.169,696,0.05,226.711,695,0.018,234.585,694,0.032,241.531,695,0.034,251.651,695,0.019,266.305,694,0.016,276.005,694,0.016,285.021,694,0.01,296.736,694,0.079,312.95,693,0.012,329.158,692,0.022,338.147,692,0.017,351.632,691,0.017,365.265,692.132,0.013,374.5,693.5,0.019,394.282,696.856,0.018,414.351,702.386,0.017,434.22,704.537,0.016,450.507,704,0.016,457.431,700.785,0.035,467.663,701.666,0.016,481.985,703.996,0.018,494.031,706.344,0.019,508.077,707,0.016,515.217,706,0.032,522.531,701.734,0.05,536.5,698.5,0.147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,5522,JACCH
