@relation EntrenamientoP1LEPP
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
185,402,0,218.395,402,0.013,236.126,401.258,0.017,254.221,401,0.018,270.294,399.979,0.015,287.331,398.845,0.021,303.953,397.736,0.019,320.703,396.62,0.012,347.356,397,0.016,362.691,398.242,0.019,375.102,399,0.015,390.121,399,0.016,400.687,399,0.016,413.206,397.89,0.017,425.691,399.245,0.021,435.224,397.642,0.016,444.971,399.441,0.014,453.497,399,0.015,460.272,399,0.017,465.347,399,0.019,471.682,398.053,0.016,478.316,399.053,0.016,481.501,399,0.036,483.434,400.217,0.049,481.823,403.53,0.031,480.729,405.542,0.02,478.852,407.148,0.018,475.124,410.876,0.014,471.833,414.167,0.02,465.16,422.937,0.017,458.5,431.5,0.012,443.191,445.037,0.017,428.598,461.156,0.017,409.246,478.666,0.016,391.469,497.689,0.016,373.954,515.046,0.021,355.495,534.912,0.018,334.7,554.811,0.015,315.807,573.792,0.014,297.447,591.109,0.02,280.55,607.45,0.022,264.461,621.605,0.016,253.17,632.922,0.011,242.874,644.363,0.016,232.721,654.279,0.021,225.505,662.995,0.019,219.7,670.45,0.013,215.878,675.829,0.012,213.303,679.545,0.017,212,681.5,0.021,210.939,683.092,0.05,213.283,683,0.019,216,683,0.03,219.416,683.805,0.014,223.724,684,0.018,230.233,685.039,0.015,237.177,685,0.017,246.429,686.304,0.022,258.528,687.453,0.017,271.758,688.52,0.013,286.94,689.639,0.02,303.705,690.732,0.017,321.976,691.874,0.013,339.351,695.07,0.022,359.646,697.294,0.016,378.431,699.738,0.011,399.608,703.268,0.021,413,705,0.014,431.567,707.224,0.015,448.907,709.488,0.019,464.491,711.768,0.023,477.672,713.945,0.015,488.924,716.185,0.011,497.945,718.486,0.016,504.223,720.741,0.019,508,721.5,0.019,511.81,722.603,0.024,516.55,722.29,0.013,521.368,722,0.014,524.891,721.036,0.013,529.336,721,0.015,533.888,721,0.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,1573,LEPP
186,401,0,206.893,401,0.017,234.448,401,0.014,253.877,401,0.018,272.8,401.988,0.018,293.182,400.879,0.017,315.783,401,0.02,335.067,399.663,0.014,391.415,397.028,0.015,407,396.5,0.015,428.001,394.286,0.019,449.432,393.188,0.016,465.274,393,0.015,485.224,394.068,0.019,496.175,395.217,0.017,505.872,397.638,0.018,514.749,399.937,0.013,517,402,0.035,516.265,403.53,0.032,513.467,405.533,0.02,511.813,407.187,0.019,508.099,408.3,0.015,503.302,410.849,0.014,499,414.5,0.017,489.397,425.919,0.018,478.441,437.559,0.016,462.987,453.013,0.017,446.842,469.158,0.014,429.458,486.542,0.017,415.348,501.932,0.021,396.548,516.242,0.017,383.548,530.452,0.014,365.441,547.782,0.016,347.35,565.906,0.02,329.685,582.427,0.014,311.512,595.639,0.017,298.414,610.874,0.016,281.052,622.895,0.018,268.382,633.848,0.021,257.578,645.422,0.02,248.337,654.08,0.023,240.073,661.927,0.018,226.206,674.759,0.017,222.653,678.347,0.016,221.769,680.463,0.019,223.349,682.699,0.034,221.735,684.53,0.066,224.267,686.267,0.019,226.162,687.081,0.031,229.623,689.415,0.025,234.262,691.131,0.015,240.655,693.33,0.014,250.865,695.573,0.018,263.158,696,0.011,280.014,697.068,0.016,294.162,694.667,0.019,315.276,695,0.018,333.854,692.194,0.022,354.774,692.486,0.023,375.815,691.378,0.014,396.658,691,0.009,415.206,691,0.012,437.667,692.033,0.018,452.896,694.271,0.017,469.995,697.799,0.026,486.265,701.066,0.013,501.301,704.46,0.013,515.175,706.617,0.014,524.909,707.739,0.017,534.718,708,0.104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,1374,LEPP
190,391,0,206.295,396.092,0.016,222.71,400.178,0.019,236,402,0.015,249.559,403.63,0.014,264.08,404.775,0.02,278.221,405.863,0.014,294.181,407.013,0.016,326.779,409.261,0.021,340.704,409,0.013,360.52,409,0.019,379.5,409,0.019,394.822,409,0.013,410.369,409,0.016,427.088,409,0.019,440.648,409,0.017,452.108,409,0.016,460.892,407.764,0.015,470.079,408,0.02,476,408,0.018,481.309,407,0.012,484.409,407,0.02,486,407,0.116,485,409.133,0.05,482.981,410.009,0.15,459.703,435.323,0.017,438.355,459.192,0.019,416.517,480.483,0.013,398.5,500,0.02,381.5,518,0.015,359.546,539.186,0.015,338.534,559.599,0.017,304.446,598.484,0.02,282.115,619.733,0.018,269.224,636.416,0.013,251.339,650.906,0.017,245.022,662.47,0.02,239.564,667.653,0.022,235.857,673.572,0.024,230.053,679.842,0.017,228.896,682.209,0.033,230.168,684.336,0.036,230,687.799,0.066,231.133,689.267,0.018,234.245,689,0.015,236.653,689,0.021,241.1,689.42,0.017,247.787,690,0.012,256.961,690,0.016,267.855,690.786,0.02,280.139,691,0.02,293.075,689.994,0.011,309.775,690,0.017,326.432,690,0.022,343.785,689.601,0.018,363.025,689.501,0.012,383.42,690.634,0.014,403.045,691,0.019,422.194,691.894,0.023,441.791,692,0.019,459.583,693,0.012,476.067,693.472,0.011,491.081,695.782,0.017,502.5,698,0.018,511.873,701.437,0.016,520.073,704.449,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,1538,LEPP
190,403,0,226.748,400.897,0.015,243.739,399.751,0.017,263.685,398.607,0.021,279.989,399,0.013,296,399,0.015,314.348,400,0.019,341.742,400.812,0.014,362.469,400.033,0.019,376.192,400,0.018,393.225,400,0.015,404.768,401.343,0.017,414.372,402.486,0.02,426.586,402.146,0.012,434.853,404.387,0.017,442.781,406.652,0.021,449.573,407.929,0.012,456.392,409.065,0.024,462.008,410.202,0.015,468.701,411.284,0.013,476.986,411,0.016,481.5,412.5,0.017,484.327,412,0.019,486,412,0.031,486.005,414.01,0.084,483.785,416.215,0.034,479.268,419.732,0.016,476.987,421.007,0.015,472.47,425.53,0.017,465.434,430.044,0.023,462.793,437.415,0.014,450.803,448.197,0.015,432.647,468.546,0.015,413.078,487.457,0.019,395.871,506.728,0.017,378.342,526.615,0.022,363.867,543.307,0.01,346.97,561.232,0.018,333.586,578.517,0.017,314.256,598.228,0.016,304,609.5,0.019,289.864,626.028,0.025,278.643,639.626,0.02,268.584,651.352,0.01,258.576,659.485,0.01,250.6,668.599,0.015,243.916,677.779,0.022,237.714,682.829,0.017,232.792,686.656,0.012,228.964,690.036,0.016,225.604,693.396,0.021,223.136,695.864,0.02,220.956,698.044,0.011,218.66,701.509,0.035,216.575,704.637,0.049,220.536,701.642,0.032,232.053,698.987,0.019,242.516,700.168,0.018,255.866,700,0.014,273.893,700,0.021,291.455,699.503,0.015,311.838,697.754,0.013,332.255,697,0.017,356.235,697,0.02,379.838,696.008,0.019,400.632,698.172,0.012,417.89,698,0.016,437.252,703.471,0.021,449,705,0.019,459.621,706.578,0.012,470.147,707.715,0.014,481.415,709.683,0.02,487.817,710.964,0.017,494.323,712.054,0.015,501.382,709.539,0.103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,1491,LEPP
185,397,0,203.829,399.092,0.02,225.282,401,0.016,239.986,401.691,0.014,256.783,402,0.015,272.543,402,0.02,288.414,402,0.015,303.816,403.201,0.021,338.325,404.333,0.012,347.785,405.445,0.02,366,405,0.016,382.246,406,0.012,397.477,405.194,0.02,409.863,406.793,0.015,422.443,405.96,0.016,433.619,406,0.022,441.131,406,0.016,448.98,407.426,0.015,453.5,405.5,0.015,457.594,407,0.016,462.087,407,0.02,465.687,407.896,0.015,469.013,408,0.015,472.512,409.17,0.017,474.562,409,0.02,478.244,409,0.018,481.553,409,0.014,484.5,409,0.015,488.941,409,0.016,493.542,409,0.02,496.983,409,0.016,500.303,410.101,0.015,503.792,410,0.035,506.685,411.228,0.05,503.313,413.843,0.018,501.057,415.943,0.018,497.636,417.121,0.015,494.409,420.591,0.018,489.784,426.52,0.016,480.586,436.901,0.021,459.47,455.721,0.015,438.111,475.859,0.012,414.409,498.591,0.016,390.294,521.765,0.019,365.472,545.458,0.021,342.514,568.486,0.017,317.515,591.352,0.012,296.222,616.006,0.016,274.941,636.192,0.016,258.595,652.733,0.021,245.391,667.174,0.014,233.85,678.235,0.017,226.79,687.28,0.023,220.231,693.769,0.018,217.23,698.77,0.011,213.833,702.167,0.032,213.729,703.541,0.031,215.268,700.463,0.016,218.028,698.981,0.017,220.301,697.85,0.017,226.354,696.729,0.021,237.632,694.193,0.017,251.602,693.057,0.014,268.08,691.395,0.015,285.752,689.531,0.021,305.393,687.29,0.017,325.11,687,0.014,347.447,685.871,0.016,371.064,687.241,0.018,396.015,689.729,0.019,417.52,691.952,0.022,436.271,695.141,0.022,454.301,699.434,0.011,469.702,703.47,0.011,482.463,706.854,0.014,490.601,709.172,0.016,494.823,711.411,0.017,497.97,714.97,0.117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,1471,LEPP
184,408,0,207.343,406.985,0.016,229.283,407,0.017,244.218,407,0.021,259,408.5,0.015,274.846,408,0.015,291.932,408,0.015,310.744,408,0.019,343.033,406.966,0.014,358.931,407,0.017,376.179,407,0.022,391.916,408.423,0.016,405.718,408.52,0.015,418.195,409,0.014,431.82,409,0.024,442.574,409.842,0.012,452.815,409.021,0.014,460.863,409,0.017,467.435,407.761,0.023,471.573,408,0.016,474.477,409.492,0.016,476.763,409,0.014,479.408,409.704,0.015,481,410.5,0.037,483.802,410,0.031,485.21,411.105,0.034,487.542,412.271,0.05,489.355,412,0.033,485.832,413.056,0.036,482.383,415.411,0.018,479.401,418.599,0.012,474.092,421.954,0.016,466.435,429.36,0.02,460.503,438.195,0.013,449.683,451.381,0.018,432.333,469.845,0.018,418.759,491.987,0.016,395.417,509.386,0.016,373,534.5,0.021,354.298,556.702,0.018,333.702,578.775,0.016,310.889,601.248,0.012,288.431,623.569,0.02,271.673,640.327,0.016,256.837,650.259,0.015,245.992,663.409,0.016,238,672.5,0.021,231.219,678.586,0.018,225.86,683.14,0.013,223.275,685.725,0.018,221.007,686.996,0.016,220,687.5,0.068,223.213,687,0.019,226,687,0.028,227.539,687,0.035,229.122,689.122,0.067,232.965,690.655,0.017,236.356,691,0.015,243.595,692.884,0.02,252.194,694.024,0.02,264.653,694,0.01,279.894,695.3,0.016,295.776,693.587,0.022,314.326,694.451,0.018,331.695,694.646,0.012,351.347,694.203,0.02,371.278,694.904,0.017,392.966,695.998,0.013,412.496,694.853,0.016,430.549,698.853,0.024,447.215,701.006,0.016,459.456,704.99,0.012,470.89,707.253,0.014,482.422,709.484,0.021,491.317,710,0.019,498.795,710.971,0.012,504.576,712.115,0.016,505.255,708.234,0.019,507.719,707.64,0.113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,1654,LEPP
178,391,0,194.598,391,0.019,211.488,391,0.014,221,392.5,0.016,235.548,393.686,0.018,248.285,394.774,0.017,262.756,395,0.017,275.473,395,0.014,307.115,397.379,0.021,317.84,397,0.013,336.137,397,0.017,349.5,397,0.019,368.522,397,0.014,386.612,397.756,0.02,401.923,398.91,0.016,418.125,400.008,0.016,431.418,401.118,0.014,446.436,403.529,0.022,458.522,401.589,0.015,469.177,404.518,0.014,478.862,404.392,0.02,486.295,404,0.014,491.518,404.88,0.017,494.945,405,0.019,497.192,406.096,0.014,499.443,406,0.065,499.18,408.82,0.018,498.642,409.358,0.036,494.794,412.206,0.017,491.388,415.612,0.019,486.684,424.302,0.016,477.834,433.619,0.016,462.458,450.282,0.015,445.541,467.111,0.018,427.554,486.78,0.014,404.761,509.323,0.017,382.607,528.173,0.017,364.925,549.651,0.02,348.067,567.262,0.017,331.023,585.566,0.015,313.249,604.965,0.02,297.254,623.396,0.015,282.004,641.303,0.014,269.847,654.153,0.016,260.686,664.353,0.018,252.905,673.252,0.016,248.915,678.356,0.018,247.181,681.228,0.015,245,684.5,0.02,243,684.5,0.08,246.08,684,0.05,248.358,684,0.053,251.94,684,0.023,255.184,684,0.018,260.969,685,0.015,267.238,685.32,0.014,276.992,686.454,0.013,288.5,687.5,0.015,300.745,689.704,0.019,316.303,690.82,0.021,330.965,692.841,0.012,347.981,693,0.02,364.73,694.182,0.013,382.728,692.705,0.017,399.416,695.856,0.018,414.327,695.127,0.023,428.542,696,0.02,440.713,695.229,0.01,451.196,696.821,0.012,460.248,699.062,0.015,466.965,699,0.018,472.448,702.869,0.017,473.815,703.407,0.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,1529,LEPP
182,402,0,202.184,405.028,0.014,221.061,407.541,0.021,236.851,409.836,0.016,250.85,410.527,0.013,265.09,411.622,0.017,280.194,412,0.019,295.259,412.876,0.017,324.235,414.009,0.015,338.561,415.12,0.016,356.048,415,0.021,372.981,415,0.016,389.25,415,0.013,404.789,415.401,0.021,419.109,416.401,0.014,436.43,416.105,0.015,448.797,416.982,0.02,462.097,415.909,0.016,475.671,413.555,0.017,488.972,412.669,0.015,501.128,410.068,0.021,510.329,408.816,0.013,518.093,407.318,0.015,524.072,407,0.017,527.5,407,0.019,527.079,408.039,0.035,524.696,409.152,0.018,522.129,410.436,0.014,520,411.5,0.015,517.02,414.32,0.016,509.686,418.946,0.019,493.431,431.837,0.018,475.247,445.564,0.014,454.68,465.136,0.019,425.303,486.85,0.018,401.421,508.019,0.014,377,528,0.016,351.759,546.652,0.02,327.821,565.327,0.018,306.287,583.953,0.013,282.205,602.606,0.018,261.013,619.358,0.015,246.18,633.547,0.021,234.587,645.413,0.022,225.657,649.866,0.021,219.02,654.788,0.013,214.113,658.887,0.01,210.422,662.578,0.014,210,666.044,0.033,210,668.237,0.037,213.662,668,0.021,216.73,669.577,0.016,221.467,671.387,0.012,232.159,672.833,0.013,246.765,673.982,0.02,262.388,674,0.024,280.674,672.822,0.016,298.414,672,0.012,318.828,671.565,0.013,338.323,671,0.016,360.074,671,0.02,385.186,671.791,0.014,408.626,672,0.017,431.99,673.047,0.016,454.752,675.375,0.017,470.668,677.622,0.018,493.039,679.846,0.017,508.028,683.535,0.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,1252,LEPP
184,403,0,204.452,404.023,0.013,228.866,405.463,0.018,245,406.5,0.017,264.585,406,0.014,284.776,406,0.015,305.887,406,0.02,326.365,406,0.016,371.919,406,0.017,390.307,406,0.014,411.281,403.234,0.021,431,402.5,0.015,449.892,404.407,0.014,466.362,404.74,0.02,480.252,406.709,0.014,490.966,407.996,0.02,496.585,408,0.015,502.165,410.466,0.015,505.148,410,0.085,500.151,412,0.019,499,412,0.016,496.669,414.221,0.014,495.649,416.702,0.018,493.077,417.462,0.02,491,423,0.015,483,430,0.014,466.304,445.888,0.02,453.595,460.297,0.015,436.543,473.343,0.015,421.455,492.132,0.017,402.946,504.791,0.021,388.178,522.237,0.016,371.5,537,0.014,354.678,553.322,0.016,337.484,568.98,0.018,316.133,585.4,0.018,300.943,603.07,0.018,280.707,621.038,0.017,265.644,636.356,0.014,250.577,651.423,0.016,241,662.5,0.021,229.332,673.456,0.018,220.631,682.826,0.012,212.887,690.24,0.015,207.974,695.026,0.021,205.774,698.34,0.021,203.572,700.428,0.011,201.339,702.661,0.032,202,704.548,0.019,206.5,702.5,0.031,208.935,701,0.018,211.233,699.884,0.015,215.928,700,0.016,223.084,698.653,0.02,235.717,696.057,0.021,250.957,697.432,0.019,267.869,697,0.012,286.1,695.362,0.012,306.345,695,0.018,327.323,692.861,0.022,350.535,691.832,0.014,377.775,692,0.014,404.066,690.562,0.017,425.5,691,0.02,449.598,691.644,0.017,469.818,692.768,0.013,488.837,695.782,0.016,501.569,698.103,0.018,512.739,703.869,0.02,518.725,706.862,0.106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,1343,LEPP
186,404,0,213.391,400.761,0.018,230.674,401,0.013,246.857,399,0.018,274.055,399,0.015,294.048,399,0.011,314.694,399,0.02,334.475,400,0.015,355.847,400.911,0.02,374.315,401,0.019,394.151,400.585,0.012,409,402.5,0.016,427.139,401,0.019,444.119,403.14,0.016,460.353,402.392,0.019,476.119,404,0.015,491.133,404.855,0.02,500.438,406.109,0.014,505.742,407,0.052,500.376,409.812,0.018,495.869,412.066,0.022,490.406,415.594,0.015,481.5,428.5,0.021,456.923,453.436,0.013,429.211,479.718,0.016,402.244,504.683,0.016,377,533.5,0.013,350.969,559.259,0.021,321.995,584.004,0.014,295.831,610.169,0.02,272.515,630.485,0.016,254.173,647.31,0.02,241.169,661.831,0.02,226.355,677.291,0.013,218.076,689.405,0.016,209.863,698.849,0.02,207.05,705.9,0.012,209.232,706,0.032,216.685,705,0.017,229.37,704,0.017,252.923,704,0.022,285.084,701.053,0.011,321.439,697.275,0.017,361.392,697,0.014,399.984,697.411,0.017,430.829,698.631,0.015,458.603,702.619,0.021,484.168,706.195,0.011,499.627,708.375,0.022,511.175,710,0.014,515.702,711,0.123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,1881,LEPP
