@relation EntrenamientoP1LSCC
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
189,411,0,230.461,408,0.017,247.779,408,0.017,264.474,408,0.019,285.5,410.5,0.017,298.027,410.838,0.013,309.375,410,0.016,321.982,410,0.014,334.886,409,0.016,346.293,409,0.018,359.439,410.073,0.135,414.984,408,0.017,429.483,408,0.015,440.5,407,0.099,477.5,406,0.017,491,404,0.011,495.508,405,0.124,504.536,407.268,0.064,499.781,410.219,0.076,492.75,415.25,0.026,484.117,427.324,0.095,456.251,453.936,0.023,439.252,470.649,0.041,408.236,498.611,0.027,384.143,518.214,0.054,361.427,538.573,0.02,343.977,552.558,0.022,321.523,571.358,0.016,304.571,589.429,0.027,290.166,599.875,0.02,276.592,614.408,0.021,255,632.5,0.035,238.627,650.373,0.022,229,657.5,0.026,220.22,663.78,0.018,190.5,693,0.032,190,696.538,0.042,189,700.402,0.065,194,701,0.017,202.024,701.256,0.018,208,698.5,0.017,213.497,699,0.017,218.98,698,0.017,225.723,698,0.018,240.401,700,0.016,250.261,699.148,0.018,262.729,697.091,0.058,311.757,693.178,0.031,333.004,694,0.086,385.493,693.062,0.076,438.476,693.087,0.032,464.382,693,0.027,500.059,693,0.021,506.955,693.489,0.014,513.489,694,0.02,517.98,694,0.018,522.321,694,0.584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,4099,LSCC
191,409,0,225.943,406.774,0.02,242.409,407,0.019,255.362,407,0.009,275.684,407,0.017,284.856,407,0.039,308.507,404.299,0.015,319.673,404,0.018,335.377,403,0.02,349.56,403.445,0.021,366.111,403,0.01,387.379,404.054,0.022,402.686,403,0.016,429.138,400.972,0.047,453.64,401,0.012,468.539,401,0.028,481.766,399.745,0.02,490.259,399.37,0.078,503.361,401.681,0.017,507.975,403,0.01,506.894,405.213,0.05,498,410.5,0.028,492.376,417.624,0.062,462.162,448.671,0.046,423.911,487.107,0.023,403.556,504.037,0.019,370.922,535.078,0.049,338.5,565.5,0.047,310.395,590.605,0.017,297.73,600.513,0.02,283.939,612.673,0.017,274.717,623.427,0.016,264.67,633.413,0.02,252.948,643.753,0.02,240.13,657.153,0.018,230.22,663.927,0.016,221.161,673.839,0.017,216.089,682.821,0.016,208.5,688,0.016,202.165,693.89,0.018,195.435,700.754,0.011,190.132,707.302,0.015,188,713.5,0.017,183,719.5,0.018,181,723.298,0.05,186.011,721.996,0.034,191.805,720,0.02,197,717.5,0.135,249.478,713,0.018,262.928,713.988,0.016,277.429,714.238,0.083,335.763,711.026,0.025,354.486,711.788,0.035,377.518,711.586,0.011,389.972,711.171,0.018,402.349,711,0.016,414.948,712.325,0.018,425.803,711,0.025,441.74,711.935,0.011,450.713,710.822,0.019,460.695,711,0.041,480.564,710.087,0.057,504.5,711.5,0.012,527.537,708,0.089,531.153,710.077,0.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,3592,LSCC
173,408,0,203.769,408,0.016,217.814,407,0.019,232.091,407,0.016,252.027,407,0.016,268.562,407,0.018,280.201,405,0.013,292.992,405.713,0.017,305.788,405,0.016,318.191,405,0.023,331.863,406,0.021,350.97,406,0.015,366.392,406,0.027,386.477,406,0.012,398.403,405,0.007,408.71,405,0.015,424.433,405,0.009,434,405,0.016,443.904,405,0.016,455.141,404,0.026,468.688,402,0.028,478.199,400.36,0.008,487.664,400,0.019,496.746,398.751,0.01,502.005,398,0.018,506.496,398,0.017,510,398,0.015,511,401.443,0.035,509.5,406,0.034,507,408.5,0.018,501.493,411.169,0.019,496,415,0.019,491.352,420.648,0.016,486.847,427.23,0.017,479.747,436.253,0.019,472,441.5,0.014,463.754,449.057,0.014,454.753,460.371,0.016,440.831,469.93,0.018,429.79,481.762,0.017,417.215,495.583,0.017,401.778,506.185,0.017,389.264,518.446,0.019,374.5,531.5,0.015,364.102,543.677,0.018,348.817,558.16,0.017,337.669,569.331,0.018,325.419,584.093,0.016,312.213,596.787,0.017,301.978,610.022,0.017,288.301,623.971,0.019,277.529,637.459,0.017,264.837,652.688,0.017,251.096,664.888,0.017,239.863,679.592,0.019,224.632,689.894,0.014,215.122,698.878,0.017,209.069,703.931,0.016,204.591,708.204,0.035,200.5,711.5,0.033,194.864,718.136,0.017,189.056,722.629,0.019,187.5,727,0.031,186.069,725.861,0.033,191,723.5,0.03,194.15,722.925,0.016,200.19,720.603,0.025,214.046,719.238,0.011,227.063,717.989,0.017,245.258,716.749,0.019,265.515,715.997,0.016,287.702,714,0.017,309.963,712.004,0.016,331.123,710.764,0.017,347.83,710.479,0.016,362.383,709,0.017,377.717,708,0.019,395.913,704.575,0.015,412.223,700.619,0.015,431,701.5,0.017,452.494,698.944,0.018,469.38,696.803,0.016,484.651,697.558,0.017,495.062,697,0.011,502.798,695.067,0.023,511.592,696,0.035,519.575,696,0.022,522.025,694.988,0.035,524,697.215,0.203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,3593,LSCC
194,404,0,226.463,405.718,0.014,240.718,406,0.017,252.002,407,0.008,272.5,410,0.161,334.581,409,0.017,345.827,407.835,0.021,357.449,409.408,0.02,368.5,407.5,0.079,404.92,407,0.017,415.5,407,0.118,458.5,402.5,0.016,466.551,402.15,0.02,474.39,403.097,0.012,482.384,400.654,0.01,487.18,401,0.019,492.509,401,0.011,496,401,0.014,499.133,403.267,0.032,496.936,407.064,0.014,492.345,410.218,0.033,485.155,416.845,0.016,479.508,422.492,0.012,471.366,432.042,0.026,452.598,452.536,0.019,444.814,460.582,0.032,429,475,0.024,419.008,484.993,0.014,404.575,498.187,0.02,393.67,509.33,0.02,380.344,523.656,0.016,367.157,534.896,0.017,354.185,548.588,0.009,340.672,561.328,0.017,328.587,572.677,0.016,316.142,583.715,0.016,306.044,593.765,0.021,295.73,603.27,0.016,284.903,612.195,0.016,278.177,620.764,0.018,269.258,626.371,0.017,261.373,634.22,0.017,252.659,642.352,0.01,246.288,650.712,0.017,239.56,657.293,0.014,231.794,665.608,0.016,222.032,670.968,0.031,214.937,681.042,0.018,209.453,686.547,0.018,204,689.5,0.037,193.5,695,0.015,194.107,698.215,0.058,205.695,702,0.017,213.199,699.4,0.021,219.66,699,0.016,226.246,700.164,0.018,233.131,700,0.018,241.406,700.602,0.047,257.524,701,0.018,277.908,698.682,0.015,294.893,696.544,0.035,319.318,694.097,0.011,342.739,693.71,0.015,356.236,692.539,0.017,368.764,692.247,0.017,380.134,692,0.015,392.363,693.273,0.02,403.491,692,0.012,415.472,692.745,0.018,426.912,693,0.016,439.304,691.739,0.019,452.471,694.494,0.016,463.726,694.745,0.014,476.925,695.975,0.041,493.374,696,0.015,504.014,696.206,0.02,512.541,697,0.019,519.166,696,0.012,523.478,696,0.084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,3598,LSCC
183,404,0,383.547,398.742,0.012,406.874,398,0.017,428.091,395.879,0.019,445.817,393.704,0.167,507.76,394.88,0.017,512.405,396,0.015,516.895,397.447,0.022,521,398.5,0.023,526.28,400.093,0.095,534.179,405.358,0.017,530.59,408.205,0.076,489.61,450.014,0.014,469.662,470.436,0.027,450.032,488.083,0.023,420.2,515.057,0.029,399.519,530.984,0.025,367.105,560.877,0.016,335.246,590.815,0.013,316.934,603.342,0.013,245.408,672.592,0.02,230.763,686.677,0.021,218.231,697.769,0.013,212.647,705.353,0.009,208.162,711.256,0.021,203,716,0.058,197.847,719.077,0.07,202.537,720,0.029,209.526,718.737,0.025,214.513,717.496,0.017,221.932,716.267,0.032,239.4,717,0.023,252.011,717,0.02,266.803,716.4,0.013,281.855,715.164,0.039,308.95,713.783,0.013,329.603,711.079,0.012,351.029,709,0.028,398.153,702,0.013,408.722,699.639,0.018,423.258,699.948,0.023,440.108,697.578,0.02,449.674,698.332,0.029,469.576,697,0.016,483.921,698,0.028,498.471,697.106,0.028,511.323,698.529,0.034,516.001,698,0.013,520.502,698,0.013,523.537,698,0.033,522.847,698,0.186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,3013,LSCC
189,421,0,232.434,420,0.014,251.282,419,0.017,269,419,0.015,288.65,418.225,0.017,300.092,417.977,0.017,309.067,418,0.016,315.278,417,0.014,324.227,415.258,0.017,334.018,414.995,0.017,344.262,413.748,0.017,355.5,412.5,0.017,364.217,414,0.017,374.01,413,0.012,382.918,411.771,0.019,391.899,412,0.015,400.595,411.281,0.012,408.862,411,0.016,417.854,411,0.017,429.359,409.528,0.022,439.81,410,0.023,456.361,410,0.015,466.261,410.315,0.018,477,410,0.015,485.416,410,0.017,494.206,410,0.017,499.612,411.306,0.082,495.969,414.016,0.037,491.477,417.262,0.018,487.317,424.524,0.017,481.683,432.423,0.015,471.238,441.409,0.014,458.941,453.67,0.026,444.214,467.089,0.011,429.509,477.409,0.013,418.315,491.022,0.016,402.453,501.365,0.019,390.695,511.444,0.016,379.73,521.54,0.018,370.047,531.27,0.017,358.5,540,0.016,345.979,549.021,0.017,336.823,559.177,0.033,316.769,572.785,0.011,307.978,583.37,0.016,297.452,593.623,0.014,287.121,601.703,0.017,277.302,612.123,0.017,266.937,622.386,0.01,258.249,629.751,0.016,250.516,636.484,0.02,246.18,643.23,0.017,240.429,650.928,0.022,232.374,657.626,0.025,219.958,669.303,0.018,212.468,678.043,0.011,203.735,686.265,0.031,197.005,691.995,0.012,191.507,698.985,0.02,187.508,703.984,0.025,184.5,710,0.05,182.821,714.357,0.074,187.216,714,0.1,205.925,711.692,0.077,245.025,710.422,0.051,343.825,702.629,0.034,374.903,699.699,0.017,394.151,700.033,0.024,411.106,696.474,0.016,426.54,698,0.028,443.499,695.25,0.015,461.954,695.006,0.019,490.28,695.729,0.02,503.975,693,0.018,516.262,694,0.017,530.658,692.781,0.034,544,694.5,0.04,548.043,695,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,3733,LSCC
175,407,0,253.23,401,0.019,260.265,402,0.015,273.352,404,0.024,285.614,405,0.022,293.409,407.352,0.019,301.904,408,0.015,309.549,409,0.018,317.41,410.137,0.023,325.494,410.374,0.013,334,411,0.015,345.928,411,0.024,360.715,412,0.018,368,413,0.014,380.896,414,0.015,389.668,415,0.015,398.866,416,0.122,448.997,416,0.06,481.269,414,0.017,492.101,413,0.019,497.5,411.5,0.023,503.293,412,0.019,508,412,0.012,511.539,412,0.022,515.269,411,0.061,511.464,415.536,0.02,507.49,419.255,0.178,472.934,449.79,0.012,454.57,468.43,0.02,441.965,477.357,0.019,427,495,0.017,413.195,506.146,0.017,399.639,518.434,0.016,388.169,531.526,0.016,376.5,540,0.018,365.795,552.807,0.018,353.725,564.22,0.035,321.34,592.663,0.017,308.487,604.415,0.02,292.874,619.287,0.021,278.084,628.916,0.015,266,639.5,0.099,219,682,0.017,207,690,0.154,187.074,714.037,0.033,197.124,713,0.027,209.253,714.084,0.015,219.645,715,0.016,229,716,0.017,243.728,717.182,0.051,291.18,717,0.02,331.618,714.217,0.017,357.5,713,0.015,379.574,712,0.018,400.612,712.653,0.015,408.713,713,0.051,427.975,714,0.014,437.557,713,0.013,449.303,713.116,0.017,461.777,712,0.023,478.961,712.506,0.018,492.453,712,0.018,503.928,712.988,0.017,513.155,713,0.076,525,713,0.028,528.224,714,0.342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,3873,LSCC
175,397,0,225.459,398,0.018,246.811,400.201,0.021,269.366,402.437,0.015,303.5,406,0.023,323.389,405.939,0.023,375.886,408,0.01,397.377,408,0.018,415.33,408,0.015,434.272,408,0.017,453.5,408,0.015,467.666,407,0.017,481.112,407,0.017,491.073,407,0.017,497.5,406,0.017,501,407,0.033,505.164,409.082,0.034,499.464,412.357,0.034,494.777,418.447,0.017,492.525,424.424,0.017,487.855,433.575,0.016,479.202,442.838,0.017,465.58,457.42,0.017,454.768,471.678,0.016,442.831,483.169,0.015,432.237,495.703,0.017,422.243,504.568,0.017,411.842,516.158,0.017,400.614,528.386,0.016,390.418,538.582,0.016,378.03,552.131,0.016,367.369,564.039,0.013,354.059,575.284,0.018,342.407,587.491,0.016,331.3,596.42,0.02,317.209,605.196,0.016,310.095,616.905,0.017,301.477,624.642,0.016,290.222,630.389,0.016,280.893,640.845,0.011,271.529,649.088,0.02,259.818,655.727,0.015,249.564,662.436,0.016,242.923,668.077,0.017,232.597,674.802,0.016,224.461,681.693,0.015,217.742,686.172,0.017,211.001,689.333,0.017,206.838,694.162,0.016,203.463,696.269,0.069,209,694.5,0.032,213.538,695,0.018,219.871,695,0.016,232,696,0.017,264.72,698,0.019,290.71,696.844,0.016,317.833,696.597,0.017,343.097,695.355,0.016,367.044,695.106,0.032,388.218,695,0.01,405.612,693.627,0.018,421.717,693.38,0.016,435.231,691.128,0.017,447.582,692.116,0.017,458.791,692,0.017,469.421,691.605,0.016,481.274,693,0.016,491.504,694.101,0.017,500.713,694,0.017,507.357,694.179,0.017,513.509,694,0.016,518.16,694,0.033,522.537,694,0.219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,2913,LSCC
188,408,0,238.526,407,0.016,265.512,407,0.017,290.053,407,0.016,326.713,408.701,0.016,350.419,410,0.017,375.119,411,0.017,398.792,411,0.017,417.125,412,0.017,440.302,411.07,0.016,461.534,409.83,0.017,484.097,408.59,0.017,503.293,406.338,0.016,521.358,404.092,0.016,530.609,403,0.017,536.8,404,0.015,535.642,406.358,0.018,530.611,409.259,0.035,524.5,412.5,0.017,516.528,421.472,0.017,502.079,434.921,0.017,485.134,444.791,0.018,466.167,460.041,0.016,449.285,475.036,0.017,431.406,488.594,0.016,417.616,503.043,0.018,399.536,516.041,0.017,384.181,530.988,0.016,368.415,543.585,0.016,352.353,560.978,0.018,338,571,0.016,321.468,585.715,0.017,308.662,597.338,0.016,297.461,609.539,0.018,284,623,0.016,275.823,630.971,0.017,267.883,639.117,0.018,256.853,650.72,0.018,249.5,657.5,0.014,239.882,667.118,0.016,229.865,676.108,0.016,221.192,685.808,0.02,213.487,693.018,0.017,206.479,698.521,0.023,198.981,701.006,0.018,195,708.757,0.017,191.506,711.988,0.078,197.348,708.884,0.017,203.421,710.474,0.013,213.619,708,0.019,232.676,709.968,0.017,256.139,709,0.017,279.554,707.089,0.017,304.397,708.3,0.016,329.418,707.053,0.017,350.715,708,0.017,369.984,707,0.015,385.5,711,0.013,401.46,708.923,0.016,415.035,710.173,0.023,437.207,707,0.012,451.259,705.782,0.012,463.134,705,0.022,474.917,702.548,0.012,487.5,704,0.017,496.051,702.237,0.021,505.032,699.989,0.018,512.514,700.743,0.017,516.537,699.731,0.033,520.537,698.732,0.018,524.718,697.641,0.033,529,695.5,0.032,533.17,696,0.106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,2767,LSCC
187,409,0,216.78,406.522,0.018,231.105,406,0.016,241.903,406,0.017,256.762,406,0.016,266.348,407.47,0.016,275.848,407.712,0.016,284.806,408,0.028,295.029,409.206,0.016,305.715,407.571,0.017,317.772,407.307,0.017,329.723,408,0.017,340.916,406.817,0.012,352.133,407,0.015,365.5,406.5,0.023,383.185,408.031,0.018,402.444,407,0.017,412.237,407,0.012,423.705,407,0.016,435.682,406,0.016,446.924,405,0.016,460.184,402.363,0.017,470.527,400.118,0.011,482.887,398.127,0.031,495.831,394.39,0.017,502.972,392.014,0.019,508.353,394,0.034,506.732,398.535,0.033,501.69,403.31,0.034,497,408,0.028,489.158,417.789,0.022,468.205,440.174,0.027,445.186,463.133,0.019,428.428,477.572,0.011,413.876,494.285,0.016,398.502,506.082,0.016,385.364,521.96,0.016,370.562,535.438,0.017,356.228,550.9,0.016,339.625,566.375,0.016,321.996,580.82,0.02,309.569,595.431,0.008,296.113,607.739,0.016,281.563,622.514,0.016,268.913,633.087,0.016,254.86,643.996,0.017,246.48,655.52,0.015,236.556,664.444,0.019,226.954,671.046,0.015,220.45,679.55,0.018,212.632,685.184,0.015,205.97,689.687,0.017,200.824,692.588,0.016,195.143,696.857,0.017,193.903,699.195,0.086,201.102,698.949,0.017,210.204,700,0.014,217.737,701.547,0.016,228.76,701.207,0.017,244.223,703,0.022,261.326,701.709,0.018,279.187,703,0.016,296.936,702.541,0.016,314.146,701.979,0.016,332.093,702.523,0.027,347.093,700.977,0.011,364.196,701,0.017,379.09,697.97,0.017,392.219,699,0.021,401.451,698.51,0.013,411.942,697,0.011,422.993,698,0.017,431.926,698,0.019,440.887,696.528,0.016,450.08,699,0.016,458.753,699,0.017,466.624,699,0.017,475.375,698,0.031,485.791,700,0.011,492.809,700,0.017,498.374,698.813,0.017,504.872,699,0.016,510.805,701,0.029,512,704.215,0.05,514.067,708.134,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,3496,LSCC
