@relation EntrenamientoP1MJHP
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
183,408,0,223.554,405.971,0.016,241.589,406,0.02,262.04,404.72,0.013,279.242,405,0.019,298.5,405,0.017,317.074,404,0.014,343.924,403.253,0.017,365.002,403.875,0.019,380.377,402.971,0.014,397.913,403,0.016,407.409,403,0.022,419.986,401.638,0.015,432.359,403.487,0.015,440.5,400,0.019,454,399.5,0.013,464.756,396.355,0.017,471.804,395.033,0.02,477.337,393.933,0.016,484.219,394,0.014,489.771,392.646,0.02,490.949,393,0.049,491.176,395.352,0.033,491,399.077,0.023,489.827,402.518,0.016,487.441,404.559,0.016,485.204,408.194,0.012,479.279,415.265,0.02,473.844,421.787,0.015,466.703,429.297,0.017,459.73,437.149,0.018,450.851,445.131,0.022,440.906,452.851,0.011,433.308,463.175,0.017,424.534,470.696,0.013,414.5,478.5,0.016,399.5,485.5,0.018,390.659,497.405,0.02,377.014,505.761,0.017,365.364,515.673,0.013,350.364,527.259,0.016,337.391,535.739,0.019,322.287,547.625,0.016,309.193,558.84,0.018,304.5,566,0.018,289.334,577.273,0.022,279.492,588.135,0.01,269.463,597.589,0.014,258.233,607.69,0.017,250.52,620.325,0.02,244.018,628.642,0.018,235.733,637.675,0.014,227.762,647.317,0.015,222.337,654.328,0.019,218.633,661.522,0.025,214.408,668.388,0.017,209.974,676.035,0.011,206.542,680.611,0.011,203.149,683.851,0.018,202.593,685.813,0.035,201.736,687.527,0.035,204.536,687,0.03,210.231,687.115,0.022,214.814,687,0.02,219.346,688,0.012,225.292,688,0.017,234.883,688,0.018,245.303,688,0.012,255.808,688,0.021,269.791,688.984,0.018,280.499,689,0.011,295.621,689,0.022,313.026,689,0.015,330.939,689,0.014,349.26,689,0.015,367.443,689,0.021,385.226,689,0.022,400.796,689,0.019,418.274,689,0.011,431.722,689,0.015,445.512,690.293,0.023,457.482,689.613,0.02,468.559,689,0.011,482.288,688.362,0.016,493.909,688,0.024,502.993,688,0.01,510.889,688,0.011,516.64,688,0.014,519.799,688,0.024,521.802,686.599,0.017,523.932,687,0.012,526.199,687,0.014,528,687,0.036,530.875,687,0.133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,1790,MJHP
207,409,0,251.053,409,0.017,267.212,409,0.024,282,410.5,0.015,299.312,410,0.013,317.263,410,0.019,335.187,410,0.017,372.993,410,0.013,391.166,408.873,0.025,406.821,409,0.012,425.831,409,0.016,438,409,0.017,453.862,409,0.019,466.179,409,0.015,479.777,409,0.015,491.61,409,0.024,499.701,409,0.016,508.528,409,0.016,510.94,409,0.014,512.862,410.431,0.066,507.262,413.825,0.018,503.905,416.063,0.017,497.049,419.475,0.016,492.896,424.104,0.018,485.348,431.652,0.016,476,436.5,0.012,463.878,442.842,0.021,454.318,449.455,0.015,442.333,457.151,0.014,432.866,466.134,0.022,422.663,472.892,0.012,406.732,483.101,0.017,393.125,496.469,0.022,377,504,0.014,365.901,514.099,0.014,352.444,526.086,0.017,338.779,536.665,0.02,322.657,550.431,0.014,310.091,562.909,0.017,298.575,574.425,0.023,283.574,588.086,0.012,275.083,596.917,0.016,262.396,610.205,0.015,253.104,621.294,0.017,246.021,630.639,0.022,238.42,640.46,0.023,231.659,649.292,0.011,223.586,656.212,0.01,219.703,662.945,0.022,218.096,668.261,0.022,213.924,674.227,0.012,210.999,679.668,0.012,207.622,683.378,0.016,204.232,685.846,0.018,201.897,689.155,0.016,198.516,691.322,0.019,196.406,693.594,0.035,195.749,695.502,0.066,200.956,697,0.023,204.296,697,0.015,212.814,696,0.013,222.005,696,0.014,235.393,696,0.018,252.324,693.39,0.015,268.582,692.276,0.017,283.167,691.153,0.02,302.572,690.024,0.02,319.907,688.943,0.011,340.872,690.215,0.015,356.863,691.324,0.021,377.002,691,0.018,390.647,691.454,0.013,404.49,691.681,0.016,419.999,692,0.017,432.485,692.948,0.026,446.367,694.028,0.016,458.183,694,0.012,467.478,694.551,0.012,477.884,696.863,0.019,484.757,696,0.022,488.924,696,0.02,492.262,696,0.012,495.682,695.106,0.011,499.044,695,0.015,502.44,696.147,0.038,505.52,694.827,0.03,507.542,695,0.052,509.355,696.177,0.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,1770,MJHP
211,395,0,251.546,401.032,0.014,271.059,402.768,0.015,289.518,403.907,0.015,307.912,405.057,0.017,325.7,406.169,0.021,343.759,408.595,0.016,363.033,409.414,0.017,408.5,410.5,0.014,416.73,409,0.047,452.203,409,0.005,465.229,407.979,0.014,478.45,406.879,0.018,490.561,405.767,0.021,499.109,403.223,0.018,503.916,404,0.012,508.392,404.598,0.022,512,405.5,0.047,509.875,409.125,0.019,503.944,413.845,0.011,494.487,420.885,0.017,488.325,429.121,0.017,480.5,436.5,0.015,469.125,443.812,0.02,458.62,454.2,0.013,443.85,466.332,0.017,430.438,478.515,0.02,416.814,493.368,0.015,399.76,503.826,0.018,387.087,515.094,0.016,368,532,0.02,351.525,547.82,0.012,335.267,562.966,0.021,317.797,578.428,0.015,305.85,594.21,0.017,287.534,607.035,0.014,273.652,623.906,0.017,257.819,633.701,0.019,243.5,651,0.017,233.653,661.122,0.017,222.349,674.608,0.016,211.738,685.435,0.015,201.112,693.913,0.018,195.589,700.493,0.021,191.231,707.154,0.019,192,710.026,0.025,192,711.529,0.034,200.873,713.812,0.019,211.207,714,0.026,221.368,713,0.022,251.778,711.681,0.018,265.065,710.61,0.016,285.5,709.5,0.019,303.316,710,0.015,325.431,709.218,0.014,343.675,708.088,0.018,364.313,706.984,0.016,382.343,705.854,0.017,402.746,704.736,0.017,417.259,706.376,0.02,437.5,707.5,0.022,451.5,710.821,0.014,465.032,712.73,0.011,479.128,714.712,0.02,491.801,715,0.016,505.283,713.893,0.02,518.991,712.801,0.014,530.598,711.64,0.024,537.365,711,0.011,541.778,711,0.018,542.287,707.437,0.096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,1351,MJHP
203,394,0,224.358,397.051,0.016,244.899,399.612,0.016,260.638,400.376,0.018,276,401.5,0.017,290,402.5,0.018,309.15,403.759,0.016,326.509,404,0.018,361.479,404.985,0.014,378.776,406.118,0.019,401.73,407.302,0.02,416.7,407,0.013,436.146,409.958,0.015,455,409,0.02,468.5,407.5,0.014,483.163,407,0.018,490.841,407,0.017,494.29,408.097,0.019,496.454,408,0.047,494.822,410.356,0.025,492,411.5,0.02,482.257,419.922,0.025,470.753,429.384,0.049,433.987,458.916,0.017,420.183,472.26,0.018,403.366,486.179,0.034,369.818,514.182,0.016,337.538,544.429,0.023,320.051,562.399,0.017,304.345,580.381,0.023,286.901,597.099,0.01,272.849,612.177,0.047,247.286,637.952,0.033,227.159,658.876,0.027,216.375,674.249,0.009,213.022,679.978,0.012,210.06,682.94,0.013,208,685,0.041,206.466,686.534,0.027,206,690.158,0.049,208.298,692.298,0.033,212.015,694,0.018,215.377,694,0.017,220.544,694,0.017,229.282,694,0.017,245.148,695.153,0.015,259.492,693.731,0.017,278.346,695.397,0.017,294.5,693.5,0.017,314,694,0.016,338.543,693.248,0.029,362.179,692.128,0.009,382.896,692,0.014,404.571,692,0.016,424.23,690.765,0.019,443.74,689.645,0.03,462.172,688.525,0.01,478.527,688,0.012,495.058,689.437,0.113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1306,MJHP
204,401,0,224.819,403.082,0.023,250.141,404,0.012,269.266,404,0.014,289.739,404,0.02,312.978,403.228,0.015,339.619,402.099,0.016,364.412,400.981,0.019,410.514,401,0.018,424.272,403.534,0.02,441,404,0.015,457.078,404,0.013,471.86,403.367,0.015,484.596,403,0.019,491.41,403,0.015,497.942,403.99,0.016,507.172,404,0.017,516.015,404,0.02,518.174,405.391,0.03,519.532,405,0.035,519,407.53,0.033,516.461,408.269,0.017,514.782,410.218,0.035,510.069,414.931,0.021,504.157,419.275,0.014,498.672,424.328,0.017,491.931,431.069,0.012,487.252,435.748,0.016,480.654,440.23,0.017,469.021,447.187,0.023,460.363,455.307,0.017,449.127,465.485,0.017,435,471,0.016,425.67,479.431,0.012,411.372,489.591,0.016,398.958,499.233,0.018,384.943,508.035,0.016,371.129,518.403,0.016,360.204,531.076,0.022,344.811,540.592,0.017,335.182,553.782,0.012,322.18,565.414,0.015,311.098,577.116,0.019,301.068,588.813,0.018,289.39,597.716,0.016,280.166,607.939,0.015,273.63,620.511,0.024,265.607,627.393,0.017,256.769,636.569,0.013,251.677,646.227,0.013,247.148,654.277,0.017,243.491,660.182,0.016,238.212,667.703,0.016,232.548,674.542,0.018,229.368,680.053,0.016,227.353,682.971,0.019,225.108,684.892,0.034,224.733,687.801,0.02,222.225,690.549,0.018,222,692.777,0.013,219.936,695.064,0.014,218.83,698.51,0.016,216.406,700.594,0.02,217,702.749,0.031,217,704.538,0.035,214.466,705.267,0.035,217.534,706.267,0.024,220.444,705.778,0.02,222.676,705.338,0.012,225.859,706,0.013,231.554,706,0.012,240.424,706.714,0.016,250.534,707,0.021,262.64,707,0.021,276.698,708.054,0.011,289.264,706.794,0.013,306.852,707,0.023,322.528,705.534,0.019,341.196,704,0.012,359.576,702.638,0.013,376.337,702,0.017,393.05,701.063,0.018,405.694,701,0.016,422.638,699.824,0.022,434.264,698.703,0.019,447.287,698.61,0.012,457.633,697.481,0.013,466.21,696.349,0.017,477.507,695.227,0.018,486.184,695,0.016,491.068,695,0.022,495.539,695,0.021,498.697,694,0.012,501.725,694.363,0.012,503.995,695.497,0.016,506,695,0.037,507,697.438,0.101,0,0,0,0,0,0,0,0,0,97,1843,MJHP
195,398,0,239.884,399,0.01,275,399,0.022,320.132,398,0.017,384.84,394.851,0.018,419.874,393.695,0.011,448,393,0.02,460.958,391.208,0.015,467.051,388.975,0.05,469,392.36,0.036,475.278,396.111,0.01,480.732,398.366,0.014,489.994,398.599,0.015,498.645,399,0.017,496.866,401.134,0.034,490.593,405.407,0.015,483.42,413.58,0.018,469.535,431.103,0.017,454.81,447.074,0.017,436.066,466.934,0.02,420.009,486.738,0.016,391.1,511.685,0.015,361.657,537.619,0.017,325.358,564.026,0.017,292.28,591.383,0.019,268,611,0.039,235.565,643.435,0.008,223.275,654.725,0.018,217.765,664.058,0.027,210.682,673.318,0.01,208.5,677,0.018,206.867,681.267,0.064,203.146,689.562,0.018,203,693,0.034,204.469,696.937,0.017,205.535,700.535,0.033,213.487,700,0.017,228.457,701.432,0.015,252.5,701,0.017,277.799,700.1,0.018,308.466,698.824,0.016,338.553,700,0.017,363.5,705,0.016,397.34,708.745,0.016,420.458,710,0.018,437.591,710,0.018,458.5,710.5,0.016,472.697,709.163,0.016,486.258,711.086,0.016,495.89,712,0.015,501.605,712,0.015,511.247,710.959,0.017,535.465,706.134,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,2243,MJHP
183,400,0,215.721,397.085,0.017,232.591,395.961,0.018,247.324,396,0.017,262.625,396,0.017,277.458,397.42,0.014,293,397,0.02,319.348,396.376,0.014,341.476,396,0.015,358.216,395.119,0.019,375.5,394.031,0.014,391.652,394,0.017,405.035,391.494,0.021,421.732,392,0.016,436.851,389.021,0.014,452.249,388.792,0.019,462.665,387.292,0.015,475.05,387.838,0.016,485.855,387.016,0.019,491.374,388.075,0.014,495.976,388,0.02,499.105,389.368,0.05,499.178,392.535,0.034,496.472,394.528,0.013,494.917,396.083,0.021,492.65,398.35,0.015,490.362,401.958,0.016,485.182,405.363,0.016,482.5,410,0.02,474.132,415.869,0.015,467.445,423.314,0.024,459.725,433.964,0.016,451.795,443.234,0.009,440.527,454.473,0.015,430.473,467.088,0.019,423.065,478.193,0.02,406.5,493.5,0.018,398.135,504.473,0.012,387.626,516.849,0.016,376.28,529.592,0.021,368.949,540.076,0.019,359.24,553.014,0.01,346.411,564.354,0.018,337.88,574.51,0.016,329.047,585.942,0.018,317.96,594.832,0.016,308.341,605.073,0.018,296.886,617.943,0.018,283.723,629.398,0.013,274.382,641.85,0.017,261.679,654.321,0.018,247.93,665.392,0.017,238.874,680.96,0.015,227.775,688.645,0.018,219.893,696.792,0.023,213.244,706.134,0.013,205.535,713.541,0.013,197.668,719.237,0.016,192.048,724.952,0.02,190.386,727.922,0.015,189.566,729.869,0.051,193.459,729,0.024,195.742,729,0.011,203.09,730.013,0.013,212.127,730,0.018,222.453,728.727,0.019,235.065,730.37,0.014,255,728.5,0.021,272.317,726.786,0.02,291.916,725.282,0.02,311.104,724.17,0.014,334.566,724,0.022,351.705,724.905,0.013,370.857,724.204,0.012,387.098,725,0.013,404.043,725,0.021,419.827,724.411,0.022,434.136,724,0.063,486.163,720.834,0.018,493.859,719.69,0.007,500.596,718.567,0.019,502.5,717.5,0.016,505.5,716.5,0.069,500.926,715.975,0.019,497.254,716,0.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,1671,MJHP
202,402,0,227.063,404.089,0.024,249.932,404,0.013,264.973,404,0.015,279.376,404,0.021,294.164,403.295,0.011,309.677,402.166,0.018,325.514,402,0.024,353.896,400.927,0.009,368.949,401,0.019,382.209,401,0.02,401.645,401,0.016,410.937,401.422,0.016,424.069,401.672,0.013,436.981,402,0.016,451.246,402,0.021,460.498,402,0.014,468.134,403.162,0.015,477.469,403,0.023,485.096,404.442,0.015,488.103,404,0.017,492,404,0.012,494.5,404,0.036,495.543,405.272,0.051,496.094,407.188,0.031,494.734,410.799,0.022,493.56,415.88,0.014,491.322,421.194,0.014,489.057,430.743,0.021,484.515,437.728,0.013,477.815,445.383,0.018,465.315,454.948,0.021,458.519,468.47,0.014,447.784,476.651,0.014,436.073,489.312,0.02,425.851,500.149,0.015,412.171,512.843,0.015,400.083,526.001,0.017,387.85,535.759,0.022,371.261,547.385,0.021,362.947,560.242,0.016,350.151,570.269,0.01,338.022,582.971,0.014,325.603,594.047,0.017,314.592,603.474,0.02,307.134,615.771,0.015,294.485,625.102,0.015,281.788,634.336,0.019,276.561,646.064,0.02,267,655.5,0.015,254.706,660.68,0.013,246.834,668.904,0.016,238.036,677.093,0.021,229.78,683.157,0.017,223.478,687.348,0.013,216.463,693.281,0.017,211.133,697.493,0.021,205.519,703.481,0.02,203.5,704,0.026,203.731,705.537,0.085,206.132,705,0.036,211.947,705,0.03,216.116,704.221,0.024,229.09,703.987,0.01,236.895,704,0.015,247.649,702.706,0.018,259.233,703,0.021,271.69,701.483,0.023,283.228,701.623,0.018,296.681,702,0.012,309.758,702,0.01,325.119,703.008,0.015,341.051,701.854,0.023,356.505,700.75,0.019,375.169,699.345,0.012,391.22,699.522,0.013,404.5,698.5,0.019,419.294,699,0.032,432.196,698.164,0.019,458.751,697.932,0.015,468.997,696.778,0.018,484.48,697,0.017,491.717,695.535,0.019,494,696,0.02,496.358,695.321,0.025,499.37,695,0.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,1722,MJHP
177,380,0,198.094,384.018,0.029,215.665,387.312,0.011,232.429,390.457,0.012,250.332,392.844,0.018,268,393.5,0.015,284,394.5,0.016,304.922,395,0.019,338.217,395,0.016,362.63,395,0.016,380.71,392.786,0.018,400.256,393,0.019,413.26,391.672,0.014,431.103,390.526,0.016,443.89,389.393,0.018,456.195,389.72,0.023,466.596,390.844,0.009,479.516,391,0.02,488.657,393.164,0.022,492.821,393,0.012,494.656,394.328,0.019,497,395.5,0.014,501.041,396.51,0.017,505.017,397,0.018,507.5,397,0.028,506,399.041,0.021,508.335,400.168,0.033,508,402.385,0.032,503.058,407.942,0.017,498.156,412.844,0.015,491.659,420.231,0.017,481.905,432.116,0.016,469.505,442.223,0.017,455.959,454.788,0.016,441.068,471.312,0.018,428.154,480.872,0.018,412.035,496.034,0.015,394.343,510.236,0.015,376.408,526.743,0.018,361.341,540.685,0.016,345.681,556.319,0.018,327.518,570.829,0.016,309.564,585.417,0.019,298.967,599.948,0.015,283,609,0.017,273.766,620.541,0.016,264.462,629.538,0.017,254.532,641.35,0.025,247.644,652.594,0.015,240.918,660.262,0.012,235.551,666.739,0.017,224.174,677.826,0.02,223.5,686,0.012,217.434,691.207,0.017,212.928,696.072,0.019,210.195,700.611,0.017,210,704.037,0.014,206.566,707.434,0.032,207,709.384,0.034,209.535,710.268,0.034,219.156,711.879,0.016,227.921,711.01,0.017,241.495,711,0.017,255.475,711,0.017,272.056,709.639,0.018,287.464,710,0.016,303.5,708.5,0.021,323.991,710.684,0.031,364.734,714.873,0.016,384.991,717.11,0.019,404.711,720.452,0.017,426.352,723.845,0.016,446.54,725.838,0.022,468.327,728.097,0.012,486.608,730.326,0.016,499.832,732.566,0.016,514.764,733.912,0.015,524.281,734,0.017,530.907,734,0.021,541.399,732.733,0.012,543.175,731.608,0.136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,1577,MJHP
218,397,0,239.022,402.255,0.016,265,406.5,0.015,282.058,406.691,0.019,299.216,407.814,0.015,316.782,408,0.018,332.911,408,0.016,351.063,408,0.016,385.805,409.304,0.019,398.399,409,0.016,410,409,0.02,426.765,407.349,0.015,442.904,406.221,0.014,456.736,405.105,0.017,471.318,401.927,0.021,488.001,398.6,0.013,497.337,396.481,0.018,508.779,395.622,0.022,517.034,395,0.011,520.188,395,0.017,522,395,0.031,523.964,398.929,0.017,524.5,400,0.016,524,402.352,0.018,521.285,406.072,0.015,519.055,410.891,0.019,514,418,0.016,502.191,429.809,0.016,489.859,442.141,0.017,473.76,458.24,0.016,457.993,472.935,0.017,436.388,491.042,0.017,420.412,510.199,0.017,396.287,530.842,0.019,381,545.5,0.014,362,562,0.02,345.716,582.103,0.018,330.56,596.551,0.013,315.643,607.247,0.017,305.608,619.702,0.017,293.039,626.885,0.016,280.709,634.731,0.018,271.5,642.5,0.017,262.674,649.472,0.017,256.291,653.225,0.016,251.598,657.402,0.019,247.199,660.851,0.014,241.574,666.426,0.017,237.08,674.61,0.017,225.793,681.138,0.017,221.701,684.839,0.02,218,687.5,0.015,212.864,692.848,0.019,209.491,695.673,0.037,207.5,697,0.041,211.167,696,0.02,215.5,696,0.024,223.554,695.349,0.025,236.165,695,0.015,265.383,696.027,0.017,281.1,694.85,0.019,294.275,696.273,0.017,313.172,697.386,0.015,329.355,701.471,0.017,347.242,704.464,0.017,366.553,708.259,0.016,383.23,709.874,0.017,397.846,711.976,0.018,411.063,712,0.02,427.308,710.764,0.02,441.603,708.3,0.014,456.709,706.529,0.016,468.522,704.814,0.017,480.117,704.712,0.028,497.541,701.131,0.019,510.874,698.854,0.014,518.379,697.803,0.018,532.841,698,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,1496,MJHP
