@relation EntrenamientoP1WJRT
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
191,401,0,217.817,398.718,0.017,237.5,398,0.016,252.868,397,0.016,278.396,397,0.017,300.195,397,0.017,315.876,397,0.016,336.427,396.368,0.016,356.28,395.143,0.017,373.585,393.917,0.017,393.778,394.617,0.018,407,393,0.017,427.064,393.758,0.017,443.905,392.012,0.016,460.465,395.209,0.017,475.499,393.563,0.017,490.301,396.66,0.016,502.22,396.889,0.016,512.336,398,0.017,516.449,398,0.067,516,402.083,0.018,511.311,405.344,0.018,506.702,409.723,0.016,497.01,417.192,0.017,484.887,430.136,0.016,467.997,443.252,0.017,452.675,459.325,0.018,431.41,476.59,0.016,410.898,496.326,0.017,388.516,516.336,0.017,367.04,537.701,0.019,345.593,556.407,0.016,323.915,574.781,0.016,303.643,596.46,0.017,278.961,618.039,0.017,255.02,637.485,0.017,233.755,659.796,0.017,216.279,677.675,0.017,201.935,692.065,0.017,193.404,702.996,0.016,194,705.531,0.033,202.309,705,0.017,214.506,704.699,0.017,227,704,0.016,248.256,703.249,0.017,270.758,704,0.017,292.016,700.597,0.016,317.681,702,0.016,342.461,699.354,0.015,367.726,699,0.017,392.044,698.095,0.016,413.256,694.349,0.018,433.5,694.5,0.016,453.198,695,0.017,470.035,695,0.016,484.365,696,0.016,494.803,696,0.022,503,696.5,0.03,503.787,697,0.117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,2262,WJRT
189,404,0,222.376,400.262,0.018,241.674,400,0.016,260.85,400,0.017,289.194,397.587,0.018,308.717,396.365,0.016,329.762,396,0.017,344.525,395,0.016,363.438,396.305,0.018,375,397.5,0.016,392.57,398.762,0.017,403.931,399.986,0.017,422.687,400.789,0.017,438.508,402.439,0.017,456.287,403,0.015,472.206,403.887,0.017,486.658,401.89,0.016,495.329,403,0.019,501.681,403,0.015,506.798,403,0.084,502.469,407.531,0.018,484.765,422.32,0.018,461.532,441.201,0.017,430.631,464.58,0.019,407.359,487.465,0.016,383.049,508.51,0.016,363.727,528.312,0.016,343.624,546.112,0.017,331.119,562.361,0.017,311.722,580.703,0.017,297.424,596.576,0.017,279.536,614.464,0.017,263.869,630.739,0.016,251.548,646.065,0.015,242.816,658.184,0.025,232.893,668.268,0.021,222.204,681.194,0.018,217.132,686.868,0.014,213.297,690.852,0.019,213,693.073,0.082,210.867,697.266,0.018,207.687,701.627,0.016,210.054,703,0.026,215.875,700.562,0.016,227.311,698.338,0.016,240.425,698,0.016,253.659,698,0.017,270.383,698.341,0.018,285.937,697.438,0.016,301.717,698,0.017,320.113,696.987,0.017,341.116,696.765,0.017,366.048,696.459,0.017,390.606,693,0.017,413.169,691.083,0.017,435.36,691,0.02,454.544,691,0.014,470.539,691.59,0.016,484.046,692,0.017,494.131,693,0.016,499.528,693,0.016,503.354,693,0.226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,2619,WJRT
198,400,0,229.042,402.367,0.018,243.544,402,0.016,256.904,403.817,0.017,277.491,404,0.017,291.881,405.269,0.016,308.905,403.512,0.017,324.025,405.718,0.016,339.591,405,0.017,353.183,405,0.017,366.351,402.608,0.017,374.844,402.385,0.016,384.377,403,0.017,394.278,401,0.016,403.459,401,0.016,411,401,0.016,423.721,399.256,0.017,432.88,398.03,0.017,444.171,398,0.017,455.685,397.579,0.018,463.924,397.359,0.016,477.225,397,0.017,485.287,397,0.016,490.955,396,0.018,495,396,0.016,500.307,396,0.017,504,396,0.016,509.44,398.22,0.048,511,401.003,0.033,506.543,405.457,0.019,499.267,412.05,0.015,489.364,423.453,0.017,474.926,437.939,0.017,459.135,452.865,0.018,445.5,469,0.017,416.474,491.287,0.017,391.617,513.348,0.016,367.4,534.34,0.016,339.72,556.348,0.017,319.216,576.369,0.017,300.533,594.467,0.017,279.437,614.563,0.017,259.155,632.076,0.017,243.752,648.641,0.015,227.996,662.17,0.017,215.763,675.297,0.017,204.291,686.424,0.018,198.5,692.5,0.015,194.55,697.9,0.016,192.5,702,0.116,201.449,699.138,0.016,210.251,700,0.017,219.261,701.315,0.017,233.5,698.5,0.017,247.57,700,0.016,265.876,699.986,0.017,281.479,700,0.016,299.928,699,0.017,318.955,697.338,0.016,338.965,697.115,0.017,360.119,696,0.017,381.412,693.659,0.016,400,693.5,0.016,421.058,693.784,0.017,441.085,693,0.028,457.632,693.233,0.022,473.219,694.46,0.01,486.095,695,0.015,496.644,695,0.017,503.273,694,0.017,508.724,695,0.033,506.978,696.007,0.109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,2753,WJRT
187,401,0,232.158,397.219,0.016,260.409,396,0.015,284.589,395,0.013,331.432,395,0.018,350.358,394,0.019,378.342,394,0.018,401.189,395,0.018,435.806,397,0.012,464.065,398,0.025,488.718,401,0.013,499.637,402.409,0.016,506.5,404.5,0.033,505.9,406.1,0.051,500.405,410.946,0.029,453.864,457.136,0.047,420.38,490.39,0.008,403.03,504.982,0.016,389.974,521.9,0.012,375.757,536.589,0.016,360.974,550.026,0.016,346.616,560.487,0.016,334.268,571.732,0.016,321.888,581.76,0.017,309.277,591.298,0.019,297.207,600.195,0.019,282.827,612.148,0.015,270.501,621.999,0.017,256.62,634.38,0.015,243.499,648.501,0.017,229.374,661.626,0.016,217.409,674.739,0.017,204.749,685.876,0.018,197.198,694.403,0.024,189,707.165,0.074,195.509,707,0.015,207.366,708.061,0.016,217.445,708,0.018,230,707,0.015,249.153,708,0.017,268.601,708.96,0.018,285.499,710.187,0.017,307.138,709.586,0.017,328.393,710.721,0.017,350.644,710.864,0.017,373.896,710.09,0.016,397.522,709.68,0.018,415.5,713,0.015,436.117,712,0.017,455.894,711.024,0.017,474.938,712,0.018,489.655,709.557,0.016,501.318,711,0.015,510.453,709.219,0.017,516.344,707.885,0.067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,2346,WJRT
194,406,0,238.152,401.35,0.015,262.62,400,0.017,284.998,398.9,0.016,321.486,400.324,0.018,342.5,401.5,0.016,368.973,401.775,0.017,395.004,401.999,0.016,417.26,404.226,0.016,439.507,404.451,0.016,459.082,404,0.016,478.008,403.099,0.017,492.757,402,0.016,504.763,402,0.018,512.5,401,0.048,510.908,404.092,0.034,504.56,411.44,0.017,487.371,427.629,0.016,464.744,448.33,0.016,438.048,472.652,0.017,414.272,497.473,0.018,385.988,519.411,0.015,362.761,540.239,0.017,341.561,560.439,0.017,318.206,580.514,0.019,295.542,599.458,0.017,271.466,618.808,0.017,250.451,638.499,0.017,233.567,657.613,0.017,219.192,673.21,0.019,209.237,683.508,0.016,200.438,692.562,0.017,193.768,700.232,0.017,196.512,702,0.018,206.89,702,0.017,217.018,701,0.016,236.275,697.145,0.017,258.826,697.348,0.015,282.766,698,0.017,306.014,699.203,0.016,332.915,700.326,0.018,356,698.5,0.017,380.37,699.219,0.017,402.04,700,0.016,423.044,699.227,0.016,444.111,696.086,0.017,461.445,697,0.016,477.336,696.905,0.017,486.513,697,0.016,494.416,697,0.018,498,697,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,2061,WJRT
191,402,0,237.272,399.066,0.016,261.763,398,0.016,283.906,398,0.017,315.158,398,0.016,335.404,398,0.017,356.652,398,0.017,376.303,399,0.019,396.602,400,0.017,412.675,400,0.017,431.727,401,0.017,451.72,401.809,0.017,467.336,403.417,0.017,481.489,404.359,0.016,491.465,404,0.016,496.184,404,0.017,498,406.044,0.034,484.011,419.989,0.016,459.023,438.977,0.017,433.929,459.064,0.016,411.474,480.296,0.016,388.504,502.496,0.016,368.925,524.434,0.015,349.729,543.18,0.017,330.942,562.058,0.017,311.784,579.859,0.019,298.928,596.072,0.016,284.539,612.846,0.016,272.857,627.2,0.017,259.226,643.774,0.017,246.599,657.881,0.016,232.742,673.258,0.016,221.206,684.657,0.017,212.418,695.728,0.016,208.229,705.541,0.017,201.389,709.223,0.015,201,713.796,0.033,208.995,709.403,0.019,219.714,705.762,0.016,237.631,702.304,0.017,253.499,698.857,0.016,273.674,697,0.017,292.5,694.5,0.017,313.198,695.255,0.017,333.748,695,0.016,354.774,693.803,0.017,377.234,695,0.018,398.175,696,0.016,416.997,695.875,0.018,434.681,696.903,0.017,448.937,698,0.013,460.295,698,0.016,470.101,698,0.026,484.434,700.108,0.027,492.348,699.663,0.016,501.354,698,0.016,504.531,696.734,0.228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,2338,WJRT
202,402,0,251.292,403.191,0.012,271.746,403,0.016,291.142,405,0.018,315.22,407,0.014,330.641,407.908,0.016,343.941,409,0.018,357,410.5,0.016,369.605,409.232,0.018,381.978,409,0.018,393.314,409,0.017,405.65,408,0.017,418.018,407.33,0.016,432.264,406.105,0.018,444.749,406,0.017,456.716,405,0.017,467,403.5,0.016,478.98,403.204,0.017,488.083,403,0.017,495.743,401.752,0.016,500.94,402,0.016,506,403,0.066,501.624,408.564,0.019,489.223,420.971,0.017,465.937,442.591,0.018,440.361,467.541,0.016,416.221,494.613,0.017,386.069,521.425,0.017,361.757,546.691,0.017,334.651,570.404,0.017,307.927,593.728,0.031,274,623,0.017,254.09,642.648,0.017,238.289,658.711,0.017,228.252,673.309,0.017,219.178,684.055,0.016,211.09,693.546,0.02,208.141,700.577,0.015,208,704,0.067,214.947,703,0.015,227.147,702,0.017,246.782,699.902,0.017,269.544,699,0.019,289.5,698.5,0.016,311.985,702.776,0.016,336.021,705.002,0.017,362.427,708.457,0.016,385.397,709.45,0.017,409.456,707.322,0.016,432.994,706.101,0.017,455.281,706.128,0.016,469.124,705,0.018,482.735,706,0.016,488.5,707.5,0.031,492.171,705.915,0.034,499.371,704,0.015,504.639,701.361,0.017,508,702.5,0.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,2260,WJRT
197,410,0,241.433,402.297,0.016,266.272,400.073,0.017,288.677,397.848,0.017,321.762,396.624,0.018,339.214,396.398,0.015,360.263,396,0.016,375.306,396,0.017,396.783,398.278,0.016,410.488,400.997,0.017,428.796,401.449,0.016,444.662,403.952,0.017,460.207,405.172,0.017,474.825,407.404,0.016,487.736,408,0.015,498.241,409,0.017,505.155,410,0.016,510.592,410,0.033,509.787,411.106,0.017,505.376,412,0.034,499.061,414.646,0.016,491.388,417.741,0.017,481.522,422.191,0.016,462.772,433.614,0.017,447,444.5,0.016,424.577,461.198,0.018,402.017,475.992,0.016,386.656,492.792,0.017,370.28,507.72,0.017,358.284,525.39,0.016,343.707,540.293,0.03,331.269,556.853,0.01,315.905,569.746,0.015,304.702,583.446,0.017,293.002,595.998,0.017,281.864,607.136,0.017,274.019,618.227,0.017,262.635,628.892,0.016,251.499,642.201,0.017,243.314,654.528,0.017,232.413,664.733,0.009,220.759,678.615,0.025,210.89,691.813,0.02,205.133,698.867,0.011,200.839,703.483,0.067,207.661,702.17,0.017,211.089,700.97,0.017,219.151,701,0.018,233.5,698.5,0.016,251.84,700,0.018,273.599,700.955,0.017,293.826,699.817,0.017,313.665,703.407,0.018,335.676,703,0.015,359.162,701,0.016,382.917,697.833,0.017,404.79,696.69,0.017,427,696.5,0.016,447.817,694.757,0.016,464.86,694,0.017,484.869,694,0.016,497.565,692.573,0.016,509.63,693,0.015,513.53,693,0.177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,2470,WJRT
198,403,0,234,404,0.017,244.603,404,0.017,252.371,404,0.017,265.816,406.704,0.018,271.711,405,0.016,277.593,405,0.017,283.045,405,0.017,288.736,405,0.016,293.952,406,0.017,299.392,404.304,0.015,303.843,403.079,0.016,308.288,404,0.016,312.743,403,0.018,317,403,0.032,323.871,403,0.017,328.317,401.921,0.032,335.797,401,0.017,340.668,402,0.006,344.076,402,0.017,348.561,402,0.018,354.017,402,0.015,359.462,402,0.017,363.911,401,0.021,369.439,402.146,0.017,374,402,0.017,378.484,402,0.016,383.94,403,0.017,389.381,402,0.016,395.255,402,0.033,400.511,403,0.016,405.956,404,0.017,409.305,404,0.017,414.868,405,0.017,420.5,403.5,0.018,425.631,404,0.025,430.204,404,0.017,435.655,404,0.017,441.653,405.551,0.016,449.117,405,0.016,456.993,405,0.017,465.9,405,0.016,476.268,406.454,0.017,486.711,406,0.017,494.709,406,0.017,502.385,407,0.017,506.701,407,0.033,506.947,409.107,0.019,502.595,413.405,0.017,490.436,423.564,0.017,470.323,443.372,0.017,444.891,467.109,0.018,421.22,487.975,0.016,400.242,506.581,0.017,385.719,524.375,0.016,367.117,539.883,0.016,347.506,556.495,0.016,327.772,572.06,0.017,308.353,587.647,0.016,288.427,603.049,0.017,272.59,618.41,0.018,257.897,631.103,0.016,245.599,645.102,0.018,232.585,658.415,0.016,219.249,672.043,0.016,210.392,681.608,0.016,201.772,689.485,0.017,198.056,693.944,0.017,196.903,696.195,0.065,205.489,696,0.018,214.468,696,0.017,227.278,695,0.018,246.5,695.5,0.016,269.46,694.769,0.017,292.937,695,0.018,320.852,694.781,0.016,347.276,696,0.016,380.934,695,0.016,410.715,694.107,0.017,439.537,693.882,0.016,459.729,695,0.019,480.537,695.567,0.016,495.749,695,0.017,508.094,696.019,0.016,515.727,696,0.028,521.936,695,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,3289,WJRT
188,403,0,216.321,398.88,0.017,240.452,398,0.018,264.261,398,0.016,297.51,398.796,0.017,322.25,399,0.017,340.703,400,0.017,365.158,401,0.016,382.259,402.695,0.016,400.449,402.921,0.017,417.173,404.147,0.017,434.962,404,0.017,451.764,405,0.016,469.562,406,0.016,487.315,405,0.018,502.891,405,0.017,514.477,403.505,0.016,519.444,403,0.016,517.854,404.073,0.034,510.133,410.911,0.018,494.563,423.129,0.008,465.681,445.687,0.017,442.416,464.009,0.017,422.228,481.686,0.017,392.269,508.427,0.017,371.249,528.287,0.017,348.874,549.605,0.017,330.142,568.858,0.017,307.911,588.671,0.017,290.064,607.499,0.017,272.718,627.943,0.016,255.021,646.206,0.017,243.355,660.752,0.016,229.969,673.692,0.018,220.319,684.241,0.016,211.865,693.351,0.015,208,698.5,0.016,207,701.266,0.068,211.25,700.875,0.036,219.743,701,0.016,226.429,701,0.017,237.164,702.033,0.016,246.042,703.26,0.016,255.937,704,0.016,272.566,706,0.017,284.677,706,0.017,304.419,707.158,0.017,319.72,706,0.016,339.277,704.389,0.015,359.527,704,0.017,374.379,701.937,0.016,392.27,701.284,0.017,407.5,700,0.017,422.408,698,0.017,435.758,696.04,0.016,448.108,696.185,0.016,455.23,696,0.019,464.538,695,0.017,472.592,694,0.016,480.25,695,0.017,484.627,695,0.033,488.531,693.734,0.05,492.215,695,0.033,496.355,695,0.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,2681,WJRT
