@relation EntrenamientoP2MCPP
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
242,394,0,243.054,421.394,0.018,244.582,457.378,0.017,245.658,481.473,0.014,246,507.07,0.018,246,534.521,0.015,246,561.589,0.02,246,587.355,0.02,246,641.419,0.01,247.448,662.301,0.017,248.5,673,0.023,249.646,686.525,0.017,250.761,692.803,0.011,251.904,696.712,0.015,252.5,698.5,0.039,254.16,694.84,0.03,259.579,687.315,0.009,268.003,671.994,0.015,276.412,651.656,0.015,285.241,628.616,0.027,298.166,603.385,0.031,325.145,550.119,0.011,337.338,523.474,0.017,350.916,494.572,0.017,364.232,468.655,0.017,373.767,445.679,0.013,383.458,426.519,0.011,391.138,414.293,0.021,394.862,410.138,0.023,397.122,408.939,0.029,399.306,411.612,0.012,400.473,413.946,0.02,404.328,418.492,0.016,410.046,428.418,0.014,417.707,441.784,0.016,423.55,461.29,0.017,429.337,483.279,0.02,435.863,509.451,0.015,442.889,538.871,0.015,449.512,569.305,0.02,456,591,0.019,462.516,612.903,0.011,471.951,630.813,0.016,481.166,648.332,0.017,488.163,661.299,0.022,495.833,673.31,0.015,504.873,684.341,0.014,509.966,687.573,0.016,515.5,687.5,0.018,516.244,686.378,0.022,519.195,682.342,0.019,523.348,670.118,0.012,528.938,652.197,0.013,535.726,628.459,0.018,541.247,599.766,0.017,545.435,573.393,0.016,548.482,543.152,0.019,552.194,509.684,0.021,555.141,478.014,0.011,557.679,450.691,0.014,559.908,433.647,0.02,561.084,422.158,0.03,561.819,417.638,0.012,560.694,415.387,0.058,565.053,409.947,0.137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1292,MCPP
255,396,0,252.874,418.322,0.017,251.569,441.327,0.013,250.5,462.5,0.019,249.34,490.851,0.015,248.211,519.505,0.016,248,550.553,0.016,249.012,579.32,0.017,250.179,637.954,0.016,250,653.553,0.018,250,665.031,0.016,250,672,0.021,251.319,678.298,0.014,252.778,681.556,0.023,254.804,682,0.007,257.041,680.979,0.019,262.707,678.717,0.024,268.548,671.42,0.015,274.919,659.777,0.017,281.581,643.791,0.018,291.171,625.126,0.021,301.678,603.417,0.015,311.653,578.442,0.015,325.709,551.537,0.015,337.073,522.209,0.025,351.393,492.94,0.03,376.804,444.576,0.021,388.059,426.006,0.016,395.513,413.378,0.016,400.331,407.669,0.011,402.911,405.089,0.011,405.147,406.074,0.016,407.384,408.384,0.017,415.01,412.005,0.016,421.64,428.28,0.02,429.965,456.792,0.018,441.293,485.9,0.012,452.196,515.788,0.015,461.278,543.745,0.017,471.547,572.52,0.023,484.65,597.163,0.019,493.89,620.73,0.013,506.76,642.33,0.012,520,665.5,0.017,525.885,678.065,0.017,532.563,689.845,0.017,538.372,699.869,0.016,540.007,708.046,0.016,541.151,710.302,0.039,542.161,707.678,0.02,542.479,703.563,0.014,543.608,698.351,0.013,544.744,688.564,0.015,545,668.856,0.016,545,642.771,0.023,543.898,607.852,0.017,542.802,567.86,0.014,541.651,525.086,0.016,543.487,487.441,0.016,546,462,0.016,550.097,442.516,0.017,551,426.676,0.02,551,416.571,0.019,549.951,411.802,0.048,556.914,414.305,0.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1233,MCPP
248,402,0,245.906,450.154,0.021,244.566,478.428,0.009,242.32,506.495,0.021,241.511,533.739,0.023,240.398,561.059,0.021,239.296,587.892,0.02,239.939,655.849,0.014,241.105,672.469,0.015,242.223,686.902,0.027,244.714,690.784,0.016,245.442,691.885,0.044,251.253,683.934,0.015,256.518,670.351,0.016,266.44,654.316,0.017,274.157,631.694,0.018,283.395,607.714,0.015,293.758,581.397,0.022,308,552,0.018,317.963,522.542,0.013,330.526,493.622,0.014,341.951,467.413,0.015,357.557,441.086,0.018,368.619,424.572,0.017,377.189,414.263,0.025,384.713,411.449,0.041,391.226,414.613,0.018,398.541,424.196,0.017,404.954,436.907,0.016,415.075,448.195,0.017,423.937,465.632,0.029,432.915,481.101,0.015,444.648,498.972,0.01,454.786,518.966,0.012,465.948,540.729,0.02,479.922,564.483,0.017,490.513,591.648,0.015,503.308,619.853,0.015,514.246,640.267,0.025,522.761,662.903,0.019,530.839,674.545,0.013,538.786,685.344,0.012,543.762,690.071,0.015,546.616,691.808,0.017,548,692.5,0.017,549.066,689.934,0.016,549,687.637,0.02,549,678.785,0.026,548.603,652.876,0.022,547,593.735,0.016,547.76,560.203,0.016,549.813,525.802,0.024,551.004,493.872,0.02,550.876,463.789,0.013,550,435.506,0.011,550,411.978,0.018,550,402,0.016,549,401.778,0.026,549,400,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1238,MCPP
233,402,0,240.153,448.659,0.023,241.845,478.821,0.015,242,510.832,0.01,242,547.211,0.014,243.236,582.317,0.016,244.367,614.654,0.023,244.485,648.413,0.015,245.571,675.277,0.014,246,682.081,0.015,246,684.5,0.04,249.091,675.773,0.02,253.706,660.706,0.012,262.031,646.228,0.014,271.588,625.375,0.016,281.143,605.57,0.018,293.732,582.222,0.02,307.467,559.222,0.02,323.493,533.411,0.012,336.465,505.986,0.012,349.939,477.96,0.023,366.239,454.641,0.017,377.344,431.891,0.017,389.237,414.716,0.02,397.847,405.794,0.009,402.302,403.233,0.017,404.793,404.793,0.015,407.021,408.032,0.015,410.426,413.71,0.019,418.856,434.508,0.017,422.555,457.777,0.022,430.859,490.508,0.019,441.518,521.592,0.013,452.588,552.765,0.011,463.596,581.489,0.017,478.694,605.542,0.028,489.751,628.577,0.015,505.425,649.435,0.013,518.425,669.508,0.012,529.728,690.983,0.016,540.444,706.283,0.016,548.236,720.06,0.042,554.5,730.5,0.025,553,723.756,0.017,551.694,714.86,0.017,550.564,694.026,0.016,548,674,0.023,549,638.267,0.022,550.543,601.775,0.012,553.737,562.981,0.013,556.07,523.77,0.014,561.852,486.376,0.017,564.826,456.292,0.018,568.252,429.987,0.019,568.5,413,0.023,567.372,413.744,0.013,566.5,412,0.027,568.271,416.814,0.117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,1115,MCPP
245,404,0,250.354,443.567,0.012,251,469.967,0.018,250.028,496.346,0.015,248.894,523.543,0.025,247.764,551.888,0.012,248,578.708,0.014,249.472,609.279,0.017,251.18,659.393,0.03,252.665,681.967,0.013,253.807,703.53,0.016,254,718.2,0.014,254,724.311,0.049,257.439,719.415,0.012,267.5,700.5,0.016,277.171,670.195,0.016,288.436,639.528,0.017,301.875,603.999,0.02,316.354,566.073,0.02,334.03,528.686,0.01,347.327,489.575,0.017,366.366,454.268,0.019,375,426.5,0.023,386.535,406.546,0.014,394.47,390.314,0.016,400.343,383.526,0.013,404.96,382.01,0.017,409.451,384.226,0.015,416.54,390.283,0.019,421.836,404.039,0.017,424.44,416.281,0.016,429.983,430.95,0.016,438.416,447.694,0.017,449.313,468.626,0.018,458.578,493.787,0.016,473.24,519.099,0.02,486.092,541.661,0.014,494.95,570.851,0.02,509.332,592.331,0.02,518.921,617.122,0.014,530.512,643.024,0.021,541.229,662.852,0.013,549.513,679.956,0.012,556.258,687.258,0.015,560.742,691.742,0.017,562.606,691,0.017,563.426,688.148,0.017,564.5,686,0.016,563,663.339,0.016,560.642,638.921,0.017,558.191,607.766,0.017,555.987,572.797,0.017,554.85,533.887,0.024,556.266,498.5,0.026,557.336,467.914,0.012,558.98,442.162,0.013,560.621,426.551,0.011,561,417.516,0.014,561,413,0.07,563.13,417.065,0.115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1167,MCPP
256,402,0,250.837,432.139,0.016,249,450.845,0.014,249,464.786,0.015,249,484.125,0.023,247.963,508.814,0.013,246.869,534.006,0.019,245.703,559.543,0.019,243.866,594.762,0.012,240.989,634.617,0.03,240,654.43,0.017,239,682.566,0.017,240.017,688.068,0.04,242.218,686.891,0.021,245.384,681.195,0.013,251.246,666.58,0.01,258.5,650,0.024,270.176,623.589,0.011,280.412,596.411,0.014,292.798,566.479,0.017,307.101,536.712,0.017,320.785,508.197,0.021,335.488,484.405,0.024,346.199,459.901,0.017,359.644,439.142,0.017,371.191,421.682,0.011,382.998,409.638,0.019,392.657,401.3,0.024,398.379,395.874,0.015,404.691,394.173,0.027,409.419,396.135,0.009,420.5,406.5,0.016,424.704,415.407,0.018,429.174,427.521,0.018,437.414,442.048,0.019,447.945,456.923,0.014,454.905,475.414,0.016,464.245,493.491,0.018,476.008,511.412,0.022,486.539,529.565,0.024,497.711,548.592,0.017,510.794,569.192,0.011,521.893,593.293,0.011,532.963,616.923,0.013,543.05,634.867,0.017,549.41,651.525,0.017,556.244,658.992,0.017,558.5,660.5,0.017,560,659,0.034,560,654.472,0.024,560.948,649.26,0.012,561,631.56,0.013,562.228,609.66,0.016,560.648,582.913,0.019,559.553,554.834,0.022,562.182,521.445,0.018,564.33,491.382,0.015,567.419,459.427,0.022,568.916,431.099,0.013,570.054,403.693,0.013,571.169,381.613,0.012,572.301,370.685,0.023,573,367.126,0.019,573,365,0.025,570.461,367.269,0.036,569.732,369.536,0.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,1288,MCPP
258,395,0,255.931,415.695,0.02,254.701,437.38,0.015,254,457.956,0.01,254,480.557,0.016,254,505.435,0.02,254,531.992,0.018,254,558.681,0.012,254,608.834,0.018,252.833,633.834,0.017,250.432,658.248,0.015,249.582,671.845,0.023,249,682.706,0.016,249,686.249,0.012,249,688,0.037,253.046,682.954,0.015,261.839,671.951,0.015,271.158,656.494,0.016,281.444,635.111,0.026,293.647,611.24,0.02,306.541,584.538,0.011,321.219,555.022,0.016,334.468,523.899,0.017,347.808,492.448,0.026,364.409,461.67,0.022,393.665,412.78,0.012,402.258,401.323,0.017,410.786,397.607,0.015,418.214,397.405,0.018,423.325,402.157,0.016,430.746,410.709,0.017,437.478,425.035,0.022,447.944,447.104,0.016,454.99,467.403,0.013,461.733,488.199,0.017,470.034,513.187,0.021,479.472,535.681,0.016,488.232,559.917,0.013,498.382,587.353,0.027,510.225,610.43,0.021,518,635.001,0.013,525.596,656.725,0.012,532.846,672.692,0.011,540.5,688,0.016,542.924,692.849,0.02,545.491,697.236,0.019,547,699.5,0.016,548.009,696.996,0.026,550.388,692.836,0.011,553.239,680.699,0.026,553.636,659.713,0.015,553,633.821,0.015,552.399,601.566,0.018,552,569.117,0.018,551.008,507.202,0.016,551,479.219,0.022,551,458.908,0.017,551.322,439.138,0.014,552.468,425.384,0.015,553,421.209,0.02,553,418.5,0.146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1180,MCPP
254,399,0,251.884,415.931,0.019,249.319,435.107,0.014,248.54,454.824,0.021,247.41,476.802,0.017,246.314,500.102,0.027,245.189,524.832,0.011,245,548.55,0.009,242.844,595.275,0.017,243,613.745,0.02,243,633.108,0.026,242.414,650.381,0.009,243,663.481,0.015,243.679,674.114,0.023,244.806,680.223,0.01,245,682.854,0.011,245,684,0.029,248.358,681.821,0.018,250.987,680.013,0.011,256.317,673.911,0.021,264.202,663.222,0.014,271.712,648.719,0.015,280.087,629.304,0.018,290.843,605.546,0.022,304.178,578.596,0.017,316.57,551.279,0.013,332.336,521.927,0.016,345.584,493.065,0.018,360.447,467.6,0.013,372.15,446.545,0.023,383.886,429.246,0.015,393.755,415.711,0.014,399.878,409.122,0.009,404.413,406.794,0.019,406.49,407,0.03,409.667,409.445,0.033,418.195,420.991,0.015,424.167,437.333,0.018,432.596,456.142,0.02,441.595,478.488,0.02,451.507,503.85,0.011,457.783,529.833,0.017,466.179,554.992,0.018,473.5,579.5,0.022,485,601,0.013,493.336,622.839,0.013,505.104,642.616,0.017,513.374,659.802,0.018,518.786,674.043,0.017,523.122,687.366,0.017,526.229,693.868,0.016,528,697,0.051,529.868,691.265,0.022,532.964,687.048,0.013,536.396,677.945,0.022,540.493,662.792,0.016,542.737,644.899,0.012,544.493,617.685,0.014,545,586.781,0.016,544.264,553.184,0.017,544,518.802,0.02,544,485.267,0.014,544,454.345,0.017,544,430.342,0.016,545.354,407.915,0.018,545,398.846,0.019,545,395,0.065,545,401.01,0.115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,1336,MCPP
253,409,0,254.028,433.672,0.018,254,461.518,0.016,254,485.068,0.028,253.435,507.441,0.009,252.324,533.221,0.02,252,561.407,0.018,252,589.527,0.016,251,637.255,0.019,251,658.338,0.016,251,673.977,0.016,251.409,686.454,0.018,252,691.601,0.014,252,694.5,0.027,254.54,691.73,0.016,257.086,687.886,0.015,266.339,677.493,0.016,275.198,658.604,0.021,284.186,639.229,0.017,295.755,617.965,0.015,309.172,592.656,0.014,324.271,566.966,0.017,336.792,538.142,0.017,351.665,511.575,0.024,366.737,486.061,0.016,378.41,464.617,0.011,392.439,442.971,0.016,398.374,433.698,0.021,403.4,428,0.012,407.159,424.561,0.016,410.524,425.682,0.019,412.919,426.96,0.019,415.121,429.121,0.018,419.759,432.569,0.014,424.316,438.645,0.017,428.877,445.816,0.018,434.5,456.5,0.025,444.73,474.783,0.015,451.837,493.512,0.009,457.616,511.773,0.014,465.543,534.552,0.018,474.606,553.413,0.026,483.683,571.05,0.024,491.196,589.993,0.016,511.529,624.412,0.02,518.547,638.852,0.019,524.395,652.548,0.013,530.128,662.204,0.016,534.62,668.931,0.021,536.558,671.837,0.023,538.724,671,0.038,539,666.486,0.021,539,663.447,0.019,539.964,651.434,0.013,540,626.495,0.022,540.228,596.15,0.014,541,562.821,0.012,541,528.429,0.017,543.611,493.895,0.018,545.406,466.129,0.016,546.835,441.463,0.02,548.932,420.614,0.019,550.048,409.517,0.012,550,403.967,0.016,548.676,402.352,0.184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1304,MCPP
251,404,0,250.298,435.636,0.014,250,456.214,0.018,249.032,478.356,0.02,246.833,501.757,0.011,244.61,525.097,0.017,243.635,551.033,0.024,241.047,584.535,0.011,239.424,616.944,0.015,239,640.43,0.015,239.817,662.517,0.021,240.937,683.805,0.015,242.047,699.657,0.015,243.224,712.467,0.016,244.327,715.307,0.039,248.704,710.16,0.016,254.566,698.868,0.013,265.688,678.203,0.015,276.217,653.914,0.023,289.422,624.05,0.023,304.135,591.873,0.016,320.879,559.5,0.014,337.87,527.043,0.016,355.285,497.055,0.018,370.623,469.119,0.018,386.418,440.97,0.029,407.808,405.235,0.013,418.173,397.087,0.016,421.989,395.505,0.016,426.583,398.792,0.018,428,404,0.02,436.01,417.826,0.019,443.694,436.523,0.011,451.963,462.444,0.016,458.928,491.689,0.018,466.807,523.229,0.016,479.58,552.099,0.023,486.531,580.039,0.016,494.014,604.258,0.012,505.37,628.582,0.015,515.591,650.979,0.021,523.878,669.596,0.021,531.426,683.935,0.011,537.339,688.203,0.014,539.372,688,0.022,541.655,686.672,0.022,542.41,679.667,0.013,544.08,661.204,0.012,545.677,635.065,0.015,546.787,604.162,0.016,549.75,570.504,0.017,553.137,535.586,0.018,557.652,499.786,0.017,559.585,467.518,0.017,561.824,436.458,0.042,562.366,402.925,0.01,561.237,398.474,0.02,559.217,399.783,0.011,558,401,0.017,561.139,402.139,0.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1160,MCPP
