@relation EntrenamientoP2YACP
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
251,395,0,250,433.5,0.014,248.101,456.985,0.017,246.836,480.807,0.015,243.178,521.045,0.02,242.41,540.487,0.016,241.136,565.776,0.013,241,592.566,0.022,241,613.601,0.01,241,635.528,0.018,242.871,656.096,0.016,244,670.688,0.023,246.317,683.585,0.017,247,689.5,0.03,249,686.883,0.035,252.65,674.452,0.013,259.731,660.403,0.014,270.926,643.518,0.017,280.169,625.963,0.016,292.727,604.909,0.019,306.383,582.48,0.014,319.91,559.483,0.022,334.428,535.788,0.013,344.5,513.5,0.018,360.217,492.304,0.018,369.471,469.94,0.017,376.995,447.352,0.016,389,432.5,0.019,394.451,414.281,0.013,399.197,402.509,0.017,401.344,393.968,0.02,404.268,394.268,0.018,409.406,404.609,0.021,416.215,416.024,0.011,423.028,431.408,0.016,430.624,446.342,0.022,438.545,467.089,0.013,449.08,486.744,0.016,455.921,507.123,0.019,463.44,526.739,0.014,473.715,546.429,0.019,483.054,564.812,0.013,489.82,584.068,0.017,495.522,602.726,0.012,503.536,622.964,0.02,513.012,637.36,0.011,519.5,652.5,0.022,527.21,662.21,0.012,537.443,671.295,0.023,543.309,678.926,0.011,547,684,0.036,549.054,682.892,0.035,551.281,663.875,0.013,553.898,643.015,0.021,555.878,621.655,0.013,556.384,596.775,0.017,554.626,572.116,0.016,553.145,546.879,0.014,550.753,521.644,0.02,549.648,497.131,0.012,548.39,473.514,0.016,548,450.63,0.026,549,432.371,0.013,550.334,414.998,0.014,552.58,403.681,0.028,552,393.162,0.028,551.774,386.548,0.159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,2614,YACP
251,394,0,247.988,448.174,0.016,246.747,476.035,0.016,247,501.5,0.016,249,541.45,0.02,250.977,567.752,0.017,254.739,592.709,0.014,256.986,612.439,0.015,258.29,632.678,0.02,257,654.722,0.015,255.762,671.901,0.015,256,688.393,0.022,255,697.693,0.016,255.937,704.874,0.014,259.287,702.808,0.017,270.5,687.5,0.021,279.306,663.543,0.015,289.258,634.226,0.014,304.097,603.207,0.021,315.447,572.659,0.015,334.767,538.699,0.02,348.938,506.117,0.013,362.257,475.229,0.017,370.993,448.519,0.022,379.139,426.159,0.012,389.971,410.059,0.025,395.427,403.573,0.01,401.219,401.609,0.021,407.268,405.451,0.011,417.471,413.377,0.017,426.22,429.44,0.013,435.334,447.668,0.016,446.988,471.313,0.016,456.223,494.669,0.017,463.932,519.416,0.023,476.161,544.796,0.012,486.151,569.089,0.017,494.05,592.137,0.018,501.875,612.626,0.016,511.594,633.781,0.028,521.622,661.118,0.017,527.247,673.618,0.015,538.587,684.19,0.02,543,687.5,0.032,545.103,677.383,0.015,543.664,656.972,0.015,544,629.8,0.017,545,599.83,0.017,543.897,566.448,0.017,542.672,534.076,0.016,541,500.371,0.016,541,470.474,0.022,543,443.789,0.014,544.286,420.859,0.015,545.547,406.264,0.016,546,395.825,0.017,544.5,392,0.142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,2086,YACP
235,419,0,240.355,458.614,0.015,243.581,482.232,0.015,243,503.191,0.02,238.617,538.009,0.013,235.985,559.708,0.016,235.5,590.5,0.019,235,617.542,0.017,235,645.939,0.014,236.31,668.099,0.015,241,684.069,0.017,244.516,696.789,0.02,248.993,701.996,0.015,253.572,703,0.023,261.461,696.59,0.012,270.52,681.368,0.015,280.888,659.246,0.019,292.248,636.921,0.017,306.309,610.801,0.019,319.205,583.591,0.016,332.706,556.538,0.02,345.111,530.963,0.016,358.295,504.352,0.018,368.717,484.207,0.013,376.837,463.735,0.017,386.573,445.28,0.017,393.766,430.91,0.015,397.345,417.293,0.021,400.898,406.41,0.012,402.172,398.483,0.021,404.366,394.267,0.095,406.383,399.383,0.022,412.181,407.181,0.019,417.48,416.133,0.011,424.235,430.704,0.017,431.066,444.132,0.02,436.165,460.077,0.013,444.523,476.886,0.02,453.154,494.36,0.018,461.324,510.317,0.017,468.891,527.626,0.016,477.176,545.145,0.017,482.041,564.329,0.022,486.551,583.204,0.014,492.5,599.5,0.024,501.498,622.297,0.015,509.652,634.978,0.018,517.197,646.996,0.018,523.846,656.462,0.013,530.621,664.621,0.017,535.234,672.468,0.017,541.765,678.147,0.018,546,681,0.034,549.537,682,0.084,550,674.62,0.012,551.074,664.628,0.019,552,653.306,0.025,552.658,630.733,0.017,553,613.696,0.016,554,593.537,0.015,554,574.849,0.016,555,555.32,0.016,556.888,535.899,0.012,555.846,518.77,0.017,559.374,501.007,0.017,557,485.651,0.016,558,470.783,0.017,556,457.364,0.017,557.356,442.511,0.017,555,429.42,0.016,554.841,416.953,0.016,553.909,406.637,0.018,552.685,400.054,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,2832,YACP
243,394,0,248.325,429.113,0.013,250.432,449.89,0.02,252.618,467.943,0.015,254.856,496.265,0.016,255,517.003,0.014,257.402,536.811,0.015,257,558.5,0.02,256.307,578.465,0.017,254.889,599.892,0.013,254,619.423,0.019,252.5,633.5,0.018,252,651.812,0.014,251,664.423,0.02,250,675.485,0.016,251,683.5,0.032,251,682.919,0.035,256.767,665.126,0.013,267.674,646.431,0.014,276.092,622.77,0.022,284.017,597.202,0.016,298.681,570.103,0.02,310.686,545.154,0.016,328.022,520.973,0.019,339.104,497.792,0.019,349.369,474.736,0.013,362.108,453.973,0.02,369.879,436.282,0.008,376.958,419.562,0.017,382.954,410.093,0.017,388.407,405.593,0.016,394.105,404,0.022,398.661,405.33,0.012,404.705,409.137,0.019,413.92,416.92,0.015,422.187,426.233,0.022,430.063,439.595,0.014,435.5,453.5,0.018,444.109,474.218,0.016,453.083,493.186,0.021,460.737,511.966,0.017,470.001,532.503,0.015,478.989,552.472,0.016,486.044,569.103,0.02,493.997,585.995,0.016,501.993,598.492,0.017,511.153,613.023,0.017,517.914,625.885,0.016,523.817,639.634,0.03,536.252,658.815,0.013,543.605,669.012,0.018,548.073,677.22,0.016,552.666,682.666,0.036,554,682,0.021,551.707,672.537,0.016,550.5,658,0.016,551,637.054,0.023,552.021,616.809,0.01,552.268,591.053,0.019,552.5,564,0.017,553.779,535.651,0.015,553.998,508.02,0.017,554,481.039,0.016,554,458.44,0.017,554.707,437.341,0.017,554.952,419.384,0.015,556.222,406.891,0.016,553.069,396.672,0.017,554.683,392.634,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,2573,YACP
247,378,0,246,430.686,0.014,247,462.951,0.018,248.239,495.346,0.016,248,550.5,0.016,249,578.917,0.019,249.965,612.433,0.015,250,640.766,0.024,251,665.09,0.018,253,685.106,0.015,254,693.796,0.017,256.201,694,0.021,261.099,684.327,0.015,273,662.2,0.019,284.229,634.312,0.019,302.323,605.129,0.014,319,574,0.022,336.249,539.002,0.014,354.95,505.09,0.022,372.898,471.915,0.013,392.5,438,0.021,401.887,411.782,0.011,408.997,389.017,0.018,411,380.409,0.033,411,387.275,0.018,414.147,402.516,0.02,418.644,419.221,0.009,424.701,442.102,0.013,432.434,468.737,0.021,444.158,498.338,0.011,457.872,529.681,0.018,472.242,557.363,0.017,487.85,585.009,0.012,503.364,607.455,0.017,518.711,628.281,0.023,528.952,646.416,0.012,539.216,658.694,0.021,543.001,667.001,0.01,545.189,671.377,0.085,546,661.689,0.012,547.347,649.263,0.016,548,626.455,0.021,549,601.405,0.014,550,570.76,0.023,551,535.647,0.02,551.534,502.523,0.013,551.802,469.574,0.017,549.949,442.436,0.017,548.707,423.365,0.021,548,409.956,0.013,548,400.68,0.015,548,395.942,0.033,547,391.503,0.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,2041,YACP
248,393,0,251,438.875,0.014,252,466.955,0.017,253.427,495.557,0.016,255.5,543.5,0.014,257,571.518,0.019,259.131,601.574,0.017,262.511,630.534,0.017,266.206,654.823,0.019,271.621,673.988,0.018,275.33,686.549,0.015,278.744,691.744,0.035,286.546,680.908,0.021,297.443,659.431,0.016,306.295,631.792,0.018,315.271,602.369,0.013,326.909,570.727,0.021,335.202,538.991,0.018,340.663,508.025,0.018,350.589,485.786,0.01,361.099,463.253,0.015,368.019,442.949,0.021,374.748,429.504,0.014,382,415.5,0.021,390.213,408.787,0.012,394,405,0.053,396.944,411.416,0.018,400.729,418.916,0.015,405.952,432.887,0.024,412.602,445.004,0.018,422.899,459.849,0.022,429.047,476.775,0.018,436.777,495.499,0.012,447.294,510.51,0.018,454.963,526.85,0.019,461.024,543.397,0.014,468.728,562.524,0.022,479.664,577.162,0.013,488.306,594.046,0.022,500.533,605.885,0.015,513.627,620.348,0.017,522.624,630.78,0.017,531.605,640.605,0.015,541.878,653.504,0.021,546.702,660.552,0.013,550.091,665.181,0.032,553,661.855,0.02,553.694,648.55,0.015,553.426,630.409,0.013,552.187,610.053,0.021,550.96,588.638,0.013,547.696,562.651,0.019,545.435,536.352,0.016,543.203,511.227,0.024,540.96,486.525,0.01,538.706,464.357,0.014,540.525,443.325,0.017,543.774,424.808,0.017,547.006,409.961,0.017,550.27,402.189,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,2278,YACP
246,389,0,243.748,433.292,0.02,244.542,464.05,0.012,246.718,492.334,0.014,250.933,538.353,0.016,252,573.548,0.015,254.478,606.21,0.02,253.303,639.758,0.015,253.033,669.607,0.019,251.749,692.011,0.013,252,700.366,0.083,258.74,681.705,0.02,267.636,656.501,0.014,278.342,626.979,0.02,293.176,596.338,0.017,309.066,565.691,0.018,330.114,535.829,0.017,343.5,509,0.019,363.527,479.945,0.014,374.734,457.386,0.021,390.782,438.218,0.012,400,416,0.017,405.681,404.798,0.022,405.903,397.709,0.031,408,403.186,0.019,410.81,410.239,0.012,416.195,422.585,0.02,420.871,438.452,0.012,427.727,453.604,0.021,436.148,471.509,0.01,449.411,492.565,0.021,458.182,513.66,0.015,472.382,539.477,0.021,484.795,565.59,0.011,495.114,592.297,0.016,505.394,618.624,0.017,513.5,642.5,0.015,520.183,662.821,0.016,526.02,679.046,0.016,531.51,685.51,0.035,533,682.345,0.019,533,676.727,0.016,533.656,658.248,0.02,537.566,633.206,0.013,539.943,586.851,0.013,541.176,552.182,0.013,541.448,515.829,0.019,541,485.5,0.015,541.057,450.796,0.021,543,425.724,0.014,544.405,408.166,0.017,545.5,401.5,0.148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,2006,YACP
242,399,0,243.98,445.755,0.016,244,468.995,0.017,244,494.447,0.016,244.332,531.02,0.014,244,559.823,0.014,244,588.773,0.021,241.566,617.647,0.016,239.5,642,0.014,238,665.2,0.02,237.851,684.192,0.018,240.404,696.424,0.015,241,700,0.052,249.574,686.139,0.016,259.048,662.495,0.016,274.055,637.057,0.014,287.944,606.262,0.016,305.905,574.061,0.018,325.39,544.104,0.019,341.159,512.682,0.015,359.589,482.822,0.016,372.476,453.761,0.022,388.252,427.556,0.011,396.77,406.87,0.017,400.803,394.789,0.017,404,391,0.052,402.527,397.58,0.02,406.545,408.861,0.011,414.152,422.266,0.014,421.826,440.203,0.015,428.5,461,0.016,436.19,486.029,0.016,449.114,511.228,0.017,457.799,536.928,0.018,469.5,563,0.016,481.649,583.299,0.016,488.91,604.729,0.029,499.967,633.256,0.014,510.815,647.629,0.023,518.43,656.43,0.016,525.241,662.161,0.01,533.302,665.326,0.017,538.155,670.577,0.021,542,672.5,0.083,541,662.899,0.016,541.901,646.893,0.016,543.135,625.645,0.022,545.37,602.926,0.011,548.254,575.847,0.017,550,544.513,0.02,551.186,512.698,0.014,551.643,481.005,0.018,552.609,454.299,0.019,553.167,431.67,0.013,554,411.102,0.018,552.341,399.352,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,2184,YACP
257,390,0,247.785,439.584,0.019,247,463.945,0.016,247,486.5,0.013,249.88,527.282,0.018,251.182,552.189,0.016,255.45,575.504,0.02,260.241,598.586,0.015,264.073,623.195,0.02,267.136,641.088,0.018,265.573,660.986,0.015,268,676.832,0.019,265.12,688.519,0.015,266,695.272,0.017,265.037,692.11,0.016,266.206,681.968,0.018,269.498,662.516,0.016,278.03,642.556,0.014,288.803,617.361,0.019,304.333,589.335,0.017,317.663,557.786,0.015,333.356,526.275,0.017,345.651,495.699,0.013,361.061,465.878,0.016,372.165,439.237,0.017,381,416,0.016,395.523,399.955,0.019,404.644,387.194,0.019,410.215,384.595,0.02,416.502,389.502,0.01,422.069,400.137,0.018,426.631,415.472,0.014,435.948,437.357,0.022,448.489,458.374,0.018,457.819,483.502,0.012,466.671,511.461,0.018,477.788,541.259,0.014,488.488,589.439,0.016,495.159,619.795,0.02,501.543,642.988,0.012,513,662.5,0.019,519.342,675.903,0.02,526.108,684.072,0.012,530.573,686.286,0.037,534.534,688,0.035,538.107,684.893,0.026,541,675.5,0.021,542.731,659.156,0.015,544.988,638.119,0.026,548.409,612.137,0.027,554.191,562.069,0.014,556.834,525.494,0.017,557.945,491.237,0.014,561,461.151,0.02,563.5,436.5,0.015,563.213,416.488,0.017,563,403.675,0.015,564,394.591,0.026,564.254,396.746,0.119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,2296,YACP
252,392,0,247.759,440.89,0.012,246.5,466.5,0.019,247,492.955,0.019,247,530.836,0.015,250.454,556.954,0.019,252.453,579.985,0.018,255,605.496,0.016,257,630.524,0.018,259.391,655.345,0.017,257.145,672.42,0.014,260.681,688.722,0.016,263.91,695.82,0.014,264,693.806,0.016,267.644,682.489,0.019,272.694,661.919,0.019,278.357,637.453,0.015,289.026,608.732,0.016,302.957,579.13,0.013,313.601,547.498,0.017,330.803,519.84,0.021,344.422,489.81,0.011,364.156,463.876,0.019,380.597,439.403,0.02,396.321,418.423,0.01,405.34,403.989,0.017,414,391,0.018,416.5,388,0.049,419.285,394.854,0.014,425.699,407.831,0.016,432.278,423.834,0.016,442.272,446.49,0.02,455.509,473.924,0.021,465.01,502.029,0.018,476.571,532.904,0.012,486.05,564.174,0.021,492.904,594.163,0.012,500,624,0.021,511.901,645.978,0.011,520.936,665.856,0.017,529.988,683.58,0.013,538.972,695.466,0.017,544.409,698.705,0.013,547.541,701.541,0.052,548.671,694.987,0.019,549.905,687.38,0.012,552.187,674.879,0.023,554.793,659.223,0.014,557,640.67,0.015,559,619.915,0.018,559,594.189,0.017,559.402,565.775,0.016,559,537.33,0.017,559.787,508.386,0.018,559,479.223,0.016,558.617,452.018,0.02,559.406,431.056,0.014,560,413.069,0.012,557.782,398.237,0.016,559,388.605,0.017,560.418,381.253,0.017,560.168,376.335,0.016,560,370.753,0.017,558,365.562,0.137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,2380,YACP
