@relation EntrenamientoP3APTP
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
518,400,0,470.721,403,0.013,445.311,404,0.017,421.796,405.2,0.02,383.282,405,0.016,370.059,404,0.013,352.031,404.871,0.021,333.288,404,0.014,313.112,403.679,0.022,297.714,404.536,0.011,282.338,404,0.019,268.046,403.992,0.019,255.802,402.76,0.023,244.366,403,0.012,231.898,404.684,0.018,218.534,404,0.015,208.358,405,0.021,201.985,406.338,0.031,199.868,409.263,0.033,201,414.761,0.013,201,425.253,0.019,200.182,440.909,0.013,199,457.655,0.019,196.264,470.586,0.011,195.492,487.066,0.018,196.734,501.402,0.015,196.02,516.842,0.015,198.426,530.279,0.016,198,544.15,0.018,198,554.555,0.023,199,563.628,0.013,199,567,0.018,203.395,567.868,0.022,209.679,565.107,0.016,217.516,561.742,0.023,229.312,561,0.011,246.873,559,0.017,268.615,557.434,0.017,291.293,558.029,0.017,317.01,558.251,0.017,341.192,557.528,0.02,367.186,559,0.012,392.422,557.105,0.022,413.166,557,0.01,433.681,553.591,0.013,450.48,551,0.019,467.536,549.817,0.018,480.467,548.067,0.014,488.223,549.306,0.021,490.267,552.535,0.035,488.462,557.807,0.021,487.791,561.417,0.037,488,566.469,0.014,488.996,573.985,0.019,489.197,582.787,0.027,490.546,598.729,0.014,490,611.876,0.017,491.996,622.982,0.015,492,636.212,0.016,492,647.814,0.012,493,660.121,0.014,493,672.577,0.017,495.138,682.551,0.015,497.385,691.54,0.016,497,700.739,0.02,499.631,706.631,0.02,501,711.092,0.02,500.719,716.561,0.061,494.369,715.184,0.013,490.923,713.974,0.015,485.084,710.39,0.023,475.54,709.506,0.013,457.922,709.275,0.015,432.372,708.969,0.013,401.477,708,0.016,368.698,708,0.016,337.961,708,0.021,301.691,708.87,0.012,266.565,709,0.018,237.351,710,0.018,211.334,712.567,0.021,193.744,713.249,0.014,181.916,714,0.024,175.389,715,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,3237,APTP
524,402,0,494.082,408.894,0.017,472.337,411.666,0.016,448.047,412,0.017,407.305,410.852,0.023,384.232,410,0.015,361.833,409.426,0.011,343.181,409.169,0.02,326.729,409,0.014,311.067,407.724,0.023,298.628,409,0.011,285.656,408.276,0.021,275.444,408,0.016,263.186,408.163,0.023,252.946,405.589,0.016,245.51,404.377,0.02,238.414,403.138,0.014,231.622,403,0.022,225.444,402.278,0.018,219.96,403.52,0.011,212.945,405.764,0.02,207.129,407.957,0.013,201.571,411.215,0.011,198.546,415.909,0.017,198,420,0.017,196,428.711,0.02,197.199,436.398,0.011,198,445.378,0.017,197,457.441,0.016,200,469.185,0.02,201.015,480.074,0.017,201,492.979,0.016,202,504.92,0.016,202,517.22,0.016,202,528.554,0.025,203,536.596,0.017,203,543.985,0.019,205.214,550.214,0.03,207.266,553.531,0.084,212.811,553,0.037,223.217,549.946,0.015,242.833,550,0.023,265.138,549,0.015,290.936,548,0.018,321.736,548,0.016,353.072,549,0.022,381.575,550.411,0.011,408.867,551,0.018,432.701,551,0.016,454.276,551,0.016,465.817,550,0.017,473.142,551,0.015,478.749,552.916,0.019,481.171,555.171,0.039,482,559.536,0.03,483,564.035,0.017,484,569.823,0.017,485.5,577,0.017,487,584.121,0.019,488,591.787,0.017,489,601.926,0.022,489,611.58,0.021,490,621.074,0.015,490,632.072,0.011,490,643.377,0.014,490,652.259,0.018,491,665.228,0.016,491.761,676.807,0.017,492.99,687.942,0.017,491.803,700.985,0.015,492,709.333,0.02,494.5,715.5,0.034,491.901,716,0.031,485.7,713.35,0.022,472.19,713.802,0.014,451.856,710.873,0.016,421.621,711,0.018,386,709,0.016,351.43,711.786,0.016,316.154,713.05,0.025,289.089,714.757,0.013,264.139,715.486,0.015,244.306,715.712,0.017,226.545,715.068,0.017,212.157,716,0.014,198.669,716.612,0.013,185.836,716,0.015,182.467,716,0.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,3353,APTP
502,404,0,454.104,402.806,0.017,417.476,404,0.017,384.374,404,0.016,340.407,402.517,0.017,321.028,398.575,0.017,303.424,396.061,0.017,284.518,390.671,0.018,272.047,389,0.008,258.296,388.617,0.015,246.925,390,0.017,233.558,389.926,0.017,223.819,393.591,0.019,217.949,398.051,0.017,210.988,403.259,0.017,202.088,408.934,0.017,195.384,414.616,0.017,191.566,422.302,0.017,189,432.641,0.016,188.117,441.532,0.017,186.885,454.803,0.017,187,465.699,0.018,188,481.54,0.016,189.585,497.546,0.016,190.019,513.13,0.017,190,523.973,0.018,192.471,532.884,0.016,195,542.491,0.027,199.847,549.847,0.012,203.306,554.306,0.016,212.138,557.379,0.017,219.4,558,0.015,229.99,558,0.017,245.317,553.947,0.016,262.564,551.715,0.017,280.559,551.492,0.016,301.846,550.737,0.017,328.495,550,0.017,354.519,550,0.017,378.171,552.417,0.016,403.153,554,0.016,427.317,554.741,0.017,446.67,557.096,0.016,465.604,556,0.018,478.864,557,0.016,489.892,557.778,0.017,496.005,559.002,0.016,500.455,562.455,0.033,500.687,569.373,0.017,501,574.733,0.017,501,582.554,0.017,502,593.197,0.018,502,605.734,0.016,502.818,619.725,0.017,503,631.225,0.018,503,645.917,0.016,503,658.467,0.015,504,669.331,0.016,504.952,678.806,0.016,505,689.69,0.016,503.604,704.774,0.018,504,709.256,0.015,504,716,0.049,499.577,712.789,0.034,494.48,711,0.017,490.024,709.012,0.017,483.135,709,0.017,469.916,708,0.017,453.316,708,0.016,433.069,707,0.017,416.042,706,0.016,390.85,705,0.019,365.265,704,0.016,339.004,704,0.016,311.6,705.027,0.017,287.916,705,0.017,266.778,706.469,0.017,244.339,708.415,0.016,224.582,710.065,0.016,207.734,710,0.017,190.898,709.612,0.018,183.161,711,0.015,179,711,0.032,185.715,713,0.149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,3028,APTP
517,400,0,475.046,403.33,0.013,451.061,404,0.02,428.535,404.77,0.013,391.346,405,0.015,368.273,403.455,0.023,345.806,404.068,0.014,324.176,403,0.009,305.408,401.058,0.015,285.431,400.826,0.021,270.38,400.374,0.014,255.728,401.39,0.017,242.884,401,0.02,229.754,402,0.014,218.638,401,0.015,208.424,402.525,0.02,201.548,404,0.014,198,405.5,0.016,199.27,407.27,0.017,201,410.527,0.036,202,417.229,0.014,202,428.04,0.02,202,437.699,0.017,202,447.741,0.024,204.971,460.932,0.009,204,472.158,0.016,204,483.253,0.021,203.662,496.014,0.011,202,504.574,0.012,200.848,514.759,0.021,200.609,524.563,0.016,200.414,532.759,0.018,200,539.452,0.016,201.068,545.136,0.017,198.424,550.863,0.029,202,553.356,0.036,207,553,0.016,211.648,553,0.023,217.003,552,0.014,222.943,552.736,0.02,230.887,554.943,0.015,242.209,555,0.013,257.104,556.443,0.018,272.239,556,0.031,291.009,557.876,0.012,323.121,558.236,0.022,347.434,556,0.022,370.141,556,0.012,393.303,555.139,0.014,413.192,556.133,0.018,433.143,555,0.022,447.969,555.433,0.015,463.328,555,0.017,476.052,555.99,0.016,488.364,555,0.018,499.466,555,0.016,505.399,556,0.018,508.53,557.265,0.03,503.521,562.479,0.022,500.731,564.537,0.03,498,570.363,0.019,498,575.216,0.012,497.63,584.149,0.015,499,591.525,0.027,500.936,601.387,0.013,500,614.998,0.019,502,626.151,0.015,502.76,637.8,0.017,504.006,649.972,0.016,504,657.655,0.019,505.454,669.268,0.021,506.35,679.25,0.013,506.898,686.694,0.016,508.263,695.527,0.017,509.362,704.449,0.017,510,709.178,0.016,509,713.598,0.016,509,716.101,0.049,502.619,715.31,0.021,499,713.5,0.02,495.727,711.863,0.026,491.023,711,0.024,479.599,711,0.016,467.51,710.918,0.017,450.589,712.301,0.016,430.5,711.5,0.016,407.958,713,0.021,386.525,713,0.012,365.109,713,0.023,345.462,713.607,0.013,320.215,713,0.016,294.62,713.865,0.017,266.648,714,0.016,242.636,715.336,0.017,218.976,715.558,0.011,198.993,716.779,0.018,183.986,717.002,0.035,170.348,716.674,0.013,0,0,0,0,0,0,196,3763,APTP
505,398,0,474.879,398,0.017,455.294,398,0.021,433.611,398,0.014,400.175,397,0.026,373.63,396,0.007,355.628,396,0.017,335.187,396.545,0.015,316.069,397,0.018,303.139,397,0.017,288.284,397,0.022,276.473,397,0.014,263.397,398,0.017,251.458,399.885,0.021,242.642,401.09,0.012,229.582,403.691,0.017,221,402,0.017,211.89,402.777,0.02,204.974,404.009,0.018,199.653,406.173,0.018,195.645,407.355,0.067,196,412.532,0.017,193.361,421.097,0.018,190.974,431.132,0.016,190,442.548,0.013,188,460,0.022,187.722,470.333,0.012,188,485.701,0.017,188,495.892,0.02,189.37,503.109,0.017,188.39,515.048,0.019,189,523.528,0.02,192.18,534.539,0.018,192,544.621,0.014,193,551.92,0.017,196.005,558.005,0.03,200.439,561,0.018,207.318,561,0.018,219.003,560,0.015,237.032,561,0.017,259.97,560,0.021,285.367,559.67,0.012,309.99,558,0.018,331.101,557.878,0.011,352.918,559.392,0.02,370.141,558.571,0.01,387.739,559.18,0.016,404.142,560,0.014,418.757,560,0.021,436.338,559.477,0.016,450.29,560,0.012,465.705,560,0.021,478.939,561,0.017,492.316,561.386,0.088,504.801,563.267,0.016,503.806,567.388,0.022,504,573.539,0.026,508.309,585.412,0.016,507,594.37,0.019,508.5,603,0.016,510.228,617.861,0.02,510,628.905,0.011,512,644.14,0.02,511.444,655.666,0.016,512,670.826,0.014,510.16,682.599,0.017,507.859,692.707,0.022,505.947,704.053,0.014,502.5,709,0.032,502,713,0.024,496,708,0.014,491.2,705.467,0.033,483.23,704.077,0.03,462.672,705.266,0.014,445.5,706,0.019,421.715,706.729,0.013,395.361,707,0.016,371.907,708.209,0.02,350.693,707,0.022,331.31,707,0.025,298.361,706.96,0.024,273.042,708.218,0.017,248.575,710.885,0.017,228.14,713,0.016,208.964,714.893,0.016,194.304,716,0.023,188.372,716,0.153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,3456,APTP
500,421,0,468.784,411.196,0.014,453.014,408.859,0.02,435.227,405.307,0.018,401.698,402.854,0.014,375.029,403,0.02,349.704,404.049,0.013,322.459,403.295,0.018,299.607,403,0.022,276.352,402.294,0.012,259.431,401.061,0.018,247.388,400,0.015,238.294,400,0.022,227.581,402,0.012,220.399,402.867,0.019,215.884,403,0.013,211.39,405.305,0.036,207.646,407.177,0.1,210,413.754,0.019,211.104,421.414,0.011,212,432.875,0.016,212.403,444.581,0.021,212.779,456.895,0.008,211.961,465.155,0.023,211.761,473.432,0.011,211,484,0.016,211,494.072,0.019,208.142,503.763,0.016,209,516.952,0.02,207.636,526.457,0.015,205,537.5,0.017,203.168,548.495,0.017,203,555.255,0.019,203,563.06,0.017,204.176,566.351,0.031,208.318,564.841,0.02,212.537,563.731,0.037,220.908,563,0.013,236.829,563,0.023,257.266,562,0.011,280.731,561,0.019,304.68,561,0.012,328.453,561,0.022,349.967,561.33,0.011,371.323,562.591,0.021,391.135,564,0.01,410.285,564,0.013,429.706,564,0.021,448.212,563.532,0.011,465.988,562,0.015,481.56,563,0.02,493.947,562,0.016,498.476,563.238,0.083,495.858,567.283,0.032,493.5,572,0.031,492.926,579.222,0.02,492.308,586.233,0.017,494,597.137,0.011,493,611.634,0.019,494.998,624.988,0.013,494.764,641.651,0.016,495,653.293,0.02,496.665,668.342,0.014,496,679.537,0.023,498,689.545,0.016,496.647,699.413,0.026,497,707.392,0.017,498.046,710.092,0.051,492.208,707.736,0.036,487.779,706.926,0.033,476.569,705.51,0.013,460.614,705,0.016,438.363,704.028,0.016,420.296,702.787,0.019,395.331,700.576,0.014,372.508,700.249,0.02,344.378,703.841,0.013,311.004,706.091,0.012,278.523,708.322,0.022,250.215,711.522,0.012,222.453,714,0.013,197.996,716,0.018,180.397,717,0.017,166.229,719.462,0.021,160.69,719.655,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,3545,APTP
516,404,0,469.729,403,0.019,445.453,403,0.015,423.847,402,0.02,385.263,404.19,0.014,358.316,404.822,0.013,333.227,404,0.021,309.457,403.746,0.014,290.168,403.463,0.017,273.154,403,0.013,260.191,403.968,0.021,251.373,403,0.017,243.68,403,0.017,234.495,403.626,0.017,226.54,403.135,0.017,219.627,403,0.023,213.365,403.317,0.013,209,404,0.032,205.463,407.537,0.018,202.741,411.518,0.022,199.553,417.342,0.012,195.924,425.459,0.017,193.106,432.683,0.022,194,440.368,0.011,193.608,450.958,0.019,195.777,463.553,0.02,198.61,483.049,0.009,200.075,495.377,0.02,201.283,510.982,0.024,202,522.949,0.011,203.455,533.821,0.022,204,546.632,0.009,205,551.293,0.035,210.025,551,0.017,220.491,549.702,0.016,241.925,549,0.014,266.672,549,0.019,291.689,548,0.016,317.575,548,0.022,344.527,547,0.017,370.712,547,0.019,395.069,548,0.012,415.426,548,0.016,433.882,549,0.016,453.545,550,0.015,470.299,550.811,0.017,484.142,552,0.016,490.78,552,0.017,494.531,552,0.065,497.099,556.295,0.035,496,560.533,0.019,498.314,565.314,0.016,499.411,572.234,0.017,500.62,582.482,0.021,501.843,592.059,0.017,503,610.619,0.017,504.45,621.249,0.017,508.938,639.168,0.017,511.884,650.418,0.025,513.115,661.576,0.009,515.357,670.429,0.018,516,676.732,0.016,516,682.588,0.018,516,688.062,0.019,516,693.739,0.016,516,697.532,0.052,512.903,701.097,0.036,506.617,701,0.017,495.512,702.811,0.016,478.558,705.055,0.022,453.196,706.28,0.015,422.5,704.5,0.017,396.18,700.578,0.016,369.617,697,0.025,341.183,696.151,0.011,312.976,697,0.014,288.635,697.614,0.018,265.461,695.292,0.013,246.199,694.9,0.023,229.947,693.707,0.013,215.687,695,0.017,203.286,695,0.018,192.06,695,0.015,183.076,695,0.017,178.088,696,0.151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,3347,APTP
525,404,0,476.5,400.5,0.015,449.971,400,0.016,421.681,400,0.016,383.409,400,0.02,366.188,398.649,0.016,345.5,402,0.016,322.396,397,0.014,301.329,395.916,0.023,279.081,396,0.013,260.851,397,0.013,243.765,397.748,0.017,229.143,400.976,0.021,217.128,398.826,0.014,206.181,401.455,0.016,195.407,403.648,0.02,191,405.5,0.035,188,413.502,0.021,188,423.204,0.015,187,435.864,0.02,185.012,450.907,0.013,183.742,467.806,0.017,183,485.41,0.017,183,500.794,0.019,183.914,519.309,0.016,182.839,531.804,0.022,182.613,542.933,0.016,185.5,549.5,0.036,190.057,553,0.024,196.29,552.742,0.018,206.959,552.493,0.018,229.525,553,0.013,253.736,553,0.012,284.72,552,0.023,311.5,551,0.019,337.97,549.275,0.009,364.714,549,0.017,388.208,545.598,0.015,411.525,544.095,0.019,430.805,546,0.013,446.374,544.125,0.013,461.822,548.117,0.016,473.411,546.295,0.02,482.623,551.541,0.011,489.346,555.564,0.019,495.977,558.992,0.021,499.229,562.459,0.013,501.268,567.803,0.019,501,573.402,0.024,501,581.178,0.015,501,591.576,0.019,502,597.456,0.021,502,609.863,0.011,502,622.625,0.016,502,633.728,0.023,503,646.658,0.011,503,656.457,0.017,502.172,667.14,0.023,502,683.835,0.014,501,691.644,0.012,501,698.5,0.014,501,706,0.036,498.735,708.088,0.035,495,710,0.029,486.674,706.891,0.021,481.373,706.686,0.014,473.736,705,0.018,459.314,704.781,0.015,441.685,705,0.017,420.737,705,0.016,393.877,706.466,0.02,367.816,707,0.012,341.863,707.928,0.017,313.795,709.147,0.023,292.136,711,0.013,269.571,712.206,0.012,251.461,714,0.017,234.61,716.056,0.016,221.212,714.702,0.018,212,716,0.017,204.882,716,0.018,199.09,717,0.014,193.611,717.194,0.016,189.157,717,0.015,184.535,717,0.02,181.951,717,0.169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,3232,APTP
499,408,0,470.466,405.861,0.012,447.256,406,0.018,427.119,406,0.016,396.707,404.224,0.015,370.556,403.956,0.027,347.4,404.48,0.009,319,406,0.016,290.935,406.697,0.021,263.003,407.833,0.013,240.185,407,0.022,224.758,406.626,0.013,212.415,406,0.016,205.4,406.867,0.014,202,407,0.052,201,410.354,0.031,202,417.137,0.016,203.326,427.957,0.017,201.5,434.5,0.02,202,454.644,0.013,202,468.96,0.016,203.204,486.832,0.013,201.538,498.31,0.016,202.333,519.002,0.02,202,531.192,0.008,202,545.982,0.02,201,553.662,0.011,201,559.5,0.016,202.262,564.525,0.031,207.51,565,0.016,213.977,564,0.017,232.126,564.813,0.019,258.375,565,0.013,289.03,564,0.019,317.813,563,0.015,346.902,562.707,0.016,375.635,561,0.019,402.613,561,0.016,422.842,561,0.019,443.884,562,0.011,461.972,561.872,0.017,475.385,563,0.018,485.672,561.666,0.016,494,562,0.02,497,563.5,0.044,495.79,565.105,0.034,494,571.749,0.019,492.867,578.531,0.016,494.367,587.467,0.02,495.435,603.085,0.017,496.825,626.3,0.018,495.123,641.615,0.012,496,652.873,0.017,498,667.769,0.021,498.443,679.072,0.011,499,693.382,0.024,500,703.851,0.013,498.785,708.608,0.022,495.967,709,0.05,491.645,706.823,0.032,487.937,706,0.017,481.011,705,0.019,467.5,705,0.016,447.271,706,0.021,424.315,707.965,0.011,396.068,708,0.019,367.841,708,0.016,344.168,707,0.019,316.651,706.118,0.014,291.355,704.863,0.024,264.035,706,0.012,237.093,707.576,0.017,214.155,708.761,0.018,191.792,712.046,0.024,182.554,714.223,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,2968,APTP
503,397,0,471.245,399.396,0.016,449.11,400,0.015,421.92,401.852,0.017,378.929,407.319,0.016,353.369,407,0.018,327.5,408,0.015,303.945,407.243,0.017,285.095,405.024,0.016,270.5,404,0.016,258.346,404.442,0.017,249.007,403,0.016,239.43,404,0.016,230.529,405,0.101,214.208,408.396,0.02,210.838,411.162,0.027,209.741,416.776,0.023,210,421.675,0.015,210,428.507,0.016,208,437.129,0.015,208,445.378,0.018,207,454.325,0.017,208,463.239,0.016,206,472.117,0.017,206.449,481.245,0.016,205.255,494.724,0.018,203,506.81,0.016,202,521.376,0.015,201,533.537,0.021,200,542.539,0.015,197.876,551.628,0.021,200.12,557.181,0.042,205.796,557,0.034,213.184,552.908,0.022,217.966,553,0.012,227.508,554.169,0.019,240.447,553.222,0.019,257.178,553,0.016,277.631,552.737,0.022,294.509,554.439,0.021,313.79,550.316,0.017,334.255,548.926,0.015,353.335,545.555,0.023,373.926,548.269,0.014,392.167,549.595,0.014,407.848,550.835,0.017,422.586,551.22,0.017,434.516,551,0.019,448.254,551.532,0.016,459.647,552,0.017,471.745,554.915,0.017,483.261,553.79,0.018,491.749,555.437,0.017,497.241,556,0.014,500.355,557.178,0.032,498.734,561.532,0.035,498,565.532,0.024,496,570.421,0.022,496,575.336,0.018,495.33,581.681,0.01,496.927,587.854,0.017,498.115,594.345,0.018,498.35,602.401,0.012,498.39,613.051,0.017,500.807,623.036,0.017,502,633.263,0.02,503.274,645.642,0.015,504.5,656,0.02,504.706,663.824,0.012,507.907,674.814,0.014,506.82,682.722,0.018,507,689.226,0.017,508,696.256,0.022,509,700.676,0.012,510.5,704,0.014,506.677,705,0.037,497.299,704,0.012,493.839,702.946,0.032,489.098,704.451,0.027,483.562,704,0.016,477.92,705.027,0.017,461.818,706.273,0.017,447.654,707,0.018,424.508,708,0.017,398.954,708.087,0.025,375.489,709,0.013,351.965,710.367,0.016,327.086,710.218,0.02,302.961,710,0.015,269.451,710.172,0.017,249.524,709.614,0.017,234.714,712.612,0.017,224.443,711,0.016,218.824,710,0.018,213.395,709,0.018,207.568,710,0.022,203.193,711.269,0.017,0,0,0,0,0,0,0,0,0,194,3876,APTP
