@relation EntrenamientoP3ASYC
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
498,400,0,465.819,406.697,0.02,444.212,408,0.016,422.545,409,0.015,385.639,411.062,0.016,359.887,410,0.016,330.259,408.447,0.019,300.692,407,0.014,269.315,406,0.018,242.888,406,0.017,220.274,406,0.018,204.893,404.27,0.017,194.974,404,0.02,193,407.394,0.018,193.963,414.85,0.017,192.76,431.919,0.022,192.541,446.756,0.016,192,468.335,0.016,192.041,488.594,0.017,191.815,508.48,0.014,193.466,526.725,0.021,196.672,535.688,0.019,200.876,542.814,0.015,202,548.346,0.038,209.5,551.5,0.026,216.684,552.895,0.02,233.069,553,0.017,253.953,552.631,0.015,283.64,552.396,0.019,315.888,550.162,0.013,349.743,547.866,0.015,387.54,545.631,0.017,420.738,546,0.015,451.652,547.843,0.017,479.904,549.057,0.017,493.956,550,0.02,502.078,552.539,0.012,504.269,555.538,0.03,504,559.39,0.018,505,565.893,0.015,506,576.543,0.016,505,594.035,0.021,499,628.5,0.015,498,649.232,0.016,496.012,670.936,0.017,496,689.694,0.018,496.499,699.504,0.015,496,704,0.103,489.3,702.46,0.021,470.59,701.199,0.012,444.115,702,0.017,415.606,702,0.016,377.544,704.525,0.019,341.725,707.767,0.012,305.564,710.029,0.024,272.867,708.759,0.011,242,706.5,0.021,219.257,706.718,0.012,198.976,707,0.02,190.615,706,0.146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,2360,ASYC
485,404,0,434.292,406.246,0.021,412.363,406,0.016,387.418,406,0.019,347.074,406,0.014,314.825,406,0.021,287.368,406.433,0.016,258.306,401.354,0.024,236.751,399.083,0.007,214.754,395.822,0.017,193.32,395,0.018,186.779,395,0.018,186,397.094,0.021,186,404.434,0.016,187.706,415.528,0.017,189,430.785,0.017,188.773,445.587,0.018,189,462.539,0.017,190.679,478.436,0.015,191.952,495.661,0.02,192,511.183,0.016,192,525.313,0.016,195.66,532.981,0.015,197,538.748,0.017,199.169,541.169,0.034,204,544,0.016,208,549,0.036,216.359,553.12,0.016,229.654,554,0.015,250.946,555.618,0.02,277.597,557,0.018,305.691,555.87,0.016,337.928,555,0.018,365.87,552.413,0.019,392.861,552.822,0.021,418.572,552.936,0.009,440.469,550.653,0.016,460.5,550,0.02,478.119,551,0.013,490.274,550.932,0.02,499.101,551.275,0.01,505.965,553.655,0.018,510.8,556.533,0.019,511,560.333,0.018,510.268,568.66,0.013,510,581.003,0.022,509,595.5,0.011,509,609.946,0.017,509,629.724,0.012,511,649.725,0.016,509.785,666.508,0.018,511,682.12,0.016,512,691.806,0.021,512,697.876,0.014,512,702.279,0.05,499.333,702,0.014,483.763,703,0.016,457.487,704.293,0.022,428.017,706.498,0.015,396.983,708,0.011,364.848,705.987,0.017,332.603,703.757,0.018,298,705,0.018,266.505,703.27,0.016,240.14,701.014,0.022,214.029,700.803,0.013,192.778,698.531,0.017,185.938,698.313,0.129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,2562,ASYC
503,402,0,460.958,403,0.015,432.413,403.882,0.017,402.511,404,0.014,350.649,406.811,0.021,320.314,407,0.013,288.353,406.147,0.013,259.265,403.867,0.02,232.069,406.328,0.018,212,404.5,0.019,200.624,402.156,0.016,197.906,402,0.069,200,408.601,0.016,202,422.508,0.017,200.832,441.348,0.023,197.225,465.262,0.016,195.393,488.284,0.017,196.896,510.06,0.013,199.139,528.976,0.026,201.758,541.896,0.02,204.599,550.797,0.012,208,556.609,0.017,210.115,557,0.037,214.915,557,0.014,222.529,558.706,0.019,240.583,558,0.02,260.776,559.178,0.016,290.613,559.468,0.015,324.814,559,0.016,361.614,556.146,0.017,399.711,552.805,0.021,429.716,552,0.011,457.196,552,0.016,479.961,552,0.015,489.479,553.16,0.068,491.269,557.537,0.036,492,564.709,0.021,493.459,573.293,0.014,495.434,588.019,0.02,497,603.522,0.018,498.426,624.917,0.021,498.846,643.805,0.011,502.39,660.866,0.017,504.911,677.378,0.022,507.172,688.69,0.014,508,694.858,0.027,509,699.013,0.085,496.708,698,0.025,478.015,698,0.013,450.131,699.239,0.016,416.747,701.962,0.017,377.189,703,0.015,341.325,704,0.022,307.114,703.784,0.012,273.512,702.528,0.023,250.296,701.33,0.01,228.715,696.13,0.014,212.803,692.8,0.018,203.175,691.588,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,2343,ASYC
496,404,0,465.648,406.706,0.014,444.081,408.992,0.02,422.797,411.22,0.021,382.277,416.389,0.018,364.157,415,0.011,339.676,414,0.015,315.655,411.805,0.023,296.06,411,0.017,272.028,408.336,0.02,250.753,405.084,0.015,234.855,400.836,0.016,216.846,397.569,0.015,208.177,396,0.015,200.23,397,0.02,198.923,399.154,0.021,197.5,407,0.016,198,419.731,0.011,196.962,439.661,0.017,194.762,456.904,0.023,196,474.539,0.014,197.34,494.032,0.014,201.938,507.845,0.017,207.628,521.466,0.02,209.411,533.056,0.017,214.311,538.311,0.015,217.938,542.876,0.02,224.418,546.278,0.015,238.978,549.425,0.019,250.824,550,0.015,271.852,550,0.014,292.703,548.845,0.016,316.942,547.606,0.02,344.19,546.401,0.012,370.633,547.848,0.018,396.725,550.081,0.013,423.053,551,0.017,438.048,552,0.02,456.012,551.165,0.013,469.531,551,0.016,484.696,551,0.017,490,551,0.016,494.554,552,0.015,496.025,554.05,0.039,500.781,558.781,0.013,505.655,562.31,0.021,506.884,570.42,0.013,508.141,586.129,0.016,509.373,602.61,0.015,509.391,626.085,0.018,507.302,652.34,0.015,508.136,675.228,0.022,508,694.066,0.013,508,713.233,0.015,507.829,722.487,0.016,505.848,725.152,0.032,495.201,724.44,0.008,480.435,718.538,0.016,451.876,713.839,0.022,416.489,711.724,0.013,378,711,0.016,331.633,711.768,0.016,283.435,716.054,0.025,244.759,718,0.013,214,716.5,0.018,197.567,717,0.014,195.961,713.079,0.106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,2362,ASYC
508,393,0,465.724,401.05,0.016,440.01,404.272,0.014,413.5,406.5,0.017,372.546,409.727,0.015,343.995,409,0.021,313.376,406.758,0.017,285,405.5,0.02,257.441,404.342,0.011,233.307,400.028,0.019,213.738,396.79,0.015,194.791,394.532,0.02,188.5,394,0.033,189.061,399.246,0.02,191.423,408.691,0.016,192,418.5,0.02,194.771,436.197,0.017,196.125,450.877,0.016,197.837,470.766,0.013,198.5,486,0.02,200.859,502.156,0.015,203,515.65,0.014,205.37,527.852,0.018,206.602,535.203,0.018,208.266,539.799,0.034,212.484,542.242,0.018,218.032,542.677,0.017,230.87,545.963,0.015,249.44,548.411,0.023,273.35,549,0.014,297.046,549,0.022,327.298,548.106,0.013,357.879,547,0.018,387.277,548,0.01,415.773,548.611,0.016,447.081,548.88,0.016,468.284,548,0.021,490.665,549,0.016,505.282,551.612,0.019,512.5,553.5,0.035,510.888,557.223,0.037,510,563.364,0.013,509,571.743,0.021,509.172,584.208,0.015,507,601.305,0.015,507.678,625.779,0.019,508.102,648.983,0.013,508.181,667.448,0.024,508,681.562,0.01,509.268,690.804,0.053,502.056,691,0.027,491.518,691.871,0.016,475.065,693.117,0.019,452.856,695.345,0.011,423.158,697.603,0.015,384.726,699,0.017,344.609,697.927,0.018,305.008,699.315,0.019,271.857,701.549,0.012,241.892,702.811,0.017,218.8,703,0.022,208.966,703,0.155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,2417,ASYC
498,404,0,451.894,399.899,0.015,431.899,400,0.016,412,400,0.019,385.826,398.183,0.017,364.319,399.085,0.014,338.451,400.35,0.016,316.125,403.146,0.013,290.468,406.62,0.02,267.584,407,0.018,245.296,405.7,0.013,223.5,407.5,0.02,211.355,405.542,0.015,201.891,403.973,0.02,193.25,404,0.035,192.135,408.73,0.016,192,416.537,0.017,192,431.848,0.016,193,446.179,0.016,193.811,464.302,0.016,194,481.884,0.023,195.31,499.482,0.012,194.415,514.678,0.021,195,531.955,0.017,196.093,541.37,0.018,198.318,546.955,0.018,201.569,552.138,0.014,205.699,555,0.016,207.069,557.139,0.014,211.819,558.41,0.016,221.5,560.5,0.017,242.122,561,0.017,267.858,558.857,0.021,293.909,557.649,0.012,321,554,0.016,353.376,551.164,0.014,377.037,550,0.017,402.009,551,0.017,425.715,550.411,0.016,447.343,548.221,0.016,461.45,549.09,0.016,475.466,552.352,0.017,484.687,554,0.016,489,555.5,0.034,492.137,558.068,0.012,495.179,561.357,0.049,496,567.302,0.017,498.381,575.524,0.017,498,591.344,0.015,497,607.902,0.017,498.136,624.954,0.014,495.632,642.311,0.027,493.714,677.141,0.016,494.028,690.859,0.017,494,699.716,0.023,493,705.853,0.103,485.789,704,0.017,469.783,698.688,0.016,443.509,697,0.018,411.941,696,0.017,376.619,697,0.019,340.778,699.23,0.013,304.734,702.733,0.021,270.497,704,0.014,242.043,701.64,0.023,216.698,701.589,0.015,198.487,702,0.018,194,702,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,2620,ASYC
498,398,0,458.276,400,0.019,435.377,400,0.016,410.766,400,0.016,362,400,0.012,340.748,400,0.017,305.17,401.055,0.022,271.818,402.279,0.017,242.5,403,0.013,219.896,402,0.017,202.754,402,0.024,193.009,402.248,0.033,193,405.71,0.018,194.099,413.396,0.02,195,428.871,0.016,195.5,445.5,0.013,199.673,464.691,0.016,201.07,481.56,0.017,204.357,502.211,0.019,207.5,516.5,0.016,210.797,530.187,0.017,212,538.239,0.016,213,544.885,0.013,215.271,549.541,0.031,218.126,552.063,0.026,224.018,553.505,0.014,239.365,557.533,0.018,256.188,561.021,0.02,281.215,562,0.012,310.5,562,0.02,338.336,560.305,0.022,369.445,559.043,0.011,400.627,555.562,0.02,430.853,554,0.011,458.209,554,0.017,484.809,553.099,0.015,503.88,552,0.019,513.287,553.429,0.03,514,556.107,0.035,516,565.215,0.014,517.008,579.067,0.016,516,598.396,0.017,513.504,623.461,0.018,510.548,648.983,0.015,509,668.838,0.025,508,683.797,0.024,508,693.5,0.031,504.877,692.938,0.019,494.275,691.455,0.014,477.8,691.8,0.021,448.411,696.126,0.021,409.078,703.036,0.012,362,710.5,0.019,320.169,714,0.024,262.386,709.892,0.015,233.736,707.612,0.018,211.962,707.392,0.027,201,707,0.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,2352,ASYC
496,403,0,453.263,408.695,0.015,425.097,410.992,0.02,395.917,412.237,0.017,347.646,413.475,0.017,318.21,415.31,0.013,282.412,417.976,0.016,251.805,419,0.018,229.52,420.448,0.021,209.451,419,0.016,195.325,419,0.016,188.626,420,0.02,184.47,422.53,0.034,187.748,433.369,0.015,191.311,445.776,0.016,192,465.335,0.017,193,484.944,0.014,195,503.795,0.015,195,523.196,0.019,197.331,539.317,0.015,201,556,0.016,202.5,558,0.031,206.284,558,0.034,215.36,552.427,0.013,222.285,551,0.017,238.603,552.325,0.016,252,552,0.017,274.354,554.765,0.017,297.426,557,0.019,323.116,558.26,0.019,346.5,556,0.02,374.387,555.261,0.013,400.075,552.983,0.017,423.655,551,0.016,438,550,0.02,455.524,550.705,0.008,466.861,551.972,0.02,481.982,554,0.018,487.879,556.44,0.011,493.563,558,0.016,495.058,560.117,0.036,495,565,0.015,495,575.565,0.02,495.014,593.114,0.009,491.385,618.693,0.018,491,643.099,0.017,491.226,672.065,0.018,493.145,708.017,0.023,498.358,719.431,0.012,500.5,726.5,0.036,498.899,722.798,0.02,487.167,709.695,0.02,467.979,701.53,0.013,439.48,690.172,0.019,404.781,682.432,0.015,366.712,678.079,0.022,331.672,682.333,0.012,293.601,684.906,0.022,260.104,687.146,0.01,231.987,692.253,0.018,210.464,699.944,0.017,194.482,702.879,0.017,189.5,703,0.01,191.07,704.035,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,2575,ASYC
500,400,0,457.123,402.228,0.022,426.5,404.5,0.013,395.979,406.716,0.02,351.564,408.892,0.017,314.677,411,0.018,282.861,410,0.014,259,407.5,0.014,229.867,408,0.019,209.572,409,0.018,192.074,407.582,0.017,186.5,408,0.1,189.5,414.5,0.013,189.75,430.253,0.021,191,443.918,0.019,192,461.207,0.011,193,478.445,0.02,195.444,498.775,0.016,199.936,515.743,0.017,202.217,531.3,0.019,204.436,541.743,0.011,207.393,548.393,0.015,210.08,551.08,0.034,215.723,552,0.014,224.646,552,0.014,246.1,550.987,0.02,272.059,551,0.021,292.595,551,0.012,319.053,551.754,0.01,345.208,552,0.023,374.257,552,0.017,405.276,552,0.015,430.984,552,0.013,456.873,553,0.016,483.329,550.762,0.021,494.753,550,0.011,503.383,551.691,0.021,506.532,554.532,0.015,506,559.993,0.021,506.542,566.169,0.016,507.804,577.824,0.019,507,594.073,0.014,504.718,616.104,0.022,503.497,638.537,0.013,502.261,659.914,0.018,503,680.287,0.019,504.227,694.361,0.013,505.498,704.993,0.019,505,708.53,0.051,498.138,704.785,0.02,484.063,698.884,0.014,460.465,695.084,0.017,426.503,694,0.015,390.899,693,0.019,357.317,690.332,0.018,318.607,689.085,0.022,281.437,691.135,0.014,246.324,692,0.022,223.99,692.637,0.014,209.667,693,0.012,203.721,691.861,0.173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,2381,ASYC
507,404,0,468.14,401.809,0.017,440.795,402,0.012,417,399.5,0.017,373.486,399,0.018,341.824,398,0.013,306.544,399.414,0.012,277.5,400,0.02,251.641,400,0.017,229.898,400,0.016,212.635,400,0.015,198,401.5,0.013,192.32,402,0.016,192,404.161,0.073,192,413.701,0.022,191.803,427.382,0.017,193,443.088,0.021,192.652,460.869,0.015,193.903,476.417,0.02,195,494.284,0.012,196,510.992,0.019,198.629,527.776,0.013,200,537.515,0.017,201,546.339,0.015,203.402,551.804,0.015,206.42,553,0.018,210,554.5,0.02,215.595,556.198,0.015,227.916,557.486,0.019,248.551,555,0.015,273.508,554,0.017,300.171,553,0.02,324.302,553.42,0.011,352.137,554,0.016,377.245,556.863,0.017,405.006,557,0.016,433.109,553.149,0.016,458.148,552.357,0.016,482.863,551,0.017,495.747,551,0.017,504.177,553.392,0.015,506.133,556.265,0.032,507,561.748,0.016,506,569.985,0.015,504.168,582.994,0.021,504,597.493,0.015,503,619.398,0.021,502.537,638.835,0.015,503,659.27,0.015,504.064,679.58,0.017,505,693.819,0.023,507.513,700.537,0.012,509.5,705,0.082,498.095,700.512,0.012,480.058,697.229,0.018,453.405,695.034,0.019,419.29,696,0.012,382.044,696,0.021,347.188,697,0.019,308.671,696,0.01,274.46,696,0.02,245.456,696.462,0.018,217.533,698.679,0.015,197.687,699,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,2472,ASYC
