@relation EntrenamientoP3CACA
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
514,403,0,480.564,403,0.031,438.251,405.042,0.035,394.499,406,0.014,373.215,406,0.014,352.5,406,0.018,310.823,407.659,0.015,287.554,408,0.017,266.69,407.094,0.017,248.536,407,0.017,235.232,405.853,0.017,221.788,404.732,0.018,215.238,403.605,0.016,210.5,402.5,0.017,207.728,403,0.015,205.475,403,0.017,204,403,0.017,202.991,403,0.082,204.107,405.215,0.039,204,407.536,0.037,205,412.231,0.011,206.233,418.165,0.016,206,426.493,0.026,204.52,438.798,0.039,204.321,470.397,0.018,204.97,483.636,0.017,206.095,494.948,0.016,202.341,506.196,0.017,203,514.61,0.017,205.929,525.178,0.017,203,530.333,0.017,203,533.412,0.016,203,535,0.033,203,536.537,0.032,205.215,534.893,0.035,208.805,535,0.017,219.881,536.688,0.016,236.766,537,0.017,254.896,537,0.017,279.228,538.056,0.017,302.744,538,0.016,330.238,538,0.017,352.655,538,0.017,380,539.5,0.017,405.368,539,0.016,427.835,540.583,0.017,447.511,543.737,0.02,460.41,547.112,0.013,469.225,549.306,0.017,479.464,552.821,0.019,478.407,554.813,0.017,478,557,0.016,477.356,559.289,0.015,476.231,561.539,0.017,476,565.574,0.017,477.017,572.101,0.017,478.135,582.216,0.017,478,592.253,0.018,480.768,605.222,0.017,484.5,620.5,0.016,486.25,634.748,0.019,489.254,649.016,0.046,493.996,672.962,0.024,499.472,689.415,0.016,497.653,695.737,0.014,496.579,701.107,0.024,493.816,704.776,0.018,491.54,706.73,0.015,487.58,709.565,0.009,481.157,711.948,0.021,470.033,714.193,0.021,453.168,716.22,0.023,405.262,717,0.023,375.446,718,0.014,348.926,717.289,0.021,319.463,715.331,0.024,293.938,713.085,0.012,267.756,709.751,0.022,245.98,705.664,0.03,205.505,700.659,0.016,188.733,697.86,0.011,176.368,695.612,0.012,168.12,695,0.016,164,695,0.017,169.058,693.971,0.106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,1774,CACA
503,407,0,476.567,407,0.018,446.5,407,0.024,428.482,407,0.02,408.982,407,0.015,389.05,407,0.015,366.788,407,0.009,344.375,407,0.017,294.334,409.508,0.017,273.384,409,0.017,250.5,410.5,0.018,236.263,410.624,0.016,222.039,410.253,0.016,212.903,409.129,0.017,208.031,408.008,0.017,205.77,408,0.066,204.866,411.403,0.017,205.732,420.121,0.017,206.853,431.381,0.016,204.073,444.71,0.017,204,461.48,0.017,201.558,479.539,0.017,200.658,497.47,0.017,198.069,515.449,0.017,197.413,529.048,0.016,195.587,539.652,0.017,195,547.812,0.016,195,551.86,0.022,196.076,554.152,0.028,199.486,556.324,0.018,201.888,557.444,0.017,207,555.5,0.016,215.837,554.309,0.016,228.607,552.368,0.017,245.961,550.13,0.017,268.195,548.94,0.017,287.065,546.639,0.016,312.666,545.697,0.018,337.386,543.147,0.017,358,544,0.015,389.761,543,0.02,413.803,543,0.015,436.286,543,0.016,456.633,544.035,0.016,473.367,542.842,0.016,488.936,546.843,0.018,496.203,548.801,0.018,499,549.5,0.015,500,552,0.033,498.102,554.796,0.017,499.019,559.075,0.017,496.722,563.557,0.017,494.475,571.839,0.016,490.837,583.877,0.018,492,593.5,0.017,490.371,608.176,0.017,490.752,622.023,0.015,491,637.284,0.019,491.998,650.98,0.016,494.237,664.424,0.018,495.242,677.906,0.015,497.723,688.616,0.018,498.489,696.912,0.016,496.39,706.268,0.017,495.266,711.936,0.016,492.44,715.56,0.017,488.089,718.934,0.017,481.409,721.197,0.016,468.539,722.224,0.017,450.8,723.347,0.018,426.627,723,0.018,405.963,720.815,0.015,381.962,717.852,0.016,358.428,715.326,0.017,332.932,711.162,0.017,306.025,706.671,0.016,279.084,702.181,0.017,257.49,697.698,0.018,236.484,694.655,0.016,217.419,691.856,0.017,201.27,690.305,0.016,189.65,689.183,0.017,177.672,689,0.094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1535,CACA
506,404,0,461.27,405.318,0.022,421.459,407,0.015,382.373,408.802,0.02,324.193,411.022,0.011,288.353,411,0.021,259.5,408.5,0.016,238.2,406.244,0.012,220.838,403.973,0.017,211.019,404,0.011,205.968,404,0.015,202.642,404,0.051,199.963,408.074,0.048,200,412.544,0.02,201,419.554,0.017,202,434.601,0.016,204.092,454.366,0.017,203,476.562,0.017,202.586,502.277,0.016,206.869,524.779,0.017,205.393,540.875,0.016,207.881,551.763,0.017,206.818,556.365,0.065,210.358,555.642,0.026,216.796,554,0.016,232.743,554.774,0.017,256.275,556.023,0.017,290.946,556.263,0.017,335,560,0.017,383.4,560,0.017,429.964,561.998,0.016,471.68,563,0.017,510.826,565.489,0.017,534.872,566.734,0.017,544.956,568.978,0.016,545,571.221,0.033,539.406,575.188,0.015,533.639,581.361,0.017,525.753,594.411,0.016,516.681,617.296,0.018,510.852,639.315,0.016,505.364,659.544,0.017,499.821,676.477,0.017,498.692,685.923,0.018,494.897,690.103,0.016,490.403,694.597,0.017,482.844,697.078,0.017,468.681,698,0.018,433.454,703,0.016,389.784,703.223,0.017,344.52,699.954,0.017,296.464,694.473,0.018,244.191,689.971,0.017,200.819,685.482,0.016,175.033,681.007,0.017,161.763,678.505,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,2309,CACA
491,404,0,438.728,400.536,0.017,397.511,400,0.018,355.81,401.957,0.017,283.655,407.795,0.017,242.527,407.446,0.017,211.377,407,0.016,194.378,406,0.017,190.866,407.268,0.034,194.039,415.118,0.018,195,430.281,0.018,200,447.5,0.016,202.773,472.187,0.017,206.017,494.167,0.016,201.735,514.118,0.017,199.5,534.5,0.016,198,546.511,0.017,198,554.989,0.016,200,562.371,0.067,206.105,559.965,0.018,214.734,559,0.016,238.101,559.408,0.016,269.283,559,0.016,307.6,557.916,0.017,347.569,557.672,0.018,389.775,557,0.017,421.457,557,0.017,449.767,556.936,0.017,468.462,558.308,0.019,484.762,557,0.016,491.596,558.798,0.017,492,561.177,0.049,493.006,565.013,0.015,494.27,572.082,0.017,496.5,588,0.017,501.761,605.085,0.017,506,627.004,0.014,510.495,649.473,0.017,509,670.439,0.017,509.738,688.428,0.024,510,706.412,0.017,507.296,711.704,0.033,500.312,713,0.017,495.832,713,0.016,491.335,710.668,0.02,474.653,711,0.017,448.291,711.648,0.017,417.118,712,0.016,381.021,713.311,0.017,338,714,0.017,288.311,713.196,0.017,244.061,711.951,0.016,205.093,711,0.017,175.5,708.5,0.018,156.869,705.217,0.017,153,705,0.017,161.088,705.272,0.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,2272,CACA
501,410,0,475.391,410,0.018,438.674,410.666,0.016,412.095,411.788,0.016,385.329,413.806,0.018,359.57,416.037,0.019,331.048,418.316,0.014,304.49,419.271,0.017,250.891,420.398,0.017,242.5,417,0.017,230.299,414.716,0.016,220.625,412.464,0.017,216.324,411.108,0.016,214.5,410.5,0.099,217.752,415.256,0.018,218,421.243,0.017,217.004,429.97,0.017,217,441.167,0.016,215.762,456.089,0.017,214.639,470.693,0.018,212.034,486.762,0.016,209.59,504.638,0.016,206.542,521.203,0.017,202.581,534.404,0.017,200.06,544.729,0.017,200,553.723,0.016,200,560.338,0.017,200,561.684,0.066,203.402,561,0.034,207.161,558.92,0.017,215.402,557.8,0.017,229.824,556.681,0.018,252.011,552.665,0.018,273.898,551.433,0.015,298.878,550.31,0.016,326.305,548.376,0.017,351.611,548,0.017,377.326,548,0.016,405.509,549.18,0.017,429.68,550.304,0.018,451.59,551.43,0.017,465.5,552.5,0.016,477.707,555.339,0.016,485.975,556.795,0.017,489.75,557.917,0.016,491.5,558.5,0.049,490,560.203,0.034,488.733,562.534,0.035,489,570.489,0.017,490.021,579.166,0.016,491.139,589.253,0.017,492.267,599.405,0.017,492,615.029,0.018,495,626.5,0.016,495,642.21,0.016,497.27,655.322,0.017,498,669.386,0.019,500.989,679.967,0.022,502.122,690.094,0.025,503,698.709,0.019,503,709.953,0.017,502,712.447,0.015,502,716,0.049,499.948,716.052,0.033,497.652,714.826,0.034,495.464,715,0.033,491.479,714,0.018,476.607,714,0.017,446.781,714,0.017,432.126,714,0.016,415.087,712.672,0.018,389.526,710.098,0.018,370.114,709.854,0.015,347.391,708.304,0.016,322.224,706.367,0.017,302.945,705.059,0.018,277.631,702.881,0.015,255.353,700.635,0.017,238.152,697.091,0.018,220.095,695.137,0.017,207.83,691.897,0.016,194.558,691,0.016,185.415,691,0.017,178.465,691,0.016,173.835,692.041,0.017,171.662,692,0.017,166.845,702.309,0.093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,1834,CACA
482,409,0,454.257,405.799,0.013,418.514,405,0.02,393.817,405.961,0.025,371.77,407.011,0.016,347.083,408.178,0.007,322.446,409.298,0.017,297.784,409,0.024,253.388,407.987,0.013,234.182,406.364,0.021,220.462,405.246,0.021,210.96,404.12,0.008,204.159,404,0.016,197.179,404,0.023,195.46,405.27,0.057,197.498,407.749,0.024,198.819,409.638,0.023,199.495,410.989,0.021,202.261,421.563,0.016,205.846,431.537,0.02,203.5,444,0.024,207.214,459.892,0.017,206.57,474.298,0.01,207.728,490.093,0.013,205.03,502.891,0.021,203.945,512.491,0.019,206.376,522.692,0.012,200.598,526.402,0.015,202,533.927,0.037,202,533.529,0.062,204.087,531.956,0.051,206.355,530.823,0.051,208.356,532.178,0.018,210.067,533.033,0.015,213.606,534.202,0.023,219.543,534,0.021,229.418,536.884,0.046,259.97,539.686,0.05,343.901,541,0.037,370.346,541.698,0.019,416.031,543.552,0.012,437.79,544,0.025,455.932,546.386,0.019,473.519,547,0.06,521.817,555.805,0.035,523.825,558.65,0.035,524.269,559.538,0.037,518.731,562.135,0.04,513.231,565.154,0.032,508.726,578.732,0.046,505.989,615.922,0.031,509,646.684,0.04,510.391,684.481,0.038,510,704.857,0.018,508.036,709.928,0.161,368.612,719,0.035,338.599,717.328,0.048,253.676,705.517,0.029,208.989,696.165,0.033,178.473,689.618,0.05,171.327,682.122,0.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,2058,CACA
506,411,0,483.784,411,0.018,458.12,411.581,0.017,439.715,412.705,0.016,420.921,413.828,0.017,401.829,414.951,0.018,383.849,416.072,0.017,365.846,416,0.015,330.796,418.635,0.018,316.912,416.557,0.016,301.5,418.5,0.015,286.5,418,0.018,264.859,418.191,0.017,249.899,418.931,0.017,237.412,417.947,0.016,223.91,416.826,0.019,214.328,417,0.016,201.471,417,0.021,192.764,416,0.014,187.367,416,0.013,183.652,415.217,0.024,181.5,414.5,0.019,180.971,416.015,0.031,183.277,418.277,0.01,184.397,423.588,0.019,186.044,435.218,0.014,187.641,447.694,0.018,188.766,461.962,0.023,190.779,478.346,0.01,192.015,495.22,0.017,194.266,513.129,0.016,194,528.656,0.018,198.125,542.877,0.017,200,554.5,0.015,202,564,0.018,204.488,566.233,0.016,205.871,568.742,0.018,208.971,569.99,0.016,212.338,570,0.017,219.416,570,0.016,237.094,568.636,0.018,264.558,566.04,0.017,294.5,565.5,0.016,330.321,564.274,0.017,366.017,561.453,0.017,402.094,559.057,0.015,433.706,554.613,0.017,461.428,552.566,0.017,486.88,554.343,0.018,497.974,556.919,0.017,505.5,560.5,0.018,504,563.415,0.014,502.339,565.661,0.017,498.203,572.645,0.017,492.64,588.009,0.017,488.212,606.154,0.016,486.376,629.24,0.024,488.442,650.396,0.02,494.245,667.54,0.01,500.116,683.919,0.013,504.418,696.061,0.017,507.792,706.376,0.017,506.949,713.309,0.016,505.826,715.348,0.017,502.099,717.6,0.017,495.907,718.419,0.017,481.5,721,0.016,436.345,720.334,0.017,392.493,717.637,0.017,352.984,711.527,0.017,311.777,703.769,0.016,278.468,697.094,0.017,245.951,690.335,0.018,217.6,685,0.017,187.5,681,0.015,163.894,675.718,0.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,1397,CACA
478,406,0,426.874,407.634,0.017,399.624,408.755,0.018,376.415,409.879,0.016,354.954,411.002,0.017,331.415,412.123,0.016,309.034,413.248,0.017,286.631,414.368,0.017,235.727,415.494,0.017,230.792,413.386,0.016,216.904,412.264,0.017,207.112,410.278,0.016,201.08,410,0.017,198.787,410,0.067,199,412.268,0.017,200,416.883,0.017,200.843,425.586,0.016,201.964,437.599,0.017,204.177,448.885,0.017,207.619,464.891,0.016,205.665,480.691,0.019,208.885,500.524,0.022,207.145,515.585,0.01,205.914,530.342,0.016,205,542.237,0.017,206.89,553.451,0.017,205.934,559.328,0.017,206,563.755,0.016,206,565.624,0.066,209.402,566.134,0.034,212.043,566,0.034,229.899,564.71,0.017,243.971,563.586,0.017,258.5,561,0.016,278.224,560.341,0.019,297.06,558.438,0.015,318.042,558,0.016,338.377,554.937,0.017,363.365,552.694,0.017,380.357,551.728,0.016,406.709,550.604,0.018,425,549.5,0.017,442.866,547.361,0.016,457.406,546.236,0.017,471.54,545.112,0.015,483.085,546.008,0.018,490.903,547.129,0.017,497.53,545.745,0.024,503.854,546.371,0.029,509.614,550.227,0.014,510.5,552,0.032,509.008,556.976,0.018,507.889,560.332,0.019,508,563.7,0.014,505.292,569.771,0.019,504.52,576.879,0.017,503.398,590.016,0.015,502.276,601.243,0.017,501.152,613.333,0.016,500.03,625.667,0.017,500,637.994,0.016,497.569,651.587,0.017,502.015,662.385,0.018,502.461,676.537,0.018,504.58,684.218,0.015,505,693.631,0.017,506.653,702.612,0.016,507,708.746,0.017,503.784,713.288,0.016,502.807,715.385,0.033,500.559,717.441,0.019,497.312,718.563,0.016,493.272,720.364,0.016,486.349,722.615,0.017,471.997,723.929,0.017,456.279,725.052,0.016,438.208,725,0.017,424.141,723.703,0.018,410.99,721.165,0.017,392,720.5,0.017,375.005,717.667,0.015,355.814,716.212,0.018,334.741,714.183,0.017,311.391,712.971,0.015,292.34,710.687,0.017,270.747,708.447,0.017,249.362,706.196,0.027,239,704,0.019,220.888,704,0.019,208.538,703.231,0.018,194.407,702.108,0.008,186.912,702,0.011,181.336,700.867,0.015,178.215,702.262,0.017,170.686,703.386,0.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,1839,CACA
501,405,0,477.044,405,0.019,449.5,406.5,0.017,428.547,406,0.015,406.419,406,0.017,384.07,406,0.017,362.564,406,0.017,338.986,406,0.016,287.329,403.457,0.019,267.074,401.224,0.016,246,399,0.017,235.711,395.725,0.016,222.611,393.475,0.016,214.708,392.118,0.017,208.967,390.993,0.017,206.746,391,0.065,208.134,393.268,0.034,209,396.734,0.017,208.012,398.976,0.018,208,403.444,0.018,203.066,410.401,0.016,201.286,419.856,0.017,199.046,433.246,0.018,195.798,443.407,0.014,192.829,454.961,0.017,192,466.47,0.017,192,478.644,0.017,190.91,490.994,0.016,191,503.348,0.016,189.667,515.663,0.019,188.54,525.143,0.017,188,532.068,0.016,187.297,541.329,0.016,187,549.797,0.017,187,554.797,0.016,185.928,558.216,0.017,187.195,561.585,0.082,192.434,559.377,0.018,201.413,554.326,0.017,215.721,546.612,0.017,232.607,538.783,0.017,253.403,532.199,0.018,275.011,526.892,0.017,293.324,525.457,0.016,315.368,525.668,0.015,337.005,525.21,0.017,362.943,525.914,0.017,385.702,529.105,0.017,405.841,530.158,0.017,424.778,532.562,0.018,445.31,536.218,0.017,462.905,538.048,0.016,480.708,541.589,0.021,494.445,544.535,0.011,503.255,548.574,0.017,511.132,551.038,0.016,513.283,554.424,0.033,514.195,556.39,0.05,515.179,558.357,0.034,517.536,561.803,0.018,520.179,563.119,0.032,522.365,566.548,0.019,523.487,568.974,0.017,524,571.826,0.015,523.267,577.4,0.017,523,584.986,0.017,522.02,594.819,0.017,517.598,610.408,0.016,513.097,623.709,0.017,504.54,645.327,0.018,499.666,661.002,0.017,492.635,675.913,0.015,487.43,687.141,0.017,483.491,699.201,0.016,480.122,708.675,0.017,475.671,717.659,0.017,474.795,723.026,0.017,472.345,727.31,0.016,473,728.896,0.05,469.361,729,0.019,468,729,0.023,465.907,726.938,0.01,460.064,724.626,0.016,423.035,722.382,0.018,410.596,718.719,0.017,382.33,716.333,0.016,358.719,713.64,0.016,334.348,708.988,0.017,307.857,705.232,0.017,280.962,701.87,0.016,258.625,697.325,0.017,240.013,699.293,0.018,218.198,697.589,0.017,201.867,696.926,0.016,186.753,695.341,0.016,175.952,693.434,0.017,168.563,693,0.016,165.95,693,0.017,166,698.75,0.131,0,0,0,99,2007,CACA
493,415,0,419.278,414,0.015,374.612,412.822,0.017,325.315,411.579,0.015,261.894,408.655,0.016,229.244,405.089,0.024,205.306,404,0.018,190.961,402.592,0.016,191,405.003,0.034,194.359,410.538,0.033,196.002,422.012,0.018,198.826,439.201,0.017,199,459.952,0.017,203.479,484.135,0.017,203.986,504.889,0.017,207.234,523.876,0.018,207,536.389,0.016,209.716,547.865,0.016,210,553.927,0.014,208.789,559.633,0.065,213.902,558,0.019,235.685,560.384,0.017,272.884,556.562,0.017,311.583,551.637,0.016,355.462,547.146,0.017,398.787,548.172,0.019,436.5,549.417,0.016,465,550.5,0.018,494.172,552.908,0.016,510.91,558.152,0.018,512,561.518,0.051,508.994,565.006,0.021,508,575.508,0.01,505.508,589.979,0.011,503.255,610.192,0.016,503,632.881,0.018,501.774,657.26,0.018,500.518,679.301,0.017,499.277,693.06,0.017,495.032,706.87,0.016,492.787,712.426,0.05,487.591,713,0.017,465.896,713,0.018,412.733,715.192,0.016,366.662,711.122,0.017,327,707,0.017,270.573,699.214,0.017,228.684,693.476,0.023,192.568,690.582,0.014,166.082,689,0.014,155.5,687.5,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,2146,CACA
