@relation EntrenamientoP3JCCCH
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
511,409,0,457.419,402.602,0.016,416.12,397.118,0.017,374.718,396,0.018,312.763,397,0.017,272.263,397,0.016,242.836,395.084,0.017,221.212,393.842,0.016,211.404,394.399,0.014,199.728,395,0.017,196,396.5,0.017,193.814,398.373,0.029,193,409.685,0.013,195.956,428.756,0.017,198.447,453.456,0.019,201.469,481.155,0.016,200,501.978,0.016,198.047,519.58,0.017,193.605,536.383,0.016,191.558,544.326,0.016,190.732,547.536,0.032,192,552.277,0.019,200.941,555.314,0.016,219.232,558.904,0.017,251.122,560.141,0.016,291.189,557.613,0.016,338.284,554.373,0.023,383.435,553.128,0.017,422.068,552,0.017,457.743,553.359,0.017,480.028,556.206,0.016,493.235,557.847,0.017,505.335,558,0.016,507,560.179,0.018,505.818,568.728,0.017,506,584.413,0.017,501.666,603.003,0.016,498.175,623.299,0.017,495.844,640.09,0.017,491.207,659.17,0.018,487.361,674.752,0.016,485.116,686.535,0.017,484,692.381,0.016,484,696.493,0.117,476.134,697,0.018,455.597,697.711,0.016,423.633,700,0.017,380.302,704.389,0.017,332.014,706.868,0.017,281.73,704.644,0.016,237.27,703.079,0.017,207.23,703.161,0.016,189.583,704,0.015,194.069,704.023,0.146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,2267,JCCCH
505,403,0,455.425,404.089,0.016,419.358,404,0.017,382.173,404,0.017,327.482,406.64,0.016,290.054,408,0.016,258.224,409,0.017,237.02,409,0.017,217.542,407,0.016,210.419,407,0.017,207,407,0.024,205,410.669,0.018,201.924,420.379,0.016,201,439.868,0.019,197.875,466.753,0.016,196.193,496.485,0.017,195,519.542,0.016,192.71,536.737,0.019,191.5,547,0.015,194.111,550.111,0.026,215.968,554.492,0.017,246.913,555.994,0.016,286.012,557.236,0.016,330.099,555.521,0.017,373.011,552.277,0.017,411.484,550,0.016,447.297,548,0.017,471.965,548.451,0.017,492.178,549.696,0.016,502.756,550.939,0.017,506,555.369,0.018,506,567.198,0.017,503.723,588.047,0.019,504,609,0.016,504,632.611,0.016,504,654.059,0.015,502.752,670.734,0.02,501.51,683.451,0.017,499.267,690.2,0.015,497.024,695.927,0.017,493.781,700.437,0.017,491.536,708.854,0.014,492,712.538,0.051,482.698,710.566,0.019,451.178,705.321,0.023,417.19,702.085,0.016,376.128,701,0.016,332.566,701.402,0.017,289.674,702.651,0.016,249.802,704.894,0.017,219.174,708.13,0.016,198.221,709,0.017,187.5,709,0.033,190.964,704.024,0.136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,2228,JCCCH
500,411,0,460.556,405.504,0.016,429.667,404.262,0.016,396.301,404,0.017,344.301,405,0.019,314.468,405.467,0.017,282.617,406,0.015,253.624,406,0.016,234.23,405,0.017,215.472,404,0.017,203.92,404,0.016,197.5,404,0.053,199.268,409.805,0.018,203.556,424.445,0.017,207.042,442.146,0.016,208.266,464.662,0.017,210,484.5,0.017,210.248,505.263,0.017,209.006,520.96,0.017,209,531.961,0.017,207.517,539.449,0.014,206.274,544.452,0.016,206,547.536,0.067,213.793,549.397,0.016,234.293,553.882,0.009,267.093,557.182,0.011,304.663,556.574,0.017,346.738,559,0.015,391.114,560,0.027,424.874,560,0.046,473.391,562,0.011,486.663,563,0.017,492.252,564.126,0.034,498.846,565,0.015,503,566.5,0.033,505.221,572.443,0.017,506,586.224,0.017,506.584,606.079,0.016,506,627.595,0.017,505,649.926,0.017,503.564,668.488,0.017,504,684.088,0.016,504,691.768,0.017,504,696.326,0.033,500.934,699.033,0.019,488.5,697.5,0.016,460.523,698.252,0.017,424.081,697.006,0.017,375.097,695.767,0.016,328.103,694.526,0.016,279.888,694.28,0.017,242.475,691.037,0.016,214.71,689,0.021,199.862,689,0.017,194.5,689,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,2240,JCCCH
500,409,0,445.5,409,0.019,407.053,409,0.016,367.883,407.994,0.017,302.456,406.755,0.017,273.081,404.506,0.017,245.367,403,0.014,224.217,402,0.018,213.105,403,0.018,200.195,403,0.016,197,403,0.1,198,410.056,0.018,198,421.474,0.016,199,441.534,0.017,201.413,465.548,0.024,203,485.893,0.012,204,502.39,0.017,202.859,516.849,0.018,201.614,526.542,0.017,201,531.246,0.016,198.261,535.739,0.017,195.887,541.226,0.017,193.761,546.716,0.049,202.266,548.089,0.017,216.312,550.33,0.019,242.437,552.572,0.017,277.055,553,0.017,316.998,553,0.016,362.265,553,0.019,409,554.5,0.016,444.577,552,0.017,472.347,554.029,0.016,491.646,557.274,0.018,501.5,558,0.015,501,560.734,0.017,501,566.431,0.014,501.851,579.811,0.017,502,596.647,0.016,502.339,614.708,0.017,502,631.659,0.025,502,649.61,0.017,501,670.133,0.009,501,682.155,0.017,500.326,690.021,0.016,500,694.833,0.018,500,699.316,0.033,498.996,701,0.033,492.87,699.623,0.018,472.355,698,0.015,439.487,697,0.017,397.54,693.893,0.016,355.749,691.653,0.018,302.189,693,0.015,253.637,693,0.017,214.676,693,0.016,183.11,693,0.018,169.186,693,0.015,167.792,688.208,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,2393,JCCCH
499,404,0,466.71,407.358,0.035,428.634,404.28,0.015,396.514,403.034,0.012,346.664,400.792,0.018,311.093,400.454,0.016,279.938,402.394,0.016,254.647,403.941,0.017,242.264,405,0.018,234.725,405,0.016,230.463,405,0.047,226.444,405,0.019,217,405,0.016,205.65,404,0.017,191.949,404,0.016,185.237,405,0.016,185.015,409.044,0.018,187.34,417.362,0.019,188.587,435.698,0.016,189,454.475,0.022,189,487.748,0.017,188,509.473,0.017,188,526.456,0.016,188,536.698,0.017,188,543.499,0.017,189,549.228,0.03,190,553.552,0.017,192.021,556.021,0.016,201.141,561.57,0.019,216.369,564,0.015,244.038,564,0.017,282.883,561.889,0.017,330.083,554.938,0.018,375.353,550.402,0.015,415.104,550.839,0.017,451.394,553.082,0.017,483.198,557.65,0.018,505.12,559.569,0.016,517.435,561.812,0.016,518,564.168,0.034,514.432,575.704,0.017,511.971,593.203,0.017,508.73,611.433,0.017,508,630,0.016,506.247,649.776,0.017,506,666.003,0.017,503.762,678.426,0.017,504,685.437,0.017,502,693.897,0.017,501,700.909,0.017,497.847,704,0.019,490.262,699.631,0.017,477.052,695.158,0.017,451.61,691.328,0.016,420.963,688.088,0.017,384.828,690.31,0.017,349.08,697.579,0.017,311.382,704.282,0.016,273.834,708.771,0.024,227.779,710,0.021,210.562,712,0.015,198.804,712,0.017,195,710.5,0.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,2632,JCCCH
515,399,0,485.866,399,0.018,462.624,399,0.016,433.799,399,0.016,383.929,403.307,0.016,351.166,404,0.021,313.173,406.177,0.013,277.683,407.832,0.017,247.113,410.074,0.017,224.576,408.689,0.018,210.636,407.439,0.023,199.79,406,0.015,191.707,406,0.049,189,411.804,0.018,189,421.707,0.017,191.384,443.456,0.018,194,466.86,0.015,196.867,489.542,0.017,198,509.995,0.017,199.353,527.474,0.018,197,535.195,0.015,197,541.516,0.018,196,546.164,0.017,195,551.639,0.033,199.628,554,0.017,214.446,557.111,0.017,246.037,556,0.018,287,554,0.016,331.686,550.216,0.016,381.548,550,0.017,429.959,548,0.019,465.5,545.5,0.017,489.524,546,0.012,501.001,548,0.017,504,553.183,0.018,504,564.818,0.017,501.789,585.11,0.017,503,608.505,0.017,504,635.675,0.016,504,658.469,0.017,504,676.276,0.017,505.425,687.699,0.015,503.732,691.536,0.033,499.801,694.099,0.02,493.444,695,0.016,479.046,696.884,0.017,450.374,696,0.016,404.961,696,0.019,352.328,695,0.015,301.897,695,0.016,250.837,694,0.016,216.153,694,0.019,199.08,696,0.015,192.5,694.5,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,2143,JCCCH
498,412,0,462.252,407.322,0.018,428.086,403.834,0.016,389.159,400.176,0.016,326.359,395.865,0.015,282.842,395,0.018,245.791,394.555,0.016,219.808,395.201,0.017,204.793,396,0.017,198.595,396,0.084,200,405.539,0.022,200,419.662,0.017,201,444.195,0.015,202,471.384,0.017,203,496.172,0.017,202,514.8,0.017,201.405,528.382,0.016,201,534.5,0.032,207.231,535,0.018,224.444,539.593,0.015,259.783,541.539,0.017,302.012,541.217,0.017,349.473,541,0.017,402.706,540,0.018,436.643,539.51,0.017,462.036,540,0.017,483.987,542,0.017,491.719,543,0.017,495.536,545.268,0.065,494,550.334,0.02,496,556.308,0.015,498.637,566.275,0.016,501.062,580.432,0.017,500.698,597.112,0.019,500,615.936,0.017,497.208,633.334,0.018,493.93,653.316,0.017,491.719,666.686,0.019,492,684,0.017,493,693.829,0.017,497.013,707.039,0.017,498,715.757,0.017,495.732,717,0.033,489.309,714.827,0.019,478.311,711.242,0.013,458.371,703.686,0.017,426.951,698.86,0.016,384.957,695.364,0.018,328.862,694,0.016,272.137,693,0.017,218.965,694.043,0.016,180.629,697.291,0.018,160.34,699.468,0.017,156,693.898,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,2264,JCCCH
500,407,0,445.664,407,0.014,403.963,407,0.016,360.383,404.283,0.018,293.655,401.073,0.015,251.193,399.8,0.016,219.336,400,0.02,204.931,399,0.016,196.212,399,0.017,193.835,400.083,0.102,193,409.02,0.018,194.505,421.02,0.02,198.972,440.375,0.012,204.468,465.545,0.016,205,494.891,0.053,204,529.865,0.018,202.537,537.194,0.012,200.732,540.537,0.032,195.206,545.794,0.026,191.404,553.192,0.011,187.941,560.119,0.118,201.118,562,0.015,221.305,563,0.016,261.525,560.476,0.016,303.499,559,0.016,349.3,558.983,0.017,400.255,559,0.019,437.5,558,0.017,463.716,558,0.016,483.921,560.98,0.017,492.7,562,0.018,501.907,563,0.017,509.881,564.72,0.016,515.5,566.5,0.017,517.107,569.215,0.027,514.938,588.558,0.051,507.651,642.156,0.017,510,664.283,0.017,512.304,685.368,0.021,513,695.179,0.012,513,700,0.082,508.643,702.357,0.051,498.53,699.906,0.016,483.949,699,0.018,456.002,699,0.017,424.912,698.174,0.017,388.984,700.068,0.016,350.02,703.934,0.018,311.22,701.889,0.016,278.622,698.403,0.017,251.479,696.957,0.016,232.128,700.574,0.018,214,699.5,0.016,204.91,700,0.017,201,698.5,0.084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,2509,JCCCH
503,403,0,455.096,406,0.017,425.412,404.955,0.016,393.995,405,0.018,346.005,404.533,0.013,314.138,404.776,0.017,287.737,405,0.017,262.168,403.743,0.018,244.483,403.497,0.016,232.015,401.254,0.017,225.024,400,0.016,220.534,398.767,0.035,212.845,397,0.017,207.128,397,0.017,200.391,399.203,0.016,193.688,401.437,0.016,190.732,404.536,0.034,190,411.348,0.017,191,421.094,0.019,193.66,437.622,0.015,196.904,458.043,0.017,198.141,481.406,0.014,199,508.238,0.017,200.632,530.054,0.016,201,545.255,0.017,199.883,557.584,0.016,200,562.726,0.099,204.336,561,0.019,215,561,0.018,238.622,559.183,0.016,265.864,554.877,0.017,295.958,552.696,0.018,327,551.5,0.017,362.461,551.208,0.016,397.563,551,0.017,430.507,553.282,0.017,460,557,0.017,482.367,558.521,0.016,494.018,560.004,0.017,501.49,561.245,0.017,504.107,563.214,0.018,503.781,569.656,0.017,503.54,580.298,0.016,504.296,597.931,0.016,504,618.473,0.017,503.807,636.544,0.017,504,653.603,0.011,504,667.047,0.016,503,679.593,0.017,502.838,687.323,0.024,500.594,693.218,0.023,497.892,695.054,0.034,485.544,695,0.017,460.235,697,0.016,430.576,696.772,0.016,399.1,698,0.017,363.736,698,0.017,328.651,698.954,0.017,298.81,698,0.018,268.681,699.443,0.02,236.561,703.805,0.018,220.703,702.95,0.016,209.509,700.702,0.019,193.5,698.5,0.016,186.443,695.222,0.017,183.979,693.99,0.067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,2699,JCCCH
489,411,0,443.523,408.252,0.017,407.158,407,0.017,365.659,404.772,0.017,302.386,404.524,0.017,264.524,403.283,0.016,239.347,403.039,0.017,222.783,404,0.016,218.464,406.268,0.067,214.788,406,0.05,212.091,412.726,0.017,211,423.909,0.016,211,444.16,0.018,212.638,469.384,0.016,212.118,491.699,0.017,212,509.86,0.017,206.903,528.291,0.019,204.78,536.829,0.016,201,541,0.032,198.785,544.215,0.031,201.214,548.214,0.018,207.936,551.312,0.018,217,555,0.016,238.6,556.6,0.016,265.619,555.959,0.031,298.545,554.716,0.022,336.413,551.948,0.009,378.867,548.23,0.017,415.22,547,0.017,444.255,548.25,0.017,463.995,550.499,0.017,483.462,552.744,0.017,492.958,553.986,0.017,498.347,554,0.033,502,559.154,0.017,504.958,567.788,0.016,508.201,580.207,0.017,512.894,597.129,0.017,513,612.206,0.016,514,627.664,0.017,512.826,644.391,0.017,510.167,659.5,0.017,505.681,675.276,0.016,503.098,687.61,0.017,500.855,695.436,0.017,501,699.776,0.039,497.919,699.96,0.017,488.59,698.518,0.017,465.538,699.272,0.027,433.582,699,0.043,353.576,700.453,0.016,304.102,704.695,0.016,258.119,707.941,0.016,220.637,710,0.017,193.439,710,0.017,181.313,710.328,0.016,177,710,0.033,186.135,702.149,0.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,2395,JCCCH
