@relation EntrenamientoP3JLAP
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
492,413,0,443.463,410.581,0.017,410.127,410,0.015,377.369,408.098,0.031,318.827,406,0.014,292.5,404,0.017,268.224,401.753,0.017,248.03,400.004,0.016,234.55,400,0.017,218.591,400,0.017,211.826,400,0.017,206.097,400,0.017,200.666,399,0.021,200,404.268,0.034,201,408.426,0.034,198.213,424.655,0.027,197.031,446.371,0.028,197,482.95,0.03,193.485,513.818,0.018,190.012,527.971,0.022,190,546.455,0.029,190,557,0.033,194.336,560.224,0.023,205.084,560,0.021,229.62,559,0.012,251.716,558,0.018,278.516,560,0.016,306.517,559.207,0.017,334.396,558.967,0.016,366.415,555.724,0.018,395.208,549.438,0.016,421.177,544,0.017,447.053,540.996,0.017,465.962,539.755,0.018,484.938,539,0.016,492.186,540.729,0.017,491.922,543.155,0.018,489.169,549.661,0.018,489,558.338,0.016,485.689,577.801,0.018,487.555,603.103,0.016,490.798,626.979,0.017,493.041,652.495,0.017,494,669.978,0.018,494,685,0.016,492.232,692.537,0.017,490.989,697.021,0.033,490,701.753,0.033,484.464,703.179,0.018,471.408,704,0.016,451.243,705,0.017,424.61,705,0.017,397.632,704.049,0.017,369.669,702.806,0.016,343.698,704.442,0.017,314.452,705.682,0.017,290.882,709.779,0.017,267.672,709.166,0.017,245.341,709.594,0.017,234.389,712.653,0.016,226.423,712.106,0.017,220.73,713.135,0.032,216,710.5,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,2625,JLAP
503,411,0,467.726,409.594,0.016,446.505,410,0.016,425.062,410,0.017,390.255,409,0.016,366.474,409,0.019,342.199,409,0.016,312.754,409.135,0.016,285.642,409,0.016,258.832,409,0.018,237.086,409,0.016,218.181,408,0.016,206.62,408,0.016,202.557,409.221,0.083,204.134,413.267,0.018,205.773,425.413,0.017,204.983,441.1,0.016,209.524,460.36,0.016,209.5,479,0.017,211,500.693,0.017,212.982,520.838,0.017,213,537.609,0.016,215.471,552.824,0.017,215,563.144,0.017,215,567,0.017,218.268,566.866,0.033,227.155,562.948,0.018,236.171,563,0.019,248.5,560.5,0.017,268.211,558.224,0.017,284.132,555.981,0.016,301.835,554.476,0.017,322.5,553,0.017,345.468,550,0.017,367.911,549,0.017,391.524,547.771,0.017,409.75,549.469,0.017,427.288,548,0.017,444.616,546.043,0.017,458.205,545,0.017,467.765,545,0.017,478.742,545.685,0.016,483.853,546,0.017,490.442,548.295,0.033,492,553.561,0.017,489.979,559.062,0.017,491.262,567.046,0.017,492.5,584,0.017,494.497,603.735,0.018,496.988,627.881,0.017,499.233,651.802,0.017,501,668.758,0.017,503.716,682.297,0.016,503,690.879,0.017,500.604,696.594,0.016,501,702.323,0.032,497.464,704,0.018,492.558,701.853,0.019,484,702.5,0.016,461.966,702.563,0.017,440.749,704,0.016,419.866,705.267,0.016,390.5,705,0.017,363.517,704,0.017,336.102,704,0.017,304.931,705.236,0.015,274.403,705,0.017,251.078,706.72,0.017,228.404,710.879,0.017,209.583,710.202,0.016,198.208,712.448,0.018,192.5,709,0.159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,2839,JLAP
507,412,0,470.935,407.437,0.016,454.38,407,0.007,437.668,406,0.017,414.032,407.283,0.018,399.276,407,0.016,385.347,406,0.017,369.883,405,0.016,355.198,406,0.018,338.512,404.502,0.016,322.776,404,0.016,307.084,402.014,0.017,293.614,402,0.017,276.684,399.526,0.016,267.416,399,0.016,251.203,398,0.017,242.195,396.799,0.017,233.235,397,0.016,220.938,396,0.017,215.142,396,0.017,208.489,397.17,0.016,201.351,397,0.017,194.691,398,0.016,191,399.5,0.017,189.87,403.26,0.033,187.254,411.237,0.018,186.012,423.917,0.017,182.768,440.623,0.017,181.526,453.843,0.017,183,469.288,0.019,182,481.777,0.017,182,494.979,0.016,181.442,504.768,0.016,180,514.052,0.017,180,522.716,0.017,179.832,531.839,0.017,181.412,539.649,0.018,182.653,547.611,0.016,185.796,554.694,0.017,188.137,560.275,0.017,192.767,562.384,0.018,197.866,562.622,0.015,203.731,563,0.017,214.534,563,0.017,228.47,564.353,0.018,247.148,565.593,0.016,266.681,568.67,0.017,282.456,571.076,0.017,300.55,572.319,0.019,317.618,570.438,0.016,337.445,568.194,0.016,357.474,565.953,0.017,374.058,563.706,0.018,392.5,560.5,0.016,404.877,556.225,0.016,421.131,551.944,0.017,430.04,546.48,0.017,441.5,541,0.017,451.229,541.257,0.016,459.952,540.012,0.017,467.918,537.771,0.016,475.415,539.472,0.017,479.432,540,0.016,483.804,540,0.017,488.444,543.444,0.019,489.684,549.052,0.016,490.927,554.78,0.017,490.832,561.671,0.017,492,569.654,0.017,492.655,587.893,0.016,493.896,609.065,0.025,496.139,633.247,0.009,498.395,653.766,0.031,497.745,676.962,0.017,495.891,694.435,0.017,496,699.704,0.041,492.464,702.268,0.032,486.515,700.838,0.02,474.604,700.434,0.017,460.161,701,0.017,443.587,698.948,0.017,425.942,697.706,0.019,404,695,0.017,381.225,694.223,0.017,355.774,692.981,0.017,330.861,694.262,0.017,303,691.5,0.017,278.02,691,0.017,254.07,691,0.017,230.661,691,0.017,210.261,692.474,0.017,194.399,692,0.017,188.081,692,0.016,185.799,692,0.134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,3416,JLAP
503,405,0,468.454,405,0.018,449.5,405,0.016,432.558,402.223,0.017,404.605,401,0.017,390.133,402.267,0.017,370.5,402.5,0.016,354.251,403.75,0.017,336.04,402,0.017,318.857,402,0.017,300.662,400.523,0.016,279.948,400,0.016,263.276,397.069,0.016,245.771,394.795,0.017,229.367,394,0.017,215.542,392,0.016,202.457,393,0.017,190.945,394,0.016,186.162,395,0.014,183.821,399.536,0.019,184,403.298,0.017,184,409.173,0.019,187.632,431.058,0.015,190.874,450.862,0.017,193.117,465.7,0.017,198.355,477.777,0.018,201.602,497.414,0.016,202.843,510.216,0.016,206.172,522.43,0.017,205.678,533.933,0.018,207.144,543.859,0.017,208.815,551.444,0.017,209,556.115,0.032,208.579,560.841,0.033,211.537,562,0.018,217.442,559.706,0.016,224.171,558.61,0.019,233.527,559,0.015,245.254,558,0.017,264.073,554.642,0.016,285.904,553.637,0.018,309.829,556.207,0.015,328.762,556.309,0.017,344.543,553.909,0.016,368.641,550.669,0.018,389.175,549,0.016,408.163,549,0.017,425.535,546.941,0.017,442.408,541.097,0.018,459,541.5,0.016,473.726,539,0.016,488.173,540,0.017,498.098,539,0.018,504,539,0.016,508.756,542.512,0.016,505.197,546.803,0.017,502.277,552.362,0.019,503,564.039,0.015,504,576.943,0.017,505.092,592.738,0.016,505,604.982,0.018,505,627.617,0.016,504.18,650.024,0.017,504,667.37,0.016,505,687.697,0.018,502.5,695,0.016,496.424,703.364,0.017,494.5,707,0.017,490.605,710.395,0.034,482.715,711,0.017,468.988,714.002,0.017,452.276,713,0.016,431.644,712.516,0.015,414.413,714.732,0.016,394.209,713,0.016,374.042,713.782,0.016,354.9,715.456,0.017,333.035,716.696,0.013,309.57,717.057,0.015,288.124,718,0.016,264.743,717,0.017,245.631,717,0.016,228.613,717,0.017,213.078,716.154,0.017,198.605,716,0.017,189.438,715,0.016,181.473,714.882,0.016,172.37,715,0.017,162.523,710.892,0.132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,3198,JLAP
497,399,0,452.004,404,0.016,432.801,404,0.017,417.274,405.389,0.016,391.578,406.632,0.015,374.975,407.122,0.017,359.183,408,0.016,342.114,408.639,0.018,327.155,410,0.015,311.205,410,0.017,297.484,410,0.017,281.664,410,0.02,267.981,410,0.017,253.283,409.183,0.018,242.752,410,0.017,232.79,410.302,0.017,222.5,408.5,0.016,216.426,408,0.016,211.942,408,0.017,206.406,408,0.034,199.197,408,0.034,193.638,408.181,0.05,192,411.045,0.034,192,415.535,0.017,192,426.081,0.016,192,440.518,0.016,190.696,459.434,0.018,193.545,475.364,0.017,194,490.505,0.017,197.031,504.155,0.017,195.735,516.587,0.018,194.512,526.558,0.017,195,535.028,0.017,194.004,541.989,0.017,192.76,547.479,0.017,193,551.964,0.032,195.535,556.535,0.018,199.413,556,0.016,206.351,556.55,0.017,212.087,554.304,0.015,218.756,552.122,0.017,233.623,552,0.016,249.879,550.589,0.016,271.66,551.334,0.015,290.992,550.908,0.017,311.493,550.149,0.017,333.562,546.813,0.018,353.943,545.369,0.01,373.88,544.124,0.027,401.677,541.76,0.017,421.319,541,0.017,435.07,539.276,0.017,448.806,539.968,0.017,458.832,538.792,0.017,469.262,537.548,0.017,477.791,537.698,0.016,482.874,538,0.016,487.305,538,0.033,488.179,542.357,0.018,486.848,546.303,0.032,487,553.5,0.017,488.756,562.78,0.016,489.998,574.988,0.017,491.239,595.387,0.016,494.958,612.832,0.016,497.45,633.799,0.016,500.909,654.697,0.016,502,668.246,0.017,503.453,688.081,0.017,503,693.089,0.016,504.5,698.5,0.017,500.717,701.141,0.034,495,699,0.032,489.707,699,0.017,482.42,699,0.025,469.193,698.635,0.016,455.733,699.122,0.016,439.048,697.881,0.016,421.079,698,0.017,400.538,698,0.016,379.507,697.151,0.017,357.097,697,0.016,334.703,697.33,0.018,310.807,698.577,0.016,287.175,699.819,0.017,265.405,701,0.017,243.576,703.303,0.018,222.569,703.457,0.016,202.083,704,0.017,183.845,701.969,0.017,175.461,701,0.018,171.969,702,0.131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,3548,JLAP
506,404,0,467.197,401.8,0.018,447.968,402.448,0.017,426.146,401,0.017,390.658,400.927,0.017,362.129,402.17,0.016,332.636,404,0.018,300.786,407.658,0.015,269.324,408.898,0.017,242.302,410,0.016,219.16,411,0.016,202.876,412.625,0.015,192.514,413,0.017,189,413,0.017,190.066,416.065,0.034,192,423.072,0.017,193.935,432.674,0.016,195.826,450.391,0.017,194.58,465.937,0.016,196.34,484.282,0.015,197.707,504.024,0.016,200.296,522.331,0.017,198.605,539.368,0.018,200,552.161,0.015,199,561.747,0.017,199,564.119,0.067,206.174,565.275,0.017,213.891,564,0.017,220.619,562.794,0.017,230.247,563.449,0.017,248.243,560.306,0.015,271.39,558.122,0.017,294.987,559.181,0.017,318.207,558.421,0.017,343.277,557,0.016,369.69,554.813,0.016,394.642,554.701,0.017,415.951,556.395,0.018,437.338,555.268,0.016,453.934,551.882,0.016,471.11,551,0.017,483.531,548.723,0.018,494.862,547.823,0.013,501.553,543.149,0.016,507.277,545.185,0.032,508,549.915,0.018,508,556.397,0.016,507.063,561.812,0.017,507,568.728,0.017,509.867,583.469,0.017,507.672,601.707,0.016,509.086,621.228,0.016,509.154,638.076,0.017,507.207,658.566,0.017,509,674.834,0.016,507.116,688.418,0.017,507.125,698.624,0.017,507,707.477,0.018,502.5,712.5,0.033,497.048,711.024,0.016,492.56,709.78,0.017,480.26,710.457,0.017,463.353,708.294,0.017,443.529,707.053,0.016,423.515,704.814,0.017,395.409,702.57,0.018,371.222,701.325,0.015,341.083,699.833,0.016,309.618,699,0.016,280.326,696.189,0.017,252.273,697.644,0.015,228.121,696.112,0.017,207.863,694.747,0.016,191.378,692.625,0.018,183.546,694,0.015,176.564,697.577,0.129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,2858,JLAP
503,397,0,450.344,401.166,0.016,435.568,401,0.017,424.112,402,0.015,403.648,402.108,0.017,391.188,402,0.016,374.987,402,0.019,362.9,400.38,0.015,348.971,399.139,0.017,334.269,397.791,0.017,318.564,398,0.018,303.875,397,0.016,287.339,395.167,0.017,272.556,394,0.016,255.461,391.683,0.018,242.641,392,0.016,228.386,391,0.017,216.784,391,0.016,206.843,392,0.018,198,394.5,0.016,194,396.5,0.032,193,402.278,0.033,193,408,0.016,193,414.231,0.017,192,421.936,0.016,193.229,433.373,0.018,192,444.373,0.018,190,462.973,0.023,188.924,473.303,0.017,188,483.267,0.018,188,496.814,0.016,188,506.224,0.017,187,516.226,0.017,188.288,527.438,0.018,188,535.133,0.016,189,541.328,0.016,190.008,545.025,0.049,195.252,545.374,0.017,200.984,545,0.017,207.463,546,0.017,213.421,547.474,0.017,220.591,547.282,0.017,230.769,546.039,0.016,242.002,547,0.017,253.659,545.557,0.017,268.817,545.688,0.016,283.529,545,0.016,300.374,544.172,0.017,318.732,544,0.017,338.271,545.341,0.016,357.022,544,0.017,373.005,543,0.017,392.475,543.386,0.017,404.754,544,0.016,419.231,545.744,0.016,432.676,547,0.017,447.154,547,0.018,458.375,550.594,0.016,467.37,551,0.017,475.173,551,0.016,482.675,554.225,0.033,485.268,558.536,0.017,489.297,564.445,0.018,490,569,0.016,491.219,578.906,0.017,492.025,591.124,0.017,490.737,601.316,0.017,489.5,615.5,0.016,489,628.518,0.017,487.002,642.988,0.016,484.766,657.404,0.029,481.52,669.88,0.014,478.838,681.604,0.015,476,690.897,0.017,475,698.625,0.017,468.249,706.313,0.032,467.464,710.268,0.018,462.546,713.303,0.018,458,714.5,0.016,445.504,715.785,0.017,433.855,717,0.017,421.362,718.273,0.017,403,719,0.017,386.182,719,0.017,368.013,718.002,0.017,346.588,716.759,0.017,329.152,715.519,0.017,307.173,714.272,0.017,286.312,711.028,0.017,268.289,708.572,0.017,250.372,706.547,0.017,230.708,702.602,0.017,215.354,700,0.016,208.632,698.816,0.134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,3466,JLAP
500,400,0,461.771,400.602,0.016,437.551,400.155,0.018,411.967,399.914,0.017,372.545,402.648,0.019,351.149,402,0.016,326.213,402.631,0.016,301.466,403.053,0.017,277.683,402.698,0.018,257.5,405.5,0.018,238.518,404,0.017,223.826,403.975,0.017,213.917,404,0.018,208,404,0.014,203.464,404,0.033,202,406.018,0.05,202,410.357,0.033,198.82,419.718,0.017,192.309,433.114,0.017,193.333,447.002,0.016,192,461.474,0.017,193,478.216,0.017,193,496.183,0.017,195,512.46,0.015,194,525.4,0.017,194.877,535.369,0.017,194,544.08,0.018,192,550.211,0.014,192,553.536,0.033,194.357,557.357,0.033,203.132,556.934,0.017,208.61,555.695,0.018,215.5,553,0.016,233.897,554,0.017,253.204,554.023,0.016,273.237,555.72,0.018,288.5,558.5,0.016,308.089,557.239,0.017,327.044,557,0.016,343.982,556,0.017,363.871,554.513,0.017,381.319,554.732,0.017,399.806,551.976,0.017,417.954,549.566,0.017,434.217,547.54,0.017,452.937,546,0.017,468.577,545.053,0.018,484.131,544.811,0.017,491.298,545,0.015,494.536,545,0.034,494,549.269,0.05,491.732,554.536,0.018,491,559.5,0.016,489.511,566.468,0.017,490,580.148,0.017,489,597.823,0.017,489,615.969,0.017,491.461,637.146,0.017,492,656.652,0.016,493,670.695,0.017,494,683.93,0.024,492.567,690.867,0.013,492,695,0.032,489.979,698.041,0.049,487.643,698.821,0.033,483.869,697.934,0.016,479.252,698,0.019,471.146,697,0.016,461.563,698.859,0.021,448.396,699.101,0.022,405.692,699.402,0.038,366.092,701.382,0.043,322.49,701.317,0.017,291.479,704,0.016,269.187,704,0.019,242.108,704.649,0.014,228.531,705.894,0.027,217.593,706,0.011,212.248,707.376,0.017,207.144,707,0.015,201.269,706,0.017,193.466,707,0.137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,3536,JLAP
506,394,0,465.97,396,0.017,442.082,396,0.016,422.703,398.033,0.017,388.698,399.279,0.019,369.5,401,0.017,354.928,402.759,0.017,335.997,403,0.017,315.563,403,0.018,300.598,404.486,0.017,282.157,402.27,0.016,266.198,401,0.017,249.71,400,0.016,234.791,399,0.016,220.481,398.296,0.016,210.22,397.055,0.017,198.068,397,0.016,193.139,398.431,0.065,194.052,402.104,0.033,195,407.529,0.018,193.996,416.022,0.017,191.749,430.756,0.024,194,452.046,0.014,193.857,465.999,0.017,193.904,479.672,0.016,194,494.374,0.019,195.416,507.506,0.016,194.173,520.964,0.017,197.07,535.419,0.016,195.69,547.86,0.018,197.111,557.222,0.016,198,562,0.033,200,565.164,0.033,206,565,0.015,210.783,564.109,0.017,215.262,564,0.017,226.269,563.622,0.018,242.308,564,0.015,260.61,564.861,0.016,279.821,566.103,0.017,301.398,566,0.018,320.304,565,0.015,338.817,563.169,0.016,360.813,561.926,0.017,378.522,560.685,0.018,398.898,558.886,0.017,417.185,556.202,0.017,433.247,552.959,0.017,451.585,548.138,0.019,462.5,545,0.017,477.852,543.23,0.017,486.038,543,0.017,491.507,542,0.017,495.536,542,0.05,493.947,547.16,0.032,493,553.412,0.017,494,561.848,0.016,495,572.767,0.016,496.199,586.593,0.017,493.558,600.651,0.017,494.681,617.451,0.016,495,631.56,0.017,497.17,647.364,0.016,500.414,661.484,0.017,502.649,674.247,0.016,505,683.682,0.017,503.863,688.275,0.016,504,692.501,0.034,500.642,695.179,0.051,496,694.5,0.032,488.772,695,0.018,477.39,696,0.015,463.629,697.562,0.016,451.176,698,0.017,435.683,698.045,0.017,421.965,699.291,0.018,403.735,699,0.017,384.003,698.223,0.016,362.85,698,0.017,340.404,698.519,0.018,318.462,697,0.017,299.03,697,0.016,278.095,697,0.017,260.165,694.771,0.017,245.122,696,0.017,235.125,696,0.016,225.162,696.959,0.017,218.399,697,0.016,214.114,697,0.016,209.195,698.268,0.033,200.121,698,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,3567,JLAP
506,396,0,457.104,401.223,0.017,430.867,402,0.016,400.797,402.708,0.016,359.608,403,0.017,330.689,400.615,0.017,300.382,401.568,0.017,270.528,403.359,0.016,244.775,404,0.017,223.36,403.836,0.017,206.712,405.411,0.018,194.753,405.351,0.016,188.5,406.5,0.016,188,409.119,0.033,189.592,415.369,0.017,189,430.846,0.017,191.078,449.704,0.016,191,466.25,0.018,193,483.511,0.016,193.806,501.449,0.017,191.901,518.396,0.016,192,532.994,0.018,190,544.5,0.016,191,551.5,0.033,191.069,555.137,0.033,195,560,0.017,201.25,561,0.017,206.977,560,0.016,212.698,557.767,0.017,224.885,557,0.017,245.762,556.28,0.017,268.586,556.966,0.016,288.84,558.204,0.016,313.473,558,0.017,337.206,557,0.016,363.263,555.201,0.017,388.295,554,0.016,408.758,550.582,0.017,431.26,549,0.015,453.219,548,0.017,469.017,545.855,0.017,482.959,545.608,0.016,489.893,546,0.015,494.803,546,0.05,493,552.212,0.016,492,557.939,0.017,490.797,563.61,0.017,490,579.611,0.017,489.694,599.554,0.028,492.412,653.293,0.017,491,667.683,0.017,491.912,680.473,0.017,492,689.616,0.016,491,694.79,0.033,487.998,697.001,0.067,483.464,698.268,0.033,473.616,695.904,0.017,462.977,698.674,0.018,450.932,699,0.015,436.041,699.827,0.016,423.66,702,0.016,410.149,704.617,0.018,394.673,706.109,0.018,376.617,707.798,0.017,361.726,708,0.017,342.709,707.427,0.017,327.5,706.5,0.017,307.394,704.232,0.017,289.886,702.987,0.016,268.969,699.492,0.017,248.579,698,0.017,230.344,695.521,0.017,212.128,695.016,0.017,195.423,694,0.017,185.149,694,0.015,187.091,696.091,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,3178,JLAP
