@relation EntrenamientoP3LEPD
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
507,402,0,469.024,410.495,0.017,439.352,411.742,0.018,405.179,413.988,0.017,346.114,417.464,0.017,300.604,418.475,0.017,267.197,417.28,0.016,241.311,416.035,0.017,215.91,417,0.017,192.477,418,0.017,187,416.5,0.129,189.924,430.395,0.018,190,445.162,0.017,189,466.535,0.017,190.309,487.857,0.016,191,511.102,0.017,190.856,534.292,0.015,191,548.708,0.018,192,560.893,0.016,192,564.537,0.068,200.442,565.611,0.011,211.286,567.857,0.017,226.885,571.197,0.017,251.501,573.35,0.018,283.136,576.595,0.017,316.505,578.834,0.017,351.169,578,0.016,389.511,574.676,0.018,421.981,570.43,0.016,450.771,566.372,0.016,471.554,563.945,0.017,487.822,561.696,0.018,496.752,558.899,0.016,506.169,556.208,0.016,509.033,556,0.082,507,565.583,0.018,506,580.947,0.017,506,600.046,0.018,504,623.617,0.015,503,647.455,0.016,503,666.915,0.019,504,688.435,0.016,504,693,0.033,499.785,695.072,0.034,494.253,697,0.016,488.527,697.824,0.02,472.326,701.135,0.016,442.624,705.625,0.018,401.364,710.679,0.016,357.52,714.804,0.017,309.864,719.095,0.016,268.09,721.295,0.018,233.356,723.081,0.016,208.164,724.784,0.017,196.95,726,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,2273,LEPD
505,400,0,471.051,408.142,0.018,445.496,410,0.016,414.927,410,0.018,365.553,412.23,0.016,332.192,412,0.018,294.098,413.606,0.016,262.109,414,0.017,239.152,415,0.017,220.616,415,0.018,217,414,0.032,213.866,416.134,0.034,208.897,433.36,0.016,206,446.801,0.018,204,466.5,0.016,204.785,488.848,0.017,205,509.215,0.016,206.278,531.776,0.017,208.5,546.5,0.017,210.763,559.053,0.017,211,565.017,0.032,215.984,567,0.018,223.936,566,0.016,246.273,565,0.013,273.636,564.28,0.019,305.449,563.034,0.009,340.14,559.791,0.017,378.285,558.545,0.017,414.955,558.297,0.017,447.208,556.053,0.017,474.477,553.619,0.017,497.905,551.132,0.017,508.359,549.321,0.017,506.884,549,0.05,504,558.624,0.041,506.387,596.646,0.015,506.63,623.562,0.015,506,653.259,0.016,506,679.479,0.017,506,696.59,0.019,506,706.826,0.015,506,710.537,0.034,502.531,706.765,0.019,486.292,704.286,0.017,461.512,703.043,0.017,425.423,705.199,0.01,381.669,710.333,0.016,335.222,715.378,0.013,295.007,717,0.017,259.362,715.824,0.017,232.372,716,0.016,209.323,716.668,0.015,192.525,717,0.017,193.404,721.404,0.096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,2306,LEPD
514,401,0,490.555,406.861,0.017,474.598,407,0.016,454.814,408.919,0.017,417.394,412.328,0.017,389.112,412,0.017,357.24,413.651,0.016,325.455,414,0.017,301.868,412.859,0.017,272.961,413,0.017,247.34,414,0.016,228.012,413,0.016,218.636,412,0.017,208.188,412,0.018,199,412,0.116,203.711,421.554,0.018,205.5,433.5,0.032,208.321,455.536,0.018,210.5,478,0.016,212.809,504.089,0.017,214,536,0.017,216.3,553.396,0.018,216,564,0.028,218.131,562.935,0.018,228.36,559.469,0.017,245.101,559,0.016,269.294,556.747,0.017,294.47,557,0.017,326.94,559.746,0.017,359.798,559.012,0.018,391.729,557.767,0.017,420.691,556.522,0.017,450.703,557.725,0.017,471.677,555.065,0.017,488.266,552.789,0.017,493.911,550.545,0.016,496.06,553.119,0.018,497.804,563.018,0.016,501.045,579.363,0.017,503.289,600.599,0.017,505.5,628.5,0.017,506,653.569,0.017,504.977,677.251,0.016,506,696.13,0.017,506,711.5,0.016,506,717.513,0.017,504.5,721,0.083,498.423,718.141,0.018,478.871,715.897,0.016,443.8,714.653,0.018,392.582,716,0.016,343.754,717.837,0.017,293.478,719,0.017,248.476,718.674,0.017,222,717.5,0.017,205.486,716.186,0.016,196.885,716,0.017,192.576,717.424,0.114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,2457,LEPD
505,401,0,457.366,407.805,0.017,426.966,410.145,0.017,393.136,412.391,0.017,341.819,415,0.016,304.54,415,0.016,272.471,415,0.017,243.908,415,0.017,228.317,413.386,0.016,218.418,413,0.016,212.791,414.104,0.031,209.974,415.052,0.018,206.098,421.354,0.017,205,432.17,0.016,204.061,446.573,0.017,205.182,471.188,0.016,205,496.133,0.017,208,520.07,0.017,208.085,543.232,0.016,206.84,564.281,0.016,207,575.983,0.018,206,580,0.032,208.066,578.869,0.035,217.511,573.745,0.015,232.862,571.126,0.017,254.052,570,0.017,281.651,567.635,0.018,312.884,565.393,0.016,345.064,562.149,0.017,378.158,560.904,0.016,406.426,559.657,0.018,436.619,557.828,0.016,463.307,555.339,0.017,488.74,553.926,0.016,505.555,553,0.018,516,550.5,0.015,517,552.071,0.051,515.334,558.663,0.016,514,569.45,0.016,514,591.845,0.017,513,611.934,0.017,513,634.777,0.016,513,656.12,0.016,514,673.066,0.017,515,686.887,0.016,516,691.805,0.033,511.843,695.079,0.083,503.161,694,0.016,481.895,693,0.016,444.65,694,0.017,394.574,696.701,0.016,343.024,698.957,0.017,292.944,700,0.017,247.39,700.453,0.018,222.861,699.318,0.016,215.5,699,0.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,2404,LEPD
515,403,0,491.283,405.062,0.019,466.5,408,0.017,449.251,408.65,0.015,432.43,409.771,0.016,415.563,410.896,0.02,398.75,412.017,0.02,381.943,413.137,0.021,349.068,416,0.027,312.524,416,0.025,295.978,417,0.019,282,417,0.008,269,417,0.016,252.069,417,0.022,243.087,417,0.016,231.578,417,0.013,221.449,417,0.02,215.06,417,0.011,211.785,416.393,0.029,210,415.5,0.137,211,418.107,0.039,209.932,426.341,0.018,208.803,433.183,0.013,207.685,438.573,0.034,206,456.553,0.071,201.964,504.357,0.035,203.291,528.619,0.03,206.542,549.881,0.02,207.66,558.622,0.014,209.573,564.932,0.014,210,568.703,0.017,211.036,571.071,0.112,213.153,569.923,0.026,215.004,568.998,0.063,246.838,568,0.037,276.163,568,0.012,294.622,567.14,0.019,311.699,567,0.017,332.906,567,0.015,349.281,565.781,0.018,373.903,566,0.028,394.424,565.536,0.02,434.361,565,0.025,452.389,565,0.082,488.872,564,0.089,490.055,562.972,0.084,492.214,563,0.034,493.012,565.024,0.103,500.282,589.126,0.308,503.643,702.178,0.028,498.325,699.775,0.04,476.904,699.938,0.01,462.259,701,0.033,429.455,702.836,0.013,409.727,704.919,0.018,387.353,707.165,0.018,364.902,710.615,0.017,343.764,713.985,0.015,322.389,717.36,0.023,298.671,719.148,0.013,278.478,720.696,0.015,257.521,722.629,0.018,241.794,723.939,0.015,225.073,725.062,0.024,215.889,725,0.01,209.138,725,0.078,205.392,724.696,0.022,208.083,725,0.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,2385,LEPD
507,416,0,470.49,413.678,0.018,442.198,414,0.016,413.473,414,0.017,366.388,416.056,0.017,335.74,417,0.018,302.5,418,0.017,275.295,418.209,0.017,251.628,417.963,0.017,233.494,417,0.017,215,417,0.016,204.399,417,0.016,195.968,417,0.032,192.866,419.268,0.034,190.943,427.345,0.017,187.642,441.149,0.018,185.398,461.219,0.016,184.847,479.776,0.017,185,502.811,0.016,186,523.358,0.018,187,543.068,0.016,188,560.133,0.017,190.072,566.144,0.099,197.716,567,0.025,212.222,567,0.015,228.347,567,0.017,254.939,567.662,0.016,283.08,568.908,0.017,314.941,570,0.016,346.76,571,0.017,387.515,572,0.016,420.173,572.114,0.017,450.972,572,0.017,469.009,569.624,0.017,484.477,568,0.016,489,566.5,0.165,490.211,578.055,0.016,492,593.714,0.016,496.093,611.977,0.016,500.882,630.528,0.017,503.189,650.893,0.017,502.567,667.462,0.017,503,682.741,0.016,502,694.603,0.017,502,701.328,0.017,501,705.533,0.051,496.844,708.078,0.05,482.826,705.236,0.017,457.496,701.749,0.017,422.035,698.254,0.018,372.485,699,0.016,315.792,699.86,0.017,266.693,699,0.017,225.212,700.341,0.018,196.495,699.409,0.016,180.808,700,0.016,174.835,700,0.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,2487,LEPD
507,399,0,460,413,0.016,428.56,415.763,0.017,393.864,417.008,0.017,337.602,419.509,0.017,306.068,418,0.016,273.617,417,0.017,240.143,417,0.017,213.89,414.766,0.017,189.242,414,0.016,181.832,414,0.016,178,414,0.149,181.096,418.193,0.016,181,429.184,0.017,183.683,444.096,0.017,185.842,465.051,0.017,188.17,483.534,0.016,189,506.315,0.018,190.657,531.254,0.016,191.9,552.004,0.016,192.141,564.564,0.017,193.257,568.513,0.034,194,573.535,0.05,199.804,573,0.017,219.031,573,0.016,247.337,571.897,0.017,282.812,570.658,0.018,323.33,567.413,0.016,368.681,565.158,0.016,413.464,561.914,0.017,451.188,558.352,0.018,469.6,556.425,0.016,480.459,554.18,0.017,484,554,0.116,486.047,559.095,0.017,488.287,570.72,0.018,493,592.5,0.016,498.55,617.074,0.017,503.046,643.275,0.017,504,668.918,0.017,504,691.5,0.017,504,707.527,0.017,504,715,0.017,502.785,713.893,0.033,490.282,714.103,0.017,459.465,714,0.019,416.035,715.589,0.018,337.065,721.915,0.013,281.391,728.601,0.017,239.969,732.892,0.017,213.776,735,0.016,200.26,735,0.017,200.268,735,0.097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,2308,LEPD
504,401,0,457.688,406.687,0.016,427.926,408,0.016,397.767,409,0.017,344.892,411.835,0.017,313.035,412,0.018,283.344,412,0.017,260.524,412,0.017,239.856,413,0.019,225.449,413.362,0.016,219.233,413,0.017,215.809,413,0.016,211.248,413,0.032,210,415.358,0.017,208,418.459,0.017,206,426.883,0.017,208.715,443.009,0.016,210.963,461.635,0.016,213.205,479.639,0.017,216.45,505.403,0.017,217.694,526.638,0.016,218,543.586,0.03,218.816,561.738,0.019,218,570.711,0.023,221.096,569.952,0.019,234.5,567.5,0.018,254.791,565.221,0.017,282.206,563.981,0.016,317.986,564,0.018,357,561,0.016,397.302,561,0.017,429.978,561.998,0.017,456.625,563.239,0.017,472.888,563,0.016,486.928,561.268,0.016,493.927,560.024,0.017,497.009,562.017,0.018,499.631,569.262,0.018,501.127,586.509,0.015,504.62,606.288,0.017,510.161,627.482,0.017,512.302,652.921,0.018,510.5,673,0.016,508.214,693.503,0.017,505.969,706.155,0.017,506,712.552,0.017,502.996,711.996,0.034,498.243,710.621,0.018,474.67,710.378,0.015,435.741,710,0.016,387.509,711.108,0.016,335.367,713.36,0.019,284.533,714,0.016,243.147,713,0.016,211.008,709.91,0.016,189.287,708,0.019,185,708,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,2303,LEPD
512,399,0,469.849,408.359,0.016,440.93,411.922,0.016,410.671,413,0.017,356.807,415.406,0.017,324.215,416.655,0.016,291.624,416,0.016,256.666,416,0.016,227.991,416,0.019,212.839,414,0.016,200.483,413,0.017,193.753,413,0.099,194.978,421.912,0.017,194.779,435.549,0.017,194,452.717,0.016,191.288,473.696,0.016,192.957,497.445,0.017,197.602,518.008,0.017,200.888,537.109,0.017,202.69,553.827,0.028,204.935,564.74,0.021,206.177,571.353,0.015,208.268,575.537,0.033,214.744,573.085,0.017,226.086,572,0.017,248.04,570.596,0.017,274.75,569.354,0.016,305.376,567.108,0.016,338.898,564.864,0.017,373.777,563,0.018,405.489,559.752,0.016,432.695,558.13,0.016,457.056,557,0.017,473.888,553.639,0.018,484.812,551.396,0.016,489.694,550,0.016,492.092,548.954,0.017,496.672,549,0.033,498,552.268,0.017,497,557.658,0.02,498.682,570.774,0.017,500,588.341,0.017,498.83,607.534,0.017,497.585,630.155,0.024,494.681,655.596,0.012,491.094,681.686,0.017,490,701.347,0.017,488.606,718.365,0.017,489,721,0.082,481.493,717.623,0.02,452.424,714.387,0.018,387.378,712,0.018,337.713,711.77,0.017,293.075,712,0.017,249.25,711,0.017,216.414,710,0.016,189.724,709,0.016,180.179,711.455,0.017,184.493,711.302,0.096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,2306,LEPD
502,401,0,465.023,406.997,0.017,434.631,411.481,0.016,400.24,415.968,0.017,349.552,419.445,0.017,323.302,419,0.017,289.073,419.718,0.016,257.509,420.964,0.017,238.322,422.21,0.017,220.854,422,0.017,210.907,422,0.016,207,422,0.133,209,429.13,0.018,209,439.436,0.018,210,452,0.016,208.223,473.997,0.018,206,498.252,0.017,204.733,517.401,0.018,205,537,0.017,204,553.285,0.017,204,562.971,0.017,205.121,565.243,0.083,216.41,564,0.018,228.064,562.656,0.019,254.687,563,0.016,284.182,562.165,0.016,317.042,562,0.016,353.852,563.323,0.028,394.537,563,0.006,427.581,562,0.016,457.666,559.945,0.017,482.317,559,0.018,493.185,557.454,0.017,498,555.5,0.033,497.923,558.153,0.032,500,570.808,0.017,500,589.394,0.018,501,611.851,0.016,501.87,634.695,0.016,503.114,658.022,0.021,504.356,679.206,0.015,505,693.018,0.015,505,699.694,0.017,502.816,700,0.034,492.214,696.347,0.017,466.952,696,0.016,427.76,696.312,0.018,388,694.5,0.016,341.423,696.808,0.017,291.011,702.099,0.017,246.387,705.295,0.016,214.5,706,0.016,193.722,705,0.018,183.912,706.029,0.034,187.183,708,0.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,2289,LEPD
