@relation EntrenamientoP3LJLE
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
506,423,0,465.36,415.351,0.017,440.848,413.326,0.016,416.482,412.204,0.016,391.836,412,0.017,367.091,412,0.017,340.114,410.838,0.017,315.739,411,0.018,258.635,411,0.016,248.5,409.5,0.017,232.984,409.352,0.015,218.526,408.23,0.025,206.145,407.104,0.018,195.85,405.983,0.015,191.442,404.861,0.011,189.5,403.75,0.065,192.756,406.512,0.017,194.759,409.639,0.017,196.997,413.993,0.018,201.484,419.605,0.015,203.483,427.691,0.018,207.11,438.33,0.017,208.966,448.347,0.017,210.221,461.938,0.016,211.733,474.335,0.016,212,488.143,0.017,212,502.738,0.017,213.103,516.232,0.016,213,532.161,0.018,214.346,541.114,0.017,214,552.687,0.021,214,562.125,0.028,214.716,568.582,0.017,216,577.845,0.017,217.082,580.164,0.032,220.499,582.333,0.019,224.354,580.549,0.017,234.141,578.286,0.016,243.565,574.217,0.016,253.347,569.735,0.017,268.173,566.177,0.017,280.679,562.815,0.016,291.844,559.447,0.017,308.308,558.692,0.018,322.625,556.135,0.017,337.657,555.445,0.016,353.847,555.678,0.016,368.575,555.202,0.017,386.648,555.92,0.016,401.563,557.043,0.017,416.127,557,0.017,433.389,558.293,0.019,448.719,558,0.024,461,559.5,0.009,475.468,560.651,0.022,486.989,561,0.021,495.3,561.9,0.016,503.115,563.023,0.012,508.729,564.146,0.026,510.526,564,0.039,511.179,566.358,0.047,510,571.013,0.016,508.877,574.368,0.016,506.502,581.493,0.019,502.888,589.594,0.016,501.03,598.881,0.017,497.778,609.72,0.022,496.264,622.095,0.022,495.142,634.436,0.009,495,649.718,0.02,493.895,663.258,0.018,494.227,675.501,0.021,495.351,687.157,0.087,496.054,720.838,0.023,488.209,725.396,0.019,477.029,727,0.028,448.861,727.429,0.014,434,726.5,0.05,362.553,720.868,0.017,335.466,718.622,0.021,303.419,716.387,0.052,247.281,714,0.029,180.107,713,0.026,166.532,711.961,0.021,161.684,711.526,0.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,1881,LJLE
502,416,0,438.314,414,0.016,394.202,414,0.034,325.5,414,0.015,252.286,413.064,0.017,219.074,412,0.017,201.465,409.558,0.017,191,407.5,0.018,192.066,410.198,0.02,194.779,430.007,0.008,195,448.264,0.018,196.271,472.984,0.018,196.518,498.177,0.014,196,521.203,0.012,193.999,540.003,0.017,191.745,558.044,0.017,189.5,567,0.016,191.357,568.179,0.016,200.179,565.764,0.016,217.839,563.04,0.017,240.409,559.276,0.017,266.582,557,0.017,291.201,556,0.017,323.421,556,0.017,357.727,557.707,0.014,393.367,559.818,0.015,427.219,561.201,0.016,459.2,563.413,0.014,487.761,564,0.016,509.279,564.92,0.016,517.35,565,0.116,515.902,570.293,0.02,515.636,580.816,0.014,515,594.263,0.017,513.867,611.198,0.016,512.62,632.042,0.017,510.785,654.86,0.016,509.15,674.498,0.018,508,690.651,0.017,506.639,702.805,0.019,507,712.201,0.022,503.836,711.945,0.038,492.563,709.312,0.017,474.541,707.049,0.017,452.089,704.809,0.014,418.264,702,0.016,375.921,702,0.012,328.28,703,0.018,274.584,704.177,0.013,233.274,704,0.018,209,704,0.015,197.358,702.09,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,2195,LJLE
502,405,0,464.881,410.731,0.018,431.251,412.609,0.007,374.098,415.994,0.016,312.288,417,0.016,274.057,418.471,0.016,246.523,416.28,0.016,226.347,413.077,0.019,214.357,410.678,0.034,211.991,414.017,0.034,212,421.289,0.017,211.325,433.726,0.018,210.922,446.535,0.023,210,463.519,0.011,210,482.71,0.014,208.344,504.905,0.016,206.197,527.918,0.009,203.854,545.021,0.015,200.217,561.35,0.016,202.637,570.911,0.016,204.767,574.883,0.016,209.254,576.064,0.016,217.493,576,0.061,300.921,559.775,0.017,327.686,557.526,0.017,356.831,557,0.017,386.518,557,0.017,411.325,558.211,0.021,439.428,558,0.015,462.261,557,0.016,482.577,558,0.017,491.773,559.193,0.049,491.992,561.016,0.032,493.539,566.808,0.016,495.783,573.349,0.017,499.029,584.174,0.017,501.274,595.097,0.016,502,610.5,0.018,499.236,627.35,0.017,495.991,647.086,0.017,492.488,666.047,0.016,492,685.485,0.014,491,694.961,0.014,490.99,703.97,0.016,492.233,709.467,0.184,483.176,708,0.017,462.507,708,0.016,431.886,707,0.017,395.64,707,0.017,358.371,705,0.016,314.618,702.147,0.017,275.723,698.655,0.018,241.81,697.587,0.019,211.142,697,0.011,184.748,697,0.016,168.934,698.152,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,2461,LJLE
490,400,0,470.722,401.134,0.017,442.488,402.736,0.016,420.856,403.857,0.018,396.442,404.98,0.017,371.886,406.096,0.016,344.62,407.224,0.017,317.746,408.344,0.018,250.045,409.461,0.017,243.578,408,0.015,227.003,407.286,0.066,211,405.5,0.052,215.215,410.429,0.017,217.693,418.158,0.016,218,427.362,0.017,218.937,438.371,0.017,217.936,448.576,0.016,215.631,463.397,0.017,212.087,476.654,0.017,208.705,491.611,0.017,202.5,507,0.017,199.652,519.086,0.016,197.407,530.963,0.016,196.08,541.282,0.018,196,549.303,0.016,198.328,558.312,0.017,200.579,562.157,0.016,207.047,565.228,0.018,208,568.5,0.017,212.962,570.308,0.016,217.895,571.779,0.017,224.401,572,0.016,237.2,573.017,0.017,247.297,571.856,0.017,258.642,572,0.017,276.889,572,0.017,290.5,570.5,0.017,314.051,570.366,0.016,335.344,569.245,0.016,361.987,568.121,0.017,389.058,566.998,0.017,411.502,565.875,0.016,438.898,566,0.017,460.425,566,0.018,478.349,567.491,0.018,493.118,569.224,0.015,503.633,571.474,0.016,510.298,573.719,0.018,512.964,575.964,0.016,514.107,578.214,0.016,514,581.682,0.017,515.353,587.764,0.018,513.533,593.333,0.017,511.407,601.741,0.017,510.281,613.628,0.015,508.318,625.408,0.017,507.036,637.599,0.017,507,652.123,0.016,507,664.272,0.017,509.655,675.276,0.018,509,687.985,0.017,510,694.002,0.015,509.304,700.482,0.017,508.182,706.092,0.017,503.285,708.886,0.017,494.507,712.185,0.024,483.132,714.374,0.012,461.423,715.31,0.032,403.025,715.452,0.016,369.357,715,0.016,333.023,713.413,0.017,293.73,712.078,0.017,254.485,712,0.016,223.409,710.836,0.017,194.547,708.427,0.019,175.205,707.59,0.016,161.193,704.398,0.016,155.032,701.688,0.016,154.781,699.438,0.094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,1484,LJLE
502,430,0,455.409,419.837,0.014,420.125,417.36,0.026,380.053,417,0.017,312.61,415.895,0.016,272.939,414.616,0.016,243.665,413.389,0.019,217.38,412.153,0.022,196.074,409.907,0.016,190.296,408.648,0.068,193.89,416.836,0.015,197.843,429.685,0.007,205.373,446.203,0.012,209.706,468.065,0.014,212.914,489.569,0.017,214.183,508.28,0.018,215.419,527.774,0.015,212.329,540.357,0.013,211.902,550.609,0.015,212,555.364,0.034,216.091,558,0.021,224.872,557.226,0.015,242.373,554.963,0.018,259.244,550.439,0.018,285.5,547,0.017,314.248,544.229,0.025,361.254,543.141,0.013,392.827,543,0.018,419.166,543.628,0.024,446.33,544.872,0.014,467.167,545.117,0.011,484.183,546,0.017,494,547,0.014,503.27,547,0.015,508.124,548.062,0.035,514.908,548,0.032,518.535,548,0.117,517,552.8,0.031,515.414,566.759,0.01,512.891,584.545,0.011,510.205,604.159,0.019,508.956,627.392,0.011,509,656.071,0.018,510,679.301,0.017,510,708.234,0.016,508.854,716.292,0.013,505.487,720.513,0.026,496.966,721,0.013,482.997,721,0.024,459.977,719.748,0.012,429.684,720,0.014,390.715,720,0.024,320.728,719,0.013,270.366,717.724,0.023,229.913,715.813,0.011,200.902,713.317,0.017,187.647,710.912,0.017,194.035,704.322,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,2293,LJLE
499,420,0,469.598,416.24,0.018,451.006,415.118,0.017,431.924,413.995,0.016,409.458,414,0.017,384.549,414,0.017,358.542,414,0.022,314.913,414.984,0.013,273.387,416.609,0.016,248.59,417,0.028,224.919,417.861,0.016,208.252,418,0.028,187.867,415.773,0.047,186.292,416,0.018,190.424,424.272,0.013,194.37,432.741,0.017,197.891,442.673,0.016,201.253,454.926,0.017,203.419,468.512,0.017,204.332,481.988,0.018,201.097,499.77,0.017,201.848,515.643,0.016,199.598,531.115,0.016,199,547.312,0.017,198.055,561.34,0.017,198,572.637,0.025,200.378,583.889,0.027,206.287,594.716,0.017,211.773,597.109,0.018,218.072,598,0.013,228.016,597.198,0.018,241.972,595.158,0.016,257.638,590.818,0.017,276.897,586.318,0.016,290.78,580.546,0.018,315.228,574.943,0.017,334.059,572.388,0.016,353.518,570.341,0.016,371.747,569.217,0.016,391.276,569.904,0.017,406.35,570,0.017,422.099,572.3,0.017,437.813,574.545,0.018,453.502,578.179,0.017,465.212,582.588,0.016,478.029,588.195,0.016,486.579,593.816,0.016,491.542,599.428,0.017,495.032,607.074,0.017,497.258,618.289,0.017,498.249,626.994,0.018,498,636.009,0.017,496.502,649.983,0.016,495.381,661.187,0.016,494.255,674.688,0.016,493.134,686.657,0.017,493,696.875,0.018,495.218,708.088,0.017,496.234,716.876,0.018,496,723.12,0.017,496,727.421,0.016,494.807,730.79,0.017,492.558,733.442,0.017,489.465,734.845,0.014,483.206,735.966,0.018,468.853,736,0.016,451.828,734.789,0.016,424.263,733.664,0.018,402.872,732.544,0.017,372.411,731.416,0.016,342.942,730.294,0.016,310.972,730,0.017,279.475,729.053,0.017,253.392,727.93,0.018,234.677,726.805,0.015,218.311,724.375,0.018,212.948,722.128,0.017,211.438,717.191,0.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,1437,LJLE
495,425,0,470.761,423.443,0.014,458.5,422.5,0.017,439.643,421.203,0.016,422.182,420.074,0.017,405.289,418.953,0.017,384.938,417.83,0.017,363.426,418,0.018,312.497,419.413,0.017,294.5,419,0.014,270.469,419.66,0.018,249.128,420.783,0.016,229.592,420.094,0.017,215.677,420,0.018,204.5,420,0.015,195.801,417.45,0.017,193.815,416.605,0.088,201.019,425.026,0.012,203.263,431.789,0.018,207.987,439.727,0.018,208.377,447.638,0.017,210.982,458.421,0.015,211.619,472.187,0.017,212.742,484.164,0.017,213,498.246,0.016,213,509.881,0.017,213,523.332,0.016,211.764,535.596,0.019,210.647,545.181,0.016,209.52,556.799,0.016,209.398,563.406,0.016,209,567.895,0.017,209.847,570.694,0.017,210.97,572.939,0.016,213.185,574.092,0.017,217.852,575.213,0.016,222.343,573.664,0.021,235.594,571.081,0.014,246.844,569.831,0.017,258.765,567.588,0.016,272.793,565.339,0.016,285.464,564.049,0.017,302.11,562.926,0.017,317.76,561.803,0.017,337.475,560.678,0.021,350.708,561,0.013,369.907,561,0.017,387.629,561.684,0.015,403.522,562,0.033,420.893,562.931,0.017,436.791,564.049,0.033,467.422,565.295,0.012,482.58,566.416,0.007,493.834,567.537,0.016,503.954,568.662,0.017,510.141,569.785,0.017,514.641,570.91,0.017,517.058,573.058,0.033,519.266,575.266,0.034,520.262,578.786,0.016,520,581,0.016,519.766,585.299,0.017,519.11,588.67,0.016,517.989,593.042,0.017,516.867,598.666,0.017,515.746,604.27,0.017,511.851,612.681,0.018,510,623.5,0.017,509.5,629.5,0.015,507.253,642.473,0.017,503.543,652.778,0.017,503,662.929,0.024,500.774,673.015,0.013,498.524,684.381,0.013,497.645,691.488,0.038,496.6,707.599,0.025,497,712.911,0.009,497,716.547,0.027,496.032,718.936,0.012,494.909,721.181,0.085,493.833,723.334,0.02,476.2,722.171,0.026,454.388,719.932,0.016,438.27,717.61,0.016,423.132,716.392,0.014,405.128,714.141,0.016,383.605,714.453,0.016,362.428,714,0.016,338.279,714,0.017,309.795,714,0.017,280.292,714,0.015,250.613,714,0.016,223.095,715.276,0.02,200.557,715,0.017,179.732,714.449,0.017,165.693,713.336,0.132,0,0,0,0,0,0,0,0,0,0,0,0,96,1923,LJLE
490,425,0,452.624,410.945,0.017,423.004,407.539,0.016,384.07,405.298,0.016,323.031,402.102,0.017,278.913,402,0.017,243.992,402,0.017,221.206,400.315,0.016,210.285,399,0.017,205.652,401.348,0.017,203,403.804,0.017,205.575,412.151,0.016,207.033,427.265,0.016,208.28,448.522,0.017,208,473,0.016,209.768,492.446,0.018,213.025,512.101,0.017,216.26,531.081,0.017,220.999,540.997,0.017,232.982,545.496,0.016,245.978,545.004,0.016,266.658,541.517,0.016,287.365,535.545,0.017,313.329,531.534,0.016,338.778,528.044,0.017,370.068,525.781,0.016,405.434,525,0.017,436.527,525,0.016,464.531,526,0.017,492.208,527,0.017,512.491,529.449,0.016,519.382,531.691,0.016,523,533.5,0.017,526.305,537.305,0.034,527.799,542.598,0.017,528,546.062,0.016,528,556.445,0.017,528,567.5,0.016,525,589.786,0.017,521.954,615.298,0.016,519.731,638.688,0.017,517.5,664,0.016,517.242,685.061,0.017,517,699.014,0.017,517,707.745,0.017,514.732,711.536,0.034,502.14,711,0.016,480.968,713.452,0.017,450.363,714.47,0.016,407.962,715,0.017,363.693,715.962,0.017,311.093,715,0.017,263.577,714,0.017,229.814,713.301,0.016,200.738,713.057,0.017,185.058,713,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,2062,LJLE
499,424,0,443.86,417.26,0.014,398.495,417,0.016,347.311,417.856,0.016,272.785,424.468,0.016,244.799,426.35,0.017,233.023,424,0.015,224.474,422.158,0.017,221.868,422,0.082,219,430.772,0.018,215.812,441.94,0.014,214.568,458.455,0.016,213.5,474.5,0.016,215,499.174,0.024,215,517.378,0.017,216.416,534.496,0.017,216,548.612,0.018,217.899,559.595,0.016,220.152,565.305,0.024,226.595,569.399,0.015,236.188,572,0.044,268.271,572,0.018,289.328,569.63,0.016,315.425,567.381,0.013,338.789,566,0.014,366.254,563.896,0.014,393.639,564,0.018,415.234,563,0.012,435.773,563,0.017,451.631,564,0.017,461.335,565.334,0.019,471.917,566,0.015,483.314,567,0.018,490.144,568.072,0.016,494.436,570.436,0.034,494.067,579.731,0.017,494,589.893,0.017,494,602.547,0.018,494,617,0.016,497.903,632.417,0.017,501.32,652.602,0.019,505.801,667.803,0.017,506.354,684.875,0.015,507,697.474,0.017,506.14,709.838,0.019,506,716.151,0.015,503.731,719.537,0.083,495.539,718,0.017,484.647,717,0.017,465.2,716.022,0.018,435.72,713.781,0.016,402.118,714,0.017,361.584,713,0.024,313.025,711.045,0.016,268.147,708.797,0.011,232.713,706.551,0.017,197.912,704.307,0.019,184.189,701.126,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,2277,LJLE
503,425,0,467.252,419.281,0.019,450.057,417.008,0.037,424.529,414.775,0.031,409.674,413.279,0.022,373.816,409.785,0.041,340.798,406.15,0.041,312.072,403,0.028,287.976,401,0.025,265.56,399.415,0.03,247.054,398,0.013,240.257,397.043,0.037,230.442,395.92,0.031,217.71,393.678,0.037,203.308,389.327,0.016,197.94,388.188,0.026,194.195,388,0.057,191,386.5,0.032,190.543,389.086,0.018,192,395.185,0.064,196.158,411.946,0.039,200.528,437.226,0.041,204,457.683,0.02,206.013,479.117,0.035,208.266,501.931,0.035,207.383,510.064,0.026,207,529.376,0.022,206.254,536.478,0.036,206.999,546.994,0.031,211.722,560.082,0.021,213.467,561.489,0.043,225.258,565,0.02,232.709,565.958,0.023,242.72,566.897,0.028,251.038,565.774,0.02,273.689,563.062,0.027,284.93,560.814,0.016,298.245,558.578,0.065,351.877,546.616,0.046,382.659,541.112,0.021,421.922,538,0.032,433.373,537.063,0.109,502.436,537.777,0.021,509.549,538,0.018,515.142,539,0.046,524.104,540.701,0.012,525.8,541.267,0.058,528.879,544.879,0.11,536.266,560.468,0.074,535.11,563.669,0.021,524.919,584.522,0.074,514.059,628.766,0.033,510.768,651.547,0.155,512,702.197,0.04,508.572,709.571,0.038,503.461,710,0.045,486.866,713.189,0.036,472.529,715,0.026,457.238,715.68,0.058,425.709,717.029,0.054,374.565,716,0.021,334.788,714.34,0.017,312.564,713.217,0.028,272.432,708.933,0.013,252.153,706.684,0.017,238.38,704.443,0.019,219.536,702.192,0.016,209.689,702,0.017,197.534,700.707,0.015,190.154,700,0.017,187.216,700,0.017,186,700,0.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,2582,LJLE
