@relation EntrenamientoP3MACCH
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
509,409,0,461.799,407,0.023,439.738,407,0.008,421.709,407,0.017,393.063,408,0.015,375.687,408,0.016,365.435,408,0.023,351.296,406.614,0.016,334.598,407,0.016,312.282,407,0.017,292.626,405.863,0.017,273.304,406,0.015,257.284,406,0.015,242.941,406,0.017,230.509,404.918,0.017,224.356,407.322,0.034,223.197,415.211,0.019,219.885,435.634,0.017,216.427,448.718,0.017,214.468,465.79,0.016,212,486.562,0.028,211,506.189,0.01,210,516.026,0.016,211,525.538,0.019,211.749,533.498,0.015,213.038,536.075,0.03,217.974,538.487,0.015,239.472,543.83,0.016,258.511,548.102,0.011,280.581,551.645,0.016,303.493,556.123,0.016,324.054,557,0.014,341.331,558,0.017,365.268,557,0.018,382.5,554.5,0.017,404.945,551.228,0.017,426.878,549.014,0.017,452.127,547.739,0.016,467.5,548,0.017,483.964,550.741,0.018,488,552.5,0.031,490.239,557.478,0.027,491,570.141,0.011,492,601.326,0.029,495.387,629.934,0.039,502,679.187,0.046,499.59,706.506,0.022,495.822,720.357,0.032,486.481,720.503,0.015,449.7,722.869,0.029,413.304,724.113,0.035,295.153,717.172,0.034,231.899,712.927,0.018,201.127,714.323,0.025,179.648,715,0.01,179,712.966,0.156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,2400,MACCH
504,409,0,465.096,405.221,0.018,444.921,403.996,0.016,423.584,402.873,0.017,401.044,401.752,0.017,378.645,399.264,0.02,356.726,395.536,0.015,322.659,391.566,0.015,294.592,389.27,0.017,275.556,389.85,0.017,257.389,394.878,0.017,244.916,401.591,0.016,232.617,410.733,0.017,218.922,419.719,0.018,212.797,430.118,0.017,207.52,445.539,0.016,202.207,463.57,0.016,198.534,484.62,0.017,196.118,505.882,0.017,197.062,526.108,0.016,199.37,539.218,0.016,202.905,551.32,0.019,207.706,563.692,0.025,210.642,565.642,0.012,213.334,569.001,0.012,217.165,570.791,0.017,223.463,571.911,0.017,234.289,574.058,0.016,245.52,572.848,0.017,257.904,573,0.019,280.118,571.605,0.016,298.252,568.462,0.016,321.375,565.726,0.016,341.877,563.485,0.017,364.473,562.12,0.016,385.929,561.004,0.017,403.904,561,0.017,424.267,558.526,0.017,441.854,556.268,0.018,461.195,554.036,0.016,470.649,554,0.016,480.08,555.451,0.017,484.542,557.695,0.016,486.935,559.935,0.017,488,561,0.017,488.102,562.204,0.017,488,565.999,0.018,488,578.044,0.016,487.573,600.448,0.023,488,615.017,0.011,488.815,626.332,0.015,489.935,638.284,0.018,491.055,653.777,0.017,491,663.586,0.016,492.299,668.495,0.018,492,671.259,0.017,491,675.085,0.016,490.34,678.641,0.016,489.5,682,0.032,482.9,684.05,0.017,474.983,686.291,0.017,455.707,696.146,0.016,431.011,705.043,0.019,410.5,711,0.016,378.308,714.883,0.016,348.74,716.75,0.017,314.169,717,0.016,280.235,717,0.017,250.082,715.892,0.017,223.374,714.766,0.016,193.81,713.647,0.019,173.505,709.576,0.017,159.815,706.204,0.015,151.406,705,0.016,148.322,705,0.018,147,705,0.032,151.203,705,0.018,156.302,707.651,0.018,163.642,717.082,0.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,1427,MACCH
516,398,0,493.016,400.089,0.017,463.769,400,0.013,443.59,399.211,0.02,421.778,398.089,0.016,400.649,398,0.016,378.839,398,0.017,356.821,398,0.016,305.037,399.389,0.02,292.5,400.5,0.015,268.748,401,0.014,249.886,401,0.02,234.019,401,0.014,220.096,402.984,0.016,213.268,404.122,0.023,206.449,406.517,0.016,201.205,411.436,0.013,195.508,415.993,0.018,194.767,426.4,0.018,192.511,439.192,0.027,191.14,454.906,0.01,191,474.748,0.009,191,496.114,0.017,191,511.497,0.023,192.357,524.283,0.017,194.46,530.379,0.011,196.179,533.768,0.017,199.846,537.846,0.016,203.489,541.489,0.017,209.666,543.889,0.017,215.452,546.181,0.016,224.632,548.408,0.017,240.142,550.637,0.018,252.008,550,0.017,269.612,551,0.02,286.127,551.675,0.019,303.598,553.575,0.01,323.516,555.835,0.016,339.869,557.062,0.021,360.24,557,0.023,377.376,554.925,0.011,396.779,550.805,0.013,410,547.5,0.016,429.529,547,0.02,445.389,547.759,0.019,456.913,550.638,0.011,470.204,553.034,0.017,483.483,554.124,0.017,490.949,554,0.018,500.131,556.783,0.017,507.573,558.029,0.016,512.5,560,0.02,514.5,560.5,0.029,514.268,562.536,0.024,515.043,565.129,0.019,514.791,573.722,0.012,513.668,588.321,0.013,514,603.384,0.017,514,617.73,0.016,514,630.046,0.02,514,644.194,0.021,514,657.292,0.012,514,667.717,0.014,514,675.391,0.015,512.671,679.316,0.037,511.734,680.531,0.066,502.85,682.025,0.022,491.538,685.439,0.011,478.745,686.296,0.016,459.189,688.851,0.017,445,689.5,0.02,417.363,694.896,0.02,393.492,697.501,0.014,367.489,695.325,0.017,341.039,691.006,0.012,314.835,687.587,0.017,296.307,686.724,0.018,271.618,684.202,0.023,259,683.5,0.024,245.597,682.799,0.018,234.039,681.276,0.017,218.009,681.998,0.017,215.767,682,0.037,216,679.654,0.02,219.267,676.186,0.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,1617,MACCH
507,396,0,464.767,398.19,0.016,429.509,398,0.016,388.858,397,0.016,329.243,396.915,0.016,288.48,392.685,0.016,256.859,388.605,0.016,235.87,387,0.016,225.228,386.886,0.017,222.877,388.061,0.016,223,396.832,0.018,217.388,424.566,0.015,213.297,454.068,0.017,210.906,482.039,0.016,207.67,510.633,0.018,207.579,536.054,0.017,209.823,549.291,0.017,211.5,553,0.033,215.857,552,0.033,237.674,557.577,0.017,265.467,560.031,0.017,299.317,560,0.018,339.5,558.5,0.017,367.322,556.243,0.016,390.983,555,0.017,406.692,555,0.016,424.36,554,0.017,433.614,554,0.016,447.745,553,0.017,459.826,552,0.021,474.555,552,0.017,482.387,552,0.016,484.018,554.037,0.034,485.268,560.804,0.017,489.559,575.236,0.018,496.062,597.166,0.016,504.786,616.359,0.017,509,635,0.018,511,661.73,0.017,512.012,681.917,0.017,513.231,687.463,0.017,513,691.944,0.015,512.967,695.066,0.033,506.877,694.438,0.017,503,694,0.032,496.669,692.835,0.016,486.957,693,0.018,461.542,693,0.015,430.516,694.892,0.017,395.559,698.136,0.017,362.961,700,0.018,332.999,697.769,0.015,299.826,693.281,0.017,266.744,689.895,0.016,239.554,689,0.02,219.074,690,0.011,212.343,690,0.016,209,690,0.133,213.314,685.843,0.096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,2321,MACCH
531,401,0,506.395,404.768,0.018,493.951,407.009,0.017,478.248,410.375,0.025,460.575,412,0.013,439.75,412,0.014,417.157,412,0.017,382.423,408.564,0.015,349.885,404.803,0.017,325.27,401.446,0.017,303.461,396.121,0.016,276.792,391.632,0.017,257.129,387.14,0.017,237.005,381.335,0.018,215.272,377.163,0.017,201.155,375.421,0.016,187.697,377.101,0.016,179.245,380.466,0.017,173.294,384.765,0.016,169.815,392.432,0.022,170,408.548,0.012,173.909,424.243,0.018,180.129,449.941,0.018,186.742,477.614,0.014,191.5,499.5,0.017,201.309,526.56,0.017,209.371,543.743,0.017,214.124,559.433,0.017,217.448,567.045,0.017,220.817,572.362,0.018,222.786,575.179,0.016,228.563,576.513,0.016,235.444,577,0.016,244.831,574.723,0.016,261.018,571.372,0.017,278.006,566.998,0.027,300.375,562.525,0.01,324.021,558.044,0.018,347.625,553.548,0.044,378.664,547.052,0.025,446.746,541.163,0.021,459.677,541.968,0.016,472.706,544.353,0.018,480.844,548.844,0.016,484.662,553.986,0.018,486.905,560.714,0.021,488.573,568.584,0.006,489.696,583.826,0.011,490,603.694,0.017,490,631.415,0.017,490,659.492,0.019,491.18,672.159,0.02,493.598,686.69,0.017,496.262,696.787,0.016,499.081,706.322,0.026,500,711.975,0.009,500,714.565,0.013,500,716,0.014,497.977,715,0.016,494.562,716.146,0.017,488.659,714.732,0.021,477.556,715,0.02,460.831,715.511,0.012,438.517,716.63,0.014,411.317,717,0.017,381.435,716.127,0.017,351.155,715.006,0.017,316.51,712.775,0.016,285.405,710.529,0.019,253.948,706.923,0.016,231.421,705.038,0.017,208.194,703,0.015,191.611,702.278,0.017,181.257,701.157,0.016,174.218,700.036,0.017,171,699.5,0.017,176.207,697.793,0.017,182.638,699.328,0.126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,1434,MACCH
518,397,0,487.201,399.436,0.017,463.55,400.677,0.019,435.954,402.92,0.017,391.79,408.486,0.017,366.731,410.405,0.017,345.232,410.647,0.016,318.541,411,0.016,292.425,409.869,0.017,261.53,406.255,0.018,234.239,401.771,0.016,214.713,399,0.017,204.607,399,0.016,203,402.465,0.018,200.295,419.342,0.016,195.153,444.44,0.016,191.812,471.257,0.017,191,493.708,0.017,193.673,513.38,0.017,197.825,527.738,0.016,200.151,530.151,0.032,205.525,531,0.017,213.01,533.002,0.017,225.72,535.246,0.016,250.871,539.974,0.017,282.006,541.728,0.016,311.689,542.972,0.017,339.135,545.213,0.016,362.998,552.363,0.017,381.963,556,0.015,398.685,558.937,0.011,415.442,560,0.017,429.118,562.424,0.018,444.985,563.665,0.016,462.251,565.906,0.017,490.768,566,0.016,552.763,564,0.014,554.08,566.159,0.067,549.313,581.122,0.017,544.828,606.947,0.016,539.019,636.268,0.018,533.865,655.677,0.016,528.56,683.576,0.016,524.947,698.214,0.033,521.732,702.268,0.033,509.146,708.427,0.02,449.88,713,0.016,398.597,712.507,0.017,339.211,705.031,0.017,276.819,697.313,0.016,229.564,695.528,0.018,190.66,698,0.017,172.297,697.958,0.017,172,695.804,0.011,184.095,696.442,0.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,2190,MACCH
495,405,0,442.906,401,0.017,413.66,401,0.016,383.081,401,0.017,332.371,402.664,0.016,297.341,403,0.017,267.364,404,0.009,245.59,406.758,0.017,229.921,409.635,0.015,222.246,414.631,0.017,216.767,435.631,0.016,212.291,460.256,0.018,209.392,489.906,0.015,206.305,511.628,0.017,206,533.796,0.016,206,545.628,0.033,209.648,545.824,0.017,216.256,549.128,0.017,234.884,550.288,0.018,256.5,550,0.016,290.062,549,0.016,319.428,550.033,0.017,347.063,548.722,0.019,375,550.5,0.025,399.338,552.763,0.012,421.024,554.002,0.017,435.717,556.245,0.018,449.935,556,0.016,459.93,559.732,0.018,470.843,560.974,0.018,482.088,562,0.017,487.917,563,0.017,492,564,0.032,495.064,568.064,0.017,498.611,573.917,0.019,501.5,596.5,0.016,504.573,615.865,0.015,508,645.524,0.016,509,680.863,0.018,509,690,0.016,504.239,701.806,0.017,502.5,707.5,0.033,498.269,708.366,0.019,486.339,710.61,0.016,463.783,712.851,0.016,432.357,712,0.017,399.304,709.665,0.019,365.445,710.419,0.016,328.006,707.354,0.017,292.013,702.934,0.017,258.738,700.696,0.02,228.294,699.45,0.016,199.915,698,0.019,180.79,695.965,0.014,169.907,696,0.129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,1986,MACCH
515,401,0,488.345,400.239,0.019,473.561,399.12,0.016,459.995,398,0.016,443.115,396.874,0.016,428.844,395.757,0.017,411.493,394.633,0.018,394.663,393.511,0.016,354,394,0.017,343.652,395,0.017,327.093,396.701,0.016,308.48,398.944,0.017,292.769,400.088,0.017,273.37,400,0.017,258.367,401.331,0.018,239.73,402.454,0.027,227.5,403.5,0.02,212.287,405.701,0.015,198.373,407.635,0.008,188.518,409.87,0.012,182.69,414.248,0.018,178.233,419.959,0.016,173.798,430.705,0.018,172.143,440.858,0.017,172,456.706,0.015,172,470,0.018,175.58,486.852,0.015,179.656,502.798,0.017,183.105,514.35,0.017,187.614,527.841,0.017,192.095,536.19,0.017,196.58,542.37,0.017,202.5,550.5,0.018,208.174,554.539,0.015,213.024,558.268,0.016,218.414,559.883,0.017,225.027,561.004,0.017,235.105,559.877,0.017,246.381,560,0.018,257.631,557.274,0.016,276.367,555.018,0.018,290.67,549.791,0.016,307.153,547.55,0.015,325.547,547,0.018,338.67,547.97,0.016,355.222,550.163,0.017,369.924,552.45,0.016,384.409,553.339,0.019,399.065,554.46,0.015,412.54,555,0.018,425.047,556.409,0.015,437,557,0.018,450.337,557,0.016,458.461,558.066,0.017,466.236,558,0.016,475.477,558,0.019,482.994,559.428,0.015,485.644,560.548,0.016,489.02,562.346,0.018,492.378,563.793,0.016,495.743,567.658,0.016,499.093,574.185,0.018,501.318,589.065,0.017,502.275,603.579,0.019,504.788,613.942,0.015,507,623.5,0.016,511.282,636.692,0.016,512.76,650.887,0.017,513.885,664.622,0.017,514,677.004,0.017,512.878,680.365,0.032,511.813,682.374,0.034,509.466,684.534,0.033,504.423,686.859,0.017,497.223,687.968,0.017,489.351,689.093,0.016,479.087,690.213,0.017,463.662,692.667,0.017,449.016,694.921,0.017,426.5,697,0.017,403.142,699.702,0.016,377.076,699.177,0.017,353.272,697.121,0.017,328.64,695.938,0.016,301.574,696,0.016,279.791,697.31,0.019,261.807,698.423,0.017,242,698,0.016,228.251,697.328,0.015,215.037,696.204,0.018,202,695.083,0.017,190.628,693.963,0.016,185.223,692.845,0.016,182.141,693,0.017,180.195,691.598,0.067,188.295,688.118,0.096,0,0,0,0,0,0,0,0,0,0,0,0,96,1770,MACCH
512,399,0,493.315,397.962,0.019,471.189,398,0.017,456.211,398,0.016,439.652,398.668,0.016,420.814,399,0.017,401.558,399,0.017,381.442,399,0.016,338.324,401.299,0.017,318.501,401,0.017,296.155,402.392,0.018,271,402,0.017,252.593,402.634,0.015,235.409,402.243,0.017,219.712,402.878,0.017,209.997,403,0.016,201.032,405.242,0.017,193.312,409.965,0.017,190.905,414.46,0.018,189.026,423.409,0.017,188.394,442.874,0.015,188.727,461.084,0.017,189,477.858,0.016,190.943,499.433,0.017,192.09,513.082,0.017,195.639,528.982,0.016,197.662,537.979,0.019,201.354,545.159,0.015,203,548,0.032,203.268,548.536,0.051,205.091,546.954,0.033,211.058,545.788,0.019,218.272,549.091,0.017,228.948,551.325,0.015,243.228,552.787,0.02,257.808,553.908,0.022,275.496,555.031,0.013,292.241,556.149,0.013,309.086,558.545,0.018,327.287,559.393,0.017,342.19,561.514,0.016,358.523,563.27,0.016,371.59,564.759,0.017,386.29,565,0.016,396.003,566,0.017,404.968,566,0.017,418.894,567.241,0.018,428.286,567,0.017,436.873,567,0.016,451.462,567,0.016,460.102,567,0.016,469.641,567,0.017,479.728,567,0.017,486.529,565.912,0.017,489.64,566,0.016,492.993,567.331,0.049,494.358,567,0.05,494,569.357,0.03,494,574.45,0.018,494.302,590.318,0.017,495.424,603.931,0.014,496.546,621.835,0.01,497.668,644.689,0.013,498.786,663.791,0.017,499,678.806,0.017,499,689.261,0.016,499,693.599,0.017,499,696.817,0.049,499,698.357,0.05,497,698,0.018,493.637,698,0.016,489.035,698,0.017,483.174,698,0.018,471.671,699.481,0.018,456.351,698,0.014,438.926,698.726,0.017,421.296,699.847,0.017,398.595,699.028,0.017,377.329,699,0.017,357.202,696.578,0.016,333.035,697,0.018,312.463,697,0.018,294.092,698.148,0.015,274.892,699,0.016,254.49,699,0.017,237.909,699,0.017,220.008,697.938,0.025,208.841,698.18,0.021,196.914,698.702,0.015,190.341,697.585,0.024,186,696.5,0.132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,1842,MACCH
491,400,0,467.822,395.786,0.017,437.782,392.281,0.021,417.865,392,0.031,376.552,393.08,0.022,356.32,393,0.013,334.776,394.328,0.015,288.972,398.336,0.017,276.5,403,0.016,258.945,406.382,0.017,244.249,407.813,0.016,229.872,408.933,0.017,218.466,410.053,0.017,210.781,411.174,0.016,205.542,412.292,0.023,202.742,413.419,0.011,201,416,0.016,198.685,429.232,0.019,196.435,439.262,0.015,196.904,450.949,0.02,197,464.274,0.016,197,475.432,0.019,200.792,489.17,0.061,209.499,538.245,0.017,210.873,542.62,0.049,212.409,543.705,0.01,213.155,544.078,0.166,299.227,550.89,0.01,314,553,0.017,331.721,557.083,0.017,346.591,558.815,0.016,363.055,561.811,0.017,374.533,564.107,0.017,392.858,566.357,0.017,402.937,568.587,0.017,415.593,570.835,0.017,426.862,570,0.017,436.966,570,0.022,446.269,570,0.021,453.416,570,0.017,457.069,568.977,0.012,462.728,569,0.01,468.344,569,0.017,473.94,569,0.018,481,569,0.016,484.532,568.367,0.016,488.263,568,0.018,492.504,568,0.016,496.985,568,0.017,501.467,568,0.016,503.475,569.238,0.017,505.715,569,0.033,506.268,571.537,0.033,506,575.693,0.017,506,582.76,0.018,506,594.947,0.016,503.591,609.658,0.018,501.402,627.783,0.019,501,642.275,0.014,501,657,0.016,500,671.308,0.016,499.185,683.146,0.017,497.13,694.349,0.017,497,701.333,0.017,495.824,704.528,0.017,494.706,706.589,0.049,493.821,708.358,0.05,489.942,709,0.018,487.711,709,0.016,485.468,707.734,0.017,479.027,708,0.018,464.5,708,0.016,448.563,706,0.016,430.953,705.247,0.017,409.482,705.876,0.017,388.07,707.993,0.017,363.384,710.238,0.016,340.021,712.474,0.017,316.609,713.352,0.018,294.383,714.481,0.016,274.976,714,0.016,257.421,714.724,0.017,243.702,715,0.017,232.344,713.069,0.016,222.205,714.088,0.017,216.968,712.794,0.017,215.341,711.67,0.017,213.099,710.55,0.049,221.272,709.636,0.094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,1918,MACCH
