@relation EntrenamientoP3NFVG
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
505,401,0,463.615,401,0.016,435.466,403,0.015,405.355,404,0.017,358.899,405.152,0.015,334.356,405,0.017,309.538,403,0.014,288.11,402,0.016,270.847,400.872,0.016,252.679,399.668,0.027,238.916,397.417,0.015,224.914,395.152,0.014,216.716,393,0.017,210.339,394.22,0.034,207.168,402.329,0.017,203.849,411.303,0.016,201.688,424.184,0.016,201,444.5,0.017,200,466.594,0.024,199,488.201,0.012,198.728,510.266,0.018,199,532.587,0.015,199,548.078,0.019,201,561.028,0.028,203.389,564.194,0.022,208.485,563.257,0.019,216.827,562,0.014,238.906,559.758,0.021,264.74,556.551,0.017,295.3,553.294,0.017,327.098,551.056,0.021,372.813,550,0.015,400.709,550,0.023,426.034,550,0.015,447.268,550,0.019,460.484,551,0.019,478.5,551,0.016,485.5,552.5,0.031,487.132,555.265,0.035,486,559.534,0.15,485,563.178,0.084,483.985,567.031,0.032,483,571.945,0.021,483,578.035,0.021,483,586.708,0.013,481.822,595.713,0.023,482,604.397,0.012,482,620.607,0.02,481,632.421,0.023,480.868,651.793,0.017,480,668.5,0.016,480.733,684.666,0.017,480.998,690.997,0.018,481,696.581,0.033,479.946,700.107,0.036,474.96,700,0.012,468.19,697.797,0.019,445.653,698.642,0.021,415.286,698.908,0.011,377.126,701.169,0.037,314,708,0.018,269.209,713.505,0.016,234.807,717.03,0.035,211.298,717.649,0.012,207.893,718.053,0.051,206,715.89,0.019,212.381,708.158,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,3742,NFVG
515,414,0,477.339,414,0.014,458.647,414,0.017,437.123,414,0.014,399.217,414.617,0.015,368.72,415,0.015,335.082,416,0.016,299.97,418.359,0.02,269.038,418.58,0.013,244.921,418,0.014,226.164,418,0.02,218.042,418,0.078,218,422.067,0.028,218,427.863,0.018,216.331,437.676,0.017,215.1,447.502,0.017,214,469.036,0.017,214,485.541,0.015,215.5,508,0.019,215.878,529.905,0.014,214.86,547.26,0.019,215,563.435,0.024,214,568,0.018,215.12,568.94,0.034,223.076,566.185,0.018,246.606,563.933,0.02,275.475,562.72,0.02,307.138,559.915,0.015,364.414,556.083,0.016,402.045,555,0.023,436.941,552.629,0.02,463.852,551,0.015,484.007,551,0.02,493.316,550.895,0.019,498.708,551.354,0.039,495.466,555.534,0.019,492.844,559.313,0.021,491.436,564.691,0.01,490.181,573.911,0.017,489,591.601,0.017,486.665,607.681,0.016,486,630.014,0.014,486,653.945,0.019,486,686.348,0.017,486.435,702.48,0.017,487,715.926,0.027,487,721.009,0.071,481.466,717.644,0.019,477.606,716.803,0.011,458.282,713.056,0.02,430.994,710.307,0.02,392.879,708.052,0.011,345.913,707,0.026,300.001,708.4,0.014,245.357,711.786,0.022,221.756,712,0.013,210.565,711,0.033,205,710,0.021,201.647,708,0.023,197.517,710.242,0.085,201.426,704.361,0.015,204.982,698.527,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,2759,NFVG
498,428,0,461.326,428,0.018,439.549,427,0.016,419.527,427,0.017,384.012,427,0.017,361.996,428,0.018,337.799,428,0.019,313.957,428,0.009,293.386,427,0.016,273.543,426,0.018,256.62,423.453,0.017,242.237,421.412,0.017,229.835,418.967,0.016,222.165,416.721,0.017,218.464,414.732,0.067,216.748,419.504,0.017,215.504,427.985,0.017,213.262,438.688,0.017,210.04,449.86,0.017,206.779,468.766,0.017,203.534,486.122,0.012,201.292,505.248,0.015,200.049,525.561,0.025,200,537.787,0.017,200,550.628,0.014,200,556.353,0.02,202.025,558.012,0.068,209.279,556,0.015,220.088,556,0.015,246.294,556,0.02,274.944,554,0.016,309.085,553,0.014,342.793,553,0.022,376.747,553.229,0.017,406.19,553,0.016,435.583,553,0.028,457.708,554,0.012,475.885,554,0.017,486.809,555,0.016,492.398,556.699,0.016,494.02,560.06,0.033,492,564.852,0.034,490.21,573.951,0.016,490,589.232,0.017,487.721,601.395,0.022,486.5,624,0.058,483,670.351,0.02,481.629,688.855,0.017,481,710.401,0.014,481,717.956,0.038,478.965,715.965,0.032,473,716,0.016,442.994,715,0.017,407.224,714,0.016,364.499,714.29,0.009,324,715,0.016,285.853,715.773,0.017,255.756,716.019,0.016,238.161,716,0.016,227,716,0.015,223.464,714.732,0.051,220.521,713,0.018,215.555,713.722,0.017,208.138,714.966,0.017,209.453,715,0.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,2780,NFVG
510,416,0,474.222,416,0.016,448.946,416,0.018,422.172,417,0.011,371.5,421,0.019,345.779,421.719,0.019,310.923,423.946,0.013,277.493,426.219,0.028,250.386,427.419,0.021,225.603,428,0.015,206.517,428,0.013,194.514,429,0.02,190.866,431.268,0.033,192,435.288,0.009,192.502,442.005,0.015,193.778,450.892,0.02,194,467.835,0.018,195,483.556,0.017,196.473,503.838,0.018,198.709,524.801,0.016,200.946,540.678,0.013,202,558.173,0.016,203.469,567.407,0.032,205.067,570.033,0.034,210,568,0.017,216.117,567,0.017,233.346,566,0.017,257.998,564.7,0.014,293.244,564,0.022,330.784,563,0.025,370.285,562,0.02,407.071,562,0.03,447.722,562.611,0.015,466.922,564,0.017,473.489,564,0.034,475,566.213,0.084,475,575.774,0.018,475,586.808,0.017,473.587,598.065,0.02,475,609.989,0.013,474,626.341,0.017,475.15,641.204,0.016,475,659.069,0.017,477.61,670.27,0.022,479.858,683.287,0.014,481,689.645,0.022,481,693.459,0.186,474.943,693,0.015,469.096,693,0.022,449.682,695,0.01,416.626,696,0.019,373.121,697.994,0.018,295.831,703.782,0.017,244.143,710.248,0.034,184.412,716.968,0.016,158.839,719,0.015,150.5,719,0.045,157,714.5,0.119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,2665,NFVG
515,414,0,482.443,414,0.013,462.5,414,0.02,440.097,414,0.015,403.169,414,0.019,379.209,414,0.017,355,412.5,0.015,320.423,412,0.023,286.178,412,0.013,258.468,411,0.019,237.524,410.503,0.017,220.201,410,0.021,215.023,410,0.022,215,412.119,0.037,213.539,418.382,0.017,213,427.435,0.014,212,438.788,0.016,212,450.168,0.016,212,468.675,0.018,212,485.657,0.016,212,504.197,0.023,209.836,524.315,0.017,208.607,537.753,0.017,208,551.881,0.019,208,560.614,0.015,209.071,563.141,0.123,213.247,562,0.014,223.347,560.295,0.016,246.778,559.022,0.016,277.28,558,0.016,311.297,554.088,0.02,347.6,552.318,0.015,388.811,550.059,0.023,421.872,549.156,0.015,450.05,550.405,0.023,478.153,551.769,0.017,488.123,552.561,0.02,489,555.361,0.05,485.909,559.183,0.036,485,564.428,0.013,485,570.911,0.016,485,585.677,0.017,486.473,599.366,0.016,486,620.414,0.018,486,637.516,0.023,487,656.998,0.015,488,673.497,0.014,489,689.539,0.021,490.5,694.5,0.011,490,692.867,0.187,440.721,692,0.021,402.851,692,0.01,362.4,693.084,0.018,303.924,696.338,0.024,256.32,701.668,0.015,235.633,704,0.012,219.313,706.172,0.019,210.374,707.407,0.017,199.298,709.851,0.018,197.902,707.804,0.032,200.732,703.134,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,2999,NFVG
474,422,0,435.172,414.167,0.017,402.795,413,0.015,371.398,413,0.017,319.561,413,0.016,288.584,412,0.018,259.206,411.372,0.015,239.856,411,0.017,222.165,411,0.016,214.921,411,0.018,210,411,0.032,206.465,410,0.067,201.181,418.456,0.017,196.872,431.383,0.018,192.38,443.549,0.018,190.45,462.505,0.016,189,480.148,0.017,187.963,501.335,0.017,188,515.223,0.018,186.5,530,0.017,187,535.529,0.016,187,541.026,0.032,189.214,543,0.034,195.668,540.777,0.017,218.227,538.061,0.006,245.1,536.29,0.016,276.319,535.049,0.014,310.114,535,0.017,344.645,535,0.016,381.363,536,0.017,412.05,537.927,0.017,436.534,540.17,0.016,456.314,541,0.031,467.281,543.656,0.008,474.701,544.9,0.017,477.141,545,0.065,478,549.268,0.018,480,553.962,0.011,481,559.173,0.017,483,565.903,0.017,484,576.263,0.016,485,592.643,0.016,484.302,607.983,0.017,483,627.614,0.017,478.816,651.213,0.016,475.572,666.994,0.016,473,686.356,0.016,472.087,695.65,0.017,472,703.466,0.115,474,698.871,0.032,468.772,695,0.016,464.282,695,0.016,445.993,692.899,0.016,415.565,693,0.018,366.667,693,0.017,309.472,692,0.017,248.018,694.076,0.017,199.252,696.321,0.019,170.393,699.561,0.016,160,700,0.109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,2521,NFVG
503,404,0,471.234,407,0.016,457.185,407,0.017,440.316,407,0.017,414.233,407,0.018,392.721,407,0.017,369.601,407,0.015,348.182,405.818,0.017,333.259,405.608,0.015,314.819,404,0.013,301.467,403.078,0.021,284.938,402,0.017,274.347,400.587,0.016,264.012,399,0.014,254.55,398,0.02,247.724,398,0.016,241.929,399.357,0.021,235.655,401.586,0.013,227.819,403.795,0.015,220.674,407.109,0.016,216.544,410.456,0.032,211.138,414.862,0.022,208.845,418.233,0.015,205.561,425.318,0.015,202,435.5,0.019,203,446.368,0.016,203,463.071,0.016,205.413,476.065,0.021,205.597,493.18,0.015,206.834,505.336,0.014,204.889,518.668,0.02,206,526.997,0.015,206,532,0.029,208.09,534.045,0.019,213.801,535,0.021,225.459,535.78,0.013,247.463,536,0.022,274.733,536,0.015,304.518,535,0.015,335.335,534.222,0.019,367.005,534,0.015,397.885,533,0.023,419.85,534,0.012,440.093,534,0.015,456.96,533.008,0.016,469.524,533,0.016,479.815,533,0.016,484.454,534,0.017,487.529,534,0.02,491.266,535,0.05,492.097,539.195,0.037,493,548.16,0.013,493,558.505,0.018,493,566.362,0.015,494,579.858,0.017,494,595.068,0.015,495,608.818,0.014,495,625.738,0.02,496.316,636.899,0.014,496,652.039,0.021,496,659.449,0.016,497.084,666.252,0.01,497,671.669,0.018,497,676,0.036,498.015,679.03,0.103,494.457,682.271,0.016,488.154,685.282,0.017,474.5,687.5,0.02,449.596,691.447,0.013,416.738,699.075,0.015,379.175,704.717,0.016,322.456,711.154,0.011,286.827,712.834,0.016,255.762,713,0.02,233.019,713,0.013,217,713,0.016,208.582,712.194,0.016,205,712,0.095,211.025,708,0.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,3237,NFVG
512,410,0,484.728,410,0.014,463.325,410,0.023,442.804,410,0.015,412.892,410,0.014,386.704,409,0.018,359.107,407.611,0.016,329.585,406.399,0.015,300.746,406,0.021,257.679,403.821,0.017,237.31,405,0.016,219.547,405,0.015,209.241,405.06,0.02,203.705,406.147,0.045,203.18,408.361,0.051,201.759,414.962,0.018,201,427.405,0.016,200,440.684,0.014,200,457.319,0.019,200.468,475.742,0.015,200,493.499,0.02,202,507.782,0.014,203.219,525.534,0.021,203,535.291,0.02,204,543.78,0.019,204.918,549.836,0.013,206.156,554.312,0.101,210.133,552.933,0.036,219.142,554,0.011,237.874,554,0.02,261.214,554,0.016,286.664,554,0.015,320.297,552,0.018,352.812,550.137,0.018,387.045,549,0.019,416.037,549.336,0.024,439.18,549.576,0.017,460.879,551.97,0.017,467.602,553,0.025,472.531,554.266,0.093,476.179,557.18,0.033,476.247,564.742,0.032,477,575.604,0.016,477.117,592.066,0.016,478,604.92,0.02,480.336,625.028,0.021,480.594,641.937,0.024,481,659.846,0.012,483.108,677.968,0.022,483.696,688.913,0.022,484,700.024,0.014,485.5,704,0.014,483.911,702.823,0.033,479.875,700.938,0.015,472.78,697.187,0.02,444.546,695.385,0.013,403.251,695,0.017,333.632,699.488,0.018,279,707,0.016,235.836,711.431,0.018,205.297,713.975,0.015,190.078,715,0.036,190.178,711.644,0.049,193.301,707.699,0.131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,2943,NFVG
505,414,0,474.389,414,0.013,452.522,414.68,0.015,429.642,415,0.025,390.666,415,0.011,364.304,413.573,0.018,336.027,412.366,0.01,308.126,412,0.022,282.831,411,0.009,261.614,410,0.017,244.347,410,0.034,223.11,409,0.016,217.695,408,0.091,215.895,413.316,0.017,213.546,422.272,0.02,211.5,435,0.013,206.204,449.523,0.017,202.829,469.535,0.016,200.572,484.422,0.019,199,501.905,0.011,199,517.389,0.031,200,534.764,0.016,201,542.59,0.008,201,548.561,0.018,202.5,552,0.048,204.214,551.893,0.019,209.506,549.831,0.018,220.56,549.407,0.018,241.874,547.193,0.016,270.453,543.903,0.017,301.066,541.662,0.019,333.702,539.442,0.016,366.597,538.185,0.019,398.394,538.036,0.014,427.107,538,0.022,458.931,538,0.019,471.266,538.878,0.016,479.289,539,0.017,481,541.177,0.05,480,545.985,0.013,481,552.907,0.017,481.972,562.861,0.015,481.765,572.176,0.016,483.465,591.188,0.022,482,605.126,0.016,482,625.645,0.063,481,670.078,0.018,481.8,686.797,0.02,482,696.189,0.014,483,706.126,0.028,484,710,0.136,479.457,709.272,0.03,452.556,705.325,0.02,422.853,703.061,0.01,390.195,700.813,0.015,353.283,700,0.036,267.689,706.59,0.021,219.704,712.177,0.022,209.781,713,0.016,210.981,710.01,0.022,215.566,705.434,0.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,2846,NFVG
505,415,0,461.008,415,0.016,434.949,413.995,0.014,406.452,414,0.021,360,414,0.015,342.155,413.287,0.014,314.913,413,0.019,296.303,411.788,0.017,275,412,0.016,257.323,412,0.028,245.231,412,0.014,236.054,412,0.018,226.268,411.433,0.017,221.466,412,0.036,220,414.209,0.034,218,419.742,0.016,216.849,427.603,0.017,217,435.754,0.014,215,442.846,0.016,213.11,457.123,0.017,210.901,472.592,0.016,208.623,489.774,0.038,206.261,512.175,0.011,206,529.845,0.007,205,536.451,0.022,205,545.289,0.014,204.694,551.387,0.028,203.735,554.53,0.068,208.361,553.82,0.017,213.308,553,0.017,225.505,553,0.022,246.92,554,0.011,273.429,553,0.018,303.513,551.905,0.022,336.939,550,0.015,375.122,548.405,0.024,411.279,548.83,0.014,445.044,550.087,0.011,468.323,552.332,0.022,488.347,555.673,0.024,490.268,558.536,0.016,489.834,562.332,0.05,486.945,565.109,0.037,487,574,0.014,487,590.34,0.018,487,602.033,0.014,487.752,622.49,0.017,488,637.816,0.018,488,656.647,0.019,489,679.547,0.013,490,689.028,0.022,490.586,694.758,0.018,491,699.614,0.021,488.881,697.881,0.034,455.056,696,0.02,422.003,696,0.016,385.598,696,0.039,290.407,700.747,0.02,253.636,703.08,0.016,221.146,706.732,0.019,197.988,708.601,0.019,186.342,710,0.012,186,706.853,0.018,192.391,699.609,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,2835,NFVG
