@relation EntrenamientoP3SLAP
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
503,412,0,459.378,406.26,0.012,430.923,403.994,0.019,400.548,401.734,0.018,349.5,401,0.018,326.476,401,0.017,296.579,401.048,0.016,266.209,402,0.017,242.748,402.528,0.016,220.948,402.672,0.015,197.511,403,0.021,185.343,404.164,0.013,180.733,406.534,0.029,185.549,410.549,0.021,188.262,414.524,0.018,189.5,428.5,0.016,190,449.97,0.014,192,473.892,0.017,195.257,499.827,0.019,198.438,517.794,0.01,203.166,533.609,0.017,206.984,544.936,0.018,209.233,550.465,0.016,212.536,555.803,0.016,219.89,559.89,0.021,233.16,563.331,0.017,253.584,565.448,0.021,285.167,565.345,0.014,323.624,564.081,0.021,363.54,560.866,0.012,403.568,557.203,0.014,436.85,551.104,0.016,462.062,544.312,0.017,485.443,541,0.021,494.345,541.689,0.013,498,547.5,0.018,497,553.493,0.016,493.807,559.193,0.024,493,563.627,0.027,494.695,575.167,0.015,499.863,593.522,0.022,503.382,614.911,0.016,506.875,631.064,0.018,506.657,651.911,0.02,509,669.112,0.011,508.842,686.107,0.017,508.633,697.834,0.023,510,706.897,0.013,504.925,710.538,0.021,500.555,708.778,0.013,496.012,708,0.021,490.865,705.576,0.012,483.049,704,0.018,455.026,705.596,0.012,414.024,710.938,0.017,363.526,714.693,0.018,323.02,716.943,0.015,284.301,719.218,0.019,253.397,721.862,0.013,228.714,724.662,0.017,212.442,726.926,0.018,201.242,728.152,0.016,193.158,730.421,0.016,189.466,730,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,2371,SLAP
508,404,0,458.245,408.809,0.014,421.779,410,0.016,388.494,408.7,0.013,336.19,408.577,0.02,299.112,409,0.014,264.597,407.969,0.013,240.29,406.699,0.022,224.467,406.507,0.013,218.52,407,0.014,218,410.013,0.035,219,414.705,0.014,218.402,422.992,0.015,218.865,438.054,0.017,218,458.331,0.022,218,480.595,0.009,218.402,506.175,0.016,217,529.98,0.014,216,550.739,0.018,216.341,564.048,0.017,217,569.106,0.017,221.867,569.067,0.021,236.139,565.715,0.015,263.248,563.563,0.017,302.821,559.718,0.015,344.206,552.448,0.016,392.886,548.863,0.017,431.563,544.635,0.022,462.626,543.398,0.013,481.938,544.602,0.022,489.161,549.161,0.01,490,553.732,0.038,486.297,562.407,0.02,486,569.774,0.018,486.182,586.634,0.011,487,608.4,0.017,489,633.274,0.017,489.942,657.418,0.016,490,681.833,0.026,490,699.731,0.016,489,711.577,0.017,489,715,0.027,484.52,712.76,0.013,478.5,709,0.022,467.681,701.841,0.013,451.981,697.995,0.018,422.286,694.583,0.011,373.579,693.504,0.017,321.476,695.701,0.018,274.818,696,0.017,234.538,697.216,0.019,195.428,697.876,0.013,169.447,700.687,0.016,158.211,701.93,0.021,161.278,704.186,0.019,172.5,706,0.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,2031,SLAP
511,410,0,450.943,408.102,0.013,412.077,408,0.017,378.852,405.59,0.022,334.202,405.628,0.014,298.661,406.881,0.021,261.181,409.121,0.011,231.106,406.592,0.015,211.757,405,0.016,196.006,404,0.018,187.831,406.084,0.018,184.67,409.659,0.031,189.685,415.054,0.014,192,425.74,0.02,196.179,443.429,0.021,197,467.501,0.017,204,495.505,0.014,207.832,521.992,0.022,210.149,545.492,0.011,211,565.291,0.017,212,571.5,0.068,215.354,565.764,0.016,224.512,561.995,0.011,242.431,561,0.017,268.802,560.014,0.023,298.885,557.794,0.012,338.383,554.014,0.022,372.612,546.94,0.012,401.964,544.004,0.022,424.209,543.201,0.013,444.16,540.538,0.022,460.603,540.342,0.013,473.624,540,0.017,484.717,542,0.021,490.774,543.774,0.013,492.614,549.455,0.016,490.22,555.78,0.016,487.85,560.3,0.019,488,567.049,0.024,488,583.764,0.012,489,605.542,0.017,490.079,630.944,0.018,491.329,658.947,0.013,490,684.057,0.023,490,703.653,0.013,488.907,713.28,0.017,486.621,715,0.034,479.454,712,0.023,462.016,711,0.016,419,713.87,0.017,371.182,717.641,0.026,327.529,719.874,0.012,279.926,725.419,0.012,242.429,731.16,0.02,217.178,735.205,0.021,197.425,739.573,0.013,186.797,742,0.01,182.528,742,0.034,193.67,737.38,0.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,2184,SLAP
513,411,0,464.5,405,0.013,433.719,406,0.017,399.936,407.071,0.018,344.349,409.541,0.013,312.427,411,0.015,280.151,412,0.021,251.946,413,0.013,232.686,415.289,0.014,216.917,417,0.016,207.111,418,0.016,203,418,0.022,204.314,423.314,0.037,209.698,426.397,0.015,212,433.886,0.019,212,449.44,0.011,213,469.778,0.017,213,494.077,0.019,213,519.906,0.014,211.809,538.531,0.018,211,553.651,0.018,208.345,558.31,0.019,210.01,559,0.03,214.799,556.6,0.012,223.358,555,0.016,243.784,555.111,0.015,269.784,557.137,0.023,301.116,558.66,0.016,338.122,558.405,0.014,379.34,558.852,0.02,414.919,558,0.015,447.471,559.344,0.021,469.555,559,0.018,487.875,557,0.014,495.126,557,0.037,501.649,561.099,0.019,503.092,567.725,0.02,499.747,575.506,0.012,496.221,584.947,0.02,499,593.468,0.012,498.138,608.031,0.016,500,629.106,0.017,501.369,654.431,0.016,502,676.307,0.014,503,693.029,0.017,503.897,707.616,0.021,499.6,709,0.036,492.918,704.918,0.019,489.128,700.418,0.015,480.735,698.456,0.014,457.232,699.751,0.015,404.221,703.062,0.016,355.279,706.572,0.024,309.038,707,0.019,250.189,706.878,0.016,217.774,708.139,0.023,194.094,708.637,0.013,181.558,709.611,0.016,175.309,710,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,2332,SLAP
497,406,0,449.377,408,0.014,419.043,408,0.013,386.793,408,0.02,340.674,409.312,0.017,308.02,409,0.014,279.514,407.809,0.019,258.96,408.404,0.013,241.364,409,0.017,225.488,409,0.021,218.752,409,0.046,214.731,410,0.067,216,417.512,0.017,215,428.478,0.017,212.384,442.849,0.02,212,459.411,0.013,210.188,477.5,0.02,206.935,497.327,0.01,206,513.125,0.022,203.476,528.143,0.015,202.774,537.322,0.014,204,544.144,0.019,205.197,548.394,0.02,210.874,548,0.015,219.51,549.902,0.014,243.246,553.104,0.018,277.145,553,0.013,313.875,549.812,0.016,354.509,546.174,0.017,393.791,544,0.019,422.7,545.308,0.012,448.859,547.586,0.018,469.413,550.824,0.019,486.382,554.109,0.018,495.193,557.298,0.019,498.5,561,0.036,494.039,566.961,0.017,491.717,573.849,0.018,490.5,582,0.017,490.254,596.474,0.017,491.011,618.118,0.017,491,637.872,0.02,492,658.986,0.017,492,675.637,0.017,491,686.934,0.02,488.825,691.35,0.064,480.201,692,0.017,471.035,693.193,0.02,459.086,694.383,0.023,444.064,694,0.01,421.918,694.908,0.02,392.22,695,0.012,361.56,697.777,0.012,330.661,701.245,0.017,302.346,704.731,0.017,277.874,706,0.016,258.723,709.364,0.018,244.982,710,0.016,230.21,711,0.016,218.497,713.101,0.02,210.679,713,0.012,205,713,0.02,203,709.381,0.014,204.072,701.711,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,2494,SLAP
490,426,0,427.975,414.313,0.013,388.589,410.922,0.022,350.918,410,0.016,298.054,410,0.017,264.527,410,0.021,239.924,410,0.013,217.579,410,0.017,209.954,408,0.014,203.03,408,0.015,200,409,0.039,203.37,412.74,0.014,206.596,416.789,0.016,208.844,432.443,0.016,211.126,452.256,0.017,213.355,476.553,0.021,215,505.554,0.018,216.817,529.165,0.016,218,547.646,0.016,220.336,560.682,0.019,220,564.533,0.052,224.192,562.904,0.016,235.643,559.56,0.021,252.055,557.368,0.011,277.668,555.205,0.018,309.729,548.424,0.017,346.125,542.64,0.021,385.151,536.806,0.015,415.533,534.122,0.02,440.784,533,0.015,460.817,531.648,0.017,475.577,532.596,0.02,485.257,533.814,0.016,490.152,535,0.022,492,539.593,0.011,491.425,544.15,0.013,490,549.383,0.019,490,557.057,0.011,489,564.93,0.016,490,578.642,0.013,491,595.495,0.016,491,616.438,0.018,493.266,637.655,0.018,494.5,657.5,0.02,494,672.077,0.01,495.972,684.916,0.015,495,692.719,0.017,492.644,696.178,0.035,488.944,696,0.025,483.097,695,0.019,473.935,694.323,0.015,453.802,697.84,0.026,421.108,704.437,0.015,380.109,709.378,0.017,344.827,710.636,0.015,310.931,713.871,0.016,279.725,716.152,0.026,253.341,719.366,0.012,234.436,721.618,0.016,221.563,723.859,0.016,216.745,725.128,0.034,214,722.734,0.031,219.342,720.886,0.104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,2381,SLAP
492,399,0,449.273,405.287,0.016,410.823,408.399,0.015,372.504,407.395,0.014,312.971,405.127,0.021,271.473,404,0.017,239.996,401.666,0.015,218.366,401,0.019,207.708,401,0.016,201,401,0.036,202,406.5,0.031,203,411.894,0.016,200.614,426.543,0.023,200,447.359,0.014,200,472.41,0.02,200,501.38,0.013,199.161,533.248,0.024,197,550.199,0.011,200,561.5,0.038,205.795,561.265,0.019,210.699,560,0.02,223.756,560,0.01,255.485,559,0.019,291.819,558,0.018,335.394,554.664,0.018,375.317,549.253,0.017,409.303,546.415,0.015,440.319,544.951,0.029,465.761,543.448,0.011,485.703,543,0.015,492.493,543.746,0.014,494.022,546.044,0.035,496,553.089,0.02,496,558.853,0.01,494.123,565.507,0.022,494.907,577.648,0.02,496,603.953,0.024,496,628.934,0.025,496.94,667.659,0.012,497.332,688.653,0.018,494.5,704.5,0.016,494.192,709.615,0.024,494,712.031,0.021,488.132,708.132,0.018,471.813,707,0.021,437.565,708.878,0.011,390.612,711.141,0.017,342.908,712.385,0.015,289.979,711,0.021,246.398,711.133,0.012,210.123,712,0.018,181.978,710.634,0.022,169.125,710.425,0.011,164,710,0.028,175.947,713.237,0.104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,2064,SLAP
503,399,0,451.802,405.086,0.014,426.165,407.349,0.015,395.284,408,0.02,344.968,408.209,0.014,303.835,408,0.024,268.167,408,0.013,240.45,408,0.023,219.631,408,0.012,201.515,409,0.016,187.233,411.294,0.021,182.526,412.491,0.011,181,415.535,0.034,185.217,418.109,0.019,187.475,423.901,0.014,188,436.33,0.012,188,450.664,0.016,189,473.037,0.019,191.467,498.206,0.012,192.696,519.661,0.021,193.913,534.564,0.014,194,546.772,0.018,196,557.743,0.021,196,562,0.033,201.199,561.95,0.022,212.597,562.371,0.014,237.456,564,0.021,277.247,562.275,0.012,327.073,558.866,0.017,379.36,550.997,0.013,426.666,548,0.015,464.376,547.825,0.014,492.025,550.102,0.017,506.064,552.344,0.016,506,556.812,0.035,503.5,562,0.016,498.373,565.418,0.02,497.354,573.583,0.02,498,585.389,0.017,498,597.716,0.016,499.4,619.003,0.018,497,639.843,0.025,495.125,661.003,0.011,493.862,680.244,0.016,492.619,691.904,0.017,490.391,698.218,0.018,488.732,701.537,0.033,483.311,701.77,0.021,475.307,701,0.012,464.325,701,0.017,448.683,703.146,0.013,419.658,706.423,0.015,384.469,707.658,0.02,353.582,710.887,0.016,325.089,714.159,0.017,300.342,717.406,0.019,279.285,719.619,0.012,266.665,720.867,0.013,255.531,722.117,0.011,250.26,723.37,0.03,246.94,723,0.031,243.646,719.823,0.031,235.516,715.677,0.02,226.354,715.589,0.018,218.72,715.36,0.013,212.222,716,0.021,199.21,716,0.011,194,716,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,2707,SLAP
494,408,0,440.594,407,0.014,401.891,407,0.014,363.601,408.318,0.024,301.715,410.518,0.012,266.893,411.793,0.02,247.058,411,0.015,235.978,410,0.022,228.02,410,0.012,221.224,411,0.018,218,412.5,0.014,215.642,416.716,0.03,213.279,423.441,0.017,213,432.826,0.018,212,444.081,0.018,212,463.144,0.019,212,482.602,0.016,212,503.582,0.021,213.141,522.269,0.02,212,536.018,0.012,212,546.622,0.017,212,554.672,0.02,214.139,559.278,0.032,223.593,560,0.017,244.598,561,0.017,279.215,560.862,0.023,315.743,559.338,0.012,358.272,558,0.016,400.76,558.18,0.013,435.107,557.931,0.017,458.412,559,0.017,475.499,561,0.016,487.157,562.789,0.014,493.099,565.049,0.021,495,569.896,0.015,496,575.619,0.018,496,584.528,0.016,494.864,593.407,0.017,496,609.186,0.016,496.382,628.563,0.014,496.869,652.82,0.02,496.184,672.922,0.011,498,691.531,0.014,496.5,704.5,0.023,496.182,713.635,0.01,493,714,0.015,488.311,711.655,0.019,481.677,709.419,0.019,463.159,707,0.017,426.596,702.955,0.01,375.257,699.387,0.022,328.575,697.482,0.011,280.944,698.785,0.018,240.903,702.013,0.021,209.116,705.481,0.015,187.979,708,0.012,179.513,707.256,0.017,185.26,705,0.114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,2105,SLAP
502,404,0,466.159,404,0.015,445.371,404,0.019,421.053,405,0.019,381.298,407,0.015,354.795,408,0.02,327.356,410.422,0.02,301.376,411.625,0.016,276.016,412.887,0.018,253.682,415.132,0.024,239.44,415.366,0.013,226.315,417.614,0.02,217.493,418,0.014,212.787,419,0.019,213.012,421.006,0.032,217.266,429.065,0.02,218,438.888,0.015,217,451.115,0.021,215.592,480.673,0.013,214.351,500.542,0.02,213,518.138,0.017,211.855,531.724,0.018,211.353,542.059,0.013,212,547.222,0.021,214.534,549.267,0.013,218.367,549,0.022,225.273,548.568,0.018,236.878,550.439,0.013,249.541,554.09,0.017,270.317,558.663,0.021,296.179,560.552,0.014,328.988,562,0.02,363.591,562,0.021,398.531,559.733,0.014,428,555,0.016,453.632,553.43,0.017,472.074,547.957,0.021,487.203,550.241,0.018,494.966,552.966,0.01,498.538,557.807,0.035,496.837,565.489,0.022,495.427,571.72,0.013,496,579.328,0.021,498.054,591.269,0.016,498,606.68,0.01,500,626.537,0.016,498.198,646.218,0.017,499.936,665.511,0.023,498.554,679.94,0.012,500,690.645,0.02,497,695,0.042,493.702,693.851,0.032,487.016,693,0.024,483.572,691.786,0.012,477.548,691,0.017,465.095,691.701,0.016,450.35,692.956,0.02,426.941,694.206,0.016,397.019,694,0.017,370.582,695,0.021,343.92,695,0.011,316.344,696.19,0.017,297.538,696,0.017,273.857,697,0.016,254.031,697.897,0.017,239.975,699.171,0.024,226.181,700.364,0.013,216.482,701,0.016,208.743,702,0.03,194.536,703,0.069,199.448,698.368,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,2891,SLAP
