@relation EntrenamientoP4IVCCH
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
178,400,0,215.974,403,0.016,240.545,403,0.016,277.975,402.703,0.018,313.939,402,0.016,352.299,404.025,0.017,388.682,405,0.016,416.818,403.242,0.017,437.845,400.879,0.017,456.952,399.512,0.017,472.554,398.149,0.017,479.336,398,0.033,486.095,399.048,0.067,489,404.328,0.017,491,412,0.016,494.89,432.23,0.017,496,451.774,0.017,495.381,476.094,0.015,493.018,501.874,0.033,491,536.952,0.016,490,561.716,0.017,489,588.67,0.027,490,615.551,0.01,492.295,629.885,0.018,493,647.288,0.016,493,660.046,0.016,495,672.169,0.018,496,683.743,0.015,497,690.479,0.033,498,697.046,0.067,483.659,700.068,0.017,458.433,702,0.015,430.429,701,0.017,405.928,700,0.017,384,699.5,0.016,356.025,697.886,0.016,328.724,698,0.013,305.913,696.383,0.015,286.108,695.018,0.017,272.602,694,0.017,257.44,693,0.017,246.843,692,0.017,237.232,692,0.017,217.773,692.807,0.016,207.558,694.147,0.049,201.741,694,0.05,197.819,687.637,0.019,190.276,670.104,0.016,189,658.63,0.017,188,636.881,0.017,188,623.881,0.016,190,600.692,0.016,191,586.692,0.013,191,569.428,0.017,192,554.6,0.018,192,538.761,0.016,193,520.937,0.016,190.622,507.865,0.017,192.5,502,0.049,196.357,501,0.017,214.296,499,0.017,242.511,498.689,0.016,270.482,501,0.016,293.317,504.415,0.017,312.692,505.782,0.016,336.886,506,0.017,366,506,0.017,390.021,504.122,0.017,400.482,504,0.033,403,509.473,0.018,401.813,529.495,0.016,401,549.404,0.016,400,569.592,0.017,399,585.133,0.017,398,591,0.049,394.732,595.134,0.018,370.52,596,0.018,343.306,597,0.016,322.358,597,0.017,303.779,598.444,0.016,291,599,0.117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,5300,IVCCH
192,400,0,242.268,393.573,0.017,263.75,391.208,0.016,299.931,388.724,0.052,341.027,388,0.017,362.636,388,0.018,384.185,388,0.016,402.535,388,0.017,424.308,388,0.017,441.184,388,0.017,451.398,388,0.017,459.376,388,0.016,468.103,387,0.032,477.5,387,0.017,485.808,387,0.01,492.358,388,0.067,494,395.459,0.018,495,405.271,0.016,496,416.826,0.017,496,439.935,0.017,495,463.656,0.017,495,480.5,0.017,493,509.166,0.025,492,533.419,0.017,492.767,557.138,0.017,491.869,579.045,0.016,491,600.497,0.016,490,623.192,0.017,490,641.361,0.017,490,655.78,0.017,490.96,666.838,0.018,492,681.283,0.018,492,690.382,0.016,493.051,698.102,0.017,491.99,703.005,0.1,484.638,704,0.017,466.096,702.516,0.016,438.489,702,0.014,409.068,702,0.017,386.5,700.5,0.017,365.254,700,0.017,340.798,699,0.017,316.598,699,0.016,295.712,698,0.016,274.978,696.596,0.017,256.146,698,0.016,242.459,698,0.017,226.995,699,0.011,215.404,700,0.017,206.547,700,0.017,199.194,700,0.033,194.777,697.554,0.033,192,691.942,0.033,190,682.5,0.017,188,667.459,0.017,187,654.177,0.017,187,639.174,0.016,189.004,622.982,0.016,191.368,605.162,0.018,193.465,587.338,0.016,194,571.519,0.017,195.457,557.174,0.017,195,537.041,0.017,195,520.059,0.016,195,510,0.022,197.144,505.928,0.05,212.113,501.722,0.017,230.5,500,0.016,254.208,498,0.017,276.389,499.231,0.017,292.998,499,0.016,310.818,500,0.016,335.312,501,0.018,356.831,502.69,0.015,374.288,504,0.016,390.683,504,0.016,398.805,504,0.017,400,508.357,0.018,401,519.911,0.016,402.347,536.387,0.018,405,558.247,0.016,406,573.36,0.017,406,584.308,0.016,405,591,0.032,405,597.268,0.079,398.642,597,0.017,377.145,597,0.018,357.098,597.843,0.016,334.943,598,0.017,307.578,599,0.016,289.244,599,0.017,286.107,596.786,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,5905,IVCCH
185,398,0,219.137,398,0.018,239.057,398,0.029,260.816,400.163,0.019,286.688,401.33,0.015,307.197,402.033,0.017,341.781,404.63,0.044,373.211,409.242,0.034,405.285,409,0.027,429.858,407,0.026,453.33,403.934,0.029,467.343,402.329,0.025,480.517,400.242,0.015,487.536,400,0.031,491.537,406.537,0.019,497.943,416.887,0.029,504.199,452.394,0.027,506,491.449,0.015,506,509.849,0.021,507,556.186,0.052,502.136,603.456,0.066,497.843,641.373,0.017,497,656.634,0.016,499,669.293,0.015,499.935,678.87,0.017,500,687.909,0.018,501,696.331,0.016,501,702,0.017,500.866,708.268,0.067,488.435,712,0.021,469.7,712,0.009,450.918,713,0.023,430.211,713.947,0.083,389.011,715,0.017,368.202,716,0.017,343.304,716,0.025,318.007,714,0.017,298.964,714,0.011,277,715.5,0.017,262.09,716,0.014,246.605,717,0.017,225.325,718.709,0.016,211.778,720,0.025,205.126,719,0.023,199.953,716.976,0.033,191.696,701.739,0.016,190,667.905,0.013,191,647.242,0.021,192.994,624.04,0.021,198.356,596.507,0.018,198,577.67,0.017,198,558.579,0.017,199,539.759,0.016,198,520.132,0.032,197,503.706,0.045,206.572,501,0.016,227.147,499.122,0.017,252.399,500,0.019,277.431,501,0.016,296.818,501,0.03,314.713,501,0.015,339.519,501,0.011,363.421,502,0.017,382.982,501,0.017,394.597,501,0.016,399.281,498.86,0.032,405.006,496.997,0.083,407.098,504.147,0.117,408,566.983,0.017,406,596.531,0.011,407,601.137,0.116,397.476,602,0.019,377.569,599.796,0.017,359.587,599,0.014,338.26,598,0.07,292.45,600,0.017,294.478,594.478,0.124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,5858,IVCCH
195,407,0,244.377,403,0.017,264.809,403,0.015,286.549,404,0.017,307.776,401.704,0.019,333.602,399.343,0.015,360.133,399.017,0.017,381.683,401.383,0.016,400.752,403,0.017,420.703,404,0.017,438.415,405,0.017,453.387,405,0.017,460.316,404,0.033,476.186,403.698,0.016,487.127,405.064,0.016,494.357,405,0.066,497.768,417.838,0.017,500.134,441.935,0.017,501,471.932,0.016,502.862,497.754,0.016,505.226,523.036,0.017,506,545.741,0.016,506,566.777,0.017,507,586.896,0.023,507,603.105,0.01,508.049,621.247,0.017,508,638.088,0.016,509,652.124,0.016,508.852,662.444,0.017,509,673.5,0.033,510,684.995,0.018,510,691.729,0.066,510,697.225,0.084,504.643,702.179,0.034,489.394,702,0.018,477.927,703,0.017,464.476,701.869,0.016,452.007,702,0.027,429.832,702.861,0.021,400.711,703,0.018,366.823,704.597,0.016,345.193,705,0.017,334.023,704,0.019,316.542,703,0.016,299.692,701.949,0.017,277.057,699.58,0.017,253.712,701,0.011,235.262,702,0.017,226.092,702,0.015,219.993,703.002,0.032,202.842,704.462,0.016,195.461,707.27,0.116,192.905,700.714,0.033,189.319,685.958,0.016,189,674.773,0.016,189,653.109,0.018,189,635.115,0.017,190.142,616.008,0.017,192.5,595.5,0.017,195.87,574.044,0.018,198,549.152,0.017,199,529.002,0.016,200,515.109,0.017,200,508.335,0.033,205.203,503.898,0.018,217.668,502,0.015,244.281,500,0.017,269.567,501.396,0.018,288.342,502.763,0.017,308.636,504.127,0.016,325.947,504,0.017,346.002,504,0.016,368.121,504,0.017,383.936,504,0.015,395.911,503,0.017,402.049,505.097,0.034,403.021,518.104,0.017,402,536.556,0.019,400.252,559.739,0.017,399,572.476,0.016,396.52,584.92,0.017,396,593.691,0.017,395,599.316,0.066,387.634,601.673,0.017,364.777,603.037,0.017,335.192,602.599,0.018,316.946,602.236,0.017,305.619,602.127,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,5748,IVCCH
185,401,0,239.493,394.813,0.012,263.174,391.404,0.019,292.367,390,0.009,314.932,389,0.019,340.958,390,0.011,368.348,389.95,0.02,388.485,391,0.016,406.533,391.755,0.017,426.521,394.104,0.01,446,396,0.018,458.488,397,0.007,474.195,397,0.018,486.677,397,0.011,494.049,401.033,0.028,499.53,409.794,0.02,503.037,418.112,0.019,502.585,435.491,0.02,502,454.925,0.012,499,490.198,0.017,497,514.304,0.014,495.976,540.831,0.016,496,566.413,0.017,496,587.755,0.014,498.048,606.338,0.01,500.436,628.616,0.016,501,647.751,0.017,502,663.821,0.018,501.498,677.507,0.02,502.5,687,0.016,502.718,694.435,0.022,501.931,699.138,0.052,495.152,704.924,0.016,477.784,710.443,0.032,457.031,713.794,0.011,429.506,714,0.016,400.5,714,0.021,376.953,714,0.013,356.239,711.78,0.025,321.64,710.264,0.018,298.556,709.937,0.015,271.132,709.522,0.022,246.905,708.181,0.012,223.634,707,0.016,204.289,705,0.014,189.266,702.089,0.017,183.402,699.701,0.031,180,691.284,0.014,176.502,679.507,0.016,173.387,659.324,0.015,172,634.358,0.021,175.884,603.907,0.014,180.836,583.984,0.018,185.21,563.949,0.022,187,546.116,0.015,189.997,525.017,0.024,196.07,505.394,0.014,201.799,498.201,0.017,213.048,494.301,0.013,230.082,488.548,0.019,252.693,486,0.02,274.828,486.914,0.014,294.555,489,0.015,323.257,492,0.015,346.418,493.677,0.018,368.227,497.045,0.016,387.427,499,0.017,399.333,500,0.029,405.121,500,0.008,409.049,502.099,0.052,410,517.613,0.014,409,537.696,0.021,407.679,563.077,0.016,410.037,585.223,0.014,407.788,594.106,0.032,397.11,595.473,0.014,371.317,597.854,0.011,338.348,599,0.02,310.093,597.419,0.014,293.275,597,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,4845,IVCCH
187,403,0,223.948,401.006,0.022,240.652,399.764,0.021,257.864,399,0.034,290.605,398,0.026,307.518,399,0.008,323.68,400.335,0.024,336.865,401,0.02,364.261,398.948,0.034,384.954,398,0.024,422.164,397,0.02,436.95,397,0.019,445.911,397,0.046,461.707,395,0.024,472,392.5,0.052,477.163,393,0.034,483.572,393,0.023,486.941,393.471,0.025,490.179,395.089,0.057,492.195,399.39,0.391,491.332,581.341,0.069,491.992,654.958,0.058,496,677.851,0.053,496,688.535,0.042,494.893,692.214,0.049,473.384,703.654,0.036,456.9,706.025,0.037,442,706,0.053,408.072,706,0.015,395.907,706,0.016,379.248,705,0.015,364.756,706,0.021,345.323,706,0.033,312.5,707,0.033,290.391,707.065,0.016,279.097,707,0.023,267.213,707.579,0.027,244.094,707,0.015,232.865,705.973,0.056,214.196,704,0.033,207.644,698.763,0.018,196.199,693.279,0.032,188.048,682.143,0.027,186.675,667.025,0.019,185,655.233,0.024,184,640.518,0.025,185,608.632,0.03,185,593.998,0.013,186,571.845,0.019,186,556.052,0.03,188,540.542,0.024,192.996,519.01,0.031,196.487,507.269,0.141,225.733,495.089,0.012,241.89,493.302,0.019,257.354,492,0.02,280.458,493.292,0.067,334.668,496,0.049,368.407,498.881,0.026,387.229,500,0.022,354.631,603,0.036,312.912,604.015,0.022,290.375,607.375,0.022,279.5,609.5,0.034,280.089,607.823,0.019,281.191,600.618,0.194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,5539,IVCCH
195,401,0,241.277,401,0.017,260.883,399.353,0.016,287.084,398,0.017,310.256,396.624,0.017,333.708,397.742,0.016,353.652,400.109,0.017,370.907,402.477,0.017,396.045,404,0.017,418.42,405,0.018,435.5,407.5,0.016,453.684,407,0.017,463.895,407,0.017,478.657,406.336,0.016,487.058,407,0.02,493.358,407.179,0.05,494.609,417.043,0.01,494.024,437.831,0.017,491.658,462.077,0.019,490,486.371,0.016,487.928,507.288,0.017,486.561,531.072,0.016,487,551.419,0.017,488,575.191,0.016,489,602,0.016,491,624.5,0.017,493.265,638.324,0.017,493,652.505,0.016,495.984,666.961,0.016,497,684.791,0.018,500,696.171,0.016,502.09,703.181,0.033,498.795,708.102,0.033,486.244,708.919,0.016,465.04,709,0.018,443.827,709,0.015,417.905,709,0.017,387.981,709.377,0.018,360.787,707.255,0.017,336.375,706,0.017,309.218,703.527,0.017,289.129,703,0.016,266.4,703,0.017,245.146,702.571,0.016,223.379,704,0.016,213.409,705,0.018,206.196,703.732,0.033,200.482,705,0.049,197,698.628,0.034,194.266,688.064,0.016,194,668.395,0.02,193,655.114,0.017,194,637.004,0.017,195.191,618.852,0.017,196,597,0.017,196,570.571,0.017,194.707,545.946,0.017,193,533.023,0.016,194,519.909,0.017,195.268,511.197,0.034,198.121,506.94,0.033,213.918,503.271,0.017,233.737,503,0.017,257.216,506.459,0.017,281.131,509.826,0.017,306.342,513.192,0.017,329.876,514,0.017,355.268,514,0.016,381.282,514,0.019,401.592,513,0.016,414.032,512,0.017,420.496,510.752,0.084,419,518.796,0.016,415.073,530.818,0.017,406.356,548.255,0.018,401.306,565.388,0.016,400,577.173,0.017,397.574,590.703,0.03,396.911,602.732,0.017,397,609.399,0.049,392.504,610,0.018,370.836,609,0.016,343.946,609,0.016,317.875,609,0.015,305.085,609,0.015,306.428,601.572,0.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,5163,IVCCH
185,398,0,225.038,391.495,0.043,257.907,390,0.031,284.808,390,0.014,301.592,390.718,0.015,327.21,392,0.022,339.715,394.452,0.032,372.553,399.936,0.399,489.536,397.732,0.111,495.06,396,0.185,498.036,399.071,0.05,498.07,404.209,0.058,499,421.386,0.012,498,433.593,0.024,498,441.481,0.015,497,468.481,0.092,496,508.917,0.074,491,574.756,0.047,491.411,600.053,0.065,495,641.446,0.092,496,663.379,0.074,498,679.878,0.04,501.268,691.803,0.211,492.793,698,0.025,486.927,701.715,0.08,458.365,711,0.056,438.328,711,0.021,410.835,709,0.118,338.189,705,0.051,305.292,702.658,0.016,295.006,702,0.016,282.745,700.149,0.056,247.29,698,0.08,204.5,698,0.031,200.468,698,0.02,193.8,696.6,0.03,189.616,695.233,0.016,187.914,691.828,0.035,187,684.5,0.015,186,668.985,0.069,185,638.814,0.041,187.18,598.921,0.065,190.804,558.98,0.035,192.408,528.552,0.019,197.009,504.973,0.078,201.178,494.644,0.027,205.36,494,0.021,212.855,492.286,0.015,229.427,488.929,0.025,246.604,488.679,0.026,310.025,493.506,0.016,321.918,494,0.03,337.46,497.153,0.013,354.539,497.508,0.032,367.605,498,0.022,376.717,498,0.032,386,496.5,0.037,393.218,498,0.034,398.393,497,0.014,401.537,497,0.083,402,501.017,0.428,401,593.391,0.025,401,598.533,0.06,401,602.358,0.036,398.953,605.023,0.051,390.253,604,0.026,369.414,604,0.043,342.968,603.594,0.011,320.881,602,0.033,303.955,601,0.018,295,601,0.146,300.088,591.647,0.159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,7443,IVCCH
187,404,0,224.308,404,0.016,242.102,404,0.018,269.479,403,0.017,289.033,403,0.017,308.5,404,0.017,329.277,404.879,0.017,346.459,405,0.017,370.659,405,0.016,394.855,405,0.031,428.775,407,0.013,453.971,408,0.016,474.143,408,0.016,486.117,407,0.016,491.045,406,0.066,494,412.505,0.017,498.113,428.792,0.016,499,455.338,0.017,500.845,493.294,0.016,502,523.089,0.018,502,544,0.016,501,566.676,0.017,499.7,591.398,0.017,502,615.363,0.017,503,635.165,0.016,504,654,0.017,505.762,665.811,0.016,507.13,679.518,0.016,509.494,689.988,0.017,510.5,699,0.033,508.893,704.214,0.034,502.118,706.441,0.017,487.767,708.808,0.022,469.795,710,0.017,449.712,712,0.017,424.575,712,0.017,395.871,711,0.019,367.555,708.365,0.015,341.014,707,0.017,319.085,705.636,0.018,299.621,706,0.017,278.42,707,0.016,253.866,708,0.016,239.699,710,0.017,223.047,711,0.017,208.5,712,0.017,201,713,0.017,195.474,710.737,0.033,193,703.722,0.017,190.5,694.5,0.017,192,682.642,0.017,194.231,661.845,0.012,195.5,644,0.016,194.034,627.172,0.017,194,612.712,0.018,192.5,591.5,0.016,190,566.654,0.017,190,543.067,0.016,190,531.42,0.017,191.156,522.533,0.016,194,513,0.033,199.247,510.876,0.035,214.437,509,0.016,238.009,509,0.016,261.715,509,0.017,280.814,509,0.017,302.273,510,0.019,322.495,510,0.017,347.412,510,0.017,371.083,509,0.021,391.906,508,0.017,400.286,507,0.032,406.358,508,0.05,407,518.543,0.017,407,531.86,0.018,407,544.482,0.016,405.057,560.772,0.017,405.311,569.932,0.018,405,582.032,0.016,405,593.105,0.016,407.5,601,0.033,402.642,602.821,0.018,392.219,600.644,0.018,370.399,599,0.017,351.397,596.914,0.018,335.199,597,0.017,320.927,597,0.017,308.271,599.182,0.033,297.197,601.268,0.017,290.478,603.261,0.117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,5576,IVCCH
190,401,0,241.443,396,0.015,270.64,395,0.017,305.288,394,0.012,336.063,391.694,0.018,365.602,394.658,0.02,391.254,397,0.017,413.213,398,0.013,429.948,398,0.016,449.493,398,0.015,464.939,397,0.018,474.624,397,0.016,479.327,396,0.038,486.535,392.733,0.021,491.132,394.265,0.022,493.399,404.197,0.017,493.779,414.337,0.016,491.87,438.043,0.025,490,461.368,0.021,491,483.727,0.023,492.341,514.388,0.019,492.686,539.116,0.022,491.939,566.369,0.017,492.546,592.272,0.025,494,610.713,0.013,492.83,627.51,0.016,492.5,647.5,0.017,494.878,661.513,0.019,498.244,673.731,0.017,498.615,681.844,0.015,500.5,688,0.028,499.894,693.213,0.05,489.388,696.653,0.013,468.782,699,0.016,444.697,701,0.016,421.676,702,0.014,397.135,702.124,0.017,372.005,701,0.018,343.731,701,0.015,315.125,700,0.014,294.5,700,0.017,273.295,699,0.017,253.262,699,0.014,233.609,699,0.016,214.86,697.965,0.018,198.379,698,0.018,190.479,697,0.018,188,694.637,0.051,185.687,682.434,0.022,185,657.874,0.013,186,636.637,0.017,187,622.754,0.017,188.073,605.367,0.017,189,592.243,0.019,189,572.371,0.018,189,556.266,0.018,189.473,536.636,0.012,190.857,521.717,0.027,190.5,512,0.016,194.033,507.984,0.05,207.896,503.351,0.017,239.916,500,0.018,267,500,0.017,288.259,502.894,0.02,309.174,505,0.013,333,506,0.02,353.799,507,0.011,371.419,506,0.02,390.202,505.3,0.027,398.057,504,0.011,399.959,506.082,0.032,400,527.109,0.014,400.262,549.638,0.026,401.083,568.333,0.012,403,582.903,0.018,402,592.643,0.017,402,598.245,0.023,399.785,600.892,0.049,387.244,600,0.012,363.774,598,0.013,336.227,596.038,0.027,309.638,596,0.013,297.165,596,0.017,297.259,593.494,0.159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,5380,IVCCH
