@relation EntrenamientoP4JAGR
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
180,403,0,221.816,403.986,0.014,251.67,406.282,0.014,281.425,407,0.021,332.396,410,0.016,370.414,410.963,0.018,406.409,411,0.011,438.743,413.482,0.02,464.529,416,0.015,484.672,418,0.013,497.023,419,0.018,497.867,422.399,0.035,498,442.189,0.015,497,468.553,0.016,497,492.5,0.015,500.9,552.809,0.016,503.139,596.782,0.021,504,631.474,0.016,501.756,661.598,0.019,497.131,680.215,0.017,492.805,685.097,0.016,486.877,688.374,0.019,478.691,691.577,0.014,464.251,693.643,0.023,444.217,700.214,0.013,421.467,709.266,0.019,391.762,712.567,0.017,363.622,714.781,0.021,329.713,715.97,0.012,294.401,712.723,0.019,260.191,704.438,0.015,239.672,700.478,0.019,223.985,698,0.015,214.978,698,0.026,209.113,698,0.012,201.073,696.268,0.015,196.04,696,0.017,193.782,694.891,0.05,189.14,684.419,0.019,185.812,655.364,0.022,182,619.805,0.013,181.668,586.306,0.019,182.934,553.922,0.016,184,529.588,0.02,187.388,509.67,0.014,189,498.463,0.02,189,494,0.146,203.543,496.078,0.016,226.543,494,0.018,260.9,496.582,0.017,294.924,497,0.021,331.618,498.036,0.012,366.132,500.321,0.017,389.572,502.557,0.017,407.305,505.576,0.016,416.076,507.038,0.119,411.766,513.234,0.015,409.242,526.895,0.012,406.789,542.662,0.009,405.143,577.572,0.017,411.226,602.679,0.019,413.333,622.331,0.013,408.195,624.268,0.032,401.918,620.959,0.015,395.046,617.682,0.023,382.204,616,0.014,363.597,616.8,0.022,339.652,619,0.013,310.722,620,0.019,287.699,621.47,0.02,274.802,621,0.013,271.459,622.271,0.151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,2944,JAGR
185,403,0,225.607,397.426,0.017,258.756,397,0.015,291.46,399,0.014,346.274,402.309,0.018,383.761,404.542,0.016,415.754,405,0.015,444.927,405.994,0.016,467.574,406,0.022,487.947,407,0.016,494.3,407.767,0.019,493.925,410.15,0.031,493.198,423.814,0.016,492.901,441.691,0.018,493,469.041,0.016,494,495.5,0.02,495,525.572,0.014,493.957,558.726,0.023,494,592.714,0.014,490,625,0.016,485.228,679.443,0.017,485.996,718.949,0.011,488.296,739.776,0.016,486.735,742.53,0.052,481.907,734.815,0.018,476.337,733,0.033,468.246,731,0.018,458.229,731.954,0.014,443.272,732,0.02,420.955,729.551,0.014,391.892,727.324,0.019,353.836,722.29,0.011,309.441,715.466,0.021,271.305,707.212,0.013,235.566,700.392,0.015,206.493,698.124,0.024,188.636,700.121,0.012,183.229,702.386,0.013,182,700.941,0.052,187.072,685.474,0.026,192.052,654.53,0.015,191,623.015,0.021,184.917,586.336,0.027,181,542.078,0.013,183.178,519.039,0.018,184.416,503.503,0.017,186.5,498.5,0.033,190.001,494,0.016,194.484,489.677,0.018,207.908,492.614,0.015,227.371,498.457,0.023,256.245,503.166,0.012,288.803,505.343,0.024,331.675,508,0.017,357.867,506.012,0.02,380.012,506,0.021,396.122,508.424,0.014,404.368,511,0.021,408,511,0.066,403.388,519.671,0.019,402.219,541.688,0.015,404.286,569.718,0.023,405.366,594.565,0.024,404.807,606.385,0.011,401.456,610.544,0.022,397.664,611,0.026,390.712,611,0.012,373.501,610.15,0.017,349.934,611.089,0.017,324.691,612.331,0.02,299.538,614,0.014,280.974,614,0.016,274.874,614,0.033,269.229,612.615,0.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,3044,JAGR
193,407,0,231.887,408,0.011,262,409,0.01,290.531,407.534,0.02,333.786,402.18,0.017,368.899,399.513,0.018,401.248,398.547,0.014,426.517,400.683,0.016,454.161,403,0.017,477.418,406.44,0.021,491.173,407,0.014,500.001,408.667,0.014,501,411.128,0.018,497.38,428.443,0.016,495.15,453.052,0.013,496,485.084,0.017,497,523.66,0.021,502.6,558.794,0.013,504,587.622,0.016,501.895,613.37,0.016,496.648,633.812,0.018,494,654.063,0.015,491.163,671.694,0.021,487.897,684.258,0.015,485.665,689.67,0.021,483.437,698.689,0.02,482,703.553,0.011,480.918,706.164,0.038,466.966,704,0.01,455.679,701.471,0.018,428.5,697,0.019,395.937,694.263,0.02,362.6,691.04,0.014,329.346,688.81,0.013,296.8,691.477,0.017,262.77,689.636,0.017,235.524,689,0.017,217.796,689,0.021,208.34,688,0.012,203,688,0.036,202,685.847,0.018,200,668.68,0.015,197.225,647.236,0.023,195.78,622.899,0.015,195.392,592.903,0.024,192.408,566.077,0.012,189.14,541.396,0.02,189,524.464,0.013,190.355,513.578,0.019,191.5,507.5,0.018,193.821,502.359,0.017,194,499,0.03,200.5,500.5,0.015,215.374,500.672,0.021,235.064,503.813,0.011,257.939,507.352,0.018,284.694,508.391,0.015,309.4,512,0.014,331.924,511,0.023,353.074,508.893,0.011,370.751,507.607,0.023,384.582,506,0.012,395.483,505,0.018,403.238,504.921,0.028,405.166,509.668,0.021,403,518.376,0.012,403,535.185,0.017,403.112,560.562,0.018,404.792,583.924,0.016,410.047,601.284,0.022,411,613.851,0.011,411,620.5,0.019,404.725,620.758,0.016,394.76,621,0.022,375.407,619.741,0.014,357,617.5,0.016,335.912,619,0.022,317.239,620.973,0.013,304.838,624.232,0.022,296.104,626,0.017,286.096,623.096,0.019,281.667,619.834,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,3244,JAGR
190,412,0,230.139,404.144,0.013,254.137,404.194,0.017,281.02,404,0.013,329.5,408,0.02,360.932,409,0.015,396.852,410.168,0.022,427.394,409,0.016,454.054,409.395,0.013,476.655,409,0.02,490.57,410.114,0.017,498.104,411,0.017,502,412,0.033,502.928,414.145,0.018,498,442.745,0.018,498.753,470.012,0.015,502.382,501.245,0.026,502.412,538.417,0.019,503,575.749,0.015,504,613.513,0.016,503,653.267,0.016,499.596,685.458,0.02,498.752,702.615,0.019,498,719.385,0.011,496.5,723,0.154,492.303,718.768,0.018,478.764,718,0.016,456.528,715.053,0.024,425.895,712.838,0.012,385.504,709.118,0.018,342.5,704,0.018,293.853,704.109,0.015,258.827,701.845,0.011,231.456,699.587,0.017,215,700,0.016,211,700,0.02,209.049,696.097,0.023,207.783,680.26,0.012,202.122,654.365,0.021,198.981,623.576,0.012,191.315,583.135,0.017,184.519,546.434,0.012,183.413,522.873,0.018,185.668,507.661,0.014,187,500.164,0.018,188.131,495.737,0.102,191.051,492.898,0.014,202.279,492,0.019,219.786,491,0.014,245.171,491.848,0.017,277.383,494.184,0.017,311.526,496,0.02,345.366,500.115,0.013,374.371,502,0.018,393.44,501.945,0.026,401.568,501,0.013,406,502.5,0.132,403,510.6,0.024,403.982,533.783,0.019,404.774,565.715,0.013,405.978,589.402,0.013,406.568,606.01,0.019,404.012,616.952,0.016,404,622.304,0.185,391.612,622,0.019,368.63,617.963,0.015,340.549,614.728,0.014,314.5,614,0.017,302.109,615,0.015,296.5,615,0.023,292.235,614.745,0.194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,3294,JAGR
185,406,0,228.5,396.5,0.013,259.775,395,0.02,294.305,397.019,0.016,353.727,402.793,0.016,394.5,406.5,0.02,428.804,405.72,0.013,459.304,407,0.015,484.841,407,0.021,496.342,406,0.012,494.941,409.178,0.015,491.383,421.659,0.019,489.96,440.321,0.017,490.291,469.371,0.029,490,500.14,0.012,490.786,534.797,0.019,491,570.341,0.021,489.753,607.709,0.018,487.462,645.149,0.018,486,676.281,0.014,484,697.971,0.017,481.755,712.468,0.017,481,718,0.099,476.605,717,0.022,461.307,713.659,0.011,436.714,710.11,0.018,403.126,704.546,0.023,363.22,699.772,0.011,320.768,697.338,0.014,281.626,694.181,0.018,248.56,691.88,0.012,219.833,689.603,0.018,204.307,687.385,0.013,198.252,686.126,0.017,197.929,677.576,0.019,197.662,657.621,0.018,198.413,632.786,0.017,195,600.115,0.017,192,566.063,0.022,190,534.721,0.016,189,513.644,0.02,189,501.686,0.014,190.5,498,0.136,196.187,496.953,0.018,212.759,493.31,0.016,238.136,489.419,0.011,271.451,488.858,0.019,304.812,490.048,0.014,341.069,492.338,0.012,375.197,497.757,0.022,397.497,501.571,0.014,409.258,504.052,0.012,414.594,504,0.203,411.152,512.238,0.029,405.76,543.159,0.017,404,561.978,0.02,397.578,578.108,0.011,394.034,597.761,0.017,393,608.903,0.023,393,613.854,0.012,391.867,617.266,0.118,376.955,614.994,0.027,339.19,612,0.014,304.987,608.725,0.015,278.367,602.273,0.017,266.483,601,0.016,260.527,600,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,3175,JAGR
184,416,0,230.5,410,0.014,265.601,411.973,0.02,304.834,414.213,0.019,363.229,414.457,0.027,423.817,414.187,0.007,455.88,409.865,0.009,478.121,409,0.017,487.679,408.44,0.016,492.479,408,0.013,491.918,410.164,0.032,491.174,425.605,0.015,490.899,448.008,0.017,492.382,481.734,0.02,493.58,521.752,0.015,494,574.309,0.02,494.931,623.51,0.011,495.343,662.823,0.02,492.864,692.817,0.019,490,714.697,0.012,488.5,720.5,0.136,483.808,718,0.018,471.558,717,0.014,451,717,0.016,400.249,718,0.018,355.573,715.872,0.017,302.942,707.551,0.019,259.444,706.402,0.017,223.897,705.341,0.013,203.402,702.925,0.011,190.984,702,0.115,197.775,692.838,0.021,200.649,675.865,0.014,200.097,650.974,0.02,192.398,613.074,0.011,187.823,576.116,0.018,187.627,549.106,0.016,189.888,528.783,0.021,191.126,516.494,0.014,192.24,511.521,0.102,196.631,508.685,0.018,205.406,506.432,0.012,224.149,501.555,0.017,247.627,496.875,0.023,277.666,496.282,0.015,311.59,498.074,0.012,344.04,501.577,0.017,375.136,507.031,0.016,396.614,512.871,0.023,403.415,514,0.113,397.644,511.822,0.222,401.816,563.935,0.015,405.662,596.61,0.02,408.889,618.111,0.015,407.833,630.004,0.085,406,625.955,0.021,399.89,621.26,0.016,385.912,615.174,0.015,359.83,612,0.018,327.896,613.092,0.018,302.303,613,0.017,279,610.5,0.016,274.382,612,0.02,271.89,610.945,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,3100,JAGR
183,413,0,230.572,405.879,0.014,257.578,407.381,0.018,287.438,408.603,0.015,332.922,412.703,0.013,367.358,416.181,0.021,401.698,419.626,0.017,429.5,422,0.019,456.152,423.589,0.015,479.964,425.074,0.014,490.293,422.677,0.017,501.119,424,0.014,503.041,426.083,0.02,503,441.978,0.018,502.77,459.474,0.02,504.986,481.857,0.016,510.508,513.047,0.022,512.466,541.053,0.013,512,569.307,0.015,511.057,595.684,0.017,512.234,620.569,0.02,510,642.613,0.021,508,661.051,0.01,509.051,674.797,0.017,504.834,684.998,0.012,500.124,688.876,0.035,496.088,692.823,0.024,489.609,697.261,0.015,482.769,701.82,0.021,468.336,705.259,0.013,452.867,707,0.018,427.607,703.747,0.023,401.156,702.654,0.013,376.441,703,0.021,350.259,701.174,0.02,320.037,694.778,0.01,296.905,691.656,0.017,277.47,689,0.017,262.295,690.815,0.015,247.646,692,0.02,237.801,693,0.015,228,692,0.02,211.676,694,0.011,199.867,694,0.017,193.122,693,0.035,188.645,690.823,0.035,189.223,677.437,0.01,194.476,660.064,0.017,195.418,637.494,0.019,193.062,605.495,0.015,190.584,576.294,0.017,190.507,553.067,0.02,191,535.166,0.013,191,523.243,0.026,192.165,517.671,0.011,198.719,516,0.015,199.985,509.677,0.017,206.568,507.108,0.012,215.581,504.855,0.025,232.003,504,0.018,265.882,503,0.021,291.958,503,0.012,321.635,504,0.024,349.516,504.465,0.02,385.786,506,0.017,395.315,504.895,0.018,398.044,515.348,0.022,398,535.743,0.014,399,561.5,0.02,405.348,585.825,0.011,411.027,605.187,0.017,411,615.858,0.037,403.151,617.616,0.014,394.614,617.123,0.019,377.936,612.787,0.011,356.522,609.614,0.017,329.317,608.785,0.015,305.331,604.333,0.019,287.532,602,0.013,277.614,603.347,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,3154,JAGR
176,413,0,210.121,408.366,0.021,235.92,406,0.016,262.125,405.24,0.016,307.816,406.029,0.02,339.274,408,0.017,371.5,409,0.016,401.798,410,0.016,430.651,411,0.014,455.572,412,0.021,474.351,413,0.015,483.159,414,0.02,487.925,413.038,0.017,489.089,415.179,0.037,486.916,429.501,0.017,487,448.626,0.014,488,475.101,0.019,489,498.212,0.013,488,527.734,0.015,486.697,553.635,0.023,487,576.181,0.011,486,600.763,0.02,484.024,624.76,0.011,481.748,640.763,0.02,479.524,659.334,0.016,479,673.136,0.019,476.021,683.936,0.016,475,690.468,0.031,471.733,693,0.032,464.601,695.466,0.017,452.398,697,0.016,428.92,697.916,0.019,393.933,696.839,0.016,362.171,697.416,0.021,323.002,698,0.018,282.293,696.229,0.013,250.277,693.877,0.023,228.172,694.353,0.011,216.165,695.612,0.016,210.316,697,0.017,207.889,697,0.083,203.053,689.159,0.016,200.802,681.008,0.022,194.763,657.053,0.027,187.459,611.445,0.011,183.946,579.246,0.021,179.497,552.235,0.011,176.5,533.5,0.018,180.745,521.273,0.028,182,506.79,0.011,183.228,502.544,0.034,189.901,500,0.024,202.414,500,0.012,218.438,500,0.018,246.318,501,0.021,277.222,503.94,0.013,307.776,507.397,0.023,337.242,506.597,0.013,365.684,507,0.016,385.428,506.072,0.017,395.59,506,0.025,401.761,506,0.088,402,511.693,0.013,404.997,530.983,0.022,408.883,564.812,0.013,413.964,593.82,0.017,420.629,612.678,0.021,416.552,622.895,0.018,413.462,626.538,0.068,407.395,622.198,0.017,397.373,617.687,0.015,378.715,614.119,0.02,358.589,613,0.015,332.326,615.816,0.021,313.335,620.222,0.012,299.726,621.879,0.016,289.601,622,0.017,284.55,618.55,0.159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,3241,JAGR
174,404,0,221.632,398.951,0.013,249.939,396.672,0.017,282.634,396,0.015,334.322,400,0.016,372.474,400.968,0.019,409.687,402.246,0.017,446.807,404.558,0.015,473.179,406.744,0.019,490.832,406,0.016,498.782,407.261,0.036,501.269,410.806,0.017,500.041,424.716,0.023,501,447.939,0.011,501.496,479.45,0.014,497.626,506.558,0.017,493.197,537.621,0.014,488.621,572.652,0.017,486.554,603.803,0.015,481.674,629.629,0.015,473.366,657.994,0.019,464.519,679.604,0.019,460.175,689.65,0.02,458.375,695.251,0.015,456.5,699,0.033,452.734,700.133,0.034,446.119,703.96,0.013,431.623,708.229,0.018,409.644,711,0.025,382.452,711.682,0.011,355.684,713.943,0.019,326.375,716,0.011,299.529,717.447,0.022,274.143,717,0.021,248.821,716.082,0.01,225.99,713.817,0.021,214.049,712.61,0.015,206.5,712,0.036,207.03,708.939,0.033,200.557,690.632,0.012,192.562,663.65,0.016,187.067,630.355,0.018,180.342,596.712,0.016,177.071,565.494,0.017,178,547.025,0.016,181.939,533.152,0.019,185.194,522.028,0.016,188.45,509.75,0.024,191.65,501.7,0.018,195.201,502.067,0.019,202.662,503,0.014,216.027,503,0.018,240.599,505.383,0.016,270.378,507.598,0.017,301.963,507.855,0.015,335.396,510.2,0.021,366.578,511.325,0.02,391.513,512,0.012,404.16,513,0.021,411.153,511.923,0.117,405.981,529.152,0.018,402,562.045,0.011,403.582,591.799,0.022,404.235,614.881,0.012,403.971,628.116,0.037,398.243,631.253,0.021,384.981,627.566,0.013,365.107,624.012,0.018,340.435,621.767,0.019,316.389,623.935,0.017,300.816,624.697,0.018,287.275,624.046,0.017,278.169,624,0.021,273.472,623,0.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,2982,JAGR
173,423,0,220.034,413.92,0.018,249.461,411.657,0.017,281.642,411,0.012,332.093,410.182,0.016,370.426,407.916,0.02,405.584,406.694,0.014,438.917,408.565,0.011,463.941,409,0.02,485.252,411.031,0.015,501.158,414.617,0.015,506,415.5,0.02,507,418.265,0.016,506,423.714,0.016,503.271,435.374,0.013,502.016,447.904,0.018,500.767,469.327,0.014,499.549,488.054,0.022,500.319,511.133,0.018,498.054,533.568,0.013,495.804,559.542,0.018,492.577,583.071,0.016,490.347,602.222,0.019,487.209,623.957,0.015,484.83,645.701,0.017,481.177,660.057,0.02,479.385,674.92,0.019,475.272,687.456,0.012,476.069,691.208,0.085,471.925,692.038,0.034,461.217,695.557,0.017,444.643,700.635,0.013,425.596,705.135,0.022,399.917,708.292,0.017,373.429,710.548,0.016,333.801,707.6,0.018,293.308,698.815,0.017,253.211,689.873,0.02,223.519,684.003,0.013,201.932,681.241,0.015,193.97,682,0.036,192,680.925,0.035,191,670.218,0.013,189.916,652.245,0.016,187.677,627.442,0.021,187.528,598.664,0.011,188,570.557,0.016,186.99,542.856,0.017,185.719,519.193,0.013,187,506.933,0.021,188,501.478,0.014,189.064,498.872,0.031,193.8,495.733,0.024,208.61,498,0.011,227.096,500.233,0.024,251.785,502.435,0.012,278.614,504,0.018,306.397,503.046,0.016,332.177,500.802,0.016,357.278,501.44,0.017,380.278,502.323,0.017,398.416,504.903,0.018,409.833,507.167,0.02,414.525,508,0.083,410.874,511.252,0.037,408,525.895,0.013,406.035,540.719,0.014,405,566.501,0.022,404.431,584.448,0.013,403.303,598.486,0.016,401.047,605.858,0.016,398.811,610.377,0.081,394.954,612,0.025,384.958,611.493,0.013,359.5,605.5,0.018,326.538,601.505,0.017,304.139,602,0.015,292.72,605.256,0.019,287.013,606.493,0.015,292.264,607.198,0.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,3439,JAGR
