@relation EntrenamientoP4LMCHG
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
191,378,0,237.213,382.274,0.018,276.5,383,0.017,317.965,384,0.017,381.172,381.996,0.017,425.997,378.75,0.016,463.348,379,0.016,484.134,383.934,0.018,494.903,398.807,0.016,498.223,415.337,0.016,497.531,443.623,0.016,494.581,475.222,0.016,492.047,510.346,0.017,490.808,547.884,0.017,491.436,586.975,0.017,491.681,622.221,0.016,492,652.972,0.017,492,679.016,0.017,490.587,697.894,0.017,490.345,710.964,0.016,484.818,708.891,0.018,464.123,699.449,0.019,437.597,692.119,0.016,406.15,686.253,0.017,369.937,682.885,0.017,333.088,682,0.019,295.704,683,0.017,261.264,682.151,0.017,232.92,680.91,0.034,208.021,681.332,0.018,177.402,687.399,0.009,162.235,688.941,0.016,158.856,684.568,0.019,163.024,663.58,0.015,175.522,634.196,0.017,183.479,602.287,0.016,190.222,571.89,0.018,192.647,542.585,0.015,196.78,518.208,0.017,198,501.19,0.016,199,492.855,0.033,208.462,493.744,0.017,223.905,494,0.017,251.783,489.304,0.017,283.605,482.113,0.017,311.187,475.844,0.017,336.671,472.036,0.017,361.458,468.795,0.017,375.696,470.449,0.017,392.475,483.255,0.016,401.748,505.433,0.016,415.094,535.37,0.016,426.114,566.343,0.017,433.007,586.691,0.015,438.732,598.732,0.017,436.608,602,0.018,415.583,599,0.017,386.872,599.011,0.017,351.222,604.756,0.017,313.597,615.471,0.016,289.865,624.219,0.017,280.032,626.984,0.017,281.113,623.662,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,2323,LMCHG
198,394,0,256.421,388.975,0.017,290.325,386.73,0.016,326.5,384.5,0.017,380.636,383,0.016,413.005,383,0.017,440.681,383,0.016,465.411,385.49,0.017,483.652,392.922,0.016,490.921,403.842,0.017,493.217,418.52,0.016,494,448.418,0.017,495.703,492.174,0.016,496.053,541.836,0.017,497.188,593.326,0.017,497,635.26,0.017,497.675,666.103,0.016,493.159,689.444,0.017,488.838,701.808,0.017,476.568,709.216,0.017,454.527,709.353,0.017,425.272,707.106,0.017,388.835,701.594,0.017,350.751,697.237,0.027,284.628,695,0.017,245.222,697.986,0.016,211.782,705.69,0.017,182.777,713.424,0.017,167.405,714,0.017,164,702.307,0.017,171.012,678.773,0.016,183.241,645.725,0.018,189.079,603.14,0.017,192.937,563.074,0.017,196.176,525.543,0.016,202.262,495.372,0.018,207.337,477.326,0.017,213.649,475,0.017,228.208,479.453,0.016,252.999,491,0.018,288.226,496.639,0.016,325.912,494.348,0.017,359.034,485.491,0.023,382.705,480.259,0.017,398.069,483.456,0.016,406.578,499.733,0.017,416.401,527.606,0.016,423.046,563.277,0.017,428.179,590.304,0.016,431,600.669,0.016,427.76,601,0.029,399.705,600,0.021,341.462,611.561,0.016,301.443,626.023,0.016,274.837,632.249,0.017,275.783,626.652,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,2022,LMCHG
192,391,0,222.988,391,0.017,237.198,390,0.016,248.716,389,0.017,263.656,389,0.016,274.106,387.579,0.016,286,389.5,0.017,308.348,389,0.017,333.947,388.838,0.016,361.526,390,0.017,393.719,390,0.015,428.268,391,0.017,460.766,395.272,0.017,491.86,402.495,0.019,512.326,414.09,0.016,521.59,436.36,0.016,529.418,460.357,0.017,535.055,490.921,0.019,538.595,529.703,0.016,534.497,573.185,0.016,529.845,615.399,0.017,526.677,652.499,0.019,522.864,678.816,0.016,520.19,695.671,0.017,516.946,710.321,0.017,512.4,718.9,0.017,504,723,0.017,491.082,726.567,0.017,472.704,730.054,0.017,449.271,728.727,0.017,421.5,726,0.017,384.645,726,0.017,349.959,726.002,0.016,311.359,727.244,0.017,274.862,730.962,0.017,243.524,737.645,0.017,212.267,745.927,0.017,188.019,750.44,0.017,179.162,750,0.016,174.591,748.295,0.016,170.109,738.383,0.017,171.19,716.098,0.016,172.43,683.979,0.016,172,649.164,0.016,172,614.191,0.017,174.284,561.457,0.021,175.529,537.241,0.016,177,521.354,0.017,180.034,512.95,0.017,188.043,508.479,0.018,210.549,504.496,0.016,242.433,499.761,0.017,281.832,492.039,0.017,320.97,488.766,0.017,358.63,485.523,0.016,388.66,491.887,0.017,404.794,503.828,0.011,417.024,524.253,0.017,424.899,548.494,0.029,429.812,592.125,0.021,432,607.36,0.066,422.466,601.419,0.016,397.636,598.967,0.017,365.853,600.276,0.017,331,606.5,0.017,297.085,616.288,0.016,278.974,619,0.033,279.38,606.719,0.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,2442,LMCHG
200,387,0,254.063,389,0.017,296.958,387.652,0.018,346.53,384.403,0.017,415.845,381,0.017,453.428,381,0.024,478.899,385.975,0.018,491.28,404.13,0.016,501.25,429.189,0.017,507.055,463.998,0.017,507.696,505.377,0.018,509.5,545.5,0.016,508.788,589.763,0.017,511.062,626.528,0.016,512.277,659.155,0.017,509.5,682,0.016,503.948,695.579,0.022,495.982,702.009,0.009,484.526,704.246,0.017,456.642,704,0.017,422.716,706.469,0.017,382.376,708,0.017,341.844,708,0.017,300.231,704.077,0.017,262.931,699.58,0.016,232.632,696.049,0.017,207.078,690.616,0.017,185.472,688.559,0.016,174.904,686.635,0.016,165.22,679.366,0.016,164.166,656.178,0.017,176.451,618.055,0.017,184.974,573.837,0.016,189.9,534.598,0.016,192,501.161,0.017,194.774,474.292,0.02,199.626,462.121,0.016,204.621,459.126,0.016,216.585,461.117,0.018,240.265,461,0.017,272.024,456.797,0.016,304.731,449.605,0.017,335.236,444.823,0.017,361.374,443,0.027,384.183,452.88,0.017,394.829,474.43,0.017,401.553,505.766,0.016,409.684,537.316,0.017,422.373,559.746,0.016,429.833,571.666,0.017,433.14,578.281,0.034,417.902,579,0.015,390.407,581.784,0.017,355.001,590.666,0.016,310.483,602.879,0.018,286.45,616.467,0.016,277,619.5,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,2037,LMCHG
181,396,0,259.5,403,0.017,306.633,402,0.017,356.007,398.999,0.016,426.524,393.267,0.017,457.809,390.512,0.017,475.105,396.188,0.017,486.895,408.817,0.016,492.651,428.388,0.017,493.46,459.447,0.017,490.295,502.4,0.017,490,550.891,0.017,491.188,598.138,0.017,489.565,635.392,0.017,487.646,664.772,0.016,484.079,685.523,0.017,479.672,691.328,0.017,467.149,693.407,0.018,451.8,691.7,0.016,427.937,688.208,0.009,395.798,685.862,0.018,360.837,685,0.018,320.921,684.377,0.028,280.651,684.867,0.015,244.3,686.113,0.019,211.35,689.358,0.017,184.794,693.202,0.016,170.782,693.156,0.016,165.827,687.741,0.017,172.318,666.045,0.017,180.722,635.814,0.018,186.64,599.24,0.017,188,563.076,0.017,189,529.991,0.018,189.55,505.697,0.016,190.794,496.617,0.017,198.186,496.037,0.017,216.512,499.558,0.017,248.5,499,0.016,283.728,489.402,0.017,320.127,476.949,0.017,347.72,470.258,0.017,369.987,469,0.017,381.184,474.962,0.017,392.92,496.808,0.016,400.899,530.047,0.017,412.806,562.483,0.017,425.148,580.729,0.017,429,589,0.049,415.877,581.662,0.017,386.699,577.313,0.016,351.206,577.929,0.017,310.342,586.871,0.016,274.965,600.069,0.018,264.699,607.981,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,1935,LMCHG
199,380,0,253.003,385,0.017,285.815,386.388,0.017,327.925,387.628,0.016,391.689,391.621,0.023,435.063,396.229,0.017,464.963,405.441,0.018,489.626,417.231,0.016,504.082,439.47,0.017,511.278,471.574,0.017,510,508.007,0.017,507.422,550.136,0.016,504.18,591.587,0.017,500.936,630.02,0.017,497.385,663.308,0.017,496,690.5,0.016,494.209,702.746,0.018,489.93,709.07,0.008,481.595,707.719,0.018,456.5,705.5,0.016,418.732,710.3,0.017,373.777,717.032,0.032,329.894,723.763,0.011,285.122,731.973,0.017,244.659,739.954,0.017,212.193,744.968,0.031,186.176,744.772,0.02,167.726,738.129,0.017,156.859,723.29,0.018,154.045,696.668,0.016,156.201,662.189,0.017,158.886,625.352,0.016,161.375,589.375,0.018,162.929,557.853,0.016,163.174,532.432,0.03,166.08,503.759,0.015,173.337,490.326,0.017,183.091,478.909,0.017,196.864,472.201,0.017,220,469,0.016,253.598,467.243,0.017,287.978,467.998,0.017,323.587,470.239,0.017,361.194,473.482,0.016,391.488,480.919,0.017,411.728,496.758,0.016,429.291,518.366,0.017,436.375,545.043,0.016,442.702,578.825,0.016,445.945,599.671,0.016,446,608.558,0.05,433.259,603.645,0.016,411.975,600.081,0.017,380.612,597.841,0.017,344.235,599.398,0.017,306.271,604.594,0.016,271.272,615.47,0.015,249.036,621.275,0.017,245.24,619.62,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,2090,LMCHG
203,384,0,273.883,380.697,0.016,316.467,376.214,0.017,355.787,372.731,0.015,405.697,371.882,0.017,430.128,378.376,0.016,452.022,391.56,0.018,466.868,414.477,0.014,483.999,439.426,0.032,494.394,471.28,0.008,503.357,505.766,0.039,512.819,576.283,0.016,515.07,607.909,0.017,515,636.498,0.018,513.44,662.478,0.016,510.198,683.222,0.017,502.819,693.181,0.016,492.58,700.852,0.018,473.628,707.593,0.016,443.586,712.776,0.017,405.584,717.042,0.016,368.019,718,0.017,335.5,717.5,0.017,310.491,714.498,0.017,288.094,710.016,0.017,268.119,709,0.017,245.698,711.478,0.017,228.468,714,0.018,217.122,711.061,0.019,207.947,703.947,0.016,193.271,684.967,0.018,187.367,662.837,0.011,183.877,635.074,0.017,180.385,608.999,0.017,181,582.421,0.017,183.588,561.44,0.016,189.105,543.719,0.017,200.95,533.886,0.018,220.705,526.386,0.016,249.201,514.399,0.016,280.152,503.949,0.017,310.275,498.496,0.017,337.968,493.503,0.016,363.158,494.483,0.017,383.841,502.936,0.017,398.137,519.046,0.017,405.891,539.782,0.016,412.15,568.167,0.016,416.919,593.594,0.017,420.201,605.004,0.017,417.643,606,0.033,399.555,596.833,0.016,378.705,588.802,0.017,353.5,584.5,0.016,317.686,589.133,0.017,289.681,596.068,0.017,270.086,604.094,0.019,264.514,603.973,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,2102,LMCHG
213,401,0,273,398.5,0.016,321.37,399,0.017,372.573,399,0.017,443.753,400.269,0.017,470.5,404,0.016,491.536,412.024,0.017,501.992,426.985,0.017,505.483,448.417,0.016,505.486,479.805,0.016,505,519.84,0.017,506.943,562.406,0.016,510.645,603.871,0.017,513.458,646.794,0.016,514,684.142,0.017,514,704.562,0.016,511.844,711.312,0.018,499.5,708.5,0.016,476.445,701.611,0.023,444.411,696.922,0.016,406.197,696,0.018,365.079,699.574,0.016,322.845,706.308,0.02,284.761,712.038,0.023,249.916,716.257,0.009,217.093,719.988,0.017,196.548,719.255,0.017,185.048,717.024,0.016,178.313,707.855,0.017,176,688.727,0.017,180.44,657.638,0.017,184.923,622.538,0.017,186,587.337,0.017,187.445,556.77,0.013,188.69,533.168,0.017,191.869,518.394,0.017,199.684,513.829,0.017,214.951,511.578,0.017,237.979,511.335,0.017,269.387,506.269,0.017,304.694,497.252,0.017,339.32,483.63,0.018,370.643,478.363,0.016,398.936,480.645,0.017,418.085,491.723,0.016,428.469,506.203,0.018,433.61,527.097,0.016,435.711,550.121,0.015,439.289,573.868,0.016,442.34,592.379,0.017,436.629,592.852,0.018,421.774,584.728,0.017,391.5,578.5,0.016,349.762,582.406,0.017,307.217,592.165,0.017,275.621,598.584,0.017,264,604,0.016,264,601.445,0.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,2071,LMCHG
209,389,0,257.626,396,0.057,312.383,398,0.005,359.915,396.549,0.016,427.315,389.898,0.017,462.375,385.114,0.017,483.305,387.186,0.017,488.85,397.124,0.016,488.328,414.38,0.017,487,441.911,0.017,486,479.525,0.017,485,526.623,0.017,485.641,573.544,0.009,487.888,614.869,0.017,488,653.538,0.017,486.623,686.038,0.018,486,702.95,0.016,484.5,712,0.032,477.318,709.773,0.017,457.211,704.053,0.017,423.691,699.284,0.016,383.724,698,0.016,342.349,699.203,0.016,300.673,702.877,0.015,260.885,711.761,0.016,225.107,717.87,0.017,198.886,720,0.027,186.739,718.159,0.013,184,711.055,0.016,186.813,691.843,0.017,192.295,664.791,0.016,201.564,631.745,0.017,205.263,598.159,0.008,208.874,562.76,0.016,210.879,529.309,0.024,212.484,493.126,0.016,212,480.54,0.018,215.092,480,0.02,231.034,483.674,0.023,259.152,486,0.032,307.178,486,0.022,337.482,486,0.018,363.043,487.42,0.016,377.5,493.5,0.019,392.691,509.46,0.016,399.493,535.971,0.017,404.218,565.061,0.019,412.589,588.826,0.016,419.788,598.683,0.016,421.07,601.139,0.057,405.018,596.377,0.013,380.988,594.133,0.017,348.159,598.325,0.016,306.548,607.774,0.017,280.612,622.994,0.015,269.477,627.841,0.026,273.615,623.59,0.109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,2107,LMCHG
213,390,0,262.855,391,0.016,300.5,392,0.018,343.558,393,0.017,405.92,395.025,0.017,441.024,397.268,0.017,464.5,406,0.015,487.26,416.508,0.017,500.862,435.751,0.019,506.441,458.649,0.016,505.532,490.548,0.014,504,534.357,0.019,503.938,575.95,0.016,503.796,614.265,0.019,504,644.412,0.012,504,668.257,0.014,504.086,688.402,0.017,500.548,708.036,0.02,493.779,719.035,0.014,488.337,719,0.021,471.971,716.194,0.013,446.016,709.339,0.023,409.605,700.521,0.011,367.496,693.146,0.018,319.903,689.126,0.015,273.841,686.863,0.016,234.331,688.378,0.017,196.368,689,0.009,173.305,688.131,0.017,159.546,683.773,0.026,157,670.133,0.014,159.764,647.356,0.013,165.414,616.734,0.016,169.092,585.893,0.016,165.352,560.759,0.023,164.535,537.787,0.014,167.611,526.777,0.015,176.277,521.945,0.016,192.322,520.71,0.018,221,514,0.018,260.616,500.461,0.016,297.835,485.687,0.022,328.612,475.525,0.013,353.584,473,0.016,370.694,477.216,0.016,385.829,496.687,0.016,395.014,525.801,0.019,401.888,558.551,0.017,411.48,581.959,0.017,420.888,596.851,0.012,419.68,600.107,0.027,392.831,598,0.012,360.395,597,0.023,320.774,600.234,0.013,284.931,606.296,0.016,267.415,609.931,0.026,266.264,606.868,0.099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,2039,LMCHG
