@relation EntrenamientoP4MAUC
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
193,397,0,246,396,0.017,286.524,399.796,0.019,325.113,399.93,0.016,380.749,397.708,0.024,401.107,394.965,0.017,420.498,393,0.017,434.103,392,0.02,454.36,393,0.016,465.015,395,0.013,484.089,396,0.016,496.588,396,0.018,509.853,397.371,0.015,508.314,401.371,0.013,506.039,405.923,0.024,503.813,410.746,0.011,503,422.727,0.021,503.672,445.051,0.011,504.068,474.18,0.02,504.708,507.041,0.011,506.412,537.944,0.022,506,571.479,0.009,504,605.88,0.018,502.893,629.966,0.019,503,652.176,0.016,507.227,671.134,0.031,508,686.927,0.013,505.786,689.214,0.035,501.464,687.732,0.022,496.356,688,0.034,489.894,688.777,0.013,473.614,692.097,0.012,448.615,698.615,0.019,420.5,702,0.015,382.176,707.072,0.022,345.73,711.03,0.013,305.541,712.273,0.017,264.5,712.5,0.019,240.731,716.727,0.016,222.112,719,0.022,215.545,720,0.059,215,706.759,0.013,210.823,679.94,0.022,207,650.498,0.013,201.847,614.776,0.02,199.209,578.137,0.016,196.908,551.633,0.013,198.313,532.494,0.016,195.542,516.746,0.018,197.527,505.183,0.012,199.027,497.919,0.017,207.051,492.474,0.022,210.96,489,0.013,215,489,0.036,225.418,489.916,0.015,246.426,490.346,0.013,267.842,492.207,0.021,291.943,494.813,0.012,316.719,495.072,0.017,337.555,496,0.022,356.972,496.448,0.012,374.433,495,0.018,390.507,491.81,0.016,395.566,493.283,0.014,398.265,495.531,0.049,396.871,500.258,0.024,400.773,504.773,0.017,409.345,509.836,0.012,418.383,515.288,0.012,424.721,523.442,0.018,426,531.403,0.017,426,544.787,0.02,425,563.426,0.014,424,582.879,0.013,423,593.273,0.016,425.79,600.369,0.017,427,611.196,0.016,428,619.864,0.018,428,624,0.069,421.358,621.893,0.013,399.539,621,0.015,374.148,619.792,0.019,344.078,618.148,0.013,315.527,619,0.017,298.569,620,0.018,290.5,621.5,0.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,3343,MAUC
200,397,0,248.409,405.813,0.014,290.694,408,0.019,335.125,406.594,0.015,396.802,401.04,0.019,443.256,397,0.024,462.634,397,0.017,483,397,0.02,486.5,397,0.034,487,400.183,0.05,491.54,401.27,0.023,493,406.617,0.018,493.556,411.668,0.013,494,428.912,0.021,499.082,454.979,0.023,502,486.658,0.012,499.921,519.631,0.017,496.427,551.012,0.015,494.965,577.385,0.019,492.424,606.17,0.016,491.483,625.615,0.025,488.281,650.059,0.011,483.02,676.889,0.012,476.504,692.239,0.022,477.44,698.319,0.06,472.87,694.935,0.037,447.909,698.455,0.013,415.023,700.811,0.02,377.715,696.962,0.012,340.037,694,0.018,279.068,694.643,0.015,248.302,698.763,0.022,225.447,704.423,0.014,214.477,708.381,0.017,206.116,709,0.019,196.74,706.444,0.021,194,698.566,0.026,191.538,673.376,0.015,194.434,639.529,0.023,196.959,603.664,0.012,198.213,570.017,0.03,197,533.722,0.019,194.197,518.79,0.028,195,511,0.029,205.515,510,0.02,217.247,508.215,0.015,243.968,508.151,0.022,279.855,510.366,0.014,314.047,512.372,0.017,345.027,514,0.017,368.837,515,0.012,380.815,513.637,0.019,387.5,513.5,0.067,392.513,512,0.026,399.537,511,0.035,399,516.025,0.021,398,523.93,0.012,398,546.115,0.016,397,575.015,0.028,398,602.782,0.016,399,617.323,0.015,396.06,615.03,0.021,371.716,612.765,0.014,338.635,609.07,0.022,309.973,603.297,0.012,290.16,601.02,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,2777,MAUC
220,381,0,271.199,395.153,0.015,314.001,398.905,0.014,366.848,400,0.021,432.113,401.582,0.026,477.186,400,0.011,490.239,401.06,0.022,494.526,401,0.053,491.822,405.355,0.03,493,409.491,0.02,494,422.713,0.016,495,448.739,0.018,493.782,482.265,0.017,492.55,517.199,0.023,491,566.928,0.018,492.054,603.922,0.018,492,633.879,0.013,491.549,652.943,0.02,491.794,666.767,0.019,493,689.936,0.022,494,697.78,0.011,491.645,700.178,0.035,463.795,702.458,0.016,444,702,0.018,413.402,700.55,0.026,376.803,701,0.013,340.108,702,0.012,300.638,695.606,0.022,267.736,687.575,0.022,234.666,682.917,0.016,218.047,677.023,0.028,211.5,678.5,0.024,211,674.961,0.053,214,665.229,0.018,217.725,643.648,0.013,220,610.77,0.023,224.43,575.28,0.013,229.424,543.121,0.015,236.591,521.091,0.024,238.151,507.697,0.018,242.469,495.125,0.023,243,489.642,0.012,243,482.771,0.022,242,474.787,0.014,244.319,475.106,0.024,250.304,477.261,0.014,267.178,479.553,0.014,294.449,483.527,0.017,329.72,486.984,0.016,367.242,487.751,0.024,394.965,486,0.016,402.5,486,0.043,397.801,491.398,0.015,394.556,498.775,0.02,392,515.949,0.014,390,543.18,0.017,391.363,572.996,0.018,393.857,596.858,0.024,399.901,624.702,0.015,400,627.162,0.038,385.932,624,0.014,351.558,615.96,0.027,302.802,609,0.02,282.707,608,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,2734,MAUC
205,402,0,269.394,398.977,0.017,308.779,395.438,0.017,342.5,391,0.017,388.01,390,0.017,412.72,388.025,0.009,432.932,389,0.015,442,389,0.022,450.065,389.688,0.011,455.959,390.98,0.015,460.439,392.22,0.016,467.782,392.445,0.016,479.717,394.679,0.016,486.78,395.927,0.015,491.373,398.187,0.017,494.178,402.533,0.05,490.938,406.124,0.036,489,417.438,0.013,489,437.386,0.032,492.111,470.106,0.022,492,494.081,0.021,492,517.455,0.011,492,542.395,0.018,493,572.31,0.024,495.622,603.046,0.014,498.578,628.201,0.016,501.494,650.313,0.017,504.072,662.288,0.015,508.626,675.566,0.022,508.53,686.118,0.012,511,695.201,0.017,512.029,701.058,0.133,503.41,698.197,0.013,487.075,701.366,0.019,459.929,704.214,0.015,427.976,706.835,0.016,392.414,707,0.017,362.367,704.67,0.017,331,702.5,0.02,305.826,702.797,0.012,280.456,705.049,0.017,263.66,708.585,0.016,246.778,710.537,0.016,232.503,711.785,0.016,220.815,711,0.017,213.157,711,0.022,210,709.028,0.012,210,701.264,0.017,208,679.243,0.021,207,646.486,0.012,209.968,607.772,0.015,208,579.466,0.022,208.851,555.746,0.015,206.609,538.436,0.011,207.915,525.713,0.018,209.677,516.968,0.012,210.931,509.207,0.017,214.356,503.644,0.019,217.862,499.138,0.016,225.584,499,0.017,238.386,498.088,0.016,254.223,496.847,0.016,281.056,495.611,0.015,308.086,497.622,0.021,338.155,499.858,0.011,367.256,501,0.018,384.493,501.356,0.022,394.323,501,0.017,399,502.5,0.024,397.79,506.315,0.033,396,513.636,0.015,396,527.351,0.021,397,551.95,0.011,400.423,579.657,0.017,403,597,0.017,403,605.773,0.017,403,608.178,0.067,398,608,0.023,384.561,603.76,0.017,356.806,604.476,0.018,336.121,607,0.011,325.109,608,0.016,322.326,605.837,0.113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,3210,MAUC
185,408,0,246.324,404.747,0.021,290.676,402,0.017,328.425,402.714,0.012,374.622,403,0.015,401.681,400.513,0.026,421.591,400,0.009,435.604,399,0.012,451.768,400,0.023,459.354,402.177,0.016,468.678,404,0.01,479.668,404,0.016,488.717,404,0.014,495.552,402.816,0.021,497,406.359,0.05,494,412.24,0.017,492.643,429.215,0.013,493.392,453.9,0.018,494,476.915,0.017,495.234,499.169,0.019,494,526.744,0.016,494.5,556,0.021,495,584.489,0.012,493.916,609.926,0.022,494,632.948,0.02,496.667,664.669,0.02,497,677.585,0.012,498,684.32,0.029,499.133,688.265,0.031,500.169,693.338,0.066,495.854,694.073,0.051,489.806,690,0.022,461.488,690,0.013,431.395,690.55,0.02,400.446,690,0.011,367.535,686.938,0.014,332.358,687,0.018,299.5,685.5,0.016,270.941,684.267,0.022,247.98,685.002,0.016,234.781,682.756,0.017,228.989,683.495,0.016,226.941,685.118,0.021,220.557,685,0.013,214.778,683.926,0.023,207.134,682.423,0.011,198.186,676.186,0.016,195.2,663.397,0.021,196,636.994,0.019,206.57,577.327,0.016,208.633,540.51,0.021,211.857,516.147,0.018,211.898,500.489,0.012,211,491.846,0.018,214.849,492.849,0.025,220.553,496.184,0.015,232.872,498.479,0.019,254.824,498,0.022,282.232,497.936,0.012,313.758,497.816,0.031,354,496.5,0.014,372.708,495.785,0.017,382.099,498.033,0.016,387.345,498.173,0.05,391,498,0.034,395.212,498,0.032,395,502.323,0.037,395.673,509.02,0.02,398.065,532.647,0.016,399,557.483,0.023,401,578.651,0.015,401.776,594.655,0.015,402,605.15,0.037,402,609.72,0.093,395.589,608,0.014,384.232,607,0.012,361.877,607,0.02,338.568,608.929,0.014,323.592,608.799,0.012,316.585,609.472,0.052,322.5,605.5,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,3724,MAUC
189,422,0,233.884,413.019,0.012,274.666,410.407,0.018,315.441,409,0.021,369.779,409,0.012,400.74,410,0.024,428.845,409,0.029,448.075,406.985,0.024,454.781,404.74,0.012,462.5,401.5,0.022,469.997,404.749,0.014,478.076,406,0.02,485.868,406,0.017,495,407.5,0.016,499.439,407.72,0.015,502.543,410.543,0.019,503,415.712,0.015,501.5,427,0.017,503.959,439.796,0.017,507.644,458.146,0.016,503.546,480.089,0.02,504,500.739,0.014,503,525.54,0.016,502,551.074,0.027,500.212,569.757,0.01,498.654,590.849,0.012,497,617.71,0.017,493.846,640.537,0.018,489.216,662.53,0.021,484.803,684.188,0.012,481.135,692.596,0.015,478.875,700.5,0.017,478,706.071,0.101,469.487,702.811,0.012,447.212,702,0.019,410.161,701.324,0.017,373.253,706.791,0.022,335.751,711.852,0.013,291.401,713.228,0.015,252.246,720.951,0.021,221.681,725.741,0.015,201.917,726,0.012,193.847,728.384,0.053,196.837,719.651,0.013,195.21,701.529,0.014,194.312,668.841,0.017,191.5,632.5,0.017,189.175,597.448,0.02,185.931,567.097,0.015,184.682,543.138,0.015,184,527.633,0.012,184.808,518.576,0.02,189.342,505.487,0.017,193.829,501.171,0.017,202.237,498,0.016,214.596,494.081,0.019,230.084,495.135,0.016,256.167,497.738,0.024,309.023,502.738,0.019,344.772,506.967,0.023,374.513,510,0.011,397.963,510,0.018,406.135,510,0.022,404.849,513.227,0.028,402.9,528.3,0.015,403,548.864,0.025,407,578.161,0.026,408.488,605.023,0.018,406.5,612,0.016,401.233,612,0.022,374.845,607.779,0.013,341.467,611.42,0.018,308.504,619.214,0.022,288.998,617.665,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,2930,MAUC
222,402,0,264.667,405.167,0.016,293.492,406,0.018,322.13,406,0.011,365.073,407.892,0.016,395.945,409,0.022,416.171,410,0.013,436.5,410,0.018,452.086,408.152,0.015,461.48,408,0.023,465.644,408,0.04,473.654,409,0.016,483.341,410.085,0.019,490.9,408.7,0.017,495.183,408.409,0.018,499.808,408,0.371,504.359,444.472,0.015,506,464.715,0.016,508.21,484.888,0.018,509,515.255,0.016,508.727,524.182,0.014,507.07,532.79,0.02,507.86,546.4,0.011,507,569.277,0.017,507.359,593.768,0.015,508,614.979,0.017,504.856,629.719,0.023,504.6,667.203,0.017,504.162,684.868,0.024,504,694.445,0.032,504,703.408,0.014,505.158,711.368,0.019,506.5,715,0.017,502.736,717.132,0.051,498.726,719,0.031,493.532,718,0.017,482.983,719.003,0.017,460.302,722.491,0.015,437.5,724,0.019,409.1,726,0.016,376.395,726.974,0.019,347.914,729,0.013,319.611,729.456,0.012,292.935,729,0.017,271.43,729,0.023,255.177,729,0.013,246.695,729,0.015,242.469,729,0.034,236.735,728,0.011,230.719,727.427,0.018,226,728,0.034,220.873,721.746,0.02,216.309,719.654,0.012,210.168,715.168,0.017,201.762,702.762,0.015,195.891,684.128,0.016,195.334,654.328,0.016,197.404,616.466,0.016,198.365,583.556,0.016,203.14,557.302,0.028,203,530.204,0.019,207.66,517.36,0.014,207,508.286,0.031,209.245,497.265,0.013,212.531,493.469,0.033,218.277,491.862,0.03,223.972,494.486,0.014,233.321,495.72,0.015,243.89,496.978,0.017,256.325,497,0.024,277.855,496,0.013,299.155,496.316,0.022,317.328,495.084,0.014,335.25,495,0.015,350.031,496.433,0.016,364.957,496,0.011,379.362,496.091,0.015,393.996,493.834,0.022,403.469,493,0.021,418.505,492.751,0.016,423,493,0.019,422.829,496.341,0.068,422,500.542,0.029,420,513.509,0.015,417.649,529.73,0.023,417.929,549.289,0.016,417.175,576.269,0.011,415.148,601.26,0.016,418.347,617.265,0.017,416.5,623.5,0.035,411.431,624,0.024,405.544,621.386,0.011,389.018,620,0.017,366.897,615.755,0.017,340.87,611.267,0.016,328.121,607.39,0.015,316.303,608,0.015,313,608,0.032,318.949,608,0.016,0,0,0,198,4327,MAUC
205,410,0,245.085,411.318,0.077,344.533,415.923,0.015,396.264,419.302,0.022,421.636,421.364,0.012,442.624,421,0.016,457.427,420.115,0.021,465.248,417.917,0.034,469.354,418,0.017,477.749,417.937,0.013,487.888,414.556,0.016,494.419,414,0.019,499,414,0.035,499,420.049,0.016,496.681,428.276,0.023,498,444.294,0.014,496.763,472.685,0.016,497.033,506.462,0.016,497.278,533.331,0.023,495.972,560.29,0.012,499.129,593.515,0.018,499.99,620.879,0.017,498.744,639.051,0.018,500.984,657.938,0.016,498.294,671.647,0.028,499,685.695,0.012,496.605,693.987,0.014,496,699.927,0.07,496,703.019,0.079,486.855,701.858,0.021,459.892,705.141,0.012,427.479,715.918,0.017,395.5,722.5,0.033,329.493,725.026,0.009,286.843,724.769,0.019,251.694,722.513,0.016,221.785,713.262,0.021,200.381,709,0.013,190.616,703.808,0.018,191.445,697.664,0.017,196.731,687.904,0.016,204.78,663.878,0.018,212.519,627.883,0.017,216.408,590.873,0.018,219.648,558.574,0.02,220.867,535.325,0.019,220,520.597,0.022,222.494,514.012,0.012,223,510,0.036,230.161,507,0.024,241.655,508.443,0.014,259.059,509,0.013,285.515,510,0.02,316.333,510,0.013,343.708,510,0.02,371.159,507.349,0.013,397.08,501.251,0.016,410.764,498,0.016,414.25,501.5,0.033,409,514.002,0.023,409,535.779,0.014,412,567.5,0.015,414.429,587.432,0.018,415.982,600.927,0.019,420.437,613.528,0.02,418.548,623.903,0.012,413.9,624.3,0.016,392.685,620.105,0.017,359.283,614.791,0.019,320.443,616.437,0.018,300.05,613.342,0.026,290.5,611.5,0.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,2848,MAUC
212,396,0,268.635,396,0.014,315.09,397.957,0.021,362.6,398,0.013,438.292,400.457,0.019,457.623,397.338,0.016,479.629,395.114,0.019,489.444,395,0.012,491,396.265,0.05,496.682,400.227,0.016,505,406.5,0.013,507,411.205,0.018,509,423.745,0.014,508,443.816,0.012,508,472.888,0.018,509.3,499.8,0.017,510.046,534.317,0.015,507.573,563.775,0.024,508.662,603.863,0.013,512.598,639.389,0.018,514.054,656.218,0.016,512.699,661.602,0.016,509.456,669.632,0.016,506.489,677.266,0.017,503.977,683.045,0.027,503,692.964,0.011,501.5,700.5,0.016,494.072,701,0.024,481.632,701,0.023,440.687,705.146,0.017,404.514,709.815,0.014,368.091,709,0.023,319.986,705.537,0.015,284.753,703.355,0.024,255.303,699.2,0.011,238.904,697.843,0.012,228.742,696,0.018,223,694.5,0.069,228.476,691.762,0.026,230,686.21,0.021,230,666.435,0.013,231,645.23,0.014,231,621.339,0.017,231.698,596.715,0.017,235,577.471,0.016,235.406,558.377,0.024,238,544.896,0.014,239.338,531.986,0.017,243.823,519.444,0.018,247.34,512.66,0.022,249.371,507.258,0.017,253.536,504.821,0.019,258.372,499.441,0.021,257,490.239,0.013,257,486,0.034,261.39,486.098,0.014,268.888,488.944,0.016,277.538,491.415,0.017,298.525,495.957,0.016,324.454,499.204,0.018,348.835,499.44,0.017,371.412,497,0.016,389.556,497.063,0.017,396.335,495.833,0.052,394.82,500.36,0.031,396.277,507.109,0.019,401.961,529.392,0.014,408.475,553.849,0.016,412.98,579.737,0.017,416,597.339,0.018,423.384,610.769,0.017,413.677,609.954,0.02,384.916,606.372,0.018,346.497,602.417,0.016,311.841,600,0.02,289.925,601.015,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,3135,MAUC
198,412,0,255.969,409.002,0.016,297.923,406.741,0.023,339.728,406,0.016,396.834,406,0.014,425.594,407,0.015,447.511,407.216,0.015,458.319,407,0.022,463,407,0.058,471.272,408,0.02,483.955,410.304,0.015,488.908,413.816,0.011,490.145,420.435,0.017,490,430.996,0.017,491.5,447,0.016,491.124,485.886,0.019,492,518.33,0.013,491.63,545.069,0.02,492.5,575,0.02,492,612.198,0.01,491.918,640.978,0.017,492.336,660.686,0.019,489.5,674,0.02,491.79,692.532,0.013,490.926,703.297,0.021,488.848,707.152,0.084,480.633,707.728,0.02,460.065,709.994,0.012,425.447,710.253,0.018,386.218,709.511,0.023,347.253,708.625,0.011,304.69,707,0.017,267.086,709.208,0.016,234.589,708.507,0.019,213.219,706,0.014,200.233,708.907,0.016,195.81,705.62,0.034,204.582,690.201,0.028,212.896,636.762,0.015,212.849,599.741,0.016,210.201,566.407,0.017,207.382,533.965,0.024,207.133,510.199,0.012,206,497.36,0.016,207.37,489.518,0.038,211.387,489,0.016,221.369,492,0.017,243.987,492,0.019,276.66,491.445,0.011,310.165,492,0.017,342.619,492,0.022,371.448,491,0.012,391.665,491,0.015,400.331,489.223,0.025,405.022,488,0.016,406,490.333,0.022,406,495.444,0.013,405,500.963,0.01,404,522.924,0.017,404.513,560.28,0.018,406.288,584.123,0.024,409,601.681,0.012,411,612.084,0.037,405.457,613,0.037,386.828,615.038,0.013,357.847,613.713,0.02,324.896,608.987,0.014,301.882,605.235,0.015,290.9,603,0.147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,2787,MAUC
