@relation EntrenamientoP4MCPR
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
298,602,0,334.897,604,0.017,359.48,601.253,0.018,386.782,597.87,0.021,399.403,597,0.021,407.677,597,0.021,409.969,591.938,0.02,407.583,575.5,0.017,403.217,559.086,0.016,401,533.049,0.015,398.37,514.848,0.017,397,502.98,0.017,394.623,495.247,0.018,393.5,488,0.048,389.463,488,0.034,376.77,486.942,0.017,365.646,487,0.015,347.387,486,0.015,328.006,487.142,0.016,304.962,488.506,0.016,277.81,491.899,0.019,251.857,492,0.023,228.771,491.396,0.009,212.105,489.026,0.018,199.929,488,0.017,194.47,488.265,0.036,196.178,495.534,0.034,196,509.717,0.022,194.5,533,0.017,196.89,560.895,0.017,197,589.062,0.015,199.216,617.08,0.017,200,645.022,0.017,200,670.778,0.022,199,690.776,0.02,201.212,704.425,0.037,206.027,706,0.039,221.238,707,0.019,242.119,709.017,0.015,268.749,711.375,0.016,298.413,711,0.022,332.176,710,0.021,365.389,709,0.023,396.745,708,0.021,429.207,707,0.034,466.487,705.314,0.025,490.278,705,0.016,506.21,704,0.016,511.534,702.733,0.048,508,692.892,0.016,506.249,671.997,0.026,502.653,630.179,0.019,501,591.986,0.012,497.927,561.339,0.013,496,530.79,0.02,494.179,497.608,0.025,492,442.098,0.023,493,411.448,0.019,493.278,402.167,0.013,493,395.465,0.102,484.06,399.97,0.027,457.048,402,0.019,427.31,402.187,0.012,388.791,404.201,0.016,342.959,408.542,0.014,295.147,410.918,0.017,253.613,412,0.02,213.657,411,0.017,191.088,410,0.022,183,407.5,0.015,182.126,404.874,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,4407,MCPR
289,608,0,321.916,597.908,0.013,337.545,595.242,0.018,352.917,595,0.015,372.223,597.245,0.011,386.5,599.5,0.017,397.906,599.727,0.018,406.032,600,0.021,406.982,597.964,0.03,404.5,593,0.016,404,583.046,0.016,401.899,570.494,0.02,400.697,558.183,0.016,401.45,540.702,0.017,400,528.936,0.013,400,516.82,0.016,398.721,509.162,0.018,397.733,505.466,0.133,391.129,507,0.017,381.09,507,0.017,368.207,505.534,0.022,353.68,506,0.014,336.464,506,0.02,309.125,508.156,0.012,280.929,511.867,0.021,256.235,514.647,0.012,234.073,516.902,0.016,215.987,517.169,0.018,200.792,515.632,0.016,192.756,515,0.013,192,517.112,0.038,193,524.83,0.015,193,534.943,0.02,193,549.479,0.016,194,570.878,0.021,196.678,595.102,0.012,198.953,622.393,0.016,201.178,648.313,0.025,203.854,668.272,0.009,206.5,686,0.017,207.9,691.8,0.016,209.136,696.271,0.064,212.106,694,0.034,217.198,696,0.014,228.084,697.847,0.017,243.766,701.109,0.017,264.729,703.339,0.021,286.904,705,0.017,314.08,704.175,0.012,341.861,703.922,0.016,372.152,704,0.018,398.881,702.458,0.014,423.69,702,0.02,445.542,702,0.023,462.095,701,0.012,480,701,0.02,490.047,700.238,0.025,495.964,701,0.017,501.552,702.184,0.069,503,698.458,0.021,500.681,692.363,0.015,498.397,686.192,0.019,498.188,671.505,0.019,499.074,651.338,0.013,497.665,624.314,0.023,497.46,600.596,0.011,496.434,575.824,0.012,497.055,547.224,0.017,498.26,519.882,0.012,498,492.441,0.017,499.768,467.551,0.016,499,441.69,0.018,500,415.831,0.02,500.522,399.655,0.013,498.259,389.518,0.021,496.732,386.464,0.023,493.339,390.33,0.012,487.641,395.359,0.016,479.213,397.957,0.017,462.219,399,0.019,438.13,401.452,0.016,403.563,402,0.016,365.195,402.925,0.016,323.733,403,0.017,281.118,404,0.016,245.168,404,0.013,218.748,404,0.017,199.738,401.842,0.018,190.788,400.596,0.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,3798,MCPR
295,599,0,333.49,601,0.015,357.36,601,0.009,385.015,602,0.02,398.721,603,0.016,399.908,600.862,0.035,398,590.398,0.02,395.672,569.707,0.021,395.664,546.691,0.015,395,530.907,0.012,393.582,518.33,0.02,393.251,506.501,0.015,390.827,504,0.034,380.049,507,0.017,365.592,509,0.016,338.819,511.697,0.012,309.441,510.92,0.019,278.31,511,0.02,252.584,508.198,0.011,229.661,505.809,0.023,214,503.5,0.015,203.5,503,0.013,204.27,508.541,0.033,201.834,529.665,0.015,197.084,554.582,0.011,196,585.213,0.016,195,618.733,0.018,196.591,651.905,0.021,197,673.51,0.013,198.299,684.598,0.011,201.01,690.021,0.031,203.501,699.504,0.012,206.817,707.635,0.017,209.154,715.463,0.05,215.194,715.903,0.034,226.46,715.308,0.015,245.19,715,0.01,275.499,714,0.02,307.826,710.217,0.017,343.8,707,0.011,378,704.5,0.019,409.216,704,0.02,432.484,705.247,0.013,455.5,707.5,0.026,476.429,710.107,0.021,483.358,711,0.067,483,702.713,0.02,482,693.617,0.015,482,680.182,0.019,483.511,656.447,0.014,484,636.663,0.016,484,617.385,0.018,484,588.409,0.018,484,549.296,0.016,483.512,523.583,0.02,484.171,497.2,0.017,484.825,469.774,0.021,484.565,444.613,0.011,484.929,424.426,0.015,484,408.115,0.016,484,395.067,0.018,481.884,392,0.032,472.301,396.849,0.025,451.888,401,0.015,415.511,400.293,0.02,361.743,399.226,0.017,307.5,402.5,0.023,242.615,410.035,0.013,207.556,411,0.017,190.634,408.211,0.015,187.859,402.717,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,4340,MCPR
286,595,0,324.051,597,0.011,345.61,598,0.018,377.021,599,0.01,394.95,601.65,0.013,401,604.5,0.15,398,596,0.017,398,574.166,0.017,398.204,550.367,0.011,399,530.592,0.02,400,515.15,0.02,397.671,507.342,0.036,394.87,509.26,0.016,380.501,509.9,0.016,362.602,508.72,0.015,337.01,508.402,0.015,311.274,507.034,0.023,284.704,508,0.014,260.745,506.305,0.014,239.437,504.906,0.022,218.357,503.56,0.02,211.5,504,0.032,212.271,509.543,0.031,214,520.479,0.015,215,535.985,0.014,215,560.728,0.018,216,587.884,0.013,217,617.782,0.009,217.038,646.658,0.023,218.325,666.948,0.023,217,693.018,0.015,217,707.526,0.019,218,713.531,0.116,225,713,0.031,239.295,713,0.017,253.447,713,0.012,274.351,712,0.012,297.596,709.551,0.018,321.487,707,0.017,343.936,704.844,0.011,367,706,0.018,385.387,707.796,0.01,403.416,709,0.022,423.096,711.619,0.013,438.811,713.968,0.017,454.425,714,0.013,465.154,714,0.02,472.125,714,0.049,476.079,707.764,0.016,477.5,694.5,0.015,484.804,672.786,0.015,487,649.315,0.025,488.635,626.191,0.01,489.979,599.832,0.016,491,568.241,0.015,492,538.594,0.017,492,506.093,0.016,491,474.582,0.012,491,446.286,0.013,493.192,422.654,0.016,493,411,0.033,489.639,412,0.034,443.467,407.033,0.022,379.045,407,0.019,312.259,406,0.014,265.802,403.817,0.028,227.151,403,0.011,198.744,401.093,0.018,188.599,400,0.033,199.795,407.18,0.124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,4471,MCPR
293,590,0,335.402,594.425,0.017,358.157,595,0.011,385.429,595,0.007,397.5,595,0.016,404.063,596,0.135,400.962,577.426,0.02,401,546.698,0.016,399.874,530.495,0.019,399,515.5,0.017,398,509.2,0.024,392.866,508,0.037,384.039,507,0.015,373.756,505.939,0.016,364.779,506,0.017,349.143,506.771,0.017,333.323,508,0.015,311,511.5,0.016,289.978,512,0.024,269.582,514.236,0.02,252.66,513.415,0.016,239.141,513.972,0.016,224.394,513.697,0.012,216.628,513.686,0.017,211,515.5,0.016,209,519.533,0.034,204.724,534.104,0.018,200.382,552.325,0.017,198,574.97,0.021,198,601.653,0.022,200.692,629.153,0.008,203.084,655.59,0.016,205.428,678.567,0.012,208.793,691.378,0.027,211.206,702.413,0.081,218.495,701,0.014,237.007,700,0.016,261.237,698,0.01,290.825,696.417,0.012,325.393,695.055,0.016,358.232,694,0.012,389.993,695,0.019,415.535,696,0.017,439.015,697,0.036,467.116,698,0.015,479.184,698,0.019,487,698,0.034,493.215,695.785,0.027,491.56,687.119,0.014,490.827,675.692,0.02,491,660.19,0.017,491,639.746,0.011,490.087,618.607,0.021,492.291,592.964,0.012,493,566.649,0.013,494,538.997,0.018,494,504.193,0.018,495,479.003,0.014,494.769,453.149,0.016,495,432.373,0.015,494,415.223,0.018,494,406.339,0.018,492.733,398.466,0.051,485.469,402,0.031,471.554,399.639,0.021,446.337,398,0.016,412.008,401.249,0.021,373.037,403.596,0.012,339.52,406,0.017,307.015,408,0.016,278.885,408.686,0.017,253.429,406.929,0.02,233.495,404.582,0.012,216.596,402.199,0.017,203.552,402.149,0.017,204.195,397.805,0.116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,4933,MCPR
281,597,0,328.278,601.116,0.015,354.462,601,0.018,376.004,601,0.036,400.898,601.816,0.011,412.43,603,0.013,415,600.734,0.034,410.989,592.967,0.013,408.713,579.276,0.025,408,565.931,0.021,406.1,540.702,0.016,407,526.284,0.021,407,511.83,0.013,404.373,503.747,0.016,401.225,500.112,0.02,399.959,497.917,0.025,397.731,502.538,0.036,388.231,503.954,0.014,374.778,505,0.031,361.009,507,0.022,333.483,507.185,0.018,309.531,505.953,0.018,287.298,504.692,0.02,272,502.5,0.017,249.532,501.219,0.018,230.792,498.979,0.016,217.578,497.716,0.015,207.897,498,0.017,199.81,499,0.011,197.977,501.046,0.034,200,506.356,0.017,200,516.681,0.018,197.777,533.562,0.021,196.576,552.091,0.013,195.319,573.811,0.011,194,598.431,0.015,194,624.44,0.015,195.441,644.407,0.024,196,663.563,0.011,197,683.412,0.017,198,692.509,0.022,200,699.75,0.012,201.5,704,0.067,206.43,704,0.012,210.99,704,0.02,224.746,705,0.017,245.676,706,0.017,269.663,705,0.019,294.091,705,0.016,323.402,706.343,0.017,352.258,707.947,0.022,382.029,709,0.012,406.05,709,0.019,430.257,711,0.025,455.287,712,0.017,464.999,712,0.011,473.035,711,0.013,477.569,710.216,0.016,480.066,706.901,0.022,481,702.296,0.013,482.609,696.174,0.021,484.832,686.84,0.013,488.193,671.227,0.014,488,654.871,0.018,489,632.56,0.015,489.82,610.982,0.021,490.048,588.37,0.018,491,546.286,0.017,491.5,522.5,0.015,491,491.905,0.016,489.838,466.381,0.017,491,437.989,0.018,490.358,419.221,0.016,489.109,405.546,0.017,489,396.591,0.02,485.488,391.488,0.026,480.544,392,0.02,469.588,394.103,0.016,457.192,397.723,0.017,423.618,402.197,0.015,384.99,406.648,0.016,346.384,409.09,0.016,306.883,410.306,0.024,271.974,410,0.019,227.669,407.052,0.018,206.43,404.843,0.015,189.788,400.192,0.026,182.459,391.459,0.012,180.991,388.981,0.032,180,384.495,0.156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,3538,MCPR
288,612,0,326.641,612,0.012,349.644,609.396,0.015,375.434,607.13,0.02,403.145,606,0.019,415.857,607.309,0.017,422.5,608.5,0.069,417.674,602.512,0.021,413.159,598.159,0.021,407.703,584.811,0.011,404.082,568.577,0.022,402.872,548.721,0.011,402,530.122,0.016,400.371,510.594,0.016,398.119,502.239,0.026,396.448,497.896,0.02,393.498,495.749,0.051,390.458,500.542,0.018,383.927,503.358,0.022,375.172,504.566,0.016,362.478,506.789,0.016,341.592,510.091,0.012,316.779,513.325,0.016,294.71,514.561,0.02,270.284,516.772,0.011,245.573,518.047,0.019,224.96,515.745,0.009,209.434,512.981,0.016,195.206,511.241,0.017,189.019,510,0.011,187.894,512.213,0.031,190,522.832,0.013,190,536.14,0.017,190,557.285,0.015,189.305,577.647,0.016,189,600.561,0.017,189,627.477,0.021,190.824,647.121,0.013,193.356,663.745,0.017,196,681.428,0.021,198.144,690.432,0.023,202.531,695.531,0.031,206.011,697.005,0.031,213.221,697,0.013,221,697,0.016,243.427,696.157,0.014,267.331,693.898,0.021,288.83,693,0.019,320.066,691.424,0.016,347.95,691,0.015,374.81,692.081,0.02,401.657,693.295,0.013,425.128,694.57,0.018,442.422,696.803,0.018,457.29,698,0.018,466.165,699,0.015,477,700,0.021,484.231,701.744,0.017,488,702,0.013,491.285,702,0.036,492,696.194,0.016,489.758,690.516,0.022,487.073,679.218,0.016,488,661.341,0.016,487,641.428,0.017,484.785,622.283,0.016,482.547,599.017,0.018,481.321,575.167,0.015,480,547.806,0.021,479,521.508,0.015,479.439,496.614,0.017,480.658,472.424,0.017,484.811,448.131,0.013,487.153,428.775,0.021,489,410.85,0.015,489.633,404.1,0.015,490,400.462,0.066,486.625,405.688,0.034,483,406,0.09,438.897,406,0.021,409.878,406,0.012,378.83,407.441,0.018,332.585,408,0.018,300.292,408,0.015,267.883,408,0.013,225.663,409.487,0.013,206.383,409.762,0.019,188.711,408.904,0.032,187.963,403.556,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,3626,MCPR
294,604,0,337.097,603,0.016,359.9,603,0.01,384.103,602.983,0.017,397.202,603,0.021,403,603,0.029,403,598.297,0.019,402,587.088,0.017,401.426,570.132,0.017,400,554.22,0.017,400,535.835,0.021,400.218,514.874,0.02,400,504.654,0.016,396.786,497.893,0.031,388.88,500,0.016,376.569,500,0.014,365.556,500,0.016,348.031,499.828,0.021,327.609,500,0.022,302.412,502,0.016,274.606,504.899,0.015,247.938,506.295,0.014,226.091,506,0.016,211.987,505,0.021,198.866,504,0.019,192.466,504,0.049,195,517.018,0.015,196.056,535.226,0.02,195.554,563.457,0.021,198.803,592.23,0.016,201.147,621.466,0.013,205.057,648.227,0.023,208,671.205,0.015,208.734,690.063,0.021,208,703.515,0.016,211.134,704.933,0.051,221.382,702.206,0.014,241.351,703,0.021,263,703.5,0.017,288.212,703.912,0.019,316.293,701.713,0.02,347.262,702,0.017,376.117,703.017,0.019,402.153,703,0.02,425.614,703,0.016,446.481,704,0.025,468.5,703,0.017,484.692,702.077,0.017,491.633,700.683,0.03,495,696.911,0.023,494,685.701,0.026,495,646.208,0.015,497.472,613.904,0.014,499.098,581.021,0.016,500.478,545.743,0.017,498.175,508.929,0.015,495.792,476.126,0.022,493.442,447.533,0.012,493.075,422.601,0.016,493,406.091,0.018,490.5,400,0.052,481.979,406.511,0.025,468.56,408,0.012,454.068,407,0.014,425.623,407.597,0.016,382.51,410.964,0.024,337.76,412,0.014,296.415,413.685,0.017,256.158,414,0.018,222.634,414,0.017,199.432,413,0.016,187.714,410.857,0.035,187.466,403.067,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,4491,MCPR
294,608,0,320.861,601.428,0.013,335.333,601,0.015,349.967,601,0.016,372.766,600,0.015,390.176,600,0.022,401.941,600,0.01,412.006,601,0.014,416,601,0.098,414.729,596.459,0.026,414,591.254,0.01,414,580.668,0.02,413.678,567.935,0.015,413.057,553.455,0.016,412,535.881,0.02,410.185,522.555,0.011,407.336,511.345,0.02,406.114,504.342,0.01,404.923,500.77,0.119,400.821,503.089,0.033,393.661,501.887,0.02,383.352,502,0.013,369.062,502.588,0.013,349.93,502.807,0.017,328.465,504,0.016,303.176,506.314,0.021,272.592,507.534,0.012,246.767,509,0.02,222.865,511.012,0.009,209.333,509.722,0.021,197.505,510,0.011,191.472,510,0.013,188.93,510,0.068,190,515.428,0.014,190,525.951,0.02,188.8,536.8,0.013,189,554.526,0.019,189.687,572.499,0.012,191.917,595.583,0.019,194.213,616.561,0.016,197.908,632.725,0.016,201.337,651.347,0.017,202.906,663.529,0.017,204.174,677.043,0.024,204,685.989,0.034,207.008,688.004,0.048,211.536,690.268,0.031,220.855,693.964,0.017,245.842,699.711,0.019,267.869,703.572,0.018,307.607,706,0.019,338.738,703.789,0.021,372.393,701.574,0.015,403.494,700,0.016,430.975,700,0.02,465.075,700,0.02,486.5,700,0.015,496.983,700,0.017,503.066,700,0.098,500.029,693.059,0.019,497.767,687.3,0.014,496.512,672.605,0.018,496,653.328,0.019,495,627.675,0.011,493.787,601.23,0.018,495.448,574.182,0.016,497.689,543.659,0.022,500,512.084,0.022,502,482.165,0.019,500.5,443,0.017,501.218,422.96,0.016,500,405.85,0.015,496.737,389.42,0.019,493.733,378.465,0.049,488.686,381.105,0.033,477.966,385.719,0.03,444.26,391.057,0.016,416.359,394.331,0.013,383,394,0.011,338.33,396.815,0.017,290.067,401.093,0.012,241.32,407.954,0.022,202.916,410.534,0.013,166.925,409.116,0.016,159.697,407.849,0.045,169.086,411.943,0.123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,3787,MCPR
281,599,0,315.103,596.39,0.015,333.97,594.129,0.017,354.176,591.869,0.02,378.897,591,0.018,393.674,592.612,0.017,405.211,593.842,0.015,413.201,595.1,0.087,411.312,588.312,0.019,406.815,579.63,0.016,403.329,569.657,0.023,402,559.278,0.011,401.198,544.186,0.017,400,530.805,0.017,399,515.865,0.02,397.476,506.427,0.017,397,501.509,0.01,394.925,498.925,0.032,391,501,0.028,382.678,502,0.013,369.389,503,0.023,349.73,504,0.016,329.541,504,0.015,307.265,504,0.015,280.785,504,0.027,247.41,504,0.016,231.845,504,0.016,217.257,504,0.023,205.918,504,0.019,195.256,504,0.02,190,504,0.029,191.104,507.104,0.035,192,514.481,0.013,190.253,530.231,0.016,191.013,548.125,0.021,191.246,570.216,0.022,192,598.969,0.016,195.422,623.823,0.025,201.089,657.715,0.021,206.645,674.258,0.012,210.594,686.377,0.021,212.802,695.21,0.01,214,703.145,0.036,217.214,706.107,0.023,222.484,706,0.014,236.929,706,0.02,251.328,705.382,0.019,271.83,706,0.015,292.346,705,0.017,315.39,704.623,0.017,341.08,703.392,0.019,367.566,702.143,0.017,394.337,701,0.022,413.64,701.331,0.014,433.806,703,0.018,451.621,704.828,0.017,465.567,705,0.028,485.293,707,0.017,491.35,708,0.017,495,706.5,0.018,499.292,707,0.049,500.109,702.217,0.019,500,694.569,0.014,501.369,681.786,0.02,502,662.724,0.015,503.859,644.413,0.017,506.218,620.911,0.014,510.33,591.376,0.015,512,561.491,0.009,511.158,536.581,0.012,508.913,515.038,0.017,506.683,494.15,0.02,503.449,474.594,0.019,501.389,456.753,0.012,498.946,439.572,0.016,496.693,422.236,0.018,495.476,411.378,0.022,494.23,403.689,0.021,490.86,396.719,0.034,485.494,399.753,0.013,480.023,401,0.017,469.629,401,0.019,457.681,399.536,0.012,439.807,397.561,0.016,419.441,397,0.021,391.439,397,0.013,360.291,398.447,0.013,323.872,402.382,0.016,284.735,406.927,0.016,247.601,410.4,0.017,216.6,412.427,0.016,191.724,414,0.021,174.73,415,0.019,167,412.733,0.119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,3716,MCPR
