@relation EntrenamientoP4MICHC
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
158,400,0,217.043,389.998,0.016,254.903,390,0.019,290,390,0.021,334.237,386.502,0.015,367.067,383.996,0.024,401.28,384,0.014,432.991,385,0.022,453.203,385,0.013,462.943,385,0.017,470.561,385,0.019,477.394,387.465,0.031,482.882,389.941,0.019,485.209,392.209,0.032,491.855,395.618,0.018,500.595,398.899,0.017,506.233,403.233,0.049,506,410.625,0.032,504.76,432.919,0.014,502.009,449.954,0.017,497.555,471.781,0.016,494.016,497.806,0.016,490.789,522.743,0.022,488.101,545.841,0.011,487,570.221,0.017,487,594.407,0.025,486.822,615.957,0.016,487.427,632.415,0.015,488.652,651.219,0.021,489,663.448,0.014,488,676.713,0.016,487,685.194,0.024,486,689.096,0.036,487,694,0.023,489.069,700.277,0.023,491.42,709.841,0.021,487.936,708.936,0.023,481.653,707.609,0.014,465.022,707.664,0.016,437.328,708,0.017,398.715,709,0.016,357.137,706.586,0.018,312.739,706,0.014,275.881,709.624,0.017,248.669,713.242,0.018,232.073,714,0.017,222,715,0.019,218,715,0.036,210.419,714.806,0.013,203.625,714,0.02,195.269,715.683,0.016,189.5,716,0.085,190,708.427,0.012,190,694.655,0.02,190,680.711,0.014,190,656.664,0.014,187.373,635.107,0.027,187,604.24,0.02,187,583.156,0.014,185.524,559.24,0.016,184,538.563,0.017,182.038,524.268,0.017,182.217,509.7,0.021,183,501.735,0.027,188.139,501,0.021,200.81,501,0.015,219.5,502,0.021,248.782,502,0.012,280.504,502,0.016,313.692,503,0.019,341.116,501.488,0.016,362.04,501,0.021,371.985,500,0.013,380.954,500,0.017,391,501.5,0.017,393.537,501,0.071,394.432,506.295,0.015,396,518.534,0.024,397.935,536.548,0.019,398.179,560.252,0.015,399,577.383,0.018,400,589.593,0.015,400,594.812,0.014,400,597.147,0.013,393.049,600.475,0.024,373.033,601.276,0.013,346.09,600,0.013,315.375,600.242,0.017,292.839,605.408,0.019,277.158,611.131,0.012,270.073,613,0.021,270.214,611.893,0.178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,3877,MICHC
198,402,0,251.116,409.92,0.019,292.134,410,0.02,342.979,412.635,0.021,381.346,414.029,0.015,408.878,412.589,0.021,431.906,411.219,0.015,453.706,411,0.019,464.924,410.519,0.015,474.488,410,0.016,482.381,409,0.024,488.355,410.178,0.101,488,420.55,0.017,490.249,440.997,0.01,492.632,463.424,0.029,494.136,498.358,0.016,494,529.448,0.017,495,560.445,0.024,494.696,593.131,0.016,497,615.45,0.019,498.058,635.35,0.014,498,653.626,0.011,497,665.309,0.018,497,674.332,0.033,490.241,678.253,0.032,479.073,683,0.016,456.998,683,0.023,420.463,682,0.016,379.597,684.031,0.014,338.881,687.437,0.019,305.755,689.781,0.015,273.688,693.164,0.02,249.341,694.532,0.017,236.362,695,0.018,224.056,693.764,0.017,216.827,694,0.012,210.048,696,0.031,201.077,699.461,0.016,194.468,702.266,0.019,192.244,693.978,0.02,192,678.014,0.014,190.495,651.048,0.015,190.893,618.96,0.016,191,590.513,0.019,190,560.773,0.016,189.038,533.23,0.02,188,512.445,0.018,188,503.463,0.12,200.483,504,0.017,220,503,0.02,256.671,502.133,0.012,285.638,499.795,0.016,327.439,498.603,0.022,364.764,500.974,0.016,390.215,500.696,0.012,398.391,496.609,0.02,397.728,500.544,0.035,397.874,506.251,0.013,397,519,0.024,396,546.003,0.016,396,568.023,0.018,398.724,592.346,0.009,400,607.331,0.022,399,616.885,0.036,392.953,618.984,0.016,368.118,614.569,0.022,340.312,610,0.013,306.446,611.155,0.016,283.545,616.982,0.014,274.234,621,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,4360,MICHC
177,397,0,229.713,397,0.016,256.106,398,0.021,287.5,400.5,0.02,314.974,400.996,0.016,336.982,400.33,0.012,358.926,401,0.019,379.675,404.096,0.017,397.697,405,0.029,414.851,402.191,0.016,430.645,402,0.016,443.5,400,0.022,450,397.5,0.016,455.355,402.355,0.1,461.535,399.733,0.031,470.873,398,0.029,477.116,397,0.048,481.025,405.076,0.016,485.71,415.064,0.017,489.747,437.481,0.016,493.103,455.724,0.017,492.508,475.953,0.016,494,496.869,0.029,493,530.084,0.017,491,556.015,0.022,491,584.494,0.015,490,609.445,0.017,490,628.311,0.017,490,642.565,0.016,489,652,0.016,489,659.952,0.032,488.475,672.899,0.013,490,683.655,0.02,486.936,686,0.032,474.614,687.898,0.023,441.035,689,0.015,408.791,690.746,0.013,373.536,693,0.025,340.738,694.474,0.012,299.342,696.951,0.014,272.631,699.338,0.018,254.941,701,0.018,242.862,698.954,0.012,227.947,698,0.017,215.641,698.786,0.016,207.656,699,0.033,201.84,702.08,0.1,201,691.112,0.013,199.32,673.56,0.013,193.89,648.559,0.017,187.145,618.008,0.016,184.261,586.349,0.024,182.862,561.309,0.016,181.499,536.003,0.017,181.89,521.438,0.017,183.236,511.292,0.036,188.269,506.731,0.036,200.828,504.834,0.011,218.831,503,0.016,249.972,502,0.015,282.113,502,0.015,317.103,500.39,0.015,351.491,501,0.015,388.022,502,0.029,413.596,502.7,0.011,425.5,502,0.018,418.546,505.303,0.02,406.289,538.111,0.024,407.224,572.79,0.015,408,596.2,0.016,404.972,601.028,0.065,393.254,596.085,0.017,367.658,596,0.019,339.865,597.642,0.016,310.159,599.982,0.016,294.552,601,0.016,287,602,0.247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,5373,MICHC
191,394,0,249.328,398.955,0.025,277.311,401.193,0.013,303.133,401,0.018,332.508,398.623,0.023,351.253,396.083,0.011,370.462,394,0.013,391.231,391.577,0.016,407.293,392,0.022,425.369,392,0.013,444.574,393,0.019,457.975,394,0.024,470.067,396,0.01,476.804,396.902,0.016,479.119,397,0.038,480.931,402.862,0.013,483.706,410.825,0.019,486.969,423.751,0.016,491.438,441.753,0.02,498.281,460.269,0.016,502.408,482.038,0.019,503.938,506.375,0.014,503,534.493,0.028,503.401,563.413,0.022,502.218,607.161,0.019,501,633.274,0.016,500,658.981,0.018,499.488,677.584,0.024,497.269,688.192,0.017,493.893,698.321,0.035,491.978,698.989,0.117,479.778,695.911,0.021,456.857,691.714,0.012,426.5,689.5,0.016,397.964,689.772,0.018,365.881,691.008,0.013,334.158,693.274,0.016,306.251,695.528,0.016,281.107,696.741,0.025,255.35,700.093,0.017,244.638,702.34,0.018,235.05,704.59,0.019,224.628,706.843,0.011,217.828,707,0.013,211.339,707.67,0.01,206.858,707,0.011,203.471,708.265,0.067,205,700.091,0.02,205,690.415,0.027,204,678.738,0.012,202.615,657.532,0.016,202.364,633.728,0.018,201,608.68,0.02,199,583.615,0.014,196.271,556.72,0.017,194.5,529,0.014,192.164,507.314,0.027,193.064,498.808,0.011,196.267,496,0.032,199.066,500.066,0.016,210.876,503.313,0.017,228.581,505,0.015,251.2,505,0.017,276.395,503.956,0.017,300.297,504,0.017,322.5,501.5,0.021,341.148,499.265,0.016,366.751,497,0.016,380.599,497,0.02,395.307,500.153,0.015,403.507,502.836,0.01,410,504.5,0.017,409,509.834,0.026,406.854,519.879,0.013,406,534.064,0.013,407.639,550.753,0.023,408,565.466,0.014,407.865,575.673,0.01,409,586.564,0.017,410,592.228,0.019,410,595.534,0.023,405.637,596,0.02,397.075,597,0.018,379.684,597,0.015,359.38,600.155,0.016,334.717,604.985,0.015,318,609,0.017,303.976,611,0.014,290.69,611,0.017,282.116,611,0.013,278.47,613.265,0.139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,3705,MICHC
177,415,0,217.337,414,0.013,238.722,414,0.022,261.127,414,0.017,292.143,414.439,0.011,316.554,416.373,0.02,339.537,417,0.016,365.159,418,0.019,385.492,418,0.011,403.266,418,0.017,423.512,418,0.015,436.893,417,0.023,451.485,417,0.01,460.521,417,0.017,472.378,418,0.015,481.49,416.878,0.019,486.795,417,0.15,486,426.362,0.016,486,439.591,0.015,487,460.086,0.017,489.422,479.373,0.023,490.656,505.562,0.011,492,532.191,0.018,493,560.109,0.016,494,581.453,0.02,495.603,605.63,0.02,496,637.731,0.019,496,663.996,0.022,497,678.872,0.019,495.059,688.882,0.014,495,691.202,0.031,491.659,693,0.016,485.287,694,0.022,468.405,695,0.015,440.027,696,0.018,402.587,695.347,0.011,364.503,693.1,0.017,325.454,694.159,0.023,290.061,696.371,0.012,260.933,698.621,0.017,240.089,700.864,0.016,218.96,702,0.019,201.091,701,0.017,189.587,699.397,0.021,184.316,698,0.016,178.814,697,0.02,177,694.643,0.02,178.799,685.804,0.015,180.058,669.538,0.021,182.256,653.209,0.013,182,628,0.023,180,604.12,0.012,176.969,579.624,0.021,174.764,557.645,0.016,172.501,535.505,0.018,171,518.251,0.015,171.982,506.072,0.014,175.395,501.802,0.015,181.455,500,0.021,189.415,499,0.014,208.513,499.951,0.015,227.898,501,0.015,253.089,501,0.017,280.744,500.326,0.017,307.045,500,0.014,336.317,500,0.022,385.078,500.643,0.013,400.489,501,0.018,409.453,499.849,0.019,412.179,502.357,0.02,408.293,512.267,0.02,403.928,526.431,0.012,402,542.009,0.023,401,563.026,0.011,401,581.354,0.017,401,595.374,0.058,399.5,610,0.037,392.957,613.014,0.013,375.452,610.434,0.017,353.517,606.919,0.019,328.92,604,0.013,305.955,601.994,0.016,292.426,603.262,0.016,293.022,599.967,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,3356,MICHC
179,400,0,222.232,399,0.014,247.57,399,0.023,271.776,398,0.013,306.742,397,0.017,333.144,397,0.024,359.647,398.165,0.009,386.564,399,0.015,406.973,400,0.016,426.256,400,0.016,444.386,398.827,0.021,458.638,399.44,0.05,486.426,398,0.015,494.582,397,0.017,502.188,397,0.017,504.107,400.214,0.022,504,404.71,0.025,504,411.246,0.011,505,422.961,0.02,508.04,439.201,0.011,509,455.91,0.019,510.5,476.5,0.022,510.768,499.678,0.026,508.736,536.586,0.012,507,565.136,0.017,507,590.701,0.02,506,616.394,0.019,503.758,638.208,0.023,498.549,668.056,0.017,494.523,684.431,0.016,491.035,694.911,0.018,488.768,701.696,0.017,487.538,709.387,0.02,487,713,0.169,481.99,711.997,0.014,469.385,710,0.017,452.5,708.5,0.016,427.712,709.753,0.027,395.292,710.964,0.013,359.383,708.759,0.018,317,704,0.021,278.791,698.599,0.011,247.341,696.028,0.017,222.198,693.784,0.016,211.641,694,0.022,203.924,695,0.012,199.086,696,0.019,195.71,696,0.034,193.104,692.207,0.022,196.374,661.696,0.024,198.971,633.316,0.013,199,609.636,0.02,200.467,588.798,0.016,197.5,558,0.024,192.156,535.624,0.013,191,520.726,0.015,189.554,507.769,0.021,190,502.705,0.011,190,499.459,0.052,193.179,503.089,0.021,231.097,502,0.028,271.625,502,0.018,298.682,502,0.022,336.283,501.08,0.013,363.521,501,0.013,383.821,500.425,0.013,395.335,501,0.016,399,501,0.169,398,507.436,0.013,399.487,514.949,0.017,399,529.358,0.017,398.033,541.767,0.019,397,559.93,0.012,397,571.725,0.01,397,585.197,0.018,397.951,592.901,0.016,398.191,597.381,0.035,398,601.356,0.082,390.01,599,0.021,370.014,599,0.026,336.255,603.093,0.019,312.119,611.44,0.017,306.558,615.442,0.023,303.463,617.268,0.169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,4226,MICHC
186,385,0,227.767,389.897,0.014,250.69,387.831,0.019,274.283,385.572,0.016,315.953,386,0.018,346.174,386.86,0.014,376.422,387,0.019,403.644,387,0.013,428.848,386,0.021,449.645,386.831,0.016,462.577,388.115,0.022,474.571,389,0.016,478,391.5,0.036,479.925,397.775,0.01,481.188,404.752,0.016,482,411.351,0.015,484.668,418.671,0.02,487.791,435.059,0.011,489.175,450.052,0.019,492.821,474.106,0.016,496.255,499.531,0.019,500.717,527.021,0.02,506.238,553.545,0.025,510.91,590.003,0.015,513,611.012,0.013,513,631.846,0.016,513,651.101,0.019,511,665.879,0.017,507.6,679.901,0.02,506.065,687.805,0.011,503.792,689.104,0.119,499.725,691.137,0.019,494.189,693.27,0.032,489.892,696.108,0.036,482.232,696,0.03,457.363,693,0.012,428.332,692,0.012,394.311,692.313,0.01,359.856,693.571,0.019,324.509,693,0.015,293.147,693,0.017,266.089,693.291,0.018,241.733,692.527,0.015,221.071,693.77,0.018,207.839,695,0.016,195.735,695,0.017,189.517,696,0.015,186.469,697.266,0.031,181.771,698.115,0.031,182.927,695.145,0.03,186.351,689.474,0.012,190.87,679.826,0.023,193.647,659.473,0.011,193.087,630.311,0.014,189.651,598.208,0.018,188.571,566.137,0.022,191.734,530.397,0.016,195.052,506.742,0.023,198.464,495.841,0.013,202.992,487.511,0.02,207.801,485.733,0.036,212.282,488.188,0.013,220.752,489.917,0.015,239.575,491.689,0.017,262.433,492.953,0.017,290.302,495.192,0.022,322.536,497,0.014,351.526,497,0.016,375.463,496.067,0.019,391.786,493.685,0.014,398.878,492,0.016,403.319,492.66,0.017,405.269,495.538,0.031,406,499.498,0.035,406,504.701,0.015,404.907,512.37,0.015,403.648,527.461,0.01,402.401,542.793,0.012,401.147,562.822,0.017,399.9,574.499,0.016,400,586.604,0.015,398.5,593.5,0.031,396.878,594,0.024,388.335,595,0.015,371.815,596,0.017,351.629,598.137,0.01,332.169,599.404,0.016,314.356,600.607,0.017,307.301,601,0.016,304.893,602.054,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,3784,MICHC
182,411,0,226.441,406.966,0.015,257.89,404.674,0.021,291.202,403,0.018,342.203,403,0.02,375.86,403,0.011,408.014,406.274,0.022,437.807,408,0.014,456.056,409,0.021,463.911,409,0.014,475.183,409.237,0.022,485.452,411.968,0.016,491.398,415,0.016,492,417.119,0.052,488.448,426.88,0.011,485.921,439.475,0.018,482.699,450.805,0.014,481.476,472.669,0.022,479,497.48,0.013,477.967,523.461,0.021,482.477,550.102,0.014,488,577.5,0.018,490.74,601.916,0.016,490.989,621.086,0.017,492.251,631.254,0.017,494.934,643.801,0.016,494,655.133,0.027,495,662.864,0.021,495,672.585,0.013,493.557,680.772,0.016,492.318,686.364,0.019,491.076,690.849,0.015,490,695.371,0.037,485.734,697.133,0.032,460.333,691.2,0.022,437.585,688.508,0.017,408.562,688,0.019,371.503,688,0.014,335.567,688,0.021,302.047,689.435,0.014,272.148,688.286,0.018,249.228,688,0.043,234.802,689,0.011,225.849,690,0.023,219.663,691,0.011,213.922,692,0.022,202.65,693,0.024,192.983,692,0.021,189.463,692,0.119,191.949,684.152,0.018,193.25,668.997,0.016,194.921,651.395,0.017,197.708,627.915,0.014,199.955,603.546,0.023,202.201,579.786,0.02,204,554.949,0.013,203.318,531.548,0.019,201.086,513.601,0.017,198.828,501.313,0.019,197.601,496.203,0.068,206.461,499,0.026,218.432,501.347,0.015,241.711,503,0.021,270.631,503.842,0.019,318.059,506.235,0.016,347.268,507.479,0.021,372.509,508.689,0.012,389.671,509.945,0.017,396.313,510,0.085,398.037,515.111,0.025,399,525.291,0.012,400,538.511,0.011,399.133,558.669,0.016,399,573.892,0.016,400,593.974,0.016,400,601.433,0.016,398.731,605.538,0.03,393.295,606,0.018,371.223,603.403,0.015,345.705,603,0.017,318.046,604.068,0.017,299.826,605.311,0.019,292.5,606,0.087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,3482,MICHC
198,402,0,238.082,406.68,0.016,267.278,409.107,0.01,293.267,409,0.02,329.691,409.592,0.017,360.36,410.835,0.017,390.817,412,0.018,410.935,412,0.015,430.621,412,0.016,451.008,411,0.018,466.286,411,0.018,484.029,409.71,0.018,490.5,408.5,0.015,493.532,407.734,0.034,494,413.489,0.017,493.524,425.33,0.015,491.266,441.401,0.019,490,460.004,0.021,489.21,480.725,0.011,488.523,507.246,0.02,489,530.599,0.009,489,557.105,0.023,490.173,579.899,0.016,491.444,602.444,0.018,492,624.392,0.011,492.937,643.372,0.016,493,659.109,0.017,493,670.507,0.016,493,680.622,0.019,492,687.682,0.023,491,694.545,0.016,490,700,0.03,487,700,0.027,478.192,699,0.01,458.738,699,0.016,431.158,699,0.02,396.92,700,0.021,363.343,701.166,0.011,327.784,699.549,0.022,294.199,703.653,0.015,265.957,707.826,0.011,243.68,712.165,0.025,223.268,713,0.015,210.747,712,0.015,198.573,711,0.018,189.464,708.866,0.017,183.822,708,0.027,180,708,0.024,175,704.5,0.016,173.769,696.075,0.016,173,686.084,0.017,174,665.956,0.016,175.958,645.466,0.016,179.438,623.247,0.023,180.438,595.056,0.025,182,556.159,0.016,184.045,533.682,0.023,186.413,504.699,0.019,190.272,501.728,0.013,195.981,499,0.034,209.741,500,0.013,221.347,501.621,0.012,242.779,502.864,0.019,269.799,503,0.02,314.482,504,0.018,339.684,504,0.016,362.533,503,0.016,378.636,500.795,0.017,395.56,501,0.015,400.977,502,0.013,404.544,503.272,0.05,401.003,508.495,0.034,396.014,532.918,0.016,394,548.134,0.022,394,566.466,0.016,394.73,580.109,0.021,395,594.308,0.02,392.867,598.266,0.033,382.812,600,0.015,369.454,601.309,0.011,357,602,0.017,338.44,604,0.016,321.596,602.955,0.016,303.043,603,0.015,287.325,605.525,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,3287,MICHC
196,393,0,228.2,390.2,0.015,243.442,390,0.023,259.614,391,0.011,288.642,393.564,0.02,310.637,394.737,0.017,333.381,397.042,0.017,356.029,399.275,0.018,377.896,402,0.015,398.812,403.802,0.017,416.136,401.983,0.016,430.471,402,0.018,444.5,400.5,0.018,454.881,402,0.016,462.874,403,0.019,472.945,403,0.016,482.297,405.459,0.02,485.373,405.686,0.016,489,406,0.051,490,408.268,0.032,491,414.292,0.018,493.414,426.484,0.016,494.612,440.062,0.029,497.005,468.945,0.019,500.515,493.09,0.018,504,520,0.025,506,549.849,0.018,506,594.419,0.016,504.656,622.479,0.018,504.5,648.5,0.026,506.186,671.956,0.027,504.639,694.903,0.024,501.152,700.424,0.011,498.733,703.534,0.054,496.878,707.244,0.101,491.269,709,0.025,477.666,707.296,0.015,454.312,706,0.02,423.155,706,0.012,386.745,706.453,0.015,350.568,708,0.021,310.747,708,0.023,270.016,706.824,0.011,235.676,706,0.016,210.61,706,0.016,193.461,706,0.023,184.736,706.132,0.013,180.197,707,0.012,176.466,708.267,0.153,182.839,698.215,0.028,187,680.458,0.014,188,661.381,0.02,188,641.284,0.011,188,617.3,0.021,185.722,590.941,0.014,184,566.628,0.015,183,545.46,0.015,182,528.889,0.022,180.268,513.929,0.012,181,506.5,0.022,183.265,504.868,0.069,189.787,504.303,0.013,205.672,503.036,0.018,223.599,501.814,0.026,266.748,498.447,0.012,291.658,495.39,0.014,311.502,493.928,0.017,329.087,491.702,0.019,338,492,0.02,347.848,491,0.016,359.145,491,0.031,372.081,490,0.018,380.464,490,0.012,388.503,491,0.025,394.337,493.112,0.026,398.177,495.089,0.117,398,500.047,0.012,396.687,508.253,0.021,397,524.166,0.017,395.105,547.16,0.017,395,564.992,0.018,394,581.269,0.019,394,595.474,0.01,394,604.552,0.018,394,612.343,0.043,391.986,612.986,0.022,384.679,608.339,0.015,367.508,604.418,0.018,348.939,604.806,0.016,330.556,605,0.025,308.305,608.565,0.012,296.5,610,0.016,293,612.5,0.153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,4347,MICHC
