@relation EntrenamientoP4MNPB
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
202,408,0,262.349,403.696,0.013,291.844,404,0.014,331.342,401.924,0.016,360.979,399.602,0.016,385.638,399.262,0.017,408.724,399,0.015,433.32,399,0.016,454.367,400.873,0.02,468.873,403.218,0.02,484.783,405,0.02,490.55,407.275,0.021,496.357,408,0.034,502.357,412.357,0.031,505.121,418.362,0.014,506,436.367,0.015,505,453.665,0.017,503,475.714,0.019,501,502.449,0.021,500,530.297,0.011,499.56,560.278,0.02,501.435,586.393,0.023,500.852,612.332,0.012,501,633.009,0.016,501,652.575,0.024,503,660.473,0.017,503,668.436,0.016,503,680.387,0.024,502,692.042,0.02,502,700.118,0.016,503.388,712.55,0.028,497.919,716.041,0.066,484.936,717,0.017,462.441,715.634,0.022,437.557,711.852,0.014,414.228,708,0.026,383.196,701.563,0.026,340.604,698,0.019,309.092,696,0.012,280.321,694.332,0.017,254.965,694.004,0.028,231.457,692,0.014,218.403,692,0.018,209.246,692,0.016,200.777,692.612,0.015,194.192,694.269,0.022,191,691.462,0.019,191,682.788,0.02,189,667.347,0.015,190,643.699,0.02,191.502,615.981,0.014,193.861,589.834,0.017,197.244,562.046,0.019,201,539.135,0.021,202.957,526.216,0.012,203,515.046,0.018,204.5,508,0.047,209.421,504.789,0.036,225.979,505,0.017,251.717,505,0.017,281.787,504,0.017,315.256,504,0.016,345.881,504,0.015,371.93,504,0.017,390.7,505,0.013,399.075,507,0.019,404.042,510.042,0.036,406,519.876,0.019,407,533.034,0.011,410.762,554.047,0.019,413.719,579.017,0.016,413.766,594.702,0.018,413.399,602.803,0.019,412,610.5,0.018,404.671,613.664,0.025,373.76,616.845,0.015,348.776,618.472,0.016,323.278,617.858,0.017,300.63,615,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,4812,MNPB
202,413,0,245.642,412,0.017,270.691,412,0.019,297.201,411.543,0.02,317.674,412,0.02,339.016,412,0.021,365,413,0.021,391.044,413,0.015,415.665,413,0.024,438.003,413,0.02,457.977,413,0.025,474.877,412,0.017,485.405,412,0.016,488,416.433,0.034,490.956,425.826,0.021,494.287,440.147,0.015,496,459.215,0.016,496,481.416,0.021,497,506.64,0.021,496,533.515,0.014,495,560.773,0.01,495.493,591.424,0.021,494.145,621.545,0.016,495.185,650.297,0.013,496.578,673.626,0.021,496.936,690.742,0.012,500.307,701.921,0.019,501,708,0.025,501.862,714.275,0.07,480.475,712.588,0.018,462.114,713,0.019,447.439,714.312,0.013,427.99,715,0.019,398.522,717.06,0.021,367.77,718.404,0.018,333.314,720,0.013,298.744,722,0.027,257.5,721.5,0.016,236.261,722.037,0.013,217.745,721,0.019,203.44,719,0.021,191.771,717,0.033,188,708.18,0.02,188,699.128,0.014,189.626,684.498,0.011,191.029,664.795,0.023,194.72,640.121,0.012,197.275,616.197,0.019,200,590.392,0.018,200,562.741,0.018,200.811,540.136,0.013,200.794,527.382,0.023,202,513.382,0.012,203.149,510,0.021,211.691,509.103,0.017,228.81,504.741,0.017,254.752,502.406,0.018,283.93,501,0.021,313.702,500,0.013,337.487,501,0.018,358.191,502,0.014,372.776,502,0.016,386.303,503,0.015,394.27,505.135,0.029,394,514.917,0.022,395.36,531.802,0.019,396.714,553.996,0.021,398,574.517,0.013,401,593.703,0.013,401,604.636,0.018,399.904,609.193,0.133,388.986,608.499,0.019,361.838,610,0.017,334.848,609.77,0.022,308.566,608.391,0.017,300,605.5,0.142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,4507,MNPB
205,409,0,249.742,410.638,0.012,280.147,412,0.014,321.839,414,0.016,352.891,415,0.014,382.142,413.886,0.015,405.73,413.545,0.014,432.705,413.185,0.015,455.917,412,0.016,472,411,0.018,483.729,411,0.016,488.268,413.268,0.033,492.18,417.36,0.017,494.714,427.855,0.016,498.259,442.518,0.023,501.477,469.337,0.017,504.836,499.528,0.018,505,534.443,0.024,506.551,566.856,0.017,507.924,599.389,0.017,510,630.122,0.024,512.767,663.604,0.021,513,682.806,0.016,514,691.449,0.012,512.16,703.358,0.023,511,714.683,0.032,507.974,720.013,0.036,490.283,722,0.02,452.521,723,0.017,419.779,720,0.022,369.277,718.128,0.016,333.591,717,0.017,302.223,716,0.019,262.92,715,0.018,243.621,714,0.017,226.894,714.179,0.017,217.583,714,0.017,209.868,713,0.018,203.911,709.911,0.036,200,697.465,0.014,202.004,681.978,0.022,200.283,655.848,0.012,197.269,629.155,0.017,196.11,602.123,0.022,194.449,574.955,0.013,194,549.492,0.017,193.819,528.094,0.016,193,511,0.015,193,502,0.023,198.352,503.176,0.033,221.514,504,0.02,254.626,504,0.019,291.913,504,0.016,324.028,502.664,0.03,347.166,503,0.018,364.845,504,0.02,377.213,505,0.014,389.032,507.011,0.012,396.534,511.534,0.031,397.996,523.985,0.017,400.398,538.593,0.02,403,563.633,0.015,404,588.726,0.016,404,601.782,0.016,404,609,0.102,379.906,611.799,0.017,351.577,617.808,0.019,331.847,618.63,0.02,315.03,619,0.018,307.641,617.82,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,4260,MNPB
182,401,0,233.955,404.313,0.016,261.5,404,0.016,285.525,405,0.018,318.553,407.055,0.02,338.808,407,0.017,361.5,407,0.013,375.883,407,0.017,394.988,407,0.015,409.708,407,0.018,427.373,407,0.015,444.333,407,0.019,458.79,407,0.015,469.137,407.227,0.01,481.351,407,0.022,486.345,407.672,0.014,489.542,409.271,0.014,492.172,411.343,0.066,493.068,417.272,0.02,495.367,429.203,0.02,496,441.398,0.013,496.857,459.569,0.02,496,478.921,0.017,493.307,504.81,0.015,494,527.5,0.02,493.813,548.758,0.015,493,569.617,0.017,494,594.67,0.016,494,614.9,0.016,493.208,633.332,0.021,491.907,654.421,0.017,492,667.83,0.018,492,686,0.017,492,693.784,0.015,492,702.091,0.02,493,707.446,0.03,493,711.536,0.049,489.673,713,0.051,461.519,712,0.014,435.475,709.806,0.016,413.468,707.547,0.024,390.477,706.348,0.017,360.821,707,0.013,340.414,708.287,0.016,323.128,708.541,0.02,307.438,709.76,0.013,292.897,712.015,0.026,279.828,712.234,0.02,261.772,714,0.029,247.152,714.949,0.016,238.115,715,0.022,228.191,714.548,0.013,219.912,713,0.02,212.226,712.075,0.012,204.449,710.816,0.021,200.59,707.181,0.013,198.328,701.983,0.013,197.075,697.151,0.019,196.863,691.726,0.011,195.618,681.327,0.017,196.633,661.304,0.012,198,639.386,0.021,200,618.957,0.014,201,595.903,0.023,200.585,576.565,0.011,201.853,559.026,0.013,201.775,539.099,0.017,205.354,525.875,0.025,205,511.978,0.016,203.097,507.097,0.017,207.265,508.132,0.033,215.62,509,0.021,240.381,508,0.015,263.143,506.714,0.02,288.105,505,0.013,315.232,504,0.016,339.858,503,0.019,362.607,502,0.012,376.996,502,0.024,390.202,503,0.013,395,503,0.015,397.132,506.265,0.067,395.925,511.226,0.032,396,526.15,0.014,396,538.866,0.017,397,556.395,0.017,396.721,568.397,0.019,396,584.596,0.015,394.256,595.977,0.02,393.008,605.968,0.014,392,612.489,0.03,388.98,613.99,0.037,371.673,612.567,0.02,349.355,611,0.013,325.672,610,0.009,305.637,610,0.019,294.868,610.426,0.021,288.699,611,0.012,0,0,0,0,0,0,196,3949,MNPB
197,407,0,246.984,402,0.015,270.388,400.802,0.017,295.5,403.5,0.014,312.636,402,0.017,333.326,403,0.015,352.946,404,0.016,373.941,404.988,0.014,398.405,406.401,0.015,422.129,406.267,0.02,445.751,406,0.016,463.672,405,0.013,478.17,406,0.016,485.419,406,0.035,492.101,407,0.02,499,408,0.029,502,413.357,0.033,501,425.964,0.02,500.444,442.224,0.015,499.942,462.534,0.02,500,479.764,0.019,500.664,498.654,0.019,502,511.159,0.02,503,529.628,0.019,502,542.765,0.017,502,563.619,0.014,501,579.5,0.021,501,599.384,0.016,500,618.939,0.027,499.314,640.114,0.016,501.04,657.161,0.011,502,672.166,0.017,502.233,688.534,0.018,502,705.064,0.02,502,714.534,0.084,495.892,710.892,0.033,486.248,709,0.013,463.726,708.675,0.017,444.5,709,0.016,421.978,708,0.016,398.955,707,0.017,380.223,705,0.017,363.446,704,0.018,339.634,703.481,0.017,323.211,704,0.011,306.32,704,0.017,286.071,705,0.016,271.256,706.949,0.022,250.897,707.7,0.018,235.369,709.662,0.016,218.835,707.959,0.018,208.805,708,0.02,197.028,708.257,0.011,190.865,705.933,0.068,191,698.793,0.038,191,688.582,0.018,189.818,677.272,0.017,193,660,0.015,191,642.44,0.017,192,626.669,0.017,192.629,611.855,0.015,196,594.978,0.017,196,578.176,0.017,199,560.185,0.017,200,541.686,0.013,200,529.649,0.017,200.779,517.663,0.013,201,508.639,0.036,205.159,505,0.033,213.976,505,0.015,223.469,505,0.017,243.249,502.292,0.015,265.589,501,0.017,288.945,498,0.021,312.764,497,0.019,331.732,496.711,0.018,345.619,497,0.024,361.075,496.981,0.01,373.189,497,0.022,383.204,498,0.013,391.3,498,0.015,397.894,499.447,0.013,404.045,502.022,0.033,408.5,508,0.028,409,522.727,0.014,410,537.671,0.016,409,557.46,0.024,410.258,572.545,0.015,412,591.86,0.028,413,602.202,0.036,410,606.039,0.085,404.74,610.13,0.035,382.42,612,0.027,345.82,611.536,0.013,323.429,608.357,0.014,307.42,608,0.02,302.893,608.213,0.153,0,0,0,0,0,0,0,0,0,289,6310,MNPB
208,409,0,252.019,406,0.016,279.878,406,0.014,312.841,408,0.016,339.439,409,0.016,368.742,410,0.019,393.357,411.795,0.017,417.336,413.167,0.018,439.5,413,0.017,460.591,413.898,0.017,474.927,412.768,0.017,483,413,0.035,488.011,413,0.05,494.014,414.007,0.067,493.941,420.118,0.014,493.5,428.5,0.018,492.141,440.576,0.02,489.758,456.453,0.021,489,474.36,0.02,488.067,497.53,0.01,488,519.653,0.017,488,544.32,0.012,488,568.298,0.021,488,593.759,0.014,488.753,612.027,0.019,490.135,629.675,0.017,491.52,649.399,0.018,493,662.451,0.015,496.24,676.96,0.017,497.204,686.806,0.02,498,697.179,0.017,498,704.9,0.02,498,711,0.099,469.012,708.918,0.021,418.634,703.948,0.016,383.252,700.55,0.016,363.364,697.227,0.022,336.859,695.837,0.017,306.5,698,0.02,278.841,700,0.013,254.205,701,0.018,241.012,701.598,0.028,225.669,704.11,0.016,219.058,704,0.033,211.961,705,0.048,209,697.027,0.023,209,687.8,0.015,208,672.943,0.025,206.876,653.505,0.01,207.492,630.063,0.016,207,614.057,0.013,208.212,595.152,0.029,207.696,571.125,0.016,207.927,555.634,0.024,208,535.725,0.014,207,524.928,0.02,207,513.563,0.019,209.355,509,0.032,221.018,506.544,0.013,246.901,505,0.026,272.8,505,0.011,286,505,0.017,310.244,505,0.015,333.478,505,0.017,354.796,505,0.015,373.707,505,0.015,390,505,0.017,397,506,0.016,400,511.356,0.019,400,523.734,0.014,400,537.087,0.024,400,557.174,0.014,399,571.761,0.016,399,588.569,0.013,398,597.545,0.036,398,605.804,0.036,394.787,610.107,0.033,383.482,610,0.015,361.564,610,0.016,340.167,609,0.018,318.452,609,0.017,304.538,609,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,5597,MNPB
202,402,0,262.069,396,0.013,283.593,396,0.015,304.854,398.963,0.016,319.34,400,0.017,337.606,402,0.015,359.418,399.948,0.016,380.968,398.576,0.014,404.388,398.269,0.015,428.873,397,0.022,450.486,396,0.019,468.048,396.841,0.02,484.909,398,0.017,494.154,403.577,0.015,502.883,408.922,0.016,507.663,413.663,0.015,508,424,0.013,508,440.142,0.014,506.579,457.945,0.016,503.248,476.76,0.017,501.109,502.543,0.009,501,530.5,0.017,501.845,555.607,0.016,505.365,580.826,0.015,509,604,0.022,509.922,630.535,0.011,510,655.912,0.02,512,678.188,0.015,513,695.082,0.015,513,710.655,0.02,514,716.541,0.099,508.938,714,0.13,453.213,713,0.02,422.474,711.347,0.013,378.942,709.994,0.02,331.936,709,0.018,284.179,710.982,0.021,258.198,713,0.011,244.168,714.708,0.022,229.57,716,0.015,221.059,717.471,0.02,212.335,717,0.018,206.812,715.906,0.035,202.099,705.298,0.019,200,692.73,0.012,196.751,673.379,0.015,194.994,650.968,0.018,195,624.005,0.019,195,600.378,0.016,195,580.366,0.022,195,559.758,0.014,194.203,538.42,0.013,194,522.139,0.024,194,504.426,0.013,192.731,497.193,0.066,202.188,501.094,0.026,222.5,501,0.017,248.73,500,0.018,275.413,498.698,0.012,293.758,499.68,0.014,311.276,500,0.017,331.68,501,0.015,348.692,502,0.015,374.622,503,0.012,392.487,503.622,0.014,399,505.5,0.023,402.266,510.531,0.034,404,524.3,0.017,404,537.746,0.023,406.8,560.802,0.015,409.348,581.219,0.024,411,596.606,0.014,411,605.786,0.016,408.787,610,0.034,384.856,609,0.014,353.871,606.34,0.018,325.057,604.784,0.019,302.5,604,0.02,293,601.5,0.109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,4664,MNPB
204,402,0,244.203,395.971,0.014,270.258,392.593,0.013,292.004,389,0.014,305.367,390,0.018,316,389,0.021,329.547,389,0.016,340.736,389,0.023,357.022,389.604,0.018,369.852,391,0.019,389.288,392.327,0.022,408.408,392.324,0.02,432.353,393,0.016,456.699,394,0.016,474.041,396,0.023,488.515,400.257,0.034,497.209,403.736,0.018,506.253,406.126,0.02,510,410.357,0.015,511,423.675,0.021,507.332,442.671,0.019,507.939,466.425,0.017,509.415,494.153,0.015,506.24,525.361,0.02,508.412,556.51,0.02,510,587.883,0.014,512,620.578,0.022,514,658.266,0.019,514.306,682.855,0.015,515,699.348,0.017,514,713.856,0.012,510.829,717,0.032,500.017,718.994,0.014,486.44,720,0.017,460.398,723.734,0.021,427.028,727.108,0.011,396.861,731.92,0.027,369.169,732.833,0.016,340.182,734.404,0.016,315.696,732.538,0.014,293.716,731.159,0.013,274.826,730.707,0.015,258.175,729.637,0.016,243.974,727.993,0.012,232.939,726,0.014,222.533,726,0.015,214.861,725,0.012,207.541,724,0.02,198.35,722.175,0.013,191.673,718.673,0.021,189,708.968,0.018,186.956,691.737,0.018,187,668.788,0.017,188.745,641.292,0.016,192,614.112,0.023,192.581,580.351,0.018,194.044,553.351,0.014,196,533.452,0.015,194,515.483,0.022,196.065,505.87,0.027,204.518,499,0.023,216.772,499,0.017,259.961,499,0.023,303.058,499,0.016,338.82,500,0.018,361.279,502,0.015,368.113,504.113,0.048,375.89,508,0.019,379.178,511.357,0.032,389.295,514.259,0.036,394.367,517.367,0.024,397,529.879,0.013,398,544.35,0.015,398.437,568.379,0.016,398,586.724,0.021,398,596.623,0.01,397,605.333,0.026,396.485,611.03,0.015,378.075,612.006,0.019,336.336,608.542,0.021,306.73,605.146,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,4916,MNPB
217,405,0,277.293,406,0.017,307.522,407,0.017,339.87,409,0.016,361.978,408.004,0.014,376.94,408,0.013,393.861,409,0.014,411.674,410.084,0.017,434.376,409,0.014,456.194,410,0.025,477.889,410,0.01,489.111,411,0.014,494.536,411,0.083,493,418.36,0.031,494,434.428,0.014,494,446.831,0.015,495,468.004,0.02,495.969,486.751,0.015,495,505.134,0.016,495.325,526.727,0.016,495,543.073,0.015,495.384,564.153,0.012,496.768,581.607,0.019,498.112,597.448,0.012,501.5,617,0.021,502,632.289,0.016,503.234,652.168,0.019,503.201,666.002,0.019,504,682.72,0.015,504,690.888,0.024,505,706.328,0.024,504.867,712.266,0.086,499.821,714.358,0.022,473.186,712,0.011,445.232,710.654,0.015,423.835,711,0.017,402.757,711.04,0.013,380.909,711,0.018,357.412,711,0.016,332.836,710,0.017,308.84,709,0.021,283.946,710,0.016,258.956,711,0.017,242.582,713,0.019,227.154,713.969,0.016,217.374,716,0.022,209.469,717.266,0.021,204.893,713.787,0.023,202.733,707.467,0.018,203,696.721,0.02,201,685.005,0.016,199.658,666.265,0.013,196,647.788,0.013,193.891,625.565,0.015,192.548,612.738,0.013,191,596.561,0.021,189.819,588.456,0.017,190,569.857,0.019,192.04,552.802,0.016,193,534.259,0.054,195,517.999,0.016,194.636,509.271,0.015,197.357,502.643,0.035,203.53,502,0.033,211.699,499.767,0.019,239.096,499.212,0.023,267.454,500.145,0.011,290.5,502.5,0.018,317.812,504,0.016,341.435,507.239,0.019,364.971,509,0.014,380.597,510,0.014,394.061,513.354,0.017,400.669,515.335,0.017,405.106,519.212,0.033,401,530.771,0.015,402,543.781,0.017,402,562.961,0.024,402,581.895,0.015,402,592.5,0.028,400.923,597.153,0.053,399,603.542,0.038,396.729,611.812,0.052,386.845,617.462,0.018,366,619,0.015,341.269,619,0.017,318.156,620.356,0.014,302.952,619,0.017,295.91,620.03,0.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,5698,MNPB
202,401,0,237.385,400,0.016,252.129,398,0.018,270.408,397,0.015,279.906,396.031,0.017,295.138,396,0.014,306.064,397,0.015,317.354,397,0.022,333.736,398,0.021,345.218,397.196,0.017,365.996,398,0.014,384.894,397,0.017,403.497,395,0.02,426.672,393.721,0.017,443.451,395,0.016,457.013,396,0.015,468.457,397,0.022,479.532,398.413,0.018,487.099,400,0.043,495.5,402.5,0.031,504.556,403,0.036,508,407.268,0.05,509.206,418.823,0.021,509.412,431.942,0.019,508,442.883,0.017,510.294,458.178,0.016,509,471.723,0.017,509,486.066,0.018,508.586,500.655,0.017,507.75,512.749,0.011,505,529.902,0.017,501.512,541.441,0.014,501,559.887,0.014,500,572.973,0.019,499,590.398,0.018,500,601.793,0.015,498.297,617.485,0.012,500,628.997,0.02,501.042,641.211,0.014,501,654.222,0.018,502,662.262,0.017,503,674.315,0.025,504,689.219,0.017,504,696.916,0.021,502.519,707.962,0.017,503,715.531,0.116,496.67,714,0.032,486.054,713.018,0.015,466.635,712.606,0.018,454.842,711.281,0.012,435.378,710.896,0.027,411.531,709,0.016,391.244,707.049,0.017,365.084,706,0.053,318.321,703.11,0.016,286.299,699.178,0.026,260.809,699.116,0.014,246.246,701,0.02,226.134,701.716,0.015,216.822,703.089,0.016,208.845,704.577,0.019,200,705,0.014,194.647,703.823,0.049,196,696.715,0.019,196.375,689.75,0.017,194.979,679.916,0.017,193.617,669.852,0.016,197,655.849,0.026,196.247,641.753,0.025,200.5,623,0.017,201,609.241,0.023,201,594.102,0.011,201,580.058,0.016,202.035,564.858,0.071,203,535.859,0.021,205.21,519.37,0.015,204.6,506.801,0.018,205.046,501.908,0.084,211.18,501.91,0.031,218.542,500.729,0.026,227.861,501,0.02,238.952,501,0.024,255.129,501.355,0.013,276.544,502,0.019,298.543,502,0.021,320.137,503,0.019,341.037,502.193,0.012,362.232,503,0.023,376.097,502.524,0.013,387.779,503,0.017,396.534,504,0.033,402.062,506.031,0.051,400,512.533,0.03,400,520.964,0.011,400,531.03,0.015,400,542.197,0.022,401.399,555.596,0.011,403,566.351,0.021,404,576.556,0.011,407,590,0.021,334,7089,MNPB
