@relation RegistrosP1ASYC
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
207,399,0,247.131,399,0.014,270.385,397.846,0.022,292.081,397,0.016,320.41,397.618,0.016,339.3,398.9,0.021,363.452,401.223,0.015,378.799,399.6,0.014,400.194,398.401,0.014,421.632,397,0.02,437.687,394.902,0.015,456.228,395,0.017,466.973,393.405,0.019,479.086,393.771,0.017,484.09,394,0.048,487.272,398.543,0.033,492.105,403.052,0.029,496.177,407.355,0.033,499.041,411.082,0.068,494.5,418.5,0.016,485.064,431.903,0.018,465.949,447.595,0.014,445.525,468.972,0.017,419.523,491.157,0.017,391.84,513.16,0.018,368.347,533.653,0.019,347.46,554.086,0.015,326.15,571.48,0.019,304.547,591.297,0.014,279.776,611.853,0.023,261.382,630.216,0.012,244.973,649.369,0.018,227.707,666.371,0.016,216.488,682.196,0.021,207.493,690.131,0.016,202.092,697.272,0.025,200,701.753,0.012,201.066,704.131,0.017,203.355,708.355,0.018,208,709.5,0.035,219.956,711,0.02,242.698,711,0.01,264.161,711.295,0.012,286.744,708.057,0.017,314.012,708,0.017,339.942,708.438,0.02,366.028,708,0.012,393.99,707.078,0.018,421.682,703.642,0.021,441.956,701.619,0.012,460.568,700.347,0.017,481.103,698.112,0.018,491.54,698,0.017,496.792,699,0.03,504,701.5,0.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,2169,ASYC
200,397,0,237.5,397,0.014,257.521,396,0.02,278.097,396,0.016,310.665,394.726,0.022,331.921,396.493,0.017,343.739,397.717,0.02,365.703,400,0.015,389.958,400,0.017,403.702,400,0.016,424.73,400.324,0.014,446.554,399.966,0.013,460.156,397.807,0.012,476.871,399,0.019,489.597,398.351,0.015,497.773,398,0.02,504,399.5,0.012,503,403.357,0.034,492.894,414.085,0.015,480.277,430.298,0.013,459.516,444.99,0.017,435.162,468.365,0.016,414.08,489.912,0.023,392.29,509.71,0.017,371.417,532.041,0.015,355.691,550.711,0.017,336.231,572.74,0.024,314.954,594.674,0.015,297.754,616.246,0.011,277.246,637.791,0.018,261.449,658.486,0.016,247.011,675.385,0.023,239.203,685.196,0.011,234.186,690.814,0.037,229.268,693.577,0.016,225,695.5,0.034,225.178,696,0.035,237.195,696,0.017,247.597,696,0.018,263,696,0.017,285.258,699,0.016,312.366,701.033,0.021,339.626,703.263,0.018,367.741,705.527,0.028,402.959,710.769,0.017,426.368,711,0.021,444.158,712,0.012,459.051,712,0.016,470.21,711.158,0.015,478.308,711,0.018,481,706.888,0.134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,2345,ASYC
227,398,0,260.741,403.963,0.016,273.131,405.103,0.016,284.426,406.243,0.022,297.155,407.378,0.014,307.652,407,0.015,320.522,407.593,0.02,338.67,408,0.013,355.518,408,0.016,367.405,407.059,0.02,379.523,407,0.015,394.424,405.814,0.019,403.857,404.683,0.014,415.357,405,0.019,429,405,0.017,436.5,405,0.015,450.782,403.222,0.014,460.219,403,0.018,470.508,401.944,0.022,481.745,399.651,0.014,487.781,400,0.015,493.164,398.567,0.02,497,400.5,0.013,500.265,400.368,0.016,502,399.5,0.052,499.97,402.06,0.02,496.199,405.801,0.013,491.436,409.173,0.018,485.5,414,0.019,475.653,422.753,0.012,465.188,432.812,0.02,455.017,442.096,0.016,442.358,451.731,0.015,429.923,466.273,0.016,419.685,476.315,0.023,405.466,490.534,0.013,392.469,503.531,0.015,380.624,515.778,0.02,368.974,529.035,0.014,356.557,542.443,0.017,342.655,557.295,0.02,329.32,569.624,0.015,312.137,583.29,0.014,302.821,597.238,0.018,294.406,606.044,0.021,281.905,617.85,0.016,274.269,627.407,0.06,242.038,663.154,0.017,235.103,672.529,0.019,225.423,683.024,0.021,220,689.5,0.019,214.777,695.868,0.02,211.466,702.601,0.011,208.269,707.641,0.012,205.938,711.093,0.119,211.533,712,0.023,216.887,712,0.021,223.839,710.895,0.019,233.285,709.772,0.013,243.483,709,0.01,252.421,708.509,0.013,265.518,708.608,0.02,277.319,709.702,0.02,289.98,711.663,0.012,304.679,712,0.015,316.108,714.222,0.021,329.772,715.231,0.024,340.857,716.321,0.023,370.391,716.431,0.016,387.125,715.305,0.016,401.167,714.167,0.02,414.731,713.022,0.021,427.527,710.912,0.011,438.929,711,0.015,452.889,712.324,0.022,461.958,710.56,0.02,472.898,710.464,0.012,482.023,710,0.016,486.352,710,0.017,488.5,710,0.083,488.085,707.83,0.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,1719,ASYC
206,396,0,240.961,390.272,0.015,255.819,388.028,0.016,268.183,386.892,0.021,279.396,385.76,0.017,290.555,384.645,0.016,301.597,383.54,0.019,318.491,383,0.013,332.463,383,0.015,341.731,383.841,0.021,353.113,385.839,0.013,363.588,388.131,0.016,372.417,389.177,0.022,385.777,390.343,0.014,397.703,390,0.016,405.595,390,0.019,416.389,390.672,0.013,426.443,391,0.019,435.494,391,0.017,447.549,392.05,0.016,455.064,393.152,0.018,461.737,394.29,0.015,468.484,395.414,0.02,476.5,398,0.016,481.871,399.247,0.013,484.5,401,0.035,486.821,401.274,0.017,488.14,403.14,0.133,486.989,406.032,0.036,482.259,410.741,0.017,477.035,417.456,0.013,468.5,424,0.016,457.967,437.19,0.021,446.652,447.648,0.012,431.496,461.54,0.02,418.809,475.299,0.016,399.424,490.945,0.015,385.372,506.984,0.022,364.824,525.695,0.013,350.351,542.082,0.016,333.987,559.399,0.02,316.311,575.273,0.016,301.902,591.873,0.014,285.867,605.971,0.017,273.828,620.567,0.023,260.267,631.111,0.018,250.144,644.489,0.011,242.233,655.305,0.014,235.613,663.741,0.018,230.025,670.771,0.019,225.422,676.473,0.02,223.989,682.053,0.011,222.845,684.309,0.016,223,686.58,0.055,224.177,688.355,0.198,226.012,688,0.033,233.009,689.168,0.02,239.198,687.56,0.064,263.131,689.933,0.02,276.764,691.064,0.013,290.101,692.175,0.015,302.503,692,0.018,316.534,692,0.022,329.34,693,0.019,349.846,694.32,0.024,366.592,695,0.023,396.304,696,0.018,408.541,693.72,0.011,423.891,692.701,0.022,435.419,691,0.022,445.641,691,0.039,462.329,691,0.012,470.272,691,0.01,476.136,689.973,0.011,481.764,690,0.017,483.548,690,0.033,485.494,690,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,1858,ASYC
208,397,0,230.372,396.239,0.019,241.344,395.073,0.015,254.644,395,0.021,266.734,393.842,0.013,278.012,394,0.014,293.322,394,0.021,311.155,395.057,0.017,329.495,396.625,0.013,340.82,397,0.02,357.874,398.859,0.014,370.09,400.008,0.016,388.662,401.166,0.022,400.205,401,0.016,410.796,402.38,0.013,428,400.5,0.02,440.46,400,0.015,452.951,399.305,0.014,462.923,399,0.02,476.927,399.994,0.016,485.901,400,0.016,493.544,398.779,0.02,500.174,397.638,0.013,512.778,398,0.017,514,398,0.02,516.5,399.5,0.028,517.531,401.531,0.021,517,403.08,0.029,517,406.498,0.02,514.026,408.974,0.034,510.683,412.317,0.016,507.626,414.582,0.015,502.408,416.837,0.017,496.711,422.289,0.023,491.07,426.744,0.015,485.553,432.447,0.015,477.079,439.504,0.017,466.5,446,0.017,454.5,453.5,0.014,437.596,467.603,0.016,422.983,478.263,0.02,404.511,492.374,0.014,391.25,504.604,0.02,374.827,518.577,0.018,363.918,534.196,0.014,346.385,549.107,0.015,330.718,564.282,0.016,314.828,579.428,0.02,303.166,593.446,0.017,288.25,605.803,0.014,274.235,620.912,0.016,260.855,632.883,0.021,247.487,646.513,0.019,242.691,654.782,0.012,234.786,663.816,0.015,225.358,672.904,0.016,219.583,680.98,0.021,215.175,687.737,0.014,211.772,692.304,0.016,208.321,696.905,0.016,204.921,700.079,0.038,203.228,702.591,0.018,200.5,703.5,0.063,206.134,705.067,0.024,208.587,705,0.014,211.274,705,0.014,214.682,705,0.014,218.042,705,0.019,223.611,705,0.018,235.848,705,0.013,246.47,703.948,0.017,256.364,704,0.017,275.853,704,0.021,288.246,704,0.013,304.372,704,0.021,320.556,704.621,0.017,335.213,705,0.011,354.06,706.784,0.017,369.46,708.035,0.029,388.698,710.141,0.017,402.403,711.243,0.015,417.94,711.62,0.011,432.518,711,0.012,447.638,710.383,0.016,460.411,709.259,0.02,475.339,709,0.019,485.657,708.038,0.012,492.656,708,0.016,499.453,706.758,0.02,509.011,708.376,0.02,508.911,708,0.012,509.414,706.243,0.137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,1761,ASYC
211,396,0,257.508,401.767,0.017,287.359,403.028,0.017,315.73,405.287,0.015,361.382,410.486,0.017,387.92,409,0.017,414.775,408.983,0.013,440.926,407.734,0.022,460.345,408,0.016,481.653,409,0.014,496.818,409.97,0.015,506.768,411,0.03,510.529,412,0.034,509.847,414.153,0.018,496.558,421.681,0.017,481.992,437.008,0.009,458.161,452.079,0.019,431.274,473.794,0.02,401.748,493.951,0.015,374.081,508.886,0.017,353.379,528.024,0.019,325.214,545.936,0.014,303.299,563.864,0.017,280.012,580.718,0.018,266.951,598.458,0.014,253.982,612.829,0.02,244.667,626.167,0.021,232.156,640.844,0.016,223.126,654.811,0.017,218.885,665.525,0.02,215.105,676.79,0.017,214,683.411,0.035,211.5,689,0.016,210.5,694,0.033,207.749,697.251,0.119,213.817,700.544,0.02,226.051,704.842,0.012,245.731,707,0.016,271.413,708.63,0.022,293.153,707.572,0.01,320.869,707,0.014,349.016,710.078,0.02,376.639,712.331,0.013,406.62,713,0.02,431.991,713,0.014,454.426,714,0.017,472.405,715.301,0.02,486,718.5,0.016,491.545,719,0.019,495,719,0.016,499.3,717.85,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,2195,ASYC
208,401,0,226.975,404.163,0.021,245.382,405.491,0.015,258.042,406,0.014,269,406,0.015,281.971,405,0.02,294.29,405.935,0.015,306.564,407.051,0.015,332.952,409.344,0.023,343.886,410.353,0.016,357.257,410,0.015,371.5,411.5,0.017,384.068,411,0.017,398.159,411,0.013,412.783,411,0.017,428.88,409.937,0.022,444.362,410,0.012,457.306,410,0.018,466.396,410,0.017,479.5,410,0.015,489.095,410,0.02,497.931,409.259,0.012,507.892,409,0.017,513.092,407.977,0.087,510.787,411.319,0.017,504.468,417.119,0.017,496.049,423.213,0.016,489.047,431.937,0.014,478.853,441.02,0.02,463.632,450.073,0.016,450.764,465.589,0.017,426.919,480.213,0.017,416.5,498,0.013,388.731,516.974,0.02,370.628,534.536,0.016,352.958,552.042,0.016,334.31,568.479,0.016,313.751,585.541,0.016,299.204,602.138,0.018,283.467,617.533,0.02,272.73,629.27,0.017,262.905,640.45,0.019,253.604,651.196,0.021,246.509,660.321,0.01,239.814,668.216,0.013,231.686,676.314,0.016,225.06,682.94,0.019,222.668,686.776,0.02,219.885,689.672,0.02,217.724,692.276,0.012,216.218,694.563,0.013,215.5,696,0.036,217.042,697.083,0.116,220.943,697,0.02,225.453,698.113,0.013,235.057,698,0.018,244.049,699.381,0.016,252.929,701.982,0.018,268.535,702.61,0.016,280.476,703,0.015,296.64,703,0.02,309.578,702.038,0.014,327.91,702,0.021,338.427,702,0.02,351.416,702.319,0.019,367.441,703.444,0.013,383.378,704.577,0.011,398.803,705,0.016,416.358,703.311,0.017,431.195,702.062,0.017,448.095,699.854,0.017,460.065,700,0.018,472.61,698.672,0.016,484.941,699,0.02,489,700.5,0.019,492.977,701,0.013,495.591,701.795,0.013,497,702.5,0.027,502.186,704.062,0.115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,1596,ASYC
206,398,0,236.124,401.723,0.017,251.029,402,0.011,264.051,400.995,0.017,275.299,401,0.016,287.948,401,0.021,298.929,401,0.017,311.285,401,0.014,333.748,399.406,0.015,341.998,399,0.02,354.7,399.823,0.016,363.786,400.969,0.019,371.813,402.116,0.019,381.95,402,0.013,394.42,402,0.02,402.244,401.537,0.01,409.5,400.5,0.021,420.31,397.598,0.015,428.097,396.151,0.014,434.605,395.066,0.02,444.78,395,0.016,452.298,393.815,0.017,456.245,395.311,0.017,460.775,395,0.019,465.252,396,0.012,470.957,396,0.02,477.55,396,0.016,480.837,394.163,0.015,483.046,394,0.052,485.253,394,0.016,486.5,397,0.034,488.537,398.537,0.03,490.523,400.523,0.02,492.096,402.096,0.05,493.16,404.32,0.05,493,406.358,0.034,488.827,411.173,0.02,485.282,415.957,0.014,480.567,420.433,0.016,471.613,429.387,0.016,463,438,0.02,452.66,447.34,0.017,437.652,458.232,0.013,426.277,471.631,0.017,412.864,482.946,0.017,398.268,498.942,0.023,386.586,510.414,0.014,370.645,525.662,0.014,357.635,539.232,0.015,344.537,553.499,0.019,333.053,565.947,0.018,319.11,578.061,0.013,308.398,590.736,0.02,298.411,600.589,0.02,287.392,612.869,0.012,277.156,624.271,0.021,268.969,632.606,0.017,260.245,641.755,0.012,252.34,651.991,0.016,245.609,660.29,0.019,238.748,668.294,0.021,231.186,675.814,0.01,224.516,681.237,0.016,220.382,684.214,0.017,214.5,689,0.021,212.153,691.847,0.022,209.533,694.467,0.019,207.289,696.711,0.01,205.016,697.992,0.012,204,698.5,0.016,202.762,701.357,0.119,207.025,703.012,0.019,210.576,703,0.014,212.706,703,0.016,217.87,703,0.018,221.987,702.597,0.018,232.31,703.693,0.022,241.625,704,0.028,262.457,706.042,0.021,274.356,707,0.01,283.508,707,0.018,296.674,708.425,0.019,308.5,708,0.021,323.793,707.347,0.012,336.891,706.211,0.013,354.755,705.073,0.017,368.466,703.961,0.022,383.737,705.124,0.012,398.962,705,0.022,409.106,706.411,0.016,425.688,705.483,0.013,440.429,704.371,0.017,452.68,702.516,0.016,462.183,701.102,0.017,474.183,698.967,0.021,483.254,699,0.021,488.152,699.461,0.015,493.119,701.373,0.016,495.997,702.997,0.013,498,705,0.142,100,2048,ASYC
203,398,0,220.099,396.994,0.019,234.218,395.815,0.018,243.596,393.423,0.013,253.724,391.173,0.017,265,390.5,0.02,274.106,389.362,0.016,282.858,389,0.015,299.449,389.903,0.019,308.031,390,0.012,315.955,390,0.017,326.599,391.289,0.021,335.377,393.844,0.017,340.125,394.521,0.017,348.528,396.228,0.016,358.491,397.721,0.015,367.019,398.86,0.017,375.088,399,0.016,388.504,401.251,0.017,395.56,402.223,0.014,400.904,403.381,0.021,408,404.5,0.016,416.691,405.414,0.014,424.971,405.71,0.021,432.194,405.134,0.014,439.694,405.956,0.015,447.687,406,0.017,453.008,407.202,0.023,457.384,408.346,0.013,461.867,408,0.018,465.785,408.595,0.018,471.134,409.689,0.012,477.102,409.18,0.02,482.736,409.947,0.014,486.197,410,0.022,488.391,410,0.01,490.666,410,0.036,493.797,411.266,0.033,495.525,411,0.184,492.984,412.008,0.02,489.277,414.482,0.012,485.886,418.114,0.018,479.5,424.5,0.021,469.875,433.156,0.013,457.896,440.973,0.016,443.135,450.627,0.019,428.41,462.653,0.017,412.703,473.926,0.018,394.749,486.235,0.013,379.214,501.445,0.022,360.282,516.718,0.017,342.86,532.426,0.012,322.478,548.675,0.016,306.996,564.671,0.019,291.706,581.243,0.02,276.233,595.712,0.011,263.523,609.702,0.021,248.512,627.179,0.016,239.627,638.06,0.014,228.723,650.136,0.017,219.99,658.678,0.019,214.815,666.573,0.02,210.354,674.38,0.011,204.726,682.383,0.016,199.141,686.687,0.021,198.685,689.944,0.021,197.607,691.787,0.022,197,694.03,0.018,198.75,697.625,0.017,200.824,700.736,0.016,205.175,703.087,0.021,207.353,704.176,0.032,211.76,704,0.02,217.512,703.498,0.016,224.376,702.375,0.014,237.213,702,0.016,247.851,702,0.02,267.339,702,0.021,281.258,702,0.011,306.237,705.748,0.024,329.127,708.069,0.024,353.568,710.463,0.011,381.915,711,0.011,406.586,709.541,0.012,431.655,707.291,0.016,456.208,704.108,0.018,480.26,702.892,0.016,490.187,700.563,0.016,497.417,698.309,0.116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,1805,ASYC
206,402,0,236.948,401,0.019,258.286,402.429,0.018,280.832,399.347,0.019,310.938,395.229,0.014,336.35,393.831,0.019,360.756,391.604,0.017,378.081,395.608,0.016,397.194,399.731,0.02,416.038,404.208,0.015,434.52,405.391,0.021,452.5,407.5,0.017,467.648,408,0.014,485.685,408,0.02,499.01,407,0.019,508.5,408,0.014,515.609,408,0.02,519,406.5,0.083,509.225,411.51,0.015,492.641,419.18,0.018,470.898,434.974,0.015,442.451,452.809,0.015,414.517,475.739,0.019,384.069,501.937,0.014,357.021,529.521,0.022,328.883,554.117,0.013,304.097,580.592,0.018,282.396,604.604,0.017,264.079,628.401,0.018,245.136,651.313,0.017,232.796,666.905,0.016,221.151,682.647,0.016,214.573,692.855,0.023,210.168,699.248,0.033,206.344,704.771,0.024,199.691,709.154,0.011,200.534,707.733,0.066,207.581,706.884,0.014,216.615,703.193,0.015,230.181,700.764,0.016,248.107,699,0.017,269.297,700.118,0.022,287.001,702.375,0.014,309.141,706.592,0.02,331.368,708.837,0.019,352.671,706.944,0.011,372.413,704.655,0.022,417.509,705,0.007,433.374,701.607,0.017,452.831,698.574,0.015,467.558,697,0.015,483.342,697,0.019,497.886,695.852,0.014,509.955,696.391,0.019,514.534,695,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,2197,ASYC
