@relation RegistrosP1IVCCH
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
212,396,0,249.241,401.499,0.016,265.46,404.494,0.017,277.398,405,0.017,297.659,405,0.017,310.061,405,0.017,328.682,403,0.016,342.587,401.302,0.016,360.513,400.939,0.017,374.08,400,0.017,390.966,400,0.018,402.994,399,0.016,418.359,398,0.017,429.599,397,0.017,444.363,394.606,0.02,455.522,394,0.015,464.39,394,0.017,474.585,394,0.017,483.43,394,0.018,491.401,394,0.015,499.523,393.159,0.016,504.5,393,0.017,506.089,396.179,0.034,500.412,405.177,0.017,493.5,412.5,0.017,485.657,421.687,0.017,475.917,434.125,0.017,460.165,444.049,0.02,448,457,0.017,430.038,473.471,0.017,415.095,488.905,0.017,396.128,505.638,0.017,381.25,519.282,0.017,365.419,533.864,0.016,348.34,545.745,0.017,332.825,561.371,0.017,316.504,572.185,0.016,303.28,587.76,0.015,288.542,600.613,0.017,275.17,616.328,0.016,264.968,630.032,0.015,251.777,641.868,0.016,243.335,653.442,0.016,234.354,662.517,0.016,224.123,674.252,0.018,216.773,684.454,0.023,211.281,690.719,0.016,205.711,695.193,0.007,199.306,700.694,0.082,205.463,701,0.019,211.5,701,0.016,219.175,703.794,0.017,233.231,706.033,0.017,247.674,706,0.017,265.5,705,0.016,279.557,703,0.017,296.036,702,0.017,309.231,701,0.016,326.864,701,0.017,339.652,699,0.017,356.755,698.031,0.017,370.065,696.787,0.016,387.635,696.546,0.017,399.488,696.698,0.016,414.559,696,0.018,426.928,695,0.017,438.535,696.422,0.018,449.652,696,0.016,457.725,695,0.017,465.599,695,0.016,472.169,696.39,0.019,478.887,696,0.016,483.747,696,0.017,486.115,696,0.05,490.535,696,0.05,492,694.782,0.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,2897,IVCCH
201,400,0,229.272,402.427,0.017,242.366,403.673,0.017,252.574,405,0.017,271.713,407.156,0.017,280.592,406,0.017,294.469,406,0.016,305.518,407,0.016,317.815,407,0.011,331.12,407,0.018,340.415,406.396,0.016,354.931,406,0.016,366.362,406,0.016,377.941,403.677,0.017,391.279,402.43,0.017,399.437,401,0.017,409.267,400,0.017,419.18,400,0.017,428,399,0.017,436.118,398,0.016,445.075,398,0.016,454.048,398,0.017,459,396.5,0.017,466.985,397,0.017,476.93,397.986,0.017,484.675,398,0.016,489.935,397,0.016,494.423,397,0.016,498.081,398.027,0.034,504.804,399,0.051,506,402.082,0.036,494.786,412.161,0.017,485.812,422.484,0.019,475,438.5,0.015,463,447.5,0.117,410.772,497.481,0.016,397.06,507.952,0.027,383.291,524.051,0.019,372.037,533.37,0.014,362.667,541.333,0.017,350.569,552.431,0.019,337.109,564.576,0.022,329,571.5,0.016,315.22,583.983,0.014,305.883,595.156,0.017,295.6,602.84,0.018,284.5,614.5,0.016,276.471,624.294,0.012,269.974,632.02,0.016,262.021,639.979,0.017,254.048,650.44,0.017,246.798,657.468,0.017,242.052,662.948,0.017,235.364,670.636,0.017,226.178,678.822,0.017,218.896,686.104,0.017,214.114,690.886,0.017,211.82,694.27,0.017,208.578,697.845,0.034,203.435,700.782,0.017,200.973,703.027,0.082,208.621,704.874,0.018,215.338,705,0.016,227.125,706,0.019,248.55,707,0.015,263.716,706,0.017,276.991,706,0.016,288.635,704.561,0.016,303.417,705,0.02,318.351,704,0.024,340.397,704,0.017,359.5,706.5,0.017,371.597,705.234,0.017,387.074,700.979,0.017,399.277,697.745,0.017,412.941,697,0.017,425.934,694.267,0.017,435.879,694.024,0.035,452.351,693,0.018,458.74,693.58,0.016,467.283,694.821,0.017,475.185,694,0.016,482.925,695,0.016,489.335,696,0.017,494.813,697,0.017,500.299,698,0.017,504.78,698,0.019,509.259,698.63,0.015,512.536,699,0.018,516.318,699,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,4051,IVCCH
177,402,0,215.87,403,0.018,232.702,403,0.019,246.492,403.582,0.017,268.574,404.822,0.028,289.492,405.186,0.012,305.988,407.427,0.018,315.5,408.5,0.022,337.175,410,0.012,357.788,410,0.034,381.28,410,0.047,401.794,411,0.021,425.373,411,0.04,450.027,410,0.018,463.45,409,0.031,482.358,409,0.07,494,409,0.138,490.759,414.361,0.02,485.533,425.445,0.018,472.032,438.549,0.016,460.123,448.846,0.016,449.005,463.195,0.018,429.827,473.855,0.023,411.086,486.84,0.016,395.202,501.757,0.016,379.027,515.973,0.021,348.741,543.173,0.023,325.372,560.577,0.016,308.926,572.104,0.026,285.481,596.346,0.032,258.899,628.358,0.025,244.056,651.652,0.016,237.551,659.449,0.016,227.101,665.174,0.022,215.766,678.234,0.027,196.599,694.401,0.047,193,701.266,0.066,197.268,699.866,0.016,205,701,0.018,218.502,703,0.023,237.948,703,0.021,253.01,704,0.023,280.767,704,0.02,313.596,703,0.026,338.012,701,0.009,364.77,699.556,0.017,382.175,701,0.077,424.36,705,0.049,469.003,706,0.06,491.798,709.933,0.037,501.884,710.471,0.075,512.069,712.034,0.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,3293,IVCCH
196,395,0,232.954,393,0.017,249.223,393,0.016,267.898,392.3,0.017,288.574,392.939,0.017,305.276,390.818,0.017,316.133,387.147,0.016,332.318,388,0.016,342.542,387.092,0.016,360.2,388,0.017,370.955,388,0.017,385.383,390,0.015,397.487,390,0.016,410.82,390.117,0.016,425.518,387.64,0.025,436.165,388.595,0.015,449.031,388.162,0.017,457.234,388,0.017,466.275,388,0.019,477.804,388.439,0.016,484.606,388,0.017,489.086,388,0.018,494.562,388,0.018,502.571,388,0.016,508.308,389,0.017,512,389,0.016,515.331,391.166,0.067,501.41,403.492,0.017,485.631,415.692,0.019,464.189,432.649,0.015,442.931,447.771,0.016,423.554,466.637,0.017,398.371,482.117,0.019,377.5,501.5,0.016,356.331,518.093,0.016,333.721,535.186,0.017,308.969,550.653,0.019,291.5,566,0.017,273.464,579.292,0.017,255.034,595.974,0.017,244.041,611.677,0.017,229.641,626.88,0.017,218.381,642.066,0.011,209.138,655.862,0.017,200.194,664.806,0.017,196.11,668.89,0.017,192.31,676.448,0.016,192,681,0.016,192.267,684.267,0.018,197.554,685.777,0.017,206.075,687.019,0.017,215.024,687,0.019,225.492,685.502,0.016,243.441,685.26,0.016,259.856,684.016,0.017,277.58,682.774,0.017,297.597,679.081,0.017,317.08,678.292,0.016,336.658,677.049,0.017,360.258,674.624,0.016,379.87,673.57,0.016,398.722,673,0.015,417.212,674.912,0.017,432.07,677.153,0.017,448.171,676.604,0.018,458.196,677,0.015,469.39,676.122,0.017,481.711,678.119,0.017,489.447,680.362,0.02,498.418,680,0.025,505.536,679,0.029,513.414,678.793,0.075,515,681.153,0.05,519.097,682,0.118,521,678.808,0.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,3168,IVCCH
203,400,0,237.861,406.172,0.017,248.5,408.5,0.016,266.46,409,0.016,277.78,410,0.016,291.087,410,0.016,304.952,410,0.017,316.716,409,0.018,330.832,407,0.016,340.216,405.928,0.017,354.155,403.569,0.017,365.378,402.207,0.011,376.63,399.843,0.016,389.5,398.5,0.016,399.652,398,0.017,408.73,398,0.017,421.423,399,0.017,432.871,398.032,0.017,448.635,398.327,0.026,457.384,397,0.017,467.214,396,0.016,478.244,397,0.017,485.56,398,0.016,492.396,399,0.034,501.497,399,0.016,506.111,400,0.199,508.938,404.123,0.051,493.121,415.903,0.017,478.345,431.986,0.014,460.201,445.099,0.016,446.702,461.417,0.018,426.458,477.694,0.017,411.293,495.707,0.016,395.551,507.449,0.017,378,525,0.017,361.504,539.496,0.016,339.116,559.649,0.017,323.403,574.398,0.016,307.154,591.807,0.018,294.714,605.286,0.018,275.94,625.434,0.017,258.729,640.226,0.017,244.781,656.626,0.017,231.141,669.087,0.017,217.459,683.541,0.017,212.503,690.995,0.017,201.562,701.579,0.017,195.732,707.268,0.066,203,707,0.016,213.732,708,0.016,226.359,708,0.017,240.911,707.363,0.015,252.001,705,0.017,270.178,702.637,0.018,288.066,700.276,0.017,307.361,697.91,0.017,330.587,698,0.018,350.313,696.187,0.017,370.703,694,0.016,394.5,694,0.016,411.303,695.1,0.017,427.785,695,0.017,444.749,697,0.016,456.976,697,0.017,468.4,698,0.018,478.136,698,0.017,485.152,698,0.032,493.116,697,0.015,493,693.701,0.162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,4281,IVCCH
201,394,0,239.36,397,0.015,264.161,396,0.015,285.63,396,0.021,320.325,394.538,0.014,338.063,393,0.015,360.776,393,0.02,376.338,393,0.017,399.715,392.528,0.014,415.977,391.302,0.021,434.369,391,0.016,453.248,393.156,0.01,466.595,393,0.021,481.5,392,0.011,489.848,392,0.018,495.332,391,0.025,500.177,391,0.036,504.358,391,0.116,508.267,393.134,0.03,512.505,395.252,0.168,505.183,404.817,0.017,487.164,417.224,0.017,461.176,442.928,0.014,430.971,467.335,0.016,401.679,490.466,0.015,379.975,509.417,0.021,362.482,526.938,0.015,342.853,542.781,0.021,325.776,562.224,0.012,305.85,579.315,0.02,290.16,598.304,0.01,274.11,614.835,0.016,257.909,630.318,0.016,244.341,646.054,0.022,234.865,658.423,0.012,224.536,667.464,0.017,217.446,677.257,0.016,212.811,686.283,0.017,208.312,689.344,0.033,209.088,691,0.017,215.353,693,0.015,224.582,694.916,0.017,238.947,695,0.017,249.605,695,0.018,265.474,695.361,0.016,278.42,694.116,0.017,292.859,693.877,0.017,307.186,694,0.017,321.237,694,0.016,335.249,693,0.016,348.631,693.09,0.017,365.675,692,0.017,376,693.5,0.017,392.9,692,0.017,404.288,692,0.017,420.79,692,0.014,432.7,692.54,0.014,445.686,694.781,0.017,455.099,695,0.016,460.785,695,0.017,470,696,0.018,475.5,695.75,0.017,479.98,695.01,0.017,484.354,695,0.033,488.536,695,0.034,492.321,695,0.018,496.535,695,0.05,500.264,696,0.051,504.087,696,0.067,506,692.827,0.099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,3391,IVCCH
205,397,0,241.428,392.796,0.016,253.344,393,0.017,266,393,0.013,282.738,393.948,0.016,299.124,395.161,0.017,312.215,396,0.02,329,397,0.014,341.447,398,0.014,357.147,399.164,0.02,367.516,399,0.014,380.776,400.629,0.014,393.458,402.892,0.02,403.697,401.861,0.017,417.468,401,0.015,427.5,399.5,0.02,440.033,400,0.016,452.37,398.926,0.014,461.402,396.65,0.019,472.323,396,0.012,481.322,396,0.02,486.084,396,0.013,490.925,395,0.018,496.635,394.455,0.014,502.595,394,0.02,506.064,394,0.014,510.412,394,0.033,513.059,396.118,0.067,505.705,405.295,0.017,495.417,414.267,0.02,484.17,425.396,0.06,450.002,458.397,0.01,431.936,473.189,0.006,418.9,488.467,0.017,402.585,503.561,0.017,391.163,516.004,0.017,375.702,533.886,0.017,363.733,544.921,0.016,350.742,558.47,0.017,336.162,568.559,0.019,324.735,581.642,0.018,308.26,596.117,0.016,297.83,609.169,0.017,284.373,622.627,0.017,274.948,631.052,0.017,265.652,639.348,0.019,254.845,649.155,0.017,245.785,657.215,0.019,239.747,664.94,0.017,224.597,679.723,0.016,216.232,687.768,0.017,211.672,692.328,0.017,203.384,697.808,0.017,196.058,703.294,0.017,191.22,706.78,0.017,194.477,707,0.018,199.934,708,0.016,207.877,708,0.017,215.854,708,0.017,226.214,705.298,0.016,239.671,704.055,0.016,249.744,701.814,0.017,264.002,701,0.017,276.698,699,0.017,291.349,700,0.017,306.949,698.842,0.017,321.78,701.397,0.017,337.206,700.641,0.016,353.954,700,0.016,367.626,698.875,0.017,383.589,701.37,0.017,396.431,701.608,0.014,409.96,702,0.017,423.553,704.092,0.017,433.675,704,0.017,445.5,704,0.017,454.461,703.18,0.017,459.128,703,0.017,463.611,703,0.016,468,701.5,0.033,471.021,703.01,0.05,476.535,703,0.034,480.145,704,0.101,484.214,705.107,0.067,488.179,706.089,0.034,492.258,706,0.034,498.497,706,0.017,501.535,706,0.194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,3927,IVCCH
201,396,0,240.298,391.529,0.018,262.543,392,0.016,280.474,391,0.018,306.334,391,0.017,326.741,393.193,0.016,342.532,392,0.021,363.5,393,0.015,383.305,393.923,0.019,399.868,395.145,0.018,417.022,395,0.021,430.175,395,0.012,443.342,395,0.006,454.743,395,0.024,463.751,394.65,0.015,473.5,396,0.02,481.365,394.159,0.014,489.321,394,0.018,497.43,393,0.021,505.273,392,0.016,511.654,391.173,0.02,514.053,391,0.083,509.983,397.017,0.016,501.937,407.329,0.016,489.919,416.081,0.02,478.531,428.469,0.014,463.91,440.052,0.019,453.095,448.905,0.015,436,462,0.018,423.366,476.36,0.011,405.199,492.823,0.02,391.86,507.368,0.021,377.338,520.662,0.014,366.147,532.853,0.021,354.427,543.644,0.012,338.649,558.351,0.018,328.115,568.648,0.013,312.292,581.708,0.016,302.296,594.63,0.023,289.176,604.824,0.01,276.996,619.806,0.016,268.733,628.613,0.016,258.529,637.577,0.016,249.459,647.677,0.017,242.858,655.142,0.017,235.522,661.859,0.016,226.561,669.58,0.017,217.609,678.391,0.017,211.95,686.05,0.019,206.232,689.589,0.016,201.337,692.831,0.016,198.926,695.074,0.033,199.268,696,0.033,206.318,697.159,0.016,214.626,697,0.018,223.247,696.649,0.016,237.342,696.11,0.016,248.531,695,0.016,262.255,695,0.019,276.087,695,0.015,290.017,696,0.017,306.717,696,0.016,323.108,696,0.018,338.536,696,0.016,356.4,697,0.017,369.36,697,0.017,384.212,698,0.018,397.223,695.444,0.016,409.588,695,0.017,423.261,694,0.017,432.133,693,0.017,446,692.5,0.017,456.061,692.235,0.017,465.043,692,0.016,475.999,690.75,0.016,483.455,691,0.017,488,690,0.032,491.061,690,0.05,496.821,691.911,0.017,501.303,692,0.032,505.035,692,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,3319,IVCCH
200,406,0,238.107,407,0.016,257.204,408.356,0.019,274.211,410.602,0.016,298.746,412.843,0.017,310.362,414,0.017,327.62,415.328,0.019,338.855,416,0.016,355.485,417,0.017,368.214,417,0.017,384.064,416.705,0.018,399,414.5,0.017,413.207,415,0.017,427.094,415,0.017,441.832,415,0.017,457.5,412.5,0.017,465.468,412,0.016,476.92,412,0.017,485.681,411,0.016,489.941,411,0.015,494.673,410.164,0.018,499.148,410,0.033,506.294,410,0.017,511.5,410,0.032,510.913,411.174,0.05,501.966,416.026,0.017,490.766,424.987,0.016,481.048,435.44,0.017,466.618,443.191,0.016,457.085,451.887,0.017,445.937,464.063,0.017,430.812,473.822,0.017,421.508,483.492,0.016,408.366,497.573,0.017,396.271,506.729,0.017,383.041,519.537,0.017,366.672,534.328,0.016,350.735,548.357,0.017,335.116,563.884,0.017,320.249,577.751,0.018,306.468,593.798,0.015,294.758,605.368,0.017,281.299,617.701,0.017,273.927,628.43,0.018,264.002,640.597,0.015,252.804,652.357,0.016,245.755,660.245,0.016,240.031,666.969,0.029,232.306,679.824,0.018,223.776,688.418,0.028,216.844,693.104,0.017,213.587,698.827,0.033,214.107,700,0.034,242.992,701,0.018,264.628,701,0.016,278.876,701,0.018,294.5,699.5,0.017,311.78,698.797,0.018,328.314,698,0.016,339.13,697,0.017,356,698.5,0.016,368.053,698,0.017,383.031,700,0.017,397.487,699,0.031,407.922,700,0.03,420.622,700,0.008,427.943,699.028,0.013,436.834,700,0.017,445.805,700,0.017,453.091,699,0.016,457.878,699,0.016,463.513,700.171,0.017,470.25,701,0.017,475.323,701,0.016,479.804,701,0.017,482.143,701,0.017,486.505,701,0.05,490.117,701.942,0.05,494.535,702,0.033,502.482,702,0.033,506.536,702,0.117,510.052,702,0.05,511.615,696.154,0.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,3649,IVCCH
190,402,0,234.006,397,0.017,248,397,0.017,266.471,397.106,0.017,281.03,397,0.017,297.094,396,0.015,311.92,394.016,0.016,330.73,394,0.018,347.239,393,0.017,365.36,392,0.017,381.609,392,0.016,395.394,391,0.017,408.63,391,0.017,422.5,391,0.016,433.536,391.884,0.016,444.737,392,0.016,454.219,393,0.016,463.915,394,0.017,478.34,395,0.018,488.095,395,0.017,497.179,394,0.017,505.805,395,0.05,507.972,397.056,0.046,493.311,412.516,0.017,485,425,0.017,475.312,436.688,0.017,461.95,445.788,0.017,449.522,459.097,0.015,433.05,471.97,0.017,424.305,481.042,0.018,411.162,492.128,0.016,396.697,504.228,0.016,385.26,515.74,0.016,369.802,530.198,0.017,358.356,540.483,0.017,343,556.5,0.016,330.47,569.647,0.012,314.761,585.239,0.018,303.162,598.838,0.015,290.089,611.911,0.016,277.987,625.013,0.018,268.882,634.118,0.016,254.63,649.554,0.01,246.357,658.095,0.016,239.268,665.732,0.016,229.461,676.809,0.018,219.093,685.636,0.016,214,691.001,0.044,203.195,700.203,0.01,198.5,705,0.017,198.536,705.732,0.033,204.596,705,0.017,214.315,706.658,0.016,224.092,708,0.017,237.539,708,0.019,248.243,707.252,0.017,265.638,706,0.016,279.887,705,0.016,296.165,704,0.017,307.796,703,0.009,322.793,703,0.015,335.846,703,0.017,351.426,701.715,0.017,365.946,701,0.016,379.034,701,0.016,394.49,701,0.019,405.936,701.734,0.017,420.376,702,0.017,429.391,702,0.014,440.299,702.825,0.016,450.557,703,0.016,459.349,704,0.017,468.105,704,0.017,476,705.5,0.032,487.369,705,0.018,496.458,706,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,4654,IVCCH
