@relation RegistrosP1LEPD
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
207,410,0,228.441,411.021,0.02,251.335,412.458,0.016,264.37,412.579,0.016,277.421,413,0.017,290.047,413,0.016,302.418,413.947,0.017,315.841,414,0.017,341.183,415.19,0.017,352.67,415,0.018,369.14,415,0.017,379.5,415,0.015,395.45,415.323,0.017,407.818,415,0.016,422.972,415,0.017,436.518,413.957,0.017,453.495,412.834,0.016,466.464,410.423,0.017,484.184,409.588,0.019,493,410,0.015,496.624,409,0.016,499.559,409,0.02,501,409,0.022,502.023,409,0.091,499.821,410.089,0.034,497.998,411.001,0.033,495.754,413.246,0.1,473.161,439.798,0.018,467.497,447.704,0.017,463.107,454.339,0.017,459.968,461.063,0.018,455.142,467.787,0.016,446.5,477,0.016,432.771,493.359,0.017,425.669,502.163,0.017,422.134,506.821,0.017,416.609,511.312,0.016,407.43,519.374,0.017,399.764,528.555,0.018,393.324,534.676,0.016,388.5,539.5,0.016,381.879,545.434,0.017,375.139,552.671,0.017,368.415,560.516,0.016,359.554,569.446,0.017,347.088,580.738,0.016,338.603,589.397,0.019,329.644,596.937,0.016,321,604.5,0.016,311.006,611.66,0.017,304.271,620.305,0.016,295.734,627.45,0.017,284.668,636.265,0.018,276.924,644.076,0.015,272.894,651.935,0.017,269.809,655.588,0.033,267.962,657.038,0.018,258.903,666.573,0.017,249.899,676.876,0.023,237.906,688.085,0.017,224.429,698.178,0.027,218.243,704.01,0.015,215.623,707.753,0.008,214.007,709.993,0.01,212,712,0.089,215.077,709.961,0.043,217.358,707.642,0.034,219.536,704.196,0.034,222.177,703,0.017,237.679,706.618,0.017,249.656,706,0.018,259.044,707.449,0.016,277.5,707,0.017,289.739,707,0.016,306.27,706.182,0.017,326.881,706,0.016,340.741,704.938,0.017,363.64,705,0.017,378.317,703.692,0.018,403.964,704,0.016,411.5,702.5,0.015,430.42,703,0.017,445.889,703,0.017,457.247,703,0.017,469.386,703,0.016,481.762,701.84,0.017,486.403,703.281,0.017,489.21,703,0.049,490.358,704.179,0.084,495.319,700.808,0.097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,2022,LEPD
171,403,0,204.975,408.997,0.021,220.634,409,0.013,236.39,409,0.021,250.71,409,0.03,265.845,409.487,0.024,303.284,410.731,0.022,322.771,411.851,0.007,337.685,412,0.014,356.64,412,0.021,373.288,412,0.015,394.117,412,0.016,407.013,410.537,0.017,421.027,411,0.015,431.664,411,0.016,440.631,411,0.017,449.609,411,0.017,454.296,411,0.017,459.973,411,0.017,464.269,411,0.018,471.628,412.438,0.015,475,412,0.066,470.732,413.134,0.033,479.787,414.098,0.019,497.364,411.175,0.017,510,409,0.016,513,408.5,0.048,505.946,410.027,0.021,503.7,411.15,0.03,502.805,413.391,0.05,500.642,414.179,0.035,498.997,415.001,0.048,495.625,416.125,0.018,493.009,417.495,0.033,491.259,419.482,0.018,490.136,421.727,0.016,489.016,423.968,0.017,486.782,428.436,0.017,478.394,439.065,0.016,469.183,445.113,0.019,458.745,454.782,0.017,451.037,465.77,0.015,439.107,474.741,0.017,430.114,483.727,0.016,423.243,495.555,0.017,411.072,503.591,0.017,397.512,515.073,0.016,389.363,528.955,0.019,380.398,535.152,0.016,370.989,543.011,0.016,363.12,553.668,0.016,349.543,564.365,0.017,336.649,576.351,0.017,322.226,589.715,0.016,310.021,597.26,0.017,304.146,605.163,0.017,297.439,611.561,0.02,291,619.5,0.03,279.316,629.684,0.019,252.002,659.915,0.015,242.685,672.433,0.017,236.043,682.436,0.016,233.166,684.834,0.017,232.596,686.808,0.034,230.463,691.073,0.017,219.125,702.424,0.016,216.211,708.472,0.017,213.966,711.034,0.099,213.246,714.508,0.018,212.5,716,0.032,213,717.534,0.018,215.238,717,0.049,217.358,715.821,0.033,220.701,715,0.017,223.915,715,0.018,238.201,716.092,0.016,250.366,717.215,0.017,262.723,717,0.018,276.526,718.46,0.017,283,718,0.017,300.61,718,0.015,316.576,717.173,0.017,334.188,717,0.017,353.226,715.928,0.017,374.606,716,0.016,397.386,716,0.018,414.041,714.56,0.017,434,715,0.017,447.217,714.685,0.016,456.643,714.194,0.016,463.584,714,0.017,471.36,714,0.017,478.016,714,0.016,482.184,715.296,0.017,485.261,713.58,0.033,486.536,714,0.1,489.169,709.774,0.12,0,0,0,0,0,0,0,0,0,97,2229,LEPD
172,411,0,192.726,408.927,0.019,213,407.5,0.017,226.325,408,0.022,239.412,408,0.01,252.63,408,0.017,266.053,408,0.017,279.581,408,0.017,308.046,409.252,0.017,318.461,409,0.017,330.459,410.496,0.017,339.55,409,0.016,349.656,409,0.017,361.497,409,0.016,370.872,409,0.017,379.854,409,0.017,392.528,409,0.017,399.445,407.651,0.017,408.79,408,0.017,417.359,407,0.016,425.305,406.282,0.017,432.045,405.159,0.016,438.769,405,0.017,446.605,406.086,0.017,454.431,406,0.016,463.621,404.672,0.018,475.542,403.546,0.017,489,404,0.016,496.17,403,0.016,502.888,402.185,0.017,507.755,402.939,0.017,510.128,403,0.049,508.857,405.285,0.033,506.465,405,0.05,504.981,407.019,0.034,502.717,407,0.153,480.158,429.843,0.016,460,450,0.017,453.008,457.992,0.016,444.762,466.238,0.017,436.913,474.087,0.017,430.035,482.954,0.016,422.196,491.919,0.017,402.005,509.525,0.017,395.151,515.493,0.017,389.108,526.338,0.018,376.789,532.609,0.015,368.92,540.806,0.017,361.918,550.623,0.017,350.333,558.788,0.024,341.277,565.542,0.009,334.722,573.492,0.016,325.438,579.921,0.019,314.823,591.177,0.017,308.525,596.475,0.016,300.385,604.615,0.016,289.776,614.402,0.017,281.37,621.682,0.016,273.54,628.394,0.017,263.281,637.528,0.016,250.577,646.49,0.019,245.396,655.471,0.017,236.131,662.316,0.016,227.587,668.383,0.016,221,674.8,0.016,217.226,680.623,0.017,212.827,684.13,0.017,209.508,687.492,0.016,206.132,689.579,0.017,204.181,691.819,0.017,202,694,0.032,197.93,696.802,0.084,201.129,696,0.019,198,699,0.017,191.5,711.5,0.015,188.491,714.509,0.017,188,717.611,0.017,188,719.5,0.06,190.181,719.091,0.027,193.588,718,0.016,195.45,717.275,0.026,197.695,717,0.058,213.039,715.792,0.035,247.896,715.425,0.042,280.523,715.177,0.036,320.16,716.068,0.013,340.113,717,0.016,362.894,717.31,0.015,384.514,718,0.016,405.978,718.554,0.015,426.842,719,0.016,445.904,719,0.021,460.17,719,0.022,472.364,719,0.024,483.625,719,0.021,489.804,720.402,0.139,487.949,717.898,0.051,506.214,712.674,0.185,0,0,0,0,0,0,98,2446,LEPD
190,404,0,212.235,405.059,0.019,235.935,406.467,0.018,253.514,407,0.015,270.72,407,0.017,289.283,407,0.016,309.272,407,0.017,328.396,405.918,0.017,373.909,404.797,0.016,389.811,403.677,0.019,408.701,402.547,0.017,423.981,400.43,0.016,439.691,398.616,0.017,453.786,396.369,0.015,465.39,395.061,0.017,475.537,393.94,0.017,485.663,392.815,0.016,491.814,390.395,0.019,495.714,391,0.016,500,389.5,0.017,503.338,391,0.015,505.583,391,0.017,507.836,391,0.017,509,391,0.017,510.16,391,0.072,510,393.268,0.044,507.992,395.008,0.018,505.721,396.139,0.032,502.426,399.574,0.019,497,403.5,0.017,491.263,409.737,0.015,483.755,417.245,0.017,473.338,426.796,0.017,463.052,436.948,0.016,454.062,444.82,0.017,443.889,453.876,0.017,431.021,466.979,0.018,424.64,476.32,0.017,413.976,486.627,0.015,402.742,498.258,0.017,392.377,509.47,0.017,379.364,523.606,0.016,369.187,535.994,0.017,360.276,548.371,0.017,347.336,561.997,0.018,336.406,571.134,0.017,322.847,586.153,0.016,309.251,600.453,0.016,294.433,615.567,0.017,279.685,629.368,0.016,267.23,642.84,0.017,253.659,655.146,0.016,244.162,664.838,0.019,236.955,674.915,0.017,228.654,682.789,0.016,222.586,688.414,0.016,219.395,693.21,0.017,217.155,695.845,0.03,215.952,698.095,0.018,214.832,700.336,0.021,212.589,702.411,0.08,215.009,702,0.05,218.396,703.132,0.019,221,704.5,0.017,234.949,707.263,0.016,246.592,709.518,0.016,261.295,710,0.018,278.036,711.002,0.015,293.723,711,0.018,314.469,711,0.03,336.055,712.371,0.013,356.344,711,0.024,402.706,710.268,0.017,424.15,710,0.022,443.625,709.022,0.013,461.649,709,0.015,480.753,707.779,0.017,495.892,708,0.018,510.053,706.534,0.016,519.157,706,0.016,527.003,704.571,0.017,534.021,704,0.017,540.745,702.085,0.016,544.24,700.92,0.066,541.732,701,0.096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,1771,LEPD
187,401,0,225.565,403.841,0.018,243.593,405.037,0.017,262.717,406.16,0.017,283.144,407.286,0.018,304.577,407,0.019,325.5,408.5,0.013,359.25,409.646,0.017,387.448,410.772,0.017,403.622,411,0.016,422.284,412.017,0.017,437.956,412,0.016,456.153,412,0.019,467.219,412,0.016,482.5,412,0.017,489.383,411,0.016,495.759,410.248,0.016,500.487,410,0.017,504.993,409.002,0.017,508.357,409,0.017,510.473,409,0.032,512.489,407.756,0.083,509.968,410.032,0.034,506.487,411.171,0.02,501.174,412.457,0.016,489.325,424.26,0.016,477.547,435.044,0.016,463.211,446.299,0.017,451.526,457.474,0.016,437.034,469.817,0.017,426.053,479.752,0.017,414.826,495.126,0.018,396.474,505.35,0.017,385.258,518.742,0.016,373.824,530.176,0.017,363.738,541.876,0.016,349.953,555.121,0.016,338.484,566.516,0.018,326.159,577.674,0.015,309.893,591.521,0.019,301.227,600.773,0.017,290,612,0.017,278.058,622.942,0.014,267.952,633.832,0.018,256.033,645.967,0.017,246.784,656.242,0.015,237.803,665.197,0.017,230.09,674.183,0.017,223.647,680.353,0.02,220,685.5,0.015,217.723,687.277,0.022,216.239,689.521,0.011,215.5,691,0.032,213.914,692.086,0.117,216.153,692,0.05,218.176,690.912,0.018,223.891,692.473,0.066,262.379,695.931,0.018,283.593,697.084,0.016,306.097,698.205,0.017,327.172,698,0.018,351.246,698,0.016,374.46,698,0.016,410.884,698,0.017,438.517,698,0.018,456.057,696.126,0.016,473.922,696,0.016,488.408,694.815,0.018,497.745,695,0.016,506.422,695,0.018,509,693.5,0.015,510,695.5,0.187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,1661,LEPD
188,409,0,218.678,408,0.017,234.89,408.849,0.017,252.58,409,0.017,269.417,410.094,0.017,287.395,411.212,0.016,306.719,411,0.018,327.307,412.461,0.018,365.482,414,0.015,387.793,414,0.016,407.192,414,0.017,428.034,413.051,0.017,448.257,411.93,0.026,463.081,410.807,0.019,479.767,409.686,0.022,492.818,408.124,0.016,505.704,407,0.019,515.071,405.643,0.014,520.965,404.207,0.009,523.848,404,0.012,525,404,0.096,521.847,406.153,0.034,513.865,410.081,0.017,505.967,414.59,0.017,495.59,419.071,0.017,488.258,426.35,0.021,480.5,437.5,0.02,466.017,445.079,0.012,455.169,456.349,0.014,442.444,467.797,0.017,430.997,479.003,0.017,423.201,492.37,0.016,409.058,504.697,0.017,396.961,517.039,0.018,389.063,533.89,0.017,371.882,548.177,0.015,359.15,563.588,0.017,342.28,579.005,0.017,327.287,594.691,0.026,308.287,610.411,0.017,293.185,625.693,0.017,275.898,640.128,0.019,261.469,654.665,0.011,248.696,665.893,0.011,237.9,677.81,0.016,227.521,686.817,0.017,219.314,693.731,0.017,214.696,698.304,0.016,210.194,702.806,0.017,209.674,704.652,0.099,212.179,702.911,0.018,214.178,700.822,0.016,216.613,699.694,0.019,221.68,698.58,0.016,232,699,0.017,246.003,698,0.016,261.636,698,0.016,278.656,698,0.017,298.672,698,0.017,317.603,698,0.016,340.633,699.282,0.021,364.365,700.398,0.014,383,701.5,0.017,406.27,704.284,0.015,425.018,706.532,0.017,442.24,708.765,0.017,457.193,711.03,0.016,472.862,711,0.017,487.335,713.513,0.017,495.03,713,0.018,502.495,713,0.015,505,713,0.083,503,710.923,0.018,511.158,705.561,0.103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,1560,LEPD
184,402,0,204.757,405.114,0.019,229.5,408,0.017,247.174,408.621,0.016,266.652,409.744,0.017,287.443,410.865,0.016,309.761,411.988,0.017,329.994,412,0.017,376.126,414.468,0.016,392.715,414,0.018,409.645,414,0.017,428.987,415,0.016,446.532,415,0.016,459.464,414.154,0.017,470.656,414,0.017,480.794,414,0.017,487.254,414,0.016,490.003,412.666,0.018,493.363,413,0.016,495,411.5,0.032,496.536,412,0.084,493.855,412,0.168,464.168,438.521,0.017,448.92,452.305,0.017,436.121,463.981,0.017,421.756,477.225,0.016,406.019,491.839,0.017,388.99,506.475,0.017,374.981,522.405,0.025,346.866,549.134,0.012,331.149,562.955,0.013,313.174,578.317,0.017,295.862,594.262,0.017,278.995,609.005,0.017,267.793,623.57,0.025,254.161,633.129,0.025,247.172,644.291,0.018,233.74,658.434,0.015,225.88,663.657,0.017,220.595,670.108,0.017,217.073,675.879,0.016,213.717,681.471,0.016,209.121,684.659,0.118,212.017,685.008,0.166,232.544,687.054,0.018,257.537,688.419,0.018,274,689.5,0.017,294.27,690.663,0.016,314.95,691.787,0.016,338.036,692.906,0.017,362.638,694.029,0.017,410.285,694,0.016,434.598,695.275,0.017,458.754,696.398,0.018,478.5,697.5,0.017,499.9,697.641,0.015,515.177,698,0.017,523.326,698,0.017,527.032,698,0.049,524.749,698,0.034,522.463,698,0.094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1635,LEPD
181,398,0,201.23,399.065,0.018,224.587,400.639,0.015,241.386,401.759,0.017,259.108,402.882,0.016,277.039,404.002,0.017,296.206,405.13,0.017,317.748,406.25,0.016,358.387,408.751,0.027,377.335,408,0.014,396.835,409,0.01,417.042,409,0.017,434.083,409,0.017,450.761,409,0.017,460.942,407.895,0.016,471.046,408,0.017,481.058,406.66,0.018,488.337,408.477,0.016,492.382,408,0.016,496.884,407.279,0.017,499.682,407,0.017,501.927,407,0.016,503,407,0.133,500.994,409.013,0.034,498.691,410.155,0.1,479.888,429.112,0.018,463.733,445.267,0.016,448.016,458.415,0.017,435.137,470.458,0.018,422,482.5,0.017,407.192,494.506,0.016,392.925,507.3,0.016,368.494,532.402,0.017,352.756,547.226,0.017,339.327,560.673,0.017,327.117,571.621,0.018,312.06,584.18,0.016,300.5,598,0.018,287.517,610.107,0.014,275.476,622.524,0.017,264.28,632.848,0.017,253.078,645.907,0.017,244.097,656.016,0.017,235.076,663.684,0.022,226.14,671.503,0.024,221.068,677.415,0.015,216.582,682.418,0.009,212.816,685.456,0.014,211.151,687.698,0.021,209.068,688.966,0.019,208,689.5,0.011,206.796,692.307,0.032,204.537,694.463,0.082,206.107,696.215,0.018,208.192,696,0.033,215.308,699.654,0.019,228.262,701.117,0.016,242.849,702,0.016,259.891,702,0.017,277.828,701.073,0.017,297.89,701,0.016,319.232,699.83,0.017,343.204,700,0.018,372.387,698.585,0.017,393.5,697.5,0.016,415.808,697.658,0.016,435.498,698,0.017,453.495,698.906,0.024,465.29,699,0.009,481.095,701.299,0.017,487.874,702.268,0.019,494.363,703.394,0.016,496.5,703,0.018,499.272,703,0.014,501.502,702.249,0.019,503,701.5,0.032,507.25,698.75,0.032,510.557,699,0.103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,1726,LEPD
200,402,0,243.622,404,0.016,266.103,403,0.018,285.544,403.454,0.017,317.652,406,0.007,342.41,407,0.017,368.8,407,0.015,395.706,407.572,0.018,422.424,406.327,0.015,448.998,405,0.016,470.596,404,0.019,490.843,403.594,0.017,507.195,403,0.016,515.791,403,0.018,513.869,404.065,0.032,509.463,407.537,0.051,503.766,410.117,0.032,492.565,421.922,0.017,481.901,438.827,0.016,463.226,456.802,0.017,450.477,473.305,0.017,431.395,489.684,0.016,412.235,509.647,0.016,390.458,529.542,0.017,369.443,544.362,0.017,355.949,561.487,0.016,335.206,581.163,0.015,312.659,600.414,0.017,298.996,619.673,0.017,280.669,635.331,0.017,264.713,655.626,0.016,251.39,670.415,0.016,245.701,679.448,0.017,238.422,689.973,0.018,214.629,715.371,0.017,191.948,733.17,0.018,191.215,735,0.05,194.052,732.895,0.017,198.69,731.655,0.018,207.914,732,0.015,235.383,732.836,0.017,264.062,734.076,0.017,296.843,734,0.018,334.936,731.433,0.016,376.597,729.189,0.017,416.924,725.885,0.009,452.763,724,0.018,480.556,720.454,0.016,500.318,718.21,0.017,514.106,717,0.017,514.821,717,0.177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,2102,LEPD
182,404,0,238.751,406,0.017,270.158,406,0.017,301.565,405.388,0.015,344.308,404.141,0.017,371.026,402.897,0.017,398.516,400.653,0.018,420.505,399.409,0.015,441.512,398.165,0.017,456.401,396.92,0.017,464.305,397,0.018,470.5,398.5,0.016,485.061,398,0.017,492.115,397,0.017,495,399.268,0.05,491.922,402.156,0.057,487.754,407.246,0.013,484.11,411.781,0.017,477.456,419.544,0.017,462.987,432.26,0.018,456.522,444.478,0.015,447.53,454.337,0.017,434.668,467.775,0.016,422.225,483.839,0.018,405.422,497.981,0.015,391.1,510.9,0.017,372.57,528.688,0.017,360.022,541.978,0.018,342,555,0.018,330.463,571.537,0.016,310.604,591.593,0.016,294.836,607.164,0.017,279.5,625,0.017,260.815,646.782,0.017,245.828,664.197,0.016,234.853,680.007,0.017,224.5,686,0.017,220.446,691.331,0.017,212.908,704.16,0.016,203.943,711.792,0.017,202.179,714.089,0.018,206.732,713,0.033,213.199,711,0.017,223.867,710,0.017,252.069,711,0.017,286.027,711,0.017,321.069,709.29,0.016,358.106,706.089,0.018,393.577,706.199,0.018,421.148,705,0.018,444.225,703,0.016,461.585,702.069,0.019,472.69,702,0.026,484.5,700.5,0.016,490.358,701,0.016,494,701,0.017,498.794,701.356,0.126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,2269,LEPD
