@relation RegistrosP1LJLE
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
162,403,0,209.176,403,0.022,251.402,401.663,0.017,272,399,0.014,296.106,398.376,0.037,318.306,397.247,0.011,389.961,396.998,0.017,406.784,397,0.016,431.075,398.242,0.044,453.246,400.725,0.046,493.794,401.448,0.018,506.904,402.976,0.008,509,403.5,0.035,508.115,405.231,0.05,504.467,406.178,0.02,498.878,411.298,0.017,493.153,416.847,0.028,480.641,433.748,0.018,471.407,442.593,0.017,461.307,451.283,0.018,453,464.5,0.018,437.556,476.746,0.016,424.306,491.065,0.014,407.269,504.128,0.019,393.377,519.727,0.017,376.346,535.477,0.015,362.681,551.829,0.018,345.725,568.275,0.016,328.5,585.5,0.021,310.5,603.5,0.012,292.667,621.944,0.024,274.947,639.053,0.013,258.444,654.519,0.014,245.163,667.837,0.016,230.234,681.476,0.025,219.44,691.165,0.068,189.233,717.767,0.03,188,719,0.043,192.29,718,0.02,204.825,717.38,0.015,216.585,716.242,0.016,232.08,713.384,0.017,250.798,710.036,0.017,274.715,705.483,0.016,291.891,699.784,0.018,320.076,695.422,0.018,342.187,692.545,0.018,364.626,689.837,0.032,408.589,686.151,0.03,428.565,685.024,0.025,446.899,685,0.013,481.436,685,0.02,494.841,685,0.014,505.911,685,0.015,518.102,684.29,0.016,531.91,683.161,0.017,547.488,683.899,0.018,562.726,684,0.053,578.776,684,0.017,603.5,685,0.012,607.714,687.357,0.019,614.664,690.427,0.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,1483,LJLE
194,399,0,238.578,400,0.101,349.495,401.851,0.086,459.159,410.018,0.032,478.969,412,0.011,483.068,412,0.02,485.314,412,0.013,487,412,0.152,489.768,412,0.017,492.001,412,0.031,494.246,413.123,0.088,492.274,415.863,0.051,490.052,417.948,0.023,466.877,437.429,0.021,456.707,445.816,0.018,443.013,455.392,0.022,430.56,466.871,0.029,400.578,492.537,0.023,371.634,520.796,0.019,359.307,535.365,0.035,332.202,561.798,0.011,317.236,575.37,0.026,305.579,589.719,0.023,294.663,601.337,0.018,271.61,626.911,0.02,260.437,637.266,0.017,249.499,648.752,0.014,242.09,657.91,0.016,234.35,665.65,0.015,226.406,671.995,0.017,223.147,678.56,0.021,220.901,682.148,0.01,219.828,685.515,0.019,220,687.871,0.081,220.269,694.538,0.032,223.143,698.143,0.019,226.815,699.272,0.052,251.026,701.372,0.027,264.663,700.238,0.012,277.764,700,0.023,309.853,697.868,0.017,328.055,696.747,0.019,343.233,695.626,0.016,363.472,696,0.018,379,694.5,0.08,460.574,696,0.021,475.666,694.641,0.03,488.291,695.523,0.017,506.332,695.722,0.016,511.403,696,0.023,513.943,696,0.01,515,696,0.299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1831,LJLE
198,412,0,240.552,407.791,0.019,257.432,405.596,0.011,274.667,404.622,0.016,295.257,403.456,0.02,311.5,402.5,0.016,333.051,400.313,0.015,368.837,397.443,0.016,395.826,397,0.021,413.586,395.901,0.015,434.027,394.776,0.017,454.691,393.628,0.015,465.942,394,0.016,478,394,0.016,488.147,394,0.018,494.299,394,0.015,496.98,394,0.016,498,394,0.101,495.924,396.152,0.032,496,399.828,0.017,493.802,401.198,0.017,490.197,406.07,0.018,485.098,412.378,0.019,479.5,419,0.019,467.625,430.047,0.011,458.462,439.538,0.017,449.576,450.281,0.017,435.128,463.805,0.016,424.396,475.764,0.018,407.65,491.04,0.016,392.242,506.758,0.018,380,519,0.017,365,534,0.016,347.275,550.725,0.016,331.367,565.731,0.017,311.088,580.659,0.018,300.417,596.216,0.018,281.309,609.518,0.014,270.733,624.043,0.018,263,634,0.022,251.412,647.52,0.012,242.751,658.249,0.015,232.83,669.986,0.018,223.785,681.269,0.015,217.114,689.033,0.021,211.661,695.606,0.013,210.256,699.488,0.019,209,701.044,0.015,209,703,0.052,213.899,704.966,0.024,216.73,705.546,0.015,220.334,706.222,0.017,229.329,705.918,0.015,241.766,703.523,0.018,255.753,701.833,0.009,274.379,698.087,0.018,292.665,695.292,0.016,310.807,692.036,0.018,329.884,690.889,0.043,365.93,688.671,0.018,384.13,688,0.028,416.829,687,0.02,430.377,687,0.019,443.662,687.972,0.021,465.895,689.211,0.022,480.061,691.677,0.018,486.312,691.925,0.026,491.336,693,0.03,495.823,694,0.028,497.536,694,0.126,499.007,695.003,0.033,502.453,693.849,0.024,504.849,694,0.161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,1701,LJLE
198,408,0,222.336,406.942,0.024,247.172,406,0.013,263.901,406,0.016,279.531,406.824,0.015,296.026,407.935,0.017,315.19,408,0.016,332.143,409.134,0.02,372.84,410.339,0.013,382.285,411.449,0.02,398.5,411,0.015,407.5,411,0.016,424.823,411,0.017,437.286,411,0.017,449.611,411,0.024,458.465,411,0.079,473,411,0.173,475.976,410,0.019,477,410,0.029,481.748,409,0.015,484,409,0.015,488.467,408,0.014,492.999,408,0.027,496.601,407.133,0.019,499.995,407.998,0.008,501.5,408.5,0.013,502.244,408,0.066,499.732,409.134,0.052,491.594,415.305,0.016,487.127,421.091,0.02,481.26,429.436,0.024,470.161,437.412,0.024,460.138,447.402,0.023,432.477,472.877,0.021,419.45,488.427,0.02,399.524,503.066,0.011,382.532,519.264,0.01,363.558,537.122,0.024,347.335,553.665,0.017,329.124,571.295,0.021,310.957,589.733,0.014,293.084,608.724,0.02,274.985,626.076,0.018,259.343,643.896,0.022,247.359,660.188,0.018,224.317,688.535,0.021,218.251,698.498,0.01,211.961,708.385,0.013,208.405,714.987,0.018,208.917,718.75,0.023,211.087,722.13,0.009,217.97,725.485,0.018,227.298,726.287,0.018,246.11,727.407,0.016,268.616,723.944,0.079,320.318,718.455,0.039,440.09,703.239,0.037,517.953,697.378,0.053,555.969,697,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1689,LJLE
187,401,0,224.422,401,0.084,329.026,403.456,0.03,400.316,405,0.028,422.755,405,0.015,444.304,405.963,0.019,462.403,405.083,0.026,480.492,406,0.029,504.505,405,0.023,512.849,405,0.035,517.536,406.268,0.042,514.844,407.078,0.023,512.303,410.273,0.032,498.994,420.336,0.021,490.443,428.35,0.019,481.788,437.212,0.034,455.4,458.275,0.026,420.886,489.706,0.029,397.957,509.511,0.027,357.864,548.136,0.03,314.556,585.36,0.028,297.324,602.395,0.028,260.595,636.791,0.232,245.538,703.853,0.068,321.254,699,0.04,360,699,0.134,538.613,700.945,0.018,542.197,703.132,0.037,538.538,701.846,0.188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1345,LJLE
173,394,0,206.214,394,0.118,380.024,394,0.052,410.663,394.703,0.026,445.715,395.924,0.019,458.599,395,0.053,490.094,395,0.027,497.5,395,0.024,498.537,395,0.065,495.833,397.167,0.035,493.464,399.536,0.016,492.214,402.572,0.017,490.163,404.837,0.017,486.907,408.093,0.017,484.688,410.312,0.016,482.452,413.822,0.017,480.194,418.611,0.017,476.5,423,0.017,475,430,0.016,465.171,436.595,0.016,458.66,444.23,0.017,450.911,453.101,0.017,438.508,464.356,0.017,427.419,475.581,0.016,416.185,486.815,0.019,399,502.5,0.017,382.67,516.086,0.015,368.027,530.721,0.017,352.853,547.015,0.017,338.154,562.834,0.067,293.782,608.87,0.024,268.006,634.994,0.036,249.886,656.583,0.026,243.149,664.826,0.032,233.931,681.496,0.031,227.541,687.918,0.018,227.85,690.701,0.017,228.269,691.538,0.02,231.879,692.94,0.065,251.206,695,0.019,261.078,695,0.028,271.183,695,0.029,294.15,695,0.01,307.668,695,0.012,323.433,693.826,0.047,358.088,693,0.021,377.238,693,0.076,451.397,692,0.074,483.169,693,0.044,491,694.5,0.044,492.746,694,0.048,495,694,0.015,497.746,692.127,0.024,499,691.5,0.076,500.179,690.911,0.066,501.02,688.961,0.339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,2045,LJLE
188,397,0,222.726,395.404,0.014,243.69,394.279,0.018,262.739,394,0.019,281.662,394,0.014,300.568,394,0.016,320.708,394,0.04,347.932,395.625,0.037,421.363,398,0.036,456.509,399,0.021,468.886,400.055,0.015,485.652,401,0.008,494.604,401.651,0.012,503.515,403.879,0.025,512,404.5,0.018,514,405.5,0.039,513,409.074,0.021,508.242,411.379,0.013,500.261,415.994,0.018,490.434,425.12,0.041,467.976,442.349,0.024,454.43,452.178,0.014,437.212,465.091,0.011,423.973,477.025,0.013,401.751,492.223,0.013,388.341,506.659,0.02,368.097,524.091,0.026,353.658,539.299,0.02,336.805,556.509,0.06,275.682,618.581,0.029,253.932,643.602,0.022,244.956,655.549,0.016,237.197,665.705,0.014,229.049,674.951,0.021,225.26,683.091,0.041,224.246,692.491,0.034,229.501,694.751,0.02,250.129,698,0.027,265.039,698,0.023,297.809,698,0.027,314.448,696.92,0.036,378.791,692.534,0.048,418.583,690.285,0.056,481.73,690,0.025,492.161,689,0.026,507.773,689,0.032,513,689,0.258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,1381,LJLE
229,404,0,270.549,405.871,0.015,290.751,406,0.016,309.969,406,0.016,328.919,406,0.021,349.387,406,0.015,369.475,406,0.014,389.5,407.5,0.019,428.074,409,0.015,445.704,409,0.017,460.529,409.964,0.021,474.169,411.097,0.447,223.744,673.849,0.016,221,681.5,0.016,220,687,0.118,241,716.5,0.018,250.5,718,0.014,267.154,717.744,0.018,282.28,717.132,0.016,300.866,716.008,0.018,319.918,713.774,0.016,342.711,711.529,0.017,367.959,707.915,0.017,386.638,704.56,0.017,411,703,0.015,430.948,702.27,0.017,449.469,702,0.017,462.712,702,0.018,479.416,702,0.018,487.701,702,0.023,494.047,702,0.088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1113,LJLE
180,400,0,204.757,401.076,0.018,236.154,402.579,0.06,307.003,403,0.016,362.713,403.175,0.026,425.326,405,0.035,457.445,406.677,0.031,469.057,407,0.025,489.347,407,0.029,495.578,408.289,0.076,493.893,410.215,0.053,491.868,411.066,0.036,489.483,415.034,0.017,487.723,418.554,0.019,483.968,423.79,0.056,458.927,447.954,0.024,448.978,456.519,0.021,423.008,478.493,0.044,392.165,505.099,0.026,363.196,533.786,0.017,347.821,549.179,0.027,332.841,564.934,0.075,278.961,621.742,0.033,245.368,655.632,0.014,236.086,664.488,0.02,226.664,672.336,0.026,214.706,684.721,0.014,211.605,688.093,0.037,210,690.5,0.043,209.821,691.358,0.036,212.268,692.134,0.049,214.358,692,0.033,216.045,693.023,0.024,222.438,694,0.023,230.58,694,0.033,241.872,693.459,0.009,270.299,690.435,0.017,285.758,689.096,0.054,322.43,686.857,0.059,360.446,684.621,0.06,452.161,690.211,0.041,467.545,692.364,0.016,480.475,694,0.033,484.973,694.743,0.033,495.311,696,0.061,508.385,697,0.036,511.796,697,0.072,521.464,698.732,0.032,522.357,699.179,0.283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1922,LJLE
207,399,0,249.822,401.843,0.01,270.539,400.708,0.009,292.504,399.552,0.017,314.761,401,0.017,336.857,401.66,0.018,360.762,403.596,0.016,400.724,407.664,0.013,422.785,411.131,0.018,437.383,414.55,0.034,460.366,419.841,0.018,469.845,422.538,0.015,477.998,423.666,0.018,483.96,423.208,0.015,486.758,422.121,0.018,489.095,422,0.133,487.999,424.002,0.034,485.744,428.512,0.02,481.889,433.481,0.018,475.5,442.5,0.018,461.785,454.837,0.022,445.331,468.688,0.021,427.904,485.096,0.02,383.596,526.404,0.113,227.716,653.763,0.028,208.443,676.836,0.031,206,688.33,0.022,210.311,692.387,0.066,271.674,699,0.075,388.563,691.567,0.066,480.439,688,0.024,539.429,690.179,0.289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1236,LJLE
