@relation RegistrosP1MACCH
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
194,379,0,211.171,381.146,0.019,231.739,383.562,0.017,245.839,384.68,0.016,261.251,385,0.017,276.867,385,0.017,293.651,383.957,0.016,312.787,381.672,0.017,349.804,378.148,0.018,370.51,376.189,0.017,390.5,372.5,0.016,412.864,366.784,0.016,433.035,362.7,0.017,453.87,360.224,0.017,473.145,357.983,0.016,491.067,358,0.017,507.663,358,0.016,521.8,356.631,0.019,530.421,355.509,0.016,542.268,355,0.016,548.662,355,0.017,552.554,355,0.017,554.5,355,0.065,550.819,357.181,0.019,543.241,367.486,0.016,528.534,379.977,0.016,514.2,392.8,0.017,496.069,409.057,0.017,481.223,423.777,0.017,459.627,441.841,0.016,440.964,454.555,0.019,419.011,475.148,0.016,397,487.5,0.017,375.192,508.205,0.015,353.969,527.031,0.017,332.034,546.271,0.017,307.542,565.354,0.017,286.312,584.405,0.016,264.931,601.002,0.017,242.319,619.144,0.018,227.5,635.5,0.017,209.894,652.354,0.015,194.574,666.192,0.017,185.818,678.5,0.017,181.056,685.916,0.017,176.573,689.32,0.016,174.541,693.918,0.02,172.322,697.017,0.021,173,698.941,0.026,177.139,700.713,0.017,179.663,702.663,0.017,183.805,705.854,0.016,188.279,710.279,0.017,196.348,712.385,0.016,208.079,714.616,0.019,219.348,716.87,0.016,233.301,717,0.017,247.42,717.675,0.015,264.51,718,0.017,278.998,718.917,0.018,296.629,719,0.016,311.047,719,0.016,330.637,719,0.019,342.74,719,0.017,363.5,719,0.016,379.853,721.277,0.015,395.894,722.761,0.018,411.294,723,0.016,428.006,722,0.017,442.514,722,0.016,457.182,720.755,0.017,466.23,721,0.018,480.832,721,0.017,486.018,720.396,0.015,490.899,720,0.017,493.686,720,0.017,495,720,0.066,491.821,718.91,0.129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,1519,MACCH
183,394,0,203.479,397.072,0.013,224.708,399.714,0.019,239.704,400.479,0.023,254.393,402.199,0.012,268.66,403.722,0.013,283.829,405.69,0.017,298.527,407.927,0.017,330.436,412.336,0.016,340.048,413.205,0.017,359.198,414.325,0.018,371.354,414,0.017,389.533,414.431,0.016,403.6,414,0.016,419.164,414,0.017,431.289,414,0.016,446.721,414,0.017,457.697,414,0.017,467.612,412.71,0.018,483.349,413,0.017,490.198,412,0.016,497.588,412,0.016,505.434,412,0.017,509.688,412,0.016,511.5,412,0.066,512.2,412,0.067,509.732,413.134,0.033,507.85,414.075,0.067,478.683,436.488,0.018,459.14,451.558,0.017,440.783,467.315,0.017,420.784,482.946,0.016,401.836,496.233,0.017,381.436,511.018,0.018,364.169,525.55,0.017,320,560.5,0.016,308.633,571.698,0.017,290.568,588.642,0.016,274.255,602.014,0.017,259.597,616.403,0.016,247.331,627.517,0.017,240.079,634.921,0.018,229.445,644.16,0.028,222.5,653,0.022,218.103,659.162,0.016,214.123,667.754,0.017,213,672.001,0.016,211.881,677.594,0.017,210.761,680.718,0.016,209.64,682.72,0.017,210,684.96,0.056,210,686.357,0.044,211.052,688.104,0.033,213.447,689.224,0.019,216.13,692.13,0.016,220.43,695.058,0.017,228.465,699.232,0.016,239.269,701.854,0.017,248.395,705.148,0.016,262.013,709.671,0.017,276.814,712.88,0.019,287.077,714.815,0.016,305.5,714,0.017,320.082,713.703,0.015,333.497,713,0.017,347.622,711.212,0.017,362.19,711,0.017,372.197,709.867,0.016,387.328,707.488,0.017,399.112,705.252,0.018,405.481,704.503,0.017,418.154,705,0.015,426.438,705.74,0.017,434.005,706,0.017,444.779,705.022,0.017,453.788,705,0.016,459.118,703.776,0.017,467.388,701.318,0.018,476.693,702,0.017,485.499,700.417,0.017,492.227,698.591,0.016,501.375,696.361,0.026,510.529,694.118,0.013,516.298,691.881,0.011,520.749,689.626,0.016,525.196,687.402,0.018,526.853,686.573,0.017,530.649,684.351,0.094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,1799,MACCH
193,425,0,207.44,418.812,0.018,239.863,410.48,0.016,242.027,410.662,0.019,253.171,409.537,0.016,268.379,408.42,0.016,282.805,407.3,0.017,297.665,406.18,0.016,314.118,405.059,0.017,341.542,406.062,0.017,357.766,406,0.016,371.897,407.3,0.019,387.903,408.422,0.016,401.5,409.5,0.017,415.903,410,0.015,429.615,410,0.017,444.66,410,0.017,456.27,410,0.017,465.162,410,0.026,477.137,410.267,0.011,486.066,411.383,0.014,489,412.5,0.017,491.884,414.628,0.016,493.752,416.505,0.016,494,418.74,0.017,494,421.977,0.017,490.668,430.885,0.016,482.366,441.102,0.018,462.422,453.835,0.017,445.864,476.563,0.017,421.319,493.275,0.016,398.962,511.741,0.016,376.299,531.031,0.017,353.891,549.287,0.017,329.327,567.216,0.016,303.541,586.295,0.017,279.063,601.414,0.018,261.604,617.09,0.017,242.767,630.451,0.016,227.499,640.786,0.016,215.815,651.983,0.017,205.715,658.603,0.017,196.704,662.111,0.016,190.041,670.119,0.017,185.888,679.223,0.018,182.805,688.187,0.017,181,691,0.016,181,692.282,0.016,182.529,693.765,0.017,185.647,695.765,0.017,191.022,698.009,0.016,202.206,700.241,0.017,217.135,701.241,0.017,230.381,701,0.017,252.713,702.484,0.017,273.88,702.604,0.016,297.739,703,0.017,323.488,703,0.016,346.354,700.097,0.017,373.066,696.742,0.017,399.955,695.794,0.017,420.275,694.67,0.017,440.089,690.652,0.017,456.698,689.86,0.016,467.93,688.307,0.017,478.298,688,0.016,483.731,688,0.017,486.103,688,0.034,489.439,686.854,0.016,491.831,687,0.094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,1250,MACCH
204,396,0,228.513,400.419,0.016,241.081,401.826,0.017,254.413,402.951,0.017,267.837,403,0.017,282.472,403,0.016,296.976,404.306,0.018,311.625,404,0.017,346.5,407,0.015,356.117,405.673,0.02,371.506,405.208,0.015,390.36,405,0.016,404.348,403.971,0.016,423.619,404,0.017,438.842,402.726,0.016,457.229,400.221,0.018,469,398,0.017,485.325,395.368,0.016,496.54,394.246,0.017,506.88,393.124,0.017,512.981,393,0.016,516.344,391.885,0.032,518.358,392,0.084,516.893,394.214,0.021,515.96,396.08,0.015,510.022,405.564,0.019,496.509,414.539,0.015,485.629,427.808,0.016,475,445.5,0.016,455.807,458.241,0.016,437.586,471.008,0.018,422.951,483.128,0.016,404.334,498.548,0.017,389.895,511.943,0.016,372.801,527.919,0.019,360.127,540.873,0.016,342.5,558.5,0.017,327.449,572.914,0.016,311.35,589.411,0.016,296.507,602.724,0.017,280.938,616.054,0.017,269.752,628.373,0.016,254.838,641.919,0.017,242.939,660.907,0.018,233.626,674.318,0.017,223.138,686.862,0.015,216.366,694.361,0.017,211.611,701.931,0.017,206.182,709.746,0.017,202.735,714.354,0.049,203,716.3,0.051,210.249,717.625,0.017,214.731,719.866,0.017,222.36,721.051,0.017,233.694,723.339,0.016,246.169,724.288,0.018,257.114,724,0.017,275.5,725.5,0.016,288.761,726.651,0.016,304.814,725.455,0.017,322.279,725,0.016,338.235,723.983,0.017,354.987,724,0.027,370.592,721.487,0.032,388.631,720.249,0.017,419.599,716.386,0.01,433.09,715.265,0.015,448.005,714.143,0.017,458.801,714,0.016,471.057,712.904,0.017,484.635,711.78,0.017,492.713,712,0.018,504.575,710.542,0.017,511.48,710.42,0.016,516.104,710,0.016,518.642,709.179,0.017,520,708.5,0.032,519,706.878,0.033,516.574,707,0.097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,1585,MACCH
201,397,0,224.482,401.084,0.033,247.123,403.285,0.006,266.91,404,0.015,285.886,404.523,0.015,306.258,405,0.016,325.276,405,0.017,344.954,405,0.017,383.308,406.009,0.018,400.003,407.134,0.015,417.941,407,0.017,434.558,408.371,0.018,452.859,406.509,0.016,464.351,408,0.016,478.522,408,0.017,488.827,408,0.016,499.738,407.026,0.017,510.943,407,0.017,513.645,407,0.099,510.122,409.939,0.017,499.404,416.357,0.018,479.894,438.472,0.016,457.005,454.496,0.018,431.724,481.276,0.017,408,505,0.016,378.83,527.191,0.016,356.961,548.039,0.017,335.862,568.236,0.017,310.523,590.415,0.016,291.599,609.401,0.017,271.283,629.717,0.017,257.998,641.618,0.018,243.5,658,0.017,233.532,665.601,0.015,223.063,674.937,0.017,215.808,683.058,0.017,211.056,687.944,0.016,206.565,693.544,0.017,202.102,697.898,0.016,200.31,701.036,0.05,201,702.357,0.05,205.148,703,0.018,207.375,704.187,0.016,212.256,706.628,0.019,219.603,710.302,0.017,233.654,711.109,0.016,245.752,712.675,0.015,260.92,713.795,0.017,276.803,714,0.017,293.558,714,0.017,310.297,714,0.016,329.567,711.463,0.017,343.232,712,0.018,363.5,709,0.017,377.948,707.722,0.016,392.895,705.478,0.018,404.8,704.12,0.015,420.005,701.999,0.016,431.208,699.758,0.017,446.109,700,0.017,459.381,697.27,0.018,466.832,696.521,0.017,482.036,696.396,0.015,491.06,695.277,0.017,502.275,695,0.017,513.655,693.069,0.017,520.516,693,0.016,526.034,691.793,0.017,530.308,692,0.017,533.336,692,0.032,529.464,690.732,0.034,526.131,688.131,0.018,521.795,683.795,0.091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,1465,MACCH
206,387,0,224.552,388.031,0.019,241.43,389.453,0.017,253.357,391.578,0.016,264.963,392.696,0.016,276.184,394.637,0.017,288.329,395.939,0.016,299.617,398.123,0.017,323.779,402.72,0.017,335.604,404.601,0.018,343.373,405.422,0.017,358,405,0.016,369.936,405,0.017,382.378,404.218,0.016,394.924,403.098,0.017,403.174,401.975,0.029,414.276,401,0.009,424.117,400.735,0.011,433.027,399.622,0.018,443.5,397,0.017,453.999,396.375,0.016,462.987,394.503,0.017,474.545,394,0.017,483.905,392.024,0.016,489.544,390.891,0.017,495.145,389.771,0.017,503.412,391.345,0.017,506.875,389.531,0.016,508,390,0.066,505.866,392.267,0.018,503.821,394.179,0.016,501.377,397.935,0.018,490.538,411.328,0.018,477.82,427.389,0.015,463.93,442.397,0.016,450.469,456.325,0.017,434.28,469.976,0.017,422.67,480.297,0.016,403.426,496.12,0.018,389.399,506.77,0.015,373.52,517.914,0.019,362.5,530.5,0.017,348.524,538.685,0.015,336.196,551.072,0.018,322.637,563.615,0.03,309.021,574.983,0.009,300.066,590.634,0.016,285.173,603.062,0.019,271.726,617.63,0.01,265.648,629.268,0.017,251.619,643.968,0.016,242.954,656.487,0.016,233.433,666.567,0.017,223.328,679.562,0.017,217.612,687.543,0.016,214.39,691.813,0.017,211.038,694.962,0.033,210.733,696.535,0.066,213.268,697.134,0.018,216.249,699.166,0.016,218.573,701.573,0.017,223.626,705.219,0.019,234,708.5,0.016,243.135,711.284,0.015,254.412,712.765,0.017,268.543,713,0.017,281.071,713,0.032,296.777,710.746,0.02,323.422,708.263,0.018,334.409,709,0.015,342.868,709,0.021,352.561,709,0.012,360.955,709,0.016,366.859,708.028,0.017,372.462,706.908,0.017,381.681,705.79,0.017,389.322,704.668,0.018,395.726,703.546,0.017,399.869,703,0.015,406.165,703.694,0.016,413.688,704,0.017,421.544,704,0.018,427.267,704,0.016,432.893,704,0.016,444.937,705.294,0.019,454.758,702.165,0.017,462.815,702.465,0.018,474.225,701.343,0.013,484.997,700.223,0.017,493.288,699.102,0.017,503.15,699,0.017,510.976,697.861,0.016,516.287,696.742,0.017,517.761,697,0.033,519.536,697,0.144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,1852,MACCH
188,406,0,219.65,405,0.018,234.685,405,0.017,250.288,405,0.017,264.764,405,0.016,279.302,405,0.018,295.361,405,0.017,318.615,404.427,0.015,337.956,404,0.017,353.17,403.189,0.016,367.217,403,0.018,380.641,401.947,0.017,395.26,403.174,0.015,404.654,401.705,0.018,418.976,402,0.019,433.5,403.5,0.015,446.538,403.657,0.016,457.207,404,0.016,468.859,404,0.017,483.19,405.015,0.017,490.994,405,0.017,498.799,405,0.02,506.646,405,0.024,507.995,405.497,0.008,510,406.5,0.047,506.643,407.179,0.017,504.904,408.048,0.017,496.463,410.439,0.016,485.942,420.719,0.019,474.404,436.975,0.018,455.881,451.119,0.015,437.394,467.505,0.016,419.719,483.462,0.017,398.178,501.057,0.016,378.988,515.774,0.018,361.082,533.918,0.016,340.594,547.904,0.019,326.027,565.399,0.016,307.035,577.592,0.017,290.103,592.592,0.028,275.373,607.196,0.013,261.287,621.713,0.019,247.752,633.397,0.021,236.134,650.579,0.017,213.905,672.482,0.019,206.5,685.5,0.016,200.251,688.499,0.017,195.766,692.979,0.016,193.265,695.735,0.016,192,697,0.032,194.076,698.151,0.034,197.702,699.234,0.034,203.128,702.419,0.017,208.147,703.829,0.017,213.746,706.848,0.017,220.419,708.07,0.017,230.693,709.188,0.016,243.482,709,0.018,251.441,710.43,0.017,266,708.5,0.017,278.058,708,0.016,289.714,707.208,0.016,302.974,707,0.017,313.297,707,0.017,327.933,705.851,0.016,338.782,704.722,0.018,352.721,702.213,0.016,370.5,700,0.017,385.774,696.099,0.016,401.808,693.491,0.017,419.89,690.372,0.017,436.945,688.007,0.016,457.059,686.886,0.017,475.962,685.767,0.016,495.15,687.362,0.019,517.024,685.525,0.017,530.365,684.403,0.022,542.463,683.282,0.011,550.035,683,0.016,552.915,682.042,0.016,554,681.5,0.049,553,679.78,0.018,551.5,677,0.126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1616,MACCH
199,405,0,230.987,398.07,0.017,249.474,394.446,0.018,267.548,391.085,0.016,287.623,387.729,0.017,309.048,384.361,0.017,327.626,382.338,0.017,352.478,380.097,0.018,394.277,375.858,0.016,416.523,374.308,0.016,436.814,374,0.017,454.926,374,0.016,467.587,375.053,0.017,482.234,378.515,0.017,489.064,379.295,0.018,492.651,381.825,0.016,495.5,384,0.017,495,386.3,0.015,495,388,0.033,489.95,393.067,0.018,480.938,407.726,0.016,463.161,419.815,0.017,446.351,440.402,0.018,417.585,456.445,0.017,394.54,479.401,0.027,369.072,500.72,0.011,342.469,524.82,0.013,311.619,545.602,0.017,286.98,570.02,0.019,260.995,593.57,0.013,239.245,613.079,0.018,216.791,636.209,0.017,201.135,651.704,0.015,188.381,665.727,0.017,181.075,678.849,0.016,177.177,686.647,0.017,175.94,690.179,0.017,178.365,693.547,0.017,181.909,698.212,0.018,189.537,704.114,0.016,203.621,710.177,0.017,217.948,712.662,0.015,239.239,712.216,0.017,263.938,709.281,0.017,286.455,706.955,0.017,313.493,701.272,0.016,340.328,696.945,0.019,365.85,695.23,0.016,388.11,693.989,0.017,409.872,693,0.015,428.202,693,0.017,445.879,693,0.017,456.911,692.01,0.068,485.419,689,0.017,488.777,689.592,0.015,494.285,690,0.091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,1063,MACCH
226,399,0,253.785,405.21,0.017,269.147,407.715,0.017,285.638,409.952,0.017,301.348,411.096,0.016,318.257,412.217,0.017,332.382,413.337,0.018,349.922,415.923,0.017,378.839,420.736,0.016,395.07,422.698,0.016,411.281,423.819,0.017,425.245,424,0.017,437.657,424,0.016,452.376,424,0.017,461.703,424,0.017,476.05,422.579,0.018,487.5,421.5,0.017,495.942,422,0.015,506.034,422,0.017,513.425,421.096,0.016,517.075,421,0.017,520.436,421,0.1,515.381,426.619,0.018,502.18,439.82,0.017,487.586,452.196,0.016,473.018,470.67,0.017,454.366,484.577,0.018,436.532,503.468,0.017,415.748,519.252,0.015,394.499,538.369,0.016,372.346,558.821,0.017,352.827,580.076,0.017,333.779,599.221,0.017,311.197,621.803,0.017,296.577,637.738,0.018,273.717,660.283,0.016,264,670,0.016,247.573,687.427,0.016,236.834,696.574,0.017,227.668,702.582,0.017,221.814,705.074,0.017,219.684,707.316,0.032,222.399,708.199,0.019,225,708,0.017,233.087,711.272,0.015,243.565,713.513,0.018,257.413,713.122,0.022,274.006,710.999,0.011,290.778,707.644,0.016,311.314,703.041,0.017,334.302,699.905,0.018,349.229,696.554,0.017,375.446,697,0.015,395.278,695.556,0.017,413.491,695,0.017,428.526,694.036,0.017,442.009,695.084,0.016,454.254,695,0.017,461.293,695,0.018,469.117,693.555,0.017,477.413,691.862,0.089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1179,MACCH
227,391,0,261.389,401.347,0.018,279.165,403.896,0.015,296.149,405.077,0.017,314.108,405,0.017,330.719,405,0.018,350.411,403.564,0.016,367,402.5,0.017,403.453,397.65,0.016,420.767,394.606,0.024,435.917,393.083,0.009,453.593,391.963,0.017,463.399,390.845,0.018,479.899,392.279,0.016,489.992,390.601,0.018,496.5,389.5,0.016,504.196,391,0.016,507.525,391,0.017,509,391,0.049,505.877,393.123,0.018,501.917,395.722,0.017,485.18,414.305,0.017,468.329,430.066,0.016,449.678,446.148,0.016,428.946,466.899,0.017,402.776,487.418,0.017,381.365,507.549,0.017,357.665,528.923,0.016,332.853,546.198,0.018,306.691,568.517,0.018,290,582.5,0.015,265.99,600.945,0.017,248.878,616.314,0.016,234.83,627.377,0.017,219.309,637.444,0.017,209.491,652.18,0.016,198.092,662.908,0.017,189.709,672.703,0.018,188.5,682.5,0.015,187.349,687.253,0.017,186.23,692.081,0.017,186,696.567,0.016,186,704.088,0.017,187.133,708.533,0.018,189.507,713.014,0.016,193.09,716.09,0.018,196.495,719.495,0.016,206.299,722.842,0.016,214.152,726.208,0.017,222.858,728.714,0.017,238.699,729,0.016,253.278,726.803,0.017,275.061,723.359,0.024,291.783,719.983,0.012,314.192,716.621,0.016,332.21,715.424,0.016,354.471,713.594,0.017,377.389,710.542,0.016,399.822,707.177,0.017,424.358,703.815,0.017,445.411,701.641,0.016,461.555,702,0.018,484.033,702,0.017,500.342,702.456,0.018,516.307,698.678,0.014,530.187,693.082,0.017,542.989,690.184,0.017,554.227,690,0.017,565.456,691.146,0.016,570.331,702.395,0.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,1274,MACCH
