@relation RegistrosP1MLCHC
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
201,409,0,214.349,405.663,0.019,249,401.5,0.013,249.559,403,0.017,263.287,402.286,0.016,279.349,402,0.016,298.478,401.031,0.02,318.832,401,0.013,338.776,401,0.017,384.806,401,0.021,404.601,401,0.017,419.845,402,0.014,439.894,402.679,0.014,457.269,403,0.021,474.899,403.931,0.016,489.038,402.914,0.014,501.098,404.191,0.02,512.188,405.319,0.017,517.542,406.424,0.016,519.5,407.5,0.047,516.821,409.357,0.018,509.86,414.1,0.015,497.345,420.903,0.021,483.676,431.493,0.015,467.36,443.028,0.016,449,452.5,0.017,429.718,465.645,0.016,411.393,477.559,0.031,393.758,492.359,0.015,373.969,507.034,0.007,359.28,522.852,0.013,340.895,537.335,0.02,325.805,551.824,0.016,308.663,567.847,0.016,296.678,581.543,0.016,282.333,595.18,0.016,270.361,608.367,0.017,258.175,621.809,0.017,249.145,631.962,0.016,241.516,641.908,0.017,232.203,654.845,0.018,224.719,661.281,0.016,217.442,671.337,0.016,210.667,681.5,0.046,197.266,695.734,0.007,192.68,701.4,0.015,190.603,704.595,0.033,191,706.427,0.049,195.418,705,0.019,205.327,705,0.016,213.242,701.896,0.017,224.677,697.329,0.015,243.661,695.417,0.017,257.273,691.783,0.018,280.5,690,0.018,297.095,687.347,0.015,318.581,687,0.016,336.49,686.101,0.017,358.211,684.989,0.017,378.446,686.136,0.016,400.097,687.268,0.017,417.393,688.4,0.018,435,689.5,0.023,451.93,691.61,0.019,469.338,693.452,0.012,484.311,695.719,0.022,500.7,696,0.015,513.999,699.111,0.01,524.106,700.234,0.015,535.59,698.641,0.021,545.247,701.944,0.115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,1371,MLCHC
206,401,0,249.864,401,0.013,267.225,402.045,0.02,286.104,403,0.016,303.815,403,0.019,320.729,403,0.022,338.5,403,0.018,360.273,402,0.016,375.821,402,0.022,390.378,401.405,0.02,399.897,401,0.017,411.085,401,0.016,424.059,400,0.015,435.142,401,0.017,448.026,402.405,0.017,456.523,402,0.016,465.352,402,0.018,473,402,0.016,482.625,401.125,0.016,489.524,401,0.02,490.91,402,0.068,468.643,428.946,0.012,461.024,437.951,0.017,454.997,444.003,0.033,447.186,452.814,0.018,439.155,461.845,0.021,433.199,468.602,0.017,427.743,474.257,0.023,421,482,0.021,411.369,491.631,0.017,402.466,500.534,0.017,397,504.5,0.029,392.813,510.187,0.034,384.616,517.589,0.017,379.671,523.329,0.012,371.204,532.796,0.036,363.424,541.576,0.019,359.224,547.553,0.018,353.847,554.306,0.017,346.778,561.611,0.015,341.039,565.98,0.014,334.288,573.712,0.014,328.283,580.717,0.018,321.627,587.373,0.012,314.643,593.679,0.014,309.828,597.343,0.011,304.41,603.795,0.017,299.75,609.375,0.02,292.738,615.262,0.022,285.983,622.017,0.016,279.22,627.78,0.017,273.564,634.436,0.015,264.674,643.326,0.028,255.091,651.909,0.012,248.332,657.834,0.022,241.596,663.404,0.012,236,669,0.018,228.203,675.797,0.015,221.389,682.306,0.019,214.718,688.282,0.016,207.929,694.071,0.026,198.978,700.767,0.016,198.179,703.09,0.029,204.433,703,0.027,213,704.5,0.036,233.607,706,0.013,250.962,705,0.022,272.992,704,0.013,288.951,702.61,0.018,306.001,703,0.017,328.064,700.787,0.019,338.821,700.393,0.015,351.879,699.976,0.017,362.932,700,0.013,375.503,699.701,0.016,393.121,701.03,0.013,414.072,701.439,0.017,433.661,701,0.018,454.749,702,0.019,470.5,701.5,0.018,486.585,704,0.016,496.756,706,0.016,504,706,0.033,504.85,702.425,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,5578,MLCHC
205,414,0,247.64,409.939,0.021,286.309,405.086,0.015,315.266,401.97,0.013,343.866,398.631,0.019,370.79,395.201,0.016,394.703,392.663,0.015,419.267,390.355,0.016,453.11,389.059,0.019,464.738,389,0.016,473.503,391.376,0.017,477.253,391,0.019,478.856,392.428,0.029,479.269,394.539,0.036,475.192,399.712,0.016,472.966,403.051,0.017,467.182,408.818,0.014,460.199,417.101,0.02,451.96,427.908,0.018,437,442,0.014,423.5,452.5,0.015,405.836,472.123,0.018,390.372,490.206,0.019,373.964,506.033,0.016,361.721,523.86,0.015,347.632,539.929,0.016,335.663,556.914,0.022,325,573.5,0.016,310.582,587.03,0.013,299.617,602.598,0.018,285.702,618.167,0.016,274.017,629.983,0.017,263.869,641.256,0.017,250.051,653.703,0.017,242.146,661.854,0.017,233.194,670.806,0.016,224.968,677.852,0.021,220.248,683.752,0.017,217.368,686.632,0.012,215.074,687.963,0.017,214,688.5,0.034,215,690.183,0.067,213.865,692.27,0.05,216.094,692,0.035,219.553,692,0.019,231.715,692.517,0.012,244.468,692.353,0.019,260.389,692,0.019,276.389,691.115,0.018,293.973,691,0.012,310.094,691,0.015,329.778,692.281,0.018,344.686,692,0.022,365.908,693.494,0.016,385.515,695.212,0.012,404.193,697.492,0.026,422.912,699.754,0.03,442.933,702.989,0.012,476.797,708.712,0.016,492.273,712.13,0.018,507.905,712.493,0.023,518.736,714,0.018,526.207,714.701,0.014,532.208,715,0.011,540.741,715.968,0.096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1317,MLCHC
196,398,0,238.5,406.5,0.013,269.25,410.464,0.02,302.849,413.99,0.016,353.876,419.711,0.018,382.134,421.472,0.016,410.911,424,0.013,434.651,424.965,0.02,456.62,424,0.017,477.45,423,0.014,490.06,419.323,0.016,503.55,417.075,0.016,511.548,416,0.016,510.912,417.044,0.035,501.582,423.534,0.015,487.246,434.628,0.014,464.97,446.832,0.019,442.131,464.843,0.015,419.434,480.996,0.017,395.275,499.58,0.021,373.337,515.331,0.02,356.846,534.009,0.018,337.344,551.272,0.017,317.231,569.489,0.016,304.464,587.764,0.017,289.5,603.5,0.016,274.225,623.367,0.013,260.777,639.26,0.016,248.559,655.729,0.018,240.9,667.625,0.014,232.197,679.803,0.017,223.968,687.021,0.016,219.49,692.51,0.017,216.5,697,0.017,213.5,701,0.027,215.176,704.176,0.035,222.573,708.144,0.016,238.656,711.914,0.017,256.792,713.199,0.016,278.933,713,0.016,303,712,0.018,328.126,712.927,0.017,349.856,714.169,0.016,369.871,715,0.018,393.5,717.5,0.016,414.822,717,0.016,437.508,717,0.017,458.457,715.616,0.019,480.993,715,0.016,497.989,714,0.017,510.443,715,0.017,515.466,715,0.156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,2095,MLCHC
194,408,0,247.118,410.88,0.015,269.596,411,0.015,291.132,411,0.022,312.584,411,0.014,332.496,411,0.016,354.5,411,0.02,384.793,411,0.015,410.634,411,0.014,427.912,410.149,0.02,444.641,410,0.015,456.804,408.927,0.016,469.055,409,0.015,481.709,409,0.022,486.831,409,0.017,490.878,408,0.012,494.352,408,0.02,496,408,0.032,497.534,409.267,0.05,494.802,410.099,0.034,489.496,415.13,0.016,482.791,422.209,0.015,471.036,433.058,0.02,458.592,443.334,0.014,445.198,454.502,0.016,425.253,472.188,0.018,411.854,483.354,0.021,392.588,501.882,0.014,376.153,517.232,0.015,360.372,532.628,0.016,343.885,548.241,0.02,330.045,563.948,0.016,313.519,577.185,0.015,302.788,593.097,0.017,289.779,603.837,0.019,274.5,615,0.014,269,626.5,0.017,257.12,634.731,0.019,247.175,645.531,0.023,239.346,655.556,0.015,230.406,662.446,0.012,220.07,670.501,0.014,213.853,681.22,0.018,208.621,688.331,0.02,203.051,693.538,0.02,197.564,699.436,0.02,192.81,704.988,0.019,192,709.681,0.011,190.957,713.13,0.027,192.146,715.292,0.051,196.936,716.645,0.016,201.842,717.768,0.016,207.577,718,0.018,214.274,716.954,0.016,222.143,715.837,0.019,232.639,714.707,0.02,245.043,712.265,0.012,254.5,710,0.015,270.047,707.719,0.017,280.942,705.457,0.02,296.445,704.104,0.026,307.739,703.026,0.013,325.054,701,0.017,337.241,700.751,0.026,352.479,700,0.016,378.5,700,0.016,397.986,700,0.017,413.653,700,0.018,425.82,700,0.016,440.522,700,0.02,454.908,701.224,0.015,464.015,702.335,0.019,483.5,702,0.013,490.343,703,0.016,502.338,703.695,0.016,512.584,704,0.02,519.682,704.947,0.018,525.211,705,0.013,530.989,706.198,0.017,540.686,708.672,0.017,540.901,708,0.036,539.402,708.701,0.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,1618,MLCHC
202,404,0,234.522,407.21,0.02,255.564,407,0.007,285.225,407,0.017,314.616,407,0.016,335.759,408,0.019,356.077,408,0.016,376.959,407,0.017,398.28,407,0.017,419.826,405.717,0.018,438.725,405.475,0.016,456.374,404.232,0.016,473.101,401.987,0.017,487.267,402,0.018,494.995,401,0.016,493.959,402.02,0.037,489.458,405.542,0.017,486.5,409,0.091,460.247,440.362,0.011,442.897,461.865,0.016,426.869,483.187,0.015,394.521,516.784,0.014,380,534,0.017,362.838,550.637,0.015,344.944,566.031,0.022,330.681,580.758,0.01,315.878,594.081,0.018,305.43,604.57,0.011,291.739,619.224,0.018,278.822,631.178,0.018,267.612,642.388,0.019,253.85,656.459,0.013,244.195,667.756,0.023,233.916,680.903,0.011,223.171,690.83,0.022,217.027,697.315,0.01,212.16,702.84,0.016,210,702.847,0.034,214.39,700.805,0.118,250.877,698.652,0.023,273.303,696.411,0.011,295.273,696,0.022,328.94,696.097,0.01,344.763,696,0.018,365.5,697,0.02,383.808,697.801,0.011,400.529,698,0.016,419.562,698,0.013,434.812,699.544,0.017,451.749,701.75,0.015,464.148,704.03,0.017,481.126,707.607,0.018,486.5,708.5,0.016,490.503,709,0.014,494,710.5,0.02,502.1,711.22,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,2346,MLCHC
203,411,0,222.331,412.017,0.019,241.377,413.292,0.014,259.354,414.397,0.018,275.5,414,0.02,295.491,414,0.016,315.392,414,0.012,337.58,413.121,0.018,378.4,410.979,0.023,400.875,409.856,0.017,419.567,408.731,0.015,436.654,407.647,0.013,457.731,408,0.018,467,406.5,0.017,483.169,406,0.014,491.669,406,0.017,498.887,406,0.016,502.272,407.091,0.083,498.619,410.381,0.02,494.792,414.208,0.016,490.174,419.783,0.015,484.55,427.63,0.021,476.448,439.216,0.016,463.513,446.219,0.014,454.03,458.411,0.017,438.79,473.451,0.019,425.728,487.916,0.019,409.591,502.307,0.011,394.053,518.785,0.016,378.363,534.637,0.017,363.69,551.665,0.017,347.954,568.335,0.016,333.737,582.263,0.017,321,601,0.016,305.452,613.168,0.018,292.022,625.676,0.019,279.332,636.789,0.016,269.124,648.849,0.015,256.491,658.098,0.018,246.409,666.015,0.02,239.183,675.219,0.018,231.171,682.393,0.013,222.752,688.035,0.019,216.459,692.833,0.014,211.542,697.458,0.019,208.047,700.953,0.023,205.831,703.169,0.024,204.817,705.366,0.052,207.352,705,0.031,210.824,706.274,0.017,214.177,707.044,0.017,218.873,707,0.022,228.713,705.661,0.022,245.725,701.711,0.017,261.216,698.374,0.011,277.872,694.953,0.011,294.969,691.568,0.017,311.344,689.094,0.018,331.138,686.874,0.016,345.429,684.626,0.02,366.516,685,0.021,380.722,684,0.012,396.801,684.527,0.014,411.195,685,0.017,425.458,685.788,0.02,439.856,686.912,0.014,452.931,688.988,0.019,464.381,690.138,0.021,480.329,692.476,0.012,489.286,693.365,0.015,498,696,0.017,506.733,697.622,0.026,511.948,699.474,0.013,514.704,700.852,0.011,516,701.5,0.032,516.079,703.157,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,1588,MLCHC
200,402,0,216.279,406.07,0.02,235.236,410.122,0.015,248.97,411.919,0.017,266.046,412,0.013,282.192,411.321,0.019,299.539,410.216,0.015,317.578,409.089,0.016,356.039,406.884,0.022,374.447,404.594,0.011,396.867,403.707,0.018,411.109,399.691,0.021,430.5,398,0.012,441.5,396,0.018,458.758,394.224,0.018,474.215,393.119,0.014,485.061,391.993,0.016,493.105,392,0.018,503.551,393.283,0.021,509.493,393,0.014,512.993,394.498,0.014,515.5,394,0.036,516.53,396.53,0.018,516,398,0.05,514.885,400.229,0.018,512,404.5,0.015,506.482,409.345,0.015,497.622,415.961,0.016,488.13,425.728,0.02,478.107,436.881,0.017,464.024,446.676,0.019,451.916,459.083,0.017,432.859,475.499,0.017,419.317,486.809,0.012,399.383,504.894,0.019,381.156,520.45,0.013,365.538,534.658,0.019,347.12,548.21,0.019,332.365,563.683,0.018,313.137,575.852,0.012,301.368,593.953,0.024,286.106,605.052,0.016,272.607,618.472,0.012,259.864,630.78,0.014,248.764,642.844,0.018,240.446,654.363,0.019,231.672,662.287,0.018,222.961,669.909,0.018,217.942,679.587,0.013,213.338,686.493,0.019,209,690,0.015,206.074,695.567,0.015,202.695,700.073,0.016,200.224,703.664,0.017,198.987,706.025,0.036,199,708.222,0.031,202.744,709.248,0.034,208.091,711.697,0.019,213.196,712.839,0.021,220.676,712.046,0.011,232.056,710.894,0.015,244.641,708.52,0.016,252.927,704.902,0.025,268.47,704.088,0.025,280.178,701.849,0.02,306.117,699,0.014,322.478,698.035,0.018,334.895,698,0.016,347.354,698,0.021,364.965,699.331,0.018,376.921,700.433,0.012,391.613,701.561,0.017,401,702.5,0.019,419.724,704.697,0.013,431.31,705,0.016,447.676,707.09,0.019,457.621,708.18,0.026,469.548,709.546,0.028,492.57,712.016,0.019,503.955,713.632,0.012,513.392,714.77,0.014,521.274,715.896,0.018,529.277,716,0.018,537.1,717.157,0.024,542.958,715.755,0.097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,1628,MLCHC
191,398,0,226.943,400,0.021,253,398.5,0.015,280.748,395.25,0.02,323.779,392.016,0.018,351.337,390.743,0.022,379.416,391,0.017,405.955,391,0.02,431.076,391,0.014,454.272,392,0.016,469.569,390.554,0.019,484.757,392,0.02,490.917,392,0.015,491.863,395.273,0.035,487.705,402.06,0.013,479.76,410.18,0.016,462.489,423.674,0.022,447.604,442.297,0.014,427.632,462.203,0.02,405.995,482.003,0.013,388.827,504.445,0.016,367.506,526.993,0.016,349.599,548.401,0.02,332.114,568.87,0.022,312.504,590.496,0.01,297.141,606.859,0.018,279.359,623.936,0.017,264.214,637.817,0.023,248.763,653.237,0.016,237.368,662.754,0.019,223.599,672.401,0.013,214.197,682.803,0.02,206.395,689.454,0.01,195.547,696.227,0.015,192.72,702.92,0.015,192.911,707.822,0.015,195.161,709.081,0.031,205.019,711.208,0.013,220.972,714,0.014,249.422,711.881,0.017,280.245,709.646,0.019,309.135,708,0.013,335.553,708,0.017,362.172,710.098,0.016,384.574,711.325,0.015,404,712,0.018,428.218,713,0.015,449.545,713,0.017,467.961,713,0.022,486.125,713.479,0.012,499.706,713.784,0.014,513.205,714,0.016,517.573,715,0.035,521.541,715,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,2038,MLCHC
195,402,0,218.313,405.179,0.018,245.443,407.673,0.016,263.497,408,0.017,282.327,408.958,0.016,299.887,409,0.014,318.127,409,0.019,335.005,409,0.021,369.301,407.55,0.016,386.35,407,0.013,400.921,406.34,0.015,415.362,405.203,0.019,428.047,405,0.016,439.338,403.966,0.017,451.938,404,0.014,459.003,402.714,0.021,467.151,401.55,0.018,477.369,400.454,0.014,484.062,399.388,0.015,488.318,398.227,0.019,492.477,398,0.014,496.02,399.007,0.018,498.305,400.153,0.085,494.557,403.443,0.017,491.317,407.577,0.016,486.008,413.99,0.014,479.184,423.088,0.017,468.645,434.617,0.018,457.201,444.419,0.017,446.068,455.932,0.02,428.286,472.12,0.012,411.108,487.493,0.018,393.057,503.217,0.019,374.437,518.64,0.015,360.693,534.525,0.016,342.41,547.693,0.021,329.954,563.72,0.02,314.769,573.795,0.015,303.445,586.833,0.011,291.042,598.202,0.017,279.749,609.057,0.022,270.247,620.691,0.017,260.675,629.289,0.011,251.313,638.687,0.018,243.836,650.092,0.019,237.444,658.408,0.018,227.731,667.742,0.013,219.019,678.635,0.018,212.21,687.588,0.014,205.499,695.418,0.018,198.803,703.23,0.031,193.653,709.694,0.023,189.26,715.74,0.028,190,717.537,0.052,192.354,718.177,0.018,194.11,718,0.036,197.602,719.201,0.02,203.849,719.475,0.011,210.035,719.393,0.014,216.432,718.261,0.016,225.686,716.292,0.018,237.712,715.026,0.02,249.261,712.748,0.019,262.835,710.393,0.013,278.986,706.932,0.015,288.729,703.581,0.019,308,700.5,0.019,324.835,698.608,0.012,339.921,695.52,0.016,358.02,694.058,0.016,374.123,691.84,0.025,393.298,692,0.018,406.88,691,0.014,423.321,690.557,0.012,439.205,690.575,0.018,454,691.5,0.016,464.652,691,0.027,478.837,691.911,0.016,489.276,693.028,0.013,500.558,694.173,0.01,510.582,695.287,0.018,516.508,696.418,0.016,522.831,697.547,0.016,531.838,697.351,0.117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,1638,MLCHC
