@relation RegistrosP1WJRT
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
198,400,0,226.636,399,0.015,238.919,399,0.015,249.976,397.802,0.017,263.825,398,0.022,275.863,398,0.015,288.359,398,0.015,307.934,398,0.015,326.883,398,0.016,338.129,397.097,0.017,351.249,397,0.017,365.659,397,0.016,375.176,397,0.017,391.908,397,0.018,400.21,397,0.017,409.796,397,0.016,421.619,397.693,0.016,430.648,398,0.016,441.194,398,0.017,451.24,399.027,0.022,457.842,399,0.015,464.318,399,0.015,473.67,401.667,0.021,482.862,401,0.015,486.791,401,0.016,491.5,401,0.016,498.213,402,0.014,503.606,403.842,0.021,508.123,402.969,0.017,511.339,403,0.029,514.57,403,0.07,514,405.263,0.033,511.982,407.018,0.017,510.862,409.276,0.019,506.001,411.5,0.015,498.697,416.536,0.016,489.046,428.448,0.019,479.915,436.868,0.017,468.287,446.31,0.017,456.948,457.857,0.013,442.701,470.407,0.016,428.258,482.628,0.023,417.48,495.824,0.015,397.52,509.163,0.014,386.532,524.28,0.016,370,535.5,0.022,360.962,549.246,0.018,347.74,562.548,0.011,333.859,576.986,0.014,318.59,589.536,0.019,306.167,600.757,0.017,296.592,613.878,0.016,281.093,625.006,0.018,270.911,634.68,0.024,259.866,645.6,0.016,249.673,654.945,0.013,241.042,663.213,0.012,232.063,671.07,0.016,223.143,678.875,0.019,217.588,685.495,0.021,210.861,690.95,0.02,206.324,696.117,0.012,199.969,701.031,0.014,194.5,706.5,0.016,193.346,708.308,0.017,192.5,710,0.05,195.04,710.02,0.024,202.142,711.19,0.016,208.836,708.694,0.013,215.147,707.57,0.014,220.5,706.5,0.016,233.996,705.666,0.02,243.458,705.22,0.021,251.987,705,0.013,266.976,705,0.012,277.008,705,0.018,287.124,705,0.019,302.373,705,0.024,311.544,706,0.017,324.981,706,0.01,336.472,706.684,0.013,348.634,707,0.018,362.825,707.91,0.017,373.204,708,0.019,388.843,708,0.022,399.203,707.755,0.015,411.06,707,0.018,424.73,707,0.012,437.053,706.412,0.014,449.702,706,0.016,458.696,705.186,0.017,467.418,704.073,0.017,479.427,705.039,0.016,484.741,703.852,0.017,489.028,704,0.017,490.745,704,0.115,492.042,704,0.05,494.336,702.832,0.05,496.354,703,0.051,502.268,704.045,0.109,100,2063,WJRT
199,401,0,231.966,403,0.017,245.649,403,0.016,261,404,0.017,277.351,403,0.016,291.884,405.177,0.015,308.5,405,0.017,325.926,405,0.017,340.923,405,0.016,359.5,405,0.017,376.162,405,0.025,401.318,406.188,0.017,429,406,0.018,453.213,407.869,0.016,469.036,408,0.017,483.5,408,0.017,492.635,406,0.016,499.436,403.782,0.026,508.5,402,0.03,508.95,403.05,0.034,497.029,410.383,0.016,480.348,423.522,0.016,458.187,439.876,0.018,437.571,451.214,0.017,423.431,463.569,0.018,407.6,473.44,0.016,396.559,483.441,0.017,388.699,493.451,0.017,377.547,500.484,0.017,371.176,507.648,0.016,365.675,514.325,0.016,362.001,520.999,0.018,358.166,527.668,0.016,353.827,535.346,0.018,349.378,543.867,0.018,345.044,551.912,0.016,344.289,558.868,0.032,338.5,567,0.032,331.371,576.629,0.018,327.02,585.96,0.018,320.571,592.429,0.018,314.251,597.749,0.018,309.793,603.415,0.032,302.681,613.979,0.016,290.007,623.997,0.017,276.999,634.001,0.018,267.658,643.013,0.015,257.987,650.006,0.017,252.304,655.696,0.018,246.644,660.356,0.015,240.967,665.017,0.017,235.295,669.353,0.017,226.621,675.379,0.016,221.947,683.053,0.017,215.278,689.722,0.019,209.603,695.699,0.016,208.152,699.076,0.049,217.544,703.272,0.016,237.234,707.605,0.015,261.456,709,0.017,286.972,708,0.017,311.694,705.384,0.015,335.768,703.046,0.017,360.572,698.714,0.016,377.767,696.372,0.016,398.81,695.038,0.016,422.421,696.303,0.017,445.729,696.637,0.015,464.87,697,0.017,480.253,698,0.016,488.934,698,0.015,495.972,699,0.017,503.954,701.636,0.017,511.532,702.266,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,4521,WJRT
188,401,0,218.754,401,0.017,242.534,400.347,0.016,265.666,400,0.017,294.775,400,0.017,312.35,401,0.019,328.825,403.454,0.016,343.452,404.558,0.017,359.032,404.995,0.016,374.613,406.23,0.016,393.646,405.544,0.017,410.357,406,0.014,428.16,406,0.018,445.078,407.135,0.018,460.482,406,0.019,475.5,406,0.016,487.822,404.196,0.018,498.14,404,0.016,503.521,404,0.099,498.936,407.021,0.019,492.907,411.547,0.015,482.529,423.471,0.018,465.216,439.615,0.025,444.488,457.566,0.006,422.269,478.558,0.017,395.641,500.963,0.013,372.169,524.21,0.015,350.2,546.349,0.017,327.167,566.682,0.021,307.313,587.985,0.02,288.743,607.257,0.014,270.338,625.662,0.017,253.362,644.593,0.016,238.592,662.811,0.017,227.295,678.411,0.017,216.431,688.211,0.016,208.518,698.482,0.017,201.5,705.2,0.016,198.345,709.655,0.098,208.557,708,0.019,216.356,705.661,0.019,232.219,704,0.016,247.729,702.212,0.017,266.166,701,0.017,283.162,701.24,0.009,303.123,702,0.024,321.928,702,0.014,341.29,702,0.012,365.524,701.139,0.022,386.655,698.269,0.016,407.926,698.815,0.018,428.345,700,0.016,447.293,700.033,0.017,459.32,701.264,0.018,468.969,700.508,0.014,474,700,0.035,478.055,702,0.029,485.007,701,0.019,490.534,701,0.066,496.266,697.867,0.293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,2636,WJRT
186,400,0,218.569,398,0.016,239.924,398,0.017,263.164,398,0.016,297.634,399.332,0.018,317,399,0.016,342.02,399.22,0.017,368.058,398.994,0.017,394.208,399.229,0.017,414.588,396.541,0.016,438.501,398,0.016,459.256,398,0.017,480.587,399.132,0.017,492.787,399,0.027,505.911,401,0.009,511,399.5,0.031,509.817,402.091,0.051,504.358,406.821,0.016,498.935,410.016,0.014,488.696,418.043,0.017,475.089,430.911,0.019,456.638,444.022,0.017,435.959,458.477,0.018,420.952,473.786,0.02,403.131,490.617,0.012,390.337,505.274,0.02,375.444,520.375,0.011,363.76,536.28,0.021,344.446,554.043,0.014,329.314,570.645,0.017,310.263,588.726,0.017,292.235,603.844,0.017,276.025,621.365,0.017,257.615,635.539,0.017,245.131,650.224,0.017,231.628,661.497,0.017,220.608,672.49,0.015,213.039,679.961,0.018,205.904,687.096,0.017,200.457,692.543,0.017,197.006,696.989,0.017,192.665,701.335,0.032,195.266,703,0.018,200.89,701,0.015,208.367,700,0.015,216.044,699.319,0.016,226.535,698.093,0.017,239.778,698.13,0.016,253.136,698,0.019,269.478,699,0.016,282.844,698.193,0.017,298.214,699.031,0.017,314.043,699,0.018,330.865,699.483,0.016,344.671,698,0.016,361.408,696.926,0.017,376.108,695.842,0.016,391.675,696.382,0.018,404.057,693.389,0.015,417.018,692,0.017,428.342,690.943,0.016,439.424,689.715,0.018,448,690,0.017,455.205,690,0.017,460.874,691,0.017,466.556,691,0.017,471.824,691,0.017,476.902,691,0.016,480.532,691,0.017,485.311,692.156,0.05,489.532,692,0.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,2753,WJRT
195,398,0,237.091,397.083,0.017,264.847,397,0.017,291.715,396,0.016,329.122,397.593,0.017,357.286,399.638,0.017,382.541,398.955,0.017,406.681,401.268,0.017,428.933,399.013,0.017,448.466,400.563,0.016,463.591,400,0.017,481.369,399.658,0.016,491.579,400,0.018,503.851,399.766,0.015,511.684,400,0.016,514.067,401.034,0.1,509.468,405.532,0.016,500.211,412.591,0.016,485.073,428.927,0.016,460.937,449.705,0.015,432.602,473.398,0.017,403.626,500.008,0.017,377.486,524.194,0.019,354.5,549,0.016,332.364,571.4,0.017,312.062,590.938,0.017,297.675,612.208,0.018,281.362,627.517,0.016,265.658,644.006,0.016,253.527,659.368,0.016,239.304,675.812,0.017,223.957,689.723,0.018,212,702,0.016,202.408,707.592,0.017,199,711,0.016,203.266,711.867,0.034,212.764,708.079,0.016,221.578,707,0.017,241.351,707,0.018,258.555,705.404,0.016,280.559,705,0.016,303.494,705,0.017,327.006,705,0.016,348.457,704.505,0.016,376.656,705.279,0.016,402.456,704.054,0.017,426.849,704,0.017,448.987,704,0.017,465.719,704,0.015,483.223,704,0.017,493.286,703,0.017,499.869,700.71,0.017,505,700,0.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,2094,WJRT
195,405,0,231.248,399.159,0.017,251.607,398,0.016,272.595,398,0.018,306.5,399.5,0.02,315.426,399,0.013,333.783,400.964,0.017,347.34,402.191,0.019,362.473,403,0.016,375.852,404,0.015,390.211,404.131,0.017,404.55,404,0.017,422.487,403.689,0.018,439.869,404,0.016,458.112,402.236,0.016,476.902,401,0.017,492.292,398.785,0.016,506.104,396.557,0.017,514.344,396.328,0.015,517.531,397.266,0.049,513.734,401.532,0.018,504.227,409.182,0.016,487.87,424.13,0.017,466.044,444.217,0.016,443.271,465.729,0.017,420.142,485.246,0.016,395.789,504.369,0.017,373.415,524.297,0.016,357.072,540.562,0.018,338.42,556.773,0.015,320.395,570.953,0.017,303.718,587.329,0.016,285.802,602.649,0.016,270.01,620.986,0.017,252.216,636.507,0.017,240.29,651.71,0.016,229.114,662.886,0.017,219.4,674,0.019,214.132,681.868,0.016,209.304,687.696,0.017,205.927,692.146,0.032,204,696.213,0.05,208.629,695,0.018,214.5,695,0.016,227.363,694.234,0.017,241.954,695,0.017,259.987,693.779,0.017,279.938,693.562,0.016,301.65,693.665,0.015,323.922,692.108,0.017,344.02,693,0.016,367.745,692,0.018,387.123,692.569,0.016,406.141,692.207,0.017,424.149,693,0.016,441.978,693,0.019,456.802,694,0.018,474.564,694.695,0.017,486.595,695,0.016,495.428,695,0.016,501.743,694,0.019,507.5,695.5,0.187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,2398,WJRT
199,398,0,240.601,396,0.016,267.075,396,0.017,291.842,395,0.016,332,396.5,0.016,356.371,396.773,0.017,381.98,397,0.017,405.993,398.221,0.017,432.495,398,0.016,454.702,398,0.019,472.036,397,0.017,489.735,397,0.017,503.43,397,0.018,512.5,397.5,0.018,516.8,397,0.018,516.911,399.177,0.033,509.896,405.07,0.017,498.443,411.778,0.016,477.189,427.849,0.017,450.792,444.666,0.016,426.533,462.467,0.017,402.418,481.266,0.016,378.748,502.479,0.018,358.32,522.251,0.016,338.506,545.159,0.017,316.349,566.591,0.017,298.725,588.843,0.017,279,610,0.017,260.865,627.135,0.017,247.201,642.719,0.016,234.905,655.095,0.017,227.761,661.239,0.018,221.736,667.264,0.016,217.279,671.721,0.017,213.829,675.086,0.016,210.577,679.423,0.018,205.711,683.289,0.016,203.5,687,0.032,200.895,690.209,0.032,200,694.266,0.034,200,698.299,0.05,208.038,700,0.017,214.692,700,0.016,226.274,699.545,0.017,240.1,702.367,0.016,251.545,703.909,0.017,269.477,706.134,0.017,283.161,707,0.017,303,709,0.017,322.097,710.81,0.016,341.263,710,0.017,364.832,709.743,0.016,383.294,710,0.017,403.666,709.708,0.016,422.368,709.07,0.017,438.103,709,0.016,453.302,708.616,0.018,464.5,709,0.016,477.172,708.166,0.017,485.178,705.941,0.017,490.853,703.716,0.016,497.5,703,0.016,503.464,699.268,0.017,507,702,0.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,2624,WJRT
199,402,0,247.205,402,0.017,268.427,402,0.017,287.076,403.384,0.018,312.846,404,0.015,332.506,403.166,0.017,352.593,404.059,0.016,371.258,404.282,0.017,393,404,0.017,409.885,404.736,0.017,428.678,405,0.017,446.499,406.187,0.017,464.281,405,0.016,480.433,404.367,0.016,494.302,404,0.016,504.439,405.088,0.017,510.924,402.692,0.018,515,401.5,0.116,509.203,407.531,0.034,485.939,424.782,0.019,456.5,447.5,0.015,436.775,464.447,0.016,415.956,480.031,0.017,389.171,504.6,0.015,368.864,524.595,0.017,353.227,539.773,0.016,336.558,557.349,0.016,319.076,572.792,0.017,306.567,588.507,0.017,291.5,602,0.016,277.962,617.846,0.016,264.803,629.164,0.017,251.226,643.774,0.016,243.076,655.405,0.017,231.169,666.831,0.017,222.2,678.733,0.017,216.551,687.598,0.016,210.232,695.536,0.018,204.184,700.21,0.015,201.5,704,0.032,198.917,707.167,0.051,205.457,707,0.015,213.362,705.16,0.017,222.403,702.933,0.012,238.261,702,0.008,249.5,701,0.017,266.196,699.742,0.017,280.796,700,0.017,298.719,699,0.017,315.343,699,0.018,335.115,698,0.016,356.515,697,0.016,376.788,695.912,0.016,397.412,696,0.016,415,694.5,0.016,431.348,695.236,0.016,446.931,695,0.017,459.052,693.79,0.017,470.221,692.556,0.018,481.646,692,0.016,488.666,692,0.017,493.224,692,0.032,497.532,690.734,0.034,502,692,0.017,506.354,693.118,0.068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,2724,WJRT
199,402,0,231.681,400.717,0.017,257,398.5,0.016,287.277,399,0.017,330.874,399,0.017,364.144,399.185,0.017,388.955,396.587,0.018,410.352,397,0.016,430.023,397.14,0.017,448.941,398.086,0.016,461.848,398,0.017,478,398,0.016,490.038,399,0.017,499.936,400,0.016,510.046,398.581,0.017,514.863,399,0.031,514.867,401.266,0.018,510.338,404.331,0.017,503,410.5,0.027,490.125,421.65,0.016,473.942,436.052,0.016,455.147,450.853,0.017,432.555,469.63,0.017,411.126,489.826,0.017,388.933,512.973,0.017,363.814,536.186,0.017,335.753,561.539,0.018,310.937,584.805,0.016,292.728,604.464,0.016,276.846,623.246,0.017,260.209,642.047,0.016,248.08,655.881,0.017,232.036,671.255,0.016,219.205,684.589,0.017,208.372,695.941,0.016,200.839,703.547,0.017,198.734,706.532,0.049,205.337,704.916,0.016,212.173,702.609,0.018,223.076,699.385,0.016,237.756,697.844,0.017,252.457,698,0.016,269.272,698.284,0.016,285.5,697,0.017,306.662,695.26,0.017,328.68,694,0.016,351.128,691.807,0.017,375.17,690.583,0.018,401.338,689.366,0.016,424.515,689,0.016,444.866,689,0.017,460.203,690,0.018,474,691.5,0.017,485.828,692,0.016,494.969,692,0.017,501.651,692,0.033,510,693.5,0.033,514,694.5,0.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,2217,WJRT
188,404,0,230.292,400.131,0.016,257.261,397.903,0.022,283.826,395.681,0.014,333.5,395,0.012,357.196,393,0.018,388.386,393,0.016,412.406,390.562,0.017,434.81,393,0.017,452.998,393.666,0.016,465.496,394,0.017,480.863,395.247,0.017,490.392,396,0.017,499.872,396.574,0.01,509.406,397,0.017,512.027,397,0.084,509.381,401.809,0.017,506.963,404.037,0.02,502.462,407.269,0.019,489.514,417.486,0.017,471.136,432.72,0.016,447.109,451.169,0.014,417.033,473.639,0.017,387.38,498.235,0.024,358.951,523.049,0.013,331.96,547.861,0.017,305.374,572.688,0.016,282.529,594.603,0.018,265.526,615.963,0.015,245.042,633.703,0.02,228.507,653.493,0.012,212.851,671.723,0.017,196.652,686.93,0.015,188.701,697.598,0.016,187,703.757,0.016,189.142,706.142,0.016,197.754,704.562,0.017,214.315,703.337,0.016,231.906,700.219,0.017,250.856,701,0.016,277.085,701.34,0.018,299.239,700.134,0.016,324.294,701,0.017,348.206,700.981,0.016,374.687,702.244,0.016,400.668,701,0.017,425.955,701,0.016,450.174,699.917,0.017,469.276,700,0.016,485.205,700,0.019,495.371,700.407,0.016,501.5,700,0.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,1964,WJRT
