@relation RegistrosP1YACP
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
201,401,0,237.472,407.353,0.017,258.733,409.415,0.016,276.599,410,0.015,301.67,411.917,0.02,319.068,411,0.016,337.281,409.59,0.02,355.256,410,0.014,371.196,410,0.017,395.774,411,0.018,409.635,411,0.016,424.348,411.725,0.016,438.732,412,0.016,454.269,411,0.012,468.351,410,0.015,483.249,409,0.014,492.902,407.025,0.02,498.427,408,0.02,498.867,410.266,0.035,483.224,424.776,0.021,464.992,438.805,0.015,445.715,453.636,0.016,424.77,471.401,0.016,401.055,487.135,0.016,383.408,505.193,0.017,365.431,520.874,0.015,345.952,538.26,0.017,329.024,556.255,0.016,307.53,573.699,0.018,290.751,593.374,0.015,272.914,610.956,0.017,255.117,626.662,0.016,242.212,641.146,0.018,230.996,653.403,0.016,221.466,662.379,0.017,215.729,671.362,0.016,212.671,679.316,0.018,206.848,687.152,0.016,206.641,690.82,0.017,208.031,694.092,0.033,213.856,698.856,0.017,220.013,701.671,0.016,227.659,703.915,0.016,242.788,705,0.016,253.016,706,0.018,269.864,707.644,0.016,281.448,708,0.016,300.438,708,0.016,313.272,708,0.019,332.712,708.381,0.016,353.223,705.137,0.017,372.853,700.787,0.016,398.508,696.299,0.018,419.359,694,0.016,437.71,693,0.017,452.507,694,0.017,462.316,694,0.018,469.5,694,0.016,476.629,695,0.017,479.12,695,0.084,482.022,700.033,0.019,486.558,703.558,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,2335,YACP
191,402,0,222.503,397.318,0.016,241.153,397,0.013,260.908,398.191,0.02,288.197,399.413,0.017,307.56,401,0.006,328.209,404,0.015,345.393,406.174,0.017,366.732,407,0.018,384.942,408.66,0.016,402.317,410,0.017,420.197,412.15,0.017,434.329,414.388,0.018,448.818,415.636,0.016,460.4,417,0.017,473.726,415.879,0.017,485.818,415.636,0.018,494.439,413.39,0.016,502.566,412,0.017,507.193,412,0.048,504.141,414.953,0.017,489.862,428.138,0.017,475.963,443.037,0.017,455.571,459.108,0.016,431.851,477.458,0.025,409.036,497.473,0.017,388.695,512.891,0.017,364.473,531.222,0.016,340.04,550.064,0.017,317.467,568.976,0.016,299.34,588.42,0.025,278.626,604.374,0.011,265.783,620.087,0.017,253.436,631.564,0.016,244.575,642.781,0.018,236.592,654.01,0.015,227.618,663.228,0.017,220.741,673.432,0.016,216.337,682.327,0.018,214,689.148,0.016,214,693,0.033,215.099,696.197,0.034,221.941,697,0.016,232.297,695.234,0.022,246.912,694.848,0.014,263.098,691.225,0.014,280.44,689.731,0.018,297.011,687.141,0.013,312.722,685.897,0.013,326.604,686,0.018,337.378,686,0.032,360.375,687,0.017,373.086,688,0.013,388.576,690,0.027,402.832,691,0.012,420.527,693.066,0.022,436.066,695,0.014,451.731,696.546,0.01,463.805,698,0.012,476.134,699,0.015,483.856,700,0.019,489,701.5,0.033,493.004,701,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,2406,YACP
202,410,0,216.747,403.194,0.017,236.726,399.595,0.013,249.534,397.266,0.02,262.716,396.024,0.025,275.231,394.888,0.008,290.005,395,0.015,303.177,395,0.016,339.313,395,0.018,344.346,395,0.016,361.278,395.722,0.019,374.066,396.807,0.018,392.298,397.959,0.018,403.844,400.169,0.017,419.148,402.484,0.017,430.596,402,0.016,442.737,404.861,0.017,454.157,404.573,0.013,463.235,405.654,0.021,473.961,406.796,0.011,483.505,407.938,0.021,489.276,409.055,0.015,495.93,409,0.015,502.86,411.62,0.022,505.312,412.437,0.016,508.093,414.093,0.012,510,416,0.036,509.107,420.679,0.015,504.756,425.244,0.015,495.783,433.065,0.018,489.277,439.723,0.019,479.794,446.404,0.017,468,454.5,0.018,456.583,466.417,0.012,442.643,476.658,0.02,429.307,488.693,0.015,416.193,501.807,0.015,399.124,513.251,0.017,385.848,529.678,0.02,369.881,541.022,0.017,360.319,553.149,0.014,344.825,566.381,0.016,333.51,577.932,0.017,318.326,590.294,0.019,305.916,601.076,0.015,296.296,612.861,0.016,280.935,623.122,0.017,270.403,631.878,0.023,260.274,641.294,0.017,250.582,651.128,0.01,243.103,659.897,0.016,235.261,668.559,0.021,225.462,678.538,0.021,219.781,685.219,0.011,215.195,689.805,0.015,213.346,692.981,0.02,212.541,696.378,0.023,213,698,0.026,216.611,700.806,0.014,220.737,701.934,0.017,228.53,700.924,0.016,241.025,701,0.017,249.505,701,0.022,259.463,698.23,0.016,274.719,698.48,0.014,287.067,697.357,0.015,301.226,697.787,0.021,315.026,697.081,0.021,329.893,697.992,0.011,342.599,698,0.015,360.186,699.279,0.022,372.972,699,0.02,386.331,699.487,0.012,399.194,700,0.012,411.992,700.749,0.017,423.875,702.775,0.018,433.085,703,0.016,444.236,704.124,0.016,454.194,705.244,0.022,461.742,705,0.015,471.162,705.469,0.015,480.016,705.397,0.015,485.639,705,0.02,489.585,705,0.019,492.837,705,0.013,500.663,706.095,0.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,1536,YACP
204,395,0,228.396,396.723,0.017,241.761,397,0.014,255.004,397,0.02,267.675,397,0.015,279.804,395.745,0.017,295.189,396,0.02,308,396,0.017,334.807,394.839,0.015,350.101,393.306,0.017,365.322,392.14,0.015,379.819,389.042,0.016,394.222,389,0.021,405.478,387.752,0.017,417.855,385.299,0.024,430.044,387,0.015,441.844,387.57,0.009,452.658,388.707,0.021,461.689,389.836,0.009,470.691,390,0.019,480.718,394.319,0.022,487.231,397.616,0.015,491.22,400.915,0.016,495.781,404.336,0.013,500,407.5,0.02,501.679,411.037,0.016,502,415.021,0.014,501.084,420.578,0.02,495.746,430.457,0.014,492.545,439.213,0.016,483.85,448.457,0.024,470.376,461.192,0.014,456.2,473.754,0.013,438.963,487.44,0.016,423.72,502.054,0.019,404.777,516.954,0.016,385.69,533.271,0.015,368.547,546.963,0.017,351.926,562.802,0.018,334.889,575.889,0.018,320.087,587.275,0.015,306.09,597.026,0.019,291.07,607.287,0.015,278.419,617.723,0.016,267.884,626.09,0.016,255.511,633.947,0.023,246.833,641.896,0.017,240.214,648.09,0.013,231.497,654.502,0.016,223.851,659.964,0.015,217.41,667.026,0.016,210.823,675.039,0.022,202.983,684.019,0.02,197.682,689.398,0.013,193.115,695.106,0.012,189.972,699.37,0.022,189.528,705.358,0.026,191.14,709.85,0.012,194.103,713.402,0.016,199.971,716.486,0.009,207.713,717,0.016,216.622,717,0.018,226.788,717,0.015,242.241,715.674,0.017,255.441,713.093,0.019,274,712.5,0.021,290.694,709.701,0.019,307.665,707.476,0.012,327.52,705.164,0.027,341.885,703.953,0.023,377.767,701.731,0.015,401.28,702,0.016,416.327,700.549,0.016,433.754,700.35,0.017,449.719,700,0.016,461.804,700,0.017,477.533,700,0.022,488.551,702.31,0.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,1398,YACP
197,403,0,236.393,406.36,0.018,260.608,405.399,0.016,284.294,403.155,0.017,320.939,399.824,0.016,341.669,396.333,0.019,364.616,395.423,0.016,385.025,394,0.017,402.447,394,0.017,422.071,394.307,0.018,435.411,394.449,0.017,454.568,393.205,0.016,468.246,392.965,0.017,484.671,395.278,0.019,493.1,397,0.017,505.142,398.535,0.016,513.021,400.011,0.017,517.508,402.254,0.033,516.024,408.976,0.017,507.08,415.92,0.016,489.234,428.295,0.017,471.839,444.013,0.017,448.446,465.595,0.017,422.972,488.231,0.017,394.624,508.584,0.017,370.484,529.206,0.016,347.806,546.53,0.016,329.59,564.41,0.017,307.213,577.945,0.017,291.707,591.308,0.016,276.562,601.531,0.017,265.401,612.748,0.017,250.423,624.366,0.018,239.446,635.192,0.015,225.826,646.41,0.017,218.501,657.624,0.017,208.136,667.864,0.018,197.943,677.057,0.022,193.293,684.56,0.017,189.807,689.193,0.016,189,693.684,0.083,193.072,695.036,0.016,198.962,694.679,0.018,209.804,698,0.016,221.014,699,0.017,235.332,700.047,0.017,247.467,701,0.017,261.5,699.5,0.016,276.11,701,0.017,286.092,702.023,0.016,303.601,703,0.016,316,704,0.016,335.505,703,0.017,352.985,703,0.016,369.456,704,0.016,391.279,706.48,0.017,402.361,705.273,0.017,419.774,705,0.016,433.291,704,0.017,452.515,703,0.017,460.506,701.299,0.017,469.735,700.053,0.017,477.743,700.186,0.016,482.803,698.732,0.033,486.027,697.986,0.129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,2573,YACP
199,397,0,216.501,401.118,0.018,234.353,403.823,0.018,247,404.5,0.016,260.898,403.342,0.016,274.378,403,0.017,289.63,401.196,0.016,304.297,398.954,0.017,337.221,396.709,0.017,349.487,393.195,0.017,371,392.611,0.024,385.169,389.489,0.01,400.556,387.741,0.015,415.527,387,0.023,428.652,386.123,0.011,441.955,386,0.021,453.167,387.117,0.028,463.401,387,0.063,489.982,392.193,0.008,498.531,397.531,0.015,502.887,399.943,0.017,506.283,403.283,0.017,506,405.425,0.017,503.323,410.354,0.017,496.708,416.292,0.017,484.767,427.233,0.015,470.485,438.01,0.017,455.335,448.384,0.017,435.045,459.45,0.017,419.109,471.7,0.016,395.034,485.267,0.017,375.484,501.29,0.018,356.694,512.728,0.017,338.294,528.605,0.015,325,540,0.017,304.45,557.142,0.017,289.114,569.204,0.017,274.546,583.454,0.016,262.212,596.951,0.017,249.92,609.08,0.018,243.157,622.873,0.016,232.258,634.323,0.016,223.469,646.473,0.017,217.164,657.672,0.017,212.44,668.009,0.026,207.949,677.101,0.019,201.732,684.669,0.01,199.484,689.774,0.011,197.238,693.142,0.034,200.247,694.623,0.016,203.236,695,0.017,209.215,695,0.017,215.929,695,0.016,224.868,693.891,0.017,236.319,691.536,0.017,250.192,690.651,0.018,265.186,691,0.017,282.342,689.404,0.015,298.759,689,0.017,316.443,689,0.017,333.424,689,0.016,350.232,690.082,0.017,369.399,691.2,0.016,387.273,691,0.019,405.157,693.895,0.017,419.396,694.707,0.016,434.009,696.693,0.017,448.542,698.622,0.021,459.43,701.81,0.011,469.499,703.055,0.017,483.169,705.361,0.016,488.806,706.301,0.017,494.118,707.424,0.02,501.267,708,0.014,507.339,708.668,0.017,511.368,709,0.016,513.817,709,0.017,515,709,0.032,511.815,706.815,0.093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,1465,YACP
214,404,0,243.101,405.793,0.018,258.515,406,0.015,272.01,406,0.016,285.752,406,0.021,300.567,407.351,0.017,314.788,407,0.013,338,407.577,0.021,359.631,408.664,0.013,375.215,409,0.018,392.686,409.918,0.013,406.591,410,0.022,424.063,410,0.016,436.604,411.3,0.017,451.588,411,0.013,464,411,0.021,475.683,411,0.015,486.857,411,0.014,495.255,410.106,0.017,503.247,410,0.019,511.294,410,0.016,513.818,410,0.034,515.542,411.271,0.033,508.664,417.613,0.016,497.528,424.166,0.017,488.03,433.966,0.017,476.754,442.997,0.015,461.697,453.286,0.021,449.686,466.314,0.015,430.509,479.491,0.015,414.401,494.399,0.016,397.099,508.72,0.02,379.382,524.766,0.017,364.47,539.53,0.014,347.397,556.603,0.017,332.957,571.043,0.022,311.488,585.703,0.02,303.069,599.931,0.01,289.466,613.534,0.014,276.332,625.971,0.017,262.081,636.56,0.02,250.651,649.218,0.014,240.533,659.467,0.017,230.144,668.649,0.016,218.834,676.216,0.024,214.668,682.799,0.015,208.774,686.67,0.012,204.244,689.378,0.016,201,691,0.051,206.111,692.074,0.027,210.1,693,0.013,215.042,693.408,0.011,220.695,694,0.015,228.255,694.657,0.02,238.43,696.486,0.018,248.955,697,0.012,261.278,697,0.019,275.892,699.291,0.02,287.951,699,0.014,306.214,699,0.015,321,699,0.017,339.758,698.374,0.016,359.159,698,0.017,378.899,697.124,0.02,398.681,697,0.02,415.505,694.799,0.011,432.654,696.244,0.015,448.255,694.625,0.019,461,696.5,0.018,472.618,695.602,0.022,481.988,696,0.027,491.848,695.051,0.02,494.143,696.072,0.047,499.791,700.633,0.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,1428,YACP
198,403,0,243.357,407,0.013,263.861,405.904,0.015,280.231,404.681,0.022,302.467,405,0.014,314.794,405,0.015,328.235,404.961,0.019,338.185,406.296,0.018,349.5,407,0.02,363.465,408.744,0.015,375.895,409,0.016,392.881,409,0.013,406,409,0.015,420.179,410,0.02,432.877,409.021,0.016,446.499,410.25,0.017,455.905,410.476,0.017,462.101,409,0.017,468.926,408,0.02,474.426,406.787,0.016,479.886,404.557,0.017,485.079,403.307,0.018,489.866,400.067,0.016,498.623,398,0.034,504.5,399.5,0.031,506,402.163,0.051,503.747,406.627,0.014,494.765,414.235,0.018,483.362,425.766,0.02,465.287,440.228,0.014,442.925,457.445,0.016,419.468,478.678,0.016,394.104,502.095,0.017,369.184,523.18,0.021,347.139,545.861,0.014,329.216,564.936,0.017,310.236,580.764,0.017,297.977,595.023,0.021,282.602,607.398,0.017,271.062,619.938,0.017,256.733,633.229,0.014,237.365,657.074,0.016,223.624,670.726,0.017,214.325,684.512,0.016,206.271,693.729,0.018,200.77,699.82,0.013,197.957,703.085,0.035,206.45,705,0.013,213.11,706,0.018,219.723,707,0.018,229,707,0.019,244.579,708,0.016,255.816,706.037,0.025,277.208,703.396,0.013,290.79,699.401,0.015,303.909,696.436,0.016,316.474,692.921,0.016,328.658,689.668,0.015,338.24,688,0.016,348.047,688,0.017,359.082,688,0.018,368.15,688,0.013,378.5,688,0.017,389.511,688.752,0.017,398.084,689,0.025,406.925,691,0.013,416.497,691.499,0.014,425.264,692.755,0.017,432.983,693,0.016,442.112,694,0.017,449.403,695,0.015,456.013,695,0.02,461.864,695.045,0.012,467.607,696,0.017,474.372,695,0.017,480.5,696,0.02,484,696,0.02,488.611,696,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,2938,YACP
198,408,0,242.674,405.111,0.017,267.119,403.898,0.015,291.48,404,0.017,325.599,401.831,0.018,347.939,399.118,0.017,372.903,399,0.021,399.166,397.648,0.015,421.722,395.82,0.011,437.899,393.157,0.019,453.359,394,0.018,463.324,395.331,0.014,479.5,397.5,0.019,485.355,400.57,0.017,488.071,404.106,0.037,486.572,409.857,0.013,469.093,424.271,0.019,445.995,446.253,0.018,417.141,471.028,0.014,385.925,499.498,0.017,354.796,528.59,0.015,325.701,558.169,0.016,301.904,583.508,0.018,276.874,605.001,0.015,257.439,625.708,0.019,243.804,640.874,0.015,227.988,655.787,0.022,217.042,666.916,0.02,210.862,677.277,0.017,204.099,686.901,0.021,202.838,691.324,0.052,210.058,695.029,0.024,214.555,697.278,0.015,223.217,699.554,0.017,236.015,700.752,0.015,252.148,701,0.017,274.799,700.28,0.016,294.23,698.523,0.016,314.699,698.256,0.016,336.89,698,0.02,361.433,696.714,0.015,380.493,695,0.018,399.072,693.275,0.014,415.818,692,0.022,428.969,692,0.013,442.847,690.526,0.021,453.786,692,0.014,461.877,692,0.017,469.793,690.802,0.018,474.888,692,0.037,480.845,692,0.017,483.177,693.089,0.036,488.537,695.268,0.019,499.853,698.618,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,2043,YACP
186,412,0,216.415,409.972,0.019,241.462,408.727,0.016,259.528,409,0.014,274,409,0.02,288.394,409,0.013,304.179,409,0.017,320.251,409,0.019,349.289,409,0.014,367.78,409,0.017,383.04,407.783,0.021,401.536,408,0.015,413.832,408,0.015,430.233,407.397,0.02,443.283,407,0.012,455.378,407,0.017,463.712,407,0.02,471.453,408.065,0.013,478.264,409.211,0.021,482.357,410.339,0.033,483.53,413.794,0.018,483,416.948,0.012,481.371,420.443,0.021,478.134,424.821,0.014,470.7,433.343,0.016,463.768,439.027,0.017,455.769,445.912,0.02,446.554,455.446,0.018,433.5,468.5,0.011,424,475,0.02,409.914,489.534,0.015,397.143,500.064,0.016,385.541,511.459,0.017,370.717,526.283,0.022,358.949,536.773,0.016,342.738,549.134,0.014,330.644,563.297,0.022,316.047,574.395,0.025,303.388,587.135,0.01,288.599,597.972,0.016,274.772,610.209,0.009,260.218,623.645,0.016,248.19,633.299,0.019,238.386,645.016,0.02,224,657.5,0.016,216.831,663.764,0.013,209.701,672.731,0.016,202.903,679.248,0.021,198.048,682.964,0.018,198,685.156,0.033,198,687.363,0.017,200.902,688.451,0.013,203.779,690.186,0.019,207.043,691.681,0.017,211.262,693.631,0.013,215.885,695.943,0.017,221.545,698.218,0.017,228.305,700.435,0.024,241.551,703.968,0.02,249.422,705,0.012,262.377,705,0.011,275.182,705,0.015,286.221,704.178,0.019,303.08,704,0.017,315.941,704,0.016,334.042,705.19,0.016,342.782,706.309,0.021,362.854,707.428,0.017,373.356,709.059,0.013,388.764,710,0.02,402.405,710.764,0.023,416.466,711.882,0.015,431.331,713.026,0.012,445.949,714.15,0.013,458.06,714,0.016,469.02,712.598,0.019,480.256,712.468,0.021,488.381,711.374,0.017,495.428,711,0.013,501.396,710.121,0.015,508.988,709.002,0.017,512.336,707.888,0.115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,1487,YACP
