@relation RegistrosP2ENPR
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
246,408,0,250.3,466.996,0.021,252.554,488.541,0.016,255.504,521.044,0.014,257.029,547.294,0.022,260.263,573.631,0.019,261,599.492,0.017,262.71,625.815,0.013,263,651.092,0.016,266.551,668.927,0.023,268.957,682.914,0.014,271.698,690.093,0.017,272.988,694.975,0.016,274.059,691.822,0.016,274,687.359,0.014,272.571,678.575,0.019,275.309,665.381,0.016,282.115,646.741,0.015,294.836,624.94,0.022,305.034,602.915,0.013,314.694,580.611,0.019,328.189,557.685,0.016,337.15,535.125,0.017,347.528,513.449,0.015,359.723,494.043,0.018,367.058,475.846,0.017,373.75,460.251,0.025,382.839,444.782,0.012,391.874,430.971,0.013,396.936,417.192,0.018,401.386,407.421,0.017,403,400.683,0.03,406,405.861,0.019,404.918,408.163,0.015,403.733,412.533,0.031,407.715,419.573,0.025,414.399,428.664,0.012,421.23,440.05,0.014,427.892,450.783,0.023,435.593,467.916,0.018,450.386,494.496,0.017,457.474,512.422,0.019,465.199,533.865,0.013,474.892,556.784,0.017,484.829,575.865,0.019,491.408,595.817,0.012,501.336,612.503,0.014,511.888,628.866,0.022,518.557,644.485,0.012,523.881,658.203,0.019,531.703,670.73,0.013,538.841,683.735,0.017,544.372,690.558,0.025,547.406,698.219,0.02,550.5,705,0.034,552.076,703.848,0.036,551.374,695.498,0.021,549.117,684.704,0.015,550,667.858,0.01,551.4,649.801,0.027,552.724,620.204,0.016,552,598.307,0.02,551,573.541,0.015,550.089,547.081,0.011,547.577,519.459,0.02,547,492.478,0.015,544.781,466.37,0.017,543.544,442.988,0.015,543.305,423.438,0.015,543,407.255,0.018,543,396.082,0.016,542,390.13,0.02,542,386.472,0.054,547.339,389.339,0.032,547,395.5,0.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,2963,ENPR
257,385,0,249.09,421.914,0.017,248,438.8,0.02,248,455.627,0.017,246.845,482.472,0.016,247,502.192,0.015,246.664,522.306,0.017,246,542.426,0.019,244.818,562.638,0.023,245,578.811,0.018,246.616,597.31,0.014,247.888,614.993,0.025,249.142,629.852,0.011,249.385,644.697,0.008,250.629,658.775,0.015,251,670.359,0.017,252,684.515,0.021,252,694.92,0.018,253.5,704,0.016,254,713.509,0.022,255.5,717,0.067,259.675,712.65,0.014,259.053,699.426,0.021,265.679,681.641,0.016,273.652,664.695,0.016,284.29,645.078,0.016,299.347,623.816,0.016,310.73,604.357,0.017,328.407,582.167,0.019,343.415,557.693,0.012,363.652,534.647,0.015,375.766,513.622,0.017,389.058,495.119,0.018,396.206,475.174,0.02,400.846,458.234,0.014,405.391,439.958,0.021,408.649,427.054,0.014,410.596,416.02,0.016,412.837,408.326,0.017,413,405,0.017,417.358,405.179,0.032,418,410,0.019,418,413.317,0.015,417.642,420.283,0.021,418.888,427.665,0.013,423.325,436.65,0.015,425.415,444.659,0.018,429.256,455.767,0.016,434.766,471.297,0.019,441.378,488.849,0.019,449.097,506.924,0.013,455.491,529.228,0.023,463.367,554.786,0.013,475.514,580.027,0.014,487.72,604.439,0.018,497.636,628.848,0.015,511.966,652.104,0.021,520.172,669.458,0.012,527.997,688.326,0.018,537.325,699.325,0.016,541.793,710.172,0.017,545.073,716.218,0.035,549.36,718,0.05,551.132,709.604,0.012,548.59,695.13,0.017,551.254,681.61,0.018,554.752,662.991,0.019,560.103,644.279,0.014,561,625.58,0.024,563.589,607.699,0.014,564.138,586.107,0.017,562.92,563.117,0.014,559.636,539.995,0.021,556.274,516.671,0.022,553.196,492.96,0.013,549.93,467.303,0.012,547.686,442.551,0.021,543.9,423.601,0.016,540.429,407.073,0.015,536.872,396.68,0.021,537,391.585,0.052,540.5,395,0.015,541,398.306,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,3141,ENPR
237,396,0,245.908,430.633,0.015,247.565,449.087,0.018,248,467.053,0.015,248,496.882,0.02,248.255,515.294,0.02,248,536.614,0.016,248.747,557.471,0.016,249.004,576.039,0.017,249,595.121,0.016,249.494,611.449,0.018,250,628.024,0.013,250.01,644.921,0.017,252,659.574,0.019,251.532,671.339,0.011,253,683.863,0.017,253,692.9,0.02,253,700.562,0.016,254,708.461,0.016,256.267,709,0.017,257,703.372,0.017,257,695.5,0.019,257.549,684.903,0.014,264.105,672.79,0.019,274.094,656.813,0.015,280.105,641.58,0.015,287.842,627.621,0.016,296.117,612.796,0.021,306.069,592.327,0.021,314.946,571.575,0.013,329.518,549.47,0.02,338.907,528.21,0.014,347.069,508.596,0.018,357.84,490.78,0.011,365.15,473.984,0.017,371.971,459.068,0.017,381.426,443.337,0.019,389.858,431.677,0.02,394.388,421.224,0.012,397.954,412.185,0.018,401.298,406.552,0.049,404.5,411,0.032,403,416.445,0.023,402,421.066,0.015,402.772,426.315,0.019,405,433.993,0.018,409.507,440.76,0.011,415.141,449.211,0.026,421.246,463.241,0.02,433.514,483.899,0.017,447.24,503.987,0.019,457.408,524.223,0.017,467.267,543.68,0.017,479.546,564.764,0.021,488.085,586.617,0.015,495.804,602.81,0.024,504.252,622.504,0.011,510.16,636.48,0.013,514.681,652.384,0.018,517.5,660,0.02,520.802,669.21,0.012,525.061,680.307,0.018,529.599,686.899,0.018,534.5,691,0.016,539.774,695.549,0.02,543,699,0.016,546.342,701.171,0.065,549,694.025,0.013,549,687.238,0.016,548,681.5,0.027,548.854,668.584,0.016,549,658.378,0.014,550.341,648.294,0.019,550,635.97,0.016,551,623.006,0.016,550.901,607.207,0.017,552,588.979,0.017,552,569.753,0.02,551.413,550.858,0.013,552,531.498,0.016,552,513.493,0.017,551,494.5,0.023,551,475.749,0.012,551,459.682,0.017,549.712,445.271,0.019,550,433.289,0.017,549,424.025,0.015,549,416.95,0.018,549,411.499,0.027,549,406.198,0.05,548.924,408.227,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,3430,ENPR
251,398,0,248,434.337,0.014,248,451.168,0.016,249,469,0.02,250.48,496.399,0.018,251,514.888,0.016,253.231,534.849,0.017,253,555.5,0.02,254,577.656,0.013,255,599.987,0.025,255.207,621.279,0.015,255,637.217,0.018,255.686,654.117,0.016,255,666.796,0.021,256.185,678.107,0.014,256,685.943,0.016,255,689.369,0.019,255,693,0.034,257.214,691.786,0.034,261.221,686.779,0.017,262.409,675.547,0.015,274.528,657.312,0.02,285.18,637.23,0.017,299.974,615.748,0.017,308.046,594.862,0.015,319.597,576.204,0.014,333.352,554.08,0.019,341.337,533.158,0.017,353.969,514.046,0.018,367,495.5,0.015,371.47,471.589,0.016,380.385,454.229,0.022,388.907,438.187,0.026,397.397,418.507,0.011,400.87,409.194,0.017,405.184,403.632,0.033,410.802,402,0.037,411,407,0.013,410,410.551,0.033,410,416.497,0.021,412.951,423.903,0.016,418.771,434.285,0.027,422.935,442.87,0.012,427.464,454.391,0.015,432.964,468.893,0.022,437.412,482.441,0.012,444.908,501.292,0.02,452.085,516.56,0.013,457.877,536.506,0.012,465.838,559.304,0.022,477.085,580.17,0.026,491.155,610.887,0.028,501.179,629.204,0.017,513.173,648.052,0.012,520.107,661.32,0.017,527.042,674.563,0.021,534.085,686.063,0.015,539.86,695.433,0.024,543.987,702.48,0.015,546.871,710.742,0.016,548.068,713.136,0.049,551.813,707.374,0.019,550.908,698.541,0.026,548.317,688.096,0.019,550.692,661.464,0.021,551.923,644.616,0.014,552.185,624.332,0.015,554.45,603.497,0.016,556,579.58,0.022,556.917,555.745,0.015,558,531.028,0.013,560,511.187,0.018,560.64,490.238,0.016,559.087,469.693,0.014,560,451.76,0.024,559.362,433.467,0.018,559,407.594,0.017,559,394.072,0.017,557.763,385.051,0.023,556.729,380.458,0.065,558,386.264,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,3217,ENPR
257,406,0,252.718,445.944,0.009,252,474,0.015,253.774,502.292,0.016,255,546.872,0.017,254.72,579.642,0.016,256.053,615.425,0.019,257.414,645.901,0.015,259.994,670.942,0.019,262.239,689.671,0.02,263,697.995,0.014,265.538,699,0.03,264.772,689.317,0.018,264.446,670.543,0.021,273.414,646.806,0.013,281.807,618.58,0.017,299.614,587.489,0.02,314.525,553.266,0.013,332.73,519.864,0.013,346.503,486.066,0.021,366.339,455.215,0.015,377.53,427.784,0.02,391.871,405.484,0.011,399.803,389.59,0.017,403.125,382.749,0.048,403.383,389.235,0.012,403.871,394.612,0.019,407.186,402.373,0.018,415.79,413.506,0.012,423.463,432.542,0.017,431.231,449.462,0.016,442.718,473.076,0.022,453.62,497.917,0.01,465.592,523.784,0.019,481.079,550.421,0.018,493.388,576.086,0.012,507.389,602.413,0.018,517.298,628.17,0.017,526.919,649.837,0.017,538.24,667.385,0.016,543.587,683.054,0.017,548.087,689.087,0.022,551.083,687.917,0.018,547.973,671.864,0.015,546,647.279,0.027,545,600.468,0.017,545,568.235,0.018,546,535.291,0.017,546,499.666,0.027,546,450.352,0.015,543.525,424.252,0.018,541.308,406.541,0.029,540,399.954,0.014,541.213,405.639,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,2119,ENPR
258,396,0,254,450.016,0.016,255,469.686,0.017,254,488.694,0.017,254,514.653,0.018,254.435,533.957,0.017,254.81,553.103,0.017,255,569.329,0.017,255.29,587.611,0.018,256.5,600,0.02,255.764,614.872,0.015,254.986,627.072,0.016,253.724,638.102,0.014,255.5,653.5,0.015,255,662.804,0.016,256,674.137,0.019,258,686.104,0.018,260.042,696.604,0.017,262,706.903,0.014,263,715.007,0.017,265.258,719.515,0.082,268,712.715,0.017,267,700.728,0.013,272.796,687.809,0.017,280.18,668.846,0.011,288.336,649.244,0.017,298.298,629.079,0.021,305.617,608.148,0.022,313.119,585.982,0.009,323.16,564.601,0.018,332.467,545.653,0.012,337,526.5,0.016,343.233,509.789,0.019,352.085,494.898,0.021,360.946,482.817,0.014,366.5,470.5,0.019,369.731,457.615,0.013,374.029,445.926,0.02,379.436,437.346,0.013,384,430.5,0.022,389.822,422.356,0.011,392.104,417.793,0.017,395.355,413.289,0.035,397.269,408.462,0.034,400.292,404.708,0.034,402.048,401.976,0.05,404.181,406.362,0.305,406.102,410.204,0.035,406,414.537,0.034,406.146,418.292,0.019,408.666,425.333,0.02,411.813,429.813,0.012,415.374,436.562,0.019,419.194,443.194,0.015,424.307,453.267,0.02,428.635,467.149,0.012,434.435,478.87,0.022,442.878,495.005,0.012,452.494,510.365,0.021,460.407,529.814,0.013,470.656,549.181,0.02,484.367,569.419,0.022,498.896,600.068,0.015,510.927,620.836,0.021,519.762,637.715,0.013,527.404,656.743,0.016,536.512,670.619,0.016,543.835,684.725,0.017,548.405,693.81,0.021,551.893,702.786,0.015,555,708.5,0.016,556.274,713.823,0.036,561,711.767,0.021,560.104,706.311,0.024,556.745,698.489,0.012,553.602,692.205,0.016,553,683.488,0.016,553,670.753,0.019,552,659.382,0.017,553,645.16,0.02,553,628.217,0.014,553.143,610.29,0.016,553,591.916,0.019,551.685,573.484,0.013,550.41,554.689,0.015,549.178,534.6,0.016,547.924,516.393,0.024,547.305,498.559,0.012,546.419,481.351,0.016,546,465.377,0.017,543.949,450.743,0.017,544,437.108,0.019,543.471,427.357,0.014,543,420.472,0.024,541.868,411.605,0.053,545.073,411.036,0.036,0,0,0,0,0,0,0,0,0,0,0,0,192,4272,ENPR
260,392,0,254.33,431.034,0.01,253,449.518,0.017,253,466.247,0.017,251.599,494.017,0.017,253,508.5,0.012,253.926,530.41,0.016,254,548.206,0.018,256.399,566.791,0.018,255,584,0.016,255.118,604.172,0.014,256.273,623.227,0.016,255.571,635.572,0.016,257.769,648.717,0.014,260.694,660.234,0.019,261,671.367,0.016,262,680.489,0.013,261,686.5,0.035,260.966,690.068,0.033,259.728,694.543,0.034,258.946,700.109,0.103,262.899,695.202,0.014,265,689.707,0.019,266.415,678.927,0.021,278.469,656.827,0.017,292.782,629.437,0.017,304.377,603.964,0.015,311.099,577.97,0.019,320.59,552.418,0.016,334.053,527.42,0.019,342.253,501.305,0.019,358.255,478.779,0.016,368.5,460,0.02,375.847,441.345,0.015,386.361,426.567,0.017,396.329,413.006,0.021,401.687,403.751,0.016,408.203,396.598,0.023,412.049,391.976,0.01,416.437,389.781,0.053,417.025,396.949,0.017,417,400.367,0.026,418.718,407.437,0.019,420.5,411,0.013,423.529,419.059,0.017,426.999,427.997,0.015,429.72,440.878,0.021,433.942,454.797,0.02,440.778,472.556,0.012,449.855,489.247,0.018,455.384,510.227,0.017,461.871,532.612,0.017,469.924,556.217,0.017,480.286,578.573,0.018,486.34,603.028,0.013,493.763,626.466,0.026,508.271,656.288,0.017,516.5,670.5,0.019,521.536,685.841,0.015,527.054,695.109,0.021,533.786,705.309,0.012,539.5,712.5,0.018,541.757,715.514,0.02,544.531,717.265,0.034,548.179,715.821,0.021,549,709.982,0.016,547.5,699.5,0.021,549.615,683.541,0.011,551.081,663.27,0.018,553.299,644.607,0.015,553,624.5,0.016,555.225,602.47,0.014,556,579.569,0.021,555,555.166,0.015,553.523,527.772,0.016,553,499.819,0.028,553,461.883,0.016,551.615,439.146,0.018,550.383,426.914,0.016,549,415.558,0.022,548,409.344,0.013,548,405.644,0.066,550,409.183,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,3387,ENPR
251,405,0,248,436.868,0.02,248,450.288,0.016,248,472.87,0.015,249.788,492.517,0.015,250,511.037,0.022,250.444,532.781,0.02,251,554.241,0.021,252,574.815,0.018,254,594.165,0.015,254.994,612.96,0.014,256,629.542,0.017,258.731,649.386,0.019,262.134,664.671,0.022,263,682.855,0.019,265.841,696.364,0.02,266,707.699,0.035,266.817,703.633,0.023,267.561,693.317,0.02,273.871,677.386,0.017,282.811,655.107,0.013,293.625,634.407,0.019,303.017,610.925,0.017,310.755,587.356,0.014,322.018,560.718,0.018,333.393,537.083,0.018,339.933,514.667,0.01,349.581,492.977,0.021,360.677,471.421,0.016,366.132,452.604,0.011,373.92,435.107,0.022,384.352,421.648,0.018,391.319,410.021,0.019,396.05,403.925,0.05,395.822,411.355,0.022,397.636,420.909,0.016,403.007,432.026,0.024,415.84,443.92,0.017,424.716,457.431,0.017,433.725,471.725,0.023,445.757,490.099,0.014,455.902,508.804,0.017,463.677,532.369,0.02,476.762,551.833,0.017,486.127,571.382,0.023,492.816,593.039,0.012,502.348,615.479,0.016,512.257,635.899,0.013,520.5,657.5,0.017,528.758,679.152,0.017,539.788,693.05,0.019,544.219,705.828,0.017,547,712.997,0.017,550.355,716.178,0.067,554.228,707.088,0.021,551.197,698.591,0.014,551,689.413,0.022,551.459,675.754,0.027,554.023,653.885,0.018,555.413,632.108,0.03,556.907,595.839,0.016,557,566.92,0.019,555,540.09,0.018,553,511.146,0.025,551.646,483.168,0.014,551.295,459.065,0.013,551,438.547,0.014,551.454,422.183,0.03,551,407.144,0.016,553.208,401.583,0.086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,4023,ENPR
250,400,0,249,434.764,0.013,249,455.217,0.019,249,475.346,0.019,247.605,511.91,0.014,248,531.185,0.02,248,556.539,0.014,248,579.236,0.022,248,603.45,0.017,248.405,627.354,0.015,248.838,648.379,0.022,249,666.618,0.022,250.312,684.499,0.012,250.596,697.384,0.015,251.811,708.053,0.018,253,713.088,0.034,257.356,711.644,0.017,261.805,705.39,0.018,263.138,692.174,0.018,271.217,675.16,0.023,278.526,653.317,0.013,286.542,630.258,0.026,298.598,607.445,0.011,309.889,582.221,0.01,319.732,557.779,0.02,334.145,532.567,0.017,345.691,506.849,0.017,359.246,484.257,0.014,369.445,460.276,0.02,380.165,437.169,0.021,390.194,418.483,0.011,395.677,406.984,0.016,397,401.5,0.095,396,407.851,0.03,397.923,413.846,0.016,401.363,421.726,0.016,407.33,435.216,0.019,416.183,447.456,0.013,423.677,464.137,0.025,431.336,479.783,0.011,441.992,502.381,0.02,453.413,519.635,0.011,462.505,541.762,0.02,475.662,565.04,0.011,488.916,592.983,0.018,500.697,613.459,0.012,514.215,633.743,0.017,523.424,653.847,0.02,532.574,667.518,0.015,541.143,681.858,0.014,545.829,692.143,0.017,549.074,699.222,0.016,551.576,704.576,0.019,554.134,703.732,0.025,554,696.604,0.012,549.162,684.904,0.019,549,667.963,0.014,550.895,648.837,0.017,551,627.647,0.016,552,608.43,0.016,554.5,584.5,0.02,555,555.748,0.015,556,525.883,0.017,556.324,496.114,0.014,557,467.054,0.012,557,439.639,0.022,558,421.343,0.01,557.334,406.665,0.019,557,400.5,0.068,559,405.298,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,2712,ENPR
262,404,0,255.639,432.168,0.016,256.407,455.482,0.02,256.612,480.955,0.014,258.855,522.938,0.015,259,556.869,0.019,257.626,590.615,0.015,256.588,619.231,0.014,256,648.289,0.019,254.9,668.8,0.016,256,689.831,0.014,255.595,700.379,0.017,257.5,705,0.03,260.228,701.545,0.014,261,693.103,0.017,261,681,0.022,273.671,654.821,0.019,283.334,630.095,0.007,301.852,606.292,0.022,318.48,575.632,0.011,338.465,543.222,0.016,357.59,510.35,0.028,372.66,478.301,0.011,385.827,447.433,0.016,395.472,423.451,0.015,399.141,405.294,0.017,400,396.826,0.052,399.163,404.674,0.014,399,410.347,0.038,404.804,421.157,0.018,414.552,436.973,0.012,423.863,453.726,0.02,432.737,473.29,0.013,445.804,497.141,0.017,457.735,519.522,0.017,469.613,543.355,0.021,484.914,569.828,0.015,496.208,597.741,0.023,515.97,632.425,0.016,527.299,655.498,0.016,541.068,672.364,0.019,545,685.5,0.016,549,690,0.053,550,685.453,0.02,547.606,663.545,0.013,548.862,637.929,0.017,551.085,606.812,0.029,553,553.733,0.015,552,520.217,0.018,551,488.421,0.02,550,459.727,0.015,548.543,431.514,0.02,549,412.896,0.014,549.941,401.237,0.024,552.285,399.143,0.021,550,403.279,0.122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,2143,ENPR
