@relation RegistrosP2LSCC
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
255,385,0,250,422.668,0.017,250,441.333,0.016,251,465.153,0.017,252,479.787,0.02,252.5,498,0.017,252,513.672,0.016,252,532.518,0.018,252,546.676,0.016,251.963,564.186,0.016,252,577.61,0.022,252,594.844,0.017,252,611.712,0.012,253,628,0.017,253.878,648.145,0.016,252.763,665.42,0.016,254,681.447,0.015,254,693.911,0.017,253,704.683,0.009,256,714,0.034,256.268,708.195,0.017,261.941,692.236,0.027,273.518,663.66,0.01,296.5,623,0.017,315.153,578.632,0.017,333.652,542.456,0.017,346.89,511.777,0.017,361.431,482.852,0.015,368,457,0.016,378.764,433.828,0.017,388.496,412.513,0.019,394.232,397.536,0.016,396,391,0.017,398.598,398.792,0.015,398,407.931,0.017,402.663,422.99,0.018,411.108,443.216,0.017,422.131,466.394,0.017,432.31,490.058,0.016,444.022,512.631,0.017,454.517,536.207,0.019,465.615,560.769,0.016,479.633,583.449,0.017,488.817,604.907,0.011,498,624,0.017,510.038,644.076,0.017,519.141,660.901,0.017,526.243,676.739,0.017,537.226,690.339,0.011,546.968,703.936,0.015,554.553,712.553,0.018,559.215,715.108,0.035,561.585,698.049,0.016,561.078,666.218,0.017,563.324,628.147,0.017,562,593.878,0.018,560,564.555,0.017,557.5,539.5,0.018,556.914,513.599,0.017,555.439,487.475,0.018,558,465.441,0.016,558,444.888,0.017,557.613,423.292,0.016,559,407.228,0.027,559,390.257,0.011,560.5,381.5,0.016,560,375,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,3590,LSCC
259,389,0,253.232,408.303,0.014,252,417.502,0.017,252,429.386,0.017,252,443.845,0.017,253,452.458,0.024,254,472.634,0.014,254,483.878,0.018,256.439,495.098,0.018,256,507.781,0.015,255.422,526.397,0.015,256,542.577,0.013,258.393,559.574,0.018,257.563,574.061,0.018,257.693,590.237,0.018,256.061,607.572,0.016,255.183,626.644,0.016,252.572,641.995,0.017,252.325,659.051,0.016,251.078,671.612,0.018,253.162,682.808,0.011,253,689.238,0.016,254.656,693.312,0.016,256.5,697,0.017,260.269,699.134,0.032,264.537,697.463,0.033,267.118,690.763,0.016,271.751,680.123,0.018,277,662,0.013,285.589,643.232,0.016,298.522,625.165,0.017,306.064,607.516,0.018,314.795,588.017,0.017,326.35,571.138,0.017,333.267,553.289,0.024,337.991,535.027,0.009,343.152,517.543,0.016,349.462,501.255,0.018,358.333,486.667,0.016,359.309,474.458,0.017,363.5,459.5,0.017,366,449.99,0.017,370.09,437.729,0.018,372.285,426.862,0.016,377,419.5,0.016,383.565,412.869,0.017,388.059,406.941,0.032,391.515,403.742,0.034,394.003,407.006,0.034,395.249,411.497,0.03,401.591,418.591,0.017,406.217,428.543,0.009,418.771,441.771,0.019,428.408,458.214,0.015,439.24,474.937,0.02,453.634,501.691,0.017,460.357,518.62,0.021,469.819,535.933,0.01,479.736,553.577,0.018,486.77,570.348,0.015,493.314,588.504,0.016,504.427,604.484,0.017,511.854,622.488,0.017,518.34,639.358,0.02,529.535,663.747,0.016,537.571,679.714,0.04,550.783,704.174,0.019,554.535,708.535,0.056,554,692.4,0.022,552,657.905,0.017,551,630.403,0.021,550,601.313,0.015,550,571.199,0.016,549,546.497,0.015,550.223,524.77,0.02,550.454,504.46,0.02,551,484.03,0.022,553.072,455.494,0.014,553.32,439.44,0.028,555,415.188,0.032,554,394.779,0.055,553.338,370.014,0.033,553,364.981,0.249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,3503,LSCC
262,393,0,257.157,437.116,0.017,254.901,462.086,0.02,252.655,488.48,0.008,248,530.661,0.016,246.165,558.017,0.018,246,580.779,0.016,246,600.588,0.016,247,620.138,0.017,247.191,637.472,0.016,249.063,655.501,0.016,249,674.77,0.019,252.548,690.833,0.018,254,702.957,0.02,259.14,708.07,0.019,264.783,706.478,0.027,273.045,687.91,0.016,281.061,663.082,0.017,295.064,637.383,0.018,305.999,612.002,0.017,319.96,584.068,0.017,334.487,561.522,0.023,342.91,538.18,0.014,355.597,511.087,0.017,364.92,486.201,0.017,370.69,460.242,0.018,379.883,439.292,0.016,386.875,423.687,0.016,391.91,409.313,0.017,396.205,399.181,0.017,401.804,396.732,0.032,405.927,402.855,0.016,408.183,408.548,0.016,413.304,416.739,0.016,421,433,0.015,427.75,454.167,0.017,435.682,477.875,0.017,446.481,503.961,0.018,453.966,525.554,0.017,460.69,547.071,0.017,473.033,567.476,0.014,484.965,589.537,0.017,492.923,610.77,0.014,504.542,629.199,0.017,515.533,648.066,0.018,523.529,666.058,0.017,531.109,682.974,0.022,540.479,695.219,0.015,545.23,702.345,0.032,548.601,698.196,0.016,548.035,690.104,0.017,545.78,678.463,0.016,549.951,637.963,0.017,552,609.502,0.016,554,580.634,0.017,556,550.013,0.016,557,525.67,0.017,556,503.5,0.015,554.935,471.848,0.02,554,448.421,0.014,552.576,424.34,0.017,552.334,403.343,0.016,552.918,385.655,0.017,550.838,368.702,0.016,550,360.784,0.016,550,353.699,0.016,553.037,351,0.016,561.334,352,0.103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,2496,LSCC
243,402,0,247.263,429.63,0.017,249.5,441.5,0.017,249.756,452.78,0.017,252.002,468.022,0.016,252,475.985,0.017,252,484.977,0.017,252,494.93,0.016,252,503.928,0.017,251,515.116,0.017,252.471,528.824,0.017,251,539.281,0.016,250.041,552.757,0.029,251,563.792,0.028,249.552,575.689,0.017,250,592.272,0.016,249,603.309,0.017,249,614.539,0.016,248.5,624,0.016,248.202,634.988,0.016,248,647.217,0.017,247.715,657.138,0.017,248,669.5,0.016,248,679.879,0.017,249,687.063,0.017,249,693.792,0.017,250,702,0.016,250,706.512,0.017,252.005,711.005,0.049,257.734,709.532,0.017,260.98,705.04,0.027,262.223,700.553,0.017,263,695.055,0.017,264.718,689.847,0.017,268.923,683.154,0.017,272.207,672.965,0.017,274.9,664.199,0.017,280.379,652.552,0.018,284.829,639.598,0.014,294.6,627.8,0.017,304.119,614.034,0.016,307,600,0.014,313.917,582.75,0.017,324.638,571.202,0.017,329.818,558.955,0.019,334.28,547.16,0.019,339.595,534.674,0.008,344.264,523.339,0.016,351.885,512.492,0.029,360.238,498.27,0.029,366.112,482.55,0.013,373.456,467.574,0.018,376.205,454.325,0.021,386.298,438.504,0.014,391.688,425.281,0.019,394.182,415.636,0.032,399.911,403.179,0.018,401,396.407,0.028,405.537,398.537,0.033,406,407.619,0.065,406.921,424.524,0.024,412.828,441.657,0.022,425.124,473.249,0.015,432.102,492.979,0.026,439.14,515.838,0.031,452.253,540.758,0.027,456.756,553.268,0.016,466.487,574.462,0.019,478.057,597.668,0.017,485.557,612.966,0.023,495.677,634.355,0.023,503.419,648.31,0.011,511.865,661.013,0.032,520.173,679.433,0.017,526.983,690.638,0.037,538.808,711.232,0.02,546.356,720.534,0.028,552.669,730.504,0.031,554.179,733.358,0.024,555,726.449,0.018,554.979,721.958,0.016,554,715.198,0.018,551,705.97,0.016,551,694.528,0.028,550,652.839,0.071,550,587.348,0.055,550,547.325,0.043,550,489.211,0.068,553.656,440.404,0.013,554.913,426.435,0.019,557.16,413.043,0.018,557.591,399.134,0.049,560,374.967,0.026,558.805,370.61,0.043,565.24,377.24,0.204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,4441,LSCC
254,407,0,255,443.279,0.017,256.407,460.252,0.018,256,473,0.033,257,502.105,0.017,256,516.864,0.016,257,535,0.016,253.497,549.26,0.023,252.998,566.015,0.015,251,593.323,0.017,250,606.671,0.017,248.5,619.5,0.15,245,680.431,0.017,245,687.991,0.018,245,693.5,0.016,246.82,697.64,0.017,247,701,0.099,249,697.461,0.015,252.287,692.426,0.018,256,685.5,0.016,262.1,677.125,0.019,271.075,666.875,0.017,280.069,655.664,0.017,288.5,639,0.018,303.788,626.697,0.018,311.995,610.012,0.017,324.515,598.738,0.016,332.969,583.062,0.014,336.478,572.305,0.017,342.958,560.07,0.013,351.144,546.856,0.017,357.424,534.626,0.017,362.447,517.934,0.017,365.919,506.201,0.017,369.211,494.945,0.017,372.923,484.155,0.035,377.819,470.724,0.032,383.537,457.284,0.026,389.104,444.241,0.022,392.796,434.021,0.027,396.155,421.382,0.019,402.203,409.994,0.041,409.792,398.052,0.019,411.089,400.177,0.033,411.639,405.278,0.012,412.002,411.005,0.081,429.583,462.888,0.023,436.217,482.977,0.014,448.903,511.807,0.017,453.717,527.019,0.016,457.943,541.801,0.024,462.436,556.308,0.017,469.46,572.676,0.015,477.709,590.96,0.018,485.764,609.528,0.016,494.989,627.583,0.017,498.882,645.528,0.017,509.722,657.722,0.017,516.786,669.644,0.014,521.334,677.668,0.016,528.652,685.652,0.016,532.334,691.001,0.016,537.687,696.687,0.012,541.316,703.474,0.016,544.531,708.797,0.033,546,706.897,0.034,545.379,698.137,0.017,544,688.769,0.016,545,664.711,0.017,546.349,638.809,0.017,548.5,614,0.018,549.854,583.899,0.016,551.087,559.039,0.016,550,537.911,0.017,551,517,0.015,553,499.385,0.017,553.072,484.571,0.015,554.326,471.047,0.017,552.5,455.5,0.03,554,442.099,0.01,552.936,427.554,0.017,555.312,417.441,0.017,555.445,405.782,0.017,554,397.438,0.017,555,392.922,0.032,557.268,386.464,0.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,3680,LSCC
262,388,0,262,410.491,0.017,261,436.966,0.016,260.094,456.782,0.017,258.846,470.926,0.017,259,484.771,0.017,257,499.855,0.016,255.112,515.214,0.017,255.136,532.085,0.017,252.619,546.67,0.017,252.377,563.737,0.016,251.127,579.113,0.016,253.115,594.688,0.017,253,609.542,0.017,254.606,623.634,0.016,254,637.106,0.017,255.099,651.694,0.017,255,662.713,0.018,255,672.5,0.051,257,704.324,0.03,261.5,706.5,0.03,262.181,701.638,0.017,263,697.147,0.025,265,688.62,0.016,270.111,675.777,0.016,273.565,662.305,0.019,279,646.5,0.015,287.09,628.82,0.017,298.094,608.831,0.017,306.069,589.862,0.017,311.5,571,0.017,320.018,551.964,0.017,327.001,534.997,0.017,333.746,518.01,0.017,337.962,502.633,0.017,341.735,489.855,0.017,346.956,478.111,0.018,352.446,468.109,0.017,360.866,456.667,0.016,364.431,444.707,0.017,370.878,433.203,0.017,377.821,417.768,0.017,387.793,404.311,0.017,393.699,391.504,0.017,397.882,382.236,0.018,400.153,377.695,0.049,400,383.848,0.018,400,387.252,0.017,399,391.83,0.017,401.314,398.627,0.015,404.808,407.616,0.017,408.299,417.748,0.016,414.572,430.751,0.018,418.5,441,0.016,423.76,454.28,0.016,429.25,467.749,0.016,433.737,482.579,0.019,439.656,497.875,0.016,448.287,512.86,0.016,454.21,529.734,0.017,461.057,545.817,0.019,468,562,0.016,478.211,577.738,0.017,486.246,593.575,0.017,494.299,608.274,0.016,502.5,623.5,0.016,509.291,635.76,0.019,516.199,648.331,0.017,520.621,658.242,0.019,526,668,0.015,532.203,678.203,0.017,540.155,689.207,0.016,547.858,701.716,0.016,554.5,710,0.016,560.57,716.356,0.016,564,718.5,0.051,564,712.083,0.015,562.114,704.458,0.017,561.135,691.052,0.017,557.24,671.201,0.017,560.5,649.5,0.016,560,619.585,0.017,559,592.591,0.017,559.363,568.37,0.016,558.5,547,0.016,560.153,530.22,0.016,561,513.367,0.017,560,496.617,0.021,557,481.906,0.015,557.307,436.849,0.018,556.576,421.543,0.024,557,392.731,0.017,559,379.922,0.011,558.466,369.862,0.018,559.584,364.208,0.018,560,361,0.016,559,356.561,0.172,0,0,0,0,0,0,0,0,0,193,3772,LSCC
249,395,0,249,425.544,0.017,249,443.958,0.018,248.383,461.322,0.016,246.266,484.008,0.017,247,502.79,0.016,247,517.488,0.017,248,534.617,0.016,248,550.787,0.017,249,568.664,0.017,249,590.33,0.018,249,609.885,0.015,250,630.672,0.016,252.156,650.703,0.017,253,666.255,0.018,257.564,681.822,0.016,261.625,693.875,0.016,264.056,702.167,0.017,266.304,708.911,0.021,267,713.537,0.065,269.204,706.185,0.019,269,697.042,0.015,270.9,686.5,0.017,274.144,671.995,0.017,276.781,656.267,0.018,280.262,640.214,0.015,287.518,624.844,0.017,295.484,609.153,0.016,303.474,593.421,0.018,309.838,576.099,0.015,319.437,559.985,0.017,328.315,542.161,0.017,335.009,526.645,0.019,341.5,511,0.014,349.523,496.114,0.017,359.337,478.326,0.016,365.983,463.707,0.017,369.134,451.166,0.016,375.413,438.978,0.017,380.172,428.771,0.017,391,407.5,0.013,393.353,408.177,0.017,394,413.56,0.019,394,417,0.015,395,421.509,0.019,397.5,429,0.022,401.731,437.926,0.01,406.995,446.992,0.024,414.962,460.684,0.012,422.5,475,0.017,429.488,489.209,0.021,437.945,504.889,0.012,449.595,521.823,0.017,456.875,538.282,0.017,466.297,557.445,0.033,477.636,574.453,0.01,485.642,593.925,0.017,493.783,609.12,0.016,501.83,627.245,0.022,510.831,645.548,0.021,519.952,669.221,0.014,526.685,683.808,0.019,530.805,695.831,0.026,539.031,709.187,0.018,544.784,724.567,0.019,548.645,730.29,0.025,551.537,733.537,0.032,551,728.464,0.017,552,723.462,0.021,550.989,715.967,0.015,549.742,703.452,0.019,551,689.63,0.015,551.744,669.306,0.015,552.014,645.166,0.02,554.773,620.505,0.015,555.472,597.284,0.022,558.854,561.606,0.016,559.902,539.022,0.018,561.345,515.894,0.014,561.577,494.804,0.016,563,478.355,0.016,563,460.535,0.013,563.337,444.678,0.023,562,431.753,0.016,562,415.459,0.02,559.867,406.6,0.016,557.149,396.871,0.014,560,395.464,0.033,563.392,396.262,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,3552,LSCC
259,387,0,252.322,423.135,0.017,251,447.147,0.018,251,471.955,0.008,249.591,514.396,0.018,250.341,535.906,0.016,250.906,561.873,0.017,249.848,583.368,0.017,251,603.111,0.017,251.64,623.123,0.016,251,642.101,0.015,250.869,657.787,0.017,252,672.248,0.017,253.621,682.862,0.016,254.868,688.735,0.016,256.055,691.111,0.033,260.536,687.464,0.018,264.694,678.765,0.017,271.284,664.432,0.016,278.015,645.954,0.018,289,625,0.016,303.313,599.546,0.017,312.297,577.257,0.016,325.58,556.841,0.018,332,542.5,0.017,336.617,528.34,0.017,343.214,510.571,0.016,353.187,490.328,0.016,363.5,471,0.016,370.375,449.874,0.017,382.176,429.648,0.017,389.842,413.036,0.017,392.5,403,0.016,394.003,404.006,0.034,395,409.766,0.019,396,415.809,0.016,398.622,423.244,0.016,406.728,438.019,0.024,418.69,452.704,0.02,427.979,471.362,0.018,448.525,503.321,0.016,465.079,537.465,0.02,478.42,561.271,0.019,488.38,585.451,0.014,506.411,619.016,0.017,515.75,639.374,0.017,524.772,657.544,0.016,537.496,675.496,0.017,544.71,689.065,0.016,551.275,700.7,0.017,556.349,707.675,0.016,560.755,711.837,0.016,565.273,706.453,0.019,562.695,693.737,0.016,559.102,678.813,0.017,555.856,657.418,0.017,554,629.69,0.019,551,601.771,0.016,549.12,576.083,0.017,547.877,549.526,0.017,547,524.646,0.019,547,495.395,0.016,547,465.115,0.016,547,436.427,0.017,547,408.449,0.018,548,386.641,0.015,548,368.102,0.017,549,358.664,0.017,549,353.642,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,2591,LSCC
255,394,0,251,434.409,0.017,252.091,455.905,0.016,253.336,477.022,0.018,255.5,512.5,0.014,257,528.262,0.017,259.068,548.612,0.017,261.309,568.777,0.019,259.5,591,0.015,257.4,614.999,0.017,254.95,637.496,0.016,253.708,659.629,0.017,252.5,677,0.017,255.786,691.932,0.016,259.029,702.116,0.016,261.276,707.551,0.049,264.89,704.221,0.018,269.257,695.485,0.017,275.13,683.74,0.019,282.5,661.5,0.016,297.196,637.609,0.017,306.345,611.507,0.018,315.428,588.431,0.019,325,566,0.016,335.542,538.832,0.019,346.417,516.167,0.016,360.044,493.594,0.017,370.5,471,0.017,378.984,454.016,0.016,390.328,437.541,0.017,395.621,419.826,0.018,397.5,411,0.015,399.809,407.381,0.017,401.089,410.268,0.033,402,417.743,0.017,405.16,425.642,0.018,413.628,439.442,0.02,422.568,454.135,0.016,430.567,472.134,0.017,438.421,490.123,0.017,451.93,511.087,0.019,461,532,0.016,472.211,551.685,0.017,483.613,572.103,0.014,496.467,599.423,0.07,522.33,644.66,0.015,532.734,660.08,0.014,541.759,677.518,0.024,548.503,693.006,0.012,554.156,705.39,0.014,560.978,714.978,0.013,563.538,716,0.033,565.06,708.821,0.017,561.387,697.468,0.019,559.5,681.5,0.017,560.206,654.675,0.017,558.917,629.545,0.016,560.287,602.553,0.017,561.5,572.5,0.019,560.225,544.47,0.017,560.019,516.775,0.017,560.264,488.83,0.017,556.979,466.384,0.015,557,443.684,0.017,556,422.997,0.017,557.246,405.034,0.018,555,393.048,0.025,555,384.792,0.012,554.026,380.052,0.015,558.474,378.881,0.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,2657,LSCC
254,383,0,251.5,409.5,0.018,250,419.903,0.019,250,431.143,0.019,251.217,445.951,0.019,251,455.348,0.016,253,468.783,0.017,253,480.867,0.017,254.136,495.086,0.016,254,507.45,0.018,253.272,521.098,0.018,255,535.892,0.016,252.77,549.383,0.016,254.493,564.451,0.102,250,614.027,0.015,250,626.499,0.017,249,639.115,0.033,249.815,654.741,0.027,249,669.26,0.016,249.806,677.419,0.038,251.179,688.538,0.05,253,699,0.098,257.771,692.687,0.017,260.008,686.983,0.016,270.387,670.289,0.023,281.224,646.328,0.015,294.961,629.063,0.017,303.725,611.067,0.02,308.455,598.09,0.015,317.201,576.799,0.014,363.618,450.146,0.035,392.825,399.625,0.139,402,384.25,0.038,421.593,458.482,0.137,450.799,527.59,0.013,460.561,552.31,0.021,468.317,568.511,0.024,478.361,586.764,0.027,492.519,617.039,0.028,505.685,636.759,0.029,516.825,655.562,0.023,524.557,669.114,0.046,548.588,554.119,0.026,548.941,528.474,0.027,548,498.651,0.026,548,477.302,0.049,549.396,442.621,0.029,550,417.906,0.015,550.866,405.196,0.015,551,384.527,0.019,551,373.053,0.025,548.821,365.642,0.276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,4126,LSCC
