@relation RegistrosP2MICHC
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
230,383,0,240.009,425.054,0.02,241,449.353,0.016,239.5,474.5,0.021,240,517.083,0.014,240,547.004,0.02,237.562,574.191,0.014,235.5,602.5,0.015,235.717,628.734,0.02,237,653.5,0.017,238,667.411,0.015,237,681.714,0.016,237,689.403,0.016,238.265,692.529,0.053,246.271,686.093,0.018,255.63,676.37,0.013,270.029,661.799,0.021,280.272,647.213,0.016,294.765,626.235,0.013,306.55,601.351,0.021,320.717,579.771,0.011,333.959,557.866,0.017,342.002,531.197,0.016,354.15,505.7,0.015,364.271,479.735,0.019,372.552,458.965,0.012,383.359,438.462,0.015,393.256,418.675,0.021,399.175,407.767,0.014,403.616,397.768,0.016,403.108,403.568,0.016,400.853,413.589,0.017,404.843,439.059,0.018,414.486,466.7,0.021,424.502,496.006,0.014,433.668,526.137,0.022,447.086,549.519,0.012,456.819,571.852,0.02,465.316,592.632,0.014,476.413,608.827,0.016,485.661,627.982,0.012,492.715,647.718,0.016,501.203,662.804,0.016,508.116,680.309,0.016,517.19,692.19,0.019,522.608,706.68,0.015,530,713.5,0.033,535.231,710.884,0.117,538.217,707.35,0.02,539,693.146,0.017,538,670.933,0.015,538.954,646.553,0.017,544.397,621.215,0.026,549,573.384,0.016,548.193,539.082,0.022,548.029,505.684,0.026,551.393,462.322,0.014,554.291,436.19,0.016,558.804,413.687,0.017,562.163,397.694,0.017,565.378,383.732,0.015,563.942,384,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,2517,MICHC
236,402,0,236.696,436.537,0.018,238.754,456.035,0.015,239.96,474.312,0.014,242.239,492.914,0.023,243.25,512.256,0.014,243,529,0.016,244.481,549.171,0.02,244,583.137,0.013,244.681,599.17,0.016,245.813,616.816,0.015,246,630.549,0.021,246,645.088,0.021,246,655.871,0.019,244.707,661.76,0.01,244,668.127,0.017,244,673.5,0.017,244,676.293,0.013,244,678,0.033,244,679.546,0.136,244,676.881,0.016,246.103,672.793,0.017,248.539,666.653,0.067,265.528,641.327,0.019,273.831,624.505,0.014,282.792,608.365,0.016,293.002,591.331,0.022,302.146,575.245,0.018,310.528,559.261,0.012,319.642,542.171,0.015,335.578,511.46,0.018,342.909,497.986,0.019,351.419,483.767,0.017,359.443,472.716,0.013,363.233,461.222,0.017,366.595,448.819,0.016,369.923,440.538,0.022,371.893,435.768,0.019,376.58,427.839,0.01,379.98,421.7,0.017,383.334,416.888,0.019,386.705,413.295,0.023,390.025,411.992,0.043,392.232,412,0.035,396.205,420.217,0.02,399.201,430.336,0.011,404.388,440.899,0.015,412.074,453.116,0.017,420.958,469.797,0.021,426.107,482.657,0.014,434.721,504.996,0.017,446.983,518.976,0.021,455.208,539.017,0.026,465.086,557.755,0.024,487.486,593.972,0.017,496.691,611.295,0.019,505.733,624.95,0.012,514.681,635.016,0.015,517.834,648.043,0.015,522.361,656.541,0.017,526.776,663.164,0.016,532.061,671.498,0.017,536.709,678.564,0.017,541.215,685.323,0.017,544.606,688.606,0.023,546.611,691.917,0.021,547.4,693.8,0.012,548.5,696,0.062,549.984,690.032,0.021,550,685.5,0.011,550,677.075,0.023,548,667.584,0.014,548,659.023,0.014,548,649.762,0.019,548,636.312,0.023,548.854,625.316,0.018,549,608.483,0.013,549,594.587,0.01,549,574.996,0.017,549,559.763,0.019,546.005,535.054,0.016,545.792,519.921,0.016,545,503.371,0.016,545.84,486.558,0.021,546.976,473.262,0.023,548.061,462.144,0.015,549,447.572,0.015,549.323,440.063,0.015,550,431.509,0.011,550,421,0.018,549.31,415.239,0.02,549,411.429,0.023,549.909,408.273,0.012,550,405.903,0.027,550,402.666,0.017,550.27,400.19,0.026,551.513,394.974,0.013,552.5,393,0.116,0,0,0,0,0,0,98,2043,MICHC
244,393,0,244,411.964,0.019,244,434.945,0.012,244,450.55,0.017,243.041,466.427,0.017,243,484.724,0.016,241.77,501.448,0.021,242,519.589,0.017,239.134,559.855,0.013,240.415,573.359,0.02,240.682,590.906,0.017,240.207,607.889,0.014,240.952,625.281,0.02,238.858,637.781,0.017,239,653.183,0.013,236.316,663.079,0.022,235.582,672.762,0.017,235,681.687,0.012,235,687.599,0.015,235,691.37,0.017,235,694.78,0.02,236,697.001,0.099,240.425,692.862,0.019,242.7,690.3,0.015,245.915,687.085,0.015,249.404,681.327,0.022,253.993,673.262,0.018,261.384,662.616,0.011,269.359,654.641,0.021,275.978,641.257,0.017,282.87,629.042,0.011,292.694,617.452,0.016,301.759,600.482,0.02,309.655,590.158,0.017,318.685,570.419,0.017,328.722,559.673,0.016,335.602,540.796,0.015,342,528,0.018,352.242,511.289,0.018,360.591,499.811,0.017,366.571,485.2,0.014,373.488,473.187,0.026,380.919,463.01,0.027,387.098,449.529,0.013,396,434,0.017,398.948,423.454,0.017,401.61,416.975,0.022,404.654,413.346,0.016,407.042,411.979,0.05,410.398,416.531,0.024,414.957,426.402,0.02,424.17,449.234,0.018,429.372,465.989,0.016,435.043,479.095,0.016,441.707,496.885,0.021,451.057,512.599,0.02,456.693,529.401,0.013,462.5,544.5,0.016,474.06,563.878,0.015,483.663,578.91,0.017,490.288,594.148,0.027,498.526,604.466,0.018,505.433,619.488,0.016,513.758,629.895,0.009,518.324,641.309,0.014,524.317,654.097,0.017,529.5,661,0.02,535.676,668.683,0.022,540.144,674.93,0.012,542.855,681.564,0.013,545.116,685.174,0.032,545,687.285,0.07,545,684.735,0.032,547.021,675.895,0.016,547,667.981,0.016,547,658.835,0.016,545.596,651.169,0.019,546,637.5,0.018,546.621,625.408,0.015,547,611.646,0.015,548.766,598.286,0.017,550.004,583.942,0.017,551.125,566.006,0.017,552.221,553.348,0.018,552,532.768,0.017,553.468,522.855,0.016,551.5,502.5,0.016,550.286,488.584,0.016,549.168,474.848,0.017,548.055,461.663,0.017,546.902,445.63,0.016,547,439.798,0.023,547,428.978,0.023,546,419.071,0.026,546,410.057,0.014,546,407.409,0.015,546.933,405.134,0.018,547.5,404,0.052,544.809,407.191,0.121,0,0,0,99,2029,MICHC
229,395,0,239.551,450.412,0.015,242.081,482.136,0.021,244.319,511.142,0.021,244,552.049,0.013,243.195,574.048,0.018,241.953,594.38,0.015,237.379,612.795,0.016,235.468,631.787,0.015,235,651.888,0.018,236,668.905,0.009,234.752,685.735,0.015,235,694.985,0.021,235,704.14,0.014,235,708,0.052,239.544,702.184,0.017,245.695,691.762,0.013,254.325,682.593,0.017,267.725,662.125,0.02,278,644.5,0.016,293.56,617.263,0.021,307.012,592.983,0.014,322.078,563.438,0.021,335.5,532,0.02,346.458,508.084,0.017,358.99,485.02,0.015,366.83,466.064,0.013,373.5,440.5,0.017,381.147,432.421,0.015,387.934,425.044,0.017,391.289,425.289,0.036,396.419,438.837,0.02,406.403,455.672,0.011,424.516,480.145,0.018,437.523,511.916,0.018,452.697,542.394,0.014,467.437,572.686,0.02,486.599,601.176,0.017,505.753,631.276,0.016,524.196,660.166,0.015,543.032,687.051,0.015,551.783,703.827,0.019,556.945,700.273,0.022,558,686.931,0.014,555,661.774,0.022,555,633.61,0.02,557.841,602.354,0.014,560.178,567.613,0.017,559,527.768,0.014,559,495.849,0.018,559,465.067,0.013,560.169,440.817,0.017,561.403,424.774,0.017,562,414.735,0.016,563.27,411.461,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,2129,MICHC
243,399,0,245,431.985,0.015,245,456.96,0.013,244,484.437,0.021,241.587,540.203,0.015,242,573.392,0.014,243,613.35,0.019,240.855,647.319,0.018,238.19,673.457,0.019,238.621,694.968,0.011,239,711.373,0.016,241.212,713.894,0.017,245.667,698.167,0.015,253.403,683.395,0.016,266.141,657.717,0.02,276.258,635.226,0.021,290.58,609.484,0.013,306.329,584.396,0.023,324.596,557.962,0.011,338.5,530,0.016,356.332,505.145,0.015,367.183,477.404,0.016,376.266,461.468,0.013,386.132,444.868,0.017,393.47,434.59,0.02,397.972,421.084,0.015,402.521,413.219,0.013,407,412,0.068,415.258,428.58,0.01,424.438,451.236,0.015,434.526,484.989,0.021,449.645,520.709,0.015,471.081,576.242,0.012,484.169,609.942,0.013,494.379,640.462,0.017,504.623,663.397,0.017,510.34,679.021,0.017,512.396,686.188,0.025,514.065,685.968,0.235,516,687.119,0.051,519.358,690.179,0.168,520.074,680.371,0.012,516.79,659.904,0.011,516,639.923,0.018,519.364,615.136,0.02,523.772,586.913,0.015,527.365,556.99,0.014,530.424,527.337,0.016,532.648,499.171,0.015,535.913,474.779,0.016,537.164,449.874,0.017,537,434.26,0.017,538.62,415.901,0.017,541.74,406.52,0.023,544.113,399.66,0.013,541.645,398,0.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,2770,MICHC
241,406,0,241,435.882,0.018,241,451.22,0.016,241,464.273,0.014,241,480.261,0.023,241,496.05,0.015,241,513.647,0.015,241,530.5,0.016,241,575.5,0.02,241.734,585.945,0.025,242,602.808,0.008,243.975,622.779,0.013,245.109,636.302,0.016,246.219,653.288,0.024,247.399,663.987,0.012,248.432,675.753,0.016,249.602,684.214,0.016,250,689.104,0.016,250.829,693.314,0.02,251.5,696,0.016,251,696.061,0.084,253.214,693.786,0.017,255.557,689.664,0.013,258.767,686.233,0.02,263.258,680.678,0.017,269.887,672.965,0.014,274.235,660.913,0.022,278.736,652.529,0.02,286.076,635.867,0.015,295.011,620.857,0.011,302.6,602.966,0.019,309.3,588.399,0.017,317.922,568.185,0.02,327.995,552.452,0.011,337.238,530.964,0.017,343.341,515.148,0.02,354.5,497,0.019,362.165,481.074,0.011,367.936,466.925,0.015,373.298,451.107,0.021,379.892,440.162,0.023,384.329,429.179,0.011,388.932,417.669,0.013,392.064,410.517,0.019,393.945,410.055,0.018,394.5,408,0.065,396.054,418.268,0.02,398.356,430.96,0.016,403.515,444.637,0.014,409.236,458.365,0.02,418.551,479.102,0.029,426.741,498.19,0.016,446.107,537.481,0.016,455.524,559.245,0.017,463.275,574.551,0.026,472.073,591.85,0.012,480.357,604.714,0.014,487,618,0.015,490.571,627.857,0.023,497.085,636.537,0.017,503.261,647.522,0.011,510.053,656.061,0.016,515.766,662.92,0.018,518.779,670.817,0.017,522.115,678.601,0.016,525.5,683.5,0.018,526.608,685.217,0.016,527.73,687.46,0.016,528.5,689,0.035,530.536,689.268,0.025,532.183,690.092,0.109,534.153,690,0.101,536.153,690,0.034,538.998,684.007,0.025,540.87,675.7,0.011,540,664.922,0.014,540,655.81,0.014,538.5,639.5,0.018,538,623.953,0.016,538.75,605.743,0.022,540.735,589.72,0.021,542.964,570.322,0.016,545.125,556.497,0.011,546.246,534.084,0.014,547.372,522.536,0.017,545.5,497,0.017,546,482.622,0.015,546,467.315,0.017,546.845,451.326,0.018,547,441.096,0.016,548.094,432.245,0.018,549.229,421.935,0.029,549,414.734,0.013,549.448,410.657,0.012,549.423,407.268,0.011,549.702,403.895,0.017,550,400.516,0.017,550,398.5,0.017,550,397.926,0.033,550,394.55,0.126,100,2133,MICHC
241,381,0,245,411.726,0.017,245.789,433.098,0.016,247.053,457.587,0.023,245.727,494.004,0.014,245,512.961,0.018,245,535.317,0.013,244,558.433,0.018,242.764,577.125,0.016,244,599.5,0.017,243,621.313,0.019,243,640.803,0.016,245.247,660.978,0.021,248.453,680.627,0.012,249.708,693.538,0.017,250,705.809,0.016,250,713.644,0.101,255.055,707.917,0.014,264.194,696.209,0.016,274.5,686,0.021,282.734,665.533,0.017,296.09,645.835,0.014,307.334,624.133,0.021,317.384,595.802,0.016,331.644,572.526,0.016,343.953,548.11,0.017,360.542,526.238,0.018,368.428,499.717,0.017,382.021,473.638,0.017,392.81,446.569,0.017,400.579,428.07,0.021,407.309,411.691,0.011,410.5,404,0.017,413.5,397.5,0.054,410.616,405.151,0.016,409,413.544,0.015,409.894,430.945,0.02,417.434,450.976,0.016,426.585,476.962,0.022,438.137,504.91,0.013,454.013,534.308,0.016,468.604,565.725,0.03,494.078,606.277,0.017,514.076,635.707,0.016,522.363,651.635,0.017,531.547,661.238,0.018,541,675,0.017,547.58,688.16,0.03,551,699.644,0.017,553.026,696.949,0.026,553,687.21,0.011,551.388,668.263,0.018,550.868,648.315,0.016,551.111,626.112,0.018,554.333,598.671,0.016,557.596,573.652,0.017,557.178,542.2,0.017,556,510.708,0.016,554.697,487.364,0.019,556,466.093,0.016,556.782,446.311,0.018,557,434.832,0.017,558,420.075,0.019,559,415,0.033,561,412,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,2581,MICHC
235,380,0,232.5,425.5,0.014,232,443.231,0.017,229.954,462.366,0.015,228.712,492.182,0.021,229,507.93,0.013,229,529.68,0.022,229,548.733,0.013,230.258,567.806,0.016,231,589.728,0.021,233.5,602,0.013,234.978,622.824,0.013,236.217,635.085,0.016,237,651.086,0.02,240.671,658.342,0.013,242,665.664,0.02,243.146,673.437,0.012,244.443,680.33,0.018,245,686.268,0.013,245,690.812,0.018,247.134,688.799,0.021,253.975,679.701,0.015,264.961,664.855,0.016,275.328,649.512,0.018,286.524,627.301,0.019,300.806,602.291,0.017,312.309,577.279,0.014,326.832,551.726,0.02,336.148,526.507,0.017,345.502,499.997,0.018,356.717,476.196,0.016,365.287,456.613,0.021,370.023,439.944,0.014,373.257,424.201,0.02,377.98,415.53,0.016,382,412.5,0.034,385.081,409.959,0.022,387.537,415.806,0.021,398.235,439.086,0.015,412.687,468.288,0.017,431.833,504.374,0.023,451.298,538.521,0.013,468.141,573.315,0.014,485.447,601.575,0.014,496.671,626.785,0.016,507.569,638.615,0.015,515.256,649.007,0.014,524.388,659.259,0.016,535.901,668.901,0.018,544.841,682.069,0.017,550.693,690.539,0.019,555.225,698.45,0.025,558.323,704.646,0.045,561,694.792,0.014,561,683.617,0.019,561,661.361,0.012,561,632.5,0.015,563,599.435,0.015,564,562.505,0.077,554.718,454.82,0.014,551.228,422.826,0.016,551.155,403.914,0.027,551,387.638,0.069,551,396.221,0.123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,2576,MICHC
246,407,0,244.955,425.818,0.016,243.5,449,0.017,244,467.153,0.014,244.768,485.293,0.021,245,505.571,0.014,245,523.135,0.015,245,544.014,0.024,243.711,584.836,0.02,243.246,598.28,0.012,242,615.402,0.012,241.385,631.996,0.021,241,647.814,0.014,240.144,658.846,0.015,238.987,672.154,0.02,239,681.907,0.018,239,689.528,0.014,236.297,693.405,0.016,237,696.5,0.017,237,699.5,0.034,235.735,700.529,0.05,237.047,697.906,0.035,239.439,693.121,0.018,242.161,689.258,0.016,244.335,684.661,0.016,247.388,676.633,0.017,250.711,665.962,0.014,257.473,656.369,0.025,264.2,643.801,0.023,272.709,628.436,0.01,279.954,615.671,0.009,287.5,599.5,0.017,299.309,585.709,0.015,307.603,569.795,0.018,316.249,557.032,0.017,326.242,539.569,0.021,335.276,528.405,0.02,340.738,512.02,0.011,348.599,498.545,0.015,356.589,483.822,0.015,363.5,470,0.021,367.949,460.152,0.016,375.009,447.557,0.015,382.039,439.961,0.015,388.704,432.178,0.023,393.069,422.862,0.028,396.013,416.987,0.016,401,412,0.052,406.72,420.58,0.024,410.178,430.535,0.017,415.734,441.468,0.013,420.568,452.705,0.012,426.325,469.976,0.018,431.543,487.22,0.023,440.158,505.264,0.023,450.922,526.636,0.012,459.562,546.937,0.009,470.553,566.996,0.015,484.35,588.721,0.017,491.098,604.495,0.02,501.764,625.527,0.024,511.638,637.757,0.023,525.652,662.203,0.02,534.107,672.884,0.024,542.001,682.002,0.012,546.615,687.769,0.012,549.795,692.061,0.023,553.195,697.992,0.017,555.017,702.034,0.013,557,706,0.028,557.268,706.536,0.072,558.066,703.868,0.021,556.079,695.698,0.021,553.842,689.527,0.011,552.286,680.571,0.011,550.322,667.091,0.015,549.02,657.162,0.025,549,643.22,0.017,549.189,627.92,0.013,550.338,615.283,0.014,551.463,594.131,0.019,552.5,587,0.014,552,565.14,0.017,551.164,544.272,0.015,551,527.825,0.02,549.932,505.638,0.024,549.846,492.381,0.013,549.282,475.465,0.012,550.423,465.19,0.016,550,450.577,0.017,550.658,442.712,0.017,551.793,437.036,0.016,552.911,432.355,0.017,554.023,427.908,0.036,554,425.723,0.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,1941,MICHC
236,391,0,239.49,421.388,0.016,239,438.457,0.016,240.967,459.669,0.02,239.804,489.52,0.015,241.468,507.273,0.015,240.675,529.751,0.019,241,550.805,0.015,242,570.379,0.015,241,593.338,0.017,239.385,609.147,0.013,239,627.289,0.019,238,643.832,0.02,239,660.299,0.013,239,675.322,0.013,239,688.478,0.017,236.812,698.47,0.014,237,703.707,0.068,243.776,694.298,0.017,250.526,685.299,0.013,266.194,667.35,0.017,277.63,651.082,0.016,290.291,628.81,0.017,303.913,602.626,0.015,316.533,580.356,0.02,331.095,554.334,0.013,341.439,528.009,0.021,354.582,503.127,0.013,365.528,474.653,0.021,372.777,457.486,0.012,380.659,440.455,0.016,388.438,425.234,0.016,393.694,413.266,0.021,397.575,407.701,0.019,400,401.395,0.013,401.5,398,0.022,401,403.868,0.011,401.567,413.835,0.016,405.34,435.581,0.012,415.14,464.56,0.017,428.455,497.948,0.018,440.732,529.931,0.016,454.618,560.855,0.019,467.003,590.005,0.015,479.305,612.611,0.018,487.5,631.5,0.016,494.895,648.79,0.017,503.96,661.949,0.017,511.678,672.13,0.016,515.944,681.887,0.017,517.69,686.38,0.017,522.067,691.067,0.02,525.309,695.617,0.014,529.534,699.534,0.049,532.128,694.615,0.014,534.387,686.451,0.013,534.633,673.567,0.018,537.877,658.736,0.017,541.119,637.691,0.018,542.354,616.814,0.014,543,589.326,0.019,543.825,563.572,0.013,544.105,533.736,0.017,544,502.105,0.018,542.5,474.5,0.016,544,451.43,0.016,545,434.44,0.022,545.301,415.796,0.024,547,401.438,0.016,548,392.269,0.022,548,389.857,0.045,546,395.221,0.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,2651,MICHC
