@relation RegistrosP3APTP
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
501,397,0,470.353,399.304,0.016,447.5,403,0.021,425.24,402.706,0.016,387.725,403,0.018,361.412,403,0.019,332.727,402.561,0.019,305.642,405.636,0.017,283.425,406.142,0.014,262.974,408.114,0.022,247.745,408.322,0.023,233.613,408.565,0.013,223.677,408,0.02,218.031,407,0.016,213.569,407,0.03,209.471,407,0.052,212.119,411.239,0.036,211,422,0.014,210.177,435.115,0.017,208,455.694,0.019,204.742,471.326,0.01,202.5,490,0.015,201.5,496,0.021,201,508.674,0.009,199.821,518.538,0.016,199.577,524.27,0.019,199,532.852,0.018,199,539.542,0.016,200.131,546.393,0.029,202.211,549.106,0.05,207.935,551.312,0.034,214.935,552.645,0.013,231.007,553.901,0.017,252.203,555,0.016,278.081,556,0.018,297,555.5,0.015,319.156,555.184,0.019,337.016,555,0.014,354.179,554,0.024,370.754,555,0.012,389.367,554.707,0.019,404.522,554,0.019,424.494,553,0.016,446.085,551.591,0.02,462.534,551,0.014,478.855,551,0.021,486.096,551,0.011,488,554.313,0.051,487,558.538,0.016,489,563.66,0.038,491.629,571.888,0.02,492.858,582.292,0.018,497.239,597.958,0.016,495.528,610.832,0.02,497.334,622.002,0.015,496.228,638.089,0.021,496,651.748,0.016,495.627,668.981,0.022,494.556,680.782,0.011,495,687.616,0.019,493.946,693.08,0.037,492.757,699.73,0.03,492,704.797,0.022,492,708.324,0.032,489.734,713.797,0.066,486.829,716.085,0.021,481.496,715,0.012,465.914,714.547,0.018,444.343,713,0.016,419.851,709.761,0.02,389.272,706.57,0.021,361.127,703.375,0.012,330.547,701.129,0.02,301.239,699,0.012,271.923,698,0.024,248.691,695.469,0.013,228.746,693.218,0.015,211.927,692.99,0.012,196.559,693,0.013,186.088,693,0.017,178.314,694,0.021,167.92,695.027,0.016,162.494,696,0.033,161.809,700.617,0.123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,3468,APTP
494,401,0,459.398,395.618,0.031,423.033,393,0.017,398.47,390.679,0.019,363.5,390.5,0.018,339.774,388,0.021,314.214,388,0.015,292.756,388,0.023,271.259,391,0.015,251.658,392.62,0.014,237.79,394.868,0.018,223.024,396.139,0.016,215.995,397.335,0.021,211,399.5,0.029,210,404.025,0.036,207,412.384,0.007,208,424.955,0.016,203.045,439.644,0.02,203,457.403,0.016,203.393,467.965,0.017,204,488.519,0.013,203.838,504.377,0.021,202.961,522.195,0.02,203.264,536.585,0.009,204,548.5,0.016,204,550.521,0.101,213.841,551,0.019,232.581,550,0.011,257.547,547.768,0.015,287.071,545.539,0.015,319.044,541.708,0.012,347.501,541.115,0.012,373.289,541,0.017,397.916,542.356,0.018,416.13,541.57,0.02,432.349,542,0.013,446.101,541,0.016,457.051,543.263,0.016,463.5,544,0.03,470.11,546.777,0.014,473.039,548.02,0.016,478.841,548,0.051,482.264,550.132,0.018,482,554.411,0.018,483,559.846,0.027,484.937,570.749,0.017,487.202,581.806,0.017,487,590.691,0.022,488,601.779,0.01,489,613.382,0.018,491.108,624.539,0.016,489.648,638.461,0.018,490,649.5,0.019,491,662.526,0.016,491,674.992,0.015,492.238,688.668,0.016,492,701.824,0.016,493,707.363,0.017,493,711,0.085,486.71,707.237,0.019,468.661,703.932,0.019,450.924,701.481,0.016,424,698,0.02,395.863,695.297,0.012,366.698,693.946,0.022,338.059,694.149,0.011,307.286,694,0.024,284.441,695.596,0.013,263.408,697,0.018,246.501,700.071,0.016,230.39,702.326,0.017,217.855,702,0.021,209.058,702,0.013,200.072,702,0.016,200.422,703.105,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,3082,APTP
507,397,0,479.37,400,0.014,466.184,400,0.011,450.642,400,0.018,421.708,400,0.01,397.264,400,0.016,368.657,401,0.023,344.649,401,0.012,318.124,401,0.015,297.768,398.971,0.022,275.265,397,0.01,258,397,0.015,245.506,396,0.019,233.374,396,0.017,224.104,396,0.021,220.25,397,0.019,215.212,398.263,0.035,211.869,400.065,0.121,212,404.064,0.015,209.778,410.888,0.018,209.35,420.602,0.021,209.135,429.596,0.012,206.744,437.513,0.024,205.676,445.621,0.012,204.428,457.287,0.017,204,467.648,0.017,203,480.185,0.017,203,491.044,0.02,203,509.025,0.01,203,522.251,0.017,203,532.311,0.018,204,543.064,0.018,204,550,0.037,205.262,553.525,0.049,210.213,556.106,0.034,219.693,555,0.017,235,554,0.018,256.49,554,0.019,283.49,552.043,0.019,317.063,551,0.022,350.021,550,0.012,384.068,550.651,0.019,411.456,550,0.016,437.231,550,0.02,458.614,548.673,0.012,479,548,0.019,489.064,545.234,0.011,492.019,546.009,0.07,490,549.538,0.038,488.998,553.004,0.03,490.226,559.679,0.021,490,565.068,0.025,489.078,573.686,0.017,487.807,582.77,0.017,486.562,591.754,0.015,487.605,603.026,0.014,488.828,612.485,0.019,490.071,621.286,0.015,491,632.869,0.021,492.5,643,0.017,493.75,651.249,0.022,495.973,659.893,0.008,493.779,668.883,0.023,495,675.841,0.012,495,680.975,0.013,497.89,686.781,0.016,498,692.233,0.016,499.357,701.784,0.018,494.5,702,0.034,492.933,704,0.032,485.66,703,0.02,465.957,703,0.024,444.653,702,0.01,420.273,702,0.023,389.549,700.539,0.02,366.128,699.313,0.011,342.544,697.946,0.017,320.45,697,0.018,301.69,699.414,0.016,280.197,702.6,0.019,257.95,706.675,0.017,237.393,711.202,0.018,217.605,714,0.021,205.977,717,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,3431,APTP
500,397,0,451.736,402.641,0.013,415.623,404.899,0.018,381.177,406,0.014,334.53,406.312,0.012,309.158,404,0.017,291.588,403,0.014,276.649,398.942,0.023,262.258,400.751,0.013,248,400,0.017,234.632,403.456,0.019,222.173,403,0.016,211.109,404,0.013,205.146,406.427,0.016,202.739,409.522,0.035,202,418.207,0.015,202.324,430.941,0.022,202,441.075,0.014,202,452.568,0.021,201,468.728,0.013,200,483.852,0.022,201,500.13,0.024,201.643,515.143,0.01,202,530.188,0.009,203.124,540.619,0.017,203,553.275,0.021,202.561,558.244,0.015,206.147,561.049,0.037,212.04,558.32,0.014,223.645,557,0.021,240.333,556.833,0.016,267.178,556.398,0.018,297.521,551.391,0.019,328.858,549.357,0.014,355.049,549,0.017,384.175,550.321,0.017,407.39,546.922,0.016,430.208,546,0.016,449.759,543.97,0.022,466.115,542.814,0.011,478.252,542,0.014,492.183,544,0.014,499.786,543,0.017,502.106,545.106,0.031,499,549.88,0.012,496.47,554.794,0.031,494.925,560.224,0.017,493.668,564.663,0.012,493.585,570.338,0.016,494,579.697,0.018,496,620.307,0.018,499.5,635,0.016,498.826,651.958,0.016,499,663.479,0.023,496.275,677.374,0.025,498,690.367,0.012,497.851,698.554,0.02,497,705.21,0.019,499.839,712.118,0.011,502,718,0.086,496.635,708.087,0.029,491.934,707,0.012,484.011,707.798,0.018,469.98,708,0.017,449.894,709,0.036,411.877,710,0.017,386.516,711.542,0.024,352.678,714.264,0.023,334.302,714,0.01,314.275,714.409,0.018,294.76,714.804,0.021,274.661,712.962,0.01,256.761,714,0.019,240.046,711.506,0.016,225.004,711.572,0.016,214.153,710.038,0.016,208.633,710,0.035,204.646,707.823,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,3197,APTP
478,408,0,425.912,404.127,0.014,396.554,404,0.019,369.352,404,0.014,323.842,405,0.021,294.12,406.76,0.011,267.906,406,0.014,249.486,406,0.023,232.458,407,0.01,219.675,407,0.017,212.254,407,0.017,206.728,407,0.116,204.986,412.041,0.011,205,421.105,0.02,203.029,435.912,0.014,197.834,453.943,0.016,198,473.631,0.021,196.679,493.442,0.015,199,506.105,0.017,197.142,520.478,0.022,196.85,528.399,0.017,196,535.278,0.017,194.686,540.942,0.015,194,547.79,0.069,200.626,549.156,0.051,207.498,548.875,0.016,214.407,549,0.017,232.289,550.329,0.013,254.518,552,0.021,278.113,551.21,0.01,303.514,550,0.016,326.798,549,0.019,348.043,550,0.011,370.585,551,0.016,393.363,551,0.016,410.415,551,0.02,425.214,552,0.012,439.181,552.597,0.013,453.116,553,0.014,463.316,551.921,0.017,474.832,552,0.018,485,553,0.015,489.421,553.71,0.018,493,555.5,0.023,497.502,557.167,0.051,500,561.266,0.032,500,567.269,0.026,500.879,578.151,0.013,501,590.861,0.017,502.363,604.18,0.016,502,619.733,0.023,501,643.316,0.015,500,657.031,0.017,498.646,668.769,0.018,496.4,677.8,0.016,498.173,685.654,0.017,498,690.117,0.027,498,695.568,0.036,500.267,702.069,0.031,494.75,702.125,0.05,484.236,704.961,0.02,468.981,707.204,0.017,450.592,707.559,0.017,431.562,708,0.013,412.216,708,0.016,388.8,709.133,0.02,363.978,709,0.02,337.5,709,0.016,315.455,706,0.028,283.795,703.9,0.019,270.345,704,0.014,255.492,704.563,0.014,243.968,705,0.02,231.956,706,0.011,220.895,707,0.023,212.169,709,0.012,203.45,709,0.018,198.14,709,0.018,192.718,711.141,0.087,193.052,712.026,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,3423,APTP
506,404,0,461.619,407.751,0.016,430.717,409.592,0.017,399.567,411,0.02,356.996,410,0.013,314.316,409,0.015,288.732,408.394,0.016,265.606,408,0.016,249.594,407,0.017,235.58,405.716,0.017,222,405.5,0.017,215.015,406.746,0.016,207.09,407,0.017,202.687,409.157,0.05,204,416.212,0.016,205.329,425.645,0.017,203,441,0.019,200.254,457.716,0.013,199.038,474.773,0.02,200.235,490.644,0.021,201,502.195,0.014,201,514,0.02,202,524.669,0.012,203,534.447,0.022,204,541.03,0.011,206.15,548.15,0.014,209.355,551.355,0.035,214.791,552,0.015,222.843,553,0.017,237.436,553.919,0.023,262.858,554,0.023,284.604,554,0.015,305.929,555,0.02,325.47,556.941,0.01,344.455,558.182,0.015,362.364,559,0.02,377.925,559.616,0.015,397.799,559,0.018,415.562,559,0.021,436.38,557.297,0.018,455.198,556.475,0.011,472.369,556.767,0.016,485.872,556,0.014,495.896,557,0.018,495.912,560.177,0.018,493.85,565.449,0.017,494,573.737,0.016,494,584.634,0.021,496,595.918,0.011,496,612.96,0.017,498,627.136,0.014,495.175,646.775,0.015,495.929,664.566,0.022,495,676.121,0.023,495.997,685.491,0.011,497.735,698.143,0.017,496,706.934,0.017,498,711.406,0.017,498,717.249,0.086,492.901,714.967,0.014,470.028,714.33,0.022,449.679,709.946,0.012,426.011,708.223,0.019,401.301,706.027,0.021,366.422,704,0.016,343.602,703,0.021,317.159,703,0.011,292.801,704.017,0.015,269.365,705.263,0.017,249.718,706.469,0.015,235.176,708,0.015,225.254,708.949,0.019,222.852,709,0.084,228.018,709,0.115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,3044,APTP
506,411,0,457.071,411,0.014,424.169,411,0.016,388.368,409.898,0.022,337.243,407.698,0.018,318.134,406.467,0.011,294.588,406.765,0.017,267.022,407.998,0.019,243.672,409.233,0.023,227.818,408.564,0.011,218.35,407,0.015,209.3,406,0.019,199.54,407,0.015,190.914,407.362,0.02,187,409.5,0.032,189.04,418.119,0.019,190.238,427.951,0.017,192,438.934,0.015,192,456.419,0.013,194,479.307,0.024,194,500.053,0.011,194,515.752,0.013,194.624,527.119,0.027,195.058,539.825,0.016,192.805,548.78,0.024,193,552.779,0.027,195.264,556.529,0.034,200.186,557.093,0.015,204.789,559,0.019,214.288,557.245,0.013,234.785,558,0.017,259.414,556,0.021,286.175,554.569,0.018,314.753,555,0.018,339.78,555,0.011,367.944,556.15,0.013,395.857,555.626,0.019,417.189,555,0.016,437.984,554.224,0.013,453.371,555.046,0.015,464.145,556.286,0.019,473.516,558.505,0.014,479.111,559,0.017,484.769,559,0.014,489.357,560.178,0.019,495.79,561.263,0.02,499.526,563.526,0.064,495.821,566.359,0.032,494,573.898,0.017,493,581.858,0.012,493,589.81,0.017,492.346,605.58,0.015,492,618.54,0.025,491.888,634.782,0.012,490,647.739,0.013,491,661.307,0.022,490.784,675.921,0.012,494.041,687.103,0.018,492.756,701.466,0.032,495,710.5,0.025,498,713.5,0.031,492.652,712.826,0.037,484.533,711,0.019,463.538,712.06,0.012,440.004,713.333,0.016,415.454,714.413,0.02,385.862,715.595,0.02,346.2,715,0.016,321.518,715.207,0.019,300.137,714,0.021,274.607,714.616,0.017,240.108,715,0.016,219.958,714.773,0.022,201.702,715.412,0.013,187.121,715,0.015,177.358,716,0.016,170.781,717,0.181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,3088,APTP
503,403,0,463.249,407.614,0.014,443.902,408,0.02,430.461,407,0.015,407.58,407,0.018,396.022,404.504,0.018,381.737,405.752,0.012,366.11,404.016,0.019,349.433,405,0.017,332.54,404,0.015,313.398,404,0.016,298.751,403,0.02,280.084,401.797,0.01,268.227,401,0.017,253.745,399,0.02,245.852,399,0.014,238.95,400,0.013,229.611,400,0.019,223.074,400,0.017,219.474,401.263,0.033,215.787,404.213,0.051,214,407.039,0.035,213,411.523,0.019,211,419.187,0.016,210.002,427.993,0.017,207.546,439.135,0.014,206,455.551,0.021,204,467.441,0.009,203.124,479.382,0.016,201.888,491.448,0.024,202,502.302,0.012,201.572,513.429,0.016,201.213,522.36,0.021,201.998,530.992,0.009,202,537.871,0.017,202,545.5,0.022,203,551,0.027,207.037,555.037,0.06,211.843,558,0.022,217.578,557,0.021,228.833,557,0.015,241.742,558.624,0.021,258.715,560.839,0.015,279.575,562.057,0.01,302.255,562,0.018,327,562,0.017,349.427,561.743,0.021,369.596,561,0.012,386.788,562.223,0.022,401.478,562,0.013,415.5,563.5,0.018,430.113,563,0.014,444.684,564,0.017,458.857,565,0.01,473.5,565,0.018,485.128,565.218,0.018,494.018,566,0.027,494.868,569.264,0.053,492.91,573.18,0.018,493,578,0.018,492.713,585.85,0.02,494,597.664,0.024,494.158,613.79,0.01,496.417,627.919,0.017,496,640.715,0.017,497.72,653.161,0.016,499,664.407,0.024,497.286,676.144,0.012,500,687.131,0.015,500.771,695.313,0.016,502,704.025,0.017,502,709.388,0.015,503.446,715.337,0.033,499.651,716,0.032,495.571,712.785,0.018,484.406,710.201,0.019,460.621,710.968,0.039,412.375,714.368,0.015,375.612,716,0.015,343.533,717,0.017,314.367,719.049,0.016,290.7,720,0.018,270.638,721,0.013,253.183,721.727,0.017,236.326,723,0.017,219.62,726.394,0.025,206.052,726.61,0.013,195.5,727.5,0.017,192,727,0.035,188.823,724.911,0.028,188,720.468,0.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,3742,APTP
504,402,0,472.615,400.817,0.015,451.947,400,0.018,428.515,397.351,0.019,395.084,396,0.016,365.333,395,0.018,335.882,396.317,0.017,308.571,395,0.013,283.773,393.787,0.017,260.656,391.938,0.021,243.512,393,0.012,225.03,390.008,0.019,215.256,393.686,0.01,206.225,393.925,0.025,199.358,394.482,0.014,196,399.5,0.037,196.041,405.082,0.019,196,409.598,0.022,196.003,419.99,0.016,195.428,433.284,0.011,196,447.67,0.023,194,463.17,0.023,196,475.984,0.018,194.5,490.5,0.016,196.16,503.564,0.018,195.904,524.674,0.017,192.365,550.811,0.019,193,556,0.043,195.097,557,0.018,202.798,556,0.018,223.343,552.414,0.017,249.248,548.95,0.016,279.13,546.759,0.017,308.281,544.034,0.018,331,541,0.016,357.991,542,0.02,381.487,540.865,0.014,407.751,541,0.013,432.826,538.796,0.015,453.469,538,0.03,478.026,539.171,0.025,486.08,541.36,0.03,490.526,544.526,0.036,494.2,546.2,0.036,502,548.5,0.029,504.526,549.263,0.051,504.821,552.358,0.031,504,561.219,0.011,504,570.332,0.022,503.459,585.246,0.012,504,602.321,0.012,504,622.075,0.017,504,640.18,0.017,503,651.727,0.021,502,666.224,0.016,500.953,676.188,0.016,499.73,685.348,0.018,500,694,0.018,500,700.071,0.016,497.461,702.27,0.038,493.644,703,0.033,480.344,703.957,0.018,459.39,705,0.016,432.915,703.591,0.013,410.5,701.5,0.02,375.313,697.165,0.021,332.427,691.802,0.017,304.689,689.557,0.019,280.749,689,0.014,256.019,689,0.016,235.349,691,0.029,211.552,693.408,0.015,201.011,694.663,0.021,196.255,696.745,0.021,195.629,699.419,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,3113,APTP
495,404,0,466,405,0.012,450.852,405,0.02,436.074,405,0.022,406.809,406.177,0.011,380.115,406.453,0.017,351.874,408.25,0.016,321.68,410,0.017,299.987,410,0.017,280.125,409.641,0.016,263,411.5,0.02,253.82,410.205,0.02,244.999,411,0.019,235.338,411,0.014,228.655,409.552,0.02,221.977,410,0.01,217.174,410,0.016,211.678,410,0.036,207.461,412.269,0.035,206.731,416.538,0.023,207,422.708,0.013,207,428.5,0.018,204.854,436.861,0.016,204,445.825,0.021,203,457.155,0.017,203,468.456,0.016,203,477.12,0.019,202,488.229,0.017,202,499.561,0.01,202,509.621,0.017,201.443,519.672,0.018,201,524.476,0.016,202,530.953,0.023,202,535.389,0.011,204.267,540.8,0.036,209.5,545,0.03,216.532,546,0.019,225.781,548.464,0.023,240.457,551.364,0.016,260.226,554.923,0.021,282.356,556,0.01,308.648,555.225,0.017,333.719,555.187,0.014,359.867,557,0.021,381.206,559.021,0.013,400.629,559,0.02,417.36,560,0.024,444.766,560.176,0.02,461.629,559,0.016,476.822,559,0.018,491,556.5,0.02,500.873,557.718,0.022,506.5,558,0.015,507,560.298,0.034,503.464,564.536,0.055,504,571.594,0.014,504,581.786,0.011,505,593.359,0.022,505,609.14,0.014,506.139,624.115,0.024,505.662,637.365,0.01,505,649.5,0.016,505,668.291,0.022,504,680.104,0.019,503,692.015,0.017,503,702.5,0.015,502,705.533,0.037,495.659,706,0.035,491.461,703.73,0.015,480.229,703,0.021,462.824,703,0.017,448.054,703,0.013,426.64,702,0.028,396.406,703,0.019,378.178,704.203,0.015,357.293,705,0.019,336.89,705.639,0.012,315.281,706,0.017,299.361,708.091,0.017,278.967,709.337,0.015,264.999,710.571,0.017,250.361,711.773,0.019,234.941,716.017,0.017,222.464,718.256,0.017,214.128,719,0.016,207.635,719,0.021,204,720.5,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,3358,APTP
