@relation RegistrosP3JCCCH
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
489,415,0,442.807,415,0.017,400.514,414,0.017,358.615,414,0.016,294.461,415.209,0.018,263.185,414.546,0.017,241.12,412.303,0.015,225.426,410.061,0.017,217.644,409,0.016,212.147,408,0.016,208.463,407,0.034,204.846,409.077,0.034,199,415,0.022,196.241,425.554,0.016,194,455.246,0.017,194,479.697,0.033,195,505.134,0.012,197.855,528.551,0.014,199,545.69,0.015,197.661,556.356,0.017,198,562,0.082,210.212,563.316,0.019,237.986,560.445,0.017,278.392,557.2,0.017,328.988,551.876,0.017,376.275,549.715,0.018,418,553,0.017,452.792,556.542,0.017,478.191,559.015,0.016,493.567,561.261,0.017,513.5,565,0.017,519.487,565,0.017,520,567.116,0.035,519,579.77,0.016,517.161,598.711,0.017,515.922,621.935,0.016,514.677,640.912,0.019,515,659.954,0.015,515,674.849,0.018,513.951,685.148,0.017,512.705,690.591,0.018,511.34,696.32,0.017,509.732,699.536,0.018,507.733,703.534,0.032,504.463,708.537,0.033,494.314,709,0.016,473.067,706.642,0.018,434.149,704.397,0.015,392.149,703,0.017,342.07,701,0.016,293.092,699.671,0.018,248.405,699.427,0.016,217.841,701,0.017,197.557,704.055,0.016,189.085,704.305,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,2208,JCCCH
497,414,0,451.607,408.24,0.016,420.055,406.004,0.017,386.182,406,0.018,335.181,405,0.017,299.774,404.27,0.018,264.395,404.028,0.014,241.322,403.79,0.015,223.791,403.458,0.019,213.89,403,0.016,208.114,403,0.015,203.714,404.143,0.034,199.407,410.593,0.017,196.963,417.111,0.016,195.722,430.667,0.018,197.524,450.238,0.016,201.534,472.905,0.017,204.011,494.106,0.017,207.254,509.778,0.018,207,526.481,0.016,204.259,533.481,0.017,201.018,538.964,0.016,199,544.668,0.025,197,549.937,0.015,197.713,553.713,0.017,205.229,558.076,0.016,218.896,561.316,0.018,249.315,558.875,0.016,287.091,556.388,0.017,327.978,557,0.016,369.499,559.295,0.018,406,559,0.016,432.795,561.779,0.017,456.16,564,0.019,473.113,566.264,0.018,486.476,566,0.016,492.999,564.25,0.008,501.971,564,0.017,507.466,564,0.033,512.726,572.177,0.018,513.966,586.69,0.033,514,610.588,0.019,513,631.011,0.015,512.814,651.143,0.016,510.945,667.387,0.016,510,683.125,0.019,507.5,689.5,0.015,507,696.572,0.017,505.986,699.029,0.016,503.605,702.198,0.034,487.92,709.28,0.017,455.933,714.009,0.016,409.388,714,0.017,353.262,709.022,0.017,294.47,702.539,0.017,247.422,699.044,0.017,213.145,696.561,0.017,191.34,695.543,0.015,199.707,688.146,0.116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,2224,JCCCH
507,407,0,486.086,408.046,0.021,459.852,408,0.017,438.546,408,0.015,415.683,408,0.018,391.237,408.898,0.016,365.568,410.019,0.016,338.716,411.137,0.018,286.534,413.521,0.018,264.744,414.386,0.016,245.455,415,0.023,227.753,415,0.032,198.884,413.135,0.013,189.079,412.01,0.015,184.558,410.889,0.021,182.532,411,0.061,186.446,415.893,0.016,188.68,422.041,0.017,192.854,433.598,0.017,196.252,443.756,0.017,199.6,457.4,0.016,201.643,474.822,0.027,202,490.676,0.01,201.432,505.813,0.014,199.622,519.267,0.016,196.558,531.139,0.017,194.134,539.531,0.017,191.893,547.375,0.017,190.826,555.217,0.016,189.703,559.19,0.017,190,562.268,0.033,190,564.804,0.033,197.626,565.906,0.017,207.243,567.027,0.017,216.197,568.15,0.017,228.974,566.73,0.018,251.075,567,0.017,269.5,564,0.016,293.309,562.366,0.016,317.598,559.737,0.017,340.589,557.241,0.016,367.957,556.002,0.017,392.662,552.637,0.017,411.108,550.517,0.017,432.977,549.633,0.018,451.178,550,0.016,465.491,550.606,0.016,480.462,551.728,0.017,491.66,553.702,0.016,501.728,554,0.017,509.647,556.185,0.016,515.09,557.218,0.017,516.665,558.332,0.049,517.179,560.358,0.034,516,565.835,0.018,516,572.382,0.017,514.816,586.208,0.016,512.39,599.661,0.018,511.569,614.599,0.017,511,630.055,0.016,511,643.078,0.016,511.791,654.115,0.02,512.914,663.314,0.022,513,672.298,0.009,513,682.396,0.017,511.721,686.116,0.018,512,689.203,0.016,511,691.044,0.016,511,693,0.033,507.221,695.89,0.017,506,696.5,0.017,503.807,697.064,0.032,500.441,699.373,0.019,496.52,700.493,0.017,491.55,700.613,0.015,487.056,702.472,0.017,480.867,704.711,0.017,469.243,705,0.016,455.766,706.103,0.017,433.805,706,0.016,412.504,706,0.019,380.844,704.532,0.017,348.969,701.238,0.016,313.571,698.58,0.016,277.419,698,0.017,247.163,698,0.016,223.542,699.069,0.017,208.269,699,0.016,195.216,700.315,0.017,190.372,700,0.033,194.745,693.883,0.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,1792,JCCCH
495,413,0,449.12,410,0.017,423.322,407.694,0.017,391.695,407,0.016,342.293,406,0.017,306.411,404,0.016,272.839,403,0.017,247.793,402,0.017,228.615,402,0.017,219.975,402,0.134,219.895,410.419,0.008,219,422.096,0.017,218.407,443.341,0.016,219,469.021,0.016,219.076,492.91,0.021,216.679,514.893,0.016,216,533.824,0.017,214.191,546.043,0.016,213,558.198,0.017,214.033,562.017,0.034,227,562,0.015,261.277,557.246,0.017,295.87,552.766,0.017,335.137,548.278,0.018,387.537,546.396,0.016,427.984,547,0.016,456.086,549,0.017,477.701,553.336,0.018,491.298,556.574,0.016,501.267,557,0.017,508.172,559.057,0.02,511.179,561.357,0.033,512,569.659,0.017,513,585.405,0.017,514,602.774,0.017,515,624.474,0.015,515,645.584,0.017,513.873,665.017,0.029,512,688.969,0.023,507,709.32,0.03,504.977,710,0.034,492.367,707.561,0.025,468.832,702.644,0.038,381.828,700.556,0.018,342.008,701.529,0.015,300.414,704.545,0.017,266.824,707.015,0.017,244.936,709.258,0.018,225.483,710,0.016,213.274,710,0.017,204.04,709,0.016,197.307,709,0.034,194.598,704.803,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,2409,JCCCH
495,413,0,442.657,412,0.018,413.246,411.589,0.016,380.881,410,0.019,311.626,406.979,0.015,276.319,407,0.017,249.432,406,0.017,226.538,405,0.017,213.039,403.008,0.017,204.298,399.766,0.015,200.034,402.931,0.011,198.794,410.826,0.017,199,426.602,0.017,198.694,454.017,0.016,198.937,485.118,0.017,199,514.172,0.017,197.581,537.188,0.017,197.333,549.335,0.017,197,556.719,0.017,195.926,559.147,0.049,198.763,560,0.018,210.861,562.123,0.025,233.008,560.636,0.016,269.366,561,0.015,305.503,560.853,0.016,340.45,562.097,0.017,379.118,564.341,0.017,416.914,565,0.016,447.548,565,0.017,468.59,564,0.017,486.867,565.311,0.018,491.111,566,0.015,494.095,568.095,0.018,497,574.5,0.016,501.767,585.6,0.017,506.021,597.053,0.016,508.252,617.519,0.017,506.506,639.942,0.017,504.524,659.904,0.017,502.016,671.92,0.017,500.772,678.683,0.017,500,682.923,0.017,497.289,689.134,0.016,496,694.911,0.017,493.911,699.179,0.05,483.536,698,0.022,456.591,698,0.011,424.878,698,0.016,383.717,699.017,0.017,340.81,701.519,0.018,297.939,702.503,0.016,259.305,702,0.016,231.118,701.99,0.017,212.596,704.234,0.018,202.097,705,0.016,199.821,703.643,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,2307,JCCCH
506,407,0,462.39,406.171,0.017,430.993,403.928,0.016,394.965,401.685,0.018,342.603,397.44,0.016,306.558,396.197,0.017,274.437,396,0.017,246.514,394.71,0.019,228.5,398,0.014,220.674,397.775,0.017,215.967,398,0.032,209.465,397.822,0.083,208,402.708,0.018,208,410.387,0.016,207,423.025,0.017,207.08,440.559,0.016,208.698,496.674,0.014,207.134,515.398,0.017,205,532.25,0.017,203,541.678,0.017,200.34,547.981,0.016,198.095,553.809,0.016,198,556.197,0.067,210.002,557,0.016,228.432,558,0.017,257.347,560,0.017,296.878,561.73,0.017,333.587,564.951,0.017,371.908,567.217,0.017,405.335,568,0.017,436.429,569.702,0.018,458.631,570.947,0.017,478.693,569.812,0.017,491.174,570,0.016,495,570,0.031,499.039,571.02,0.032,504.214,572.107,0.018,505,579.533,0.016,503.623,591.264,0.018,501.381,604.331,0.015,496.409,622.909,0.017,492.893,640.855,0.016,489.3,659.45,0.018,488,674.747,0.015,486.163,686.51,0.017,486,693.24,0.016,484.777,697.447,0.033,482.973,700.013,0.017,473.526,701.295,0.018,453.5,699.5,0.017,416.503,701.781,0.017,377.553,701,0.017,336.367,699.732,0.018,295.5,699.5,0.016,254.226,698.497,0.017,225.024,698,0.018,207.305,698.242,0.017,194.616,699,0.017,189.5,700,0.049,190.111,697.778,0.019,195.313,696.156,0.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,2598,JCCCH
494,408,0,435.154,407,0.017,394.469,404.582,0.017,350.768,405,0.016,282.254,406,0.017,244.787,407.148,0.017,214.918,407,0.017,203.835,407,0.016,197.5,408.5,0.071,201,411.972,0.033,203.848,424.088,0.024,206.094,443.85,0.017,207.336,470.365,0.018,208.582,497.57,0.016,207.176,521.245,0.017,208,534.263,0.017,205.689,539.934,0.017,206,543.268,0.084,214.587,545.293,0.022,231.636,550.659,0.016,262.961,554.131,0.016,304.103,553.626,0.016,350.278,552.758,0.015,396.267,550.137,0.018,431.638,547.891,0.016,461.251,546.646,0.018,477.568,549.595,0.016,487.511,550.837,0.017,491,551,0.033,494,556.116,0.033,495,560.837,0.034,497.782,570.908,0.017,500,588.2,0.017,501,604.881,0.019,501,627,0.017,501,647.519,0.017,500,664.974,0.017,497.762,680.666,0.017,495.517,690.932,0.017,495,699.446,0.017,495,703,0.017,492.985,702.993,0.018,484.465,701.693,0.018,457,702,0.016,421.909,702,0.017,377.339,702.033,0.016,301.672,699,0.012,255.176,698.359,0.011,218.576,699,0.017,188.421,701,0.017,180.513,701,0.015,181.474,698.526,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,2277,JCCCH
492,414,0,442.595,412,0.016,410.229,412,0.016,372.033,411,0.016,313.927,412,0.016,281.059,412.782,0.017,254.648,412,0.017,238.118,412,0.017,221.442,411,0.016,211.976,410,0.016,199.022,410,0.017,191.516,410,0.034,189,417.19,0.023,189.972,432.746,0.017,192.217,451.954,0.017,193,479.053,0.017,192,502.917,0.016,192.943,519.546,0.017,192,531.944,0.017,192,535.864,0.016,192,539.357,0.018,198.481,541.16,0.018,215.629,545.403,0.019,244.291,553.286,0.031,314.292,557.013,0.01,369.548,557,0.018,413.469,556,0.016,454.362,555.74,0.017,484.783,558.964,0.017,498.355,561.226,0.018,505.406,562.469,0.099,504.317,570.269,0.018,505,621.284,0.017,504,642.677,0.017,502.587,662.307,0.017,503,676.588,0.016,502.102,688.592,0.016,502,696.424,0.033,502,704,0.033,499.944,705,0.033,487.109,704,0.017,458.888,704,0.016,420.582,704,0.017,373.663,705.207,0.017,326.096,710.351,0.017,273.695,711.696,0.016,228.258,709.126,0.018,196.407,705.823,0.011,183.305,705,0.015,183.912,701.175,0.018,199.717,698.844,0.126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,2115,JCCCH
516,414,0,494.613,412.982,0.018,473.405,411.73,0.018,457.092,412,0.017,439,412,0.016,420.261,411,0.016,399.636,411,0.016,380.049,411,0.017,339.909,411,0.017,316.463,412.121,0.017,299.141,413.241,0.016,274.333,413,0.019,258.255,414.484,0.016,242.943,414,0.016,229.531,413.272,0.017,220.916,412.153,0.016,216.113,412,0.017,213.82,410.91,0.1,213,416.282,0.018,212.057,423.602,0.016,212,435.701,0.016,210.813,444.495,0.017,208.387,458.678,0.018,207.572,476.417,0.017,204.901,491.243,0.016,202.658,506.053,0.016,200.416,519.507,0.017,198.175,530.212,0.017,195.934,539.264,0.016,193.688,548.249,0.017,191.438,555.968,0.018,190.599,561.006,0.015,192.5,563.5,0.033,193.268,564.536,0.034,199.042,568.021,0.017,206.902,569.129,0.017,214.781,570.254,0.018,223.997,571.375,0.017,246.351,569.509,0.017,264.522,568.771,0.015,284.071,567.262,0.017,306.904,565.281,0.017,332.585,564.018,0.016,353.95,561.795,0.017,376.415,562,0.017,404.387,560.651,0.018,423.791,559.537,0.017,446.746,559,0.015,464.911,557.584,0.017,481.459,557.831,0.016,490.686,558,0.018,495.295,558,0.016,498.584,558,0.049,499.179,560.357,0.034,494.389,567.223,0.017,492.15,573.549,0.02,493.045,585.498,0.022,494.331,597.988,0.012,496.572,611.433,0.015,497.41,627.743,0.017,500.064,639.384,0.016,501.653,652.18,0.017,502,663.738,0.016,502.896,674.958,0.017,501.981,684.15,0.016,502,688.548,0.017,499.49,691.765,0.065,497.732,692.134,0.034,494.02,692.99,0.018,491.783,694.108,0.016,489.536,694,0.017,483.229,695.354,0.018,468.81,696.472,0.017,452.038,695.403,0.016,432.355,694.282,0.016,405.978,692.318,0.017,377.914,690.073,0.017,351.088,688.92,0.016,319.31,687.797,0.017,290.536,688,0.018,259.874,688,0.018,238.76,689.569,0.016,220.057,691.368,0.017,203.698,692.807,0.015,191.655,693.935,0.017,187.834,694,0.017,185.648,694,0.034,187.211,691.578,0.017,190,687.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,1810,JCCCH
482,409,0,436.483,412.266,0.018,395.846,411,0.016,357.166,410,0.019,302.258,408.008,0.016,265.413,405.522,0.008,242.168,402.042,0.016,221.605,398,0.017,216.5,398,0.099,217,404.824,0.009,216,412.746,0.017,215,428.415,0.017,214,449.059,0.016,212.085,472.232,0.017,209.684,494.74,0.016,208.596,511.828,0.017,206.357,524.216,0.015,205.114,532.658,0.017,202.871,539.517,0.016,203,543.745,0.099,214.124,544,0.018,234.122,548.931,0.019,272.545,549.287,0.016,316.062,548.045,0.017,365.57,543.801,0.017,406.957,542.558,0.016,445.338,542,0.016,472.146,543.858,0.016,488.859,546.344,0.017,494.24,548.413,0.015,498.536,550.268,0.033,500.141,555.282,0.017,502.384,561.152,0.017,506.255,570.766,0.016,510.747,588.86,0.017,513.115,604.804,0.016,514.36,626.243,0.019,512.396,640.829,0.015,511.155,656.915,0.017,506.828,672.602,0.016,503.671,689.302,0.019,501,701.431,0.015,501,712.272,0.017,499.943,717.115,0.082,492.257,716.086,0.018,478.926,714.847,0.016,452.22,711.602,0.016,411.535,705.718,0.015,366.288,701.229,0.021,308.65,700,0.017,258.479,701.37,0.017,221.377,703,0.016,192.425,704.858,0.017,184.799,706.101,0.033,187.933,701.067,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,2229,JCCCH
