@relation RegistrosP3MJHP
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
510,395,0,474.466,399.505,0.016,450.619,401.489,0.021,424.04,403.711,0.016,376.882,404.972,0.019,344.588,406.201,0.014,308.73,407.459,0.021,281.473,408,0.011,253.539,409,0.023,232.946,408,0.011,217.256,407,0.018,204.744,404.349,0.015,196.239,404.92,0.018,196,407.193,0.031,198,419.568,0.017,199,436.17,0.023,200.354,453.187,0.014,201.196,471.783,0.016,202.846,490.765,0.019,205.076,504.457,0.011,206,516.745,0.017,206.589,524.767,0.015,209.535,528.535,0.037,214.573,529.286,0.016,220.124,530.531,0.011,236.75,533.591,0.011,259.473,535,0.016,291.293,533.747,0.015,333.53,532,0.015,371.737,531.266,0.018,408.297,531,0.016,437.601,532,0.018,463.913,533.489,0.027,483.478,536.44,0.02,495.868,538.974,0.008,504.875,543.656,0.015,506.47,547.941,0.016,508,554.058,0.015,508,560.851,0.022,509.184,572.105,0.015,509,588.397,0.019,510,604.204,0.015,510,621.382,0.025,508,637.036,0.013,507.606,653.363,0.015,507,668.392,0.019,507.853,682.265,0.013,508,691.587,0.017,507.755,697.734,0.053,504.459,700.271,0.029,497.748,698.687,0.015,483.297,697,0.014,455.998,696,0.017,426.28,695,0.017,390.302,695,0.019,352.335,695.537,0.015,317.59,696.789,0.018,286.643,699.022,0.028,260.476,701.252,0.014,241,702,0.016,227.352,703,0.025,221.024,703,0.01,217.642,703,0.053,212.613,702,0.024,205.919,702,0.019,201.406,703,0.114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,2610,MJHP
511,402,0,472,404.5,0.017,446.699,404,0.013,414.303,403,0.019,355.79,400.782,0.017,316.93,399.552,0.015,283.624,397.308,0.018,249.789,396,0.014,221.639,397.197,0.017,201.536,396,0.017,189.027,396,0.016,183.5,396,0.051,188.479,401.718,0.016,189.739,408.216,0.02,191.978,421.824,0.014,193.242,441.934,0.016,196.984,469.398,0.018,198,490.322,0.013,199.973,514.677,0.024,202.189,536.7,0.011,204.449,552.692,0.017,206.676,560.351,0.015,209.541,562.271,0.02,215.982,561,0.017,224.42,555.342,0.021,249.339,549.726,0.01,276.413,547,0.019,302.677,546,0.022,330.353,547,0.015,355.427,548.702,0.014,382.836,549.986,0.022,410.492,550,0.018,436.368,551.488,0.016,459.332,552.704,0.017,476.661,553.951,0.016,484.645,558.644,0.032,487,567.011,0.018,487.921,579.446,0.018,490.186,589.557,0.016,492.422,594.844,0.016,494,601.921,0.016,495,612.292,0.022,495,622.536,0.015,495,634.343,0.024,494.408,650.959,0.011,494,663.141,0.017,494,677.795,0.02,494,688.405,0.018,494.599,699.395,0.021,494.178,705.465,0.018,492.939,708.121,0.039,487.944,706.472,0.013,480.072,704.214,0.017,462.718,701.969,0.016,438.592,700.716,0.021,417.996,701,0.011,390.193,701,0.017,360.97,703.002,0.019,330.633,704.259,0.016,302,704,0.016,271.824,706.706,0.019,245.496,709.945,0.015,222.974,710.225,0.019,215.645,711,0.017,209.613,712,0.017,206.468,712,0.072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,2515,MJHP
499,402,0,466.44,403,0.014,442.408,403,0.017,413.741,403.943,0.016,367.317,404,0.016,337.88,403,0.018,310.775,402,0.018,283.193,400.099,0.016,259.732,397.622,0.013,239.169,398,0.019,220.166,398,0.014,209.529,397.106,0.016,202.529,398,0.02,198.291,398,0.017,197,401.027,0.034,197,408.072,0.017,198,422.805,0.02,196.955,440.312,0.014,198,459.973,0.016,199,478.047,0.016,199.248,497.018,0.02,200.01,514.084,0.015,199.282,528.127,0.011,201,536.636,0.015,203.489,543.233,0.013,207.032,547.032,0.019,212.879,548.44,0.012,220.5,551.5,0.036,247.988,552.168,0.014,274.229,552.102,0.015,299.98,549.668,0.014,332.913,546.406,0.039,380.183,543,0.014,407.008,540.799,0.025,437.34,541.822,0.013,462.818,543.646,0.014,487.864,546.811,0.018,503.008,551.336,0.018,509.778,554.389,0.011,513.537,557.537,0.038,509.816,561.092,0.02,505.549,573.708,0.015,505,593.006,0.027,506.943,617.316,0.014,507,642.439,0.011,508,658.763,0.017,506,670.423,0.019,505.089,679.732,0.012,505,686.444,0.034,505,692.536,0.033,500.863,694.069,0.035,495,691.5,0.02,486.592,691,0.021,468.244,691,0.02,452.763,691,0.014,428.589,691.601,0.021,402.925,693,0.018,371.522,695.099,0.015,339.727,697.33,0.023,309.978,702.08,0.013,277.611,705.799,0.017,250.411,708.107,0.017,226.532,709,0.017,208,711.5,0.016,192.747,712,0.016,189,712,0.099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,2655,MJHP
514,395,0,470.5,400,0.017,442.412,400.966,0.02,413.285,401,0.017,376.585,399.529,0.021,347.119,400.68,0.014,314.05,400.925,0.019,283.728,398.796,0.021,253.36,399,0.018,232.231,399,0.015,217.352,400.088,0.02,207.241,399.848,0.015,203.181,401,0.068,204,405.066,0.015,206.463,410.695,0.018,207,424.734,0.019,207.057,441.6,0.015,206,462.045,0.02,207,479.334,0.017,205.302,499.885,0.014,204,518.627,0.018,204,531.473,0.02,204,538.802,0.009,205.27,542.54,0.035,209.145,542,0.071,209.278,548.445,0.022,210,554.921,0.009,210,558.393,0.04,215.151,561,0.012,219.667,561,0.021,232.468,561,0.017,257.096,559.685,0.012,285.5,557.5,0.021,318.758,556.216,0.014,360.622,554.969,0.021,402.013,555,0.015,439.354,554.45,0.021,471.679,555,0.012,499.332,556,0.02,516.219,557.244,0.011,524.5,559.5,0.036,523.734,562.532,0.022,520.79,566.42,0.02,518.549,575.158,0.017,517.29,590.967,0.02,515.041,611.554,0.016,513.797,630.622,0.016,512,653.464,0.021,510,673.596,0.011,510,690.585,0.022,509,704.718,0.012,509,716.14,0.02,507,722.543,0.013,505.106,727.788,0.014,502.85,729.075,0.036,497.563,728.042,0.012,490.039,724.52,0.016,465.109,722.016,0.016,429.543,719.765,0.018,389.649,717.508,0.017,346.013,717,0.016,306.494,716,0.017,273.522,714.794,0.016,247.747,714.549,0.019,236.321,713.33,0.012,230.5,711.5,0.017,232.22,707.39,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,2613,MJHP
524,403,0,486.857,406,0.017,465.849,406,0.016,440,407.5,0.019,399.73,407,0.016,369.642,406,0.013,336.711,406.353,0.019,309,406,0.021,287.725,405,0.016,261.79,406,0.017,246.387,406,0.017,227.422,405.558,0.015,214.073,407,0.019,202.998,409,0.014,197.435,409,0.035,194.867,412.267,0.017,197.245,416.489,0.022,198.441,426.207,0.017,197.308,440.153,0.012,198,459.767,0.015,198.217,477.517,0.019,196.55,500.499,0.021,200.373,517.492,0.014,202.87,532.674,0.019,205.146,546.878,0.014,207.427,558.134,0.015,210.524,561.524,0.036,217.236,562,0.018,225.469,561,0.016,249.41,559.399,0.026,276.186,558,0.011,308.135,555.874,0.018,342.076,557.38,0.022,368.452,559.573,0.017,419.321,560,0.017,446.483,561,0.018,469.188,562,0.014,492.332,561.666,0.016,500.75,562,0.017,508.366,562,0.034,508,567.524,0.018,505.977,573.07,0.016,505,583.305,0.023,505,603.133,0.013,505,621.127,0.034,503.817,644.465,0.012,503,658.394,0.015,503.702,673.211,0.02,503,682.862,0.015,502.793,689.622,0.025,503,697.26,0.013,503,702,0.036,499.875,704.062,0.025,491.741,703,0.016,480.657,701.094,0.022,462.985,699.873,0.021,444.441,700,0.019,420.684,700.61,0.016,394.596,700.855,0.032,348.272,704.195,0.014,315.756,707,0.017,285.543,709.697,0.016,254.765,711.945,0.02,230.681,710.807,0.019,215.503,712,0.013,203.345,712,0.017,197.5,712,0.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,2668,MJHP
509,402,0,470.808,408.244,0.017,452.945,408,0.013,432.451,406.272,0.016,400.09,404.01,0.02,371.143,404,0.016,346.916,404.462,0.013,320.822,404.294,0.016,298.084,404,0.015,275.551,404,0.018,253.836,403,0.016,239.664,402.333,0.015,224.128,402.982,0.018,216.408,403,0.017,209.738,402,0.016,202.5,401,0.036,199.467,401,0.034,200,406.815,0.017,200.149,418.107,0.016,200,436.939,0.022,201.323,454.583,0.019,202.575,474.173,0.014,204.842,494.579,0.02,208.043,510.342,0.018,209.287,527.297,0.023,210.454,535.185,0.011,210.791,540.581,0.021,212.006,543.013,0.027,216.84,543,0.037,229.915,544,0.018,254.066,546.007,0.015,281.311,547,0.018,313.168,548.478,0.015,344.22,549,0.024,377.656,550,0.013,408.844,550,0.02,434.2,550.473,0.021,456.751,549.675,0.022,474.441,550,0.01,487.16,551.193,0.019,497.133,551,0.017,504.999,552.666,0.017,508.528,555.528,0.021,511.192,559.384,0.024,512,564.882,0.014,510.128,573.488,0.017,508.897,584.515,0.017,509,595.487,0.019,508,610.543,0.015,508,622.289,0.014,508,634.418,0.014,507,647.006,0.02,506.453,656.737,0.011,506,669.053,0.011,505.934,681.328,0.017,507,691.251,0.019,508,698.077,0.019,508,702,0.036,504.758,704,0.012,500.231,703,0.011,493.533,703,0.021,480.97,703.861,0.019,463.31,704,0.012,442.074,704,0.017,418.095,704,0.021,390.23,705,0.013,359.732,706.097,0.018,329.68,708.332,0.018,299.925,709,0.02,270.528,710,0.017,245.444,711,0.02,223.176,712.261,0.012,208.89,712.482,0.013,201.454,712,0.02,198,713.5,0.045,203.369,709.526,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,2827,MJHP
517,406,0,486.723,407,0.016,468.778,407,0.016,447.441,407,0.016,417.292,404.161,0.017,398.5,404,0.013,351.363,406.775,0.016,311.239,410.153,0.017,282.324,409.622,0.023,252.012,409.614,0.015,223.23,411,0.025,209.483,409.914,0.005,197.19,407.638,0.02,191.5,408,0.029,192.045,409.09,0.036,195.5,414,0.015,198.789,422.945,0.015,202.029,438.204,0.022,204.534,458.668,0.013,206,478,0.015,207.229,501.168,0.018,207,521.153,0.018,207,534.319,0.024,207,542.504,0.014,206,549.959,0.018,210.257,554,0.019,217.091,554,0.017,229.976,555,0.019,256.06,556.824,0.014,287.884,555.926,0.022,324.578,554.695,0.02,360.5,553,0.023,399.662,553.777,0.015,430.549,552,0.012,460.886,551,0.023,480.522,550,0.012,494.778,550.244,0.021,503.929,551,0.016,510.512,551,0.015,514.269,554.537,0.032,508.819,562.272,0.019,506.696,576.435,0.013,505,601.091,0.02,504,625.275,0.016,503,647.395,0.02,503,682.336,0.015,502,696.305,0.019,502,704.659,0.011,502,709.269,0.066,496.095,708.048,0.022,492.791,704.582,0.022,473.291,699.429,0.012,449.038,698,0.022,422.954,698,0.015,389.094,700.307,0.011,355.642,704.17,0.015,319.615,709.598,0.02,286.766,713.021,0.017,244.233,715.433,0.018,227.095,716,0.021,222,716,0.044,221,712.501,0.035,228.432,706.676,0.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,2534,MJHP
507,405,0,473.272,403,0.016,452.662,403,0.015,429.997,403,0.017,396.981,400.331,0.018,375.34,399,0.014,349.389,398,0.014,331.59,396.949,0.02,306.672,397.277,0.015,279.735,397,0.018,261.719,396.246,0.014,244.573,397.053,0.018,228.241,397,0.019,219.993,399,0.015,216.466,399,0.033,215,402.238,0.021,213.5,408.5,0.031,209,432.723,0.017,207.805,447.368,0.016,208,466.227,0.017,209,482.047,0.016,210.919,500.431,0.019,212.148,517.033,0.02,214.393,531.355,0.015,215,546.513,0.013,216,556.716,0.016,218.154,561.308,0.07,224.418,560.291,0.014,234.944,559,0.019,252.877,555.531,0.017,279.121,552.069,0.016,306.276,548.31,0.016,336.491,548.036,0.019,371.939,544.674,0.014,404.754,543.55,0.023,431.442,545.649,0.01,459.688,546,0.015,478.241,549.155,0.023,491.144,554.762,0.02,497.931,559.288,0.011,503.642,563.761,0.016,507.246,572.491,0.019,509.323,583.937,0.018,512.586,596.516,0.012,513.856,614.561,0.018,513.891,630.763,0.016,514,651.527,0.017,513.411,666.125,0.015,513,682.933,0.025,512,693.135,0.017,512,701.166,0.014,512.539,710.156,0.014,513,715.574,0.015,511.978,718.043,0.033,508.517,720,0.02,502.777,717.259,0.015,491.961,714.993,0.027,470.58,713,0.018,444.294,712.521,0.012,416.161,711.277,0.017,387.479,711,0.026,350.363,710.697,0.016,329.5,712,0.015,305.574,712.803,0.017,279.464,713.049,0.017,252.726,714,0.018,236.558,715,0.016,220.268,715.746,0.015,209.893,716,0.017,199.96,716,0.015,195.003,716,0.016,190.527,717,0.018,193.149,712.802,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,2722,MJHP
526,404,0,497.267,406.373,0.013,481,406,0.019,460.753,406.805,0.016,422.939,407,0.023,389.888,407,0.016,358,408,0.019,321.201,407,0.017,296.014,404.918,0.02,271.367,405,0.017,248.5,404,0.017,228.228,403.777,0.02,215.879,404,0.019,203.504,404,0.013,199,405.5,0.036,198,407.357,0.015,198.65,412.401,0.022,197.396,423.231,0.015,195,437.878,0.022,194,454.525,0.011,192.666,472.006,0.018,194,490.635,0.013,194,506.743,0.023,195,524.459,0.014,195,535.546,0.019,196.543,546.173,0.016,196.237,556.051,0.02,194.5,560,0.02,198.397,562.199,0.018,204.224,561.388,0.015,210.696,560.102,0.02,220.569,558.886,0.016,239.605,556.64,0.015,262.847,554.396,0.021,289.666,551.389,0.014,320.145,549.912,0.024,349.803,547.7,0.011,384.054,546,0.017,413.191,544.784,0.017,441.503,544.042,0.016,465.622,544,0.018,481.027,546.505,0.024,494.758,550.758,0.017,496.068,553.136,0.016,496,557.788,0.02,497.596,562.192,0.011,500.719,570.438,0.017,504.116,581.581,0.017,505.352,593.76,0.017,506,606.514,0.017,506,621.053,0.016,506,634.523,0.021,503.38,649.549,0.014,501.449,661.307,0.018,501,673.88,0.016,500,685.205,0.017,500.295,694.179,0.019,500,699.021,0.013,498.73,702.539,0.038,493.463,704,0.02,485.168,701.292,0.02,472.308,700.051,0.013,459.935,698.787,0.025,439.673,699,0.014,417.935,700.395,0.015,388.9,702.862,0.017,359.922,706.189,0.017,331.888,708.426,0.017,307.064,708.34,0.016,283.863,707,0.018,265.675,705.853,0.016,250.215,703.602,0.019,238.966,703,0.016,226.686,703.863,0.016,219.779,705.111,0.015,214.256,706.372,0.023,208.846,706,0.013,205,707.5,0.038,205.11,703.779,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,2902,MJHP
518,391,0,477.547,392.954,0.016,450.417,394,0.015,421.224,394,0.02,374.776,394.639,0.014,337.344,396.916,0.033,307.199,395.88,0.008,277.142,393.595,0.014,247.95,391.359,0.021,226.203,390.134,0.013,214.293,389,0.023,199.904,392.349,0.015,195,393.5,0.036,194,396,0.014,196.229,399.458,0.021,196,405.288,0.016,195,417.727,0.017,195,436.412,0.016,197.345,454.553,0.022,198.406,474.651,0.01,201.663,494.967,0.016,203.89,512.123,0.018,207.347,531.389,0.023,209,545.642,0.013,211.27,557.904,0.021,213.265,562.795,0.019,217.429,562,0.035,230.281,561,0.015,254.608,560.139,0.02,285.802,557.877,0.014,324.383,555.664,0.021,355.789,555,0.011,387.342,553.19,0.018,415.338,550.972,0.092,471.714,551,0.014,482.131,555.131,0.017,486.456,558.456,0.035,489.269,562.538,0.014,491.234,568.701,0.02,492.43,579.148,0.017,492.713,593.563,0.017,494.887,609.548,0.016,495.169,626.017,0.02,496.383,645.445,0.018,495,659.039,0.014,495,671.572,0.011,495,682.65,0.021,495,686.82,0.031,492.96,690.04,0.032,488.124,689,0.018,479.03,687.29,0.016,462.425,687,0.017,441.702,685.791,0.023,418.436,687.456,0.018,382.433,689.396,0.013,350.123,691.93,0.016,319.57,695.324,0.023,293.603,696,0.018,273.109,697.309,0.017,252.807,698,0.02,236.973,699.147,0.012,224.255,700,0.016,213.5,701.5,0.017,205.47,703,0.017,202.894,704.053,0.049,208.507,699.746,0.114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,2639,MJHP
