@relation RegistrosP3MNPB
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
500,406,0,435.86,409,0.02,417.42,410,0.016,393.72,411.856,0.017,373.442,412,0.021,356,413,0.019,340.123,412.025,0.02,327.283,412,0.021,315.288,412,0.015,303.631,412,0.018,291.2,410.55,0.015,277.977,411,0.015,265.273,411,0.016,252,410,0.016,241.513,410,0.015,230.198,408.733,0.013,219.5,407.5,0.019,211.136,407.045,0.016,206.384,407,0.014,199.471,407,0.086,198,415.152,0.015,196,425.542,0.014,195,437.181,0.015,193.882,446.353,0.016,191.504,456.489,0.02,192,469.556,0.02,192,480.891,0.018,191,493.354,0.019,192,502.885,0.02,192.319,512.957,0.023,190,522.92,0.01,191,532.042,0.038,192,540,0.036,196.065,545.13,0.048,205.848,548,0.017,210.458,547.771,0.033,219.043,546.986,0.02,230.69,544.578,0.016,247.021,546,0.014,268.186,545.169,0.017,286.5,545,0.021,308.332,546.866,0.015,329.45,547.207,0.012,347.617,547.397,0.016,365.884,549,0.017,376.991,549,0.019,394.719,550,0.018,410.292,550.042,0.016,429.088,550,0.017,448.349,549.764,0.016,461.363,551,0.013,474.079,552,0.022,485.725,555,0.01,491.536,558.179,0.031,497.543,559,0.05,499,568.001,0.021,501.414,583.9,0.017,501,597.993,0.016,502,614.815,0.023,502.51,630.45,0.015,502.861,648.166,0.023,503.221,658.442,0.013,502,667.21,0.022,502,679.756,0.015,498.781,687.658,0.02,496.06,694.879,0.024,492.734,701.532,0.081,481.214,702.957,0.025,460.685,705,0.018,432.712,706.822,0.017,415.825,708,0.017,396,709,0.017,371.775,709.111,0.026,338.247,709.583,0.017,309.7,710.117,0.016,289.237,712.252,0.018,272.943,710,0.013,252.091,711,0.017,236.262,711,0.017,218.16,711,0.016,206.753,711,0.023,199.156,710.578,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,4970,MNPB
505,407,0,460.383,407,0.014,438.591,407,0.012,423.587,407,0.016,395.272,408.296,0.017,380.774,408,0.016,367.007,407.252,0.014,349.87,405.986,0.015,335.251,406,0.022,316,405,0.012,303,404,0.016,281.047,403.006,0.031,264.254,403,0.011,248.133,404,0.012,233.161,404.73,0.02,221.335,406,0.015,215.576,407,0.024,210.166,407,0.033,206.471,408.265,0.048,203.818,411.363,0.069,205,415.182,0.014,204,422.5,0.016,203,431.854,0.017,202,439.971,0.016,203.243,445.485,0.02,203,456.37,0.012,203,466.855,0.02,203.931,474.794,0.017,201.58,487.471,0.018,200.531,499.812,0.015,200.334,508.328,0.016,200,523.627,0.017,199,534.675,0.023,198,541.947,0.012,199.5,552.5,0.017,199,558.751,0.013,200.149,563.299,0.035,205.387,563.307,0.017,216.973,563,0.02,236.979,563,0.014,255.431,562,0.017,274.206,561,0.017,290.61,561.957,0.019,306.223,561,0.023,318.786,561,0.013,333.225,561,0.015,347.434,561,0.02,365.99,559.859,0.011,379.923,560,0.02,396.114,560,0.021,410.949,560,0.011,427.82,559,0.018,446.238,560,0.019,462.157,560,0.012,479.973,560.128,0.017,492.735,560,0.017,506.272,561,0.018,512.5,562.5,0.034,513,564.02,0.066,509.463,567.268,0.036,505.858,579.708,0.02,502.615,589.927,0.013,499.719,599.562,0.075,498,631.074,0.019,500.488,648.905,0.019,501,659.893,0.017,501,675.937,0.016,502,687.932,0.018,503,697.302,0.019,504,708.801,0.016,505,714.895,0.019,505,717.154,0.114,498.752,713.876,0.032,494.467,712.733,0.032,456.716,707.585,0.017,439.3,707,0.015,421.116,705.39,0.019,401.551,704.172,0.02,381.155,703.906,0.014,362.347,704.332,0.016,342.869,703,0.019,321.17,703,0.011,301.409,702,0.016,284.825,701,0.016,273.189,698.456,0.02,260.334,697,0.012,248.943,696,0.025,238.942,697.265,0.022,231.982,697,0.016,222.752,698,0.012,214.958,700.011,0.017,202.513,702.248,0.026,190.301,705.566,0.02,186.457,704.729,0.157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,3819,MNPB
520,414,0,479.687,410.763,0.011,445.178,408.479,0.015,408.765,406.28,0.025,346.729,401.073,0.012,303.672,397.608,0.015,269.828,393.525,0.017,247.352,390.294,0.017,226.427,391,0.019,208.798,392.172,0.012,195.785,393,0.029,198,397.531,0.021,199,401.292,0.019,200.409,407.228,0.015,200,416,0.016,201.902,443.116,0.016,204.152,471.978,0.019,205,498.948,0.02,205,516.327,0.012,206,531.497,0.017,207,539.444,0.016,206.638,544.724,0.053,214.777,543.944,0.021,236.374,544,0.023,262.842,541.596,0.019,294.491,543,0.012,327.691,543.918,0.02,364.525,543,0.01,401.449,543.389,0.013,430.391,545,0.018,450.956,546,0.012,465.837,548.139,0.016,482.578,549.368,0.018,491.834,552.611,0.02,494.266,556.799,0.024,494,561.391,0.028,502.387,570.387,0.018,506.659,588.466,0.016,508.081,604.652,0.026,507.296,627.666,0.011,506.5,653.5,0.022,505,672.466,0.013,503.954,689.228,0.018,504,703.527,0.02,504.364,717.272,0.015,502.733,720.534,0.066,496.19,718.73,0.033,460.197,715.92,0.022,414.01,712.539,0.018,378.83,710.302,0.015,342.076,710,0.017,302.925,711.192,0.02,270.838,710.603,0.02,245.474,710.653,0.014,224.733,711,0.013,210.029,712,0.017,197.161,712.632,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,2241,MNPB
503,408,0,463.316,407,0.021,447.5,407,0.02,423.978,404.996,0.014,403.763,404.68,0.017,383.51,404,0.013,361.545,402,0.014,336.311,401,0.013,309.459,400,0.014,285.278,397.828,0.021,269.5,397,0.024,249.474,395,0.013,239.214,395,0.023,223.206,394.598,0.019,214.068,394,0.017,206.304,393.768,0.037,201.943,395.115,0.033,201,408.707,0.016,197.695,418.915,0.017,195.386,435.454,0.015,193.983,448.083,0.015,194.381,467.289,0.021,194,481.544,0.012,197,500.357,0.014,197.563,514.185,0.014,197.77,530.082,0.016,199,538.612,0.022,200,545.042,0.016,202.004,551.013,0.011,208.468,555.234,0.019,216.606,557,0.017,227.352,557.225,0.012,244.002,556.4,0.018,261.807,555.976,0.019,279.245,552,0.011,300.499,551,0.028,319.493,550,0.019,338.59,550,0.011,361.755,551,0.02,377.947,551,0.017,398.989,551,0.015,421.471,550,0.022,441.948,547.756,0.012,457.212,548,0.014,469.704,548.941,0.011,479.324,551.662,0.021,484.536,552.268,0.034,488.18,557.36,0.05,495.518,563.518,0.022,499.966,575.897,0.016,501,593.516,0.019,503,606.534,0.02,503.058,625.23,0.011,504,640.213,0.017,506,655.355,0.014,509.402,666.803,0.015,509.448,679.656,0.017,508,687.783,0.016,508.249,696.746,0.013,504.469,701.266,0.117,498.551,703.225,0.034,485.897,701.983,0.03,458.436,700.487,0.013,432.962,698.88,0.013,407.958,696,0.02,369.212,695,0.02,337.084,695.092,0.016,302.582,695,0.014,270.188,695,0.021,233.753,692.719,0.017,215.327,693.668,0.016,197.834,694.033,0.02,188.24,695,0.146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,4350,MNPB
506,410,0,456.116,404,0.015,433.495,404,0.022,399.638,404,0.016,378.367,405,0.009,355.817,405,0.017,336.283,404,0.016,315.742,402,0.011,303.784,401,0.017,282.273,401,0.017,267.372,399.895,0.016,249,400,0.025,241.348,398.174,0.014,231.563,398,0.019,222,400.5,0.021,215.187,402.271,0.018,204.912,404.272,0.036,200.911,407.178,0.051,199.645,419.419,0.022,199,438.5,0.02,196.912,454.527,0.017,196,472.135,0.015,193.19,488.051,0.016,192.819,503.723,0.022,193,517,0.016,194.882,530.647,0.012,195,539.738,0.018,196,551.5,0.034,203.305,558.152,0.016,210.666,558,0.018,220.621,556.845,0.021,235.679,556.332,0.012,250.202,555,0.016,274.858,554.429,0.019,291.158,551.23,0.016,310.463,549.884,0.023,331.001,548.5,0.015,346.959,544.297,0.011,365.226,544,0.022,378.331,542,0.012,393.878,543,0.019,409.836,542,0.011,431.961,542,0.015,455.08,542,0.018,473.547,541,0.021,489.294,542,0.017,499.203,542,0.023,510.5,546,0.035,515.104,549.209,0.03,514.933,557.865,0.015,514,571.641,0.021,511.658,590.356,0.016,509.975,607.147,0.025,511.509,631.054,0.015,513,651.352,0.018,513,667.247,0.017,512.389,685.442,0.019,511.969,697.877,0.03,509.112,711.444,0.019,503,715.5,0.017,490.722,716,0.016,475,717.5,0.016,451.698,716,0.016,424.169,713.596,0.015,394.065,713,0.018,354.668,713,0.022,319.137,713,0.012,279.689,712.053,0.015,243.381,711.671,0.018,213.918,711,0.018,189.651,708.93,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,4148,MNPB
497,400,0,448.936,403.406,0.014,427.651,403.725,0.014,393.128,405,0.016,363.168,405,0.013,333.201,405,0.014,301.566,405,0.013,270.372,404,0.014,245.364,403.073,0.011,225.105,402.684,0.021,215.736,402,0.016,205.926,404.037,0.02,197.27,406,0.033,194.921,411.157,0.02,193.397,423.014,0.019,193.969,439.876,0.02,192,457.805,0.011,192,475.305,0.013,191,495.236,0.02,191.582,514.51,0.019,194,530.251,0.011,195,542.463,0.023,195.494,552.988,0.015,197,558.535,0.068,207.782,559,0.017,222.597,558,0.023,244.342,555.332,0.02,261.228,557.038,0.016,277.15,555,0.011,298.94,556.258,0.013,321.938,558.117,0.02,345,557,0.018,373.836,557,0.017,400.167,555.766,0.019,425.998,556,0.015,447.494,556.072,0.016,464.575,553.685,0.022,481.982,554,0.016,488.129,554,0.033,495.47,555.735,0.012,499.106,559.213,0.051,500,566.509,0.023,500,576.081,0.015,500,590.099,0.017,499.573,600.706,0.015,497,615.715,0.015,498.179,628.538,0.018,495,644,0.018,497.871,656.612,0.022,497.758,668.966,0.014,499,682.823,0.016,499,694.132,0.019,498,704.375,0.015,499.5,711,0.036,494.732,717.134,0.031,481.833,717,0.013,463.269,716,0.026,447.447,713.889,0.013,429.136,713,0.012,408.107,713.158,0.019,389.889,714,0.019,365.594,714,0.021,346.645,714,0.017,328.168,713.405,0.013,307.142,711.228,0.018,283.907,709.688,0.017,264,707.5,0.016,241.619,706.124,0.018,215.689,705,0.016,197.869,704,0.015,191,703,0.052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,4197,MNPB
525,405,0,497.148,407.285,0.015,480.647,407,0.016,464.672,407,0.013,438.305,407,0.016,423.101,407,0.017,399.5,407.5,0.02,381.992,406,0.017,362.159,405,0.019,341.899,403.737,0.012,322.5,402.5,0.021,303.723,402,0.018,285.273,400.034,0.016,272.086,397.817,0.017,256.851,395.55,0.02,247.989,394,0.014,240.203,392.068,0.02,232.537,390.846,0.012,224.677,389.559,0.014,220.714,389.357,0.016,217.462,389,0.049,217,393.541,0.032,214.996,399.009,0.016,215,404.749,0.023,212.535,410.93,0.016,209.285,417.86,0.02,207.063,431.558,0.014,203.787,443.85,0.02,201.593,457.847,0.016,201.332,473.671,0.017,201,488.419,0.016,202.156,503.938,0.018,202,514.427,0.016,202,528.5,0.019,203.877,534.754,0.018,206.138,538.208,0.031,210.794,542.529,0.019,220.209,545,0.011,242.286,547.117,0.017,268.467,549.319,0.018,294.696,549,0.019,317.945,550,0.013,340.66,551,0.022,364.116,552.302,0.013,382.5,554.5,0.022,401.435,554.224,0.011,422.639,554,0.021,444.253,552.675,0.018,460.775,551.461,0.015,478.071,549.241,0.017,491.095,549,0.021,499.676,550.225,0.012,504,551.5,0.037,500.026,556.948,0.02,498.903,559.194,0.014,499,567.431,0.016,499,582.696,0.023,498,596.7,0.014,499,614.693,0.016,498.553,629.235,0.017,502.664,647.973,0.025,504,666.065,0.017,506.297,682.076,0.018,507.5,690,0.016,506.225,694.326,0.017,506,698,0.016,502.694,700.153,0.035,497.195,702.268,0.019,493.636,703.182,0.012,458.566,697.126,0.018,441.487,699,0.025,422.568,699,0.013,399.189,697.819,0.024,379.984,696.598,0.013,361.636,695.33,0.015,340.013,694.101,0.017,313.119,693,0.017,290.578,692,0.017,265.392,691,0.017,240.213,691,0.017,208.31,690,0.021,195,690,0.017,191.646,688.823,0.221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,3233,MNPB
506,413,0,461.163,413,0.012,434.764,413,0.011,411.045,413,0.019,372.762,413,0.016,349.81,413,0.015,319.868,413,0.016,293.652,413,0.017,269.636,413,0.016,249.473,412,0.014,236.64,411,0.015,223.926,410,0.016,217.428,409,0.023,211.585,406.528,0.013,206.599,405,0.015,202.044,404.022,0.017,204.178,406.178,0.051,204.689,431.803,0.019,206.5,445,0.015,203.208,467.129,0.017,200.923,484.349,0.019,198.743,504.056,0.016,197,520.5,0.018,195.249,533.254,0.015,196.004,541.018,0.019,197,546.451,0.011,200.537,549.268,0.034,208.862,549,0.015,220.061,550,0.022,240.942,550,0.013,262.323,549.334,0.017,284.779,550,0.016,307.7,551.189,0.018,331.476,551,0.021,349.514,551,0.012,370.14,551,0.022,391.291,549.871,0.015,410.196,547.6,0.021,428.92,546.385,0.017,445.961,544.13,0.018,458.662,542.868,0.022,472.094,543,0.013,484.036,543,0.021,492.309,544.827,0.011,497.209,548.209,0.036,500.543,553.543,0.021,502.807,558.615,0.015,506.076,564.151,0.022,508,570.718,0.014,509.5,585.5,0.021,510,597.267,0.019,507.996,615.04,0.01,506.712,628.439,0.018,505.47,646.239,0.017,505.742,658.966,0.016,505,674.017,0.024,505,686.672,0.014,503.51,691.98,0.018,503.288,703.849,0.02,502,709.892,0.019,499.789,712.211,0.026,495.471,715.265,0.033,478.618,716,0.015,454.025,715,0.015,422.925,714,0.016,395.511,713.228,0.017,369.771,711.979,0.015,343.623,709.719,0.017,322.518,707.502,0.021,303.828,705.261,0.013,282.978,704,0.016,263.866,703,0.016,243.767,701,0.013,223.397,701,0.014,206.178,700.022,0.018,194.081,700,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,2934,MNPB
507,402,0,466.743,406.726,0.017,446.034,407,0.015,429.244,407,0.017,400.321,407,0.015,387.477,406,0.014,368.376,406,0.02,347.779,405,0.013,328.131,404,0.016,309.982,403,0.015,294.642,402,0.02,277.858,400.837,0.019,265.59,401,0.015,252.834,402,0.015,244.401,402,0.021,237.628,402,0.015,229.766,403,0.012,223.755,403.623,0.02,220,404,0.014,214.684,404,0.034,210,405.5,0.032,205.461,403.731,0.023,201.398,405,0.034,197.469,406,0.036,195.835,410.331,0.035,192,416,0.015,192.24,428.558,0.02,190.003,439.993,0.021,190,450.667,0.012,190,466.194,0.019,190,476.921,0.017,191,492.902,0.016,190,505.046,0.016,191.484,515.904,0.021,191.304,527.785,0.023,191.937,534.811,0.011,192,539.406,0.02,193,543.841,0.014,195.266,546.133,0.031,202.984,543.754,0.018,219.219,545,0.02,236.861,545,0.014,251.628,546.271,0.021,268.824,547,0.013,282.214,547.702,0.015,297.83,548,0.025,308.187,548.198,0.013,322.348,549,0.016,334.787,550,0.017,347.671,550.945,0.02,363.167,552.195,0.016,376.642,554.44,0.02,394.56,554.651,0.011,411.34,555.927,0.017,428.141,557.163,0.017,445.232,557,0.013,459.211,558,0.019,475.07,557.116,0.015,486.453,558,0.021,495.373,559.343,0.013,500.79,560.597,0.012,506.619,561,0.02,510.1,563.067,0.033,513,569.754,0.016,512.187,578.067,0.017,512,589.318,0.024,510.713,599.147,0.013,508.438,613.935,0.016,508.793,627.172,0.016,507.984,642.147,0.018,507,656.645,0.018,505.467,668.733,0.02,505,681.577,0.016,505,689.026,0.017,503.736,694.791,0.018,504,703.498,0.015,502.408,707.796,0.017,499.826,709.087,0.037,492.305,709.674,0.017,472.528,711.067,0.018,454.811,710,0.017,430.893,706.865,0.016,409.481,705.226,0.021,387.956,702.996,0.014,363.312,700.731,0.02,339.079,701,0.012,312.752,702,0.019,288.309,703.974,0.013,263.418,705.235,0.016,246.605,707.479,0.018,234.486,708.703,0.013,225.154,709,0.017,219.327,710,0.021,214.202,711,0.035,209.472,712,0.019,202.349,712,0.02,186.923,712.636,0.112,0,0,0,0,0,0,0,0,0,193,3716,MNPB
504,404,0,467.824,405.575,0.013,449.498,406,0.02,434.773,407.038,0.017,408.211,409.639,0.019,394.197,410,0.016,377.421,410,0.019,364.815,411.037,0.018,351.314,411,0.02,338,411,0.017,329.171,410,0.017,316.988,410,0.017,307.042,409,0.017,297.631,409,0.017,285.754,408,0.014,276.096,407,0.02,266.24,407,0.024,255.28,407,0.013,246.955,407.682,0.015,240.234,408,0.02,232.528,408,0.017,224.716,408,0.013,218.667,408.666,0.017,212.928,409,0.019,207.414,410.195,0.102,206,412.195,0.017,203.42,417.74,0.013,201.155,427.223,0.019,200,438.252,0.017,197.648,447.407,0.021,195.439,459.366,0.018,196.795,470.973,0.013,194.935,481.324,0.014,194,493.906,0.018,195,503.172,0.016,193.231,512.075,0.018,191.996,522.022,0.017,192.714,532.144,0.021,193,538.474,0.022,192.722,545.166,0.011,193,549.949,0.012,195.265,554.531,0.033,197.178,558.355,0.034,201.379,559.189,0.03,208.157,557,0.015,214.18,556.205,0.016,220.13,557.043,0.021,229.207,557.302,0.016,242,555.5,0.019,252.593,555.765,0.016,271.343,554.962,0.022,284.17,553.759,0.013,305.524,552.497,0.013,327.331,552,0.021,342.94,552,0.015,365.35,551,0.018,382.824,551,0.018,398.78,551,0.011,413.674,550,0.017,427.787,551,0.016,440.703,551,0.022,455.628,553,0.011,466.549,553,0.016,485.476,554.164,0.02,493.694,554,0.015,503.887,554,0.019,511.364,556.546,0.049,508,561.414,0.017,506,565.967,0.019,503.758,573.968,0.016,502.528,587.302,0.023,503,598.533,0.014,502,613.625,0.014,502,629.177,0.01,502,646.997,0.012,502,661.423,0.017,502.927,677.417,0.016,503,688.505,0.017,503,696.234,0.019,504,702.954,0.016,501.858,705.071,0.034,481.994,705.858,0.019,460.346,706.065,0.011,430.552,706,0.02,406.254,707,0.013,374.886,707,0.016,344.658,706.916,0.019,315.322,706.688,0.016,289.066,708,0.017,264.328,709.788,0.015,244.68,709,0.016,223.711,708,0.017,213.847,707,0.017,203.466,706.244,0.015,196.944,706,0.156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,3684,MNPB
