@relation RegistrosP3NFVG
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
477,414,0,444.414,411.824,0.017,425.659,412,0.017,399.737,410.34,0.015,362.031,410.094,0.017,332.354,410,0.017,301.284,409,0.019,273.637,408,0.016,249.203,407,0.017,229.913,405.879,0.017,216.178,407,0.029,208.568,408,0.014,201.299,408.851,0.018,196.815,409,0.065,194.051,414.899,0.018,192.809,425.143,0.017,190.563,440.058,0.016,188.322,453.101,0.016,187,471.444,0.017,185,490.64,0.016,184,506.461,0.016,182,524.184,0.015,181.106,534.788,0.017,181,543.549,0.016,182.384,547.767,0.099,185.116,544.769,0.017,199.388,542.401,0.016,220.583,539.315,0.017,248.949,536.914,0.017,283.296,535.669,0.018,319.297,536,0.016,356.293,536.815,0.017,394.131,538.06,0.017,424.514,540.301,0.018,450,542.5,0.016,462.729,543,0.016,472.093,545.031,0.017,475.173,547.346,0.05,473,551.148,0.167,473.83,560.321,0.018,475.072,568.216,0.016,475,587.126,0.019,475,605.148,0.016,474,627.614,0.017,473,652.498,0.016,473,669.319,0.018,473,687.5,0.016,473,693.32,0.017,473,697,0.132,470.841,692.921,0.134,423.763,690.672,0.018,379.523,691,0.015,332.033,691,0.016,264.609,694.12,0.017,234.389,694,0.021,212.74,694,0.017,205.5,694,0.049,211.823,692,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,2756,NFVG
502,426,0,481.88,426,0.018,464.203,426,0.017,447.403,424.694,0.018,431.97,423.569,0.017,415.265,424,0.016,398.902,423.327,0.016,382.062,423,0.016,349.672,423,0.017,331.412,423,0.017,309.963,424.16,0.017,297.609,424,0.018,277.145,424,0.016,266,425.5,0.017,253.916,424,0.015,245.4,423.233,0.017,238.673,422.112,0.017,232.947,420.989,0.017,227.332,419.866,0.018,224.232,420,0.024,222.248,419,0.008,220.007,419,0.065,218.732,420.134,0.068,217.906,422.188,0.05,216.821,424.358,0.033,214.92,431.241,0.018,215,434.602,0.017,213.679,439.283,0.018,214,443.792,0.017,213,449.534,0.016,213,457,0.016,212,469.495,0.017,211.069,475.655,0.017,211,486.535,0.016,209.828,497.718,0.017,210,505.083,0.018,210,508.67,0.017,210,520.5,0.016,209.341,527.294,0.016,209,532.126,0.017,209,534.804,0.016,209,536,0.017,209,537.146,0.082,211.215,535.893,0.068,214.146,534.951,0.034,218.969,535,0.018,234.901,536,0.016,248.012,535.272,0.017,267.138,535,0.017,283.603,535,0.016,305.934,535,0.017,328.244,536.212,0.016,348.092,537.339,0.019,375.544,538.458,0.017,395.844,541.737,0.015,415.595,545.099,0.016,432.49,548.462,0.017,448.202,550.886,0.017,458.592,553.132,0.017,467.472,555.368,0.016,473.843,557.614,0.018,477.723,558.431,0.019,479,559.5,0.046,475.642,561.358,0.018,473.965,562.018,0.032,471.719,563.14,0.05,470.821,565.357,0.034,471,571.56,0.018,471,580.068,0.017,471,589.05,0.016,471,596.763,0.017,469.62,601.901,0.018,468.507,614.932,0.017,469,625.334,0.015,468.261,634.652,0.017,468,647.336,0.017,468,656.872,0.016,468,663.627,0.017,466.777,674.005,0.017,467,684.138,0.018,467,688.343,0.017,468,690.187,0.015,468,692.425,0.017,468,694,0.132,468,690.881,0.034,465.967,689.984,0.084,434.121,691.661,0.017,407.461,692.782,0.017,377.684,693.901,0.017,342.335,697.062,0.017,305.186,700.438,0.016,270.668,703.806,0.017,238.663,707.173,0.018,175,715,0.017,184.468,712,0.016,183,710.494,0.016,184.751,706.498,0.017,190.99,704.003,0.095,0,0,0,0,0,0,98,2289,NFVG
504,413,0,470.39,413,0.017,446.104,413,0.016,421.774,412,0.017,384.705,411,0.017,360.432,409.826,0.017,333.43,410,0.017,308.082,408.342,0.015,283.248,407,0.011,261.393,407,0.016,242.278,407,0.018,222.589,408,0.014,211.496,408.876,0.017,203.767,408,0.016,202,411.048,0.051,201,417.101,0.017,199.057,428.659,0.016,196.813,440.934,0.017,196,455.445,0.017,194.329,472.356,0.016,194.086,490.144,0.016,194,504.789,0.017,194,520.233,0.017,193.358,531.568,0.016,193.888,536.776,0.018,194,541.262,0.032,194,546.357,0.084,198.536,545.732,0.017,203.669,545.165,0.017,216.561,545,0.024,242.214,543.676,0.018,269.923,542.434,0.016,302.969,540.189,0.017,337.803,538.946,0.016,375.77,538.702,0.018,408.5,541.5,0.016,439.373,543.562,0.017,458.189,545.027,0.017,465.803,547.268,0.032,469.358,550.179,0.034,473.364,548.818,0.035,481.456,549.728,0.016,485.943,550,0.017,488.229,551.115,0.05,486.732,555.536,0.018,486,560.624,0.019,486,567.107,0.017,486,579.37,0.017,486,596.289,0.016,486,614.826,0.018,483.5,632,0.017,483.233,657.138,0.017,482,676.085,0.016,482,690.272,0.017,482,698.969,0.012,482.738,705.475,0.017,480.969,703.969,0.117,440.08,700.828,0.017,404.366,700,0.019,365.128,700.66,0.016,305.617,705.609,0.017,263.999,710.286,0.016,234.731,714.388,0.018,215.835,716.633,0.015,205.379,717.874,0.017,202,718,0.049,201,714.839,0.023,206.82,708.359,0.153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,3285,NFVG
500,417,0,449.434,415.174,0.016,420.047,413.85,0.022,389.345,414,0.015,348.24,411.39,0.014,315.327,410.137,0.019,288.481,408.891,0.014,266.85,407.65,0.015,246,408,0.018,237.518,406.173,0.017,231.742,406,0.023,226.074,407,0.019,221.466,407,0.036,217.915,409.043,0.049,216,412.269,0.033,215,416.802,0.014,214,427.692,0.016,213,441.208,0.016,210.917,457.911,0.023,211,475.978,0.014,210,500.5,0.018,210,519,0.014,211.085,535.424,0.024,210,546.876,0.032,211,555.084,0.017,211,558.543,0.019,214.14,555.72,0.036,228.339,553.366,0.014,253.725,551.116,0.016,288.176,548.833,0.017,329.862,548,0.017,373,549.5,0.016,408.141,550,0.02,439.177,551.091,0.015,462.441,552,0.017,481.51,551,0.015,489.676,551,0.019,487.847,553.153,0.035,485.973,559.055,0.011,485.685,566.945,0.019,486,580.5,0.015,486,597.967,0.019,487.03,620.325,0.015,488.288,637.015,0.025,488,658.445,0.016,489,677.786,0.026,490,689.891,0.018,491.375,704.498,0.017,491,709.183,0.019,491,712.032,0.114,486.936,710.968,0.034,467.431,707.585,0.026,439.92,702.658,0.014,400.364,698.215,0.016,352.158,695.865,0.016,298.522,697.379,0.012,255.955,700.614,0.02,226.878,702.844,0.02,215.686,703,0.022,219.783,697.217,0.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,2564,NFVG
526,423,0,490.842,416.44,0.017,467.206,414.221,0.017,440.781,412.982,0.016,391.4,411.693,0.017,364,410.5,0.016,333.065,410.236,0.014,299.873,410,0.019,267.466,409,0.016,243.145,409,0.014,224.573,408,0.021,217.075,408,0.011,216.076,410.152,0.033,214.66,415.68,0.018,215,430.273,0.015,214,442.24,0.019,214.023,460.233,0.016,214,475.852,0.014,215.5,496,0.014,215.768,510.379,0.017,216,527.437,0.029,217,535.684,0.017,217,543.452,0.014,218,549.519,0.018,218,553,0.024,222.903,553,0.017,230.963,552,0.021,250.342,551.566,0.014,277.913,549.309,0.015,307.425,547.113,0.017,339.409,545,0.022,401.933,544,0.012,430.051,545.921,0.016,452.531,547,0.02,466.234,549.372,0.013,476.891,550,0.016,480.882,550.441,0.017,480.924,553.153,0.05,481,559.879,0.019,481.323,567.708,0.014,481.949,584.54,0.024,482,599.877,0.011,484.448,627.381,0.021,485.661,648.932,0.011,486.93,672.154,0.017,488.155,691.086,0.02,491.5,715,0.016,491,720.5,0.147,484.765,717,0.017,465.529,714.255,0.015,438.515,713.407,0.019,403.16,712,0.012,363.586,711,0.038,297.919,707.568,0.018,254.256,705,0.011,215.1,703,0.024,181.419,703.172,0.015,145.201,704.457,0.022,141.059,698.941,0.019,150.411,694.436,0.116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,2707,NFVG
513,411,0,485.253,412.718,0.015,465.859,413,0.015,443.824,413,0.014,404,414.5,0.013,380.993,415.734,0.019,352.229,417.984,0.018,320.775,419.23,0.012,293.52,419,0.016,267.724,418,0.015,247.373,416.053,0.02,233.575,414.796,0.016,221.711,414,0.016,216.642,414,0.017,213.866,416.134,0.034,214,423.026,0.016,213,431.125,0.016,212,441,0.019,211,452.852,0.016,211,468.86,0.015,212,481.561,0.021,212,501.995,0.035,212,523.916,0.019,212.098,535.393,0.016,211,544.795,0.015,212,551.16,0.017,213.269,554.539,0.048,217.541,551.459,0.034,234.581,551,0.015,254.417,548.843,0.018,283.235,548,0.014,312.656,547.382,0.013,345.388,548,0.019,380.341,549.096,0.012,413.03,550.387,0.014,445.304,552.62,0.018,470.411,553.868,0.022,490.46,556.077,0.015,502.976,558.488,0.068,498.944,561.028,0.032,493.641,564.359,0.031,492,573.374,0.016,492,591.501,0.018,492,607.293,0.015,493,628.588,0.013,492,654.453,0.019,493,675.813,0.014,494.5,693,0.015,495.749,714.245,0.017,497,723.911,0.036,499,736.698,0.01,499,740.36,0.049,496.642,736.821,0.018,492.059,732.119,0.019,472.038,727.564,0.02,421.437,723.354,0.014,373.285,722,0.013,323.752,719.852,0.013,258.727,720,0.02,233.201,718.382,0.018,216,716.5,0.025,219.345,711.311,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,2699,NFVG
500,421,0,459.754,413.875,0.017,436.336,414,0.017,411.284,414,0.015,371.738,414.145,0.017,344.655,413.904,0.016,318.608,414,0.016,296.553,412.414,0.015,275.2,412,0.016,253.279,412,0.017,240.464,412,0.02,226.211,412,0.014,220.391,412,0.017,218.223,415.555,0.017,216.983,425.083,0.017,214.742,437.545,0.017,211,447,0.016,211,469.982,0.016,210,488.881,0.017,210,506.386,0.017,211.477,530.245,0.017,211,541.045,0.016,211,553.818,0.017,212,559.329,0.084,216.06,553.94,0.017,225.79,550.702,0.018,251.532,545.367,0.016,280.458,541.212,0.017,316.496,537.969,0.017,354.349,535.728,0.017,395,536,0.016,426.158,536.763,0.017,453.078,539.006,0.017,471.226,541.495,0.017,484.461,542.492,0.017,489,544.5,0.034,488.95,547.101,0.033,486.732,551.536,0.017,486,557.498,0.016,486,565.287,0.044,486,585.907,0.016,485.316,603.156,0.016,485,626.323,0.016,484,650.012,0.017,484,666.481,0.017,485,686.291,0.016,484.902,692.706,0.022,485,692.847,0.051,482.821,692.089,0.03,475.188,691.838,0.017,453.279,693,0.016,423.155,692.18,0.017,380.83,692,0.017,336.705,694.3,0.018,291.412,699.095,0.021,250.46,706.135,0.016,219.604,712.099,0.016,205.202,714,0.034,211.89,711.221,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,2578,NFVG
491,402,0,457,404.5,0.015,435.792,402.31,0.015,412.245,400.022,0.019,372.132,397.797,0.014,349.167,397,0.019,322.5,397,0.015,287.796,397,0.02,260.5,395.808,0.017,241.582,396,0.013,226.039,395,0.028,217.331,395,0.011,214.843,396.079,0.101,213.987,402.026,0.011,213,410.088,0.018,210.496,418.026,0.017,208.304,433.566,0.014,207.018,447.89,0.019,203.772,465.824,0.012,204,475.947,0.02,200.323,489.059,0.015,200,498.779,0.017,198.786,504.429,0.016,199,508.867,0.015,199,514.345,0.019,199,518.858,0.02,199,523.259,0.015,199,527.829,0.019,201.5,532,0.03,204.019,535.009,0.033,209.725,538.363,0.015,216.818,539,0.02,227.963,539,0.014,245.708,539,0.015,268.263,537.645,0.018,292.219,537,0.016,318.798,537.831,0.018,346.852,537,0.023,381.279,537,0.014,413.912,537.557,0.013,444.92,538,0.018,468.146,539,0.021,489.879,540.268,0.02,503.481,541,0.013,510.5,541,0.051,507.866,545.268,0.033,508,551.857,0.015,509.23,559.922,0.017,510.481,567.442,0.017,509.692,582.535,0.023,509.997,603.015,0.015,509,623.263,0.017,506.5,635,0.017,506.232,652.608,0.016,504.987,661.038,0.016,505,672.433,0.022,505,678.009,0.017,505,682,0.033,502.866,681.933,0.033,497.688,681,0.015,488.367,681,0.017,474.675,680.334,0.015,456.529,679.066,0.016,430.659,676.82,0.017,401.202,672.275,0.019,366.867,668.695,0.012,323.842,666.088,0.017,275.302,667.154,0.02,234.628,669.75,0.016,197.027,671.623,0.016,175.9,674,0.03,167.5,674,0.026,175.79,672.737,0.119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,2911,NFVG
512,409,0,474.957,414.406,0.018,451.197,415,0.019,430,415,0.013,388.719,414.072,0.017,359.958,412.796,0.021,330.122,412,0.012,301.663,410,0.019,274.119,409,0.015,249.373,408,0.023,233.85,407,0.021,223,407,0.041,223,409.153,0.049,218.792,412.208,0.01,216.527,421.367,0.019,213.326,435.716,0.014,211.018,448.891,0.017,208.801,470.987,0.019,206.615,486.463,0.015,204.693,504.268,0.049,202.835,532.661,0.023,203,536.726,0.014,204,542,0.053,208.093,543,0.037,215.748,543,0.014,238.313,542,0.016,273.078,540.049,0.021,312.475,537.817,0.013,348.248,536.519,0.017,389.562,537.32,0.015,417.13,537.938,0.017,433.11,538.37,0.015,449.622,541,0.017,454,541,0.02,457.122,537.939,0.032,462.077,538,0.014,467.211,538.737,0.016,471,540.5,0.02,474.43,543.215,0.031,479.8,546.267,0.035,488.148,547,0.017,495.624,546,0.01,499.536,547.268,0.049,494.925,551.151,0.036,491.643,555.357,0.032,492,559.165,0.032,492,565,0.032,492,573.921,0.014,492,587.568,0.021,490.55,599.25,0.021,490,615.408,0.017,489,628.876,0.016,489,650.283,0.025,489,663.058,0.012,490,679.801,0.024,490.923,689.769,0.018,492,698.934,0.019,492,711.5,0.019,490.729,714.542,0.03,485.142,714,0.018,434.336,712.631,0.016,352.562,715.76,0.026,267.342,719.092,0.013,211.424,720,0.014,190.785,716.178,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,2845,NFVG
498,416,0,462,412.5,0.015,438.431,413,0.014,414.502,413,0.021,369.585,413,0.015,343.044,414,0.013,309.123,414,0.019,274.874,415,0.02,246.618,415,0.016,223.606,416,0.024,203.138,416,0.021,191.756,416,0.007,192.178,418.178,0.017,192,424.648,0.012,192,434,0.02,192,443.769,0.014,192,459.54,0.014,192,475.219,0.017,193,497.09,0.02,195.668,513.677,0.022,197.914,534.398,0.017,200,550.208,0.016,202,564.253,0.019,203,569.905,0.013,204.997,574.995,0.019,207.178,572.822,0.034,212.145,572,0.017,225.593,570.63,0.015,246.722,569.41,0.015,272.816,568.182,0.014,302.383,567,0.019,331.514,566,0.012,359.372,565,0.026,386.945,564.204,0.022,422.071,563,0.019,439.918,561.608,0.012,455.532,561,0.016,463.707,561,0.02,468.236,562.118,0.057,465.731,565.135,0.05,466,571.375,0.023,466,577.831,0.013,466,586.693,0.012,466,594.425,0.017,466.677,600.031,0.015,466,611.643,0.016,466,623.092,0.016,466,628.857,0.016,466.65,641.899,0.022,468,658.002,0.011,470.326,665.305,0.019,470.497,674.989,0.013,471.753,682.259,0.027,473,686.94,0.016,475.239,689.239,0.069,472.888,691,0.05,466.404,691,0.02,459.868,691,0.014,439.828,691,0.022,410.772,692.513,0.018,372.028,696.552,0.011,327.507,702.074,0.018,278.808,708.546,0.026,222.399,716.169,0.017,189.059,718.988,0.018,187,716.677,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,2913,NFVG
