@relation RegistrosP3SLAP
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
500,408,0,433.655,404.744,0.017,389,402.5,0.016,346.477,401.274,0.02,284.873,398.087,0.015,251.765,394.471,0.013,233.684,395,0.017,217.586,399.683,0.016,207.278,403.889,0.018,198.244,407.378,0.017,194.116,411.325,0.016,191.319,418.723,0.019,191,430.437,0.015,189.816,444.107,0.017,190,461.471,0.015,191,481.804,0.02,192,502.873,0.014,193,521.099,0.016,197.392,536.353,0.019,198,550.563,0.01,200,561.593,0.016,204.33,565.11,0.022,209.851,564.537,0.015,221.614,563.298,0.012,249.241,561.058,0.019,284.688,555.664,0.015,324.937,546.133,0.017,369.488,541.648,0.017,408.879,538.15,0.016,443.488,536.822,0.018,469.761,535.567,0.015,489.897,537,0.018,499.521,538,0.015,498.925,541.224,0.012,497.601,545.797,0.018,495.393,550.82,0.016,493.122,559.511,0.016,493,571.777,0.02,493,590.235,0.02,493.427,607.154,0.011,494.171,626.634,0.017,492.912,646.788,0.016,492.681,665.555,0.016,491,684.493,0.02,490.199,699.807,0.017,489,711.323,0.019,489,716.531,0.025,481.349,712.232,0.018,470.081,708.694,0.023,452.657,705,0.013,416.748,702.75,0.018,376.023,703,0.019,336.138,706.186,0.01,295.114,710.736,0.019,254.887,712.595,0.017,222.353,715.664,0.019,194.695,718.217,0.017,180.027,720.329,0.016,170.836,721,0.017,175.755,721.061,0.126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,2166,SLAP
489,402,0,442.536,407.036,0.017,415.632,407,0.02,383.736,407,0.018,337.781,406.73,0.016,303.742,407,0.023,271.098,408.223,0.013,245.997,409.5,0.02,225.649,410,0.012,214.16,410,0.017,207.304,409,0.019,198.687,409,0.021,194,409,0.052,197.27,412.135,0.017,197,421.196,0.014,197.078,437.455,0.017,197,452.209,0.021,200,474.261,0.015,203.249,498.246,0.02,206.858,518.723,0.013,210.278,534.696,0.021,212.336,542.007,0.012,216.54,545.18,0.031,230.452,546,0.011,257.343,548.486,0.018,301.698,550.315,0.02,347.38,546.171,0.015,398.571,543.801,0.024,443.015,542.599,0.013,482.955,540.664,0.02,505.06,541.896,0.009,514.498,544.166,0.036,511.802,550.198,0.013,508.014,555.973,0.018,507,563.071,0.024,508.471,576.238,0.013,508.754,598.782,0.021,509.055,624.337,0.012,509,654.196,0.023,507.129,679.357,0.012,503.302,695.888,0.015,502.055,704.836,0.024,500.853,710.294,0.033,494.505,708.253,0.024,487.939,705.991,0.013,465.781,705,0.017,430.962,703.464,0.015,391.986,701.249,0.018,352.248,701.986,0.015,309.684,704.532,0.018,278.5,709,0.016,256.966,711.703,0.023,244.14,714.965,0.013,235.33,716,0.018,235.476,716,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,2175,SLAP
502,400,0,481.223,401.039,0.015,454.863,402.596,0.015,435.796,403,0.014,415.448,403.864,0.019,394.07,404,0.016,373.893,404,0.015,352.66,405.228,0.021,295.258,409.116,0.017,284.725,410.871,0.013,261.194,411.59,0.019,243.89,412,0.017,227.824,412.812,0.014,217.345,413,0.016,210.566,413,0.021,207.34,413,0.017,205.43,413,0.064,208.267,416.4,0.033,209.015,422.939,0.015,209,432.123,0.017,205.085,442.745,0.022,204.569,454.306,0.016,202.966,469.612,0.013,199.099,486.137,0.017,198.773,502.821,0.02,197.237,516.578,0.02,198.973,529.836,0.01,200.139,539.115,0.016,198.732,548.142,0.017,201.784,555.743,0.021,202.5,559,0.017,205,561.5,0.047,208.963,561,0.021,211.165,559.918,0.012,215.981,558.755,0.022,221.825,559,0.021,234.581,558,0.021,251.356,557.443,0.013,272.699,557,0.008,292.236,557,0.015,315.097,556.043,0.015,336.438,553.849,0.019,358.056,550.36,0.02,380.66,549.667,0.022,402.819,547.753,0.011,419.817,546.551,0.017,435.542,545.686,0.013,449.346,545,0.017,460.317,545,0.018,471.459,542.908,0.016,482.355,543,0.016,490.145,543,0.018,496.574,543,0.022,502.158,543.539,0.016,506.487,545.865,0.011,508.761,548.522,0.016,509.906,550.811,0.018,510,554.056,0.023,510,557.271,0.021,507.762,559.714,0.016,506.278,563.083,0.014,504.022,567.445,0.014,503,573.705,0.016,502.257,584.918,0.012,502,595.772,0.016,499.042,609.818,0.019,499,625.49,0.016,496.56,642.299,0.018,495.651,659.242,0.017,493.034,677.727,0.015,493.395,689.654,0.018,492.292,701.083,0.027,492.814,710.509,0.024,492.948,721.209,0.016,491.831,723.338,0.052,489.64,720.64,0.016,486.678,718.678,0.014,482.749,717.187,0.016,472.709,717,0.022,451.827,717,0.019,423.507,717,0.013,388.327,718.289,0.015,357.63,719.406,0.019,330,719,0.02,297.842,719,0.021,269.477,719,0.011,244.311,719,0.012,219.723,719,0.016,195.745,719,0.017,180.154,719,0.018,164.527,719,0.017,153.5,719,0.016,151.5,717.5,0.068,161.431,717.892,0.113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,1849,SLAP
512,410,0,460.768,407,0.016,429.777,407,0.02,397.738,407,0.015,354.694,407.515,0.006,328.886,407.738,0.019,302.365,408,0.013,274.043,408,0.013,249.548,409,0.024,221.367,410,0.015,209.607,411,0.024,201.393,413,0.014,197,414.5,0.036,201.82,418.91,0.016,205.282,421.188,0.015,208.424,425.848,0.017,209.641,438.205,0.019,210,454.909,0.013,211,474.316,0.021,213.707,496.536,0.016,214.621,519.592,0.016,215,536.126,0.021,215,548.441,0.014,215,553.715,0.086,219.087,549.971,0.012,228.728,547.654,0.016,246.5,548.5,0.018,276.728,549.591,0.012,313.075,551.057,0.016,349.328,548.691,0.021,392.24,545.569,0.012,423.731,545.533,0.029,451.003,547,0.01,470.141,547,0.018,486.985,551,0.013,493.5,554,0.034,494,556.146,0.021,491.615,562.156,0.015,489.302,567.396,0.017,489,572.92,0.016,490,583.079,0.015,492,595.371,0.016,494,613.144,0.018,496.951,632.554,0.016,499.365,652.641,0.021,502,673.716,0.013,503,691.039,0.017,503,703.732,0.02,501.937,706.125,0.029,494.928,703.732,0.017,491,701.5,0.033,483.209,697.736,0.019,464.644,699,0.012,433.225,700,0.032,363.292,700,0.009,323.366,700,0.023,286.018,701.109,0.018,253.813,704.625,0.025,219.142,710.372,0.011,205.393,712.435,0.015,193.38,714,0.02,189,715.5,0.012,192.488,711.634,0.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,2435,SLAP
502,402,0,459.949,406.861,0.015,427.185,407,0.017,390.924,405.62,0.015,350.303,401.816,0.02,325.227,397.343,0.02,300.455,392.879,0.014,274.575,390.657,0.021,253.001,389,0.021,235.762,389,0.016,217.638,390.06,0.019,206.523,393.591,0.02,195,400.5,0.018,193,405.554,0.019,190.983,411.05,0.016,189.72,419.122,0.013,188.5,432,0.015,189,446.938,0.017,188.99,466.912,0.016,188,489.601,0.017,187.523,507.339,0.017,190.444,527.778,0.016,191.97,543.787,0.016,193.211,555.053,0.016,196.453,560.906,0.017,201.797,563.699,0.017,211.715,562.057,0.017,227.475,559.816,0.016,252.67,555.151,0.017,280.36,546.324,0.016,309.862,539.263,0.017,338.994,535.847,0.016,368.147,535,0.017,390.91,533.372,0.015,412.836,533,0.017,437.238,534,0.033,462.43,536.972,0.014,471.919,542.19,0.017,479.927,553.879,0.014,482.211,562.842,0.017,483,570.559,0.016,484.302,586.888,0.02,485,602.531,0.017,484.817,621.462,0.016,486,643.795,0.017,485,662.918,0.018,484.086,680.395,0.018,483,697.127,0.016,483,711.531,0.024,480,719.417,0.018,476.991,724.004,0.016,469.986,720.493,0.027,460.554,715.036,0.019,445.431,712.27,0.017,417.974,708.998,0.023,381.752,707.639,0.012,344.488,705.442,0.02,306.769,706,0.011,272.465,705.039,0.017,243.742,702.795,0.02,217.21,701.421,0.015,195.911,701.644,0.02,183.4,702.9,0.016,177.705,704.147,0.018,176,708.185,0.017,184.789,708.737,0.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,2297,SLAP
507,403,0,463.616,409.673,0.011,433,411.5,0.015,402.458,413,0.017,357.485,414.056,0.016,327.095,415,0.016,292,417.5,0.02,255.451,419.753,0.015,229.587,422.038,0.022,208.806,424,0.011,190,425.5,0.017,177.588,426,0.02,167.096,426,0.017,168.479,427.16,0.019,174.406,428,0.013,178,432.137,0.017,181.353,437.707,0.023,182.553,448.867,0.013,184.612,466.64,0.019,186.051,482.408,0.013,188.306,500.141,0.024,189.524,512.143,0.017,191,524.064,0.013,190.981,530.037,0.037,193.18,534.36,0.051,203.441,534,0.014,218.659,535,0.021,249.893,539,0.014,287.162,542,0.017,332.917,542,0.013,382.895,540,0.017,420,540.5,0.02,458.854,547.581,0.011,486.719,552.12,0.024,501.123,557.561,0.011,507,560.5,0.035,503.467,564.266,0.02,500,570.016,0.012,499,582.155,0.028,500,595.644,0.017,501.136,623.954,0.021,506.007,644.357,0.017,504.602,663.819,0.014,503.475,679.209,0.016,499.907,686.186,0.019,495.286,687,0.016,488.682,688,0.024,482.273,687,0.018,470.063,688,0.013,455.029,689.424,0.017,429.752,690.659,0.018,397.392,691.907,0.015,363.098,693.193,0.021,329.215,695.362,0.013,291.921,699.26,0.015,261.689,701,0.016,238.588,702.141,0.027,216.742,702.452,0.016,207.854,702.285,0.011,204,702,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,2332,SLAP
515,405,0,462.117,404,0.014,428.102,405.85,0.022,398.055,407.073,0.014,355.727,408.36,0.014,335.678,408,0.02,312.33,407.212,0.013,288.284,405.94,0.018,268.595,406,0.014,251.117,406.555,0.02,238.299,408,0.016,222.826,410.029,0.016,215.11,410,0.021,210.012,411,0.011,205.206,412.265,0.034,202.888,414.224,0.05,208,416.5,0.031,211.215,428.076,0.02,210.527,440.835,0.015,211.672,458.044,0.019,210,476.353,0.012,209,494.652,0.019,205.545,510.187,0.02,199.785,524.572,0.012,199,534.61,0.024,197.158,540.316,0.018,201.805,545.805,0.017,206.496,546,0.016,213.057,548.019,0.016,222.313,549.263,0.021,246.185,552.476,0.022,272.118,555.259,0.016,329.016,558.119,0.017,369.951,558,0.022,403.286,559,0.019,434.693,559.177,0.012,461.761,560,0.017,482.654,561,0.017,497,560.5,0.015,504.385,562,0.017,506.021,564.041,0.032,502.519,569.722,0.019,496.422,578.156,0.02,495.984,588.92,0.013,494.737,602.838,0.018,494.473,623.204,0.019,493.272,647.279,0.013,492.059,670.703,0.017,492,686.641,0.017,492.476,698.379,0.018,491,705.5,0.052,486.833,701.916,0.033,481.385,696.924,0.011,472.17,693.39,0.017,452.836,694,0.015,415.767,694,0.014,365.5,695,0.018,326.521,693.502,0.012,291.881,694,0.016,263.823,696.289,0.02,239.609,697.488,0.013,217.874,698.732,0.017,205.009,699,0.025,197.6,701.2,0.042,204.388,702,0.123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,2501,SLAP
497,416,0,457.974,409.853,0.01,429.381,407.198,0.017,402.128,404.921,0.014,364.118,401.374,0.021,348.294,400.481,0.014,326.848,398.205,0.018,305.632,395.954,0.018,280.946,395.746,0.017,262.293,397,0.02,243.926,396.725,0.011,224.138,397,0.019,210.714,398.257,0.022,202.655,400.896,0.017,198.468,404.798,0.033,201.32,407.107,0.014,207.432,408.477,0.037,209,415.975,0.014,210.072,429.504,0.017,210.305,445.132,0.018,211.5,465.5,0.016,210.784,488.842,0.022,209,511.048,0.009,209,527.661,0.022,208,541.445,0.018,211,550,0.038,215.537,547.821,0.021,225.595,545.401,0.02,242.597,545,0.014,265.066,543.903,0.018,293.644,543.696,0.023,326.764,543.555,0.013,361.746,542.809,0.021,398.577,542.032,0.012,430.689,542.313,0.022,458.886,541.465,0.011,482.748,540.775,0.017,497.231,540,0.017,501.194,542.388,0.015,496.761,550.477,0.016,493.114,558.657,0.022,492,564.252,0.014,492,577.246,0.016,493.604,599.044,0.015,496.531,624.123,0.027,499.14,652.912,0.015,497.646,681.251,0.017,497.405,700.168,0.017,494.353,711.294,0.017,494.925,717.15,0.082,487.697,715.465,0.014,480.975,703.966,0.029,464.853,699.284,0.017,434,693.5,0.016,384.316,692,0.022,337.276,692,0.014,289.558,693,0.027,248.434,696.598,0.013,214.636,699.727,0.019,186.944,703.192,0.022,173.132,706.637,0.012,162.5,708,0.039,171.134,711.045,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,2409,SLAP
497,410,0,461.288,404.129,0.015,437.476,400.695,0.022,404.271,399.642,0.017,346,400.5,0.013,322.885,400,0.015,295.779,401.102,0.018,268.126,403.704,0.012,244.5,405,0.017,225.779,407,0.017,212.722,408,0.011,204.009,409,0.017,198.839,410,0.013,198,412.06,0.036,204,417,0.014,205.782,429.476,0.018,205.034,445.27,0.022,203.758,467.175,0.016,203.505,490.447,0.013,202.736,512.363,0.024,202,530.772,0.008,203.23,543.151,0.012,201.519,549.442,0.015,205.696,551.848,0.019,209,552,0.016,213.677,552,0.022,222.721,552.544,0.013,238.316,555,0.019,256.779,557.173,0.016,283.864,558,0.019,313.5,556,0.02,344.796,555,0.012,378.163,554,0.025,409.355,552,0.009,436.185,553.031,0.014,457.826,550.272,0.021,477.711,548.971,0.016,487.979,548,0.02,493.796,548,0.035,493.899,555.202,0.022,492.698,560.603,0.017,492,565,0.035,491.912,573.736,0.016,492,583.903,0.019,494,596.829,0.012,495,613.239,0.017,496.112,631.101,0.026,495.244,648.974,0.011,496,665.334,0.015,495,678.101,0.02,496.145,689.276,0.011,496,697.395,0.017,494.638,703.085,0.035,492.645,703.822,0.017,488.682,700.682,0.035,483.656,700,0.019,474.344,700,0.022,454.654,703.313,0.022,396.683,710.518,0.012,354.137,711,0.016,313.877,710,0.018,276.975,710,0.012,246.984,709.501,0.021,220.543,710,0.013,198.854,711.015,0.015,186.874,711,0.019,180.034,712,0.016,176.463,712,0.052,182.693,709.769,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,2701,SLAP
503,400,0,468.423,393.804,0.013,439.597,390.246,0.018,406.897,387.926,0.016,356.982,384.629,0.014,328.731,384,0.018,290.539,384.859,0.012,255.2,385,0.02,230.869,385,0.015,213.5,385,0.015,202.255,386,0.017,192.667,388.083,0.017,188.379,390.621,0.037,191,399,0.03,194.014,404.029,0.014,196.277,408.554,0.019,199,415.071,0.019,201.712,427.984,0.017,202.996,442.973,0.02,207.42,460.678,0.015,207.491,476.947,0.02,209.319,496.444,0.012,210.96,511.719,0.016,212,525.288,0.023,211.426,533.703,0.011,211.685,543.742,0.014,212.928,550.857,0.019,213,555.299,0.024,216.052,553.948,0.015,219.808,550.596,0.017,234.951,551,0.018,250.818,551,0.017,279.821,551,0.017,310.515,552.368,0.017,345.619,552,0.019,388.514,553.183,0.018,427.907,551.84,0.01,464.394,551,0.017,490.058,552.562,0.017,504.15,555.788,0.015,509.102,557.051,0.036,505.591,562.818,0.026,498.246,567.754,0.024,495.882,576.592,0.013,497,590.654,0.016,496.374,610.882,0.015,498,635.425,0.019,498.817,660.189,0.02,498.343,684.742,0.011,497.388,703.9,0.02,498,716.29,0.012,496.92,722.241,0.017,492.644,724.178,0.032,485.253,719.084,0.022,478.289,712.467,0.013,457.295,706.717,0.017,424.025,702.718,0.017,376.175,703,0.016,332.543,704.165,0.018,293.451,705.728,0.016,258.574,709.628,0.015,232.359,713.728,0.017,210.942,716.132,0.017,193.069,717.366,0.016,186.208,716,0.021,187.046,717.023,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,2571,SLAP
