@relation RegistrosP4CACA
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
198,413,0,258.831,402.862,0.017,300.5,400.5,0.017,342.733,400,0.017,400.729,402.021,0.017,432.924,404,0.019,457,406,0.017,470.775,409.51,0.016,475,410,0.082,475,414.357,0.034,470.3,421.933,0.018,472.129,434.968,0.017,477.837,452.594,0.017,482.611,477.036,0.017,487.898,507.838,0.017,491.38,540.352,0.016,493,575.053,0.017,492.817,609.741,0.017,490.574,640.535,0.017,490,665.397,0.016,490,684.404,0.017,490,692.493,0.017,486.642,694,0.034,479.963,692,0.017,469.929,692,0.021,443.355,693.508,0.012,408.456,695.752,0.016,374.025,697.998,0.017,338.9,699.241,0.018,298.746,701.974,0.017,265.035,701.538,0.016,238.18,704,0.017,219.884,701.777,0.017,212.588,700.529,0.016,212,696.194,0.034,214.2,689.399,0.017,214,682.661,0.017,212.616,665.463,0.016,211,643.61,0.017,206.817,620.173,0.017,204.15,595.326,0.018,203.98,571.595,0.016,203.916,550.752,0.017,201,531.85,0.017,197.59,516.539,0.018,200,506.036,0.016,201.268,502.464,0.033,206.764,503.255,0.018,221.036,503.246,0.017,246.005,504,0.016,277.694,504,0.017,307.876,505.491,0.017,340.318,507,0.022,372.714,509.978,0.014,400.704,512.451,0.017,416.316,512,0.016,418,517.68,0.017,416.959,521.123,0.017,411.67,525.989,0.018,403.555,546.89,0.016,392.908,569.002,0.016,385.736,585.33,0.017,382.688,596.247,0.018,379,605,0.032,368.261,615.826,0.021,349.43,618.286,0.019,310.798,620.35,0.029,279.589,612.726,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,2741,CACA
194,404,0,263.531,404.616,0.021,314.138,400.241,0.02,376.652,397,0.014,425.883,393.51,0.008,459.161,394,0.012,483.475,398.246,0.017,493.103,401.701,0.017,499.233,405.233,0.053,497.955,416.179,0.012,498.88,440.521,0.017,499.615,471.077,0.017,501,503.475,0.014,503,536.816,0.011,501.106,570.151,0.011,499,602.5,0.018,501,629.5,0.019,500.993,655.974,0.013,498.175,675.889,0.029,501,688.5,0.015,494.504,693.248,0.017,483.182,693.955,0.012,459.867,695.348,0.014,427.661,698.704,0.014,389.857,702.104,0.016,351.476,704,0.022,310.54,704,0.02,279.694,701.837,0.014,245.426,699.346,0.025,213.994,699,0.016,194,698.5,0.02,188,696.5,0.017,185,691.248,0.014,186,681.936,0.018,184.111,657.776,0.014,185,617.5,0.016,186.86,585.121,0.018,189.241,558.074,0.018,189.394,536.971,0.016,188.03,521.121,0.016,190.334,510.999,0.024,195.025,508,0.023,204.256,508.451,0.015,222.617,508.198,0.016,252.695,505.812,0.017,287.985,504,0.018,325.225,503.922,0.016,356.593,505.288,0.026,373.908,507.636,0.014,383.025,508,0.017,390.756,510.252,0.017,397.777,510,0.016,404.462,510,0.03,403.8,514.399,0.013,402,521.202,0.016,403,533.87,0.021,400.682,558.226,0.018,399,585.091,0.02,400,601.21,0.015,399,611,0.041,393.845,610.922,0.037,378.942,606.764,0.016,366.449,607,0.016,342.5,606,0.016,313.11,605.889,0.016,295.974,606,0.019,286.5,609,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,3923,CACA
198,407,0,261.041,398.995,0.017,296.883,396.757,0.017,332.352,397,0.016,381.484,397.734,0.017,406.778,399.96,0.018,432.228,401.223,0.016,457.588,402,0.017,474.68,404.71,0.015,485.861,406.954,0.009,490.411,408.206,0.066,491,412.536,0.018,490,417.37,0.016,490,428.584,0.018,491.676,443.731,0.017,493.921,465.206,0.017,496.166,491.158,0.017,502.824,515.535,0.016,508.312,548.185,0.017,510.9,581.399,0.016,513.144,615.296,0.016,513,645.456,0.018,513,669.992,0.015,511,689.29,0.017,508.875,702.626,0.017,504.891,711.109,0.034,498.524,712,0.017,493.048,711.016,0.016,478.197,713.225,0.017,439.982,716.943,0.017,389.383,721.717,0.017,354.548,721.036,0.017,319.489,720,0.017,283.7,719,0.017,255.002,716.6,0.016,238.413,713.059,0.016,226.862,710.81,0.018,220.719,708.573,0.017,217,706.5,0.032,216,700.932,0.033,213.589,692.766,0.017,210.686,683.059,0.016,207.195,666.781,0.016,204,647.651,0.016,199.608,624.686,0.019,195.64,601.323,0.015,194.882,577.183,0.016,194.873,553.731,0.016,196.372,535.654,0.018,196,519.91,0.015,197.864,507.682,0.017,198,502.778,0.017,198,498.293,0.049,203.694,497,0.017,208.181,497,0.016,221.355,497,0.018,241.223,496.42,0.016,264.898,497,0.017,288.701,498,0.024,315.439,498.313,0.022,348.157,499,0.016,364.562,499.927,0.017,373.689,500,0.016,381.682,502.42,0.016,386.5,502,0.033,391,504.5,0.017,392.199,508.397,0.034,395.534,516.3,0.017,398.013,525.05,0.017,400.257,538.539,0.018,399.5,556,0.017,401.253,570.228,0.018,400,586.945,0.019,396.644,610.493,0.018,395.395,618.815,0.015,395,623,0.033,389.539,621.846,0.023,382.884,623,0.01,373.194,621.049,0.017,356.427,621,0.017,337.905,618.558,0.017,321.495,617.312,0.016,311.201,613.134,0.015,305.662,610.831,0.017,300.194,610,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,3245,CACA
180,413,0,226.262,409.514,0.017,260.636,409.273,0.018,297.554,408.026,0.017,350.603,407,0.016,382.893,407,0.017,412.495,406,0.014,436.573,405,0.017,454.394,405,0.026,468.658,405.443,0.014,483.409,405.803,0.016,488.107,406,0.014,493.625,407.313,0.013,497.531,407,0.051,495.924,411.152,0.034,493.5,420,0.019,494,437.335,0.019,493.012,459.881,0.015,493,483.742,0.018,493.462,506.616,0.015,492,534.906,0.016,492.984,560.914,0.017,494.238,589.089,0.019,494.518,616.747,0.017,497.27,638.758,0.017,499.962,658.693,0.019,499,675.935,0.019,500.538,688.385,0.012,499.314,695.057,0.015,497.5,699,0.032,493.643,701.179,0.033,489.942,702,0.049,485.464,703,0.033,475.86,704,0.016,459.301,704,0.017,425.5,706.5,0.018,391.437,710.542,0.017,354.785,712.013,0.016,312.582,714.258,0.023,278.649,715.491,0.018,250.774,715,0.013,227.037,714,0.017,212.578,713,0.016,205.554,710.518,0.033,207.358,706.463,0.018,208.345,702.311,0.018,207.587,696.238,0.016,208,686.837,0.017,210,670.452,0.017,209,650.102,0.018,208.5,630.5,0.016,210,605.878,0.016,211.058,582.424,0.017,212.304,561.261,0.018,214.5,543.5,0.017,214,526.449,0.017,214,515.851,0.016,214.282,509.435,0.033,216.535,506.732,0.034,223.405,506,0.017,241.47,503.614,0.018,269.133,502.374,0.015,294.455,502,0.017,322.52,502,0.017,354.447,502,0.018,381.081,503.608,0.015,394.559,505.853,0.017,398,507.5,0.016,395.535,513.698,0.018,396,519.423,0.016,395,528.767,0.018,395.196,547.767,0.017,395,561.688,0.016,396.684,577.104,0.016,398,587.747,0.017,399,595.712,0.016,397.583,602.251,0.017,395.5,606,0.032,390.95,609.033,0.017,381.282,610,0.018,368.5,614,0.017,345.769,614.769,0.018,325.849,615,0.017,306.418,613.736,0.017,295.5,613,0.017,283.5,612,0.017,280,612,0.016,261.872,612.241,0.132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,3397,CACA
193,404,0,244.034,402,0.017,275.203,402,0.016,305.776,400.587,0.017,351.957,400,0.016,385.445,399.091,0.017,413.998,397.846,0.017,440.028,398,0.019,463.512,397,0.016,483.352,397,0.016,492.4,398,0.017,499.145,399.382,0.014,503.536,400,0.05,499.762,404.238,0.032,497.271,409.458,0.018,496,417.895,0.017,494.78,433.537,0.016,498.454,452.082,0.017,501.708,475.371,0.016,503.955,501.464,0.017,507.398,528.783,0.017,510.335,557.23,0.017,511,581,0.017,512.935,609.219,0.017,514.178,633.779,0.017,515,658.208,0.017,515.33,680.034,0.016,515,696.415,0.017,512.838,709.811,0.016,509.593,716.815,0.017,507.5,722,0.032,502,723.5,0.016,496.476,723,0.017,490.5,723,0.016,476.228,721.248,0.017,445.961,721,0.017,410.1,722,0.017,374.125,722,0.016,339.013,722,0.017,304.289,722,0.016,271.88,719.777,0.017,245.822,717.529,0.016,226.987,716.284,0.017,216.154,714.039,0.016,209.595,711.798,0.017,205.104,711,0.032,198.543,705.181,0.018,198,699.828,0.016,198,695.391,0.017,199,687.5,0.017,197.2,672.403,0.016,199,654.682,0.017,198.289,632.107,0.018,195,608,0.017,196.22,582.425,0.016,200.023,560.817,0.017,201.806,538.312,0.017,201,525,0.016,201.759,510.723,0.017,202,505.5,0.017,206.376,504.812,0.018,211.85,506,0.016,224.04,506,0.021,248.232,507.103,0.018,280.149,506,0.014,309.353,503.403,0.017,339.936,502.159,0.016,369.121,502,0.017,391.003,504.334,0.019,399.154,507.577,0.017,400.178,511.645,0.017,398.932,516.136,0.016,399,521.943,0.018,399,531.352,0.017,397.196,552.04,0.017,393.905,573.474,0.016,394,591.068,0.018,394,602.691,0.016,394,611.569,0.017,392.986,614.029,0.049,388,616.5,0.017,374.22,616,0.017,355.884,618.011,0.035,313.599,618,0.015,284.802,617.257,0.017,275.03,616,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,3183,CACA
179,402,0,233.615,398.787,0.017,273.809,398,0.017,310.931,398,0.016,365.944,398.947,0.017,402.043,400.19,0.017,432.078,400.434,0.017,453.1,399.317,0.016,462.775,399,0.016,467.295,399,0.084,476.093,398,0.017,480.554,398,0.016,484.537,399,0.033,488.013,399,0.065,491.134,401.268,0.05,488.732,406.803,0.034,489,417.819,0.017,491.218,435.74,0.017,493,463.026,0.017,494,492.903,0.016,494.047,524.298,0.016,495,555.986,0.016,496.558,589.073,0.018,501.374,619.303,0.016,504.854,647.981,0.017,507.357,671.965,0.016,507,689.946,0.017,507.67,704.349,0.015,506,713.743,0.017,503.839,718.321,0.082,496.958,717,0.017,492.476,716,0.016,481,713.5,0.016,457.706,712.246,0.017,428.023,710.003,0.016,391.935,708.522,0.016,355.785,708.519,0.016,316.065,709.267,0.017,281.376,709,0.017,249.868,710,0.02,225.856,711.468,0.017,210.728,709,0.017,206,706.081,0.017,204.9,703.799,0.032,204,696.911,0.017,204,689.801,0.018,205.307,679.157,0.017,203,660.5,0.016,206,640.617,0.017,204.041,618.587,0.017,202,595.812,0.017,196.5,576.5,0.016,200.779,555.984,0.017,202,538.801,0.017,206.538,525.387,0.015,209.5,516,0.018,210.758,507.727,0.017,212.5,504,0.017,213.165,500.671,0.067,217.107,502,0.017,223.06,503,0.017,236.77,504.596,0.015,256.419,505,0.017,279.884,505,0.015,303.626,505,0.019,330.347,505,0.016,357.051,505.823,0.017,378.632,507,0.016,392.864,510.621,0.017,396.537,512.537,0.049,395,516.161,0.017,395,521.796,0.019,395.782,527.345,0.019,396,545.05,0.017,396,558.407,0.017,397,574.117,0.016,397,589.337,0.016,398.129,602.775,0.017,398,613.506,0.017,397.381,619.237,0.016,397,623,0.066,392.464,621.732,0.033,386.056,621,0.016,375.947,618.579,0.017,365.708,616.542,0.018,352.33,613.582,0.017,339.195,611.098,0.016,329.041,609.808,0.016,313.383,608.436,0.017,304.247,608,0.016,292.336,606.067,0.017,283.482,607,0.149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,3849,CACA
192,408,0,259.161,404.834,0.021,299.369,402.181,0.018,342.081,399.346,0.017,400.631,398,0.018,432.75,398,0.017,459.551,399,0.017,480.803,400.634,0.019,491.527,402.882,0.016,495,406.247,0.05,492.732,410.537,0.021,493.598,437.78,0.013,494,458.405,0.016,493.913,481.953,0.028,492.337,507.312,0.01,490.427,533.733,0.015,487.181,560.006,0.016,484.934,587.855,0.016,484,613.717,0.019,483,636.125,0.017,482,655.603,0.017,482,673.38,0.016,479.419,685.744,0.017,478.465,692.606,0.017,477,699,0.076,465.095,701,0.01,455.697,701.884,0.017,424.422,705.263,0.017,386.358,708.376,0.016,347.46,712.62,0.015,306.186,715.863,0.019,268.471,717.102,0.017,242.095,717,0.017,226.019,714.807,0.016,220.316,711.316,0.016,219,705.761,0.018,219,698.687,0.018,217.5,685.5,0.018,215.176,662.758,0.016,211.93,640.301,0.017,209.695,613.646,0.014,208.56,588.404,0.017,208,564.996,0.017,207.957,543.612,0.017,206,525.637,0.018,207,516,0.016,207.5,511,0.032,211.296,511,0.017,220.006,509.599,0.017,247.674,508,0.015,281.339,507,0.017,317.002,507,0.016,347.807,509.37,0.017,375.749,510.614,0.016,393.299,513.86,0.017,399.104,518.208,0.034,399,522.966,0.015,399.722,529.889,0.017,399.966,544.69,0.016,403.633,561.688,0.017,404.457,584.575,0.017,407.706,599.529,0.017,405.12,607.82,0.018,403.903,610.194,0.033,398.628,613,0.017,390.366,614,0.017,370.323,615.168,0.018,347.394,613.581,0.019,321.785,614.342,0.015,303.549,614,0.017,292.393,611.848,0.151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,2763,CACA
197,400,0,241.135,399.686,0.015,272.888,396.346,0.019,314.316,393.965,0.014,345.925,394,0.017,379.388,394,0.013,406.666,397.111,0.012,434.459,399,0.016,456.209,401,0.01,478.654,404.207,0.011,493.802,404.601,0.015,501.899,406.949,0.019,506.464,407,0.067,503.665,415.005,0.015,501.5,432.5,0.02,502,458.574,0.022,501,480.711,0.017,500,506.234,0.01,500,532.23,0.012,500.491,558.071,0.01,498.218,585.128,0.016,496.747,609.023,0.029,498.614,629.071,0.012,499.993,652.974,0.016,501,673.954,0.013,500,692.626,0.022,495.906,708.282,0.014,492,713,0.02,481.678,715,0.027,459.529,715.434,0.018,429.535,715,0.016,400.61,715,0.015,369.954,714.561,0.021,341.846,714.106,0.013,312.632,712.704,0.018,285.294,713.366,0.016,259.746,712,0.017,238.696,712.384,0.02,219.285,712,0.014,205.592,712,0.016,196.03,711,0.013,190.734,704.201,0.026,190,686.055,0.011,189.961,662.312,0.021,189,637.693,0.017,191,614.917,0.019,195,592.555,0.012,199.432,570.841,0.022,202,551.006,0.015,205.166,534.335,0.017,209,519.5,0.018,208.131,512.393,0.015,213.533,505.733,0.033,228.135,505.227,0.015,249.257,506.608,0.016,277.647,507.039,0.013,309.618,507,0.025,340.703,506.287,0.011,367.688,506,0.016,386.142,506,0.015,401.814,508,0.016,409.932,508,0.012,415.356,509.178,0.024,413.349,517.302,0.021,411.96,530.24,0.015,409.602,545.988,0.021,408.234,567.832,0.018,405,586.71,0.023,405.509,598.964,0.026,403.139,608.581,0.008,403,613.289,0.065,396.659,614,0.019,387.098,613.951,0.025,373.728,614,0.018,355.138,614,0.016,339.499,614,0.022,326.776,613,0.017,312.226,612.075,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,4549,CACA
200,406,0,243.769,397.747,0.017,274.472,392.353,0.015,305.349,388.832,0.019,356.429,385.184,0.018,392.856,384.603,0.016,430.018,386.767,0.015,463.055,389.294,0.022,488.921,393.73,0.014,509.372,397.597,0.013,521.46,400.865,0.019,523.5,404,0.016,524.774,407.452,0.031,520.36,411.64,0.017,513.859,424.329,0.013,503.27,442.768,0.018,498.712,460.577,0.012,497.183,480.169,0.016,498.139,503.762,0.024,498.588,531.822,0.011,501.576,564.059,0.019,504,597.897,0.02,505,633.843,0.01,502.685,667.412,0.018,501,693.529,0.022,500,708.348,0.019,496.929,714,0.045,490.999,715,0.015,460.789,712.239,0.016,410.954,715.114,0.021,370.571,712.622,0.016,329.813,709.116,0.013,286.326,706.317,0.016,248.069,702.886,0.023,216.347,698.668,0.015,192.116,693.779,0.02,178.762,687.609,0.016,175,679.564,0.018,178.69,659.203,0.023,187.723,630.684,0.016,195.317,600.391,0.017,202.251,570.346,0.013,206.679,550.434,0.023,204.446,533.674,0.015,206,520.826,0.012,206,512.77,0.036,213.127,510.468,0.015,230.449,511,0.013,258.58,513,0.018,294.721,514,0.015,331,513,0.021,361.781,515.505,0.012,382.226,518.05,0.02,392.783,521.522,0.017,392.489,526.534,0.014,393,537.408,0.017,396.102,554.817,0.02,399.355,572.836,0.012,403.219,589.657,0.016,403.149,600.255,0.017,399.789,607.317,0.016,392.848,612.768,0.017,377,616,0.024,359.197,615.171,0.014,340.466,610.822,0.016,324.26,606.315,0.017,307.466,607,0.015,297.561,607,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,2505,CACA
180,411,0,227.23,406.118,0.017,259.873,403.875,0.017,291.158,404,0.018,337.599,404.614,0.016,371.03,405.859,0.019,401.302,408.1,0.016,431.91,409,0.019,456.333,410,0.015,475.711,411,0.017,491.493,413.082,0.016,501.665,414,0.017,505.701,416.401,0.017,504.979,419.042,0.034,500.136,424.864,0.017,501.678,437.068,0.016,503,452.381,0.017,504,473.328,0.016,504,499.322,0.017,504.655,521.177,0.015,507.701,546.705,0.016,509.146,572.605,0.017,508.605,597.954,0.018,509,625.971,0.016,508.124,652.632,0.022,508.125,678.498,0.019,506,699.705,0.016,500.382,717.092,0.015,494.411,729.315,0.017,488.796,736.204,0.021,480.605,738.349,0.019,462.832,741.595,0.015,431.519,745.685,0.017,396.709,747,0.016,366.724,745.671,0.016,333.748,745,0.016,298.663,744,0.017,265.138,741.938,0.017,237.258,737.064,0.018,215.666,733.889,0.016,201.2,727.6,0.016,191.876,721.876,0.017,188.709,711.543,0.018,187,696.711,0.016,186.219,674.408,0.016,184.975,648.726,0.017,184,622.781,0.018,182.516,593.296,0.015,182,564.861,0.016,181.993,539.935,0.018,182.367,515.898,0.011,184.231,509.769,0.016,190.453,505.273,0.017,212.251,501.792,0.016,250.718,501,0.017,289.599,502.6,0.016,327.329,506.686,0.017,359.294,512.259,0.016,377.341,519.003,0.019,390.158,526.737,0.016,393,532.645,0.017,391.932,537.136,0.016,389.687,548.88,0.018,382.323,569.03,0.018,373.395,589.617,0.016,367.901,602.247,0.015,365.705,609.885,0.033,361.424,613.788,0.018,357.957,615.014,0.017,345.796,613.724,0.017,339,612.5,0.017,324.122,609.471,0.017,306.961,608.994,0.022,304.225,608.483,0.245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,2840,CACA
