@relation RegistrosP4JACCH
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
198,385,0,239.545,397.954,0.019,253.63,401.658,0.015,273.992,402,0.018,291.034,404.339,0.018,320.183,399.636,0.016,350.204,393.977,0.017,382.259,389.638,0.019,407.205,388,0.016,427.215,387,0.017,440.151,388,0.018,451.178,389.726,0.017,459.203,391,0.016,466.23,392.41,0.015,478.251,393,0.017,486.184,394,0.032,492.266,398.266,0.034,494.338,408.015,0.018,498.358,423.755,0.016,503.025,447.148,0.016,505,477.942,0.018,506.296,508.629,0.016,502.955,534.271,0.017,501.616,559.221,0.019,504.726,576.356,0.016,503.935,597.261,0.017,502.591,615.862,0.018,504.747,628.987,0.017,505,643.552,0.016,505,656.285,0.016,504.771,664.541,0.017,504,669.228,0.017,503,678.831,0.016,503,687.81,0.017,504,698.715,0.017,494.608,707,0.018,480.816,699.89,0.013,462.693,696,0.017,443.185,694,0.017,418.557,696.063,0.017,395.598,698.4,0.017,369.018,699.748,0.017,339.317,704.171,0.017,312.606,707.424,0.016,288.298,700.689,0.017,261.987,694.887,0.017,241.757,692.551,0.017,226.825,690.206,0.017,216.616,687.872,0.017,207.587,686.529,0.016,199.368,688,0.017,191.704,688,0.041,189.93,677.652,0.018,188.597,653.581,0.018,188.254,621.034,0.017,188,589.316,0.016,187,559.042,0.017,186,534.925,0.017,186,525.784,0.017,190.894,515.213,0.017,196.586,508.414,0.016,203.268,503.866,0.031,215.166,497,0.011,230.542,497,0.016,249.333,499.267,0.017,272.658,502.61,0.016,295.546,504,0.017,318.018,506,0.018,341.408,507,0.018,364.844,507.974,0.017,382.577,505.685,0.018,394.307,502.347,0.016,400,502,0.017,404.021,509.062,0.018,407.359,530.235,0.017,413.399,550.596,0.017,416,566.123,0.017,416,579.53,0.018,411.277,596.17,0.016,407.5,603,0.016,398.805,607.797,0.018,371.293,612.491,0.017,336.143,618.086,0.017,304.082,619,0.017,274.02,600.323,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,4656,JACCH
187,400,0,256.355,406.21,0.016,279.295,408.43,0.017,299.936,409.66,0.015,330.757,411.887,0.017,354.368,414.114,0.016,381.094,414,0.018,410.418,413,0.016,435.773,413.202,0.017,455.198,410.951,0.016,472.036,408.746,0.017,483.411,407.518,0.015,486.533,406.734,0.151,486,415.823,0.017,486,431.281,0.017,487,450.248,0.017,487.636,473.724,0.015,488.864,497.37,0.016,491.092,522.196,0.017,494.632,542.529,0.018,498.5,569.5,0.016,498.771,596.711,0.017,498,624.004,0.017,492.313,647.518,0.016,488.103,662.692,0.017,485.318,677.091,0.023,484.093,685.722,0.016,485,693.404,0.017,486.368,700.104,0.016,486,704.799,0.049,482.71,704.903,0.02,462.113,700.389,0.015,445.268,696.317,0.017,429.608,694.935,0.017,414.635,693.704,0.017,396,693,0.016,375.532,692,0.017,353.287,691.026,0.017,332.423,691,0.017,309.745,691,0.016,296.113,689,0.015,278.716,689,0.017,263.135,690,0.016,249.006,691.332,0.018,235.055,692,0.016,221.059,693,0.017,210.933,693,0.017,199.764,691.753,0.016,194.058,693.471,0.015,195.266,691.867,0.034,192.753,681.517,0.017,191,655.513,0.018,191,627.629,0.017,193.35,597.378,0.016,193,565.613,0.018,193,543.977,0.015,192,532.576,0.017,192,526.842,0.017,190.689,521.379,0.017,193.266,516.468,0.033,197.113,508.775,0.018,203.007,504.328,0.03,208.12,500.88,0.024,216.693,498,0.017,226.643,496.871,0.017,242.141,497,0.018,256.232,497,0.017,275.48,497.81,0.017,295.362,500.033,0.017,315.34,502.26,0.019,337.385,502,0.017,359.169,504,0.016,375.591,504,0.017,388.856,504,0.017,393.779,504,0.082,397.076,506.038,0.032,402.532,507,0.066,403,519.609,0.017,404.329,535.973,0.018,403.556,558.005,0.016,404,575.279,0.017,405.011,592.063,0.016,405,598.476,0.016,405,602.532,0.067,400.737,606.175,0.018,389.589,606,0.017,367.301,606,0.016,342.726,605,0.017,313.458,601.831,0.017,294.871,599.609,0.018,283.767,599.383,0.016,290.164,602.164,0.114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,3795,JACCH
196,391,0,253.181,389.256,0.016,281.587,388,0.017,309.087,389.417,0.016,334.096,389.762,0.016,365.916,391.102,0.016,397.001,391.445,0.016,421.722,391.787,0.017,439.755,393,0.017,457.883,394.471,0.017,465,394,0.032,471.75,396.375,0.019,479.432,399.716,0.016,486.11,402,0.016,493,405,0.049,496.191,412.287,0.017,499.5,426.5,0.016,502,461.245,0.018,500,489.651,0.016,498.5,514.5,0.017,497.105,550.736,0.017,494.528,586.834,0.017,493,616.612,0.016,492.083,643.17,0.017,490.743,667.795,0.017,486.403,685.79,0.016,485,692.871,0.019,485.276,700.551,0.028,485,711.534,0.016,471.864,712.716,0.015,444.144,701.064,0.017,419.768,701,0.018,390.723,697.34,0.016,363.998,698,0.016,340.607,698,0.018,310.55,697,0.016,280.819,693.977,0.016,254.098,692,0.019,229.631,691,0.017,210.775,691,0.017,194.449,691,0.018,188.645,692.177,0.067,190.747,680.519,0.017,189.917,653.417,0.017,192.423,619.197,0.016,196.539,581.996,0.017,201.108,548.816,0.016,206.89,529.221,0.016,207.789,514.053,0.017,210,505.744,0.049,218.094,503,0.016,238.311,503,0.016,270.624,504.385,0.019,302.471,504,0.017,339.505,502.05,0.017,371.164,503,0.019,382.487,505,0.016,389.977,511.977,0.017,401.316,536.632,0.018,407,567.716,0.016,404.987,586.063,0.016,401.646,593.708,0.026,395.89,599.073,0.018,375.103,604.974,0.017,342.896,612.828,0.017,313.797,609.485,0.017,302,595.5,0.016,291.853,558.737,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,4061,JACCH
205,397,0,245.626,396,0.017,270.038,396,0.017,289.942,396,0.017,308.233,395.442,0.015,320.256,394.218,0.017,339.084,392,0.016,366.313,396.71,0.017,389.589,403.397,0.017,408.643,404.695,0.016,431.291,404.921,0.017,450.19,407.149,0.016,463.22,408.37,0.02,474.414,409,0.016,479.671,410,0.017,482.115,411.058,0.049,486.531,413.265,0.033,490.154,414,0.101,495.153,421.204,0.017,496,431.974,0.018,502.119,442.796,0.016,505.571,457.854,0.017,505.99,474.063,0.016,508.485,491.184,0.017,504.531,509.282,0.017,506,531.858,0.015,506.921,548.37,0.018,504.854,568.023,0.021,505,590.327,0.017,503,603.602,0.017,501,622.982,0.029,499,645.263,0.016,497.61,657.559,0.013,497.619,668.094,0.014,498.156,679.219,0.018,498,683,0.017,499.301,686.601,0.018,497.735,690.529,0.032,491.687,694.104,0.017,481.379,695,0.017,462.5,697.5,0.017,440.005,698.785,0.017,417.874,700.013,0.016,390.598,705.721,0.017,368.451,708.91,0.017,347.662,708,0.016,326.692,707.923,0.017,306.947,708,0.017,288.656,706.628,0.018,273.376,706.396,0.016,257.36,702.34,0.017,243.714,698.885,0.016,230.024,699,0.017,218.5,695,0.017,209.784,692.261,0.016,203.102,690.034,0.016,199.619,685.619,0.017,196.58,672.058,0.028,191.482,648.928,0.008,190,630.11,0.011,189,615.521,0.017,189,596.483,0.017,190,572.923,0.016,192.801,548.29,0.017,194.126,533.243,0.016,196.698,519.206,0.018,197.579,509.841,0.016,202.842,506.079,0.017,210.577,502.856,0.016,219.501,499.625,0.018,238.806,495.399,0.015,254.642,495,0.017,275.457,495,0.017,296.166,496,0.017,314,499,0.017,333.171,499.739,0.016,354.59,501.966,0.017,374.77,503.197,0.017,396.254,503.407,0.018,405.582,503.645,0.016,411.5,505.5,0.033,410,511.853,0.016,407.119,528.965,0.016,407.334,540.664,0.015,406.104,560.067,0.015,404.876,574.87,0.016,402.647,591.469,0.018,399.424,598.153,0.016,397.5,602,0.033,391.712,605.144,0.017,384.879,607.374,0.018,367.194,608.399,0.015,344.065,605.172,0.017,318.282,600.89,0.017,299.716,596.429,0.016,278.5,593.5,0.017,273.531,593,0.016,270,591.5,0.033,276.928,586.763,0.114,0,0,0,197,3727,JACCH
176,396,0,236.597,391,0.016,263.681,387.702,0.018,294.778,388,0.016,319.873,390.984,0.017,346.61,398.979,0.019,388.272,405.662,0.015,428.029,410,0.017,454.388,409.659,0.018,464.379,405.311,0.017,470,405,0.066,478.102,403,0.017,484.78,399.61,0.033,492.798,399,0.033,495,410,0.018,492,433.916,0.012,492,462.048,0.016,495.094,499.016,0.017,501.782,539.799,0.017,501.77,585.996,0.017,492.855,621.579,0.016,488.087,642.479,0.016,487,656.985,0.018,488,665.188,0.015,488,674.153,0.018,488,683.776,0.013,489.842,691.684,0.016,493.188,699.376,0.017,495.266,706.532,0.067,485.703,701.352,0.019,463.699,694,0.015,444.969,692,0.017,426.291,688.658,0.021,400.875,684.319,0.016,368.797,684,0.016,335.373,688.363,0.019,307.479,694.704,0.016,286.731,694,0.017,273.86,691.62,0.025,262.817,689.272,0.018,250.804,688,0.017,241.776,685.592,0.017,226.559,684.14,0.02,208.519,680.346,0.033,200.551,671.654,0.011,193.435,649.346,0.021,191,620.668,0.01,192,592.262,0.011,196.5,569,0.017,200.851,552.521,0.011,203,533.929,0.022,204,520.558,0.015,205.95,512.101,0.016,211.578,505.422,0.02,218.25,501.375,0.018,234.775,497.028,0.02,258.523,496,0.018,290.203,496,0.016,315.986,497,0.017,342.015,499.336,0.019,365.382,501.676,0.016,384.066,502,0.017,394.712,502,0.034,401.798,501,0.018,406.245,506.978,0.018,407.837,529.862,0.017,409.173,551.212,0.017,412.5,572.5,0.016,412,592.425,0.017,409.423,602.577,0.012,401.928,613.072,0.013,389.717,612.239,0.017,358.043,601.348,0.017,319.288,594.881,0.023,296.971,590.985,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,4319,JACCH
198,385,0,246.95,387,0.017,267.117,386,0.016,286.5,388,0.016,310.979,391.872,0.017,338.31,399.437,0.017,368.879,400.554,0.015,396.38,402.897,0.017,418.865,401.767,0.017,432.314,401.578,0.016,444.529,400.094,0.017,452.509,397.746,0.017,460.433,398,0.016,472.275,400.11,0.025,485.567,396.216,0.017,493.472,396,0.017,496,398.168,0.035,498,413.483,0.019,500.641,439.71,0.017,500.5,473.5,0.017,502.893,508.141,0.017,502,542.872,0.028,495.858,571.998,0.021,492,603.174,0.017,491,625.803,0.017,491,646.962,0.016,493,662.18,0.017,490.613,673.549,0.017,489,686.906,0.017,487.5,694,0.017,486.968,700.032,0.018,472.435,696.145,0.018,446.797,694.225,0.017,421.215,695,0.017,391.472,694.559,0.016,366.246,695.208,0.016,340.076,692.868,0.016,313.743,690.527,0.016,291.492,689,0.017,272.381,686.845,0.017,250.561,686,0.017,239.65,684.163,0.017,224.312,682.828,0.017,213.5,682,0.015,206,680,0.017,200.468,676.734,0.033,197.779,654.674,0.017,196,630.632,0.018,196,604.96,0.016,198.242,577.82,0.017,201.581,557.512,0.016,203.923,537.307,0.018,206,528.212,0.017,208.177,522.645,0.034,213.282,513.155,0.017,216.622,505.756,0.014,219.266,500.468,0.034,226.94,497.353,0.016,241.961,497,0.016,264.924,497,0.018,290.697,495.33,0.015,312.063,490.99,0.017,336.099,489,0.018,358.845,490.692,0.016,374.131,491,0.016,390.486,494.372,0.019,400.137,495.712,0.017,405.055,498.055,0.033,407.5,508,0.016,409.848,528.631,0.017,414.381,554.906,0.016,411.5,571,0.017,410,591.36,0.017,409,603.629,0.017,408,612,0.05,390.281,608.641,0.017,361.353,602.088,0.017,319.789,602.801,0.016,289.755,608.415,0.017,286.833,609.583,0.158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,4593,JACCH
186,400,0,247.245,399,0.016,280.431,400.27,0.017,324.346,406.612,0.016,360.42,407.048,0.017,399.166,408.288,0.016,431.066,406.367,0.017,454.856,405.976,0.016,469.594,408.319,0.018,479.312,404.344,0.016,485.112,401.944,0.049,489.246,405.492,0.017,494,419.5,0.016,498.929,446.506,0.017,502.273,479.186,0.017,504.611,525.385,0.015,506,563.518,0.017,508.29,597.898,0.017,508.631,623.415,0.016,509.976,644.88,0.016,512,661.262,0.017,511,675.971,0.015,509,686.972,0.024,506,692.678,0.028,498.202,700.266,0.018,485.928,699.643,0.018,461.399,695,0.016,437.699,693,0.017,412.186,693,0.012,385.206,692,0.016,358.509,696.061,0.017,328.762,699.405,0.016,299.797,699.257,0.017,275.603,697.921,0.017,251.612,696.423,0.017,232.637,694.234,0.016,216.688,694,0.016,205.672,692.557,0.016,198,692,0.033,194.642,683.926,0.018,190.306,663.448,0.016,190,630.673,0.017,192.378,595.838,0.018,198.155,568.253,0.017,205.11,544.506,0.017,207.5,524,0.017,208,512.291,0.017,210.191,504.426,0.017,215.07,496.396,0.016,221.625,487.25,0.016,229.64,484,0.017,246.229,489.115,0.016,273.158,493.895,0.017,304.117,492.765,0.017,332.904,489,0.016,351.448,492.842,0.017,370.042,496.26,0.019,393.411,500.603,0.016,403.879,500.06,0.016,404.852,511.262,0.016,409.387,536.354,0.017,410,567.5,0.017,411.873,597.108,0.018,409.785,615.646,0.033,393.335,614.001,0.015,375.962,604.994,0.017,361.274,599.655,0.018,331.106,602.379,0.016,295.778,608.025,0.016,272.519,608.63,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,3934,JACCH
207,396,0,255.191,402.871,0.018,281.073,404,0.017,302.93,401.674,0.019,330.865,403,0.017,347.991,403,0.017,366.038,402.994,0.017,384.044,402.773,0.017,399.205,405.458,0.017,420.866,406.687,0.016,440.252,408.917,0.031,455.84,410,0.011,467.193,411,0.016,477.395,412.599,0.016,483.5,413,0.033,486.163,415.081,0.116,488,418.151,0.018,489.5,424.5,0.017,490.753,440.274,0.017,493.982,459.802,0.016,497.207,478.658,0.017,499,501.769,0.017,499.338,519.285,0.016,497.218,537.236,0.016,494.887,557.135,0.017,496.344,572.063,0.018,497,586.994,0.015,497,599.983,0.017,494.975,617.223,0.017,494,630.518,0.017,491.524,641.381,0.016,491,654.828,0.016,491,662.794,0.017,491,673.793,0.017,491,685.943,0.018,490,690.223,0.015,490,693.533,0.018,480.53,695,0.018,462.455,696.318,0.018,445,697.5,0.016,419.278,700.772,0.017,392.017,707.995,0.017,367.731,712.454,0.017,349.891,715.913,0.017,330.528,717.684,0.016,310.798,719.911,0.016,296.044,720,0.017,279.099,718.637,0.019,268.449,714.816,0.018,254.899,711.36,0.017,245.812,706.953,0.016,237.934,702.467,0.017,227,698.5,0.016,221.56,696.28,0.019,216.101,695.05,0.01,211.638,693.819,0.017,207.18,693,0.016,201.718,691.359,0.016,197.263,690.132,0.016,194.913,687.913,0.017,192.684,679.419,0.018,189.455,657.094,0.017,189,633.273,0.017,191,609.995,0.016,194.225,586.745,0.017,200.355,561.482,0.017,203.683,542.534,0.016,206.818,530.454,0.016,209.134,520.463,0.017,212.365,514.27,0.016,215.18,510.41,0.016,218.632,507.184,0.016,223.082,503.959,0.017,232.363,503,0.019,243.5,503.5,0.017,260.304,504,0.016,279.677,505.954,0.017,304.016,507.183,0.017,326.521,507,0.017,344.699,507.633,0.015,364.173,508.862,0.015,375.46,511.092,0.017,390.236,514.639,0.018,396.5,518,0.033,400.114,521.114,0.035,404.36,535.759,0.016,406.909,556.905,0.017,405.868,577.192,0.017,403.639,596.53,0.018,401.412,605.176,0.015,397.202,608.532,0.018,388.392,608,0.016,370.914,606,0.018,350.669,604.611,0.015,327.744,606.841,0.017,306.514,610.069,0.017,296.822,611,0.181,0,0,0,0,0,0,0,0,0,193,3797,JACCH
201,396,0,242.837,400,0.018,268.384,400.769,0.017,303.883,407.11,0.016,333.516,406.548,0.017,364.303,412.576,0.017,393.325,414,0.016,415.303,413,0.016,431.247,411.188,0.017,445.61,407.848,0.017,454.483,407,0.017,460.667,407,0.016,468.35,405.825,0.017,476.5,404,0.017,481.533,402.467,0.014,487.761,408.641,0.018,493.219,433.195,0.017,498,464,0.017,497.202,490.991,0.017,498.24,521.397,0.017,498.418,549.816,0.016,501.923,572.539,0.018,503.264,598.32,0.017,501,607.811,0.016,499,622.782,0.017,500.284,633.135,0.018,499.373,652.509,0.015,497.068,662.864,0.017,495.695,675.221,0.019,499,686,0.036,496.891,691.218,0.034,489.303,694.899,0.017,468.34,692.763,0.016,437,692,0.016,406.684,692,0.017,388.804,692,0.019,370.616,693,0.016,349.513,696.936,0.017,326.105,699.271,0.017,302.917,698.383,0.017,282.288,696.048,0.015,263.847,690.731,0.012,243.78,687.356,0.021,224.132,687,0.016,214.387,686,0.013,207.206,684.735,0.033,197.789,678.155,0.014,192.5,659.5,0.015,190,627.761,0.017,192.365,597.078,0.017,197.413,570.35,0.023,199.044,545.648,0.012,200,531.881,0.013,200,517.407,0.016,203,507.925,0.026,209.532,502.734,0.036,217.169,500,0.025,235.612,501.435,0.014,258.973,503,0.016,283.647,503,0.023,309.112,502,0.01,330.994,501,0.016,350.004,497.857,0.018,370.36,498.472,0.017,386.22,497.39,0.018,396.322,497,0.01,399.952,501.143,0.024,402.976,520.856,0.015,405,539.45,0.013,407.319,562.298,0.019,408,579.959,0.013,408,596.038,0.016,405,602.552,0.022,399.549,605.887,0.021,373.466,602,0.017,342.776,600,0.02,297.184,602,0.018,283.5,603,0.161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,4556,JACCH
201,394,0,237.778,399.347,0.018,256.836,401,0.016,280.132,404.033,0.017,299.841,405.368,0.027,339.548,406,0.072,416.545,406,0.017,432.916,408.183,0.02,447.14,408,0.015,456.726,409.863,0.021,463.412,410,0.016,473.192,408.452,0.016,483.777,405.111,0.017,490.336,402.832,0.032,495.102,407.153,0.017,502.372,419.965,0.018,512.801,452.269,0.01,516.272,489.993,0.018,514.388,526.728,0.016,512.046,557.583,0.017,510,577.065,0.018,508.366,602.436,0.015,503.048,625.856,0.017,498.361,640.917,0.018,497,653.315,0.01,496.002,660.997,0.017,494.659,670.024,0.018,494,683.038,0.016,494,689,0.017,493,695.948,0.033,485.918,701,0.017,468.693,697.384,0.023,446.818,698,0.017,428.102,699,0.017,410.894,699.518,0.016,394.715,699.143,0.017,373.603,698.2,0.017,356.221,699,0.017,333.728,698,0.017,310.903,698,0.017,293.517,695.44,0.016,272.495,692.099,0.017,247.329,692,0.026,228.495,692,0.046,206.645,690.823,0.041,203.711,683.133,0.015,195.75,658.624,0.014,192.032,631.259,0.017,192.311,604.886,0.017,193,577.161,0.016,194.992,559.031,0.017,198.332,539.673,0.016,201.674,529.305,0.016,206.025,512.937,0.017,208.354,504.292,0.016,211.266,497.201,0.033,217.378,491.811,0.035,231.968,491,0.017,252.012,494.169,0.017,279.5,496.5,0.017,307.954,499.851,0.017,333.334,504.191,0.017,354.5,509,0.016,375.363,510,0.016,392.853,510,0.016,401.106,507.447,0.016,407.532,505.734,0.1,404.969,515.092,0.016,401.628,532.858,0.018,400.288,555.694,0.017,400,572.255,0.017,400,588.945,0.018,402,597.468,0.017,403,603,0.083,385.019,600.255,0.017,354.878,596.788,0.017,315.927,597.552,0.016,289.875,602.781,0.016,279.537,600.537,0.163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,4749,JACCH
