@relation RegistrosP4JAGR
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
182,414,0,206.716,410.698,0.022,225.694,408.431,0.011,248.971,407,0.014,288.074,408.09,0.016,316.139,410.318,0.022,349.656,410,0.015,383.894,411.743,0.017,414.949,412,0.015,443.62,412,0.02,467.14,413.512,0.013,487.301,416,0.02,500.927,417,0.014,508.546,419.182,0.066,504.074,429.778,0.015,502.793,449.867,0.016,502,484.635,0.015,506.024,524.493,0.019,509.089,564.398,0.015,509.818,604.087,0.017,510,641.877,0.016,507.031,673.53,0.017,502.303,698.09,0.015,497.56,717.027,0.02,496.627,722.747,0.012,493,724,0.051,482.65,718.825,0.017,465.108,715.277,0.017,440.044,712.806,0.016,408.045,710.12,0.015,371.06,709,0.023,334.747,707.691,0.028,276.615,706,0.011,244.604,706.89,0.017,215.989,709.309,0.014,188.032,706.147,0.016,181.142,707,0.024,175.999,704.999,0.038,176.109,699.521,0.019,184.213,676.625,0.017,188.988,653.064,0.02,191.582,621.446,0.025,186.411,564.753,0.015,184,533.947,0.02,183,510.478,0.013,183,495.039,0.017,184.268,491.464,0.031,188.041,488.959,0.029,200.688,487,0.019,215,486,0.015,239.995,486,0.021,266.069,488.148,0.013,296.721,488,0.021,330.096,488,0.014,363.412,490.894,0.023,391.758,493.095,0.022,419.437,497.986,0.017,425,498,0.085,419.151,508.546,0.028,413.21,538.113,0.015,413,564.797,0.019,414.271,586.443,0.011,415,604.433,0.017,412.23,616.081,0.02,412,624.5,0.027,406.68,621.893,0.032,397.017,620.754,0.02,375.577,616.014,0.018,355.09,613.281,0.021,335.26,613.963,0.027,305.212,616.298,0.014,298.5,616,0.031,292.981,614.99,0.159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,3038,JAGR
186,411,0,240.228,408,0.014,276.306,410.144,0.016,314.778,414.797,0.02,364.908,418,0.015,402.849,418,0.015,435.362,418,0.018,457.108,417,0.017,471.956,417,0.014,482.481,418,0.02,487.121,417,0.016,492.622,418.208,0.032,495.5,423,0.034,498.157,434.942,0.017,500.439,448.636,0.013,506.197,483.871,0.016,510.777,529.432,0.019,513,575.983,0.014,513,622.941,0.013,505.974,657.263,0.016,496.591,685.67,0.022,489.84,701.32,0.012,488,710.373,0.023,484,714,0.026,479.053,714,0.014,465.586,715,0.022,443.853,718,0.023,409.326,718.333,0.012,370.315,719,0.02,329.628,720.125,0.014,284.5,720,0.011,245.032,720,0.009,212.359,718.113,0.019,185.742,714.72,0.015,171.361,714,0.021,172.84,707.481,0.017,179.221,697.338,0.023,186.648,681.084,0.015,190,657.736,0.012,189.824,626.462,0.016,186.92,589.793,0.016,184.674,554.117,0.025,183.536,526.105,0.011,183.804,502.767,0.023,181.998,486.986,0.011,186.193,487.154,0.02,212.662,494.165,0.014,247.423,499,0.033,302.336,503,0.021,337.157,502.417,0.015,366.911,502,0.015,387.325,502,0.019,398.226,500.693,0.017,401.353,501,0.034,400,505.271,0.023,400,517.904,0.024,402.851,561.862,0.013,407.475,605.018,0.023,411,633.065,0.018,408.667,643.583,0.013,403.315,645,0.016,397.799,640.698,0.019,389.163,630.775,0.023,368.893,621.631,0.017,351.554,620.938,0.017,331.838,626.436,0.026,304.77,636.057,0.015,284.032,638.548,0.017,270.864,637.973,0.024,265.587,635.794,0.053,269.399,630.301,0.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,2885,JAGR
181,409,0,227.5,410.5,0.014,260.943,411.93,0.019,292.472,414.177,0.016,348.447,415,0.016,377.5,414,0.019,414.478,416,0.015,450.079,419.245,0.014,483.657,424.783,0.02,499.175,429.596,0.014,507.485,430.871,0.019,508,433.164,0.051,506,436.53,0.038,503.773,441.68,0.016,505,452.769,0.017,503.072,473.422,0.014,502,498.37,0.022,499.22,518.902,0.013,498.373,549.399,0.016,494.333,580.335,0.018,492.692,611.155,0.021,494,639.474,0.016,493.395,665.047,0.012,491.135,685.055,0.019,488.93,697.351,0.017,487.754,702.491,0.05,485.729,706.541,0.031,482.241,710.518,0.021,475.762,711,0.018,463.442,712,0.012,447,713.5,0.021,414.21,711.248,0.017,377.816,711,0.009,336.343,709.731,0.019,291.115,701.933,0.022,250.168,696.278,0.013,204.767,695,0.017,184.945,695,0.022,175.878,696,0.013,175,693.893,0.034,176.275,688.451,0.02,184,668.5,0.015,185,649.284,0.016,187.005,620.941,0.017,185.727,588.182,0.02,185.478,560.259,0.015,187.717,535.544,0.016,189.958,517.293,0.021,192.225,508.324,0.012,194.466,501.603,0.016,195.266,498.467,0.067,202.042,499,0.02,211.918,497.216,0.014,227.329,499.041,0.025,251.041,501.253,0.014,277.718,503.52,0.014,305.565,507.472,0.015,334.956,509.993,0.016,365.735,510.267,0.022,389.191,509.466,0.013,404.659,509.268,0.018,411.952,509,0.015,410,513.033,0.025,407.274,524.916,0.012,409.5,542,0.019,408.767,567.903,0.012,412.044,591.436,0.017,411.754,602.985,0.023,404.734,611.633,0.016,396.714,612,0.017,377.508,605.457,0.027,353.947,602.662,0.011,329.436,602,0.01,307.298,604.838,0.014,291.28,610.308,0.02,280.015,613.656,0.015,275.463,614,0.051,269.542,610.847,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,3387,JAGR
180,410,0,223.084,403,0.015,249.855,404.321,0.022,278.933,406.533,0.015,322.638,408.776,0.016,356.633,409.037,0.014,389.356,409,0.016,417.426,409,0.016,444.83,408.736,0.02,465.822,407.02,0.017,485.062,407,0.022,496.476,407,0.012,506.5,410,0.033,508.073,411.146,0.037,507.581,426.225,0.015,505,444.719,0.017,504.845,472.928,0.014,504.667,506.661,0.022,507.533,537.929,0.026,507.091,587.446,0.013,505,623.426,0.022,501.236,654.202,0.013,498,680.661,0.017,495.396,705.417,0.017,491.736,723.793,0.011,488.618,732.147,0.019,486.735,735.529,0.052,482.804,734.902,0.02,475.285,734.548,0.015,457.53,730.632,0.012,429.527,727.041,0.017,396.707,722.613,0.017,361.81,719.154,0.02,323.993,713.666,0.012,287.503,707.25,0.018,257.748,702.827,0.022,234.193,697.239,0.012,217.419,695,0.016,210.258,694,0.016,205.743,694,0.025,200.291,693,0.011,195.776,692.388,0.011,189.193,691,0.022,184.646,688.823,0.066,184.075,680.375,0.021,184.173,661.271,0.013,186.439,637.173,0.017,190.327,606.045,0.025,193.896,572.666,0.013,192.84,543.766,0.015,191.163,519.397,0.016,191.356,501.136,0.017,189.109,488.437,0.017,190.109,482.783,0.036,197.593,480.628,0.013,208.988,479.855,0.018,228.274,484.347,0.016,251.737,486.338,0.019,283.468,489.149,0.013,317.622,493.683,0.016,352.358,501.339,0.016,385.903,506.981,0.017,409.565,511.571,0.015,423.575,515.788,0.017,427,516,0.067,420.745,520.883,0.016,411.343,529.313,0.014,401.452,543.097,0.017,397.617,561.062,0.018,396,579.543,0.016,395,599.561,0.019,396,616.703,0.027,397,625.871,0.031,392.649,628.176,0.02,386.043,628,0.016,371.856,625.428,0.03,332.225,621.102,0.013,306.247,617.825,0.074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,3114,JAGR
180,400,0,235.692,395.021,0.015,267.111,392.761,0.021,298.416,389.542,0.016,348.707,385.311,0.019,380.899,385,0.017,408.051,388.186,0.015,431.83,394.277,0.015,451.592,402.968,0.018,468.183,411.591,0.018,485.409,421.881,0.02,497.392,439.19,0.015,509.752,456.879,0.02,517.582,479.605,0.013,526.549,509.648,0.02,531.71,542.742,0.011,533.617,580.726,0.017,532.161,615.949,0.018,522.395,647.511,0.015,513.225,672.549,0.021,503.748,685.126,0.011,493.801,689.68,0.018,480.745,695.085,0.013,468.418,697,0.019,457.736,701.088,0.014,437.435,706.391,0.018,415.5,710.1,0.018,385.338,710.305,0.016,357.43,709.547,0.016,323.373,708.243,0.019,287.961,703.998,0.023,255.268,698.752,0.012,233.533,696.504,0.016,212.12,691.606,0.018,195.187,690,0.014,188.539,689,0.037,182.433,686.217,0.023,174.732,677.665,0.014,168.371,660.113,0.018,164.453,643.074,0.014,164.789,630.056,0.015,167.059,615.525,0.022,173.763,592.71,0.013,179,557.5,0.019,181,513.245,0.016,182,482.02,0.017,184.167,474.666,0.043,189.394,482.484,0.012,196.911,495.866,0.009,205.662,502.441,0.023,218.025,503,0.012,239.697,504,0.018,268.961,505.935,0.017,301.284,509.41,0.017,331.157,511.44,0.016,354.337,512,0.018,370.441,509.186,0.014,385.016,505.831,0.019,393.118,506.373,0.023,404.301,516.602,0.016,413.021,533.053,0.016,417.521,544.303,0.023,420,556.82,0.013,419.727,566.91,0.018,420.039,577.765,0.016,415.366,596.692,0.018,412.545,607.364,0.012,404.991,607.33,0.025,391.795,597.912,0.014,374.602,591.101,0.014,354.276,594.121,0.019,325.128,596.777,0.012,300.797,600.023,0.024,290.18,601.273,0.028,287.27,595.078,0.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,2721,JAGR
177,412,0,217,408.5,0.014,246.247,409,0.019,277.444,409,0.014,329.798,411.587,0.02,357.429,410,0.017,392.825,410,0.017,425.005,411,0.02,453.844,412.237,0.017,477.5,413.5,0.017,490.519,413,0.019,497.915,412,0.016,502.288,415.288,0.018,502,426.879,0.015,501.905,446.333,0.016,502,473.365,0.015,503.447,503.154,0.02,504,533.823,0.017,504.9,568.699,0.015,509.335,603.176,0.017,511.409,633.5,0.016,511,654.774,0.014,508.224,666.552,0.018,505.899,676.404,0.016,499.241,678.379,0.017,495.783,681.608,0.015,490.333,684.667,0.016,483.736,688.176,0.021,475.626,691.687,0.016,463,696,0.019,450.11,701.63,0.013,429.521,708.16,0.027,410.478,712,0.012,381.613,713,0.022,346.691,709.692,0.011,311.226,697.727,0.02,282.297,689.509,0.012,259,686.5,0.019,245.299,687.74,0.012,237.007,688,0.017,231.559,689,0.022,226.606,691,0.011,221.187,692.271,0.037,214.613,692,0.012,207.594,690.531,0.02,204,689.5,0.029,200.88,687.88,0.037,199,678.229,0.012,196.451,656.805,0.02,194,629.587,0.015,193,599.933,0.022,190.489,570.871,0.011,189,543.844,0.018,189,522.978,0.017,190.243,510.784,0.017,190,503.545,0.02,191,500,0.032,196.11,496.927,0.018,203.253,492.678,0.012,218.767,492,0.017,243.815,492,0.02,274.444,492,0.013,307.154,493.303,0.016,339.5,494.5,0.021,364.143,494.762,0.013,391.342,499.031,0.017,403.782,502.261,0.013,409,504.5,0.085,403,519.264,0.017,402.511,543.358,0.011,405.471,570.089,0.016,405.964,592.674,0.017,402.357,609.714,0.013,400.529,617.412,0.036,396.906,619.031,0.027,380.32,616,0.019,356.164,615.211,0.012,327.389,613.944,0.024,303.196,611.742,0.012,283,611,0.017,273.481,608,0.023,269.506,609.494,0.136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,3122,JAGR
182,407,0,252.517,391.774,0.019,295.146,395.915,0.017,336,402,0.012,409.866,407.881,0.02,450.476,409.204,0.016,482.583,408,0.019,497.19,405.362,0.012,503.5,406.5,0.104,497.588,417.65,0.016,496,443.869,0.016,494,488.1,0.017,502.384,531.305,0.012,509.18,574.354,0.018,510.879,612.909,0.017,511.216,645.028,0.015,510,663.172,0.019,505.972,678.38,0.013,502.069,685.861,0.021,499.843,690.315,0.036,498.732,694.537,0.03,494.972,696,0.014,485.113,696,0.017,464.932,695,0.02,436.824,694.177,0.012,399.891,690.778,0.017,358.506,687.279,0.015,315.828,687,0.019,278.188,686.188,0.014,246.314,687,0.024,223.01,688.284,0.013,209,690.5,0.018,200.645,692,0.019,195.007,693.996,0.022,192.747,694,0.111,190.873,685.235,0.021,189,658.981,0.013,188,629.073,0.017,185.895,594.316,0.024,185,558.251,0.018,185.7,518.002,0.018,186.933,499.467,0.015,188.185,483.891,0.018,188,478.467,0.066,192.284,481.284,0.022,201.035,481,0.015,216.278,482,0.016,239.104,482,0.016,281.036,481,0.01,309,482.5,0.021,336.213,482,0.014,361.037,482.094,0.012,374.651,484.33,0.02,383.124,483,0.014,388.5,484.5,0.146,391.017,494.069,0.027,396.776,521.27,0.013,400.644,545.733,0.021,403.863,568.764,0.014,405.125,591.254,0.02,403.311,604.723,0.014,401.388,612.224,0.016,401,616,0.036,398.962,614.924,0.026,380.849,610.106,0.016,357.12,605.812,0.017,330.059,604,0.017,305.516,604,0.02,292.827,605,0.014,283.252,607.875,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,3347,JAGR
191,408,0,219.418,401.398,0.015,238.912,400,0.021,258.979,399,0.017,291.347,400.353,0.016,318.111,403.159,0.014,344.538,402.776,0.018,371.491,404,0.015,397.723,403.323,0.014,419,404,0.019,439.04,400,0.016,454.202,401,0.017,466.856,403.309,0.018,477,404,0.016,485.226,403,0.015,491.013,404.004,0.034,493,407.404,0.02,492.016,413.935,0.02,493,430.821,0.011,495.493,452.438,0.018,497,479.52,0.015,500.897,508.433,0.021,502,538.188,0.012,500.553,569.806,0.016,498.34,597.262,0.031,495.945,640.331,0.019,495.706,661.352,0.01,492,677.5,0.022,488.513,688.231,0.011,485.973,695.054,0.036,481.508,699.492,0.016,472.355,699.271,0.016,460.999,699,0.019,448.822,696.804,0.01,426.571,693.508,0.016,408.842,691.284,0.021,388.583,689.073,0.013,366.23,689,0.021,342.842,687.584,0.012,316.232,686.326,0.018,291.994,686.09,0.018,266.078,685.84,0.011,243.224,686.42,0.023,227.637,686,0.011,216.431,686.892,0.015,210.599,687,0.048,207,682.061,0.02,205,674.253,0.018,204,661.619,0.021,202.62,647.1,0.017,193.623,614.965,0.017,191.674,589.411,0.021,188,535.605,0.008,185.822,513.222,0.017,183.59,500.951,0.02,184.64,491.442,0.014,185,487,0.033,200.12,487.265,0.017,214.962,487.495,0.014,230.447,487.745,0.016,252.766,488.974,0.023,280.488,490.207,0.011,310.73,492.481,0.019,337.994,494,0.017,366.355,494.95,0.013,392.527,498.211,0.016,407.49,499.415,0.017,416.34,500.67,0.014,417,504.158,0.022,411.492,514.061,0.012,404.236,529.113,0.018,400.954,545.182,0.017,400,563.121,0.023,397.524,584.281,0.016,397,602.474,0.017,396,610.364,0.031,389.884,613,0.023,377.335,614,0.013,362,614,0.018,336.118,613,0.013,306.683,610.976,0.016,287.074,611,0.015,276.907,608.454,0.027,273.465,608,0.106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,3333,JAGR
180,414,0,207.91,409.509,0.017,232.349,409.696,0.02,263.108,411.936,0.016,312.681,412,0.021,361.5,411,0.015,395.182,409.201,0.018,424.351,407.973,0.017,450.503,409.318,0.017,470.5,410,0.017,485.909,412.727,0.017,493.001,414,0.117,492.02,423.899,0.017,494.223,440.788,0.014,495,463.459,0.015,501.06,495.676,0.013,506.938,528.503,0.015,508,560.509,0.022,505.315,586.477,0.012,501.326,612.442,0.016,498.152,635.316,0.015,494.823,654.241,0.019,491.229,665.314,0.017,488.363,676.546,0.017,487.124,681.751,0.013,484.751,687.374,0.031,483.823,692.355,0.032,477.573,692,0.013,461.146,693.482,0.02,436.186,693,0.015,403.896,693,0.021,369.52,694.218,0.017,336.298,694,0.014,299.605,694.671,0.019,266.255,695,0.016,243.585,694,0.022,232.439,694,0.012,224.442,694,0.021,220,694,0.014,216.74,693,0.02,209.929,688.197,0.017,201.558,674.395,0.021,192.694,650.852,0.019,184.022,602.667,0.016,181,572,0.018,178.052,540.619,0.016,181.388,521.446,0.019,183.826,505.521,0.016,185.677,497.968,0.022,186.448,494.104,0.02,191.447,493.724,0.018,201.165,496.027,0.017,216.846,496,0.02,240.868,497.489,0.02,269.689,497.713,0.013,299.891,498.992,0.018,329.917,500.224,0.024,356.468,498.544,0.012,379.028,500.406,0.017,394.795,501,0.017,402.601,502.2,0.035,402.98,506.078,0.025,403.378,516.026,0.013,407.277,537.386,0.021,412.734,568.535,0.019,420.251,602.76,0.014,420,619.97,0.017,413.545,624.727,0.019,410.946,626.027,0.032,405.836,625,0.019,399.549,624.183,0.013,387.421,622.917,0.023,364.745,622.296,0.013,335.639,622.566,0.02,303.697,623.775,0.013,275.402,619.88,0.017,258.688,614.422,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,3217,JAGR
184,405,0,212.13,397.419,0.017,239.502,395.542,0.021,264.167,395,0.016,303.329,395,0.019,336.068,395,0.019,368.435,395,0.015,397.092,395,0.02,424.693,396,0.019,451.045,397.157,0.018,464.783,397,0.013,481.384,397,0.015,486.69,398,0.02,489.106,400.106,0.037,494.885,404.443,0.015,496.5,409,0.035,500.073,415.147,0.013,502.317,421.951,0.022,504.585,435.923,0.014,505,446.562,0.016,503.785,468.715,0.013,505.294,487.942,0.026,503.478,515.304,0.01,499.664,544.346,0.018,495.975,573.15,0.018,492.462,601.957,0.019,488,630,0.019,484.565,651.458,0.013,483,671.022,0.015,482,689.411,0.019,479.521,700.915,0.015,478.648,710.704,0.021,476.157,715.921,0.011,474.905,718.191,0.069,470.988,719.006,0.017,465.115,719,0.018,453,718,0.016,427.428,714.243,0.016,395.277,709.897,0.025,366.654,706,0.012,337.131,704,0.014,306.85,703.715,0.017,276.27,703,0.016,248.459,700.494,0.019,232.157,701,0.016,216.544,701,0.013,205.131,700,0.013,197.541,698,0.036,192.642,696.821,0.05,192.628,689.885,0.016,190,671.264,0.015,187.116,649.16,0.02,185.891,624.806,0.016,185,598.338,0.018,183.5,576.5,0.016,183,555.457,0.018,183,537.168,0.016,185.366,521.437,0.019,186.579,508.683,0.012,189.826,500.522,0.017,190,493.727,0.018,192.217,489.565,0.049,200.033,491,0.016,205.913,492,0.019,216.026,494,0.027,241.125,495.912,0.016,262.81,498.302,0.026,285.882,498.706,0.014,311.446,500.62,0.015,337.407,501.145,0.017,364.436,502,0.023,386.302,504.33,0.012,405.243,505,0.024,416.426,506,0.011,420,506,0.134,415.73,510.27,0.021,414,515.919,0.017,412.104,523.583,0.015,410.848,535.761,0.025,409.915,552.894,0.013,407.385,569.304,0.02,405.837,588.529,0.014,406.124,601.62,0.022,402.672,614.313,0.02,401,625.387,0.016,399.5,629,0.019,397.973,628.987,0.02,389.352,629,0.017,373.233,628.641,0.017,345.441,631,0.028,317.718,629.883,0.012,298.292,627.613,0.017,280.905,625.381,0.017,269.685,624,0.017,266,624,0.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,3908,JAGR
