@relation RegistrosP4JLAP
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
199,403,0,276.917,401,0.015,294.91,401,0.017,313.726,403.345,0.018,329.84,405.71,0.016,342.304,406,0.016,354.776,407.444,0.011,367.399,406,0.006,381.854,407.171,0.017,395.136,406,0.016,408.585,406,0.017,423.032,407,0.018,431.875,407,0.015,438.976,406.012,0.017,446.708,407,0.016,454.685,405,0.017,460.301,405,0.016,468.382,405,0.017,476.107,404.947,0.016,485,405,0.032,492.034,405.011,0.032,494.821,409.357,0.034,494,415.721,0.034,494,425.541,0.016,496.422,438.055,0.016,497,448.725,0.016,497.059,458.763,0.016,500.309,469.927,0.017,499.212,477.576,0.017,499,483.231,0.033,498.638,493.915,0.015,500,503.013,0.017,498.636,513.457,0.018,498.73,523.922,0.017,499,532.197,0.016,497.542,538.915,0.017,497,546.649,0.016,494.81,553.381,0.017,495.447,561.105,0.016,494.082,569.755,0.018,494,579.84,0.018,494,591.932,0.015,494,604.026,0.017,493,615.13,0.018,493.262,624.475,0.017,493,632.205,0.017,492,640.4,0.017,492,649.499,0.016,492,658.39,0.017,492,668.121,0.016,491.076,676.849,0.017,492,685.86,0.018,492,692,0.033,491,699.206,0.033,486.643,703,0.034,479.197,705.268,0.018,468.197,706.268,0.017,459.949,708.026,0.016,453.167,709.417,0.016,443.438,708,0.017,436.705,711,0.016,428,708,0.032,416.015,707.004,0.017,408.285,707,0.018,398.551,707,0.017,390.841,707,0.017,382.089,706,0.021,372.367,706,0.017,364.452,705,0.016,353.361,705,0.02,338.913,704,0.016,328.815,704,0.017,315.202,703.24,0.017,305.754,703,0.017,292.549,703,0.017,282.892,703,0.017,273.355,703,0.017,263.257,703.581,0.016,253.274,704,0.016,245.382,704,0.018,235.288,705,0.016,226.93,705,0.017,216.199,705,0.017,208.471,705,0.016,200.806,704,0.017,191.019,701.505,0.033,186.888,695.777,0.032,187,687.463,0.017,188,680.194,0.017,188,673.155,0.017,188,665.428,0.019,188,657.704,0.015,188,645.95,0.017,188,631.096,0.018,188,617.025,0.017,186.891,602.566,0.017,188,589.113,0.017,188,575.653,0.017,188,563.399,0.017,187,551.3,0.016,444,8901,JLAP
195,392,0,247.247,390,0.017,267.625,391.271,0.018,287.793,393,0.015,301.985,395.996,0.016,321.552,402.094,0.018,334.621,401,0.017,351.542,404.181,0.017,370.16,401.549,0.016,395.728,401,0.016,420.274,401.818,0.016,443.752,405,0.017,459.562,403.088,0.017,475.112,403.722,0.017,484.921,404,0.015,492.013,404,0.017,498.536,404,0.067,493.071,411.929,0.033,493.949,419.898,0.017,494,434.56,0.018,496,455.076,0.016,497,476.272,0.017,497.822,503.11,0.016,494,523.421,0.017,491.726,547.822,0.017,493,573.5,0.017,492.866,597.925,0.016,492,619.63,0.017,492.405,639.573,0.015,494,658.807,0.016,492.677,669.968,0.018,492.689,681.068,0.016,490.946,688.107,0.017,487.732,693.134,0.018,481.659,690.829,0.016,474,689.5,0.017,466.273,689,0.019,451.642,689,0.017,435.538,689,0.017,416.25,689,0.026,385.456,690,0.009,360.566,691,0.018,334.642,691,0.016,308.769,691,0.017,284.192,690,0.017,260.415,690,0.017,236.966,689,0.017,218.053,688,0.017,201.578,687,0.016,190.127,684.782,0.017,183.195,682.732,0.033,183,675.527,0.022,184.678,667.644,0.012,189.169,656.322,0.016,190,640,0.018,193,612.06,0.017,193.75,577.496,0.017,197.11,548.512,0.016,195,524.071,0.017,196.289,506.155,0.017,197,500.563,0.017,198.102,495.795,0.034,202.536,491.732,0.018,214.071,496.268,0.017,229.448,497.908,0.016,249.637,497,0.017,275.054,498,0.016,300.96,500,0.016,329.57,501,0.018,358.109,502.73,0.017,381.569,504.095,0.016,397.276,505,0.017,403.536,508.536,0.034,402,515,0.022,402.031,527.123,0.017,402,542.596,0.017,401.233,563.6,0.017,399.868,581.657,0.017,401,594.486,0.033,395,593.5,0.017,385.226,593,0.015,372.243,592.049,0.017,351.104,593,0.018,332.522,593.685,0.016,314.811,596.047,0.017,303.745,596,0.016,295.441,597,0.017,290.861,597,0.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,5089,JLAP
202,395,0,237.506,391.708,0.038,274.209,389,0.035,322.361,389.525,0.035,363.724,392.747,0.028,395.141,393.228,0.017,414.181,391.293,0.016,431.823,394.603,0.018,448.927,393.847,0.026,463.604,393.914,0.015,475.953,392.651,0.01,484.719,395,0.012,490.636,396,0.017,494,397.5,0.017,491.788,401.423,0.015,494.357,405.357,0.018,492.844,411.312,0.017,493,417.185,0.016,492.638,429.465,0.014,494.881,448.05,0.017,497.258,472.55,0.02,500.124,497.495,0.019,500,539.29,0.039,497.568,595.452,0.016,496.425,631.172,0.023,495.826,654.088,0.037,493,697.568,0.017,491,707.693,0.017,491,715.5,0.038,485,710.5,0.024,477.975,710.013,0.018,472.479,711,0.021,462.503,710.499,0.019,448.071,713.482,0.023,431.128,714,0.022,404.23,715,0.019,382.263,714,0.028,349.467,713,0.018,325.796,711,0.022,303.579,709.116,0.018,281.166,709.633,0.028,250.607,709.956,0.025,218.86,711,0.013,204.357,712,0.049,181.752,706.502,0.017,180,701.273,0.027,180,695.529,0.044,181.602,682.992,0.017,183.96,663.282,0.025,186,644.167,0.024,187,622.956,0.018,187,587.857,0.03,187,557.593,0.022,187.5,533,0.059,187,518.938,0.026,187,512.214,0.029,187,506.241,0.016,187,503.879,0.049,190.357,502,0.047,197.507,502,0.034,218.877,501.187,0.025,252.538,499,0.041,276.307,497.423,0.024,304.454,494,0.045,339.503,490.357,0.016,370.743,483.876,0.04,394.442,483,0.036,399.536,485.536,0.016,400,491.933,0.013,399.291,497.126,0.016,399,503.86,0.017,399,512.949,0.018,399,525.605,0.016,397.5,543,0.027,399.85,567.25,0.017,401,586.344,0.017,403.411,601.468,0.016,401,606.307,0.023,399.104,610.793,0.018,396.825,612.087,0.032,389.506,608.253,0.018,384.023,606.008,0.018,376.838,605.232,0.015,366.151,605.525,0.013,352.691,605,0.027,334.531,605,0.016,325.711,605,0.017,321.463,604,0.118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,4186,JLAP
186,410,0,250.335,387.333,0.046,308.003,387.727,0.068,410.428,390.486,0.056,462.876,399.719,0.025,488.322,403.331,0.049,500.461,406.82,0.019,501,409.158,0.031,497,421.854,0.026,499.519,465.396,0.044,502,541.873,0.03,502.744,589.643,0.04,502.776,644.683,0.035,496.349,671.651,0.075,482.278,686.907,0.08,446.764,689,0.068,385.915,690,0.055,327.762,693,0.022,304.465,695.353,0.018,283.021,694.598,0.015,262.414,695,0.017,245.329,696.084,0.017,231.342,694.668,0.024,222.716,695.571,0.016,215.562,694.187,0.022,210.889,692.889,0.017,206.407,689.704,0.026,201.666,682.999,0.025,193.714,652.998,0.026,193,622.853,0.012,193.513,596.922,0.016,194.002,569.971,0.016,192.759,545.353,0.016,192.516,525.128,0.017,192.727,510.639,0.02,193.97,504.06,0.014,196.226,502.887,0.034,201.645,502,0.016,208.198,500.934,0.017,219.85,498.692,0.021,237.936,498.452,0.023,259.599,498.563,0.014,281.35,498,0.016,301.265,498.717,0.018,325.191,500,0.016,355.096,499,0.014,370.762,497.873,0.017,382.87,500.374,0.016,390.454,499,0.013,395,499,0.032,398.228,502.228,0.019,399.587,507.174,0.015,400.829,513.316,0.017,400,523.37,0.026,398,546.457,0.017,395.5,567,0.018,396.077,589.304,0.027,396,603.657,0.009,395,614,0.03,389.195,611.463,0.017,384.484,610,0.021,376.519,608.993,0.014,363.067,610,0.017,346.072,610,0.017,327.185,607.773,0.034,315.169,606.472,0.02,305.147,607,0.014,300.086,607.957,0.017,297.804,608,0.049,294.958,610.084,0.188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,3760,JLAP
202,403,0,248.522,400,0.018,266.621,401,0.017,292.706,402,0.016,314.145,400,0.017,339.714,400.816,0.017,368.443,403.18,0.017,396,403.5,0.016,421.268,404.091,0.033,452.37,403.605,0.016,471.317,403.76,0.017,488.491,401.877,0.017,497.974,403,0.017,505.536,405,0.049,499.464,409.268,0.034,497,417.865,0.019,496.593,436.577,0.017,498,462.26,0.016,504.5,485,0.017,506,509.34,0.017,507.746,530.781,0.017,508.615,547.073,0.015,506.018,566.91,0.016,507,588.796,0.018,507.417,608.668,0.016,506,630.381,0.017,508.434,646.171,0.016,505,661.216,0.018,508.314,675.784,0.016,507,687.5,0.017,506,693,0.017,501.501,698.499,0.034,495.891,697.946,0.032,486.848,699,0.016,472.589,698.918,0.016,459.676,702,0.017,443.141,704,0.017,426.311,706,0.017,407.5,707.5,0.016,385.783,706.098,0.017,366.933,706,0.016,344.973,705,0.022,314.128,704,0.016,296.151,704,0.017,274.784,704,0.017,257.163,704,0.074,224.314,704.063,0.017,215.398,705,0.018,208.196,702.732,0.033,206,697.487,0.016,203,688.991,0.017,203.366,679.901,0.018,202,665.084,0.017,197.811,648.432,0.017,195.547,623.373,0.017,192.176,595.583,0.016,190,568.528,0.016,188,545.692,0.016,188,527.428,0.016,188,515.155,0.017,189,504.718,0.015,190,499.996,0.066,197,499,0.017,209.706,497.659,0.018,223.5,494.5,0.018,246.339,498.068,0.017,270.037,500.434,0.016,288.788,500,0.017,307.811,500,0.016,328.155,498.474,0.017,344.459,497,0.017,362.006,497,0.019,377.09,496,0.015,389.964,497,0.017,396.696,499.348,0.034,402.178,504.535,0.018,403,511,0.033,402,520.142,0.016,401.59,534.639,0.018,402.223,550.887,0.017,404,566.575,0.017,405,579,0.017,406,591.614,0.017,405.764,599.471,0.033,403.732,606.537,0.033,396.61,604,0.018,386.475,604,0.016,377,605.5,0.016,365.275,607.908,0.017,351.9,607,0.017,339.105,609,0.015,323.988,606.998,0.017,311.546,608.364,0.017,302.457,607.152,0.017,296.662,605.831,0.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,5604,JLAP
201,391,0,253.351,388,0.017,287.012,389,0.017,334.213,394.13,0.016,375.075,397.858,0.016,416.528,401.588,0.018,450.254,400.686,0.016,475.16,402.046,0.017,490.55,402.388,0.018,497.803,403.268,0.034,502,407.357,0.05,500.789,414.421,0.016,500,424.44,0.016,499,449.587,0.017,501.419,492.19,0.024,503,530.249,0.016,504,567.003,0.017,504,599.631,0.017,504,629.174,0.017,504,657.738,0.019,502.389,678.891,0.015,501.024,691.952,0.017,495.464,697,0.017,489,696,0.017,479.082,697,0.019,459.617,700.677,0.017,433.649,703,0.016,407.352,706.405,0.017,376.292,706,0.017,346.92,706,0.016,314,706,0.017,283.364,706,0.017,258.145,706,0.017,239.631,706,0.015,224.202,704.04,0.017,216.352,701.676,0.018,209,697,0.033,201.825,688.476,0.017,197.924,673.847,0.016,198,660.391,0.017,201.075,637.387,0.018,197.37,597.068,0.015,194.004,557.041,0.017,192.64,520.403,0.016,194,499.101,0.017,195.088,487.824,0.033,203.82,485.359,0.018,212.548,486,0.017,228.396,488.55,0.017,252.373,490.91,0.017,279.935,491,0.017,320.601,494.76,0.017,346.999,491.875,0.016,369.43,490.514,0.017,388.566,489.434,0.017,400.658,492.219,0.017,404,497.803,0.032,402.905,504.285,0.016,403,514.226,0.017,400.955,542.317,0.013,401.404,566.235,0.017,401,584.857,0.017,399.872,597.256,0.034,393.465,595.732,0.033,383.942,596,0.018,369.422,595.716,0.017,345.439,597,0.016,319.454,598,0.017,303.758,599.811,0.017,295.705,602.148,0.198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,4014,JLAP
193,404,0,249.488,404,0.018,285.045,405.64,0.015,332.029,408,0.017,366.404,408.367,0.018,396.851,409,0.017,425.868,409,0.016,456.101,408.544,0.017,475.783,409.826,0.017,487.558,410,0.039,493.041,416.082,0.016,493,424.5,0.016,496,458.92,0.017,503.504,484.511,0.017,505,518.385,0.015,503,561.712,0.017,505.657,597.775,0.018,506.292,627.663,0.016,505.852,653.518,0.017,503.565,666.74,0.017,499.163,687.756,0.021,495.796,697.407,0.033,489.985,700.007,0.033,478.007,701,0.016,460.547,704.863,0.016,439.137,707,0.017,415.253,709.593,0.015,388.299,708,0.017,359.76,708,0.018,332.216,708.683,0.016,306.728,709,0.017,282.132,711,0.017,264.133,711,0.017,246.304,708,0.017,227.5,705.5,0.017,218.262,703,0.016,210.295,699.53,0.016,204.916,692.831,0.018,198.647,671.49,0.017,191.191,632.293,0.016,185.652,596.432,0.016,180,570.5,0.016,181.904,548.672,0.016,182.269,529.653,0.017,183,511.494,0.015,185,502.007,0.017,188.481,498.76,0.033,199.862,496,0.018,217.289,494,0.014,244.179,492.304,0.016,273.46,495,0.016,302.217,497.422,0.016,333.505,499.786,0.017,357.031,503.147,0.017,374.5,504,0.017,383.537,507.268,0.017,388.731,513.462,0.018,390,521.271,0.017,390,532.826,0.016,393,559.534,0.017,395.185,581.109,0.017,396,595,0.016,393.99,601.021,0.033,385.345,600.115,0.018,375.017,598.754,0.016,353.74,601.217,0.016,320.288,604.974,0.016,293.957,610.341,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,3938,JLAP
196,393,0,256.516,388,0.018,287.361,389.707,0.016,328.647,393.144,0.018,361.457,394.568,0.017,393.983,397.798,0.016,423.328,399.834,0.017,450.5,399,0.016,472.569,394.647,0.018,492.034,397,0.031,506,400,0.08,497,406,0.033,493.6,420.2,0.016,494,447.928,0.016,495,475.461,0.017,498.888,504.665,0.018,500,535.276,0.016,502,565.228,0.016,501.606,598.331,0.018,502,627.281,0.017,502,655.164,0.017,504.485,682.85,0.016,504,707.094,0.016,503,722.633,0.016,497.196,724,0.033,491.731,720,0.051,483,718,0.017,464.694,717.116,0.017,442.233,718.252,0.017,415.505,718.611,0.015,383.202,720,0.017,349.582,722.342,0.018,312.228,723.706,0.017,275.163,724,0.016,240.658,723,0.017,213.409,721.201,0.017,191.02,718.837,0.017,183,717.5,0.015,183.258,713.742,0.017,187.239,704.141,0.015,191.958,686.111,0.017,195.699,656.856,0.018,196,624.547,0.016,197.078,589.219,0.016,199,556.019,0.017,202.809,530.146,0.016,203.657,508.8,0.016,204.5,501,0.033,208.27,496.91,0.035,216.75,499,0.018,235.677,500.24,0.017,263.839,501,0.016,295.677,500.968,0.016,329.337,501.334,0.019,359.565,499.304,0.015,385.494,498.062,0.017,401.679,495,0.016,411.584,496,0.017,410.8,501.599,0.035,406.991,511.026,0.018,408.73,536.649,0.018,412,560.606,0.019,414,580.591,0.016,411.538,593.385,0.033,405.928,598.024,0.017,392.92,596.68,0.017,373.773,597,0.017,349.214,596,0.017,324.833,597.771,0.016,305.322,600.136,0.016,296,600,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,4320,JLAP
198,424,0,243.503,414.071,0.017,266.035,410.709,0.019,292.284,410.343,0.027,322.132,407.859,0.009,343.538,405,0.016,364.215,405,0.017,385.614,405,0.017,404.994,404,0.015,425.781,404,0.017,448.26,404,0.019,463.766,404,0.017,478.167,405.056,0.017,485.841,408.42,0.033,489,415,0.017,486.5,424.5,0.016,486.126,438.243,0.017,487,460.674,0.017,491,485.839,0.016,493.97,509.787,0.017,497.662,532.986,0.019,498.696,556.874,0.016,499.943,575.344,0.016,501.859,596.007,0.017,497.211,611.736,0.017,497,629.77,0.017,495,651,0.017,494.118,670.409,0.017,495,684.743,0.017,492.391,695.826,0.015,488.901,700.049,0.033,478.182,701.704,0.017,462.797,704.068,0.017,449.836,707.433,0.016,429.011,708.798,0.017,405.933,709.152,0.033,371.116,708,0.015,345.883,707,0.016,320.61,706,0.018,300.553,706,0.017,277.466,704.893,0.016,256.691,705,0.016,241.661,704,0.017,227.405,704,0.017,215.5,702.5,0.016,207.15,702.075,0.017,197.379,696.586,0.017,192.104,689.208,0.017,188.738,668.903,0.016,185.376,638.764,0.016,179.02,604.108,0.017,175.647,573.819,0.019,172,552.973,0.017,174,537.748,0.016,179.888,529.668,0.016,184.5,523,0.017,191.606,517.394,0.019,204.641,512,0.015,215.075,509.975,0.017,232.346,507.609,0.018,253.26,507,0.017,276.689,504.885,0.016,302.84,502.52,0.017,329.762,501.155,0.016,356.903,501,0.017,378.881,501.576,0.015,392.817,504.939,0.017,397.304,510.607,0.026,399,520.575,0.015,396.846,530.616,0.017,394.483,550.617,0.016,391.12,572.16,0.017,389.757,592.46,0.018,385,601,0.033,370.919,604.433,0.017,347.354,606.742,0.016,325.439,609,0.017,306.766,609.309,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,4207,JLAP
201,389,0,264.056,391.778,0.016,296.575,393.758,0.017,333.068,395.237,0.017,357.928,400,0.016,383.245,402.151,0.017,404.293,402,0.017,422.467,405,0.038,457.843,406.307,0.012,476.362,408.328,0.016,494.112,408.037,0.017,502.798,410,0.033,500.873,415.127,0.016,495.262,424.475,0.017,496.101,433.302,0.017,494.538,450.769,0.016,494.829,476.631,0.016,495.197,506.168,0.018,493,538.02,0.016,494.923,569.304,0.017,496.577,597.599,0.018,497.958,621.874,0.016,499,641.084,0.017,500,657.523,0.016,501,666.496,0.011,499.889,680.554,0.017,500,687.95,0.017,496.464,694.804,0.017,493.732,700.536,0.05,487.802,696.901,0.035,481,695,0.033,470.18,693,0.017,461.734,693.367,0.015,449.007,693,0.017,434.542,693,0.018,417.642,694,0.017,400.447,694,0.016,381.262,693,0.017,361.255,693,0.017,339.712,692,0.017,319.703,690.45,0.016,300.6,688.086,0.016,277.035,683.438,0.016,256.784,684,0.016,234.915,682,0.017,217.141,677.885,0.019,208.528,679,0.017,202.849,678.95,0.032,196.466,678,0.034,194,670.527,0.019,199,665,0.033,199.166,656.669,0.016,200,641,0.017,202,616.074,0.013,204,588.172,0.018,204.624,562.256,0.016,207.024,540.083,0.017,209.354,524.229,0.017,209,511.844,0.016,209,504.84,0.016,210,498,0.066,216.535,499.268,0.018,232.449,502,0.017,263.188,505.273,0.017,288.422,508.632,0.027,321.691,512,0.021,351.85,512.515,0.016,375.795,514.151,0.016,395.077,516,0.016,401.268,521.536,0.033,399.784,527.432,0.017,395.958,537.083,0.018,396,546.61,0.018,394.235,561.591,0.017,395,579.646,0.016,394,597.471,0.016,387.786,595.893,0.017,380.196,593.732,0.017,370.179,591,0.017,346.068,590,0.018,323.583,589,0.017,305.715,586.953,0.018,288.766,589,0.017,283.464,587.732,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,4975,JLAP
