@relation RegistrosP4LEPP
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
289,613,0,339.151,610.19,0.017,370.891,607.936,0.023,395.961,604.408,0.014,414.152,602.424,0.019,415,599.47,0.014,410.824,595.648,0.021,410,588.34,0.013,406,571.184,0.017,403.227,549.135,0.021,401.861,527.751,0.018,401,511.243,0.014,398.389,503.777,0.021,395.466,501.733,0.02,388.138,500.784,0.017,370.707,499.523,0.018,337.923,499,0.017,293.214,500,0.015,250.205,501.211,0.016,219.425,499.543,0.017,198.954,500,0.012,188.184,501.939,0.019,184.843,505.315,0.019,185,512.28,0.019,184.64,536.68,0.014,186.915,573.479,0.018,188.139,612.5,0.02,189,645.506,0.013,191.612,672.737,0.016,194.879,689.393,0.017,198.291,695.145,0.03,208.001,697,0.015,223.12,696.288,0.02,254.322,693.097,0.015,294.873,688.544,0.023,339.192,688,0.018,387.824,688,0.02,430.561,689,0.011,461.541,691.195,0.017,481.575,693.447,0.02,491.952,693,0.013,496.814,690.186,0.016,498,685.654,0.017,496.6,673.598,0.017,495.738,647.165,0.015,494.202,611.719,0.016,491.701,573.456,0.022,489.294,530.944,0.011,485.392,489.056,0.016,484,452.305,0.014,485.094,423.967,0.014,485,406.863,0.019,485,401,0.046,479.925,404.05,0.017,469.252,403.709,0.012,437,405,0.021,375.452,405,0.014,314.314,404,0.017,266.2,401.691,0.02,238.236,396.959,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,2156,LEPP
284,612,0,333.908,605.776,0.019,361.748,603.521,0.015,384.424,602.286,0.017,403.844,600.052,0.017,410.63,597.79,0.016,414,591.1,0.017,416.577,579.27,0.017,416,559.855,0.015,413.685,539.165,0.019,409,517,0.021,404.461,503.382,0.014,400.905,491.809,0.03,397.509,491.246,0.035,386.618,494.876,0.014,364.597,497.14,0.014,329.584,499.377,0.018,291.172,499,0.016,256.453,499,0.02,232.237,498,0.016,215.88,499.353,0.02,210.435,502.13,0.014,207.172,510.139,0.019,204.911,528.447,0.014,201.678,555.183,0.019,196,588.424,0.014,193.771,620.25,0.016,193,645.241,0.018,198.925,660.85,0.017,203.67,671.602,0.024,208.529,677.529,0.017,213.037,680.019,0.01,218.801,683.534,0.022,239.749,688.479,0.016,275.269,689,0.015,320.818,688,0.024,367.759,685.793,0.022,411.266,685,0.015,445.159,686,0.019,466.75,687.969,0.016,475.666,689.222,0.02,479.847,690.424,0.029,482,686.168,0.02,484.143,680.57,0.01,486.428,669.861,0.015,491.918,653.247,0.014,498.649,633.052,0.017,502.313,612.434,0.021,503,591.641,0.019,503,563.33,0.009,502.128,528.18,0.015,499.912,494.585,0.018,497.258,461.432,0.018,493.782,436.299,0.025,492.177,420.063,0.011,491,410.742,0.014,486.536,406.536,0.038,477.044,407,0.023,432.892,409.164,0.015,379.976,412.424,0.016,324.255,412.366,0.016,268.982,409.152,0.016,221.558,404.656,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,2338,LEPP
306,591,0,348.709,593,0.015,376.397,593,0.02,395.076,590.989,0.01,406.387,589.723,0.052,403.293,582.878,0.012,401.988,573.95,0.016,399.73,561.379,0.017,398,539,0.015,395.289,525.734,0.016,393.032,515.097,0.021,390.8,509.601,0.035,383.703,510,0.016,370.481,509.212,0.012,340.912,510.068,0.018,301.709,511,0.018,261.5,513.5,0.02,227.237,513,0.013,209.813,512,0.014,203.083,513.306,0.037,204.625,518.249,0.013,205.148,530.965,0.015,199.696,559.13,0.02,190.515,592.942,0.014,187.406,624.129,0.015,186.846,650.306,0.02,191.171,666.597,0.016,197.11,677.85,0.017,207.402,684.201,0.016,216.996,687.799,0.014,237.107,692.184,0.017,264.834,693,0.018,307.325,689.913,0.016,351.781,687.201,0.015,397.455,688.069,0.023,431.433,689.277,0.012,460.485,690.549,0.015,481.495,692,0.016,492.208,693,0.019,496.553,691.723,0.037,499.604,687.791,0.011,500.873,681.508,0.02,504.087,667.307,0.012,506.374,641.511,0.017,507,606.292,0.016,506,568.018,0.017,503.907,521.947,0.024,501.392,480.831,0.012,498.409,448.909,0.017,495.383,430.34,0.02,491.969,420.876,0.012,487.425,416.617,0.023,477.596,414.371,0.019,428.204,409.958,0.017,378.93,407.724,0.02,324.219,405,0.013,263.099,406.756,0.015,219.032,409.997,0.021,191.24,413.502,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,2161,LEPP
301,611,0,343.738,605.033,0.015,372.329,603.334,0.013,398.697,602,0.017,426.057,602,0.021,427.178,598.645,0.034,422.95,582.597,0.015,418.384,562.922,0.016,414.488,542.395,0.013,412.243,522.945,0.016,412,509.765,0.015,409.433,502.433,0.016,407.47,501,0.031,401.059,502,0.016,387.311,503,0.016,360.5,502.5,0.013,321.87,503,0.015,282.974,503,0.02,251.407,500.815,0.015,231.327,499.541,0.014,218.263,500,0.018,210.344,503.828,0.016,202.265,511.735,0.015,191.715,531.855,0.015,185.013,555.285,0.018,183,583.868,0.016,182,616.17,0.021,184.379,646.79,0.015,186.5,674,0.02,189.71,690.694,0.012,192.131,704.655,0.021,196.674,708.674,0.032,208.097,710.699,0.011,224.704,711.97,0.021,255.619,709.81,0.011,290.223,707.521,0.016,335.301,706,0.016,388.814,704.047,0.015,433.044,701.76,0.018,464.431,698.582,0.015,485.707,695.328,0.02,494.66,693.113,0.011,496.086,689.741,0.017,495.614,685.228,0.021,495.632,665.676,0.012,497,638.399,0.018,499.147,602.495,0.017,502.774,563.036,0.015,501.4,524.208,0.021,498.044,466.711,0.015,497,440.599,0.022,492.552,427.209,0.014,490.296,421.592,0.021,487.47,417.206,0.02,483.362,417,0.014,476,414.5,0.016,448.812,409.603,0.027,404.555,403.958,0.015,354.935,399.717,0.019,263.202,402.938,0.019,210.834,408.871,0.012,177.409,410,0.017,161.754,411.374,0.119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,2327,LEPP
294,610,0,339.526,606.19,0.017,363.464,602.948,0.023,381.408,600.699,0.014,395.721,599.427,0.015,400,597.5,0.034,400,591.632,0.02,399,584.827,0.014,399.741,572.81,0.014,400,555.731,0.019,399,540.133,0.014,396.5,525.5,0.017,394.273,510.636,0.014,392,499.999,0.015,388.732,496.866,0.033,379.806,499.065,0.016,364.591,497.656,0.021,333.375,496.425,0.016,296.662,495,0.019,257.05,495,0.015,220.468,498.325,0.013,202.227,500.555,0.016,195.5,501,0.03,200.296,504.148,0.015,207.169,510.169,0.017,211,533.552,0.015,212.127,568.96,0.019,209.723,606.354,0.023,207,641.098,0.012,201.81,671.547,0.017,198.35,691.776,0.011,196.895,703.523,0.017,201.708,706.177,0.033,211.817,705,0.017,233.583,705,0.017,269.062,704,0.018,309.015,703,0.011,353.532,703.927,0.019,395.743,705.131,0.014,430.028,708.413,0.018,455.285,711.628,0.016,474.105,713,0.021,482.307,711.898,0.03,484.472,705.417,0.013,483.725,693.925,0.018,485,664.585,0.015,488.459,622.868,0.016,491.454,579.928,0.017,494.701,535.681,0.014,495.066,494.26,0.023,496,461.026,0.012,496,435.003,0.024,495,420.091,0.012,494.081,410.244,0.013,494,404.634,0.034,487.547,404,0.018,479.842,405,0.016,455.467,404,0.021,412.029,404,0.013,358.977,405.74,0.015,299.99,408,0.018,240.34,410.226,0.019,198.772,412.484,0.022,185.5,412,0.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,2452,LEPP
306,612,0,352.5,606,0.016,378.842,603.392,0.02,397.396,600.943,0.014,408.921,597.36,0.032,407,593,0.03,403.953,581.763,0.016,405.291,565.676,0.02,401,544,0.017,397.542,523.71,0.017,391.995,504.98,0.02,387.562,490.686,0.016,380.069,486.069,0.018,371.604,486,0.015,364.048,487.976,0.02,339.055,491.393,0.016,304.913,496.951,0.021,269.779,499,0.013,239.175,499,0.014,215.137,497.793,0.023,205.416,498,0.018,201.354,501.291,0.018,199.094,507.624,0.012,196.632,526.024,0.017,195.202,560.784,0.016,194,603.274,0.018,192.251,646.618,0.015,190.866,683.883,0.014,192,709.558,0.016,199.756,718.171,0.014,207.435,721,0.017,225.233,722,0.019,264.445,715.926,0.016,318.223,703.487,0.017,375.951,692.45,0.021,430.254,687.948,0.014,491.569,687.445,0.017,508.095,688,0.02,513,689.5,0.031,509.732,684.465,0.014,505.252,672.604,0.021,495.243,642.977,0.013,489.882,600.25,0.02,485.775,557.058,0.013,484.465,508.291,0.016,484.744,465.863,0.014,484,431.118,0.018,482.759,413.074,0.019,479.03,405.545,0.024,469.545,405,0.015,459.603,406.099,0.017,436.882,405,0.022,397.078,405,0.024,317.387,405.912,0.016,257.527,407.195,0.017,209.059,410.426,0.015,192,407.5,0.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,2099,LEPP
290,609,0,332.583,606.776,0.017,365.148,603.122,0.018,391.217,600.309,0.02,411.214,597.143,0.016,414,594.72,0.019,411.347,589.042,0.017,407.267,573.89,0.019,401.573,544.007,0.015,399.124,517.184,0.016,398.366,506.464,0.02,396.733,502.465,0.053,391.185,505.543,0.018,375.401,506,0.017,343.131,507.11,0.014,297.101,507.376,0.022,253.24,507,0.016,219.277,506.175,0.02,197.562,506.055,0.013,192.329,507.336,0.022,194.095,512.095,0.012,197.604,525.218,0.017,197.971,554.49,0.014,202.322,593.476,0.019,201,635.318,0.012,200.217,665.616,0.017,203.053,685.368,0.018,205.288,691.577,0.017,209.531,695.265,0.049,217.367,696.092,0.017,247.339,697,0.022,290.65,697,0.014,341.273,695,0.015,402.242,695,0.016,452.66,694.667,0.036,501.288,697.301,0.015,511.911,698,0.015,509.723,692.585,0.018,505,684,0.02,495.938,646.457,0.013,491.975,595.701,0.02,489.762,544.289,0.014,490,492.844,0.021,490,447.684,0.013,487.998,414.971,0.02,485.769,400.538,0.011,480.466,401.69,0.018,471.424,404.096,0.018,447.653,404,0.018,389.5,401,0.016,311.384,403.645,0.019,241.865,405.042,0.013,201.098,405,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,2104,LEPP
288,604,0,347.769,597.815,0.017,374.323,595.516,0.013,393.819,593.312,0.016,409.5,591.5,0.015,404.732,587.597,0.019,402.37,581.109,0.016,401.111,566.886,0.016,397.841,544.567,0.018,395.576,521.761,0.017,393.375,510.501,0.015,391.119,503.238,0.02,386.755,499.877,0.036,380.614,502,0.012,369.742,503,0.02,346.118,504.068,0.016,308.155,505.36,0.022,267.979,506.589,0.016,230.358,508,0.018,205.568,506.957,0.013,193.679,508.33,0.016,192.639,511.278,0.017,194,521.261,0.011,192.69,550.482,0.016,188.721,589.1,0.019,184.755,625.957,0.014,181.229,657.623,0.017,183,681.067,0.017,185.386,695.702,0.017,190,702.5,0.035,197.866,703,0.013,215.631,703,0.021,248.219,700.098,0.012,292.164,698.292,0.018,341.474,696,0.012,396.789,695,0.023,438.811,696,0.013,468.193,697,0.017,483.676,698.919,0.016,486,695.595,0.018,485,682.915,0.018,485.879,651.938,0.013,489.379,609.215,0.021,492.368,564.27,0.015,495,519.236,0.015,492.159,479.378,0.02,487.81,445.765,0.012,484.624,421.991,0.017,484,410.194,0.016,481.867,411.133,0.048,456.499,412,0.015,418.64,409.685,0.021,358,406.5,0.016,291.994,407,0.025,235.898,409,0.012,195.418,410,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,2228,LEPP
297,610,0,350.648,604.027,0.014,374.591,601.741,0.016,391.217,600.54,0.017,403.5,602.5,0.065,397.642,596.463,0.018,397,587.76,0.016,395.936,574.555,0.015,394.724,557.789,0.015,395,541.5,0.015,394.764,526.653,0.02,396,514.924,0.014,396,506.136,0.02,392.884,506.039,0.036,384,507.5,0.014,364.667,505.976,0.015,334.392,503.646,0.014,307,503,0.02,274.655,501,0.016,237.299,498.922,0.017,221.732,496.676,0.016,215.5,497,0.016,211.468,501.798,0.017,209.869,507.394,0.015,210,514.654,0.021,208.755,529.358,0.014,207,549.821,0.019,206.458,583.748,0.024,205.5,612.5,0.016,203.742,638.907,0.017,201.012,655.904,0.016,202.234,665.935,0.017,204.473,672.945,0.016,205,676.539,0.031,210.416,679.139,0.034,219.632,684.544,0.013,237.333,687.037,0.012,261.695,690.308,0.018,291.5,691,0.018,324.554,691,0.02,358.66,691,0.014,396.309,691,0.019,428.629,691,0.013,459.917,691.743,0.017,485.631,693.933,0.018,499.244,696.249,0.016,505,697.5,0.097,503,691.114,0.015,499.439,684.197,0.014,497,663.254,0.02,498.151,629.864,0.017,500.313,589.364,0.022,505.526,543.338,0.017,509,502.967,0.044,511.854,452.25,0.015,512.382,428.176,0.016,510.373,417.491,0.016,509.115,412.229,0.019,506.867,413.067,0.033,497.268,412.756,0.016,486.739,410.548,0.019,458.447,406.635,0.013,417.006,405.059,0.025,369.808,404,0.012,320.985,405,0.018,266.878,407.657,0.018,222.134,408,0.018,193.081,406.847,0.012,182.367,404.592,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,2957,LEPP
283,609,0,337.994,603.251,0.015,367.863,598.69,0.021,392.819,594.236,0.023,410.443,589.389,0.013,414.54,589,0.036,410.553,584.553,0.017,409.312,578.936,0.014,405.095,568.284,0.017,400.535,549.906,0.015,397.111,531.444,0.014,395.336,516.681,0.013,393.062,507.185,0.019,389.71,503.855,0.016,380.98,505.755,0.018,362.01,504.859,0.012,336.587,503.599,0.016,308.759,502.397,0.016,273.805,499.241,0.015,243.376,496.865,0.023,217.898,498,0.014,198.213,498.598,0.017,189.333,499,0.016,189,501.156,0.036,191.681,508.044,0.018,192,522.413,0.019,191.798,548.835,0.023,192.387,585.358,0.014,193.327,621.628,0.02,192,650.025,0.018,194,670.339,0.015,195.42,680.681,0.019,202,685.5,0.051,208.327,685,0.018,221.416,686.345,0.014,254.5,686,0.017,300.434,683.135,0.017,346.234,680.777,0.022,393.171,680.325,0.012,432.549,682.597,0.017,461.913,685.826,0.021,482.33,689.041,0.013,492.299,692.325,0.021,495.53,693,0.036,493.993,687.978,0.011,492.677,680.71,0.018,491.482,664.82,0.016,491,639.512,0.018,491,607.745,0.021,491,570.647,0.015,492,535.5,0.022,491.261,500.918,0.013,489.02,469.279,0.018,489,444.788,0.019,487.51,427.079,0.016,488,420.168,0.021,488,416,0.131,482.793,416.931,0.021,472.773,414.472,0.013,451.472,410.45,0.018,418.617,405.945,0.019,371.054,404.247,0.013,318.157,406.027,0.015,264.649,407.743,0.017,223.03,408,0.018,197.291,409.246,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,2679,LEPP
