@relation RegistrosP4LMCHG
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
214,389,0,275.369,386.593,0.018,323.608,385.352,0.016,373.562,382.106,0.017,437.945,378.863,0.017,463.807,380.381,0.018,479.496,390.369,0.017,485.738,408.954,0.016,490.221,437.658,0.017,493.707,477.068,0.018,503.59,520.163,0.016,512.365,566.665,0.016,515.084,612.519,0.017,516,656.51,0.018,515,685.5,0.016,511.375,699.876,0.017,505.833,709.167,0.017,491.899,713.6,0.017,473.5,712.5,0.016,438.035,712.212,0.017,400.38,712,0.016,363.601,712.275,0.017,326,710,0.016,286.3,706.478,0.017,251.933,705,0.011,220.359,704,0.017,194.642,702.511,0.017,181.587,696.529,0.016,168.155,689.089,0.017,163.781,672.031,0.017,164.465,648.354,0.017,169.834,613.664,0.016,176.854,578.779,0.017,184.584,548.47,0.017,189.874,527.503,0.016,200.414,511.586,0.016,211.624,504.15,0.017,222.992,498.504,0.017,245.114,497,0.016,267.865,496.655,0.017,293.675,499.898,0.016,321.67,503.139,0.017,348.856,504,0.028,375.899,505.627,0.01,398.101,506,0.016,411.787,510.225,0.017,421.425,523.137,0.017,423,545.847,0.016,423,572.473,0.017,425.176,594.705,0.017,427.336,603.009,0.017,419.33,600.165,0.018,394.183,596.818,0.025,360.596,595,0.016,313.892,606.375,0.016,273.173,626.329,0.017,252.053,637.631,0.017,253.526,633.948,0.133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,2093,LMCHG
209,409,0,268.865,407,0.017,300.706,407,0.017,352.254,407,0.018,407.115,403.824,0.016,475.613,397.339,0.017,505.79,398.072,0.017,516.944,409.888,0.018,516.875,434.878,0.016,509.582,474.315,0.016,497.69,529.342,0.017,492.414,585.32,0.011,489.5,640.5,0.017,492.779,679.031,0.016,496.037,704.206,0.017,495.732,717.339,0.066,476.407,709.512,0.017,448.509,701.656,0.016,410.256,698.641,0.018,363.554,700.205,0.016,315.631,705.395,0.017,272.281,715.453,0.016,235.319,725.672,0.018,208.799,735.734,0.016,196.539,737.18,0.017,191.873,726.556,0.016,194.31,706.896,0.018,196,670.541,0.016,195.206,629.918,0.017,192.961,587.33,0.017,192,549.801,0.017,192.5,525.5,0.016,194.5,515,0.033,212.931,518.266,0.016,239.886,519,0.019,275.662,511.525,0.015,311.951,504.273,0.016,343.171,498.787,0.015,370.493,499.349,0.018,390.148,506.37,0.011,402.34,523.516,0.017,412.389,547.935,0.017,418.97,574.235,0.017,421.568,594.84,0.016,423.5,600,0.065,401.775,597.578,0.018,374.756,598.66,0.015,341.561,599.908,0.017,305.643,606.442,0.017,275.891,617.572,0.018,264.087,621.638,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,1885,LMCHG
202,384,0,259.089,386.894,0.016,302.706,387,0.017,352.662,387,0.018,420.01,384,0.016,457.364,382.136,0.017,483.089,385.218,0.017,491.058,398.47,0.018,491,417.955,0.016,489.163,444.208,0.017,486.918,481.317,0.017,487,527.47,0.018,490.135,573.218,0.016,494.432,616.211,0.017,500.107,652.855,0.016,501.298,679.273,0.018,499.5,693,0.016,497.5,696,0.032,481.954,694.851,0.017,456.677,692.214,0.019,426.364,690.364,0.016,389.804,690,0.016,351.072,691,0.025,306,693.364,0.016,270.224,696.222,0.015,234.377,701.406,0.017,199.395,708.283,0.016,178.275,711,0.018,162.663,709.416,0.016,157.173,705.347,0.017,154.934,695.605,0.016,158.622,675.888,0.019,166.222,643.557,0.016,176.989,605.84,0.017,183.078,569.334,0.017,186.287,537.692,0.018,188.529,516.711,0.015,190,501.907,0.017,192.015,495.971,0.016,199.032,493.742,0.017,216.503,489.499,0.016,246.171,482.766,0.016,279.872,476.02,0.017,309.777,472.769,0.017,337.723,469.523,0.016,358.223,472.445,0.016,373.732,481.77,0.017,387.247,506.285,0.016,397.251,538.754,0.017,404.087,566.957,0.016,414.748,590.433,0.016,420.361,597.361,0.066,407.098,596.21,0.016,385.637,593.967,0.017,357.924,593,0.017,322,595.5,0.018,282.982,604.829,0.016,254.898,618.043,0.016,247.497,620,0.033,262.4,604.067,0.132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,2176,LMCHG
195,386,0,276.198,386,0.024,324.27,385.187,0.017,372.27,382.942,0.014,435.761,380.701,0.018,456.371,385.093,0.017,473.506,397.506,0.016,486.155,414.217,0.017,493.823,440.567,0.018,496.481,471.781,0.017,495.237,509.447,0.016,496,552.084,0.017,493.752,600.711,0.018,491.507,644.864,0.015,489.261,679.825,0.023,487.02,702.82,0.017,481.553,717.895,0.017,469.213,721.929,0.017,446.498,718.583,0.016,414.731,711.195,0.017,375.497,702.221,0.017,330.32,699.56,0.017,282.599,701.683,0.016,240.205,709.699,0.017,205.811,717.505,0.03,186.35,719,0.008,182.78,712.319,0.017,188.062,687.772,0.017,196.799,652.74,0.017,205.5,613.5,0.017,207.75,570.502,0.017,207.994,533.087,0.017,210.481,501.113,0.017,212.95,484.675,0.015,220.251,487.7,0.018,240.972,493.265,0.016,273.719,495,0.018,313.403,484.11,0.016,350.953,473.538,0.017,379.726,468.868,0.016,401.187,471.312,0.018,419.5,485.5,0.016,426.589,519.502,0.015,431.078,554.667,0.021,434.561,580.086,0.017,436,593.5,0.015,429.949,590.975,0.018,411.486,585.497,0.017,381.588,584.493,0.016,336.669,594.703,0.018,300.176,604.936,0.017,280.633,610.228,0.017,280,605.597,0.017,291.023,597.412,0.093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,1919,LMCHG
193,376,0,236.5,381,0.018,270.693,382,0.017,307.389,382,0.016,367.316,382,0.017,400,381,0.017,428.041,381.753,0.017,456.959,384.993,0.016,485.595,389.719,0.017,508.301,395.446,0.017,523.626,404.626,0.016,533.839,415.806,0.017,535,439.326,0.016,529.643,468.88,0.022,523.907,507.163,0.016,519.118,551.821,0.017,516.816,595.873,0.016,518.432,634.2,0.018,518.671,665.053,0.017,519.914,688.401,0.017,520,699.777,0.016,510.844,704.645,0.017,487.231,708.776,0.017,454.031,713.394,0.017,417.302,716.723,0.018,372.551,717.615,0.016,333.05,719.863,0.017,297.719,721,0.016,265.782,723.352,0.018,240,724.5,0.017,215.306,726.837,0.017,194.199,726.92,0.016,184.701,725.675,0.017,176,720.5,0.021,170.2,708.397,0.008,169,691.622,0.016,173.583,667.501,0.016,180,641,0.016,183.785,607.437,0.017,187.023,577.657,0.017,188,550.843,0.017,189,529,0.016,190,510.458,0.021,191.998,502.005,0.016,197.725,498.758,0.017,212.395,494.515,0.016,236.218,490.54,0.017,269.554,487.052,0.016,305.871,483.785,0.017,339.303,480.087,0.016,367.726,483.405,0.016,392.419,494.63,0.017,407.143,510.334,0.017,421.591,541.614,0.018,428.034,576.848,0.017,435.683,605.208,0.017,442.487,620.811,0.017,440.642,621.821,0.018,425.727,613.416,0.016,398.142,603.336,0.017,365.492,599.617,0.017,331.39,604.745,0.016,297.587,621.942,0.017,277.335,631.332,0.067,288.334,619.666,0.131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,2375,LMCHG
182,384,0,255.186,391.496,0.016,302.271,392,0.017,346.709,390.265,0.016,407.224,388.022,0.017,440.876,389.221,0.016,464.181,396.858,0.016,481.647,410.235,0.016,491.86,435.3,0.017,499.769,467.267,0.016,506.31,504.863,0.016,510.681,543.582,0.016,513,583.534,0.017,511.832,622.199,0.017,509.177,659.817,0.017,504.695,688.18,0.016,501.104,712.065,0.017,497.742,720.129,0.019,487.867,714.12,0.016,468.413,702.771,0.016,441.277,692.541,0.017,411.306,687.278,0.018,369.394,684.6,0.016,325.94,686.845,0.022,281.012,691.181,0.01,244.327,700.335,0.018,215.23,709.308,0.017,193.42,715.645,0.017,185.868,717,0.033,184,713.134,0.017,184.675,698.254,0.017,187.914,676.027,0.016,191.316,644.791,0.017,192.403,606.549,0.018,190.356,570.341,0.015,189,537.431,0.012,191.136,512.509,0.017,193.379,501.862,0.017,199.098,500.38,0.015,213.058,498.135,0.017,240.597,491.681,0.016,275.35,482.589,0.018,307.353,474.21,0.015,338.249,471.159,0.017,365.904,475.247,0.016,383.905,490.905,0.018,396.276,516.533,0.015,405.073,547.22,0.017,414.267,574.587,0.016,423.198,595.396,0.018,426.5,600,0.083,410.809,594.452,0.021,392.5,590,0.016,361.106,585.239,0.017,324.929,590.013,0.017,288.003,599.999,0.017,264.57,612.461,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,2155,LMCHG
201,386,0,265.565,391.964,0.017,307.445,391.278,0.017,352.352,390.032,0.018,424.734,386.574,0.017,457.774,387.457,0.017,482.652,393.783,0.016,497.705,407.587,0.017,506.547,425.823,0.018,508,450.287,0.011,506.67,488.635,0.025,503,569.636,0.016,499.206,604.957,0.018,497,639.226,0.015,494,669.608,0.014,490.875,690.751,0.017,488.627,699.118,0.034,473.649,701.735,0.017,447.262,701,0.017,410.239,702.221,0.017,364.18,703.468,0.016,321.704,700.291,0.017,279.027,698.047,0.017,244.043,699,0.016,215.318,703.874,0.023,197.904,710.365,0.016,190.143,712,0.017,188.903,709.806,0.017,188,694,0.017,191.552,668.586,0.017,199.069,633.587,0.017,208.069,594.921,0.017,211,558,0.017,214.502,523.737,0.017,217.993,495.037,0.017,221.24,474.319,0.017,224.477,469.046,0.017,235.07,469,0.017,252.757,471.97,0.016,283.711,473,0.016,317.377,474,0.017,351.163,473.302,0.017,377.431,472,0.016,399.269,473,0.016,412.908,483.077,0.017,421.345,508.398,0.015,425.914,541.888,0.017,430.31,571.552,0.016,434.806,594.629,0.018,437.5,598,0.05,425.214,594.869,0.016,393.338,595,0.019,353.666,604.317,0.018,310.64,621.888,0.012,281.742,630.315,0.017,276.3,629.65,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,2093,LMCHG
207,352,0,234.206,357.038,0.018,260.997,360.521,0.017,286.781,363.884,0.018,312.671,364.42,0.017,336,365.5,0.016,363.185,365,0.015,386.622,365,0.017,424.525,367.718,0.017,442.348,372.099,0.017,455.799,378.9,0.017,462.892,385.622,0.017,470.771,399.354,0.017,478.5,414.5,0.017,482.551,432.478,0.015,485.515,452.635,0.017,488.639,473.714,0.017,490.002,499.056,0.017,491.123,522.579,0.016,491,546.172,0.017,491,572.539,0.018,492.485,592.217,0.017,494.221,612.211,0.016,495.732,629.515,0.016,497.707,644.948,0.017,498,657.755,0.017,500.192,665.672,0.016,498.783,672.303,0.017,499,675.013,0.018,496.079,675.461,0.017,491.501,675.583,0.016,482.647,676.706,0.016,467.602,677,0.018,449.843,679.842,0.016,427.555,683.217,0.016,400.387,686.577,0.025,376.435,689.938,0.011,352.907,693.299,0.016,325.056,698.789,0.017,301.028,704.414,0.016,278.15,710.814,0.016,256.43,716.624,0.017,243.525,721.173,0.017,228.842,725.664,0.016,219.397,728.868,0.017,216.354,730.823,0.049,216,726.668,0.017,216,722.399,0.017,217.019,712.831,0.017,218.141,693.595,0.016,220.529,677.03,0.017,220,653.263,0.019,221.5,632.5,0.016,219.375,608.628,0.015,218.252,586.53,0.018,217.129,566.317,0.016,215.007,547.063,0.017,213.888,532.539,0.016,211.524,522.858,0.017,212,515.492,0.017,212,512.088,0.049,221.244,513.151,0.018,232.646,512.032,0.017,247.147,508.735,0.016,262.954,505.367,0.017,282.731,500.652,0.019,297.377,493.267,0.016,314.486,484.969,0.016,329.808,478.497,0.016,341.387,474.538,0.017,353.374,473.057,0.017,363.594,473,0.016,368.943,475.377,0.017,375.855,481.546,0.018,382.574,494.29,0.017,386.655,509.171,0.017,390.024,526.467,0.015,393.389,543.944,0.017,395.837,561.697,0.017,399.118,573.392,0.016,404.787,585.732,0.017,406.577,591.731,0.017,408.797,594.196,0.049,404.455,592.228,0.018,399.539,591.108,0.016,387.861,591,0.017,369.831,593.271,0.018,353.13,596.774,0.016,330.805,602.893,0.018,308.033,614.485,0.023,298.805,620.098,0.011,289.784,624.236,0.015,285.403,625,0.017,283.5,625,0.017,288.163,625,0.093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,1752,LMCHG
207,404,0,273.094,405,0.017,296.414,401.011,0.017,341.413,398.266,0.017,389.558,397,0.017,447.281,398.219,0.017,468.717,402.929,0.016,482.826,410.119,0.014,489.848,423.595,0.017,493.197,444.77,0.017,494,477.601,0.017,493.686,516.038,0.016,493.929,559.505,0.017,497.17,599.062,0.017,504.245,633.227,0.017,509.657,664.232,0.016,512,687.185,0.016,512,701.845,0.017,509.614,706.771,0.018,497.358,708.627,0.016,473.795,707.128,0.016,437.973,701.662,0.017,395.119,696.284,0.019,352.145,692.398,0.016,305.061,693,0.017,256.279,698.258,0.017,219.455,704.979,0.017,196.952,704.422,0.016,190.177,697.709,0.016,189.063,685.683,0.017,193.62,656.662,0.018,199,625,0.016,198,588.056,0.016,195.961,550.374,0.017,195.28,520.921,0.019,194,499,0.016,199.32,489.68,0.011,215.118,483.971,0.017,242.793,479.494,0.017,278,475,0.016,312.24,469.003,0.017,345.871,462.03,0.017,374.31,458.769,0.017,397.748,466.899,0.017,409.333,486.389,0.017,420.846,514.538,0.016,428.609,544.231,0.017,433.896,569.034,0.017,439.692,580.385,0.016,436.942,581,0.017,426.174,575.087,0.017,398,571,0.016,364.944,575.369,0.017,325.473,587.186,0.017,294.683,598.106,0.017,277.5,605.5,0.015,282.662,604,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,2040,LMCHG
207,396,0,282.021,399,0.015,324.74,396.593,0.021,368.067,395.347,0.018,426.983,393.106,0.016,460.931,393,0.016,493.477,396.782,0.015,510.361,405.115,0.015,518.733,415.332,0.017,522.105,433.942,0.019,520.646,451.833,0.024,520.398,479.229,0.018,516.312,514.501,0.015,510.835,555.399,0.019,506.673,598.884,0.036,511.814,671.391,0.026,515,692.492,0.008,516.308,709.159,0.022,514.455,717.091,0.018,511.426,720.787,0.016,499.871,723.018,0.017,484.223,723,0.014,455.885,722,0.015,421.323,720.237,0.017,379.45,719.024,0.017,336.612,719,0.017,296.754,720.485,0.017,253.642,722.742,0.015,222.721,725.952,0.014,200.386,731.475,0.022,190.594,731.531,0.015,186.587,725.174,0.016,186,710.385,0.018,189.411,683.948,0.016,191,651.303,0.015,192,615.698,0.014,192,584.048,0.021,195.352,553.533,0.013,201.233,527.891,0.017,206.5,510,0.017,209.901,503.198,0.013,216.596,499.702,0.024,245.087,493.491,0.023,294.042,489.122,0.028,367.07,487.362,0.019,397.502,491.834,0.015,424.88,506.88,0.017,431.431,531.584,0.02,435.467,557.066,0.028,442.899,601.696,0.016,444,608.389,0.072,426.558,600.584,0.011,394.289,596.953,0.016,354.286,597,0.018,305.439,605.21,0.016,271.46,616.882,0.017,254.896,622.021,0.033,259.173,615.827,0.106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,2213,LMCHG
