@relation RegistrosP4MCPP
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
183,411,0,293.045,410,0.017,354.784,409,0.017,408.613,409,0.015,482.968,411.87,0.017,499.423,416.356,0.016,507.923,419.845,0.017,508,425.486,0.017,505.594,438.436,0.017,500.703,460.783,0.018,496.212,488.517,0.017,492.735,519.991,0.017,489.248,555.014,0.017,485.761,588.292,0.017,484,636.795,0.021,485.231,664.546,0.013,486,686.247,0.017,485.283,693.15,0.017,480.122,697.919,0.017,461.792,703.401,0.017,427.579,707.886,0.017,387.004,707.316,0.016,347.353,706,0.01,308.908,707,0.017,273.558,708.413,0.016,244.76,709,0.016,225.728,706.208,0.017,220.86,701.721,0.029,219.619,697.238,0.017,217.374,687.243,0.011,216.133,665.458,0.017,214.892,638.484,0.017,212.644,607.021,0.03,209.803,574.019,0.011,205.322,542.252,0.017,200.852,516.186,0.017,202.328,499.702,0.018,206.707,494.431,0.01,216.059,492.188,0.015,246.91,487.893,0.016,292.679,482.103,0.018,346.5,482,0.016,382.875,484.554,0.017,395.068,490.068,0.016,395,496.539,0.018,394,504,0.016,390.246,523.294,0.007,391,543.943,0.017,395.475,565.901,0.017,399.962,579.885,0.03,402.723,589.168,0.01,403,593,0.033,398.342,593,0.018,372.551,593.573,0.016,338.755,594.816,0.017,311.481,597.058,0.016,304.396,600.302,0.152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,2036,MCPP
188,410,0,258.099,400.8,0.017,307.721,398.664,0.017,363.27,397,0.036,456.236,397,0.011,477.502,400.188,0.018,482.435,407.305,0.017,484.677,415.386,0.016,486,431.285,0.017,487.162,450.455,0.018,490.81,478.268,0.016,493.647,510.062,0.015,494,544.407,0.026,492.865,578.895,0.011,494.376,610.886,0.018,495.619,640.053,0.016,496.137,660.907,0.017,496,678.853,0.017,498.351,689.403,0.016,496.407,695.185,0.016,491.128,696.957,0.018,469.448,698.196,0.016,435.485,699.442,0.017,392.016,700,0.016,349.356,701,0.016,309.549,701,0.016,271.788,703.411,0.017,241.797,706.655,0.015,221.624,708,0.016,213.583,705.861,0.016,209.232,698.464,0.019,205.752,687.631,0.015,201.269,667.346,0.017,197.787,641.725,0.016,193.646,610.042,0.015,193.595,576.068,0.016,195,547.096,0.017,193.918,527.426,0.016,192,513.372,0.017,196.067,510,0.017,207.501,511,0.017,241.435,507.656,0.017,292.367,504.171,0.017,341.859,504,0.017,376.922,506.804,0.017,388.291,511.291,0.033,385,519.5,0.017,387.75,532.752,0.016,390.996,551.963,0.016,398.714,569.666,0.016,402.956,587.823,0.017,405.723,595.446,0.017,406,600.935,0.016,406,603.206,0.05,398.552,604,0.018,370.057,606.055,0.016,332.282,604.699,0.019,297.5,603.5,0.016,280.43,604,0.017,284.2,605.05,0.134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,2224,MCPP
189,410,0,234.334,410,0.017,274.217,410,0.017,319.245,406.675,0.016,388.784,404.094,0.018,428.539,405.149,0.017,454.301,407.391,0.017,466.767,409.628,0.01,479.503,412.876,0.014,484.119,418.238,0.017,486.363,427.815,0.017,486,444.845,0.015,487,469.192,0.017,485.91,500.445,0.026,486,535.639,0.015,487.576,573.795,0.016,489.819,611.737,0.017,492,646.92,0.017,495.304,674.644,0.018,494.456,694.81,0.016,490.214,708.932,0.016,480.866,716.054,0.017,459.01,722.815,0.018,430.323,728.027,0.017,393.615,730.759,0.016,355.994,732,0.017,317.021,733,0.019,287.694,734.485,0.017,258.774,733.27,0.016,236.283,731.057,0.017,216.526,727.579,0.018,208.19,722.095,0.017,205.3,712.501,0.016,203,694.531,0.017,203,669.787,0.017,204,640.477,0.017,204.33,610.624,0.016,203.088,581.138,0.017,200.849,556.489,0.017,198.206,535.426,0.017,200.64,522.438,0.016,205.534,515.349,0.033,236.748,508.5,0.017,288.204,504.024,0.016,337.37,504,0.014,381.582,506.974,0.017,396.88,511.44,0.017,397,518.381,0.017,396,531.214,0.016,397.947,548.524,0.017,401.373,568.491,0.017,407.284,591.28,0.017,408.675,602.701,0.016,407.083,608.833,0.016,400.52,609,0.017,365.408,609,0.014,322.535,605.359,0.029,289.5,605,0.217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,2175,MCPP
191,410,0,261.507,407.071,0.017,309.735,404.83,0.018,355.658,402.588,0.017,412.176,400,0.029,438.816,400.785,0.013,456.823,402.137,0.018,466.515,405.379,0.016,474.729,409.622,0.015,484.596,413.731,0.017,492.326,419.217,0.016,497.7,427.4,0.017,504.187,443.154,0.015,506.164,465.033,0.01,503.862,490.899,0.017,506.32,517.841,0.018,507,549.468,0.016,505.191,580.134,0.017,501.951,610.688,0.017,498.716,639.411,0.017,498.537,664.371,0.008,500.778,685.445,0.015,502,700.145,0.017,498.613,713.161,0.016,492.501,715.749,0.018,476.086,716,0.016,436.516,713.528,0.016,398.526,709.058,0.017,368.094,704.281,0.017,336.483,704.966,0.017,303.299,708.416,0.016,275.211,710.445,0.017,250.415,712,0.017,229.621,712,0.017,217.295,711.824,0.017,213.172,709.172,0.016,210.021,702.702,0.015,205.192,688.67,0.017,202.862,666.479,0.016,200.228,643.139,0.018,200.372,618.459,0.015,199,589.67,0.017,194.775,559.539,0.016,188.925,534.418,0.018,185.398,519.391,0.016,186.686,510.471,0.017,192.21,507.916,0.016,212.626,506.67,0.019,248.12,506,0.016,292.471,504.186,0.017,335.011,502.947,0.016,369.826,502,0.018,386.254,501.542,0.016,392,502,0.033,392,509.29,0.016,393.387,519.937,0.018,394.631,537.048,0.015,398.748,556.864,0.016,404.351,572.818,0.016,411.079,587.157,0.018,412,592,0.032,406.097,594.968,0.017,385.493,601.836,0.017,350.68,605.903,0.017,317.574,608.695,0.016,301.305,609,0.025,302.447,610.149,0.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,2379,MCPP
191,411,0,257.505,404.809,0.016,305.371,401.165,0.017,353.715,398.922,0.017,435.814,398,0.017,465.582,400.564,0.016,494.081,402.616,0.027,507.045,404.091,0.02,505.589,409.617,0.016,501.688,425.905,0.016,497.1,446.101,0.017,497.278,471.528,0.016,498.383,502.742,0.016,500.5,534,0.018,505.738,568.165,0.013,507,601.493,0.017,504.286,630.283,0.018,503,654.363,0.015,502,672.555,0.017,502,684.401,0.017,503,690.977,0.034,497.622,694,0.016,490.269,694.933,0.017,464.423,696.172,0.017,425.707,696,0.021,389.458,695,0.029,348.897,694,0.007,305.986,694,0.016,266.397,695,0.018,235.841,696,0.016,211.264,697,0.017,189.212,697,0.016,181.927,696,0.049,181,687.138,0.019,181,666.747,0.017,182,643.102,0.017,183,613.347,0.016,183.933,581.007,0.017,184,550.562,0.016,184,529.242,0.018,184.659,515.706,0.015,186.804,509.196,0.017,192.43,506.857,0.016,218.019,504.614,0.018,265.436,503.628,0.015,310.345,504,0.017,351.953,502.885,0.016,378.205,503,0.018,385.598,505.197,0.016,384.036,511.891,0.018,383,523.215,0.017,385.892,536.677,0.018,393.764,560.219,0.02,401.787,579.362,0.016,410.515,593.859,0.017,414.417,599.833,0.017,408.869,601.217,0.018,393.794,600,0.016,356.998,598.733,0.017,309.5,598,0.017,286.251,598.75,0.016,283.984,601.984,0.104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,2243,MCPP
189,401,0,269.478,406.187,0.017,323.505,407.438,0.017,387.341,407,0.015,463.531,409.923,0.016,491.454,413.162,0.017,499.633,416.408,0.034,502,425.077,0.017,500.987,440.089,0.017,501.251,460.508,0.018,501.995,486.962,0.016,507.22,515.361,0.017,511.984,544.792,0.025,513,575.929,0.013,512,606.66,0.017,511,634.871,0.016,510,658.617,0.017,510,676.57,0.016,507.561,686.317,0.017,505.5,690,0.032,499.77,688.943,0.018,484.686,686.586,0.017,451.846,683.344,0.016,405.344,680.204,0.017,360.352,676.861,0.017,317.058,674.614,0.017,280.003,676.625,0.016,247.413,678,0.016,224.874,678,0.016,216.932,674.288,0.017,214.279,669.837,0.017,211.039,659.231,0.017,207.798,637.773,0.015,204.114,614.568,0.017,196.621,587.415,0.016,193.067,561.738,0.017,194.174,539.436,0.016,193,526.927,0.017,193.319,519.021,0.016,200.502,515.1,0.017,217.146,509.714,0.016,256.978,505.225,0.017,311.465,501.371,0.014,359.219,499.126,0.017,389.348,499,0.016,394.722,500.361,0.032,392,508.387,0.018,394.177,522.618,0.017,396.659,540.307,0.018,400.572,562.003,0.027,402,578.688,0.021,403,591.356,0.017,398.671,594.664,0.017,383.124,596.813,0.017,350.791,599.147,0.016,307.197,600,0.019,291.202,600.633,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,2191,MCPP
180,403,0,258.341,406,0.017,313.441,404.065,0.024,371.229,402,0.012,443.552,402,0.02,478.893,403,0.016,494.625,405.906,0.015,498,410.448,0.017,498,420.341,0.017,497,439.058,0.016,496.877,464.406,0.019,497.117,494.289,0.016,497.36,523.034,0.017,498,555.067,0.028,499,603.528,0.017,505.844,632.321,0.017,510.452,658.975,0.017,513.305,678.255,0.016,511.063,689.748,0.017,507.639,698.542,0.017,504.153,702.423,0.017,496.001,702.334,0.016,488.275,701.092,0.016,473.953,700,0.017,448.699,701,0.017,402.838,703.632,0.017,350.831,704.123,0.013,302.433,704,0.017,262.626,703,0.017,236.36,705.604,0.02,218.619,705,0.015,209.657,701.828,0.018,193.214,697.107,0.019,186.61,692.61,0.016,186,686.201,0.017,189.18,671.377,0.017,193.847,649.763,0.031,194,624.662,0.011,192,598.189,0.017,192.147,570.236,0.016,191,548.07,0.008,192.264,530.578,0.015,195.634,515.731,0.017,202.475,510.881,0.031,210.812,509,0.012,232.888,507.395,0.016,274.557,504.156,0.017,320.854,503,0.03,361.682,503.334,0.011,390.146,505.572,0.016,398.817,508.633,0.017,399,513.115,0.016,398,521.518,0.018,398,536.81,0.008,398.788,557.877,0.016,401.029,577.29,0.016,405.273,595.91,0.018,407,604.541,0.008,404.237,607.119,0.017,397.524,604.762,0.017,369.565,604,0.017,338.717,603.607,0.016,309.524,604,0.017,289.095,605,0.016,288.358,606.179,0.124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,2334,MCPP
202,414,0,250.859,408.42,0.016,286.165,406.177,0.016,325.119,402.868,0.017,394.923,399.389,0.016,425.141,397.901,0.017,455.526,396.206,0.017,483.43,397.033,0.017,499.921,401.549,0.017,506.519,405.556,0.014,506.115,415.427,0.017,503.877,432.103,0.017,504,449.938,0.017,505.218,475.09,0.016,507.702,501.213,0.012,511.094,530.322,0.017,513,559.69,0.016,514,586.091,0.016,513,610.028,0.016,512,630.446,0.016,512,648.74,0.018,511,657.645,0.016,510.21,666.161,0.016,510,673.099,0.017,505.456,677.544,0.032,495.406,681.037,0.01,483.436,686.521,0.017,465.981,690.005,0.017,445.347,694.482,0.017,411.181,695,0.017,368.34,696.271,0.016,328.48,697,0.008,289.605,699.212,0.017,254.199,700.453,0.016,228.601,701,0.017,201.524,702,0.017,192.091,699.697,0.017,188,696,0.033,187,686.437,0.017,189.149,664.212,0.016,191,636.838,0.018,191,607.081,0.016,190.88,575.921,0.017,192.123,546.4,0.016,196.723,524.746,0.018,201.819,512.181,0.015,210.396,507.151,0.017,224.721,503.91,0.016,258.672,499.333,0.018,320.428,498,0.017,354.026,495.122,0.017,376.459,493.818,0.017,391.52,494.42,0.016,395,498,0.033,396,505.087,0.017,398.276,516.653,0.018,403.541,534.596,0.018,413.628,560.131,0.017,418.237,572.712,0.016,421.36,586.517,0.018,422,592.21,0.016,419.464,594.268,0.017,409.734,596,0.017,393.436,599.891,0.017,362.652,604.391,0.016,331.732,606.939,0.017,304.377,610.18,0.017,286.055,612.421,0.017,291.649,613.912,0.123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,2530,MCPP
185,407,0,261.678,408,0.018,310.631,405.426,0.016,363.46,402.182,0.017,433.441,402.06,0.017,464.604,406.601,0.017,486.5,411,0.016,489.79,415.58,0.017,492.031,424.124,0.016,492,440.903,0.01,492,461,0.017,493.879,502.674,0.018,494,534.877,0.016,492.632,569.527,0.007,490.395,604.073,0.019,489,636.064,0.013,488,662.905,0.017,490.335,687.35,0.018,493.579,699.895,0.016,493,708.453,0.016,490.753,711.062,0.009,473.955,713.305,0.018,438.091,714,0.016,401.567,714,0.016,368.504,712,0.016,333.805,712.28,0.018,297.203,712,0.007,266.867,713.761,0.017,236.942,714,0.017,207.246,712.75,0.019,190.526,711.509,0.016,187.855,706.291,0.017,189.094,699.624,0.016,188,682.276,0.018,189.582,655.012,0.016,190,623.452,0.017,190,588.015,0.016,187.691,553.672,0.018,184.448,524.923,0.011,183,505.235,0.017,185.037,496.889,0.016,189.562,496,0.018,209.305,496,0.031,281.1,490.232,0.016,335.045,487.873,0.017,370.539,488,0.017,376,492.844,0.016,376,497.711,0.016,375,506.482,0.017,376,526.426,0.018,385.922,549.012,0.016,397.133,572.266,0.016,405.197,592.458,0.017,408.311,603.553,0.018,408,609,0.032,401.243,610,0.017,374.282,610,0.016,333.627,606.203,0.016,302.838,602.355,0.015,289.5,603.5,0.032,298.5,604.25,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,2196,MCPP
175,406,0,227.218,407.072,0.031,265.939,408,0.007,310.109,408,0.021,383.169,408,0.018,429.864,407,0.017,464.673,406,0.018,484.108,407,0.016,490.539,408.769,0.016,494.013,413.025,0.017,495.253,420.267,0.017,497.496,436.474,0.017,500.477,457.863,0.017,501,480.84,0.017,500.664,524.704,0.014,498.408,553.876,0.016,496.167,582.662,0.016,495,607.814,0.017,492.681,630.874,0.018,493.563,648.939,0.016,494,658.413,0.017,493,664.091,0.01,489.589,668.411,0.033,465.348,674.554,0.017,433.625,677.021,0.016,400.544,680.524,0.017,364.5,684,0.017,324.126,687.487,0.017,285.214,689.988,0.016,255.991,692.231,0.016,238.226,693.472,0.017,221.417,695,0.017,212.154,695,0.017,209.8,692.8,0.032,209.433,686.166,0.017,207.191,668.915,0.017,202.901,643.409,0.017,199.416,610.91,0.019,193.5,577.5,0.017,186.441,543.866,0.016,182.975,518.725,0.017,184.534,502.399,0.017,190.5,497,0.016,213.519,493.496,0.018,250.852,492,0.017,297.476,488.764,0.017,344.055,488,0.017,374.228,490.446,0.017,388.862,494.931,0.017,390,502.987,0.012,390.571,519.851,0.015,392.813,544.751,0.017,397.111,569.5,0.016,401.599,588.397,0.019,403.5,595.5,0.015,399.184,598,0.018,381.054,599.15,0.016,336.807,600,0.019,297.535,601.631,0.015,278.367,603,0.016,282.322,604.081,0.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,2209,MCPP
