@relation RegistrosP4MCPR
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
295,591,0,332.332,597.704,0.015,350.768,599,0.023,366.32,599,0.013,395.67,600.479,0.019,401.758,600,0.016,408.819,601,0.011,407.941,598.881,0.034,405.591,593.181,0.012,403.981,574.695,0.025,403.659,549.935,0.016,403,532.708,0.016,401.159,518.954,0.022,398.899,505.698,0.012,398,501.553,0.084,393.705,503,0.035,385.435,504,0.014,374.712,504,0.013,364.355,504,0.018,345.915,503,0.013,328.238,502.36,0.015,307.853,502,0.02,282.477,503,0.017,261.075,503,0.016,244.277,502,0.022,226.123,500.14,0.013,215.483,498.871,0.029,206.009,497.67,0.008,200.822,497,0.009,200,499.534,0.019,202.323,503.323,0.02,200.457,510.259,0.012,199.194,526.643,0.017,195.957,541.256,0.017,193.7,562.996,0.016,194,581.056,0.013,194.772,602.175,0.02,198.027,625.269,0.015,201.569,645.843,0.018,204.5,663,0.018,206.709,681.253,0.031,209,692.18,0.016,210,696.502,0.05,212,700.094,0.066,216.352,699.824,0.021,222.85,701,0.021,235.719,702,0.013,251.551,702,0.021,272.052,701.993,0.018,293.136,701,0.011,317,701,0.021,343.129,700,0.013,369.189,698.981,0.017,394.816,699,0.016,413.5,699,0.021,431.095,699,0.014,446.847,699,0.017,459.046,697.791,0.016,467.858,699.464,0.017,478.761,699,0.027,488.127,701.063,0.015,492.435,701,0.049,494,697.985,0.017,494,692.388,0.019,494,685.513,0.012,495.887,671.788,0.017,497.137,656.043,0.018,498,635.351,0.018,498,615.92,0.019,498,596.328,0.013,496.889,575.892,0.023,495.679,556.786,0.013,492.826,534.718,0.015,491.185,510.853,0.018,490,489.201,0.022,489.698,469.285,0.03,489,441.311,0.015,488,425.498,0.018,487,415.528,0.02,485.587,409.76,0.037,485,405.469,0.037,481.769,402.885,0.05,474.099,404.967,0.019,466.364,406,0.014,458.113,407.472,0.018,443.306,407.712,0.021,427.352,408,0.013,405.733,407,0.017,388.862,405.552,0.016,365.599,404.325,0.018,341.563,404,0.017,315.665,404,0.022,291.88,404,0.014,268.371,404,0.016,245.837,404,0.018,226.513,402.835,0.023,214.482,401.62,0.017,206.103,400.368,0.011,201.198,398.733,0.03,207.181,403.59,0.028,200,4330,MCPR
297,615,0,341.108,615.53,0.015,365.46,612.564,0.022,383.86,610.02,0.015,397.599,609,0.135,395.593,600.778,0.014,396,592.604,0.014,396.908,574.922,0.017,397,553.504,0.012,398,526.787,0.024,398,499.97,0.014,398,494.5,0.047,393.648,499.352,0.031,383.586,502,0.015,373.396,503,0.015,350.816,502.585,0.017,318.493,503,0.017,284.384,504.09,0.021,251.628,504.336,0.015,231.337,504,0.02,220.61,504,0.016,220,506.154,0.032,221.239,513.565,0.017,221,533.115,0.021,219.763,556.085,0.015,217.467,585.997,0.017,216.262,616.552,0.012,216.016,647.747,0.024,217.207,671.073,0.012,218,687.99,0.022,221.107,688,0.051,227.41,690.137,0.023,236.171,692.528,0.025,270.402,695.906,0.016,307.037,693.84,0.017,349.192,691.6,0.018,402.853,692.624,0.012,447.819,694.885,0.017,480.931,698.258,0.021,495.999,700.666,0.012,498,704.541,0.038,492.921,699.762,0.016,492,695.305,0.017,489.41,689.23,0.016,488,678.11,0.017,487.937,659.437,0.026,489.283,631.041,0.014,492.08,592.819,0.014,495.574,552.619,0.016,499.032,518.773,0.017,502.268,489.511,0.013,505.502,464.474,0.017,509.484,441.322,0.012,512,419.996,0.022,511.5,409,0.03,504.108,412.964,0.016,498.368,415.211,0.019,490.59,419.94,0.015,465.232,420.651,0.022,423.254,422.934,0.013,368.566,424,0.022,315.836,425.407,0.014,262.399,425.336,0.024,222.561,420.276,0.013,197.144,414.662,0.022,186.441,412.61,0.034,188.042,412,0.025,194.039,412.424,0.116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,3012,MCPR
298,611,0,334.727,612,0.017,361.99,608.835,0.009,388.643,603.271,0.016,418.064,597.812,0.021,423.662,597,0.084,418.96,591.92,0.013,415.675,584.701,0.028,415.633,565.204,0.014,416.901,546.889,0.018,420.163,529.859,0.025,420,515.358,0.014,418,506.07,0.025,414.048,502.024,0.02,410.515,502.243,0.013,406.016,503,0.021,400.92,504.693,0.015,393.144,505,0.021,370.831,505,0.017,340.939,507.471,0.02,311.873,506.323,0.011,280.516,504.037,0.02,254.574,504,0.02,225.703,503.55,0.014,214.82,504,0.024,209.932,504,0.031,211.526,509.578,0.014,210.253,521.978,0.017,207.979,536.103,0.023,205.503,557.483,0.012,202.5,577,0.018,200.274,605.71,0.03,201.074,643.893,0.014,202.36,662.163,0.017,204.6,680.197,0.016,205.814,688.629,0.017,208.111,691.111,0.082,212.029,692.015,0.031,217.792,694.264,0.023,233.624,696.762,0.021,255.109,698,0.015,286.083,696.743,0.017,325.921,695.478,0.016,365.214,694,0.016,402.291,694,0.021,433.018,697.464,0.019,456.751,701.938,0.014,474.746,704.678,0.01,485.745,706,0.017,488.205,704.897,0.051,488,700.461,0.034,489.096,696.808,0.051,487.113,689.227,0.017,485.856,680.278,0.017,486,659.123,0.015,488.5,633,0.047,489.004,580.933,0.012,489,548.638,0.017,490.494,515.081,0.019,490.704,481.74,0.026,495.194,433.837,0.017,497.326,407.419,0.016,498.438,395.314,0.014,498,396.357,0.026,494.455,402.545,0.016,490.464,406.536,0.029,484.958,408,0.017,474.336,408.277,0.019,443.857,407,0.014,391.217,409.539,0.02,338.81,410.966,0.014,280.853,412,0.012,238.807,412,0.017,212.671,410.297,0.016,195.195,408.033,0.017,190.549,404.549,0.037,197.33,398.334,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,3214,MCPR
298,608,0,337.189,604,0.017,354.111,604,0.025,377.236,603,0.014,388.353,602,0.014,395,601,0.013,398,598.893,0.019,396,590.113,0.012,396,574.775,0.021,395,556.712,0.018,395,533.5,0.021,395,513.326,0.013,395,501.613,0.03,389.64,501.18,0.036,379.348,502,0.012,366.606,501,0.014,349.195,501,0.014,326.417,501,0.019,301.735,502.289,0.014,277.69,502,0.013,252.123,501,0.01,229.426,501,0.02,213.358,501,0.013,200.414,502,0.029,192.977,502,0.068,193.037,513.852,0.016,193,534.38,0.015,194,556.362,0.019,195.08,580.716,0.016,194,601.899,0.016,195,627.198,0.018,197,648.066,0.016,197.534,663.136,0.013,199.875,679.377,0.013,201,689.545,0.019,203.5,696,0.032,207.134,701.067,0.069,213,699,0.016,221.563,699,0.011,234.4,699,0.012,249.175,699,0.017,269.295,698.386,0.016,288.834,696.024,0.021,313.174,692.638,0.021,337.567,692,0.013,360.622,690.911,0.017,379.735,691,0.019,399.245,691,0.016,418.262,691.18,0.011,434,692,0.017,452.488,692,0.017,465.097,692,0.03,482.073,692.768,0.026,489.262,693,0.042,493,692.972,0.049,489.983,684.975,0.014,488.577,676.731,0.021,488.233,662.698,0.017,489,643.993,0.016,488,624.5,0.02,488.144,601.008,0.014,488.796,577.365,0.025,489,546.515,0.015,489.054,525.568,0.012,490,501.257,0.016,491,479.215,0.017,492,459.036,0.026,492,438.424,0.011,491.984,423.934,0.015,490,409.03,0.022,490,401,0.083,483.944,404,0.027,474.818,403.455,0.013,462.234,401.078,0.02,443.903,399,0.016,426.085,399,0.017,402.864,401.162,0.017,382.5,404.5,0.016,360.878,407,0.029,333.2,409,0.014,310.103,410,0.032,282.699,410,0.017,265.538,409,0.021,247.212,408,0.017,226.969,403.594,0.015,218,399.5,0.03,211.461,398,0.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,5894,MCPR
293,597,0,316.576,596.859,0.015,328.7,597,0.018,339.197,598,0.017,348.793,599,0.016,361.284,600,0.015,368,600,0.036,378.521,600,0.016,386.033,600,0.013,391.543,599,0.016,395,596.872,0.035,393,587.197,0.015,394.323,572.386,0.022,394,560.375,0.01,395,540.404,0.01,395.487,528.949,0.017,395,517.305,0.014,395,507.531,0.012,392.823,499.645,0.101,386.577,500,0.033,379.948,501,0.016,373.454,500,0.036,365.589,498.863,0.021,357.558,499,0.014,350.806,499,0.015,342.203,499,0.034,336.929,499,0.038,329.665,499,0.016,323.951,499,0.017,315,499.5,0.024,308.911,498,0.014,302.265,498,0.015,293.775,497,0.017,283.729,498.135,0.018,277.088,498,0.021,270.312,498,0.013,262.298,497,0.028,254.844,496,0.012,246.929,495,0.012,240.102,495,0.036,228.962,492.987,0.018,220.198,493,0.035,211.632,494,0.053,209,499.05,0.067,209,506.022,0.012,206.585,522.077,0.023,207,535.286,0.01,208,549.639,0.011,209,563.896,0.012,210,578.217,0.02,211.253,594.265,0.018,211.582,606.91,0.014,211,626.157,0.019,210,637.811,0.018,210,652,0.021,209,661.497,0.029,208,679.592,0.025,208,691.309,0.018,209,697.537,0.035,211.266,701,0.05,218.805,703,0.033,228.083,706,0.016,240.642,707,0.021,250.692,706,0.017,264.106,705,0.018,277.424,703.394,0.019,290.951,703,0.019,306.354,701.661,0.017,329.085,700,0.02,347.27,697.788,0.016,367.714,695.457,0.011,386.446,694.092,0.012,402.388,693.278,0.013,418.946,693,0.017,432.11,693,0.016,444.577,693,0.019,455.487,693,0.012,466.516,694,0.016,477.924,694.481,0.015,486.66,695,0.021,492.338,697.169,0.069,492,694.73,0.034,488,667.868,0.021,487,656.355,0.015,486,638.082,0.017,486,625.297,0.014,486.709,610.544,0.012,486,595.785,0.02,487.035,577.754,0.015,487.412,559.941,0.014,487,538.571,0.016,489.149,515.806,0.017,490,495.498,0.02,490.852,470.89,0.029,491,441.403,0.019,491.292,421.749,0.02,491,406.791,0.01,491,394.649,0.015,487.866,396.268,0.05,477.608,401,0.018,337,7746,MCPR
293,610,0,330.575,606,0.014,353.545,604.065,0.024,383.319,604,0.023,395.561,605,0.008,397.967,601.934,0.031,398,593.056,0.011,398,573.907,0.012,398,555.605,0.022,398,535.671,0.011,397,518.211,0.024,396,502.16,0.029,392.87,502.261,0.033,381.566,501,0.015,365.5,502,0.021,339.97,503,0.019,313.733,503.252,0.021,290.227,501.403,0.017,267.258,500,0.019,241.899,502,0.018,218.217,503,0.015,198.856,503,0.011,187.118,503,0.036,184.095,505.19,0.034,183.247,519.271,0.021,184,539.622,0.017,185,568.294,0.01,186.836,597.85,0.021,189.221,628.771,0.017,192.591,657.548,0.016,195.943,680.603,0.017,197.299,694.196,0.013,199.669,706.338,0.017,204.27,708,0.036,212.681,706,0.017,226.648,705,0.016,251.665,703.048,0.016,284.208,698.679,0.023,331.881,696,0.015,366.047,698.186,0.013,393.533,701,0.018,417.409,703.926,0.017,435.454,706.291,0.019,453.589,709,0.016,466.157,710,0.017,478.108,712,0.012,485,713,0.029,485.729,707.188,0.016,487,700.044,0.025,487,686.092,0.012,486.346,660.421,0.019,484,622.519,0.023,482,588.194,0.012,482,550.609,0.025,481.61,498.712,0.018,484,463.595,0.017,485.082,434.347,0.015,486.47,411.122,0.01,487,401.323,0.014,484.772,401.228,0.036,475.177,404,0.018,461.522,406,0.022,434.16,402.351,0.014,396.594,398,0.026,320.88,404.964,0.015,257.354,410.869,0.016,209.168,411.764,0.018,180.41,411.402,0.015,168.5,411,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,4293,MCPR
306,603,0,340.34,603,0.016,360.209,603,0.014,382,605,0.015,394.956,604,0.023,399.267,605,0.084,399,598.457,0.017,399,591.225,0.016,399,576.993,0.016,398,565.562,0.021,396.531,552.124,0.016,397,537.458,0.022,397,527.289,0.018,397,511.5,0.021,396.063,503.127,0.017,391.911,504.044,0.051,384.227,503,0.015,377.525,503,0.014,370,503,0.034,360.755,503,0.017,347.207,503,0.015,335.55,504,0.016,322.205,504,0.022,308.884,503,0.016,295.32,503,0.017,274.372,504.326,0.02,253.019,505,0.017,240.871,506,0.017,226.444,505,0.022,217.484,504,0.013,212.858,504,0.136,215.268,510.536,0.122,214,557.245,0.017,214,577,0.014,213.829,601.975,0.019,214,623.995,0.012,215,642.154,0.029,216,664.43,0.023,217,681.348,0.018,217,694.235,0.012,217,706.868,0.018,217,712.36,0.134,224.696,712.232,0.034,237.92,712,0.017,252.853,710.629,0.017,275.184,709.303,0.017,300.767,706.904,0.015,328.918,704,0.019,353.377,699,0.017,376.135,697,0.019,397.063,696,0.01,413.499,697,0.017,431.324,698,0.026,447.796,698.633,0.01,461.961,699,0.017,475.436,701.359,0.018,485.5,702.5,0.035,490.076,700.962,0.034,487.721,693.582,0.039,487,682.015,0.02,487,662.265,0.014,487,639.301,0.013,486,611.636,0.021,484,583.308,0.012,482.409,551.503,0.016,482,519.447,0.019,483,490.532,0.016,485,463.691,0.016,486,440.803,0.038,486,416.456,0.016,486,409.228,0.018,486,404.498,0.036,483.779,406.111,0.035,448.254,403.225,0.015,419.386,400.821,0.021,372,397.5,0.017,340.228,397,0.009,299.314,398.269,0.023,259.692,399,0.012,229.96,397.996,0.016,206.953,398,0.032,188.5,394.5,0.036,194.643,397,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,5806,MCPR
296,597,0,337.72,594.713,0.013,357,594,0.016,385.073,592.99,0.014,402.659,592,0.021,413.523,593,0.01,413.73,588.459,0.021,409.642,577.567,0.022,406.3,564.899,0.016,402.928,546.642,0.017,400.583,528.5,0.008,399.179,509.717,0.02,397.855,499.566,0.036,393.822,500.178,0.032,385.47,499,0.014,371.113,499,0.018,355.566,497,0.016,337.123,496.976,0.023,307.482,500.315,0.015,278.354,503.664,0.024,248.537,506,0.016,222.878,507,0.019,207.294,505,0.014,193.752,504,0.021,191.184,508.368,0.023,190.295,524.933,0.01,192,546.956,0.025,193.449,579.831,0.012,195,616.175,0.016,196,652.4,0.02,197,681.431,0.021,199.822,697.555,0.015,201,705.356,0.05,206.471,700.764,0.018,217.44,701.39,0.016,241.728,702,0.018,275.034,703,0.019,309.822,701.318,0.013,349.517,699.957,0.015,391.449,701.419,0.022,424.956,704,0.016,456.421,706,0.018,481.574,707,0.01,495.561,707,0.031,496.284,700.851,0.013,492.876,689.629,0.032,493,665.203,0.022,493,633.469,0.016,494.184,598.341,0.013,498.164,561.762,0.017,499.904,525.963,0.013,500,486.178,0.018,497.362,450.615,0.015,494.965,421.684,0.017,494,398.322,0.028,492,386,0.033,486.312,392.375,0.023,478.314,399.229,0.016,467,398.5,0.015,442.589,399,0.017,401.373,401.309,0.021,352.884,404,0.012,299.51,406,0.019,246.863,406,0.013,206.891,405,0.016,182.399,403.88,0.022,175.821,399.463,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,4117,MCPR
291,607,0,328.982,597.78,0.013,344.5,595.5,0.022,359.314,595,0.009,374.86,595,0.017,387.08,595,0.02,393.957,595,0.015,399.803,596.268,0.1,401,593.73,0.022,400,586.156,0.021,400,575.518,0.016,399,565.958,0.017,399,553.029,0.016,399,535.943,0.017,400.5,528,0.019,400,516.088,0.017,399,509.068,0.019,398,504.666,0.049,393.644,505,0.018,387.411,505,0.016,379,505,0.019,367.88,505,0.013,350.488,504.943,0.015,332.835,505,0.019,306,505,0.018,282.459,505,0.02,259.068,505,0.011,242.215,505,0.017,226.5,503.5,0.015,217.77,504,0.017,210.048,503.016,0.016,204.537,503,0.083,204,509.818,0.015,202.789,521.053,0.023,201.578,533.688,0.011,200.68,547.125,0.018,200.095,563.427,0.013,199,580.676,0.017,200,599.471,0.015,201,619.828,0.015,202,639.008,0.017,203,659.236,0.016,204,681.431,0.022,205,696.312,0.011,206.876,708.504,0.013,208.5,712,0.022,211.178,711.911,0.038,215.922,711,0.017,225.933,711,0.013,241.744,712,0.021,262.32,711,0.011,285.832,709.685,0.021,317.006,707.466,0.016,348.199,703.4,0.018,378.589,700.955,0.016,403.64,701,0.035,435.626,702,0.011,454.167,702,0.018,466.813,702,0.025,477.417,702.354,0.013,483,701.5,0.036,482.935,699.87,0.021,481.5,693.5,0.031,481.94,684.239,0.014,483.201,667.39,0.022,484.4,651.8,0.011,486,632.614,0.016,486,613.727,0.017,487,593.65,0.016,487,568.014,0.018,487.626,547.49,0.025,487,527.063,0.019,486.894,503.938,0.01,487,479.353,0.017,487,457.29,0.017,486,438.126,0.018,484,406.672,0.011,483.4,399.201,0.019,483,395,0.036,484.083,397.25,0.024,478.728,403.636,0.02,473.261,405,0.031,463.198,405.733,0.014,451.247,404,0.013,428.904,404,0.02,395.9,406.007,0.012,357.882,408.275,0.032,299.316,409,0.025,264.059,409,0.008,238.895,407.889,0.016,217.226,406.653,0.017,203.473,404.412,0.029,195.494,402.165,0.013,197.177,402,0.02,203.801,408.008,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,3938,MCPR
295,591,0,328.252,598,0.023,348.651,599,0.016,375.886,597.519,0.018,398.268,598,0.012,409.524,599,0.016,407.739,593.217,0.009,407,560.625,0.013,408.871,533.906,0.021,407.797,507.968,0.012,407,501,0.051,400.685,501,0.05,391.909,503.045,0.014,378.31,502,0.026,349.81,502,0.016,320.039,500.731,0.015,289.181,500.38,0.018,260.949,498.994,0.017,238.556,498.651,0.01,218.826,498,0.017,207.624,497,0.015,199.128,497.436,0.01,196,501.044,0.035,196.347,512.916,0.013,193,536.231,0.023,190.602,567.581,0.015,192.748,598.987,0.016,196.298,630.042,0.018,200.51,659.567,0.015,203.86,684.019,0.017,206,700.121,0.012,208.5,712.5,0.016,211.127,717.063,0.085,217.347,714.827,0.032,226.953,715,0.015,242.926,715,0.018,259.889,713.264,0.018,281.725,710.879,0.014,307.92,708.51,0.023,334.656,706.192,0.012,362.376,705,0.015,389.538,704,0.015,412.367,703,0.011,434.883,702,0.017,455.258,702.348,0.018,471.207,703.041,0.017,485.536,704,0.016,491.481,706,0.018,496.387,708,0.029,502.532,711.266,0.085,501.984,702.953,0.014,502.421,690.896,0.014,504,663.581,0.015,505,640.716,0.019,504,620,0.021,502,593.026,0.018,501,566.532,0.018,501,539.944,0.021,499.904,512.14,0.012,500,489.75,0.022,499,468.94,0.009,498,447.022,0.016,497.43,430.582,0.016,496,413.569,0.016,496,396.757,0.087,492,402.33,0.054,485.345,403,0.023,475.528,403,0.017,462.172,403,0.016,447,404,0.017,426.319,405.936,0.017,398.749,407.281,0.019,374.5,408,0.016,353.062,408,0.021,317,409,0.017,290.541,410,0.017,262.982,410,0.016,236.608,408.401,0.017,211.303,408,0.018,188.331,408,0.021,181,407,0.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,5185,MCPR
