@relation RegistrosP4PAPR
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
190,403,0,229.612,400.626,0.018,248.5,397.5,0.017,269.858,397,0.017,296.576,397.099,0.023,314.991,399,0.011,333,399,0.023,352.012,399.199,0.018,371.491,401,0.017,397.33,403.277,0.017,417.448,403.545,0.015,434.534,405,0.017,451.217,406.031,0.015,461.022,407,0.023,477.173,406,0.014,483.759,407,0.016,486.119,408.059,0.033,488,411.537,0.032,488,427.463,0.016,488,446.485,0.017,489,473.892,0.017,490,496.007,0.017,491,521.154,0.016,492.178,545.783,0.017,493.42,571.784,0.019,493.655,598.555,0.015,493.098,623.824,0.016,493,646.601,0.017,493,664.742,0.018,494,679.37,0.017,495,689.472,0.017,496.115,695.23,0.017,493.758,699.485,0.032,490.639,699.82,0.017,485.357,698,0.017,467.917,700.565,0.018,446.595,701.8,0.017,419.481,703.047,0.018,384.93,705.291,0.017,352,706,0.018,315.644,707,0.017,285.852,708,0.017,262.252,707.75,0.031,241.5,708,0.017,226.695,707,0.017,219.785,707,0.016,215.301,705.651,0.018,208.232,705,0.016,200.514,705,0.017,197,705,0.016,193.569,704,0.034,189.46,701.73,0.019,187.863,697.726,0.03,187.356,688.424,0.015,188,667.481,0.017,190.131,633.769,0.016,191,602.442,0.017,191,582,0.017,192,560.205,0.023,194,542.423,0.014,195.338,530.973,0.012,197,515.367,0.018,198,502.679,0.017,199,497.785,0.049,204.821,499,0.018,209.26,500.13,0.024,214.772,500,0.022,224.79,501,0.012,239.027,503,0.019,251.208,504.242,0.014,265.374,505,0.026,279.355,505,0.014,296.757,505,0.013,321.675,505,0.035,346.56,505,0.017,362.623,506,0.017,372.702,506,0.036,389.5,506,0.02,394.803,507.268,0.019,397.2,511.599,0.025,397,523.245,0.02,397,548.776,0.023,398,567.484,0.015,397,581.763,0.015,396.161,592.516,0.017,394.5,596,0.018,389.39,594.797,0.015,378.212,594.684,0.018,364.439,596.927,0.018,340.103,597,0.017,313.252,598,0.017,283.323,599.78,0.017,277.963,601.019,0.086,285.067,599.733,0.144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,3825,PAPR
197,396,0,237.5,391.5,0.016,255.225,394.803,0.016,273.317,398.045,0.017,299.3,400.287,0.017,311,398.5,0.017,328.396,397.229,0.017,342.088,399.015,0.017,359.031,398,0.018,371.486,396.503,0.017,388.166,398,0.016,402.879,398.02,0.017,419.77,398,0.017,434.238,397,0.016,449.937,392.589,0.017,461.737,390.053,0.017,474.114,391.186,0.017,479.864,391,0.033,482.536,395.536,0.018,484.14,399.281,0.017,487.268,402.134,0.067,488,409.071,0.017,489.851,423.809,0.016,490.092,444.737,0.016,488.667,472.662,0.018,489,504.5,0.016,488,533.824,0.017,486.943,564.861,0.017,487,593.546,0.017,488.5,612.5,0.018,488.784,632.272,0.017,489,653.248,0.017,489,665.351,0.017,490.5,676.5,0.017,490,685,0.017,491,689.988,0.018,491,694.36,0.05,480.172,693,0.018,460.179,692.798,0.017,433.794,693.443,0.016,401.3,692.312,0.016,364.97,691.069,0.016,327.454,689.83,0.017,294.048,688.587,0.017,260.805,689,0.016,239.83,688,0.017,221.163,689.139,0.017,211.466,689,0.017,201.283,689,0.016,191.545,689,0.017,184.687,690.104,0.017,180.531,688.766,0.083,180,667.122,0.017,182.435,644.65,0.018,184,613.463,0.016,185.921,567.747,0.017,188.16,532.922,0.016,189,514.378,0.017,190.644,504.424,0.016,192,499.224,0.017,194.127,499,0.049,200.223,500,0.016,205.71,500.855,0.018,212.289,501,0.017,221.703,502.341,0.019,240.5,504.5,0.017,260.245,504.825,0.017,283.636,504,0.017,311.019,506.309,0.016,336.5,510,0.015,359.101,508.211,0.017,376.217,508,0.017,387.098,509.274,0.017,390.535,512.535,0.034,393.145,515.072,0.024,395,524.636,0.012,397.966,543.656,0.017,399,573.513,0.017,400.45,601.503,0.017,398.5,607,0.033,392.834,600.945,0.017,377.352,597.706,0.011,359,597,0.016,324.776,596.778,0.036,272.111,602.27,0.011,246.139,605.386,0.017,240.5,607.5,0.065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,3518,PAPR
202,395,0,243,378.5,0.016,268.479,374.229,0.017,296.127,374,0.016,339.412,377.513,0.017,361.479,379.498,0.017,385.568,381.736,0.017,406.819,383.98,0.016,429.968,384,0.017,449.19,385,0.017,458.818,386.704,0.017,468.782,388,0.017,478.947,388.811,0.017,486.296,390.432,0.016,492.344,389.328,0.015,496.829,389,0.017,500.13,391.26,0.018,498,399.813,0.017,497,415.031,0.017,495.754,443.195,0.017,493.511,474.336,0.016,492,508.476,0.017,492.972,544.605,0.017,493,575.37,0.017,490.542,603.583,0.017,486.607,626.57,0.017,481.194,645.417,0.017,477.817,657.916,0.016,470.732,666.69,0.017,467.677,672.985,0.015,465.5,677,0.017,461.727,679.136,0.051,457,682.5,0.05,458.179,684.089,0.101,426.607,693.798,0.018,395.258,698.392,0.017,366.662,698,0.017,332.282,700.367,0.016,306.587,701,0.017,284.178,702,0.017,266.702,701,0.017,248.096,699.349,0.016,235.53,697.106,0.017,223.312,694.725,0.017,217.247,692.749,0.033,213.642,689.642,0.018,209.533,686.533,0.018,207.294,677.765,0.016,203.105,661.422,0.017,199.624,637.555,0.017,198,602.709,0.017,197,572.595,0.016,198.915,548.939,0.016,202.297,523.367,0.016,204.804,500.382,0.019,205.5,494.5,0.032,209.007,494,0.017,213.496,497.248,0.017,217.962,499.481,0.017,234.587,502.732,0.017,249.83,504.976,0.017,271.389,507.217,0.017,292.605,508,0.017,318.404,509,0.016,340.507,509,0.017,368.002,507.818,0.016,388.248,509.425,0.017,395.334,514.001,0.016,396,521.541,0.017,394.851,530.597,0.016,395,550.922,0.018,397.629,579.801,0.016,400,600.252,0.017,401,607.239,0.033,395.79,606.605,0.017,383.083,609.845,0.017,363.225,611,0.017,330.75,609.346,0.034,298.733,606.43,0.017,275.196,604,0.014,273,606.215,0.117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,3895,PAPR
205,391,0,262.777,399.118,0.016,290.746,401.365,0.016,317.243,401,0.016,352.168,401,0.017,373.706,402,0.017,396.303,403,0.018,410.574,402.428,0.016,426.888,403.815,0.017,438.277,404,0.016,451.777,404.296,0.018,459.161,400.92,0.017,468.339,396.441,0.017,475.062,393.979,0.016,481.58,395.193,0.033,482.871,401.614,0.018,484,408.442,0.016,486.349,418.743,0.019,487,444.934,0.016,488,473.186,0.017,489,502.122,0.016,489,534.372,0.017,488,562.19,0.016,487.195,591.463,0.017,487,618.604,0.017,485.717,640.835,0.018,485,662,0.016,484,677.363,0.017,485,686.05,0.016,486.253,690.506,0.017,486,694.535,0.034,486,698.536,0.073,478.51,697.17,0.017,465.542,696.935,0.016,447.181,695.687,0.017,421,697,0.017,384.259,698.796,0.018,352.481,699.037,0.017,322.38,701.557,0.017,297.5,704,0.016,270.374,704.763,0.016,248.964,702.996,0.017,235.528,700.755,0.017,221.071,699.512,0.017,212.348,698,0.017,200.169,697.972,0.017,191.37,696.79,0.033,187.643,694.643,0.034,187,687.272,0.017,187,660.531,0.017,187,632.661,0.017,188,603.24,0.016,190.295,581.524,0.016,191.39,557.489,0.018,192.37,530.589,0.016,192,516.745,0.016,191,509.767,0.032,194.357,506.821,0.034,197.069,504.862,0.033,201.62,501,0.018,207.148,501,0.017,212.88,499.707,0.017,227.5,498.5,0.016,246.431,500,0.017,265.188,502.019,0.017,285.294,503.255,0.017,307.994,505.499,0.016,331.447,506.745,0.017,356.819,508.986,0.017,380.274,511.227,0.017,401.741,512.468,0.016,415.56,511,0.016,421.907,511,0.016,420.894,513.212,0.035,414.96,519.36,0.016,410.159,528.603,0.016,405.68,547.599,0.01,402.597,565.822,0.017,400.355,574.581,0.016,398.227,586.432,0.016,395.871,594.388,0.017,391.261,599.74,0.032,386.29,599,0.018,382.862,599,0.017,371.94,600.343,0.017,357,602.5,0.016,325.533,604,0.017,299.361,602.936,0.016,274.243,599.387,0.017,265,598.5,0.015,263.82,599,0.017,269.455,597.848,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,3616,PAPR
190,400,0,243.167,387.567,0.017,260.597,385.55,0.017,275.902,386,0.016,300.53,388.941,0.017,318.476,390,0.017,339.429,393.857,0.017,361.67,397.667,0.016,384.014,400.91,0.017,402.046,403.149,0.017,423.987,403.399,0.018,440.692,401.368,0.015,457.266,401,0.017,473.968,400,0.017,485.798,400,0.018,490.207,401,0.015,494,401,0.033,497,408.618,0.016,496,423.602,0.016,497.692,453.99,0.017,500.866,482.197,0.017,502,515.462,0.017,501,548.417,0.017,499,580.873,0.016,499,610.729,0.019,495.857,634.289,0.017,493.221,658.897,0.018,492.372,673.393,0.015,491,686.367,0.016,490,694.338,0.016,489,699.7,0.016,486.732,703.536,0.034,469.361,708.239,0.017,451.736,711.647,0.018,420.643,711.434,0.015,386.064,709.383,0.016,351.178,706.897,0.017,311.209,705.71,0.018,280.5,706.5,0.016,255.25,707.775,0.016,237.854,707.979,0.017,225.951,708,0.016,221,705.5,0.017,215.51,703.255,0.017,211.2,700.467,0.038,207,698.5,0.015,203.463,696.463,0.034,200.804,689.411,0.017,199.563,669.629,0.018,199,636.49,0.016,198,608.007,0.017,198,579.738,0.018,200.404,543.529,0.018,199.353,518.527,0.016,199,504.44,0.017,199,497.733,0.031,201.5,493,0.031,207.964,494.982,0.018,212.446,498.223,0.016,218.385,499.462,0.017,235.931,501.704,0.017,248.736,503,0.017,267.91,503,0.016,285.445,502,0.018,309.746,502,0.016,333.232,503,0.017,358.056,503,0.017,376.193,503,0.018,394.199,505,0.015,402.651,506,0.017,406.188,508.125,0.032,406,515.948,0.017,404.269,534.582,0.017,404.028,564.604,0.016,405,592.79,0.017,403.547,602.814,0.017,400.602,603,0.016,395.183,603,0.016,376.225,605,0.017,349.552,608.838,0.017,315.339,609,0.016,287.216,610,0.016,270.074,609,0.017,262.22,610,0.05,261.731,611,0.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,3111,PAPR
176,398,0,221.691,393.783,0.016,243.153,393,0.017,261.591,393,0.016,286.116,390.118,0.017,307.498,389,0.017,329.716,389,0.017,344.336,389,0.016,365.283,389,0.017,382.197,390.15,0.017,398.336,390,0.018,414.697,391,0.015,432.156,392,0.017,449.954,391.881,0.017,461.729,391,0.018,474.008,391,0.015,482.531,391,0.016,487.172,393.086,0.016,491.448,397.448,0.019,492,404.758,0.017,493,415.655,0.018,495,437.92,0.018,496.415,459.57,0.017,495,489.509,0.016,494.898,522.37,0.017,496.141,556.259,0.017,496.382,592.494,0.018,495.376,623.489,0.015,494.131,647.561,0.017,491.889,664.666,0.017,489.296,681.465,0.018,488.407,689.78,0.015,486.732,693.536,0.066,479.632,694.684,0.017,472.238,696,0.016,459.004,697.166,0.016,438.529,698.406,0.018,418.886,698.647,0.016,394.99,699,0.017,368.401,698.867,0.016,343.14,699.374,0.019,321.244,698,0.015,301.996,695.284,0.016,277.019,691.804,0.016,254.561,687.312,0.019,243.074,686.415,0.016,232.061,686,0.017,220.661,688.135,0.016,216.566,689.217,0.067,212.965,689,0.032,207.217,689,0.033,203.997,690.001,0.083,200.821,686.643,0.018,202.214,681.359,0.016,207.36,656.559,0.017,208.394,635.726,0.016,208.063,619.503,0.016,206.82,594.201,0.017,203.576,569.34,0.016,202.338,548.715,0.015,203.904,525.86,0.017,206.3,507.951,0.016,206,500.844,0.017,206,497.465,0.05,210.235,500.118,0.034,215.205,500,0.015,220.534,501,0.017,235.674,502.084,0.016,255.954,503,0.018,283.258,504,0.016,309.126,503,0.017,333.513,504.051,0.017,348.797,506.3,0.018,363.5,507,0.017,374.892,508.778,0.017,389.104,511.021,0.017,395.794,513.265,0.021,396,519.243,0.019,396,526.463,0.017,398.106,538.638,0.016,400.351,565.56,0.018,404,585.946,0.016,404.165,601.01,0.017,403,612.295,0.016,397.344,613,0.017,384.577,613.678,0.016,366.555,613.079,0.017,340.028,609.671,0.017,312.389,605.599,0.018,295.822,604,0.015,283.432,603,0.017,275.372,606.251,0.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,3603,PAPR
196,390,0,240.085,380.983,0.017,259.23,380,0.018,276.938,380,0.017,307.56,381.729,0.017,332.662,386.915,0.017,355.581,392.645,0.017,377.108,396.913,0.016,398.587,400.397,0.016,418.392,403.879,0.017,437.67,406.186,0.017,455.986,408.427,0.017,468.002,409,0.016,480.641,409,0.017,486.303,407.848,0.033,490.357,406.822,0.033,488.941,412.178,0.017,488,430.925,0.018,487.398,460.626,0.015,487.843,490.648,0.016,488,520.208,0.017,488,546.276,0.018,487.432,575.38,0.017,486.188,604.747,0.018,486,631.5,0.017,486,655.949,0.019,486,666.5,0.017,486,677.89,0.016,486,684.042,0.016,485,688.529,0.066,478.016,691.992,0.018,471.31,692,0.017,461.661,694.468,0.017,450.299,696.425,0.017,429.402,697.955,0.016,398.86,700.196,0.017,365.538,700,0.017,336.824,698.319,0.016,304.829,697.075,0.017,275.811,695.832,0.017,254.528,697.406,0.018,244.392,696,0.015,236.323,696,0.017,230.739,696,0.017,226.247,695,0.019,221.765,694,0.014,217.194,692.731,0.067,213.171,686.514,0.018,209.869,672.475,0.017,207.376,654.505,0.019,205.897,626.486,0.017,202.208,602.078,0.016,200.963,578.553,0.017,200,554.21,0.017,199,540,0.017,199.76,531.202,0.016,203.009,511.956,0.017,204,502.261,0.033,208.702,502,0.018,212.138,503.046,0.017,218.009,505.336,0.018,224.303,506.576,0.016,237.902,507.817,0.017,249.371,509.062,0.017,265.757,510.306,0.018,278,510,0.016,293.071,511,0.018,308.218,512,0.017,326.729,512,0.017,344,512,0.016,367.048,512,0.018,386.983,511.002,0.017,397.957,512.239,0.034,399,516,0.032,397.036,522.927,0.017,396,528.591,0.017,394.553,540.684,0.016,394,566.549,0.017,393.066,584.476,0.017,393,594.705,0.016,392,598.832,0.032,386.196,600,0.018,379.434,600,0.017,367.066,601,0.018,346.502,604,0.015,321.802,604.871,0.017,302.335,602.889,0.017,286.875,604,0.012,283,603,0.033,284.96,599.88,0.099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,3448,PAPR
199,416,0,235.23,404.077,0.017,251.102,400.18,0.017,275.922,398,0.017,291.5,398.5,0.017,313.451,398.909,0.017,338.928,398,0.017,362.803,398,0.015,386.986,398,0.017,407.141,399,0.02,425.624,399.725,0.017,443.503,399,0.017,461.281,401.456,0.017,477.873,402.812,0.016,490.537,405,0.017,495,410,0.032,496,438.271,0.017,499,467,0.017,500,499.561,0.017,502,538.753,0.016,501,582.325,0.016,498.043,619.531,0.017,497,647.844,0.018,497.686,664.744,0.016,495.83,687.68,0.017,492.5,697,0.033,485.865,704.203,0.049,474.691,704.862,0.016,457.876,707.225,0.016,429.308,709.173,0.015,391.468,711,0.017,347.587,709.685,0.019,309.899,709,0.016,276.628,705.959,0.025,251.163,703.595,0.017,237.697,700.232,0.017,226.618,698.873,0.017,215.52,695.507,0.023,201.067,694,0.017,194.54,693,0.05,190.906,686.717,0.017,188.5,660.5,0.016,190.912,616.788,0.017,192,590.079,0.017,196.637,555.266,0.015,197,532.988,0.017,198,509.822,0.019,200.268,502.464,0.034,206.658,503,0.033,218.173,505.058,0.017,237.517,505,0.013,264.61,505.783,0.016,291.328,507.148,0.017,317.068,508,0.016,343.115,508,0.017,369.398,508,0.019,390.994,507.401,0.016,400.923,507.961,0.017,403,511.444,0.017,400.194,522.031,0.018,400,542.171,0.017,397.5,570.5,0.017,395.991,599.035,0.016,393.619,608.761,0.048,378.467,611.107,0.017,356.726,612.468,0.017,321.176,611,0.017,290.233,610,0.017,280,609,0.146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,3932,PAPR
198,398,0,229.564,390.906,0.016,245.842,387.539,0.016,269.135,391.654,0.017,284.735,394,0.017,301,396,0.016,315.658,398,0.017,332.382,398,0.017,348.835,400.361,0.015,368.022,402.004,0.017,391.55,403.364,0.017,406.649,403,0.017,423.361,403,0.017,436.817,404,0.018,454.275,405,0.017,464.527,404,0.016,475,403.5,0.017,484.809,404,0.017,490.341,405.341,0.034,491,413.229,0.017,494,434.545,0.016,494.961,455.692,0.018,495,480.264,0.018,495,509.206,0.016,494,541.396,0.017,494,574.713,0.017,494,606.203,0.017,493,635.961,0.017,492,659.006,0.016,492,675.317,0.017,492,687.666,0.016,490.732,693.536,0.033,485.463,694.732,0.018,473.59,697.282,0.019,455.12,698,0.016,428.969,700,0.014,395.3,701,0.015,363.848,700,0.017,335.408,698,0.017,306.316,696.539,0.017,282.24,696.177,0.016,261.695,693.814,0.017,242.248,693,0.016,225.427,692,0.017,216.452,691,0.019,208.723,692,0.015,201.995,692,0.033,195.464,691,0.05,192.979,684.959,0.033,194,672.5,0.017,194,654.467,0.017,195,631.118,0.017,197,612.229,0.017,198.994,593.035,0.017,199.647,574.236,0.014,198,555.238,0.016,197,533.679,0.017,197,521.67,0.016,198.807,504.968,0.017,201.276,500,0.05,208.209,501.07,0.049,214.536,501,0.018,224.392,499.652,0.019,237.848,500,0.017,251.287,500,0.016,270.013,501.43,0.017,284.994,501,0.018,304.796,501,0.016,326.5,501,0.017,343.441,500.112,0.017,361.26,500,0.017,376.063,500,0.015,390.903,500.976,0.016,398.68,501,0.033,400.907,505.186,0.032,400,512.584,0.017,397.847,525.767,0.016,398,541.5,0.016,398,561.519,0.017,399,572.731,0.017,399.394,583.817,0.015,394.789,587,0.034,385.923,587,0.025,368.121,589.176,0.022,343.233,588.538,0.017,319.672,589,0.017,305.201,590.266,0.018,294.748,590,0.015,289.923,591,0.066,283.839,593,0.067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,5496,PAPR
189,398,0,236.927,389.741,0.016,257.846,386.128,0.016,275.903,385,0.016,308.361,387.707,0.019,328.563,391.597,0.016,350.227,396.678,0.017,372.721,401.16,0.016,395.208,404.642,0.019,411.648,406.13,0.016,429.666,408,0.017,447.396,409,0.016,459.451,406.71,0.018,476,404.5,0.016,487.102,404,0.017,491,404,0.016,490.811,408.378,0.034,490,415.965,0.017,490,433.802,0.016,491.226,454.032,0.017,492.47,477.226,0.017,494,499.803,0.017,493.049,530.269,0.017,491.806,559.914,0.017,489.568,586.614,0.016,487.322,616.491,0.015,486,639.187,0.017,485,657.971,0.016,485,666.613,0.016,484,680.85,0.015,483.112,690.553,0.017,483,697.388,0.016,483,701.745,0.017,480.732,706.536,0.034,475.808,707,0.016,469.981,707,0.018,460.667,707,0.016,446.591,707,0.017,424.427,708,0.017,390.443,706.696,0.018,355.5,703,0.016,318.56,701.209,0.017,289.509,700,0.016,266.517,699,0.016,245,696,0.016,230.683,696,0.017,221.995,693.998,0.015,217.634,694,0.03,213.732,694,0.018,209.545,694,0.035,206.821,691.642,0.018,201.397,687.397,0.019,200,676,0.017,198,656.301,0.017,198,639.784,0.017,198.268,615.781,0.017,196.5,589,0.017,198,567.997,0.017,199,544.094,0.017,201.234,528.596,0.017,202.472,517.641,0.017,203.717,503.983,0.017,204,487.284,0.016,204,480.598,0.049,209.62,483,0.017,214.099,486.049,0.017,218.586,488.293,0.019,227,489,0.016,240.879,489,0.018,254.113,489,0.017,273.085,489,0.017,288.467,489,0.017,303.465,489,0.017,317.904,489.984,0.017,332.349,492.225,0.017,345.794,494,0.016,363.272,495.712,0.016,376.708,497.951,0.017,390.153,500.384,0.017,394.862,501.431,0.032,397.268,505.536,0.018,397,511.485,0.017,398.404,527.64,0.018,398,548.034,0.015,398.888,572.991,0.017,399,593.048,0.017,399,602.859,0.019,398,607,0.033,391.798,605,0.018,381.315,606.337,0.019,365.508,606,0.011,342.126,606.177,0.101,273.659,607,0.02,274.009,604.982,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,3688,PAPR
