@relation RegistrosP4jofl
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
220,394,0,257.205,393,0.017,289.547,393,0.017,328.586,393,0.019,394.252,394.547,0.017,435.836,393.304,0.016,467.245,390.063,0.016,487.065,390,0.018,495.265,390,0.016,498.535,391.267,0.067,496.613,395.775,0.022,497.63,404.148,0.014,497,420.756,0.016,495.885,451.605,0.017,496,489.732,0.018,492.402,518.768,0.015,492,541.549,0.016,494.16,564.878,0.017,497.323,590.874,0.018,501.567,612.668,0.016,501,631.657,0.017,502.049,651.443,0.017,503.29,668.322,0.019,503,689.5,0.016,503.224,700.658,0.017,503,707.037,0.082,493.393,704.131,0.018,480.239,699.782,0.016,456.527,696.653,0.018,424.928,691.821,0.016,394.371,691,0.017,363.067,691,0.016,331.558,690,0.018,300.752,686.443,0.016,270.4,685.2,0.017,245.588,686.041,0.016,226.74,686.283,0.018,213,683.5,0.016,202.931,683,0.017,194.974,681.991,0.017,190.496,679.748,0.032,189,676.643,0.028,189,659.808,0.022,189,619.43,0.011,191.822,589.318,0.017,195.061,560.201,0.016,196.614,538.236,0.022,194.903,526.806,0.014,194,520.5,0.033,198.366,518.909,0.035,205.192,516.362,0.019,211.526,511.237,0.017,221.614,506.754,0.016,238.865,503.642,0.016,256,498,0.015,279.779,496,0.017,304.082,494.91,0.016,321.948,492.672,0.018,343.165,494.148,0.015,361.726,495.818,0.017,371.238,498.06,0.016,378.901,499,0.019,385.5,501.5,0.016,391.569,501.784,0.018,396.058,502,0.049,398,505.357,0.034,399,520.934,0.016,398,538.522,0.018,398.6,563.004,0.015,400.843,587.586,0.017,403.084,604.589,0.016,403,611.977,0.033,403,610.979,0.034,397.933,607.733,0.017,381.92,605.225,0.017,355.775,599.963,0.016,331.373,598.737,0.017,312,599.5,0.016,305.025,600,0.014,300.028,600,0.016,295.65,598.825,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,3332,jofl
179,428,0,228.452,417.065,0.017,271.009,413.789,0.018,314.593,410.548,0.017,375.522,408,0.017,413.08,407,0.017,447.669,405.178,0.018,468.795,402,0.017,485.655,401,0.016,491.817,401,0.017,493.103,403.205,0.031,493,410.001,0.018,494.239,421.435,0.016,494.48,445.8,0.017,495.277,482.01,0.017,495.065,521.385,0.017,492.373,552.925,0.017,491.553,579.367,0.018,491,613.087,0.016,493,646.089,0.017,494,666.429,0.017,493,675.25,0.033,495.268,679.536,0.018,494.866,683.067,0.252,496,687.087,0.033,496,691.536,0.083,491.495,690.748,0.018,484.755,689.748,0.017,471.062,691.984,0.017,448.656,694.234,0.017,425.772,697.47,0.017,398.116,701.433,0.017,368.527,703.959,0.016,336.748,704,0.017,304.942,700.118,0.017,276.46,698.315,0.016,250.733,696.073,0.017,229.296,691.489,0.017,213.132,688.181,0.017,204.686,686.343,0.016,199.5,686,0.016,196.717,677.434,0.017,196.382,662.944,0.018,196.248,638.511,0.015,197.866,607.149,0.016,202.217,573.478,0.016,208.408,545.127,0.019,208.594,521.435,0.016,209.165,511.66,0.016,207.961,508.922,0.083,214.861,509,0.018,226.008,508,0.017,251.048,505.595,0.017,288.465,501.346,0.016,326.305,498.106,0.017,352.511,496,0.017,371.279,495.38,0.018,380.859,496.62,0.015,388,497,0.032,392.35,499,0.017,397.427,500,0.017,401.802,500,0.018,403,503.438,0.019,403.681,511.407,0.016,404.846,529.307,0.016,403.834,556.324,0.016,405.597,577.626,0.016,404.648,589.592,0.015,406.5,594,0.017,410.135,598.27,0.032,408.464,600,0.033,402.054,599.018,0.017,374.953,600,0.017,358.741,600,0.017,336.04,602.708,0.016,323.244,602.049,0.016,314.416,603,0.017,308.695,602,0.017,304.644,600,0.016,298.909,598.954,0.024,289.193,597.596,0.148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,3693,jofl
188,410,0,224.156,408,0.015,254.111,408,0.016,287.384,408,0.017,343.334,409.198,0.019,382.46,409,0.016,419.28,408.315,0.016,451.102,407.069,0.017,473.894,405,0.016,487.65,400.587,0.015,491.268,400,0.132,496.16,398.947,0.032,501.666,399.833,0.017,503.036,404.144,0.017,504,413.587,0.018,506,442.289,0.016,507.802,490.05,0.016,504.818,549.23,0.017,498.845,598.64,0.018,491.5,633,0.017,491.771,661.021,0.017,492.011,687.106,0.017,492,701.28,0.017,490,707.995,0.183,466.708,702.101,0.017,440.496,695.422,0.017,418.139,697.429,0.016,391.911,701.677,0.016,364.833,705.833,0.017,331.799,706.843,0.016,297.588,708,0.017,262.691,710.639,0.016,240.044,709.116,0.017,216.983,705.746,0.017,203.794,703.265,0.019,194.391,702.174,0.015,194,697.048,0.018,194,691.347,0.016,192.544,674.356,0.017,194,648.603,0.017,192.114,616.912,0.018,192,583.05,0.018,194.426,553.465,0.017,195.668,530.658,0.015,195,515.429,0.017,197,508.693,0.117,207.465,508.884,0.017,219.153,506.282,0.017,243.64,505.396,0.014,273.833,503.155,0.017,306.289,500.914,0.016,336.311,500,0.018,358.156,500.427,0.016,371.071,501,0.016,379.222,501,0.016,386.893,503.298,0.019,393,503.5,0.032,399.714,502,0.017,405.296,501,0.017,410.759,501,0.05,411,507.234,0.018,412.353,516.764,0.016,411.4,539.595,0.015,412,561.711,0.018,413.082,578.574,0.017,414,588.302,0.017,415.268,591.536,0.05,412.705,593,0.019,404,595.5,0.016,382.67,604.332,0.018,354.775,612.056,0.017,328.384,616.523,0.016,307.473,615.495,0.02,296.276,613.255,0.013,284.042,612.014,0.016,281.768,613.116,0.155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,3314,jofl
202,411,0,259.423,401.925,0.012,294.884,397.425,0.029,333.503,397,0.011,384.949,398,0.015,413.275,400.021,0.024,436.709,402.452,0.023,463.5,404,0.016,475.401,406.15,0.017,480.5,407.5,0.015,483.358,408.179,0.07,484,412.164,0.015,487.354,416.354,0.031,493.079,413.98,0.017,497.406,413,0.099,498,420.684,0.015,498.981,435.922,0.017,499.287,457.275,0.017,501.951,480.563,0.015,503,505.513,0.016,504,526.372,0.014,507.362,555.898,0.018,511,590.923,0.016,511.818,622.188,0.016,512.426,648.112,0.016,511.311,666.555,0.017,511.102,683.287,0.021,511,696.848,0.019,511.403,704.209,0.051,507.918,705,0.025,493.865,703,0.02,484.871,701.174,0.012,465.196,698,0.025,438.106,693.3,0.018,393.48,695,0.015,361.919,693.131,0.018,331.464,693,0.016,301.069,693,0.018,274.945,692,0.015,252.219,692,0.017,228.324,692,0.018,207.528,694.386,0.014,196.526,695,0.017,192,693.5,0.036,187.669,687.503,0.023,184.441,677.531,0.013,180.346,655.905,0.014,176.845,631.145,0.017,174.68,601.837,0.018,173.438,574.696,0.021,175.877,537.104,0.017,178.155,523.224,0.017,179,518.488,0.07,184.2,511.8,0.016,188.723,508.638,0.012,193,506.5,0.017,198.525,503.317,0.016,205.252,502,0.02,210.993,500,0.029,224.39,498.322,0.016,242.419,498.935,0.036,272.464,500.274,0.016,295.98,502.537,0.013,325.051,503.773,0.017,351.124,504,0.018,372.145,505,0.014,387,506,0.02,395.175,507.725,0.014,401.968,508,0.014,406.265,509.132,0.031,404,517.098,0.028,403.594,541.465,0.016,402,561.75,0.01,402,575.597,0.026,402,586.535,0.017,404,592,0.015,404,595.534,0.036,400.809,598.383,0.031,393.872,601.709,0.015,383.023,603,0.018,366.472,608.655,0.025,344.467,610.442,0.014,328.053,610.293,0.015,311.101,609.02,0.016,303.395,609,0.017,295.698,606.566,0.018,290.686,605.657,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,3743,jofl
199,400,0,247.604,401,0.017,292.714,401,0.017,342.764,401.99,0.017,423.505,405.467,0.017,457.722,400.523,0.017,487.455,399.283,0.016,502.73,399.039,0.017,510.296,400.148,0.033,507.067,407.798,0.018,503.671,422.153,0.024,502.175,445.951,0.013,499.034,481.797,0.016,499,527.758,0.017,496,572.604,0.016,494,608.699,0.016,492.378,639.708,0.015,494.865,664.519,0.017,498.333,685.888,0.016,499.35,693.05,0.015,495.893,694,0.017,478.745,697.194,0.016,452.431,697,0.016,424.802,698.291,0.018,388.5,698.5,0.017,349.482,692.672,0.017,311.718,690,0.016,283.359,691.26,0.017,256,693,0.017,231.063,697,0.017,216.07,698,0.017,209.536,697,0.017,210,692.056,0.017,208.714,677.288,0.017,207,652.554,0.017,205.598,619.781,0.017,208,588.383,0.017,210.684,556.108,0.016,210,532.659,0.017,210.168,521.158,0.017,209,514.768,0.015,207,510.464,0.05,211.378,508.811,0.02,223.956,506.38,0.015,247.497,504.137,0.016,280.704,500.893,0.016,316.939,498.651,0.019,346.688,497.409,0.016,371.664,496.833,0.017,388.607,497,0.016,395.958,499.319,0.017,399.536,500.268,0.034,400.023,506.091,0.016,401,525.205,0.018,399.5,557,0.016,396.458,590.709,0.017,395,604.059,0.016,396,610.526,0.017,392.782,609.891,0.017,384.246,610,0.019,355.129,610,0.016,332.339,609.167,0.018,314.545,608,0.017,305.741,607,0.019,299.879,604.439,0.016,296.464,604,0.018,297.289,605.145,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,2744,jofl
176,421,0,217.838,397.665,0.017,248.093,395,0.017,283.067,398.633,0.017,341.129,406.125,0.016,385.885,407,0.016,427.9,403.858,0.017,467.586,402.713,0.017,502.435,398.938,0.016,518.325,395.225,0.016,519,397.128,0.018,515.011,405.977,0.016,510.516,426.164,0.021,503.048,453.792,0.016,497.313,482.518,0.018,496,507.677,0.017,495.713,531.132,0.016,497.953,559.301,0.016,502.584,595.504,0.017,503,629.415,0.017,504.682,645.138,0.017,505.922,659.535,0.025,512,682.141,0.013,513.526,689.577,0.017,514,694.539,0.016,515.005,699.021,0.017,513.667,701,0.033,506.281,697.14,0.017,497.498,697,0.016,476.561,694.312,0.018,449.377,692.414,0.015,422.077,693.827,0.017,388.987,697.068,0.017,353.301,702.94,0.019,309.764,706.557,0.016,276.42,707.202,0.018,251.587,703.959,0.017,234.739,699.435,0.019,221.5,697.5,0.016,213.705,694.235,0.017,209.984,691.989,0.032,207.507,685.261,0.019,203.797,674.593,0.017,199.02,660.121,0.017,195.552,641.986,0.017,196,614,0.017,200.404,578.877,0.016,206.841,550.581,0.017,208.191,531.476,0.017,208,519.845,0.017,202,513.5,0.033,206.242,511.919,0.02,213.299,509.467,0.017,224.051,505.991,0.016,246.276,503.747,0.016,277.337,503,0.018,308.979,503.732,0.017,340.686,506.974,0.017,370.41,509.219,0.017,395.605,510.461,0.017,404.405,511,0.016,408,512.5,0.017,409,514.307,0.035,409,526.031,0.015,408,545.143,0.017,405.844,569.558,0.017,405,598.745,0.017,401.362,613.554,0.016,401,618,0.049,397.634,613.267,0.019,388.961,611.392,0.015,366.507,609.452,0.017,334.916,603.819,0.016,310.336,604,0.025,303.852,606,0.01,305.102,604.949,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,2965,jofl
181,403,0,229.819,404,0.017,259.212,404,0.018,295.49,402,0.017,357.866,398.285,0.017,402.362,395.085,0.017,437.551,392.804,0.018,460.08,389.56,0.016,470,389,0.033,471.055,393.221,0.034,471,402.116,0.022,471,414.402,0.013,473.019,438.225,0.017,473,460.838,0.018,473.5,478.502,0.024,477.857,502.145,0.024,483,517.447,0.022,484.469,521.937,0.017,485,525.535,0.083,484,533.698,0.019,482.834,549.331,0.017,480.187,570.065,0.017,480.353,594.819,0.016,481,615.138,0.016,481.136,634.087,0.017,481,654.372,0.018,483.615,676.532,0.015,483.858,693.004,0.017,485.103,705.514,0.016,485,710.688,0.017,480.339,711.17,0.018,472.581,706.93,0.016,463.068,705.689,0.019,439.573,703.445,0.017,405.075,702,0.016,367.296,702.039,0.016,333.721,705.285,0.019,300.5,709,0.017,270.824,708,0.017,240.906,708,0.017,217.985,707.748,0.017,206.539,706.508,0.017,194.798,703.532,0.017,194,694.705,0.018,191.657,676.917,0.018,194,646.848,0.016,195.175,612.632,0.017,195.937,581.177,0.016,199,549.718,0.018,201.103,526.037,0.016,202.793,511.83,0.018,203,506.5,0.099,209.017,507,0.018,215.751,507,0.017,230.417,507,0.016,259.226,507,0.017,293.644,506.022,0.017,332.908,506,0.017,367.777,502.543,0.016,383.913,501,0.017,392.824,499,0.022,397.288,501.288,0.034,401.585,507.378,0.017,404.033,513.066,0.032,405,519.189,0.018,408.638,530.83,0.015,407.241,550.677,0.017,403.755,578.593,0.017,400.637,598.54,0.019,400,606.823,0.015,401,611.698,0.016,398.818,610.909,0.034,386.264,607.181,0.016,365.443,605.938,0.017,340.667,606,0.018,313.5,602.5,0.016,296.695,601,0.017,286.946,602,0.016,287.395,603.198,0.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,3219,jofl
211,404,0,265.571,401.964,0.016,303.328,399.667,0.015,340,397.5,0.016,398.849,392.45,0.017,432.585,388.958,0.023,457.553,387,0.018,477,384.5,0.023,485,384.5,0.034,486.087,388.173,0.108,490.627,390.314,0.015,495.796,391,0.035,498,394.174,0.037,502.536,399.608,0.013,505,412.365,0.02,508,437.978,0.014,510.266,472.248,0.017,508.448,499.207,0.021,506,535.416,0.015,505.787,565.386,0.022,506.356,592.221,0.013,504,616.478,0.014,502.152,633.939,0.016,501.193,653.866,0.017,498.424,671.591,0.013,498,686.204,0.015,496.237,694.289,0.017,496,698,0.067,493.967,696.967,0.017,489.204,694.602,0.016,475.806,694.401,0.018,455.552,693.155,0.015,428.845,693.096,0.019,401.833,692,0.021,373.356,691,0.017,324.078,689.067,0.018,293.635,687.803,0.017,265.25,686.568,0.017,239.729,687,0.022,216.876,688.903,0.012,202.008,691.165,0.017,194.337,691,0.033,191.735,687.469,0.033,188,672.223,0.014,187,651.768,0.015,187.711,623.04,0.016,188,595.268,0.023,189.202,566.38,0.013,189,543.949,0.017,190,530.27,0.02,190,524.5,0.012,190.128,521.743,0.035,196.987,518.253,0.015,206.054,514.979,0.011,215.073,511.732,0.017,227.5,504.5,0.016,242.677,501.265,0.026,255.745,501.036,0.013,273.953,503.244,0.017,290.758,504.47,0.022,316.63,509.609,0.019,333.454,514.13,0.013,346.965,517.328,0.017,367.254,518,0.017,386.422,518,0.012,399.329,517.934,0.021,405.549,518.274,0.02,409.536,519,0.053,412,524.246,0.032,408.815,533.554,0.014,404.322,550.711,0.01,403.897,565.513,0.014,404,575.36,0.021,404.126,586.814,0.013,405,595.433,0.02,405,599,0.013,402.649,600,0.034,395.353,598.118,0.014,383.016,598,0.022,365.736,596.637,0.014,344.406,597,0.015,323.503,598,0.017,301.977,597.872,0.017,283.042,596.63,0.034,267.928,595,0.015,264,593.5,0.015,264.76,595.519,0.137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,3718,jofl
188,405,0,238.35,409.982,0.017,275.743,412.734,0.017,314.528,414.974,0.017,376.924,416.214,0.018,412.829,418.461,0.017,448.536,419,0.016,477.312,416.106,0.017,496.492,412.814,0.02,502.858,409.571,0.084,503,416.314,0.016,503.393,437.328,0.019,504.719,468.606,0.015,503.342,500.291,0.017,498.754,527.723,0.016,495.266,558.874,0.016,502.22,609.025,0.015,501,659.11,0.016,496.729,696.443,0.017,494,715.331,0.017,492.974,713.921,0.018,489.15,701.451,0.016,483.995,684.99,0.015,480.179,677.179,0.017,471.547,674.849,0.016,456.63,675,0.016,433.379,676.27,0.015,402.285,679.639,0.017,369.104,686.356,0.017,335.203,692.087,0.018,301.757,693,0.015,275.551,696.69,0.017,254.227,703.344,0.017,241.342,707.663,0.019,235.5,707,0.033,227.188,692.502,0.017,221.451,668.802,0.016,216.738,639.11,0.017,212.009,608.709,0.015,210,579.125,0.016,208,552.204,0.016,202.823,533.078,0.018,202,520.471,0.015,201,513.379,0.017,199,508.767,0.032,200,503.464,0.033,209.855,501.036,0.017,223.451,498.793,0.017,251.389,498,0.017,289.757,496.308,0.016,330.761,495.065,0.017,361.5,497.179,0.017,382.724,499.414,0.017,394.635,501.659,0.016,401.804,503,0.017,407.438,504,0.017,414.756,503.748,0.034,417.028,507.085,0.034,418,514.43,0.017,411.843,534.909,0.017,406.041,561.595,0.017,402.797,576.217,0.017,403.44,591.641,0.017,404,598.058,0.016,404,602,0.033,401.644,603,0.018,389.797,605.551,0.017,363.774,609.019,0.016,331.552,608,0.017,307.5,609.5,0.016,300.511,610,0.017,296.024,610,0.016,298.231,610,0.139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,2880,jofl
197,404,0,238.475,407.146,0.017,277.577,407,0.017,322.537,407.627,0.015,388.398,409.87,0.017,433.093,410,0.016,462.887,406.647,0.018,482.39,404,0.016,488.5,402.5,0.032,488,407.214,0.083,490.268,415.071,0.019,490.778,437.557,0.014,491,473.213,0.014,491.26,518.19,0.017,490,560,0.016,487.254,587.955,0.017,488,616.833,0.017,489,642.753,0.017,491.466,660.727,0.016,492,672.284,0.016,494.919,682.837,0.017,497.199,689.397,0.032,497,695,0.032,494.884,697,0.035,487.04,690.693,0.016,477.529,688,0.017,460.906,688,0.017,434.05,687,0.018,407.327,686.62,0.015,378.777,686,0.017,349.586,685,0.017,318.138,681.653,0.019,286.538,680.409,0.015,258.008,681.833,0.017,237.41,682,0.017,220.783,681.367,0.019,212.318,682,0.016,206.395,682,0.017,204.977,679.955,0.032,204.588,673.175,0.016,201,663.112,0.015,201,643.188,0.017,201,616.404,0.016,201,592.835,0.018,200.382,566.967,0.015,199.139,542.387,0.017,200.102,525.285,0.016,197.652,517.956,0.018,195.589,513.821,0.015,196,510.464,0.017,200.476,509,0.019,206.676,508,0.016,215.002,507,0.017,235.545,504.955,0.016,264.058,501.42,0.018,299.5,498.5,0.016,333.48,495.229,0.02,360.06,494,0.023,381.277,493,0.017,393.24,494.62,0.015,396.536,496.268,0.033,396,500.357,0.033,397,509.797,0.018,395.695,544.358,0.019,393.443,572.679,0.015,391,594.591,0.017,390,605.13,0.016,392.403,608.202,0.083,386.742,605.871,0.017,373.769,605,0.018,348.706,599.387,0.015,324.568,598,0.017,308.409,599.099,0.016,302.318,599,0.017,304.058,603.035,0.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,3151,jofl
