@relation EntrenamientoP1AEAP
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
207,390,0,233.074,391.003,0.018,255.109,391,0.017,273.873,391,0.018,290.066,391,0.016,306.5,389.5,0.017,320.807,389,0.016,335.08,389,0.017,360.355,390.788,0.016,376.191,392.015,0.017,389.652,392,0.017,400.58,393.258,0.016,410.427,394.381,0.018,420.5,394,0.017,429.624,394.625,0.016,438.224,395.746,0.017,446.086,396,0.016,450.969,396.992,0.018,456.552,397,0.016,460.916,398.229,0.016,466.774,398,0.019,472.374,398,0.017,477.395,398,0.015,480.437,398.719,0.016,482.685,399,0.018,484,399,0.016,485.084,401.084,0.032,486.166,403.332,0.018,486,405.887,0.033,484.61,408.695,0.018,483.182,410.637,0.016,481.126,411.937,0.017,477.814,416.247,0.017,474.453,420.73,0.017,468.488,427.814,0.018,462.867,437.412,0.016,456,444.5,0.017,445.664,455.671,0.015,436.682,465.318,0.017,429.526,474.298,0.017,420.719,486.387,0.016,405.975,499.87,0.017,395.262,510.738,0.017,382.632,527.559,0.019,370.312,539.771,0.015,358.297,554.987,0.016,345.611,567.627,0.017,335.027,582.402,0.017,319.938,595.049,0.016,307.602,607.398,0.017,297.77,624.717,0.019,284.871,632.003,0.016,275.561,645.426,0.017,267.468,655.302,0.015,257.349,662.434,0.018,252.415,670.893,0.016,248.072,677.892,0.016,242.488,685.717,0.018,236.871,693.58,0.015,231.26,701.436,0.019,221.274,703.397,0.017,224.407,709.185,0.014,223.5,711,0.05,226.357,710,0.033,228.208,710,0.051,230.359,710,0.034,232.931,706.139,0.017,236.148,703.901,0.017,241.873,702.826,0.016,256.507,704.292,0.019,272.816,701.169,0.016,292.5,697.5,0.017,313.859,694.023,0.016,332.498,693,0.016,353.146,693,0.017,373.449,691.975,0.017,397.051,692,0.016,415.569,690.731,0.017,436.037,693.782,0.018,451.5,694.5,0.017,462.949,699.895,0.015,473.019,703.257,0.017,479.396,704.879,0.017,482.995,707.995,0.017,484.119,710.237,0.05,481.675,707.675,0.126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,1701,AEAP
194,394,0,207.503,403.348,0.019,225,409,0.017,238.523,409,0.015,253.505,409,0.017,268.33,409,0.017,284.913,409,0.017,302.874,409,0.017,341.825,409,0.016,358.398,410.355,0.018,381.578,410,0.017,403.658,410,0.015,423.074,410,0.017,440.705,410,0.017,455.58,410,0.017,466.883,410,0.016,480.532,411.211,0.017,484.658,411,0.018,487.372,411,0.015,489,412.5,0.033,488.18,415.64,0.018,487.059,417.882,0.017,484.877,421.185,0.016,481.476,426.874,0.017,478.077,429.923,0.018,469.02,437.554,0.017,457.516,450.13,0.016,441.625,466.036,0.016,424.099,484.488,0.017,400.923,504.426,0.016,379.333,527.737,0.017,360.311,546.689,0.017,337.389,568.33,0.018,317.778,588.222,0.017,298,606.5,0.016,281.741,624.335,0.016,268.353,638.177,0.017,255.37,649.859,0.016,244.905,659.085,0.017,235.95,669.181,0.016,220.666,680.565,0.018,213.009,690.365,0.018,207.016,695.984,0.016,202.157,699.228,0.016,198.787,700.738,0.016,196.5,701.5,0.049,198,703.113,0.034,200.471,701.764,0.019,203.18,700.41,0.016,206.13,698.58,0.016,209.498,696.335,0.017,213.837,693.122,0.017,222.623,691.922,0.017,238.811,693.201,0.016,251.824,691.681,0.018,272.531,693.443,0.017,291.202,692,0.016,310.687,692,0.016,331.362,693.617,0.017,354.504,695.858,0.017,374.926,698.103,0.016,396.317,701.524,0.017,412.413,704.883,0.018,432.113,709.674,0.017,449,711,0.017,463.565,712.659,0.015,478.16,714.563,0.017,489.136,716.808,0.017,496.174,718.029,0.016,502.884,719.147,0.017,507.071,719,0.066,501.726,720,0.091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,1380,AEAP
181,394,0,202.489,396.624,0.017,215.961,397.747,0.016,229.413,398.868,0.017,243.871,399.99,0.017,259.551,401.111,0.017,275.269,401,0.016,292.312,401,0.019,335.669,401,0.016,348.95,399.402,0.016,371.364,399,0.016,394.657,398.159,0.017,414.345,397.039,0.017,435.6,394.832,0.017,449.696,395,0.016,460.269,395,0.018,467.159,393.549,0.017,468.142,395.571,0.015,470,396.5,0.033,469,399.874,0.018,469,403.166,0.016,467.824,406.529,0.017,464.095,408.603,0.018,462.151,410.849,0.017,459.364,412.636,0.017,455.335,417.998,0.015,445.331,430.246,0.017,430.257,444.832,0.017,414.566,463.527,0.016,393.073,481.465,0.017,371.944,501.79,0.017,353.145,522.258,0.018,328.5,543.5,0.016,308.135,563.865,0.016,286.715,583.756,0.017,271.37,600.402,0.017,253.896,616.091,0.016,244.985,628.396,0.017,237.247,639.504,0.017,223.903,653.47,0.018,213.068,663.932,0.017,209.933,671.907,0.015,204.33,678.67,0.017,199.571,683.429,0.016,196.054,686.946,0.017,193.8,689.2,0.017,191.562,692.656,0.017,189.311,696.034,0.018,187.065,696.468,0.015,186.5,699,0.049,188.179,700.358,0.018,191.114,698.962,0.017,193.393,697.803,0.016,196.958,696.681,0.019,201.76,694.12,0.016,209.511,694,0.016,217.798,694,0.016,229.658,694,0.017,243.165,693.07,0.017,258.72,693,0.017,276.754,691.828,0.016,294.684,692,0.017,312.648,690.585,0.018,334.5,691,0.017,353.177,693.977,0.015,372.472,698.118,0.017,392.24,703.511,0.017,408.233,707.05,0.017,425.197,711.586,0.016,442.032,713.538,0.017,457.473,715.782,0.018,470,716.5,0.017,484.955,717,0.015,494.281,717.754,0.017,503.021,718,0.017,507.001,718,0.017,509.232,719.116,0.049,506.676,717.838,0.019,500.955,717,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,1464,AEAP
179,402,0,196.887,406.209,0.019,215.5,407.5,0.016,229.566,408,0.016,243.392,408.783,0.017,258.659,409,0.017,274.377,409,0.016,292.362,409,0.017,331.921,409,0.017,345.256,406.218,0.018,367.5,404,0.017,386.371,403,0.015,404.34,401.488,0.017,422.042,401,0.017,441.006,398.999,0.016,456.726,399,0.017,471.162,397.757,0.017,485.7,398,0.018,495.911,399.491,0.017,503.248,401.214,0.015,509.652,403.461,0.017,513.558,405.706,0.017,515.952,407.952,0.016,517,409,0.017,518.219,410.219,0.033,519.23,412.459,0.034,515.592,415.408,0.017,511.686,417.657,0.017,497.711,427.492,0.016,482.021,440.839,0.017,459.091,453.15,0.016,435.448,474.616,0.019,411.827,491.989,0.016,384.151,509.263,0.017,362.476,528.558,0.016,339.365,547.024,0.016,311.886,565.717,0.017,290.18,586.82,0.017,265.393,605.788,0.016,243.161,627.547,0.019,230.651,640.349,0.017,213.5,653,0.016,206.778,658.264,0.016,200.123,663.102,0.016,196.306,665.796,0.017,193.962,668.038,0.032,194,670.262,0.034,196.508,670,0.066,199.402,670,0.019,202.169,668.944,0.016,204.467,667.766,0.017,208.077,668,0.018,214.409,668,0.017,225.008,670.202,0.016,239.112,671.722,0.016,254.854,672.847,0.017,273.416,673.966,0.017,290.324,674,0.016,309.511,675.207,0.017,331.314,676.332,0.018,346.828,678.91,0.017,367.219,681.152,0.016,385.837,683.393,0.016,401.66,684.82,0.017,417.202,686.886,0.017,431.827,688.064,0.016,446.397,690.369,0.017,457.071,691.307,0.018,468.278,691,0.017,482,694,0.016,489.707,693,0.016,495.971,693.794,0.017,502.464,695.821,0.016,506.106,696,0.067,502.605,696,0.092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,1482,AEAP
188,400,0,209.072,402.107,0.017,234.383,403,0.016,251.995,403,0.017,269.024,403,0.017,287.945,403,0.016,308.209,403,0.017,328.381,403,0.026,372.704,399.734,0.011,395.744,395.293,0.015,415.921,390.351,0.016,434.582,386.641,0.016,448.925,385.09,0.017,458.231,385,0.017,464.924,386.154,0.02,467.815,387.272,0.015,468.395,389.79,0.016,470.031,392.031,0.017,471.636,394.273,0.015,473.518,397.277,0.017,475.759,399.759,0.017,478.005,402.005,0.017,479.123,404.246,0.032,481.366,406.366,0.017,482.489,408.978,0.033,484.536,411.803,0.033,482.732,413.537,0.018,480.901,414.049,0.017,478.558,415.221,0.016,477.661,419.017,0.019,475.063,420.937,0.016,471.068,426.932,0.016,464.74,435.39,0.017,455.524,446.306,0.016,438.778,464.173,0.017,422.993,481.079,0.017,402.54,501.46,0.016,386.261,517.739,0.019,365.064,537.495,0.016,349.347,556.531,0.016,328.761,576.919,0.016,310.142,595.055,0.017,294.026,611.901,0.017,279.384,625.569,0.017,268.367,635.47,0.016,255.818,646.893,0.018,246.264,658.151,0.018,239.5,667.5,0.016,229.417,676.238,0.015,222.326,682.895,0.017,218.305,686.695,0.017,215.958,689.042,0.017,214.861,691.278,0.016,213.733,693.535,0.033,211.493,696.761,0.033,210.732,698.536,0.05,213.358,699.179,0.018,215.237,695.644,0.016,219.083,693.278,0.019,225.415,691.034,0.017,237.028,692.397,0.016,247.484,691.28,0.016,260.995,691,0.017,275.632,691,0.016,291.231,691,0.017,308.165,689.789,0.017,327.638,690,0.018,342.373,691.455,0.017,363.233,691.577,0.016,382.559,692.698,0.016,399.486,694.641,0.017,415.204,695.943,0.016,429.829,697.064,0.017,445.548,698.182,0.016,457.415,698,0.019,469.695,696.573,0.017,481.516,695.448,0.016,490.039,695,0.016,495.971,695,0.016,499.743,695,0.017,501.5,695,0.017,502.153,696.077,0.116,497.971,696,0.018,495.729,696,0.016,493.484,698.516,0.094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,1700,AEAP
196,416,0,218.505,413.954,0.018,240.522,412.675,0.039,274.687,413.579,0.018,291.549,414.703,0.012,303.5,415.5,0.014,327.092,415.057,0.019,366.091,415,0.015,381.06,413.871,0.017,401.379,412.757,0.018,418.357,410.152,0.016,434.5,409.5,0.016,448.769,409,0.024,459.38,409,0.009,468.349,409,0.028,475.248,410.041,0.007,481.972,410,0.016,486.149,411.287,0.017,489.213,411,0.019,494,412.5,0.016,495.278,413.639,0.015,497,414.5,0.034,498.538,415.269,0.015,499.069,419.275,0.033,495.425,422.575,0.018,493,425,0.017,489.5,427,0.016,478.78,435.473,0.017,462.984,446.677,0.017,448.102,460.898,0.016,429.082,474.354,0.017,413.738,489.029,0.017,392.675,504.92,0.018,379.815,516.233,0.016,362,530.5,0.016,343.757,547.083,0.017,325.541,564.459,0.016,305.658,583.379,0.018,284.403,604.597,0.016,266.722,625.893,0.017,247.478,636.573,0.018,239.958,650.389,0.016,230.5,658.5,0.017,221.149,663.772,0.016,216.546,668.272,0.017,214.126,671.811,0.016,212.942,675.173,0.017,211.822,677.357,0.017,210.702,679.597,0.017,209.575,681.851,0.065,212.268,683.268,0.018,213.018,685.035,0.066,215.261,686.13,0.05,220.551,685.888,0.018,228.031,687.004,0.017,240.399,687,0.017,251.478,687,0.016,266.781,685.632,0.019,281.398,684.508,0.016,296.146,685,0.016,313.047,685.736,0.017,330.725,686.858,0.016,346.718,687.98,0.017,366.847,689.103,0.017,382.056,690.218,0.017,399.128,691.342,0.017,411.623,692.469,0.017,427,696.5,0.016,442.94,697.42,0.016,455.31,698,0.017,468.438,698,0.017,481.912,698,0.017,491.726,698,0.016,500.565,699.321,0.017,509.473,699,0.018,512,699,0.016,515.367,700,0.016,517,700,0.083,511.721,702.139,0.093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,1633,AEAP
170,396,0,192.681,398.062,0.018,213.851,398,0.018,228.733,398,0.017,246.73,396.392,0.015,265.392,394.542,0.017,285.351,391.442,0.017,307.476,390.026,0.017,347.553,386.704,0.016,369.551,387,0.017,387.685,388.334,0.018,403.98,389.465,0.017,419.008,391,0.016,432.446,391.704,0.016,443.439,392,0.017,451.617,392,0.016,457.35,393.07,0.017,462.953,393,0.017,465.932,394.311,0.016,467.87,395.435,0.033,470.805,397.537,0.034,472.536,398.268,0.017,473.022,400.043,0.034,473,402.284,0.033,474.264,404.529,0.017,474,407,0.032,471.205,409.898,0.018,468.967,412.033,0.017,467.861,415.418,0.017,466.743,422.545,0.017,464.233,430.685,0.017,457.5,441.5,0.017,449.013,449.233,0.016,439.284,461.955,0.016,430.044,472.825,0.017,419.119,485.857,0.017,405.616,500.499,0.016,395.903,511.33,0.017,383.082,527.987,0.018,370.722,539.278,0.017,359.009,557.388,0.016,344.868,569.513,0.016,334.252,582.966,0.017,322.401,593.672,0.017,311.116,601.619,0.016,303.555,614.271,0.017,290.374,626.626,0.019,279.497,633.152,0.016,272.55,644.6,0.016,265.14,652.86,0.016,257.263,658.279,0.017,251.304,664.635,0.017,246.761,672.418,0.016,243.453,677.912,0.017,238.788,684.818,0.018,234.297,688.703,0.017,230.907,690.093,0.016,227.989,692.341,0.016,225.413,694.587,0.017,223.167,696.833,0.016,222,698,0.017,221.922,699.155,0.049,224.35,697.825,0.034,230.304,695.464,0.018,237.219,696.777,0.017,244.051,697,0.016,254.161,698.129,0.016,268.06,698,0.018,282.897,696.623,0.018,301.957,695.503,0.016,321.693,693.385,0.017,340.071,691.524,0.016,361.297,691,0.016,380.763,691,0.017,399.81,692.107,0.017,417.638,694.455,0.016,430.176,695.348,0.029,442.145,697.935,0.02,451.738,699.592,0.011,460.696,700,0.02,469.661,700.833,0.014,477.701,700.043,0.009,483.39,700,0.015,489.004,700,0.017,493.286,700,0.017,496.332,700,0.082,491.974,698.991,0.017,488.485,697.828,0.094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,1735,AEAP
224,386,0,255.061,390.633,0.018,272.085,391.939,0.017,289.92,393.057,0.017,309.065,394.18,0.018,326.815,396.602,0.017,347.68,398.853,0.017,367,401,0.016,403.705,405.669,0.016,421.635,406.79,0.016,438.686,407,0.018,454.492,407,0.016,466.71,407,0.016,479.041,407,0.019,487.17,407,0.016,488.5,408.5,0.016,490,408,0.032,491.536,410.536,0.05,489.937,412.126,0.05,490,415.536,0.034,485.278,422.583,0.018,482.054,426.928,0.017,470.951,438.049,0.017,456.076,448.024,0.016,429.39,470.226,0.019,400.208,490.491,0.016,369.215,520.785,0.016,341.827,546.026,0.016,314.123,567.031,0.018,298.534,586.243,0.017,278.592,601.017,0.016,267.992,616.811,0.016,251.537,633.781,0.021,242.899,645.873,0.015,235.046,655.953,0.028,227.875,662.437,0.007,222.767,667.233,0.013,219.208,671.723,0.017,216.902,677.246,0.024,213.779,684.395,0.018,205.676,693.905,0.008,196.656,705.18,0.031,192.5,711.5,0.01,193.5,712.5,0.041,196.357,711,0.018,199.222,709.926,0.017,201.53,710,0.033,204.772,710,0.018,208.909,709,0.016,214.563,709.761,0.016,224.817,710,0.017,239.058,708.996,0.017,253.626,705.625,0.016,274.415,702.264,0.017,291.907,696.154,0.018,312.785,695.024,0.017,334.954,694.391,0.016,358.168,694,0.016,380.254,694.855,0.017,401.579,695.978,0.017,422.871,699.295,0.016,441.726,701.438,0.017,459.47,705.026,0.018,471.55,708.388,0.017,487,713,0.016,492.951,714.415,0.016,499.145,716.658,0.017,503.797,717,0.017,506,717,0.016,506.19,718.095,0.05,503.642,715.642,0.018,497.95,714,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,1448,AEAP
200,384,0,221.304,390.087,0.018,241.108,395.362,0.018,255.013,398.388,0.017,269.555,401.743,0.015,284.874,405.116,0.017,302.252,407.656,0.016,320.189,409.899,0.017,357.376,413.21,0.017,374.082,414.193,0.017,395.952,414,0.018,410.104,414,0.017,427.793,415,0.016,442.831,415,0.016,454.999,414.2,0.016,464.381,413.077,0.017,474.39,413,0.017,479.83,414.166,0.017,482.86,414,0.018,484.824,414,0.015,487,415.5,0.032,489.803,416.268,0.034,491.537,417.269,0.05,492.096,419.192,0.034,489.374,423.877,0.017,487.504,426.496,0.017,484.391,429.609,0.017,478.059,432.97,0.017,457.965,448.583,0.017,440.272,466.728,0.016,418.218,486.068,0.018,389.506,508.1,0.017,371.836,526.164,0.016,351.305,543.091,0.016,332.546,559.613,0.017,309.765,572.599,0.017,294.906,591.431,0.016,271.812,606.932,0.017,253.396,627.933,0.018,237.215,642.333,0.017,226.707,651.004,0.016,217.131,656.783,0.016,213.364,658.818,0.017,211.122,660.878,0.016,210,662,0.017,207.73,663.18,0.016,205.393,665.607,0.019,203.149,667.851,0.017,202,669.093,0.015,202,671,0.049,204.017,671.008,0.018,206.312,671,0.017,208.558,671,0.018,210.798,671,0.017,213,669.5,0.016,215.924,668.076,0.016,221.588,667.765,0.016,231.858,669.772,0.017,243.085,671.009,0.017,255.421,671,0.016,270.275,672.252,0.018,282.098,672,0.018,297.398,674.984,0.016,311.587,677.227,0.015,327.325,680.213,0.017,341.332,682.722,0.017,359.694,685.946,0.017,373.231,687.103,0.016,391.645,688.228,0.017,405.489,689.345,0.019,421.519,690.466,0.016,437.25,690.589,0.016,451.579,691,0.016,463.317,691.832,0.017,476.487,692.957,0.017,484.516,694.074,0.017,487.575,695.192,0.016,490.956,696.319,0.082,487.786,697.107,0.019,485.953,694.953,0.016,483.678,698.483,0.091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,1598,AEAP
215,380,0,235.007,380,0.016,257.497,380,0.017,276.221,380,0.017,296.669,380,0.018,318.391,381.494,0.017,337.05,382.614,0.016,357.222,383.735,0.016,392.003,385.714,0.017,410.691,387.956,0.017,425.307,389.101,0.017,441.097,391.442,0.016,451.439,392.344,0.019,459.741,393.468,0.016,469.125,393.589,0.016,476.251,394.709,0.016,479.661,395.831,0.017,480.951,397.903,0.017,481.5,399,0.016,483.195,400.195,0.1,482.069,403.861,0.018,481.5,405,0.016,479.832,407.251,0.017,477.423,408.289,0.017,472.355,410.823,0.018,466.5,413,0.017,460.726,424.547,0.015,450.453,437.324,0.017,434.498,451.702,0.016,418.709,470.353,0.017,398.417,488.296,0.017,379.509,506.227,0.017,365.971,524.19,0.018,348.5,543.5,0.017,333.797,561.096,0.015,317.737,578.263,0.017,306.138,593.357,0.017,295.037,606.955,0.016,282.691,620.428,0.017,274.083,631.396,0.017,266.464,643.986,0.018,254.201,657.759,0.017,245.177,671.44,0.015,234.033,686.416,0.017,223.38,700.16,0.017,217.152,711.697,0.016,211.559,719.617,0.017,208.367,725.055,0.017,204.989,729.348,0.018,204.545,732.367,0.014,202,735.5,0.034,204.268,736.537,0.033,206.044,737.022,0.034,209.467,733.533,0.018,213.293,729.707,0.017,215,726.5,0.017,229.796,727.323,0.016,246.74,723.815,0.017,273.01,718.398,0.017,296.866,709.67,0.016,322.717,703.03,0.017,342.087,696.304,0.017,366.571,693.776,0.017,383.5,692,0.017,402.07,692.352,0.016,417.021,692.771,0.017,429.814,694.784,0.016,441.126,698.038,0.017,451.218,699.135,0.017,457.52,702.76,0.017,465.656,703.38,0.017,473.496,704.499,0.017,482.956,704.62,0.016,491.933,704.258,0.017,499.192,703.135,0.016,504.93,703,0.017,507.217,703,0.066,503.598,700.732,0.123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,1579,AEAP
