@relation EntrenamientoP1JAGR
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
195,410,0,221.871,410,0.021,250.901,410,0.014,270.724,409.46,0.016,291.372,408.381,0.015,313.041,406.44,0.02,334.15,404.285,0.013,358.916,402.008,0.016,406.03,400.88,0.02,422.726,399.722,0.018,449.443,400,0.013,461.962,401.497,0.021,474.753,400.594,0.014,483.482,402.37,0.015,489.419,403.855,0.016,492,404.5,0.035,490,406.133,0.021,487.303,407.349,0.013,483.625,409.917,0.019,477.21,412.796,0.02,466.648,418.678,0.014,452.639,431.361,0.016,431.007,446.345,0.014,410.783,466.217,0.022,389.595,481.509,0.014,369.4,502.6,0.015,353.421,517.141,0.016,331.072,534.384,0.02,310.784,551.216,0.018,288.812,567.021,0.012,269.061,584.005,0.02,251.349,597.488,0.016,238.469,611.659,0.014,220.951,627.779,0.022,206.617,638.141,0.019,195.534,650.459,0.016,187.931,660.296,0.012,183.003,667.496,0.015,181.128,672.488,0.018,180.5,675,0.021,181,675.096,0.031,182.175,677.35,0.019,187.333,681.4,0.012,195.374,685.388,0.015,205.459,688.435,0.018,216.429,689.843,0.023,231.301,690.95,0.011,247.071,691,0.015,268.237,689.765,0.018,289.666,688.649,0.017,307.709,687.547,0.017,334.721,685.414,0.017,358.26,685,0.017,383.316,685.796,0.015,408.727,686.942,0.017,429.696,687,0.017,450.486,688.194,0.022,468.477,688,0.017,482.295,687,0.014,493.397,687,0.013,501,687,0.021,501.5,687,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,1190,JAGR
197,428,0,240.821,417.827,0.015,261.411,415.621,0.02,280.838,413.313,0.019,301.139,412.548,0.014,322.687,411.416,0.014,343.836,410.324,0.017,381.78,408.37,0.02,406.56,407.076,0.02,424.357,402.911,0.011,445.812,399.365,0.015,458.95,396.089,0.021,476.549,395.563,0.017,485.804,395,0.013,492.181,395.636,0.02,498.604,397.535,0.017,503,399,0.036,495.663,403.112,0.01,492.236,406.764,0.022,487.39,410.207,0.015,478.5,416.5,0.014,460.878,435.122,0.016,439.618,453.452,0.02,421.633,471.191,0.013,400.274,490.755,0.02,383.158,507.842,0.016,365.795,527.606,0.021,346.419,545.252,0.019,327.531,563.24,0.013,308.323,580.255,0.013,288.597,595.465,0.016,270.319,610.836,0.02,252.606,624.546,0.02,240.508,636.492,0.018,227.432,648.568,0.011,217.328,658.672,0.015,208.447,666.109,0.017,203.55,672.45,0.02,199.019,679.623,0.013,196.409,683.591,0.017,195,685,0.035,197.049,686.098,0.032,200.615,687.205,0.021,205.582,690.033,0.013,212.465,692.276,0.016,222.704,693.77,0.016,233.056,694.895,0.018,244.024,697.005,0.022,256.633,698.148,0.019,270.247,698.232,0.012,286.4,698.28,0.013,303.5,696,0.02,325.312,697,0.021,344.746,696.277,0.012,366.196,696.852,0.013,388.557,694.066,0.019,412.185,691.792,0.024,433.91,689.609,0.019,454.093,690.641,0.012,474.257,693.361,0.012,492.682,695.605,0.015,505.921,698.768,0.018,515.678,700.835,0.019,519.773,701,0.021,521.5,701,0.013,517.814,701,0.096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,1219,JAGR
175,417,0,204.874,411.641,0.016,221.555,409.349,0.017,237.632,407.053,0.015,254.599,405.893,0.019,271.376,404.775,0.018,289.307,405,0.015,312.208,403.515,0.02,349.229,403.165,0.014,372.137,404.673,0.014,392.331,405,0.017,410.863,406.858,0.02,427.519,407,0.016,445.846,409.356,0.016,455.93,411.586,0.015,470.361,412.447,0.018,477,413.5,0.02,480.949,415.299,0.015,483.5,417,0.033,482,418.026,0.016,479.727,420.273,0.015,476.15,422.567,0.022,468.504,427.664,0.015,451.798,439.639,0.014,434.203,453.572,0.019,416.111,468.791,0.015,397.265,485.018,0.015,379.129,502.871,0.017,363.188,523.33,0.017,343.64,543.617,0.023,328.321,567.113,0.015,309.363,582.188,0.014,296.787,604.386,0.016,280.346,621.654,0.015,264.328,639.339,0.021,251.133,652.867,0.024,237.484,665.464,0.017,226.234,675.413,0.011,216.169,683.526,0.013,209.292,689.257,0.017,202.082,692.751,0.016,197.934,694.689,0.016,195.394,696.606,0.02,194,698,0.03,197.118,695.941,0.019,199.624,696,0.02,204.096,697.161,0.016,214.065,699.507,0.013,228.38,699.375,0.016,244.519,701.254,0.017,262.539,702,0.016,280.497,702,0.02,299.326,700.863,0.023,322.751,698,0.019,342.505,697.285,0.012,366.178,696,0.011,389.309,696.615,0.016,409.843,695.489,0.017,430.353,695,0.016,447.882,694.008,0.018,464.761,694,0.023,478.579,691.603,0.019,490.881,690.353,0.011,503.12,688.542,0.013,511.6,687.4,0.016,516.112,686.296,0.021,518.5,685.5,0.117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,1240,JAGR
183,413,0,219.921,406.367,0.017,237.223,402.955,0.016,254.201,399.56,0.015,271.819,396.284,0.017,291.956,392.772,0.021,313.313,389.965,0.016,345.073,387.225,0.014,376.116,384.56,0.015,398.198,384,0.02,417.433,383.033,0.014,439.81,385.181,0.016,452.743,386.229,0.021,469.159,390.105,0.015,481.606,390.467,0.017,491.153,394.187,0.018,499.431,396.358,0.015,503.612,397.806,0.017,505,398.5,0.015,502.974,400.051,0.016,500.572,403.641,0.018,495.684,405.658,0.02,491.217,410.783,0.014,485.5,418,0.019,474.276,431.742,0.016,461.708,444.518,0.014,445.513,458.689,0.017,428.378,478.746,0.02,411.592,501.211,0.017,395.107,518.153,0.015,379.062,538.211,0.015,362.5,555,0.021,343.555,575.097,0.017,323.013,593.739,0.014,303.665,613.231,0.014,283.699,629.234,0.018,266.803,646.197,0.02,248.201,659.905,0.015,235.286,673.714,0.015,219.11,688.398,0.021,209.962,694.226,0.019,201.091,701.207,0.012,193.084,705.535,0.016,189.048,707.968,0.02,187.5,709,0.028,190.11,705.78,0.021,192.947,706,0.022,207.704,703.324,0.016,223.858,701.321,0.012,242.06,699.367,0.013,262.116,698.049,0.02,282.163,700.129,0.021,304.1,700,0.021,327.043,699.72,0.018,349.292,698.596,0.012,373.68,696.932,0.019,394.316,696.666,0.026,432.69,695.878,0.018,448.138,696,0.013,462.92,698.295,0.02,477.06,698,0.014,489.237,700.77,0.016,494,701.5,0.018,495.5,701,0.146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1216,JAGR
187,427,0,239.413,412.414,0.018,260.877,406.769,0.013,280.605,402.152,0.024,300.945,400.339,0.014,321.941,398.059,0.013,341.5,396,0.021,373.287,390.766,0.015,398.978,388.237,0.014,416.487,386.202,0.017,435.89,386,0.02,448.876,386,0.017,459.814,388.563,0.013,472.728,388,0.022,478.726,392.129,0.013,483.227,395.841,0.015,485.543,398.543,0.02,486,400.757,0.017,486,402.955,0.015,483.773,406.34,0.015,480.239,409.761,0.023,475.451,414.549,0.012,466.68,421.86,0.016,458.761,431.45,0.02,448.318,441.285,0.015,433.506,453.852,0.017,418.664,469.285,0.014,397.998,486.668,0.023,379.003,508.467,0.018,359.629,533.951,0.018,340.625,557.677,0.01,320.25,579.75,0.014,304.959,601.377,0.017,285.428,621.086,0.021,267.279,638.721,0.013,251.452,654.548,0.016,238.879,667.121,0.017,227.82,678.18,0.023,215.981,688.126,0.019,206.792,694.104,0.011,200.354,697.984,0.017,199.761,701.284,0.014,200.5,703.5,0.051,203.18,699.88,0.021,215.355,697.254,0.021,232.297,694.024,0.016,252.515,692.394,0.012,274.167,691.254,0.016,295.368,690.138,0.014,321.151,688.993,0.016,342.553,686.731,0.02,369.016,684.477,0.018,394.848,683.673,0.014,419.223,681.071,0.016,436,679,0.018,456.875,683,0.02,473.436,685.487,0.021,485.394,686.939,0.011,494.726,689.181,0.014,497.655,691.436,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1103,JAGR
173,422,0,194.281,417.744,0.016,217.758,413.749,0.016,234.287,411.495,0.015,251.469,409.316,0.017,272.162,407.991,0.02,292.682,404.553,0.019,314.126,401.191,0.015,363.544,395.182,0.015,381.253,394.489,0.015,404.627,393.388,0.02,425.562,393,0.015,445.435,393,0.016,462.793,393.986,0.014,478.77,396.253,0.022,490.793,398.508,0.015,497.518,402.079,0.015,503.934,406.956,0.02,502,408.176,0.014,500.628,409.686,0.016,497.494,412.506,0.016,490.397,416.773,0.021,483.469,423.531,0.016,471.059,434.764,0.019,454.823,443.387,0.012,434.818,455.225,0.02,418,476.5,0.016,394.223,495.432,0.018,374.76,514.462,0.016,356.562,532.438,0.013,336.784,550.073,0.018,315.518,567.932,0.016,299.682,584.318,0.021,274.524,601.054,0.021,260.371,615.629,0.017,246.185,631.055,0.012,232.874,647.407,0.013,220.091,660.909,0.015,210.883,674.176,0.02,201.703,685.622,0.02,196.875,690.125,0.013,193.809,694.588,0.015,192.009,698.981,0.068,201.768,697,0.023,211.715,698.079,0.023,221.759,698.803,0.022,253.135,700.876,0.017,274.164,698.598,0.019,294.024,698.315,0.024,318.494,696.392,0.017,341.5,696.925,0.012,367.596,697,0.01,393.216,694.633,0.016,419.549,693.672,0.019,447.984,694,0.015,462.5,697,0.016,485.26,697.987,0.017,502.686,700.558,0.016,515.199,702.84,0.021,520.24,704.06,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1163,JAGR
184,427,0,196.08,425.902,0.018,222.438,420.224,0.017,221.5,420.5,0.014,236.565,418.341,0.019,252.465,417.236,0.014,270.309,416.106,0.017,288.665,414.958,0.018,308.314,412.743,0.018,351.181,409.127,0.017,371.463,405.846,0.014,396,404,0.021,415.311,398.153,0.013,437.694,396.265,0.016,455.187,395.13,0.016,473.137,396.009,0.02,487.692,398.26,0.016,497.216,401.739,0.014,507.551,405.184,0.022,510,407,0.012,511,409,0.036,505.737,416.079,0.017,497.414,421.741,0.014,487.041,430.853,0.022,473.107,441.17,0.015,457.655,450.793,0.015,438.992,465.256,0.017,419.499,488.876,0.019,400.24,505.73,0.013,381.241,524.354,0.017,362.315,540.917,0.016,341.921,563.198,0.022,321.176,582.611,0.017,303.365,603.214,0.013,284.984,623.893,0.016,270.746,639.812,0.021,257.955,655.606,0.019,246.434,671.593,0.02,234.261,685.624,0.013,223.904,694.074,0.025,211.907,707.093,0.017,210.206,708.794,0.034,208.471,710.529,0.052,220.647,708.956,0.02,236.411,709,0.013,256.309,712.76,0.016,280.64,714.728,0.02,301.5,715.5,0.019,326.165,715.412,0.012,351.08,715,0.016,379.685,714.166,0.02,408.89,713.043,0.021,433.198,708.943,0.011,457.376,707.792,0.015,480.778,706.677,0.02,497.398,707,0.023,510.512,707.551,0.019,518.284,708,0.012,521.597,707.201,0.136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1179,JAGR
188,417,0,226.313,412.967,0.018,260.557,409.297,0.019,283.267,408.67,0.012,307.649,409,0.023,328.556,408,0.013,350.192,407.34,0.014,373.065,405.393,0.02,409.691,404.116,0.014,433.959,401.899,0.016,450.841,400.811,0.021,467.451,403.594,0.013,483.86,405.781,0.021,493.414,405.624,0.014,500.475,408.238,0.015,504,410,0.035,500.044,412.978,0.016,496.639,415.24,0.016,491.919,420.081,0.022,484.693,425.923,0.014,472,439,0.015,456,450.5,0.019,434.66,468.532,0.013,414.803,487.197,0.018,395.344,504.696,0.016,377.372,523.73,0.02,359.189,541.811,0.016,339.402,558.976,0.015,324.2,576.285,0.016,302.5,591.5,0.02,285.426,608.478,0.018,267.879,623.505,0.012,251.754,638.299,0.022,242.47,651.794,0.018,227.904,661.451,0.013,216.831,673.169,0.017,211.365,682.953,0.015,203.127,687.724,0.017,199.021,690.319,0.016,196.5,692,0.086,201.197,692.066,0.02,213.426,697.96,0.015,227.759,702.877,0.014,243.626,707.795,0.021,260.766,713.302,0.017,278.614,716.928,0.012,295.822,719.243,0.015,317.836,721.509,0.02,335.149,721,0.016,357.448,721,0.015,376.5,716.5,0.02,401.92,710.128,0.017,421.167,703.885,0.014,441.745,698.071,0.022,457.347,696.904,0.025,475.599,696.186,0.014,491.271,696.39,0.012,504.936,695,0.013,513.45,695,0.014,518.732,694.317,0.016,522,693.5,0.137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1207,JAGR
180,397,0,209.306,394.356,0.016,226.818,394,0.015,244.86,394.929,0.018,261.905,396.06,0.021,279.536,397.159,0.011,298.814,398.283,0.016,318.447,396.562,0.022,368,397,0.015,380.507,396,0.013,404.093,395.234,0.027,423.64,395,0.01,443.117,395,0.015,459.043,396.146,0.015,477.26,398.532,0.017,489.799,399.4,0.022,498.5,400.5,0.015,502.784,403.595,0.014,505.5,404.5,0.036,502.732,406.536,0.016,498.785,409.161,0.014,492.929,411.428,0.018,487.125,416.5,0.022,475.515,425.489,0.014,459.362,439.91,0.013,438.755,454.259,0.02,421.375,469.625,0.014,402.053,484.24,0.017,382.368,503.632,0.017,364.559,521.441,0.019,343.92,542.08,0.019,323.838,563.616,0.019,301.782,581.409,0.018,284.425,597.27,0.013,266.988,612.211,0.011,251.078,627.922,0.018,238.294,643.898,0.018,222.424,656.024,0.016,212.008,664.393,0.02,202.205,673.373,0.021,197.473,679.033,0.025,193.12,683.88,0.017,190.5,688,0.068,194.211,685.93,0.021,203.319,688.96,0.017,213.392,691.797,0.013,224.347,694.469,0.016,233.837,697.564,0.032,244.594,702.797,0.052,300.692,711.522,0.015,318.29,711.605,0.018,334.796,710.601,0.016,354.51,707.551,0.017,378.446,706.071,0.021,400.593,703.832,0.022,421.857,702.168,0.012,445.683,703,0.012,464.355,703,0.018,485.72,703,0.021,502.896,703,0.014,517.483,702.21,0.024,529.942,702,0.012,535.151,702,0.161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,1319,JAGR
190,402,0,212.383,398.948,0.02,235.203,397.711,0.019,255.295,398,0.014,277.987,398,0.014,300.557,398,0.015,325.294,398,0.02,351.155,398.876,0.013,397.369,400.971,0.018,419.338,401,0.019,446.669,404.709,0.017,461.519,402.632,0.017,479.826,407.467,0.018,490,409,0.015,497.492,412.397,0.016,501.547,415.547,0.014,502.965,417.93,0.02,501.896,420.208,0.015,498.444,424.742,0.015,490.911,432.089,0.017,484.225,435.85,0.023,467.247,446.252,0.015,446.236,458.724,0.013,423.043,476.564,0.016,398.324,496.916,0.02,378.779,518.364,0.024,359.315,536.536,0.022,337.687,558.754,0.022,316.771,578.63,0.014,273.824,616.535,0.015,253.823,635.402,0.02,237.401,653.399,0.024,223.899,666.093,0.026,210.621,679.128,0.02,190.19,693.756,0.019,185.591,697.928,0.026,185.46,697.27,0.052,191.265,697,0.016,203.163,698.216,0.017,216.043,703.47,0.017,234.305,704.974,0.02,254.592,706,0.021,273.784,705.307,0.013,294.007,703.333,0.011,319.02,701.085,0.016,338.349,697.762,0.021,362.815,694.48,0.019,387.663,693.702,0.012,409.85,692.534,0.016,428.914,690.426,0.02,445.901,689.315,0.02,461.732,687.436,0.012,476.047,683.318,0.015,488.588,677.733,0.018,495.057,674.471,0.024,501.565,672.478,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,1095,JAGR
