@relation EntrenamientoP1LJLE
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
204,402,0,255.67,404.153,0.031,314.024,405,0.007,345.222,405,0.01,374.806,405,0.022,402.025,403.666,0.021,425.852,404.422,0.01,460.716,406.108,0.014,499.5,408,0.016,503.523,410.619,0.018,514.465,411.941,0.037,520.183,416.367,0.029,518.799,419.604,0.053,499.951,437.037,0.022,486.439,447.967,0.029,452.349,476.565,0.024,410.427,509.053,0.029,364.811,545.7,0.039,320.744,584.159,0.045,268.491,636.625,0.061,239.988,677.527,0.041,243.421,695.536,0.026,252.18,699.026,0.042,284.126,701.771,0.044,326.18,700,0.04,410.523,699.145,0.043,496.726,694.788,0.039,558.634,694,0.038,575.358,695,0.314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1144,LJLE
205,389,0,238.345,387.924,0.016,274.263,387,0.02,295.789,386.169,0.018,314.412,386.907,0.015,335.115,387,0.018,355.546,388.197,0.017,376.105,389.339,0.018,418.055,394.825,0.015,428.5,394.5,0.014,444.46,396.307,0.015,457.169,398.593,0.018,466.667,400.917,0.017,480.027,403.171,0.016,486.07,405.357,0.018,491.539,407.615,0.016,495.484,408.371,0.021,498.096,409.548,0.012,500,410.5,0.033,501.543,411.272,0.033,499.949,413.103,0.073,498.868,415.264,0.013,494.479,419.281,0.016,491.493,424.178,0.017,486.009,429.991,0.015,479.189,437.947,0.023,469.162,445.43,0.012,456.461,458.539,0.018,447.5,469,0.018,429.878,483.417,0.035,414.396,498.057,0.011,379.812,531.2,0.018,362.687,549.467,0.02,343.769,566.982,0.013,327.244,586.523,0.017,303,602.5,0.019,290.361,619.762,0.015,275.5,632,0.017,263.322,647.558,0.023,251.956,659.044,0.011,244.16,669.08,0.015,238.738,678.02,0.024,234.521,684.218,0.036,231.599,690.198,0.01,232,692.418,0.013,234.538,695.538,0.022,237.795,697.863,0.019,242.241,699.06,0.012,248.206,700.241,0.015,253.723,701.345,0.017,269.733,702.478,0.017,276.316,702,0.016,286.492,702,0.048,314.566,702.039,0.019,347.085,701.826,0.025,370.057,700.368,0.019,388.566,699.445,0.035,423.387,698.692,0.012,439.6,697.343,0.012,454.341,697.949,0.015,467.507,698,0.016,483.7,699.193,0.017,493.829,700.283,0.017,502.132,698.608,0.017,511,700.5,0.016,512.007,702.338,0.017,514.5,704,0.05,514.039,700.921,0.146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,1451,LJLE
189,399,0,218.334,400.833,0.017,235.942,401,0.015,256.384,401,0.016,274.089,399.744,0.021,295.543,400,0.015,318.335,400,0.043,385.017,400.74,0.041,426.646,401,0.035,462.306,403.236,0.008,477.587,404,0.007,490.264,404.474,0.02,499.033,405.576,0.026,505.399,406.68,0.049,513.055,410.027,0.023,511.835,412.33,0.039,508.234,414.766,0.026,495.134,424.866,0.013,488.068,432.755,0.014,479.362,440.684,0.017,466.088,449.608,0.012,456.025,459.646,0.009,442.004,471.33,0.018,424.369,480.979,0.018,416,495,0.018,394.454,509.436,0.021,377.848,523.532,0.03,362.019,538.054,0.023,328.767,570.405,0.018,308.16,587.431,0.01,291.385,604.346,0.015,273.638,620.888,0.021,256.565,637.783,0.021,241.713,653.835,0.016,226.544,667.676,0.017,215.656,681.458,0.031,199.618,699.658,0.015,195.606,706.756,0.034,195,716.941,0.015,195.773,719.547,0.021,198.693,721.795,0.018,202.123,723.021,0.027,209.027,724.147,0.02,224.685,725,0.028,241.017,723.499,0.021,274.014,719.498,0.02,292.038,717.245,0.011,314.007,713.999,0.015,334.252,711.75,0.113,475.392,710.928,0.018,491.335,711,0.018,504.726,712.227,0.016,519.621,713.355,0.017,529.636,713,0.017,539.652,713.418,0.016,547.24,712.293,0.019,551.444,712,0.014,553.5,712,0.033,554.125,712,0.212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1481,LJLE
180,402,0,198.185,400.99,0.017,222.695,398.648,0.039,278.307,392.712,0.051,313.363,391.455,0.031,469.144,394,0.058,511.932,401.38,0.027,514.167,421.389,0.019,500.437,435.021,0.029,481.833,450.491,0.023,423.62,492.92,0.007,386.672,517.552,0.023,353.745,545.091,0.035,286.93,597.708,0.009,260.962,620.286,0.017,243.918,639.671,0.019,230.996,656.005,0.04,224.888,668.007,0.013,238.091,686.455,0.016,258.664,689.972,0.031,286.202,691,0.024,359.576,685.603,0.011,402.157,682.067,0.016,444.828,677.597,0.018,485.037,675.554,0.016,524.7,673.35,0.228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,817,LJLE
201,396,0,242.522,396,0.027,260.505,396,0.192,377.434,395.888,0.09,456.75,401,0.071,484.533,408.267,0.037,486.539,409.27,0.061,485.266,415.203,0.023,483.784,417.824,0.033,477.436,428.129,0.031,460.37,442.54,0.049,438.599,463.401,0.044,402.651,496.653,0.036,364.362,531.78,0.045,336.783,555.539,0.018,324.161,567.491,0.032,300.774,592.61,0.019,287.405,604.15,0.029,264.365,629.635,0.039,238.073,661.345,0.035,226.325,678.681,0.067,218,698.451,0.071,224.602,710.081,0.028,241.137,715.534,0.025,266.083,717,0.024,294.284,717,0.029,311.356,715.235,0.023,343.716,711.755,0.018,362.609,709.488,0.029,381.955,707.241,0.018,418.988,702.766,0.018,431.924,700.513,0.024,447.657,697.634,0.019,458.901,696.51,0.04,489.959,694.149,0.031,495.91,693.018,0.032,506.432,692.784,0.04,513,690.5,0.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1672,LJLE
202,405,0,442.771,399.827,0.029,489.528,401,0.022,501.485,403.697,0.015,512.531,405.906,0.03,512.134,408.732,0.026,509.455,412.394,0.014,500.291,417.839,0.012,487.982,427.833,0.011,471.982,440.371,0.028,449.634,454.021,0.025,400.5,488.5,0.025,373.766,507.167,0.014,349.794,527.567,0.048,326.154,547.066,0.013,266.193,602.384,0.016,246.349,625.607,0.019,232.846,641.784,0.015,219.309,659.367,0.015,208.729,675.31,0.017,198.845,687.968,0.026,193.867,698.299,0.042,202.415,712.341,0.036,228.243,719.514,0.025,277.232,715.666,0.01,309.423,711.355,0.027,339.779,706.885,0.026,411.047,698.195,0.018,443.162,695.609,0.018,473.617,693.956,0.034,522.453,692,0.036,550.076,690.978,0.222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,914,LJLE
208,402,0,227.451,404.161,0.019,272.413,408.095,0.016,274.841,405.516,0.017,294.792,404.4,0.019,315.645,404,0.038,339.491,403.159,0.017,389.069,403,0.035,433.416,403.221,0.024,472.779,405.458,0.019,498.398,409.133,0.019,504.332,410.833,0.017,507.831,412.887,0.03,506.928,414.609,0.035,505.008,416.397,0.033,467.583,442.381,0.026,454.07,451.495,0.054,426.43,472.438,0.068,364.033,525.967,0.02,315.453,571.74,0.056,288.02,601.828,0.035,248.5,646.5,0.056,225.748,680.878,0.069,223.743,706.857,0.044,263.133,713,0.06,298.837,711.01,0.024,359.49,706.639,0.037,401.449,703.396,0.094,491.582,698.354,0.192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1173,LJLE
198,397,0,234.17,398,0.025,255.537,398,0.032,273.931,398,0.038,338.929,399,0.006,379.792,400.491,0.018,405.807,401,0.016,428.793,400.01,0.017,452.417,400,0.021,467.297,400,0.017,491.054,401.353,0.018,502.2,402.477,0.021,513.79,403.599,0.023,520.601,404.72,0.034,525,408,0.032,518.966,411.827,0.022,512.358,416.982,0.021,488.288,434.712,0.015,472.216,446.625,0.026,454.598,459.921,0.02,432.387,475.075,0.015,388.895,508.932,0.017,364.516,526.715,0.02,345.29,544.853,0.018,324.5,565,0.02,302.076,584.607,0.01,281.723,602.865,0.017,262.278,620.798,0.02,246.395,637.648,0.022,232.93,653.415,0.041,213.988,676.219,0.016,209,691.281,0.017,211.341,696.121,0.018,215.625,700.625,0.015,224.233,704.087,0.018,242.351,705.147,0.019,255.355,706.28,0.028,278.263,704.609,0.017,299.326,702.97,0.008,324.106,700.718,0.012,348.541,698.496,0.016,372.491,697.119,0.016,398.102,697,0.029,419.397,695.874,0.013,440.072,695,0.012,458.071,695,0.019,474.973,695,0.011,491.015,694.383,0.017,505.568,694,0.018,516.811,692.264,0.281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1222,LJLE
197,394,0,238.859,392.008,0.017,260.178,390.885,0.018,278.799,389.777,0.021,298.153,390,0.017,317.831,388.539,0.013,337.836,388,0.015,371.171,387.293,0.016,396.32,387.842,0.018,414.326,388,0.018,429.831,389.059,0.015,443.612,390.218,0.042,454.566,392.467,0.015,469.532,396.133,0.01,477.213,397.702,0.016,482,398.5,0.034,482.805,399.268,0.033,484.212,400.106,0.068,486.267,401.133,0.034,492.13,401,0.017,495.532,401,0.019,497.639,402.319,0.013,499.846,402,0.033,502.803,404.536,0.05,502,406.358,0.019,498.769,409.231,0.016,491.434,415.305,0.018,486.154,420.846,0.016,477.5,432.5,0.017,463,441.5,0.015,449.847,453.628,0.018,432.558,468.636,0.017,418.872,481.117,0.016,399.848,497.899,0.026,383.069,511.145,0.011,366.168,530.221,0.015,349.314,545.686,0.017,333,562,0.016,313.049,580.512,0.022,294.106,597.967,0.018,276.202,613.822,0.02,259.373,629.519,0.017,245.645,644.062,0.015,233.77,657.172,0.018,222.702,666.77,0.014,217.208,675.182,0.015,214.52,681.7,0.012,214,686.413,0.016,215.935,689.903,0.017,218.206,693.309,0.025,225.348,695.427,0.042,248.966,698.451,0.023,279,699,0.096,378.363,693.718,0.025,424.123,691,0.016,446.66,690.334,0.073,523.193,690,0.039,546.644,691,0.028,549.5,691,0.294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1634,LJLE
206,402,0,240.037,401,0.052,284.659,403.435,0.038,318.203,404,0.059,388.559,406.04,0.018,404.274,407,0.017,434.822,407,0.018,446.534,406.456,0.015,458.003,405.333,0.017,467.305,405,0.018,476.267,405,0.015,482.166,403.967,0.018,487.769,404,0.015,493.305,404,0.023,497.608,404,0.016,500.5,404,0.014,503.568,404,0.014,507,404,0.043,507.538,404,0.077,503.142,406.62,0.013,500.511,409.234,0.019,495.661,412.603,0.016,490.049,417.951,0.016,487.5,420.5,0.038,476.541,430.338,0.014,463.191,442.328,0.017,450.791,453.008,0.015,438.068,463.49,0.017,425.667,473.636,0.017,413.312,484.716,0.022,400.962,495.944,0.011,372.778,519.352,0.017,364.601,531.078,0.018,351.968,543.032,0.018,336,556,0.026,322.39,569.073,0.01,309.711,581.947,0.012,297.58,595.368,0.018,280.852,607.842,0.016,268.891,622.493,0.016,255.144,631.892,0.067,216.169,673.442,0.017,210.338,681.527,0.016,205.794,686.206,0.022,203.647,689.53,0.045,203,694.537,0.033,209.368,696,0.021,213.642,696,0.014,219.145,696,0.015,225.939,696,0.017,237.79,694.721,0.019,247.592,695,0.016,257.5,693.5,0.017,273.694,692.359,0.015,286.446,691.232,0.044,300.569,690.11,0.018,331.624,688.865,0.01,345.096,687.742,0.015,365.438,688,0.019,379.022,688.501,0.012,394.465,689,0.017,407.992,689,0.016,422.306,689.87,0.018,434.936,690.994,0.018,450.576,691,0.015,460.074,691,0.019,471.605,692.36,0.025,481.838,692,0.013,490,692,0.363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,1809,LJLE
