@relation EntrenamientoP4.2
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
203,408,0,261.64,412.771,0.017,325.433,414.627,0.016,396.018,414.128,0.016,475.975,411.887,0.019,488.417,413.354,0.034,488,420.516,0.017,488,439.82,0.016,490.321,471.142,0.017,498.259,503.907,0.015,507.228,540.911,0.016,513.099,581.892,0.016,516.591,620.317,0.025,519.07,652.421,0.016,520.779,679.569,0.017,520,695.112,0.016,519,702.779,0.018,514.989,705,0.016,496.783,705.496,0.017,460.188,706.01,0.017,410.371,704,0.018,359.102,705.474,0.016,312.75,709.438,0.016,257.925,710.961,0.016,218.594,708.8,0.017,204.773,708,0.017,202,701.937,0.015,197.213,688.567,0.017,192.661,660.624,0.017,185.751,626.755,0.009,180.682,591.776,0.014,180,560.272,0.017,183.141,536.729,0.016,184.387,520.679,0.008,186.253,511.747,0.016,192.61,510,0.014,230.453,511,0.013,287.397,513.477,0.017,338.684,516.72,0.017,378.434,519.96,0.016,390.616,524.411,0.017,391,529.894,0.017,390,538.15,0.016,391,557.329,0.016,394.353,574.413,0.017,400.25,596.75,0.017,404,606.638,0.016,402.992,610.015,0.018,397.461,606.731,0.017,362,604.5,0.017,314.053,600.252,0.017,277.069,599.994,0.017,269.524,601.238,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,1930,MCPP
202,405,0,296.01,406,0.011,348.971,405.045,0.016,400.425,402.799,0.021,458.748,403,0.014,480.155,404,0.022,485.909,406.817,0.015,488,412.495,0.016,489,425.363,0.016,490,446.616,0.02,492.876,471.637,0.025,500.536,514.214,0.02,503.508,545.613,0.017,503.253,576.462,0.03,503,618.72,0.011,506.737,640.685,0.018,509.212,660.242,0.016,511.855,675.133,0.017,508.904,685.289,0.017,505.319,688.341,0.018,499.09,692.164,0.016,484.401,694.825,0.016,453.081,698.066,0.017,413.097,699,0.017,370,699,0.017,337.11,697.207,0.017,300.509,697,0.017,265.174,697,0.016,237.5,698,0.017,215.636,698.234,0.017,204.974,695.994,0.017,198.516,691.516,0.016,193.018,677.562,0.017,190,654.65,0.016,189.978,629.265,0.017,192.212,601.247,0.016,194.457,575.521,0.017,195.293,549.805,0.016,195,527.458,0.017,194.183,509.717,0.017,194,501.273,0.016,200.028,497.648,0.017,210.583,497.917,0.016,234.214,496.842,0.024,276.023,498,0.016,319.193,498,0.015,351.402,498.886,0.017,367.517,501.258,0.016,371.741,504.741,0.017,372.615,512.459,0.015,376.715,528.003,0.017,382.289,543.77,0.016,389.684,563.077,0.018,397.173,578.691,0.016,402.655,594.136,0.017,407.07,603.209,0.017,405.567,607.433,0.033,391.812,608.799,0.017,362.546,612.041,0.017,331.827,612.288,0.019,306,610.5,0.017,303,611,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,2254,MCPP
190,406,0,267.87,409.317,0.018,309.5,409,0.013,345.942,408,0.017,399.626,407,0.017,433.718,407,0.015,461,408,0.016,483.001,409,0.017,496.083,410.017,0.017,503.792,412.264,0.018,506.5,418,0.016,505.253,429.979,0.017,504.006,445.959,0.016,504.769,470.541,0.016,505.044,493.778,0.008,505.443,518.382,0.014,505.927,547.49,0.017,506.202,579.828,0.016,505,609.343,0.017,503,637.972,0.016,502,658.529,0.017,499.826,676.394,0.018,500,686.246,0.017,495.682,692.318,0.017,490.2,695.9,0.017,473.131,697.144,0.009,444.054,698,0.017,406.113,698,0.015,370.068,698.138,0.014,336.338,697.889,0.031,295.932,700,0.01,256.898,700,0.015,224.329,699,0.016,195.907,700,0.016,178.407,701,0.018,165.312,701,0.015,162.732,698.464,0.018,163,691.489,0.016,164,672.305,0.017,177.284,644.805,0.016,184.799,616.303,0.017,189.278,588.191,0.017,192.76,561.821,0.017,194.625,540.626,0.015,198.732,523.938,0.017,204.321,511.465,0.017,212.398,507.301,0.018,225.938,505,0.015,252.021,506.835,0.016,287.031,508,0.017,322.5,509,0.018,353.878,509.563,0.016,375.452,511.613,0.016,393.259,515.086,0.017,399.872,520.581,0.018,401,527.596,0.016,401,535.095,0.017,401,550.134,0.017,404.255,565.533,0.017,408,581.5,0.017,413.488,593.977,0.017,414.986,599.972,0.017,411.545,603.227,0.017,403.597,605.468,0.017,379.575,607.714,0.017,345.759,609,0.019,312.818,609,0.02,282.321,610,0.015,285.095,612.095,0.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,2430,MCPP
185,407,0,261.678,408,0.018,310.631,405.426,0.016,363.46,402.182,0.017,433.441,402.06,0.017,464.604,406.601,0.017,486.5,411,0.016,489.79,415.58,0.017,492.031,424.124,0.016,492,440.903,0.01,492,461,0.017,493.879,502.674,0.018,494,534.877,0.016,492.632,569.527,0.007,490.395,604.073,0.019,489,636.064,0.013,488,662.905,0.017,490.335,687.35,0.018,493.579,699.895,0.016,493,708.453,0.016,490.753,711.062,0.009,473.955,713.305,0.018,438.091,714,0.016,401.567,714,0.016,368.504,712,0.016,333.805,712.28,0.018,297.203,712,0.007,266.867,713.761,0.017,236.942,714,0.017,207.246,712.75,0.019,190.526,711.509,0.016,187.855,706.291,0.017,189.094,699.624,0.016,188,682.276,0.018,189.582,655.012,0.016,190,623.452,0.017,190,588.015,0.016,187.691,553.672,0.018,184.448,524.923,0.011,183,505.235,0.017,185.037,496.889,0.016,189.562,496,0.018,209.305,496,0.031,281.1,490.232,0.016,335.045,487.873,0.017,370.539,488,0.017,376,492.844,0.016,376,497.711,0.016,375,506.482,0.017,376,526.426,0.018,385.922,549.012,0.016,397.133,572.266,0.016,405.197,592.458,0.017,408.311,603.553,0.018,408,609,0.032,401.243,610,0.017,374.282,610,0.016,333.627,606.203,0.016,302.838,602.355,0.015,289.5,603.5,0.032,298.5,604.25,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,2196,MCPP
184,409,0,250.435,409,0.017,294.242,409,0.018,341.679,411,0.016,410.218,414,0.016,452.86,414,0.017,484.495,415,0.018,496.437,418.958,0.016,501.72,425.881,0.016,503,438.77,0.015,503,460.453,0.017,505.898,486.389,0.017,507.694,519.098,0.017,509,554.865,0.016,507.822,591.031,0.011,506.578,627.177,0.017,504.332,657.345,0.016,504.191,683.046,0.017,502.85,696.898,0.017,497.436,707.173,0.017,494.109,710.63,0.016,480.259,711.874,0.02,448.657,711.883,0.015,381.442,706.522,0.017,340.936,702.274,0.017,293.615,702,0.017,246.771,702,0.025,214.184,699.546,0.016,197.129,697.304,0.016,188.189,694.063,0.017,186.822,689.644,0.017,187.425,672.755,0.008,188,647.311,0.016,188,618.165,0.017,187,588.028,0.031,188,555.481,0.012,189,529.623,0.017,190.76,513.72,0.008,194.245,506.755,0.017,206.17,504.638,0.017,226.724,504.392,0.029,269.568,503,0.01,315.033,500.908,0.017,352.077,501,0.017,376.639,502.58,0.016,390.468,507.468,0.008,395.063,515.254,0.017,396.31,526.859,0.017,396.551,540.963,0.031,399.795,562.363,0.011,405.105,584.385,0.031,408,597.404,0.011,407.477,605.046,0.016,402.229,608,0.018,386.754,607,0.017,351.803,605.629,0.017,310.609,603.384,0.016,289.142,603,0.017,283.5,603,0.033,289.923,604,0.103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,2112,MCPP
191,411,0,257.505,404.809,0.016,305.371,401.165,0.017,353.715,398.922,0.017,435.814,398,0.017,465.582,400.564,0.016,494.081,402.616,0.027,507.045,404.091,0.02,505.589,409.617,0.016,501.688,425.905,0.016,497.1,446.101,0.017,497.278,471.528,0.016,498.383,502.742,0.016,500.5,534,0.018,505.738,568.165,0.013,507,601.493,0.017,504.286,630.283,0.018,503,654.363,0.015,502,672.555,0.017,502,684.401,0.017,503,690.977,0.034,497.622,694,0.016,490.269,694.933,0.017,464.423,696.172,0.017,425.707,696,0.021,389.458,695,0.029,348.897,694,0.007,305.986,694,0.016,266.397,695,0.018,235.841,696,0.016,211.264,697,0.017,189.212,697,0.016,181.927,696,0.049,181,687.138,0.019,181,666.747,0.017,182,643.102,0.017,183,613.347,0.016,183.933,581.007,0.017,184,550.562,0.016,184,529.242,0.018,184.659,515.706,0.015,186.804,509.196,0.017,192.43,506.857,0.016,218.019,504.614,0.018,265.436,503.628,0.015,310.345,504,0.017,351.953,502.885,0.016,378.205,503,0.018,385.598,505.197,0.016,384.036,511.891,0.018,383,523.215,0.017,385.892,536.677,0.018,393.764,560.219,0.02,401.787,579.362,0.016,410.515,593.859,0.017,414.417,599.833,0.017,408.869,601.217,0.018,393.794,600,0.016,356.998,598.733,0.017,309.5,598,0.017,286.251,598.75,0.016,283.984,601.984,0.104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,2243,MCPP
188,413,0,242.748,408.806,0.018,281.411,409,0.017,331.337,406.319,0.016,412.228,403.151,0.017,462.273,404.164,0.017,489.64,408.809,0.017,491,413.301,0.016,490,420.576,0.017,489,437.064,0.017,491.374,456.738,0.017,494.617,485.644,0.016,496.864,515.091,0.016,498.107,549.704,0.018,498,583.59,0.018,496.309,630.287,0.013,496.953,656.581,0.016,500.393,681.159,0.017,504.882,693.205,0.017,503.636,700.364,0.017,497.302,703,0.017,479.343,709.663,0.017,441.436,712.41,0.017,393.946,714,0.016,349.156,715,0.017,303.114,715,0.016,263.562,717,0.01,235.194,718,0.016,219.544,718,0.017,216.446,715.891,0.009,214.653,712.307,0.018,212.813,698.253,0.016,209.165,674.98,0.017,201.696,644.938,0.016,197.681,609.889,0.017,194.5,576.5,0.016,190.585,543.732,0.029,186.948,520.484,0.012,186,508.835,0.018,192.5,505.5,0.017,213.31,504.224,0.008,258.349,501.983,0.017,315.747,499.74,0.016,370.5,500,0.03,407.192,500,0.011,422.964,501.976,0.016,421.884,504.231,0.022,418.525,512.374,0.016,414.833,537.667,0.016,414,559.801,0.016,417.324,578.917,0.018,418.567,593.834,0.017,419,601.617,0.017,417.5,605,0.017,410.12,607.293,0.017,385.904,607.535,0.023,348.181,608,0.015,311.61,607,0.017,292.687,606,0.018,284.5,605,0.065,294.221,606,0.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,2187,MCPP
188,410,0,258.099,400.8,0.017,307.721,398.664,0.017,363.27,397,0.036,456.236,397,0.011,477.502,400.188,0.018,482.435,407.305,0.017,484.677,415.386,0.016,486,431.285,0.017,487.162,450.455,0.018,490.81,478.268,0.016,493.647,510.062,0.015,494,544.407,0.026,492.865,578.895,0.011,494.376,610.886,0.018,495.619,640.053,0.016,496.137,660.907,0.017,496,678.853,0.017,498.351,689.403,0.016,496.407,695.185,0.016,491.128,696.957,0.018,469.448,698.196,0.016,435.485,699.442,0.017,392.016,700,0.016,349.356,701,0.016,309.549,701,0.016,271.788,703.411,0.017,241.797,706.655,0.015,221.624,708,0.016,213.583,705.861,0.016,209.232,698.464,0.019,205.752,687.631,0.015,201.269,667.346,0.017,197.787,641.725,0.016,193.646,610.042,0.015,193.595,576.068,0.016,195,547.096,0.017,193.918,527.426,0.016,192,513.372,0.017,196.067,510,0.017,207.501,511,0.017,241.435,507.656,0.017,292.367,504.171,0.017,341.859,504,0.017,376.922,506.804,0.017,388.291,511.291,0.033,385,519.5,0.017,387.75,532.752,0.016,390.996,551.963,0.016,398.714,569.666,0.016,402.956,587.823,0.017,405.723,595.446,0.017,406,600.935,0.016,406,603.206,0.05,398.552,604,0.018,370.057,606.055,0.016,332.282,604.699,0.019,297.5,603.5,0.016,280.43,604,0.017,284.2,605.05,0.134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,2224,MCPP
189,401,0,269.478,406.187,0.017,323.505,407.438,0.017,387.341,407,0.015,463.531,409.923,0.016,491.454,413.162,0.017,499.633,416.408,0.034,502,425.077,0.017,500.987,440.089,0.017,501.251,460.508,0.018,501.995,486.962,0.016,507.22,515.361,0.017,511.984,544.792,0.025,513,575.929,0.013,512,606.66,0.017,511,634.871,0.016,510,658.617,0.017,510,676.57,0.016,507.561,686.317,0.017,505.5,690,0.032,499.77,688.943,0.018,484.686,686.586,0.017,451.846,683.344,0.016,405.344,680.204,0.017,360.352,676.861,0.017,317.058,674.614,0.017,280.003,676.625,0.016,247.413,678,0.016,224.874,678,0.016,216.932,674.288,0.017,214.279,669.837,0.017,211.039,659.231,0.017,207.798,637.773,0.015,204.114,614.568,0.017,196.621,587.415,0.016,193.067,561.738,0.017,194.174,539.436,0.016,193,526.927,0.017,193.319,519.021,0.016,200.502,515.1,0.017,217.146,509.714,0.016,256.978,505.225,0.017,311.465,501.371,0.014,359.219,499.126,0.017,389.348,499,0.016,394.722,500.361,0.032,392,508.387,0.018,394.177,522.618,0.017,396.659,540.307,0.018,400.572,562.003,0.027,402,578.688,0.021,403,591.356,0.017,398.671,594.664,0.017,383.124,596.813,0.017,350.791,599.147,0.016,307.197,600,0.019,291.202,600.633,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,2191,MCPP
187,409,0,305.704,404.943,0.012,363.481,405,0.019,410.48,405,0.016,466.142,407.796,0.016,488.223,410.037,0.017,493.273,414.545,0.018,493,420.5,0.017,493,439.122,0.029,491.991,466.12,0.01,492,497.989,0.023,492,532.414,0.016,491.264,569.776,0.014,489.024,608.615,0.028,491.344,659.815,0.017,491,683.708,0.016,489.171,695.316,0.017,484.861,702.209,0.016,477.736,704.316,0.015,444.292,703.885,0.016,399.582,699.398,0.017,358.298,695.917,0.016,311.681,695,0.018,268.93,696.53,0.016,233.461,697.769,0.017,209.899,696.987,0.016,197.961,694.481,0.038,195.524,676.622,0.015,193.032,653.16,0.014,188.548,624.285,0.018,186.528,589.925,0.017,188.716,561.123,0.017,189.958,538.425,0.017,190,520.387,0.017,190,510.235,0.016,194.371,507.315,0.016,207.501,506.071,0.017,239.062,501.49,0.011,289.335,496.173,0.016,335.822,494,0.015,370.902,493,0.017,386.709,495.142,0.016,390.386,499.771,0.016,390.626,505.504,0.015,392.872,518.101,0.017,395.113,534.678,0.016,401.069,558.918,0.017,404,578.425,0.015,405.844,593.374,0.017,404,598.168,0.017,400.344,600,0.034,383.686,602.693,0.017,353.043,605.935,0.017,311.475,608.176,0.017,287.02,609,0.015,293.081,611.027,0.174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,2115,MCPP
