@relation RegistrosP2.2
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
255,397,0,251.943,436.739,0.017,249.466,475.281,0.012,247.221,507.291,0.017,246.466,540.492,0.016,246,572.39,0.016,246,604.053,0.017,246,632.801,0.019,246,679.194,0.021,246,687.714,0.012,247.221,689.441,0.041,252.354,684.176,0.027,267.057,660.608,0.022,275.017,642.387,0.016,282.86,622.36,0.018,294.999,597.701,0.015,306.155,572.043,0.016,318.748,545.521,0.018,332.603,517.032,0.014,346.176,488.4,0.019,361.112,460.476,0.017,375.709,438.172,0.023,390.289,417.985,0.025,405.908,403.395,0.016,412.815,400.093,0.011,413.858,402.429,0.019,416.646,405.195,0.013,421.359,412.374,0.018,427.792,430.974,0.018,439.085,457.004,0.029,451.133,486.475,0.018,459.368,514.648,0.015,470.006,541.831,0.02,481.131,569.393,0.014,490.093,592.698,0.024,510.612,627.816,0.019,518.079,642.851,0.012,524.989,655.981,0.014,531.774,663.903,0.023,538.484,669.236,0.023,540.999,670.666,0.038,541.713,666.575,0.022,542,664.349,0.014,542,660.149,0.015,542,646.991,0.017,542,620.232,0.019,538.003,583.696,0.015,533.177,541.597,0.017,531.413,499.445,0.025,532.366,463.828,0.018,536.164,434.225,0.014,541.657,411.305,0.013,545.161,398.411,0.014,547.352,391.943,0.068,547,395.267,0.116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1149,MCPP
253,398,0,250.842,421.734,0.013,248.782,449.96,0.014,247.263,472.474,0.019,246.121,497.331,0.018,244.052,523.372,0.026,241.808,551.402,0.023,233.337,643.293,0.015,232.095,662.312,0.017,229.79,678.676,0.015,229,691.432,0.017,228.129,696.613,0.017,227.5,698.5,0.016,230.105,695.948,0.019,234.815,693.593,0.015,240.696,683.287,0.017,246.368,669.791,0.017,252.539,654.333,0.021,260.916,637.825,0.018,269.516,619.391,0.012,277.537,598.257,0.015,286.526,575.686,0.019,296.651,556.881,0.022,303.763,533.711,0.01,311.814,512.361,0.017,323.408,491.725,0.015,332.674,473.652,0.021,341.102,456.796,0.021,349.182,442.403,0.027,357.163,431.79,0.015,362.401,422.465,0.01,365.722,418.037,0.024,367.525,417.737,0.045,368.727,422.182,0.017,370.707,426.414,0.012,374.96,434.92,0.017,382.854,443.976,0.01,391.933,454.175,0.018,398.157,472.393,0.022,408.673,486.477,0.013,418.713,503.248,0.014,428.456,524.063,0.016,441.286,546.287,0.017,453.8,568.635,0.017,463.902,592.104,0.018,476.401,608.275,0.018,488.573,628.847,0.016,498.134,643.431,0.023,509,661,0.024,516.935,671.213,0.017,528.726,686.726,0.017,533.285,690.214,0.036,535.319,688.841,0.067,536.728,684.544,0.02,537,679.63,0.013,539.034,661.71,0.015,540.152,636.657,0.021,541.28,609.289,0.03,543.725,576.488,0.015,545.966,543.507,0.012,548.832,510.287,0.012,552.25,478.754,0.015,554.751,452.736,0.028,555.963,435.558,0.015,557,423.729,0.011,557,420.29,0.047,556.177,423.177,0.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,1381,MCPP
233,402,0,240.153,448.659,0.023,241.845,478.821,0.015,242,510.832,0.01,242,547.211,0.014,243.236,582.317,0.016,244.367,614.654,0.023,244.485,648.413,0.015,245.571,675.277,0.014,246,682.081,0.015,246,684.5,0.04,249.091,675.773,0.02,253.706,660.706,0.012,262.031,646.228,0.014,271.588,625.375,0.016,281.143,605.57,0.018,293.732,582.222,0.02,307.467,559.222,0.02,323.493,533.411,0.012,336.465,505.986,0.012,349.939,477.96,0.023,366.239,454.641,0.017,377.344,431.891,0.017,389.237,414.716,0.02,397.847,405.794,0.009,402.302,403.233,0.017,404.793,404.793,0.015,407.021,408.032,0.015,410.426,413.71,0.019,418.856,434.508,0.017,422.555,457.777,0.022,430.859,490.508,0.019,441.518,521.592,0.013,452.588,552.765,0.011,463.596,581.489,0.017,478.694,605.542,0.028,489.751,628.577,0.015,505.425,649.435,0.013,518.425,669.508,0.012,529.728,690.983,0.016,540.444,706.283,0.016,548.236,720.06,0.042,554.5,730.5,0.025,553,723.756,0.017,551.694,714.86,0.017,550.564,694.026,0.016,548,674,0.023,549,638.267,0.022,550.543,601.775,0.012,553.737,562.981,0.013,556.07,523.77,0.014,561.852,486.376,0.017,564.826,456.292,0.018,568.252,429.987,0.019,568.5,413,0.023,567.372,413.744,0.013,566.5,412,0.027,568.271,416.814,0.117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,1115,MCPP
258,401,0,253.965,464.555,0.026,248.314,556.353,0.017,247.556,591.64,0.026,247,624.474,0.012,247,654.447,0.014,247,678.589,0.016,246.053,706.624,0.02,245.5,721,0.02,247.077,705.846,0.01,252.14,694.436,0.022,259.725,679.55,0.015,267.5,653.5,0.013,274.866,622.246,0.024,283.767,593.452,0.013,296.542,565.038,0.014,310.483,535.995,0.015,327.439,510.26,0.025,337.922,486.864,0.018,353.457,462.633,0.01,370.336,436.752,0.016,384.688,418.83,0.02,396.643,401.667,0.022,405.821,387.769,0.015,413.83,381.121,0.018,418.218,380.109,0.025,420.464,381.232,0.023,422.926,393.482,0.012,425.779,410.49,0.014,430.598,433.553,0.023,437.26,461.039,0.017,446.454,483.725,0.011,452.398,510.909,0.017,459.311,539.461,0.023,468.724,568.854,0.017,479.482,592.705,0.014,487.964,615.326,0.013,495.778,632.191,0.017,504.517,649.035,0.017,512.525,663.186,0.016,519.434,677.941,0.017,526.08,686.44,0.023,532.843,690.229,0.02,537.191,693.794,0.013,540.5,696,0.031,541.534,693.733,0.03,542.008,687.966,0.022,543.14,677.738,0.024,545,660.367,0.023,546,612.765,0.015,545.376,579.645,0.016,545.744,544.93,0.017,546.866,511.895,0.018,549.952,481.431,0.017,553.416,455.953,0.015,555.496,434.044,0.018,556.355,414.615,0.017,554.507,401.589,0.017,554.39,390.34,0.015,554,386.591,0.021,554,385,0.029,554,388.051,0.017,556.437,389.219,0.122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,1237,MCPP
248,402,0,245.906,450.154,0.021,244.566,478.428,0.009,242.32,506.495,0.021,241.511,533.739,0.023,240.398,561.059,0.021,239.296,587.892,0.02,239.939,655.849,0.014,241.105,672.469,0.015,242.223,686.902,0.027,244.714,690.784,0.016,245.442,691.885,0.044,251.253,683.934,0.015,256.518,670.351,0.016,266.44,654.316,0.017,274.157,631.694,0.018,283.395,607.714,0.015,293.758,581.397,0.022,308,552,0.018,317.963,522.542,0.013,330.526,493.622,0.014,341.951,467.413,0.015,357.557,441.086,0.018,368.619,424.572,0.017,377.189,414.263,0.025,384.713,411.449,0.041,391.226,414.613,0.018,398.541,424.196,0.017,404.954,436.907,0.016,415.075,448.195,0.017,423.937,465.632,0.029,432.915,481.101,0.015,444.648,498.972,0.01,454.786,518.966,0.012,465.948,540.729,0.02,479.922,564.483,0.017,490.513,591.648,0.015,503.308,619.853,0.015,514.246,640.267,0.025,522.761,662.903,0.019,530.839,674.545,0.013,538.786,685.344,0.012,543.762,690.071,0.015,546.616,691.808,0.017,548,692.5,0.017,549.066,689.934,0.016,549,687.637,0.02,549,678.785,0.026,548.603,652.876,0.022,547,593.735,0.016,547.76,560.203,0.016,549.813,525.802,0.024,551.004,493.872,0.02,550.876,463.789,0.013,550,435.506,0.011,550,411.978,0.018,550,402,0.016,549,401.778,0.026,549,400,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1238,MCPP
263,395,0,261.024,451.385,0.015,261,478.15,0.017,261,506.275,0.011,259.655,534.636,0.02,257,563.5,0.014,256.5,590,0.02,252.194,636.378,0.017,250.172,663.413,0.013,249.02,682.654,0.018,247.933,692.6,0.015,246.816,699.102,0.016,248.346,700.692,0.037,251.798,697.468,0.019,263.064,687.609,0.011,270.875,672.813,0.017,278.466,656.144,0.02,288.71,632.343,0.017,301.722,608.844,0.013,314.547,582.906,0.017,330.793,553.242,0.019,341.5,523.5,0.023,360.043,490.915,0.015,375.887,460.781,0.024,392.563,436.916,0.014,402.985,417.029,0.025,414.027,408.413,0.015,424.177,405,0.017,426,408,0.015,427.898,415.693,0.021,431.245,432.47,0.013,436.292,450.734,0.017,445.91,472.8,0.017,455.054,497.899,0.019,463.995,519.987,0.021,477.35,543.036,0.012,488.203,564.472,0.015,499.069,585.137,0.015,509.528,606.057,0.018,518.648,625.958,0.02,527.002,649.007,0.02,535.453,661.68,0.012,544.684,677.947,0.014,548.381,688.452,0.019,551.399,695.265,0.015,553,695,0.061,553,688.269,0.017,553,677.149,0.013,553.169,658.626,0.012,554.296,636.079,0.015,551.121,604.572,0.016,553.109,567.809,0.022,556.526,536.321,0.019,562.509,505.711,0.012,568.471,477.541,0.013,572.094,453.341,0.018,574.314,435.49,0.017,575.271,420.211,0.031,576,413.867,0.021,575,402.021,0.015,574.225,396.124,0.016,573.5,392.5,0.147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,1227,MCPP
240,405,0,242.58,440.339,0.015,242.323,466.931,0.016,241.202,495.757,0.016,240.068,526.161,0.017,238.941,557.664,0.018,237.816,589.158,0.018,238,619.236,0.015,235.143,686.72,0.016,234.5,698.5,0.015,236,712.102,0.021,237.514,718.271,0.013,239,720.5,0.021,240.061,717.969,0.02,244.529,708.941,0.009,251.89,685.016,0.018,262.574,658.867,0.017,275.5,626,0.019,286.962,590.015,0.013,301.762,553.221,0.016,316.327,516.246,0.018,332.092,480.797,0.024,344.162,448.937,0.013,361.187,419.263,0.012,370.395,397.456,0.017,382,378,0.022,391.581,378.21,0.019,397.569,377.714,0.022,403.236,381.389,0.032,417.369,404.86,0.017,422.958,420.257,0.012,429.341,439.35,0.012,437.302,457.547,0.022,450.31,484.57,0.018,460.114,509.624,0.013,473.616,538.233,0.014,484.487,567.517,0.015,493.492,596.597,0.016,502.479,622.251,0.024,511.67,643.341,0.015,516.067,662.787,0.014,521.184,678.098,0.015,526.301,688.622,0.021,531.769,694.769,0.018,537.446,697.779,0.014,540.5,699,0.022,540.132,695.604,0.014,541.545,690.549,0.019,543.391,675.781,0.015,544.513,650.183,0.012,545,618.809,0.015,545,581.261,0.054,545.882,541.236,0.02,553.243,435.643,0.028,554.368,410.911,0.011,554,399.575,0.012,553.391,389.345,0.011,553,385.548,0.014,553,384,0.036,553,387.059,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1175,MCPP
248,391,0,246.231,438.228,0.013,244.107,467.665,0.022,242.913,496.184,0.016,241.844,524.062,0.016,239.366,556.876,0.013,238.573,589.381,0.024,235.769,635.676,0.02,234,675.549,0.012,233.238,697.719,0.01,233,715.696,0.017,235.088,724.306,0.02,236.149,726.298,0.03,241.958,723.617,0.025,248.5,713.5,0.016,260.069,691.683,0.01,271.44,667.887,0.019,281.894,639.195,0.015,296.058,607.875,0.018,308.376,576.497,0.018,322.682,549.842,0.023,337.401,518.465,0.025,351.891,491.433,0.02,380.117,445.377,0.013,393.374,428.069,0.016,401.858,418.162,0.019,409.79,414.662,0.021,417.426,416.204,0.015,423.949,418.65,0.014,429.29,431.123,0.025,434.834,450.636,0.012,441.856,471.875,0.012,449.645,495.741,0.017,456.606,518.688,0.016,464.314,539.853,0.023,474.892,565.626,0.016,485.613,581.181,0.012,494.384,605.46,0.016,505.497,627.345,0.023,513.774,646.95,0.017,520.474,662.203,0.013,525.566,672.132,0.013,530.118,678.147,0.025,533.599,679.2,0.02,536.479,678.521,0.015,539.104,674.792,0.014,542.513,664.947,0.018,545.867,646.554,0.014,548.484,621.93,0.013,549,590.852,0.015,551.005,556.928,0.017,551,523.225,0.017,553.478,488.586,0.018,553,456.557,0.017,554.48,425.565,0.017,555.5,403,0.021,556.697,396.03,0.017,557.5,388,0.028,554.951,394.025,0.155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1156,MCPP
245,404,0,250.354,443.567,0.012,251,469.967,0.018,250.028,496.346,0.015,248.894,523.543,0.025,247.764,551.888,0.012,248,578.708,0.014,249.472,609.279,0.017,251.18,659.393,0.03,252.665,681.967,0.013,253.807,703.53,0.016,254,718.2,0.014,254,724.311,0.049,257.439,719.415,0.012,267.5,700.5,0.016,277.171,670.195,0.016,288.436,639.528,0.017,301.875,603.999,0.02,316.354,566.073,0.02,334.03,528.686,0.01,347.327,489.575,0.017,366.366,454.268,0.019,375,426.5,0.023,386.535,406.546,0.014,394.47,390.314,0.016,400.343,383.526,0.013,404.96,382.01,0.017,409.451,384.226,0.015,416.54,390.283,0.019,421.836,404.039,0.017,424.44,416.281,0.016,429.983,430.95,0.016,438.416,447.694,0.017,449.313,468.626,0.018,458.578,493.787,0.016,473.24,519.099,0.02,486.092,541.661,0.014,494.95,570.851,0.02,509.332,592.331,0.02,518.921,617.122,0.014,530.512,643.024,0.021,541.229,662.852,0.013,549.513,679.956,0.012,556.258,687.258,0.015,560.742,691.742,0.017,562.606,691,0.017,563.426,688.148,0.017,564.5,686,0.016,563,663.339,0.016,560.642,638.921,0.017,558.191,607.766,0.017,555.987,572.797,0.017,554.85,533.887,0.024,556.266,498.5,0.026,557.336,467.914,0.012,558.98,442.162,0.013,560.621,426.551,0.011,561,417.516,0.014,561,413,0.07,563.13,417.065,0.115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1167,MCPP
254,398,0,254,433.572,0.023,254,463.54,0.006,254,489.943,0.013,254,514.808,0.014,254,538.309,0.017,254,563.247,0.017,254.861,587.941,0.022,253.981,634.819,0.017,254,658.778,0.012,252.769,682.851,0.023,251.608,701.667,0.013,250.544,714.644,0.016,249.398,720.805,0.016,248.5,723.5,0.051,257.402,707.196,0.013,267.458,687.085,0.017,275.35,660.613,0.017,284.593,634.669,0.018,297.28,601.444,0.016,308.034,567.547,0.017,321.245,531.78,0.016,333.216,498.275,0.022,343.389,468.876,0.022,355.472,445.056,0.012,364.569,428.34,0.011,371.491,412.188,0.021,379.703,406.826,0.013,386.924,402.038,0.017,391.315,399.457,0.016,393.755,399,0.016,396.043,401.043,0.021,398.369,404.553,0.019,401.665,407.665,0.013,407.737,413.737,0.016,416.5,425.5,0.019,424.699,442.631,0.025,432.1,462.571,0.017,441.577,485.679,0.012,451.871,509.7,0.009,457.522,534.298,0.016,469.304,557.838,0.02,480.608,578.855,0.015,490.283,604.47,0.022,502.253,625.276,0.025,512.538,645.152,0.02,527.502,676.005,0.017,535.614,687.877,0.016,542.289,695.503,0.016,546.324,701.986,0.019,549.308,705.745,0.016,551,707,0.036,551.844,699.468,0.022,552.896,690.94,0.013,554.04,669.197,0.014,554,646.802,0.021,554,614.928,0.018,554.394,577.615,0.015,557.103,538.596,0.011,560.289,502.019,0.016,563.292,470.368,0.017,566.641,443.756,0.017,568.021,423.644,0.016,569.136,411.505,0.018,569,405.394,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1301,MCPP
