@relation EntrenamientoP15x5
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute edad {1,2,3,4,5}
@attribute mano {DERECHA,IZQUIERDA}
@attribute sexo {M,F}
@attribute usuario {LJLE,APTP,MACCH,AEAP}
@data
189,401,0,206.651,401,0.025,230.048,401,0.039,246.978,401,0.063,264.194,401,0.09,298.814,401,0.104,317.953,401,0.161,391.993,403,0.173,411.785,403,0.19,430.63,403,0.207,448.589,403,0.247,464.549,402.032,0.273,495.952,401,0.296,519.288,399.542,0.308,524.932,399.586,0.344,529.111,400,0.362,533,400,0.452,527,404,0.48,520.974,408.221,0.525,504.672,419.238,0.573,484.926,438.667,0.613,440.144,475.904,0.629,402.755,506.859,0.645,383.403,524.562,0.656,364.352,541.337,0.672,343.987,560.734,0.773,287.885,612.84,0.799,223.434,674.132,0.817,217.955,684.567,0.904,212.24,701.479,0.988,235.482,712.226,1.01,301.043,705.851,1.05,343.418,698.103,1.098,391.248,691.363,1.133,451.214,686.848,1.267,520,685,1.385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1385,2,DERECHA,M,LJLE
198,412,0,240.552,407.791,0.019,257.432,405.596,0.03,274.667,404.622,0.046,295.257,403.456,0.066,311.5,402.5,0.082,333.051,400.313,0.097,368.837,397.443,0.113,395.826,397,0.134,413.586,395.901,0.149,434.027,394.776,0.166,454.691,393.628,0.181,465.942,394,0.197,478,394,0.213,488.147,394,0.231,494.299,394,0.246,496.98,394,0.262,498,394,0.363,495.924,396.152,0.395,496,399.828,0.412,493.802,401.198,0.429,490.197,406.07,0.447,485.098,412.378,0.466,479.5,419,0.485,467.625,430.047,0.496,458.462,439.538,0.513,449.576,450.281,0.53,435.128,463.805,0.546,424.396,475.764,0.564,407.65,491.04,0.58,392.242,506.758,0.598,380,519,0.615,365,534,0.631,347.275,550.725,0.647,331.367,565.731,0.664,311.088,580.659,0.682,300.417,596.216,0.7,281.309,609.518,0.714,270.733,624.043,0.732,263,634,0.754,251.412,647.52,0.766,242.751,658.249,0.781,232.83,669.986,0.799,223.785,681.269,0.814,217.114,689.033,0.835,211.661,695.606,0.848,210.256,699.488,0.867,209,701.044,0.882,209,703,0.934,213.899,704.966,0.958,216.73,705.546,0.973,220.334,706.222,0.99,229.329,705.918,1.005,241.766,703.523,1.023,255.753,701.833,1.032,274.379,698.087,1.05,292.665,695.292,1.066,310.807,692.036,1.084,329.884,690.889,1.127,365.93,688.671,1.145,384.13,688,1.173,416.829,687,1.193,430.377,687,1.212,443.662,687.972,1.233,465.895,689.211,1.255,480.061,691.677,1.273,486.312,691.925,1.299,491.336,693,1.329,495.823,694,1.357,497.536,694,1.483,499.007,695.003,1.516,502.453,693.849,1.54,504.849,694,1.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,1701,2,DERECHA,M,LJLE
162,403,0,209.176,403,0.022,251.402,401.663,0.039,272,399,0.053,296.106,398.376,0.09,318.306,397.247,0.101,389.961,396.998,0.118,406.784,397,0.134,431.075,398.242,0.178,453.246,400.725,0.224,493.794,401.448,0.242,506.904,402.976,0.25,509,403.5,0.285,508.115,405.231,0.335,504.467,406.178,0.355,498.878,411.298,0.372,493.153,416.847,0.4,480.641,433.748,0.418,471.407,442.593,0.435,461.307,451.283,0.453,453,464.5,0.471,437.556,476.746,0.487,424.306,491.065,0.501,407.269,504.128,0.52,393.377,519.727,0.537,376.346,535.477,0.552,362.681,551.829,0.57,345.725,568.275,0.586,328.5,585.5,0.607,310.5,603.5,0.619,292.667,621.944,0.643,274.947,639.053,0.656,258.444,654.519,0.67,245.163,667.837,0.686,230.234,681.476,0.711,219.44,691.165,0.779,189.233,717.767,0.809,188,719,0.852,192.29,718,0.872,204.825,717.38,0.887,216.585,716.242,0.903,232.08,713.384,0.92,250.798,710.036,0.937,274.715,705.483,0.953,291.891,699.784,0.971,320.076,695.422,0.989,342.187,692.545,1.007,364.626,689.837,1.039,408.589,686.151,1.069,428.565,685.024,1.094,446.899,685,1.107,481.436,685,1.127,494.841,685,1.141,505.911,685,1.156,518.102,684.29,1.172,531.91,683.161,1.189,547.488,683.899,1.207,562.726,684,1.26,578.776,684,1.277,603.5,685,1.289,607.714,687.357,1.308,614.664,690.427,1.483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,1483,2,DERECHA,M,LJLE
175,398,0,205.03,396.265,0.018,223.483,396,0.034,240.547,396,0.051,260.388,397.077,0.073,282.003,398.211,0.087,302.23,398,0.103,325.351,398,0.123,379,399.5,0.135,391.906,398,0.152,414.727,398,0.169,432.389,398,0.19,453.152,399.061,0.202,465.301,397.791,0.224,485.534,399.326,0.236,495.996,397.546,0.253,509.457,397.454,0.273,517.355,397,0.286,522.213,397,0.302,525,397,0.369,521.914,399.171,0.386,520.5,402,0.404,513.5,407,0.42,502.062,415.557,0.437,491.145,424.969,0.453,481.814,437.256,0.471,465.797,449.731,0.49,454.129,463.132,0.509,435.748,479.656,0.537,418.951,495.984,0.546,400.736,512.622,0.557,381.28,529.433,0.571,363.661,547.228,0.588,342.721,566.25,0.607,320.201,585.38,0.622,299.02,604.456,0.656,276.876,622.742,0.664,258.425,639.566,0.675,243.135,654.489,0.688,228.48,667.265,0.703,218.873,677.878,0.722,214.007,685.988,0.74,211.753,689.371,0.771,212.49,692.734,0.79,221.341,697.477,0.807,233.394,698,0.831,247.768,697.269,0.844,267.22,696.146,0.876,306.988,692.811,0.924,335,693,0.971,447.651,691.841,0.995,465.423,692,1.043,497.651,695.204,1.072,516.266,697.453,1.098,523.5,698,1.299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1299,2,DERECHA,M,LJLE
199,399,0,238.714,399,0.026,260.937,399,0.039,280.345,397.648,0.053,301.545,397.498,0.069,322.396,397,0.084,344.058,397.753,0.107,385.691,399.747,0.118,405.733,400.982,0.134,428.601,402.13,0.151,446.829,404.45,0.17,461.56,404,0.186,473.5,405.5,0.204,484.018,406.574,0.218,490.762,407,0.237,494.578,407,0.251,496.913,407.957,0.268,498,408.5,0.401,479.565,424.521,0.419,465.463,431.269,0.437,461.352,439.307,0.454,451.406,448.594,0.47,436.121,460.306,0.487,423.341,472.659,0.501,405.216,487.499,0.518,389.713,503.232,0.535,369.116,520.745,0.552,349.693,540.307,0.569,329.349,560.651,0.587,300.588,580.809,0.605,284,601.5,0.619,260.145,621.502,0.638,244.381,639.826,0.663,230.005,654.995,0.687,217.499,675.502,0.703,218,684.3,0.721,219.415,689.076,0.737,225,693,0.753,239.561,696.312,0.783,253.169,697,0.789,272.145,696.103,0.803,291.426,692.925,0.822,312.855,691.85,0.836,336.664,690.73,0.855,358.877,689.606,0.871,388.5,688.5,0.893,420.725,688.367,0.905,451.523,688,0.922,485.215,688,0.94,516.953,688,0.955,541.556,688,0.972,561.479,688,0.989,577.65,689.377,1.123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,1123,2,DERECHA,M,LJLE
187,401,0,224.422,401,0.084,329.026,403.456,0.114,400.316,405,0.142,422.755,405,0.157,444.304,405.963,0.176,462.403,405.083,0.202,480.492,406,0.231,504.505,405,0.254,512.849,405,0.289,517.536,406.268,0.331,514.844,407.078,0.354,512.303,410.273,0.386,498.994,420.336,0.407,490.443,428.35,0.426,481.788,437.212,0.46,455.4,458.275,0.486,420.886,489.706,0.515,397.957,509.511,0.542,357.864,548.136,0.572,314.556,585.36,0.6,297.324,602.395,0.628,260.595,636.791,0.86,245.538,703.853,0.928,321.254,699,0.968,360,699,1.102,538.613,700.945,1.12,542.197,703.132,1.157,538.538,701.846,1.345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1345,2,DERECHA,M,LJLE
197,394,0,238.859,392.008,0.017,260.178,390.885,0.035,278.799,389.777,0.056,298.153,390,0.073,317.831,388.539,0.086,337.836,388,0.101,371.171,387.293,0.117,396.32,387.842,0.135,414.326,388,0.153,429.831,389.059,0.168,443.612,390.218,0.21,454.566,392.467,0.225,469.532,396.133,0.235,477.213,397.702,0.251,482,398.5,0.285,482.805,399.268,0.318,484.212,400.106,0.386,486.267,401.133,0.42,492.13,401,0.437,495.532,401,0.456,497.639,402.319,0.469,499.846,402,0.502,502.803,404.536,0.552,502,406.358,0.571,498.769,409.231,0.587,491.434,415.305,0.605,486.154,420.846,0.621,477.5,432.5,0.638,463,441.5,0.653,449.847,453.628,0.671,432.558,468.636,0.688,418.872,481.117,0.704,399.848,497.899,0.73,383.069,511.145,0.741,366.168,530.221,0.756,349.314,545.686,0.773,333,562,0.789,313.049,580.512,0.811,294.106,597.967,0.829,276.202,613.822,0.849,259.373,629.519,0.866,245.645,644.062,0.881,233.77,657.172,0.899,222.702,666.77,0.913,217.208,675.182,0.928,214.52,681.7,0.94,214,686.413,0.956,215.935,689.903,0.973,218.206,693.309,0.998,225.348,695.427,1.04,248.966,698.451,1.063,279,699,1.159,378.363,693.718,1.184,424.123,691,1.2,446.66,690.334,1.273,523.193,690,1.312,546.644,691,1.34,549.5,691,1.634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1634,2,DERECHA,M,LJLE
200,399,0,233.436,400,0.011,410.594,401.536,0.048,451.04,405.002,0.079,483.972,408.567,0.095,492.342,410.39,0.102,498.575,412.545,0.118,502.924,415.924,0.136,504.75,418.501,0.15,504.105,420.791,0.168,496.955,426.032,0.183,492.431,433.996,0.204,484.179,441.821,0.219,471.117,450.824,0.235,455.5,461.5,0.257,439.634,473.098,0.268,424.928,485.806,0.286,405.612,499.35,0.302,389.139,513.871,0.321,371.121,529.644,0.337,354.322,544.188,0.354,336.214,561.424,0.37,319.724,575.306,0.387,302.964,591.209,0.401,286.435,607.119,0.418,272.877,622.611,0.435,258.296,635.75,0.453,249.405,648.892,0.468,245.115,658.99,0.488,241.939,666.475,0.503,241.524,672.854,0.518,245,679,0.534,251.917,683.107,0.582,277.467,686,0.601,312.519,683.586,0.618,334.121,682.678,0.638,354.816,680.108,0.657,378,678,0.677,399.331,677.311,0.688,419.91,676.204,0.705,438.064,674.125,0.719,456.98,674,0.743,469.258,674,0.763,485.144,674.306,0.773,492.591,675,0.787,499.876,675,0.806,507.051,675,0.939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,939,2,DERECHA,M,LJLE
208,402,0,227.451,404.161,0.019,272.413,408.095,0.035,274.841,405.516,0.052,294.792,404.4,0.071,315.645,404,0.109,339.491,403.159,0.126,389.069,403,0.161,433.416,403.221,0.185,472.779,405.458,0.204,498.398,409.133,0.223,504.332,410.833,0.24,507.831,412.887,0.27,506.928,414.609,0.305,505.008,416.397,0.338,467.583,442.381,0.364,454.07,451.495,0.418,426.43,472.438,0.486,364.033,525.967,0.506,315.453,571.74,0.562,288.02,601.828,0.597,248.5,646.5,0.653,225.748,680.878,0.722,223.743,706.857,0.766,263.133,713,0.826,298.837,711.01,0.85,359.49,706.639,0.887,401.449,703.396,0.981,491.582,698.354,1.173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1173,2,DERECHA,M,LJLE
204,396,0,272.312,391,0.043,310.896,390.347,0.088,392.172,393.723,0.108,429.547,394.972,0.124,448.343,396.079,0.144,459.008,397.201,0.177,470.109,397.316,0.189,482.025,398.432,0.195,488.809,399,0.207,493.797,399.699,0.226,496.64,400,0.243,499.812,400,0.261,505.275,402.11,0.292,507.302,403.151,0.375,500.323,406.677,0.392,495.796,410.153,0.42,490.18,414.656,0.434,482.294,422.274,0.448,473.096,431.27,0.459,460,440,0.48,449.896,449.812,0.502,436.232,462.768,0.518,421.709,475.409,0.532,405.534,489.404,0.547,393.637,503.611,0.559,378.3,518.7,0.581,363.858,533.142,0.596,350.927,549.008,0.609,337.132,565.741,0.626,321.572,583.19,0.648,308.293,598.472,0.683,280.44,628.17,0.704,268.489,641.739,0.72,253.734,655.266,0.731,244.226,665.246,0.76,234.608,675.392,0.771,225.799,683.458,0.78,220.522,689.347,0.803,217.023,693.969,0.816,215.894,696.211,0.842,217.182,698.364,0.861,219.796,700.796,0.88,222,703,0.895,233.786,704.708,0.909,243.79,705,0.927,251.789,705,0.944,267.177,705,0.964,278.881,703.829,0.983,292.35,703,1.005,309.015,701.612,1.025,325.619,699.434,1.038,342.764,697.605,1.071,379.129,695.054,1.087,397.989,693.924,1.104,412.897,693,1.116,429.609,693,1.131,446.77,693,1.146,459.203,693,1.161,472.192,693,1.18,483.072,693,1.197,492.128,693,1.212,501.448,691.944,1.229,508.835,693.119,1.252,512.841,693,1.267,515.791,693,1.279,518,693,1.429,519.107,693,1.595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,1595,2,DERECHA,M,LJLE
