@relation RegistrosP15x5
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute edad {1,2,3,4,5}
@attribute mano {DERECHA,IZQUIERDA}
@attribute sexo {M,F}
@attribute usuario {MACCH,AEAP}
@data
188,405,0,226.568,406,0.017,247.827,406,0.033,267.241,406,0.05,287.369,406,0.067,308.637,406,0.091,328.638,404.687,0.11,361.438,404.564,0.125,393.998,404,0.138,415.49,403.326,0.157,435.522,403.795,0.176,454.584,404,0.183,471.526,404,0.2,487.243,405.16,0.216,496.501,405,0.234,505.193,406.399,0.251,507.044,407.522,0.266,509,408.5,0.315,503.987,410.007,0.333,490.474,416.763,0.35,470.882,440.844,0.366,449.077,455.101,0.384,417.336,481.229,0.401,391.847,504.123,0.417,365.964,527.307,0.434,340.512,547.405,0.45,313.728,565.515,0.467,294.502,582.322,0.484,270.569,599.165,0.5,251.127,619.873,0.518,235.202,640.158,0.535,215.995,662.72,0.551,198.879,681.816,0.567,186.683,695.13,0.584,176.603,706.33,0.601,169.666,712.278,0.618,166.48,714.347,0.668,169.357,715.179,0.685,177.626,718.644,0.701,187.005,721.557,0.718,202.53,722,0.735,216.224,719.963,0.752,238.83,718.859,0.768,258.626,715.229,0.785,285.757,710.477,0.806,310.986,703.503,0.825,334.399,697.9,0.835,361.957,693.783,0.852,392.296,691.274,0.869,417.694,688.042,0.886,443.453,686.893,0.903,464.217,685.778,0.921,489.626,683.307,0.937,506.967,681.063,0.954,527.415,678.823,0.97,544.594,676.587,1.062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,1062,2,DERECHA,M,MACCH
208,405,0,225.598,405,0.017,248.847,405.615,0.033,265.283,406.735,0.05,282.687,407,0.066,301.589,407,0.083,320.675,407,0.1,340.856,405.786,0.117,383.846,404.662,0.135,402.608,403.542,0.152,416.859,398.68,0.167,434.505,395.599,0.184,450.514,391.71,0.2,462.412,389.118,0.217,477.895,386.872,0.234,487.634,384.637,0.251,495.121,383.697,0.269,501.554,382.574,0.284,506.5,383,0.349,502.866,385.268,0.367,499.779,387.147,0.384,497.469,388.266,0.402,485.474,403.309,0.419,475.5,417,0.437,458.431,433.461,0.451,442.753,447.998,0.468,427.647,464.1,0.485,411.117,477.906,0.502,394.242,496.992,0.518,376.28,511.022,0.536,361.014,531.055,0.553,343.892,545.634,0.57,325.267,565.541,0.586,308.672,584.916,0.602,292.439,602.561,0.619,276.569,621.31,0.636,261.989,636.011,0.652,246.217,654.18,0.669,235.84,668.108,0.69,218.826,687.055,0.712,212.083,696.036,0.725,202.881,707.479,0.736,195.19,715.81,0.753,191.232,718.846,0.828,192.825,722,0.841,197.122,723.561,0.854,203,726.5,0.87,214.105,727.763,0.887,226.652,728.888,0.904,243.097,726.987,0.932,259.293,725.618,0.943,278.74,722.252,0.959,297.395,718.521,0.972,319.802,714.039,0.989,340.366,709.561,1.004,361.609,705.078,1.021,383.209,701.441,1.038,401.549,698.085,1.055,421.7,696.906,1.071,436.976,694.575,1.088,458.093,690.984,1.106,470.921,687.634,1.123,492.108,685.263,1.139,507.776,682.603,1.155,519.384,679.539,1.172,527.574,678.061,1.189,539.655,678,1.205,543.702,678,1.222,549.511,683.209,1.315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,1315,2,DERECHA,M,MACCH
194,379,0,211.171,381.146,0.019,231.739,383.562,0.036,245.839,384.68,0.052,261.251,385,0.069,276.867,385,0.086,293.651,383.957,0.102,312.787,381.672,0.119,349.804,378.148,0.137,370.51,376.189,0.154,390.5,372.5,0.17,412.864,366.784,0.186,433.035,362.7,0.203,453.87,360.224,0.22,473.145,357.983,0.236,491.067,358,0.253,507.663,358,0.269,521.8,356.631,0.288,530.421,355.509,0.304,542.268,355,0.32,548.662,355,0.337,552.554,355,0.354,554.5,355,0.419,550.819,357.181,0.438,543.241,367.486,0.454,528.534,379.977,0.47,514.2,392.8,0.487,496.069,409.057,0.504,481.223,423.777,0.521,459.627,441.841,0.537,440.964,454.555,0.556,419.011,475.148,0.572,397,487.5,0.589,375.192,508.205,0.604,353.969,527.031,0.621,332.034,546.271,0.638,307.542,565.354,0.655,286.312,584.405,0.671,264.931,601.002,0.688,242.319,619.144,0.706,227.5,635.5,0.723,209.894,652.354,0.738,194.574,666.192,0.755,185.818,678.5,0.772,181.056,685.916,0.789,176.573,689.32,0.805,174.541,693.918,0.825,172.322,697.017,0.846,173,698.941,0.872,177.139,700.713,0.889,179.663,702.663,0.906,183.805,705.854,0.922,188.279,710.279,0.939,196.348,712.385,0.955,208.079,714.616,0.974,219.348,716.87,0.99,233.301,717,1.007,247.42,717.675,1.022,264.51,718,1.039,278.998,718.917,1.057,296.629,719,1.073,311.047,719,1.089,330.637,719,1.108,342.74,719,1.125,363.5,719,1.141,379.853,721.277,1.156,395.894,722.761,1.174,411.294,723,1.19,428.006,722,1.207,442.514,722,1.223,457.182,720.755,1.24,466.23,721,1.258,480.832,721,1.275,486.018,720.396,1.29,490.899,720,1.307,493.686,720,1.324,495,720,1.39,491.821,718.91,1.519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,1519,2,DERECHA,M,MACCH
215,403,0,263.975,405.738,0.018,287.191,406,0.034,308.58,406,0.051,327.71,406,0.068,347.937,406,0.084,366.766,407.339,0.102,385.879,407,0.119,421.491,407.417,0.135,441.606,405.599,0.152,457.692,403.355,0.168,475.09,401.114,0.185,487.724,398.868,0.202,500.024,396.632,0.218,511.045,395.696,0.237,515.129,397.426,0.253,517.5,400,0.269,516.339,406.305,0.285,512.076,414.278,0.303,501.937,426.876,0.319,489.704,440.323,0.337,478.527,451.473,0.353,459.75,466.453,0.371,444.555,478.278,0.388,422.863,493.629,0.404,402.406,507.927,0.42,379.993,524.756,0.436,360.179,541.205,0.453,337.207,560.823,0.47,311.405,575.467,0.486,296.767,597.388,0.503,275.626,605.187,0.521,267.282,622.606,0.538,257.641,632.954,0.554,249.712,646.29,0.57,245.495,656.68,0.587,244.045,662.777,0.604,242.926,667.295,0.62,243,674.168,0.637,241.683,676.952,0.67,242,678.536,0.709,239.464,680.536,0.737,234.917,683.041,0.77,233.86,685.28,0.804,237.782,688.782,0.822,240.928,691.285,0.837,243.529,692.765,0.854,245,693.5,0.871,246.007,695.006,0.92,240.387,698.368,0.939,224.686,706.898,0.956,210.717,717.248,0.971,195.097,722.908,0.988,185.057,730.792,1.005,176.258,735.871,1.022,171.647,739.264,1.089,176.536,737.866,1.106,187.84,730.852,1.122,198.953,724.931,1.139,213.129,720.268,1.156,223.5,714.722,1.172,242.873,707.986,1.189,258.173,702.51,1.208,280.879,696.927,1.224,294,691.5,1.24,319.793,691.343,1.257,337.89,691,1.273,360.678,692.789,1.29,381.301,696.05,1.306,402.61,700.549,1.323,423.941,707.56,1.339,445.234,712.904,1.358,463.5,715.5,1.374,481.9,714,1.39,500.591,713.259,1.407,517.058,711.277,1.423,532.804,707.056,1.44,548.337,703.713,1.457,564.145,700.326,1.473,571.745,705.03,1.565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,1565,2,DERECHA,M,MACCH
200,381,0,231.797,386.559,0.017,247.633,389.921,0.035,263.351,393.289,0.052,279.04,396.651,0.068,296.056,400.011,0.085,314.335,401.917,0.102,345.039,403.16,0.118,374.995,403.3,0.135,397.415,402.179,0.151,420.763,401.059,0.168,444.293,399.938,0.185,463.1,396.453,0.202,489.954,394.395,0.219,508.574,393.579,0.236,528,391,0.253,544.272,390.675,0.269,559.976,389.216,0.286,572.946,388.096,0.302,580.149,388,0.319,583.437,388,0.336,585.527,388,0.385,582.643,390.357,0.402,567.585,402.179,0.42,544.784,419.879,0.45,515.376,439.749,0.46,481.873,467.606,0.47,449.466,488.281,0.487,411.788,516.154,0.504,370.133,546.181,0.52,335.609,572.928,0.537,302.869,596.879,0.554,272.619,622.066,0.57,246.167,645.934,0.587,223.605,666.255,0.604,208.366,686.387,0.62,193.989,697.394,0.639,187.991,704.009,0.655,188,708.646,0.672,189.34,711.34,0.687,191.58,712.79,0.704,198.347,714.813,0.721,208.28,717.062,0.738,217.195,719.299,0.754,232.507,720.27,0.773,252.646,720,0.789,273.697,718.488,0.806,295.208,717.371,0.821,318.079,716.246,0.838,338.761,716.876,0.855,363.821,717.992,0.872,387.413,716.885,0.895,408.66,715.301,0.905,431.068,711.94,0.923,453.496,707.101,0.939,468.541,704.211,0.955,484.329,701.565,0.972,498.049,699.325,0.989,512.447,697.085,1.006,520.545,694.844,1.022,529.57,693.804,1.039,535.932,691.356,1.057,538.317,692,1.149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,1149,2,DERECHA,M,MACCH
199,405,0,230.987,398.07,0.017,249.474,394.446,0.035,267.548,391.085,0.051,287.623,387.729,0.068,309.048,384.361,0.085,327.626,382.338,0.102,352.478,380.097,0.12,394.277,375.858,0.136,416.523,374.308,0.152,436.814,374,0.169,454.926,374,0.185,467.587,375.053,0.202,482.234,378.515,0.219,489.064,379.295,0.237,492.651,381.825,0.253,495.5,384,0.27,495,386.3,0.285,495,388,0.318,489.95,393.067,0.336,480.938,407.726,0.352,463.161,419.815,0.369,446.351,440.402,0.387,417.585,456.445,0.404,394.54,479.401,0.431,369.072,500.72,0.442,342.469,524.82,0.455,311.619,545.602,0.472,286.98,570.02,0.491,260.995,593.57,0.504,239.245,613.079,0.522,216.791,636.209,0.539,201.135,651.704,0.554,188.381,665.727,0.571,181.075,678.849,0.587,177.177,686.647,0.604,175.94,690.179,0.621,178.365,693.547,0.638,181.909,698.212,0.656,189.537,704.114,0.672,203.621,710.177,0.689,217.948,712.662,0.704,239.239,712.216,0.721,263.938,709.281,0.738,286.455,706.955,0.755,313.493,701.272,0.771,340.328,696.945,0.79,365.85,695.23,0.806,388.11,693.989,0.823,409.872,693,0.838,428.202,693,0.855,445.879,693,0.872,456.911,692.01,0.94,485.419,689,0.957,488.777,689.592,0.972,494.285,690,1.063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,1063,2,DERECHA,M,MACCH
189,392,0,209.695,395.104,0.017,232.022,397.878,0.033,244.5,400,0.05,260.511,400.679,0.067,276.154,401.797,0.083,291.886,403.841,0.1,308.556,406.074,0.117,342.725,409.472,0.133,363.621,409,0.15,383.207,407.6,0.168,406,406.5,0.184,425.528,402.079,0.2,447.231,397.192,0.217,463.462,393.355,0.234,484.046,389.993,0.25,498.57,387.758,0.267,515.656,386.756,0.284,522.848,384.288,0.302,528.904,385,0.322,532.795,387,0.334,535.5,387,0.4,531.917,389.083,0.433,525.881,392.672,0.452,506.109,411.636,0.468,490.384,424.242,0.485,471.446,440.128,0.501,454.068,455.074,0.518,431.97,471.773,0.534,415.489,483.841,0.552,390.95,502.61,0.663,276.767,619.25,0.671,261.08,636.057,0.685,244.245,659.007,0.702,228.796,674.576,0.72,214.562,692.924,0.737,207.48,703.587,0.752,198.112,715.624,0.769,193.434,722.277,0.786,191.048,727.879,0.803,192.096,731.289,0.835,199.012,735.675,0.854,208.209,739.375,0.87,220.37,739,0.886,237.633,737.596,0.903,254.467,735.362,0.92,274.841,731.244,0.937,296.172,725.692,0.967,318.64,718.908,0.98,342.291,713.502,1.01,365.836,709.159,1.029,410.519,705.341,1.041,430.279,703.438,1.054,452.044,700.293,1.07,467.324,697.95,1.087,486.475,696.854,1.104,497.894,697,1.122,510.264,699.775,1.139,518,700.5,1.155,522.128,699,1.171,526.245,698.252,1.188,530.478,700.609,1.205,534.961,705.951,1.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,1296,2,DERECHA,M,MACCH
188,406,0,219.65,405,0.018,234.685,405,0.035,250.288,405,0.052,264.764,405,0.068,279.302,405,0.086,295.361,405,0.103,318.615,404.427,0.118,337.956,404,0.135,353.17,403.189,0.151,367.217,403,0.169,380.641,401.947,0.186,395.26,403.174,0.201,404.654,401.705,0.219,418.976,402,0.238,433.5,403.5,0.253,446.538,403.657,0.269,457.207,404,0.285,468.859,404,0.302,483.19,405.015,0.319,490.994,405,0.336,498.799,405,0.356,506.646,405,0.38,507.995,405.497,0.388,510,406.5,0.435,506.643,407.179,0.452,504.904,408.048,0.469,496.463,410.439,0.485,485.942,420.719,0.504,474.404,436.975,0.522,455.881,451.119,0.537,437.394,467.505,0.553,419.719,483.462,0.57,398.178,501.057,0.586,378.988,515.774,0.604,361.082,533.918,0.62,340.594,547.904,0.639,326.027,565.399,0.655,307.035,577.592,0.672,290.103,592.592,0.7,275.373,607.196,0.713,261.287,621.713,0.732,247.752,633.397,0.753,236.134,650.579,0.77,213.905,672.482,0.789,206.5,685.5,0.805,200.251,688.499,0.822,195.766,692.979,0.838,193.265,695.735,0.854,192,697,0.886,194.076,698.151,0.92,197.702,699.234,0.954,203.128,702.419,0.971,208.147,703.829,0.988,213.746,706.848,1.005,220.419,708.07,1.022,230.693,709.188,1.038,243.482,709,1.056,251.441,710.43,1.073,266,708.5,1.09,278.058,708,1.106,289.714,707.208,1.122,302.974,707,1.139,313.297,707,1.156,327.933,705.851,1.172,338.782,704.722,1.19,352.721,702.213,1.206,370.5,700,1.223,385.774,696.099,1.239,401.808,693.491,1.256,419.89,690.372,1.273,436.945,688.007,1.289,457.059,686.886,1.306,475.962,685.767,1.322,495.15,687.362,1.341,517.024,685.525,1.358,530.365,684.403,1.38,542.463,683.282,1.391,550.035,683,1.407,552.915,682.042,1.423,554,681.5,1.472,553,679.78,1.49,551.5,677,1.616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1616,2,DERECHA,M,MACCH
194,396,0,231.728,409.92,0.018,250.775,413.313,0.035,268.566,415.446,0.052,287.835,416.343,0.07,305.481,417.468,0.087,326.549,417.586,0.102,358,417.294,0.119,386.191,416.173,0.135,404.207,413.159,0.153,426.355,409.797,0.169,444.016,407.623,0.185,460.597,406.694,0.204,477.447,402.711,0.221,491.592,401.451,0.237,507.067,398.987,0.253,517.554,396.413,0.269,523.564,395.087,0.286,531.217,395,0.303,534.454,395,0.402,531.821,397.179,0.437,509.643,415.233,0.455,492.458,425.125,0.47,478.316,442.044,0.489,453.502,457.649,0.505,434.186,475.209,0.521,414.026,490.812,0.537,393.797,507.669,0.554,369.801,528.308,0.571,348.403,548.513,0.587,325.902,573.507,0.604,300.854,599.471,0.622,282.021,617.979,0.639,263.917,634.38,0.655,248.767,648.919,0.671,236.092,659.478,0.688,224.71,667.503,0.705,217.691,674.309,0.721,214.498,681.004,0.738,212.417,683.874,0.754,211.587,685.827,0.787,213.267,687.535,0.821,216.781,689.781,0.838,221.051,692.025,0.855,230.064,696.532,0.871,241.565,698.513,0.888,250.03,700.757,0.906,264.919,702.987,0.924,279.162,703,0.938,295.512,703.736,0.956,309.452,705.719,0.972,326.679,707.96,0.989,340.204,708,1.005,360.893,708,1.022,374.49,708,1.041,393.338,706.541,1.057,403.424,705.416,1.073,417.15,704.296,1.089,426.786,703.173,1.106,435.577,702.053,1.123,446.655,702,1.14,454.288,700.816,1.156,459.562,699.688,1.175,465.13,698.574,1.191,469,699,1.208,474.676,699.669,1.223,479.161,699.21,1.24,481.821,699,1.257,484.066,699,1.289,488.549,695.589,1.307,493.566,694.609,1.325,499.5,693.5,1.342,506.818,693,1.432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,1432,2,DERECHA,M,MACCH
204,396,0,228.513,400.419,0.016,241.081,401.826,0.033,254.413,402.951,0.05,267.837,403,0.067,282.472,403,0.083,296.976,404.306,0.101,311.625,404,0.118,346.5,407,0.133,356.117,405.673,0.153,371.506,405.208,0.168,390.36,405,0.184,404.348,403.971,0.2,423.619,404,0.217,438.842,402.726,0.233,457.229,400.221,0.251,469,398,0.268,485.325,395.368,0.284,496.54,394.246,0.301,506.88,393.124,0.318,512.981,393,0.334,516.344,391.885,0.366,518.358,392,0.45,516.893,394.214,0.471,515.96,396.08,0.486,510.022,405.564,0.505,496.509,414.539,0.52,485.629,427.808,0.536,475,445.5,0.552,455.807,458.241,0.568,437.586,471.008,0.586,422.951,483.128,0.602,404.334,498.548,0.619,389.895,511.943,0.635,372.801,527.919,0.654,360.127,540.873,0.67,342.5,558.5,0.687,327.449,572.914,0.703,311.35,589.411,0.719,296.507,602.724,0.736,280.938,616.054,0.753,269.752,628.373,0.769,254.838,641.919,0.786,242.939,660.907,0.804,233.626,674.318,0.821,223.138,686.862,0.836,216.366,694.361,0.853,211.611,701.931,0.87,206.182,709.746,0.887,202.735,714.354,0.936,203,716.3,0.987,210.249,717.625,1.004,214.731,719.866,1.021,222.36,721.051,1.038,233.694,723.339,1.054,246.169,724.288,1.072,257.114,724,1.089,275.5,725.5,1.105,288.761,726.651,1.121,304.814,725.455,1.138,322.279,725,1.154,338.235,723.983,1.171,354.987,724,1.198,370.592,721.487,1.23,388.631,720.249,1.247,419.599,716.386,1.257,433.09,715.265,1.272,448.005,714.143,1.289,458.801,714,1.305,471.057,712.904,1.322,484.635,711.78,1.339,492.713,712,1.357,504.575,710.542,1.374,511.48,710.42,1.39,516.104,710,1.406,518.642,709.179,1.423,520,708.5,1.455,519,706.878,1.488,516.574,707,1.585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,1585,2,DERECHA,M,MACCH
