@relation RegistrosP1JAGR
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
176,407,0,196.383,400.885,0.015,217.39,397.225,0.021,233.887,395.215,0.018,251.878,394.508,0.016,271.153,394,0.015,292.459,394.689,0.017,315.697,395,0.017,356.461,395.962,0.014,384.081,396,0.016,405.686,394.753,0.023,427.934,396.347,0.015,451.812,396,0.013,464.5,397.5,0.02,481.85,397.681,0.014,492.393,398.799,0.016,499.629,399,0.02,502.146,400.073,0.013,500.837,403.488,0.018,498.337,405.663,0.02,491.713,409.372,0.013,485,415.5,0.017,469.709,429.955,0.021,449.864,445.595,0.013,429.019,467.645,0.016,402.885,490.97,0.016,381.716,512.284,0.022,360.641,534.642,0.017,339.04,554.346,0.013,314.394,573.595,0.015,291.029,592.161,0.019,269.318,609.402,0.019,251.202,625.073,0.013,233.46,641.504,0.021,218.04,655.82,0.02,204.779,667.53,0.014,191.445,679.284,0.013,183.618,689.348,0.017,177.569,691.823,0.015,174,694.5,0.035,173.466,693,0.023,176.061,691.97,0.02,181.536,692,0.012,196.194,691.677,0.012,211.032,690.536,0.015,228.445,692.58,0.018,249.319,693.701,0.018,272.089,694.814,0.019,294.472,693.153,0.012,323.406,690.892,0.016,347.009,688.618,0.022,373.157,686.378,0.018,398.754,686.398,0.012,423,687.5,0.02,444.353,686.353,0.025,463.747,686,0.021,478.569,685.119,0.018,497.81,683.116,0.015,499.583,679.126,0.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1098,JAGR
196,398,0,237.475,394.826,0.016,257.472,393.807,0.014,276.754,391.323,0.023,297.912,390.505,0.014,319.633,388.418,0.014,341.742,388,0.02,381.315,387.207,0.015,409.48,386.072,0.015,430.187,387.066,0.016,449.015,384.645,0.023,464.129,386.295,0.014,480.141,386,0.018,489,389,0.017,492.538,390.635,0.015,496,391.5,0.03,491.929,394.035,0.023,488.611,397.389,0.017,482.592,404.69,0.017,473.015,409.865,0.016,457.562,420.448,0.012,438.666,435.25,0.02,417.577,452.931,0.016,396.532,470.001,0.017,374.36,486.73,0.014,358.103,502.897,0.023,338.683,516.047,0.013,321.597,533.065,0.016,300,546,0.02,281.307,565.129,0.014,264.144,580.56,0.015,249.044,595.956,0.016,234.346,610.654,0.025,222.147,626.086,0.021,211.128,638.059,0.021,200.509,650.736,0.02,188.291,670.988,0.021,185.64,678.758,0.013,183.382,685.045,0.014,183,690.747,0.015,183,694.204,0.018,184.191,697.572,0.019,186.632,698.316,0.016,187.429,700.859,0.016,195.976,703.106,0.016,204.5,705,0.024,214.652,710.061,0.024,227.523,713.631,0.013,241.299,715,0.012,259.354,714.585,0.01,278.562,711.195,0.018,296.222,712,0.017,317,707.5,0.016,336.5,704.5,0.016,361.706,701.794,0.021,385.616,696.769,0.021,408.196,693.121,0.011,427.864,690.781,0.015,449.669,688.509,0.016,464.034,684.921,0.02,481.351,684.51,0.023,494.375,684.58,0.018,503.141,684.31,0.011,508,683.5,0.027,502.946,678.866,0.116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1217,JAGR
202,402,0,245.374,404.969,0.016,267.079,405,0.014,285.642,405,0.017,310.458,403.645,0.021,332.359,401.064,0.017,358.841,399.423,0.014,397.479,397.675,0.015,427.9,397,0.017,447.105,397.947,0.02,469.608,401.241,0.016,482.173,406.906,0.014,495.712,408.619,0.023,505.114,410.914,0.013,506.607,413.536,0.015,508,415.315,0.02,508,417,0.029,503.893,420.071,0.019,497.054,425.789,0.017,487.897,432.577,0.015,470.154,446.593,0.018,450.5,460,0.019,429.441,477.074,0.016,409.044,494.487,0.014,389.857,512.259,0.016,372.254,530.73,0.019,352.701,549.164,0.017,334.438,569.981,0.018,312.529,587.449,0.015,293.929,605.596,0.016,269,623.5,0.016,252.315,638.972,0.016,236.361,653.807,0.017,221.504,665.612,0.02,208.914,678.086,0.022,195.152,688.478,0.013,183.922,697.462,0.014,179.717,708.109,0.016,174.825,713.937,0.018,173.321,717.358,0.015,172.5,719,0.064,176.115,716.962,0.019,179.709,717,0.03,210.5,714.5,0.01,230.491,710.028,0.011,254.464,708.206,0.017,275.339,705.42,0.017,298.603,701.91,0.017,327.96,696.238,0.023,354.991,693.126,0.017,383.394,693.365,0.012,407.987,694,0.015,432.869,694.62,0.019,453.802,696.475,0.019,473.217,697,0.014,489.83,699.964,0.02,503.281,698.893,0.012,510.606,697.771,0.016,518.517,699.36,0.017,520.467,697.511,0.132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1168,JAGR
183,403,0,206.69,400.94,0.019,232.948,399.503,0.013,250.787,399,0.016,269.927,398.298,0.02,289.536,397.192,0.014,311.213,397,0.019,333.602,397,0.017,377.156,397,0.018,400.144,397,0.014,420.49,395.553,0.016,436,396,0.021,452.353,396.643,0.014,469.267,398.533,0.015,483.598,401.65,0.016,492.251,403.036,0.02,499.025,406.512,0.035,495.633,406,0.015,491.5,407.5,0.014,489.126,411.498,0.019,484.355,416.645,0.014,475.253,424.886,0.017,461.129,437.881,0.017,439.851,452.47,0.021,419.027,475.249,0.017,393.403,493.643,0.016,374.728,511.272,0.016,352.702,530.955,0.014,326.632,550.302,0.019,303.672,569.695,0.019,279.095,591.055,0.012,257.251,607.289,0.016,240.8,626.627,0.018,225.067,639.228,0.02,211.531,654.889,0.022,200.991,662.896,0.009,191.492,671.508,0.014,186.571,679.668,0.018,183.171,684.772,0.019,180.931,687.069,0.099,189.958,690.234,0.021,199.084,692.771,0.012,207.922,693.99,0.016,218.314,697.438,0.016,233.738,695.712,0.022,248.375,696,0.016,267.256,695,0.016,286.414,693.732,0.015,308.897,693,0.016,330.714,693.88,0.017,356.814,693.008,0.016,386.167,693,0.017,414.082,694.243,0.02,442.365,695.375,0.019,462.577,696,0.012,484.044,697.182,0.016,501.664,700.133,0.018,515.807,703.452,0.015,523.751,706.875,0.018,528.337,708.084,0.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1178,JAGR
167,419,0,211.653,416.363,0.029,234.828,415.259,0.013,257.083,415,0.013,277.449,413.975,0.01,299.484,414,0.022,319.431,412.698,0.017,348.04,410.374,0.015,378.558,406.49,0.017,395.522,401.956,0.014,410.511,397.805,0.015,425.403,397,0.021,439.795,397,0.025,448.782,395.902,0.009,461.806,397.255,0.014,468.652,399.758,0.014,475,400.5,0.02,475,404.5,0.049,468.171,406.943,0.015,462.584,410.25,0.018,453.417,418.385,0.021,438.846,429.115,0.013,424.394,446.037,0.016,407.912,460.901,0.02,389.683,474.989,0.013,370.53,492.47,0.017,349.858,508.38,0.02,332.226,524.726,0.014,309.992,540.106,0.016,296.008,558.914,0.018,274.258,574.021,0.021,259.659,592.174,0.017,244.04,607.6,0.012,228.113,622.332,0.015,215.972,631.319,0.018,207.812,640.214,0.025,200.151,650.092,0.012,196.025,656.462,0.014,194.173,660.655,0.016,192,666.5,0.021,192.611,667.221,0.013,193,669.486,0.015,193,672.563,0.016,193,674.96,0.018,197.477,678.358,0.022,199.461,684.152,0.019,202.989,689.977,0.012,208.227,697.688,0.013,215.033,705.639,0.019,221.339,711.616,0.023,227.94,715.47,0.019,231.806,716.935,0.013,236.301,715.925,0.009,245.557,713.611,0.017,253.336,709.999,0.019,269.806,705.213,0.017,282,702.5,0.016,297.671,697.333,0.016,316.392,694.601,0.017,334.383,694,0.017,360.206,694,0.016,387.239,696.353,0.023,411.855,701.27,0.013,432.447,702.414,0.016,453.214,699.973,0.016,472.233,697.128,0.016,489.469,696,0.016,503.805,695.1,0.021,509.018,695,0.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,1264,JAGR
183,421,0,206.31,412.523,0.017,233.605,405.643,0.014,253.383,401.815,0.016,272.709,399.27,0.02,293.586,397.044,0.014,315.986,394.801,0.022,338.841,393.758,0.015,389.998,394,0.014,405.588,395.457,0.021,423.071,397.592,0.017,440.349,398.647,0.014,456.337,400.59,0.017,473.882,401,0.016,485.787,404.215,0.014,494.478,406.37,0.017,500.907,408.636,0.02,501.928,409.464,0.066,494.401,410.9,0.017,489.849,414.113,0.014,482.929,417.536,0.02,471.003,423.499,0.016,457.325,435.896,0.015,439.5,448.5,0.021,419.854,466.756,0.013,400.824,484.712,0.016,381.878,504.005,0.016,364.903,524.116,0.02,344.267,542.429,0.018,326.385,564.253,0.021,304.486,582.203,0.02,285.565,601.029,0.011,267.783,617.803,0.012,251.974,631.161,0.015,236.997,643.31,0.02,222.42,655.645,0.015,208.164,664.515,0.016,195.408,675.121,0.017,184.485,681.109,0.018,182.17,687.745,0.02,179.871,688.565,0.019,177.647,690.353,0.02,175.418,691.791,0.011,174,692.5,0.028,177.127,692,0.023,179.674,693.337,0.016,183.037,696.63,0.014,189.931,700.685,0.015,200.931,703.322,0.017,213.498,706.318,0.017,227.901,707.915,0.017,243.32,710.046,0.015,261.526,713.474,0.023,281.127,710.397,0.019,300.41,709.259,0.013,323.53,707.499,0.017,346.892,705.158,0.017,372.612,703.266,0.013,397.268,700.39,0.019,420.42,697.083,0.019,446.129,694.815,0.013,466.892,693.728,0.017,486.802,691.244,0.017,503.973,692,0.018,512.832,693.208,0.022,520.229,694,0.013,525,694,0.124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,1281,JAGR
197,418,0,225.499,415.889,0.017,256.501,414.425,0.014,276.691,413.312,0.016,298.814,413,0.02,319.006,412.055,0.016,343.151,410.898,0.014,367.667,408.576,0.021,418.208,406.307,0.018,429.942,402.676,0.015,450.618,403.912,0.014,468.133,404.31,0.016,483.645,405,0.02,493.274,406.818,0.013,500.278,410.139,0.018,502.347,411.174,0.035,500.804,413.392,0.019,495.452,418.038,0.023,490.5,422,0.024,479.517,432.735,0.009,465.693,441.088,0.01,448.838,452.108,0.016,428.517,467.931,0.018,408.262,482.422,0.018,385.18,503.385,0.013,364.228,522.804,0.015,345.477,540.666,0.017,324.47,559,0.02,307.289,577.406,0.014,288.273,597.711,0.022,271.294,616.934,0.018,257.737,630.674,0.011,245.337,645.329,0.016,237.237,657.174,0.016,230.366,660.423,0.021,224.526,664.779,0.013,220.509,667.66,0.019,218.146,668.927,0.02,217,669.5,0.047,216.889,671.222,0.017,217,674.079,0.014,217,677.671,0.019,217,681.21,0.018,216.109,684.674,0.013,215.5,686.5,0.017,214.923,687.154,0.068,213.866,689.267,0.068,216.041,687.98,0.022,228.613,688,0.018,243.568,687.652,0.012,262.614,686.521,0.017,283.248,686.592,0.013,306.861,687,0.02,330.699,687.885,0.018,358.697,688.952,0.012,389.541,689,0.016,416.516,689,0.022,444.546,687.658,0.019,464.886,682.851,0.011,492.13,678.304,0.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1218,JAGR
202,423,0,239.451,415.829,0.016,256.197,413.574,0.016,274.891,412.632,0.022,291.336,411.511,0.012,310.412,411.412,0.018,329.527,411,0.018,362.763,410.229,0.013,387.799,410,0.019,406.943,408.945,0.017,422.23,407.841,0.021,443.577,408,0.015,453.978,408,0.015,465.5,408,0.014,478,409.5,0.019,487.011,410,0.015,496.112,410.889,0.016,501.076,412.019,0.021,503.318,414.318,0.012,504.262,416.524,0.037,501.476,418.524,0.017,497.603,420.198,0.017,493.074,423.926,0.016,487.693,429.307,0.018,477.997,437.002,0.018,466.967,443.62,0.013,454.447,451.624,0.019,437.605,463.854,0.018,422.627,477.463,0.015,408.303,493.118,0.014,392.802,508.198,0.02,376.846,524.154,0.016,361.804,538.258,0.014,343.347,552.239,0.017,326.756,566.811,0.018,307.176,580.111,0.021,294.642,594.542,0.018,280.383,606.617,0.011,266.103,619.528,0.015,253.027,629.526,0.017,241.495,638.604,0.02,231.729,649.301,0.014,221.637,654.757,0.017,216.492,659.206,0.017,212.361,662.229,0.017,209.901,665.099,0.016,208.345,667.31,0.016,207.5,669,0.036,205.47,670.53,0.049,208.185,672.185,0.032,209.271,674.541,0.052,210.177,676.355,0.017,210,678.091,0.016,210,680.491,0.022,207.185,684.222,0.016,206.565,685.871,0.079,203.68,687.213,0.032,202.901,689.199,0.069,207.268,688.756,0.019,216.066,689,0.015,230.19,689,0.015,245.289,689,0.017,263.76,690.297,0.02,283.966,690,0.015,306.796,689.464,0.019,328,688.5,0.015,353.688,688,0.014,381.125,688,0.025,405.783,688,0.016,426.933,688,0.01,451.324,688,0.017,469.424,689.378,0.021,485.386,691.477,0.019,498.873,694.175,0.011,507.345,696.448,0.018,512.531,699.648,0.019,510.144,700.952,0.116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,1626,JAGR
198,413,0,230.419,409.863,0.018,265,405.5,0.016,284.833,403.817,0.014,307.604,401.54,0.019,331.565,399.232,0.018,356.685,397.027,0.014,382.054,395.861,0.016,426.574,393.496,0.021,445.684,395.366,0.016,454.174,393.53,0.014,470.155,395.192,0.019,481.181,397.374,0.015,487.46,400.595,0.016,489.89,402.89,0.02,490,405.146,0.012,487.646,408.531,0.017,483.984,412.016,0.024,474.878,418.23,0.014,457,434,0.015,435.747,453.319,0.015,414.815,472.397,0.017,394.26,493.67,0.024,373.423,513.547,0.019,353.354,536.94,0.02,332.2,559.009,0.021,308.688,581.081,0.008,287.376,602.104,0.011,268.461,619.539,0.013,253.079,634.157,0.022,242.013,646.762,0.019,229.187,658.828,0.011,217.627,668.098,0.016,210.126,675.874,0.019,199.551,679.533,0.018,198.502,685.497,0.065,202.265,684.132,0.02,207.187,687.112,0.012,218.173,691.966,0.017,233.515,695.042,0.02,249.601,701.358,0.022,265.417,707.806,0.024,282.198,713.399,0.018,322.329,717.841,0.015,343.469,719.082,0.018,366.015,719,0.019,390.684,719,0.015,412.613,716.139,0.021,429.211,710.776,0.013,445.276,704.693,0.015,456.943,699.823,0.019,468.225,695.31,0.015,476.321,693.954,0.016,481.808,691.677,0.022,486.121,690.72,0.019,489.095,689.635,0.029,489.27,687.459,0.049,486.644,686.822,0.051,489.183,687,0.05,491.354,685.823,0.139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1294,JAGR
172,397,0,202.831,399.311,0.015,219.818,402.364,0.014,237.767,404.846,0.017,256.182,407.148,0.021,274.845,408.167,0.015,294.103,409.3,0.015,314.936,410.441,0.021,356.16,413,0.015,380.528,412.368,0.013,405.101,411.233,0.017,426.225,408.296,0.02,445.842,406.95,0.015,459.847,402.432,0.015,475.98,400.431,0.022,487.418,398.573,0.013,496.02,398,0.016,501.875,398,0.019,504.5,398,0.032,499.011,406.985,0.017,492.361,412.533,0.014,485.729,419.271,0.018,470.477,430.392,0.021,454.052,447.948,0.014,431,466.5,0.014,408.014,495.385,0.017,386.18,519.485,0.02,365.874,542.029,0.021,346.017,565.147,0.015,324.567,588.794,0.012,300.736,613.562,0.016,277.826,637.633,0.019,261.716,656.124,0.019,247.043,672.61,0.016,233.635,686.585,0.014,221.621,697.441,0.016,213.581,706.479,0.022,206.832,710.779,0.018,202.963,713.778,0.062,206.449,708.275,0.017,215.701,708,0.015,231.384,706.973,0.017,247.892,705.874,0.021,267.719,706,0.022,285.986,707.352,0.018,308.372,708.948,0.012,331.859,710.603,0.011,357.387,711,0.016,382.973,709.275,0.017,406.209,709,0.017,425.795,709,0.017,447.436,707.767,0.018,460.595,706.647,0.015,475.146,705.527,0.021,479.5,706,0.018,485.048,706,0.012,487.5,706,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,1134,JAGR
