@relation RegistrosP1JCCCH
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
191,403,0,229.534,404.541,0.016,257.523,406.322,0.016,288.698,407.783,0.017,322.981,408,0.017,361.872,406.975,0.016,398.794,404.709,0.017,433.253,401.201,0.018,505.44,395.066,0.017,505.127,395.489,0.013,517,394.5,0.019,518.5,392,0.05,512.762,397.238,0.017,506.842,404.389,0.018,494.43,411.142,0.013,483.15,422.365,0.017,467,439,0.022,437.13,462.241,0.014,409.713,484.06,0.017,381.858,507.279,0.017,358.095,533.086,0.016,331.005,553.954,0.018,301.43,576.592,0.017,280.842,597.705,0.017,260.65,617.35,0.023,246.023,634.07,0.012,234.85,649.411,0.012,224.567,660.433,0.017,218.701,668.418,0.021,215.453,676.277,0.024,212.099,682.802,0.022,210,687,0.016,209.732,687.536,0.05,215.093,690.031,0.017,224.23,692.307,0.017,248.488,694.549,0.019,277.875,695.395,0.02,313.603,694.482,0.012,353.573,692.726,0.016,395.086,691.241,0.017,434.789,691,0.017,467.067,692.002,0.016,495.02,694.242,0.017,519.306,695.241,0.02,524.943,696.368,0.013,527.956,694.511,0.134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,951,JCCCH
189,410,0,257.845,401.65,0.017,291.116,399.199,0.027,322.639,396.954,0.017,354.912,395.86,0.024,386.133,394.736,0.021,455.556,391.977,0.017,488.465,390.369,0.012,506.071,390.754,0.016,516.117,391,0.017,520.985,391.996,0.017,523,392.5,0.017,522.119,394.237,0.018,517.925,398.075,0.017,508.721,404.4,0.016,494.561,411.22,0.016,479.604,421.951,0.016,461.665,437.648,0.027,441.584,455.481,0.012,423.587,476.678,0.012,397.205,500.378,0.018,375.367,519.969,0.02,353.953,540.69,0.019,333.8,559.775,0.019,314.453,577.456,0.017,297.561,594.256,0.017,279.039,612.022,0.028,248.528,641.118,0.011,240.597,657.205,0.018,228.755,667.245,0.017,218.709,677.484,0.016,211.977,684.682,0.016,206.031,687.588,0.016,201.35,689.825,0.017,198.942,691.029,0.033,197.863,693.275,0.034,200.518,696.777,0.017,205.199,698.64,0.016,211.567,700.522,0.017,219.172,702.763,0.017,235.066,703,0.016,252.965,701.877,0.017,278.52,699.498,0.016,298.986,698.632,0.019,326.179,696.028,0.017,354.452,695.391,0.015,383.977,695,0.017,406.356,695,0.016,430.466,695,0.017,451.829,695,0.016,464.575,695,0.017,480.691,695,0.019,487.651,695,0.017,489.166,694.417,0.015,491.408,694,0.017,493,694,0.032,494.536,692.732,0.018,498.377,690.812,0.016,504.57,688.372,0.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1134,JCCCH
195,403,0,228.981,406.186,0.016,271.168,408.557,0.017,303.721,409,0.016,339.478,409,0.017,374.601,409,0.016,407.315,409,0.017,436.316,409,0.017,492.202,407.719,0.017,497.279,406.594,0.017,508.5,407,0.016,510.5,405.5,0.051,503.992,408.004,0.028,491.922,412.809,0.012,482.993,419.505,0.012,463.007,434.495,0.016,445.59,450.924,0.016,427.313,469.548,0.016,405.627,491.628,0.017,381.821,512.582,0.016,361.324,533.658,0.017,335.489,555.074,0.017,308.554,572.631,0.016,292.399,587.901,0.018,268.585,602.12,0.017,254.687,615.719,0.02,241.854,627.432,0.013,227.286,637.531,0.016,218.284,649.553,0.017,212.6,656.48,0.017,206.996,662.004,0.018,202.706,667.617,0.016,201.112,671.777,0.017,198.873,676.255,0.016,197.314,680.745,0.016,196.19,683.62,0.017,195.5,685,0.033,198.115,685.057,0.017,201.869,687.579,0.018,210.92,689.834,0.016,217,693.5,0.016,235.518,696.977,0.017,257.527,700.329,0.016,280.899,703.7,0.017,310.561,707.062,0.017,342.018,709.287,0.017,380.895,711.523,0.017,417.792,711,0.018,450,711,0.016,471.819,712,0.016,489.755,712,0.016,501.7,711.13,0.017,507.951,710.01,0.017,510.221,710,0.032,507.643,708.822,0.117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1068,JCCCH
194,401,0,221.901,408.78,0.017,237.664,412.142,0.016,259.096,414.326,0.019,283.033,415.287,0.016,312.089,413.596,0.017,342.84,411.94,0.016,390.011,409.692,0.016,425.798,407.452,0.017,450.754,406.102,0.017,465.2,403.967,0.016,483.157,402.865,0.017,488.551,403,0.217,487,405.077,0.041,482.832,410.168,0.01,480.586,412.414,0.015,474.389,415.966,0.018,467.305,420.796,0.017,454.743,430.551,0.016,441.01,439.532,0.016,428.878,450.934,0.017,413.938,465.129,0.016,397.164,480.78,0.018,380.362,501.165,0.015,364.769,518.835,0.019,350.568,539.522,0.017,335,556,0.016,318.436,572.583,0.016,305.173,589.524,0.017,287.594,603.875,0.016,273.651,620.436,0.017,260.264,630.302,0.017,247.957,641.766,0.018,239.846,655.731,0.017,226.5,663,0.016,219.818,671.727,0.016,212.69,681.827,0.017,203.097,690.147,0.016,195.012,697.988,0.017,189.395,702.484,0.016,186.26,706.987,0.02,182.911,710.089,0.015,178.084,709,0.016,175.5,709,0.032,174.463,710.268,0.05,177.109,710,0.035,179.46,708.77,0.018,184.91,708.418,0.016,191.917,705.893,0.016,202.208,704.179,0.017,214.438,703.051,0.017,226.697,704.063,0.016,245.022,704,0.017,260.29,705.306,0.018,281.79,707.866,0.017,298.498,707.553,0.016,320.477,707.326,0.016,339.727,707,0.017,360.452,706.081,0.017,376.549,706,0.016,393.394,704.84,0.017,405.114,705,0.017,418.829,705,0.018,432,703.5,0.016,442.091,705,0.016,452.13,704.234,0.017,459.34,704.89,0.017,465.053,705,0.016,472.933,703.867,0.017,479.524,704,0.016,486.264,704,0.019,489.973,704,0.017,496.077,704,0.015,501.69,704,0.017,504.723,704,0.016,506,704,0.067,506.094,701.813,0.148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,1736,JCCCH
188,396,0,207.102,396,0.017,228.179,396,0.017,246.947,397.291,0.018,268.911,397,0.016,294.425,396.46,0.017,320.829,395.34,0.016,348.579,394.217,0.017,397.405,391.287,0.017,425.573,391,0.016,447.859,392.143,0.017,465.144,390.741,0.018,487.435,389.609,0.016,494.077,390.51,0.024,500.514,391,0.013,503.5,391.75,0.013,505,392.5,0.032,504,394.081,0.016,504,396.473,0.017,502.648,400.056,0.018,498.576,404.899,0.016,487.775,413.225,0.016,477.016,423.984,0.017,462.113,438.038,0.017,445.514,452.554,0.019,426.461,471.539,0.015,403.83,489.336,0.016,386.649,510.019,0.018,364.367,527.27,0.016,347.64,544.633,0.017,326.713,561.49,0.016,308.658,576.697,0.017,289.024,594.09,0.016,273.109,608.827,0.017,257.418,623.397,0.017,245.674,632.721,0.017,238.999,641.429,0.017,227,650,0.015,222.631,656.043,0.018,218.626,662.748,0.018,216.175,669.474,0.016,212.888,678.298,0.016,210.689,683.777,0.017,208.452,686.822,0.018,204.8,691.6,0.017,199.921,697.079,0.016,196.718,701.565,0.016,193.706,705.294,0.017,193.886,707.772,0.016,196.009,706.996,0.033,198.248,707,0.018,204.853,708.37,0.017,216.448,708,0.017,232.041,708,0.028,250.777,708,0.016,273.001,707.143,0.021,293.53,707,0.018,340.867,708.221,0.016,366.848,712.024,0.019,389.65,713.919,0.016,413.289,715.585,0.016,434,716.706,0.016,453.086,717.829,0.017,468.34,718,0.017,482.935,718,0.016,489.156,718,0.017,493.261,718,0.034,494.536,716.732,0.017,496.728,711.59,0.106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,1294,JCCCH
184,403,0,213.81,401.152,0.017,232.453,400.034,0.017,242.736,398.918,0.016,262.567,397.79,0.018,285.592,396.67,0.017,312.356,395.55,0.017,339.302,393.428,0.016,368.071,391.61,0.016,416.669,390.187,0.017,444.734,390.937,0.016,460.835,389.94,0.017,479.943,391.173,0.017,492.594,391,0.018,501.803,392.423,0.016,508.177,393.544,0.017,511.322,394,0.016,513,394,0.032,513.269,396.538,0.017,513,398.149,0.016,513,400.55,0.018,511.608,404.177,0.017,507.5,407.5,0.016,495.636,415.454,0.016,485.915,426.367,0.017,470.801,438.68,0.017,453.964,454.034,0.017,429.343,473.053,0.016,407.278,493.25,0.017,383.301,512.233,0.018,359.814,534.216,0.02,337.539,553.255,0.012,315.436,569.467,0.016,298.081,585.77,0.017,280.42,600.659,0.017,269.035,614.158,0.017,255.394,627.606,0.017,247.303,638.371,0.018,241.249,651.043,0.016,232.379,661.776,0.016,224.1,672.3,0.018,219.537,682.39,0.031,216.171,689.658,0.009,212.789,696.421,0.009,210.629,700.743,0.017,209.691,703.928,0.017,208.573,705.854,0.082,215.165,707,0.018,221.943,707,0.016,236.398,708.283,0.017,252.605,708,0.019,274,709.5,0.016,297.134,710,0.015,322.636,710.767,0.017,347.454,710.116,0.017,373.245,711.011,0.017,401.165,711,0.016,422.997,711,0.017,444.094,709.627,0.018,463.859,708.508,0.017,477.201,707.387,0.016,488.152,707,0.016,494.286,706.143,0.017,500.891,706,0.018,504.288,704.904,0.015,507.666,705,0.017,502.976,703.659,0.097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,1267,JCCCH
164,405,0,187.209,402.982,0.017,206.775,403,0.016,227.123,403,0.018,247.295,403,0.017,271.108,402.471,0.017,295.24,401.353,0.015,319.221,400.228,0.017,363.336,399.106,0.017,390.186,396.983,0.016,409.275,397,0.017,430.913,395.741,0.018,449.341,394.627,0.017,464,393.5,0.017,476.449,391.758,0.015,486.21,390.256,0.017,492.309,390,0.017,498.916,390,0.017,502.313,390,0.016,505.69,391.23,0.017,507.689,392.345,0.018,508.472,394.943,0.017,510.593,397.187,0.015,511.712,399.423,0.017,513.672,402.507,0.016,515,404.5,0.025,515.039,406.117,0.026,513.839,409.482,0.018,508.223,413.332,0.021,495.935,419.814,0.012,486.51,429.548,0.016,472.681,440.277,0.017,456.941,453.193,0.017,433.921,471.873,0.016,415.12,488.541,0.017,386.894,508.033,0.018,362.859,527.064,0.017,342.214,549.786,0.016,317.861,570.189,0.016,295.969,590.811,0.017,276.729,608.475,0.016,260.679,624.321,0.019,247.306,637.694,0.015,238.866,651.201,0.018,227.188,661.812,0.017,220.452,670.076,0.016,216.117,678.393,0.016,211.999,684.752,0.017,208.391,688.609,0.016,206.012,691.983,0.017,203.775,694.225,0.067,209.806,694.602,0.016,215.34,695.723,0.017,224.586,696,0.017,242.448,696,0.017,260.307,696,0.016,281.987,694.79,0.017,303.263,695,0.018,326.045,695,0.017,352.896,695,0.016,379.986,695,0.016,402.486,695.815,0.017,427.55,696,0.017,451.209,696,0.016,467.704,696,0.017,487.116,696,0.018,494.795,696,0.017,506,697.5,0.016,512.342,697.668,0.016,515.576,698,0.017,517,698,0.032,507.584,698,0.194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,1448,JCCCH
189,401,0,211.043,401,0.017,240.851,400.528,0.017,267.193,399.409,0.016,296.28,397.572,0.016,326.491,395.334,0.017,360.678,393.085,0.017,392.124,391.924,0.016,452.209,390.804,0.018,465.76,389.68,0.017,484.316,390.557,0.017,497.2,390.564,0.016,506.798,391.685,0.016,511.418,392.806,0.017,513.5,393.5,0.016,514.047,395.047,0.035,512.855,399.582,0.017,510.173,403.24,0.017,503.796,408.136,0.016,495.735,413.949,0.016,486.777,423.001,0.017,475.998,435.802,0.016,460.709,447.208,0.017,443.917,461.805,0.017,423.225,475.183,0.018,405.81,490.03,0.024,383.364,508.597,0.013,363.604,527.275,0.01,344.484,548.267,0.017,326.019,566.981,0.016,309.087,585.902,0.026,296.048,602.953,0.01,276.996,622.004,0.016,266.06,635.657,0.017,247.817,651.704,0.017,238.992,663.008,0.015,226.309,672.794,0.017,218.784,681.746,0.017,214.146,686.854,0.017,211.832,689.168,0.016,209.586,691.414,0.017,207.345,694.983,0.017,203.649,698.351,0.033,202.464,699.536,0.049,209.179,699,0.018,213.71,700.178,0.016,220.809,700,0.019,236.015,701.418,0.016,253.5,701,0.017,272.328,701.334,0.015,292.179,701.788,0.028,313.262,701.091,0.02,335.667,702.029,0.009,361.489,703.152,0.011,385.821,704.265,0.018,409.287,705.395,0.017,434.763,705,0.017,455.78,705,0.015,478.699,705.759,0.017,496.32,706,0.016,513.005,706,0.017,520.831,707.119,0.025,526.196,709.478,0.02,530.724,709,0.02,532.978,709,0.116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1250,JCCCH
185,393,0,208.742,397.129,0.017,236.171,399.817,0.018,261,400.5,0.017,285.359,399.347,0.016,310.834,398.225,0.017,337.505,397.104,0.017,363.431,397,0.016,407.437,397,0.017,428.45,394.481,0.017,445.047,392.244,0.017,463,390,0.017,473.72,390,0.016,485.73,390,0.017,495.778,390.864,0.016,504.888,391.986,0.017,511.652,392,0.017,515.918,392,0.016,519.056,392,0.05,518,394.357,0.033,513.116,403.769,0.017,504.379,410.465,0.018,493.062,419.551,0.017,484.418,435.196,0.017,469.731,448.269,0.017,452.5,465.5,0.017,431.021,484.293,0.016,407.366,501.963,0.017,383.492,519.863,0.016,365.177,534.669,0.017,346.114,545.698,0.017,329.569,562.136,0.016,305.747,574.952,0.018,297.5,592.5,0.017,279.76,606.556,0.016,267.403,619.597,0.016,253.295,631.004,0.017,242.794,641.206,0.017,229.306,653.553,0.016,218.332,662.134,0.017,212.679,668.321,0.018,209,675,0.016,203.501,682.124,0.016,199.75,687.749,0.017,199,692.479,0.017,198.006,695.983,0.017,196.887,698.225,0.017,197,700.462,0.016,197,702.714,0.018,198.474,704.948,0.016,202.987,708.792,0.017,210.037,712.159,0.016,218.743,714.686,0.017,237.344,715.964,0.017,257.513,716,0.016,284.917,716,0.017,317.248,716,0.018,348.523,717.447,0.017,384,717,0.016,415.289,717,0.016,441.689,716.187,0.017,459.993,716.933,0.017,480.04,718.058,0.016,489.561,718,0.017,494.511,718,0.016,500.094,716.581,0.018,505.5,714,0.017,509.654,713.336,0.016,514.144,711.428,0.017,517,710,0.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,1292,JCCCH
195,407,0,230.996,405.941,0.017,268.376,404.465,0.017,295.764,403.343,0.015,321.845,401.448,0.017,348.598,400.1,0.017,375.45,398.981,0.017,402.396,397.859,0.018,455.679,398,0.016,468.942,399.386,0.017,488.078,400.507,0.017,500.277,401,0.015,508.481,401,0.017,511.739,401.87,0.017,513,402.5,0.033,508.769,405.231,0.018,502.229,409.062,0.017,490.177,417.345,0.017,478.795,427.004,0.026,464.618,438.217,0.012,450.943,451.057,0.011,434.55,467.45,0.017,422.1,480.981,0.016,402.594,499.206,0.019,387.395,513.276,0.016,369.147,532.303,0.052,331.986,569.014,0.01,311.497,588.687,0.006,293.974,607.896,0.013,274.983,625.957,0.016,259.509,641.491,0.017,246.381,657.222,0.019,237.213,667.208,0.016,224.109,679.434,0.017,216.665,688.002,0.016,212.637,692.363,0.016,211.092,694.817,0.017,210.5,696,0.132,218.018,698.004,0.018,226.981,699.123,0.016,242.201,699,0.017,255.421,699,0.019,280.661,697.517,0.016,300.043,696.389,0.015,325.799,696,0.017,350.731,696.851,0.017,378.394,697,0.017,404.214,697,0.016,431.211,697,0.017,454.137,698.34,0.019,468.908,698,0.016,484.832,698,0.016,491.81,698,0.017,494.649,698,0.016,496,698,0.049,492.845,696.923,0.118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,1202,JCCCH
