@relation RegistrosP1CONTINUO
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute edad numeric
@attribute mano {DERECHA,IZQUIERDA}
@attribute usuario {MCPP,JCCCH,JOFL,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
203,402,0,245.555,407.687,0.043,317.163,412.181,0.072,448.389,412.312,0.048,498.4,412.033,0.055,513,418.1,0.061,494.052,435.064,0.05,451.964,472.542,0.063,387.8,523.98,0.032,328.284,579.716,0.071,273.957,632.976,0.033,225.795,678.789,0.039,208.448,693.552,0.034,202.399,699,0.036,209.635,700.878,0.032,240.259,702,0.029,294.098,699.159,0.024,324.946,698,0.012,353.22,698,0.009,388.031,698,0.017,415.865,698,0.017,442.5,698,0.016,463.63,696.708,0.017,483.155,696,0.016,494.954,696,0.018,503.938,697.984,0.019,509.718,698,0.031,511.349,698,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1044,24,DERECHA,MCPP
189,401,0,225.964,403.63,0.029,268.646,405.876,0.013,291.797,406,0.018,315.175,406,0.019,340.967,404.741,0.017,376.816,402.451,0.033,417.458,399.003,0.018,463.009,395.285,0.023,482.324,395,0.015,493.746,395.972,0.016,501.416,398.416,0.017,504.411,401.616,0.02,505.302,404.698,0.025,492.646,415.759,0.015,484.5,423,0.027,464.607,441.045,0.025,422.473,476.286,0.021,396.502,498.476,0.021,373.577,518.026,0.022,352.153,540.043,0.017,304.282,587.322,0.02,279.787,611.629,0.018,255.936,633.249,0.022,237.568,655.54,0.017,218.894,672.592,0.03,188.845,703.732,0.029,174.44,722.199,0.025,172.23,726.309,0.024,180.934,728,0.022,196.934,728,0.028,252.252,720.481,0.03,285.836,714.035,0.026,355.119,701.017,0.025,391.5,698.273,0.021,450.423,698,0.021,469.015,698,0.025,486.151,698,0.023,499.741,697,0.024,502.5,697,0.172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1013,24,DERECHA,MCPP
201,410,0,279.362,412.011,0.015,314.075,412,0.012,348.508,412,0.017,383.859,412,0.022,412.768,412.568,0.022,438.485,413.658,0.014,476.821,416.371,0.014,492.348,418.837,0.017,496.111,421.074,0.022,496.813,423.562,0.011,495.544,427.14,0.017,492.426,434.148,0.018,486.954,443.061,0.026,476.978,455.299,0.013,464.378,470.058,0.013,446.977,487.147,0.014,427.889,506.111,0.025,404.057,527.382,0.017,381.642,546.15,0.009,357.966,567.627,0.015,336.788,585.729,0.019,317.689,602.492,0.038,285.105,635.283,0.013,269.646,653.205,0.016,254.161,667.026,0.019,244.776,678.632,0.015,239.349,686.302,0.014,238,689.915,0.009,238,692,0.033,247.843,693.669,0.016,265.416,694,0.019,283.164,692.927,0.016,309.429,690.615,0.016,336.567,689.685,0.023,361.948,688.568,0.02,391.253,689,0.012,421.126,688.341,0.012,449.896,688,0.017,478.786,687.085,0.018,501.902,687,0.016,521.908,687,0.023,530.522,687,0.019,536.173,687,0.158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,894,24,DERECHA,MCPP
192,406,0,219.325,407.051,0.015,271.784,409.589,0.013,295.213,410.724,0.015,319.205,411.867,0.018,344.361,412.972,0.02,370.829,414.076,0.013,421.812,415.228,0.022,436.055,415,0.017,449.123,414,0.014,461.189,413.423,0.015,470.427,413,0.015,478.739,413,0.02,482.786,413,0.013,484.5,413,0.019,483,415.187,0.02,481.703,417.594,0.018,479.231,422.539,0.015,468.822,433.223,0.014,459.857,444.429,0.015,448.616,459.432,0.019,433.627,475.373,0.023,419.771,494.324,0.025,399.638,512.501,0.018,362.012,548.283,0.015,342.5,567,0.017,325.012,581.767,0.016,307.641,597.619,0.017,287.977,615.336,0.016,268.86,632.122,0.017,250.228,647.459,0.022,237.266,660.734,0.018,222.04,670.96,0.013,212.79,680.668,0.02,204.85,687.371,0.017,199.249,692.439,0.011,196.34,697.32,0.017,196,699.913,0.016,198.171,701.086,0.017,199.21,703.421,0.021,209.406,705.602,0.014,216.992,706.427,0.022,236.706,705.443,0.02,261.124,703.685,0.012,284.94,702.203,0.011,312.989,701.077,0.017,339.092,699.953,0.017,368.741,698.818,0.018,397.74,697.702,0.017,418.392,696.58,0.016,442.361,697,0.016,463.093,697,0.022,481.321,697.77,0.02,492.846,698,0.015,501.076,699.011,0.012,504.379,700.126,0.153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,1068,24,DERECHA,MCPP
172,403,0,192.704,403,0.016,227.08,404,0.012,243.375,404,0.016,264.006,404,0.019,288.849,404,0.018,314.38,404,0.02,342.435,404,0.011,370.566,405.263,0.023,426.952,407.861,0.012,439.38,407,0.014,455.613,408.634,0.022,467.523,409.752,0.016,473.464,411.732,0.012,475.025,414.051,0.037,470.574,419.533,0.014,462.829,427.171,0.019,456,440,0.018,442.695,450.525,0.013,429.769,465.846,0.02,413.912,481.343,0.015,396.769,499.183,0.015,375.96,516.7,0.017,360.795,537.12,0.02,339.92,553.067,0.031,322.381,575.619,0.015,301.569,596.986,0.01,280.229,618.771,0.016,259.185,638.992,0.026,243.688,659.047,0.032,216.87,689.13,0.018,205.277,703.584,0.016,204,707,0.017,208.326,708.326,0.017,211.342,709.781,0.016,218.341,711.812,0.016,233.579,712,0.023,252.619,710.846,0.025,279.9,706.974,0.01,307.802,702.843,0.011,339,699.5,0.016,369.974,699.368,0.017,400.737,699,0.019,429.401,700.792,0.02,452.588,702.961,0.012,469.641,704.109,0.015,486.732,706.498,0.018,491.315,706,0.017,491.988,706,0.051,491,703.649,0.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1018,24,DERECHA,MCPP
194,400,0,213.882,400,0.013,237.189,401.344,0.016,260.558,401,0.017,284.172,400.401,0.017,309.531,399.281,0.015,337.915,398.157,0.015,368.067,397.035,0.017,423.194,395.916,0.018,446.599,397.2,0.016,465.774,399.642,0.019,488.782,403.317,0.016,495,405,0.017,497.379,408.379,0.016,498,411.416,0.015,495.22,415.706,0.019,489.764,423.331,0.016,484.16,434.68,0.017,474.674,444.617,0.017,461.538,456.057,0.022,451.955,472.595,0.029,437.157,489.155,0.016,401.657,524.609,0.015,382.628,541.325,0.019,366.896,557.104,0.022,355.439,568.561,0.011,337.201,582.639,0.022,325.056,600.43,0.018,306.445,612.938,0.018,290.327,627.025,0.026,264.245,652.755,0.016,251.734,661.921,0.022,244.37,669.63,0.017,239.676,675.986,0.013,235.082,682.877,0.015,232.795,685.807,0.02,232,688.398,0.018,233.624,690.625,0.012,234.951,692.901,0.021,237.118,694.059,0.018,241.663,695.166,0.011,248.943,696.324,0.017,261.453,697.445,0.021,284,697,0.018,304.442,696.345,0.013,328.478,696,0.013,351.487,696,0.021,374.862,694.959,0.022,399.439,694.857,0.012,418.803,693.717,0.013,436.55,694,0.019,452.975,695,0.023,463.699,695,0.02,475.192,695,0.014,482.436,695,0.009,487.05,696.013,0.015,490.438,696,0.019,492.521,697.261,0.035,494.465,698.233,0.127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1128,24,DERECHA,MCPP
188,404,0,217.907,404.779,0.018,241.908,405.9,0.015,256.2,406,0.017,274.268,406,0.016,299.654,404.743,0.018,327.138,405,0.017,359.096,404.497,0.032,389.246,404,0.017,436.98,403.255,0.018,466.448,403,0.015,486.534,403,0.008,497.537,404.107,0.014,503.072,405.214,0.017,503.351,407.702,0.029,498.073,413.341,0.023,491.737,419.973,0.017,482.484,432.021,0.011,465.746,443.534,0.029,448.535,460.172,0.018,426.349,477.921,0.016,402.078,498.349,0.011,377.061,519.074,0.014,350.159,542.073,0.016,320.285,565.036,0.026,291.187,589.436,0.017,265.553,610.002,0.013,244.548,628.351,0.017,225.167,644.292,0.02,210.962,660.499,0.026,184.027,687.469,0.015,174.402,696.354,0.011,167.978,702.022,0.016,167.878,705.633,0.018,170.042,707.021,0.016,174.503,709.251,0.021,182.796,711.513,0.023,197.057,710.663,0.018,213.905,709.079,0.012,235.693,706.214,0.011,263.181,703.545,0.015,289.857,702.137,0.017,318.971,700.076,0.017,346.419,698.899,0.023,379.502,700.224,0.026,407.253,701.604,0.016,433.385,703.853,0.01,454.935,706.675,0.014,472.366,709.382,0.013,484.347,710.816,0.015,488.817,711,0.018,490.5,711,0.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1037,24,DERECHA,MCPP
168,418,0,202.213,413.853,0.016,240.144,409.951,0.018,272,406.5,0.017,303.788,403.201,0.014,335.242,400.604,0.017,368.306,397.486,0.018,398.853,396.042,0.021,451.555,394.948,0.01,465.995,395,0.016,482.782,397.638,0.02,485.105,398.421,0.015,486,402.5,0.016,484.315,404.371,0.023,481.557,408.258,0.022,473.74,417.167,0.011,462.73,431.351,0.011,449.901,445.289,0.018,431.129,465.175,0.016,416,482.858,0.019,392,507.5,0.022,368.979,529.286,0.014,344.269,555.502,0.012,314.203,578.45,0.015,294.293,599.791,0.019,270.86,621.991,0.023,251.319,639.161,0.021,236.917,660.367,0.02,220.07,678.4,0.011,207.087,693.285,0.03,196.13,710.219,0.012,196.996,712.993,0.016,201.45,714.112,0.016,210.884,716.471,0.017,222.618,718.724,0.017,251.559,716.52,0.017,278.379,713.203,0.016,309.606,709.119,0.016,340.704,703.796,0.033,379.617,702.038,0.01,412.515,700.084,0.011,445.998,701.2,0.014,470.564,703.658,0.022,493.679,705.891,0.011,509.5,708,0.017,513.054,709,0.018,515.5,709,0.035,512.994,706.988,0.123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,926,24,DERECHA,MCPP
203,399,0,250.676,402.043,0.013,294.131,404.452,0.016,324.553,404,0.023,355.62,402.514,0.014,384.965,401.424,0.011,413.889,401,0.022,438.607,401,0.012,481.942,402.948,0.017,496.235,405.206,0.015,503.552,407.443,0.025,508.72,409.688,0.014,508.417,413.25,0.013,501.423,419.433,0.015,494,425,0.023,480.62,439.035,0.014,462.446,451.064,0.013,442.863,468.003,0.026,424.951,482.477,0.012,405.124,501.606,0.015,382.504,518.707,0.02,361.511,538.962,0.011,344,555.5,0.019,321.293,575.765,0.024,304.007,593.706,0.022,281.436,613.479,0.017,264.852,628.719,0.013,248.81,642.721,0.022,234.897,657.318,0.016,222.378,669.136,0.012,213.615,680.264,0.009,207.99,687.762,0.015,204.388,694.223,0.016,204,699.001,0.016,206.237,703.475,0.017,210.959,707.959,0.016,219.517,712.438,0.027,237.775,712.484,0.019,262.298,713,0.022,311.079,713,0.016,336.289,713.968,0.017,366.379,714,0.017,396.574,715.206,0.018,418.98,716.332,0.017,441.141,717,0.016,456.738,717.574,0.019,465.836,718,0.014,470.452,717.183,0.016,472.868,717,0.019,474,717,0.015,476.259,717,0.016,483.769,717,0.129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,975,24,DERECHA,MCPP
175,405,0,194.29,403.865,0.016,220.497,404,0.014,246.497,404,0.017,274.044,403.118,0.023,305.181,401.994,0.014,337.219,400.889,0.012,370.202,399.752,0.02,433.815,402.833,0.018,442.123,399.522,0.012,459.5,398.5,0.02,470.051,396.268,0.02,480.57,396,0.011,485.951,397.976,0.016,488.246,401.369,0.016,489.236,404.708,0.02,489,409.329,0.014,487.547,416.717,0.02,479.184,429.826,0.02,468.406,443.975,0.01,455.564,464.299,0.017,435.5,483.553,0.026,418.894,505.474,0.017,394.395,528.065,0.016,373.209,548.068,0.014,354.6,568.073,0.042,315.346,607.289,0.024,274.825,651.079,0.014,252.036,670.819,0.02,235.479,689.857,0.011,218.365,701.399,0.018,211.676,710.74,0.019,208.462,715.614,0.014,207.5,718.5,0.036,210.805,719,0.028,214.993,719,0.026,245.299,715.522,0.023,266.807,710.581,0.026,321.404,700.63,0.018,350.749,696.116,0.011,381.186,693.283,0.015,405.793,690.03,0.019,428.147,688.893,0.022,443.419,687.798,0.013,456.922,686.673,0.014,461.934,685.511,0.017,466.423,685.394,0.02,470,684.5,0.021,471.615,686,0.011,473,686,0.014,477.182,688.073,0.103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1002,24,DERECHA,MCPP
