@relation EntrenamientoP2.2
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
258,395,0,255.931,415.695,0.02,254.701,437.38,0.015,254,457.956,0.01,254,480.557,0.016,254,505.435,0.02,254,531.992,0.018,254,558.681,0.012,254,608.834,0.018,252.833,633.834,0.017,250.432,658.248,0.015,249.582,671.845,0.023,249,682.706,0.016,249,686.249,0.012,249,688,0.037,253.046,682.954,0.015,261.839,671.951,0.015,271.158,656.494,0.016,281.444,635.111,0.026,293.647,611.24,0.02,306.541,584.538,0.011,321.219,555.022,0.016,334.468,523.899,0.017,347.808,492.448,0.026,364.409,461.67,0.022,393.665,412.78,0.012,402.258,401.323,0.017,410.786,397.607,0.015,418.214,397.405,0.018,423.325,402.157,0.016,430.746,410.709,0.017,437.478,425.035,0.022,447.944,447.104,0.016,454.99,467.403,0.013,461.733,488.199,0.017,470.034,513.187,0.021,479.472,535.681,0.016,488.232,559.917,0.013,498.382,587.353,0.027,510.225,610.43,0.021,518,635.001,0.013,525.596,656.725,0.012,532.846,672.692,0.011,540.5,688,0.016,542.924,692.849,0.02,545.491,697.236,0.019,547,699.5,0.016,548.009,696.996,0.026,550.388,692.836,0.011,553.239,680.699,0.026,553.636,659.713,0.015,553,633.821,0.015,552.399,601.566,0.018,552,569.117,0.018,551.008,507.202,0.016,551,479.219,0.022,551,458.908,0.017,551.322,439.138,0.014,552.468,425.384,0.015,553,421.209,0.02,553,418.5,0.146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1180,MCPP
256,402,0,250.837,432.139,0.016,249,450.845,0.014,249,464.786,0.015,249,484.125,0.023,247.963,508.814,0.013,246.869,534.006,0.019,245.703,559.543,0.019,243.866,594.762,0.012,240.989,634.617,0.03,240,654.43,0.017,239,682.566,0.017,240.017,688.068,0.04,242.218,686.891,0.021,245.384,681.195,0.013,251.246,666.58,0.01,258.5,650,0.024,270.176,623.589,0.011,280.412,596.411,0.014,292.798,566.479,0.017,307.101,536.712,0.017,320.785,508.197,0.021,335.488,484.405,0.024,346.199,459.901,0.017,359.644,439.142,0.017,371.191,421.682,0.011,382.998,409.638,0.019,392.657,401.3,0.024,398.379,395.874,0.015,404.691,394.173,0.027,409.419,396.135,0.009,420.5,406.5,0.016,424.704,415.407,0.018,429.174,427.521,0.018,437.414,442.048,0.019,447.945,456.923,0.014,454.905,475.414,0.016,464.245,493.491,0.018,476.008,511.412,0.022,486.539,529.565,0.024,497.711,548.592,0.017,510.794,569.192,0.011,521.893,593.293,0.011,532.963,616.923,0.013,543.05,634.867,0.017,549.41,651.525,0.017,556.244,658.992,0.017,558.5,660.5,0.017,560,659,0.034,560,654.472,0.024,560.948,649.26,0.012,561,631.56,0.013,562.228,609.66,0.016,560.648,582.913,0.019,559.553,554.834,0.022,562.182,521.445,0.018,564.33,491.382,0.015,567.419,459.427,0.022,568.916,431.099,0.013,570.054,403.693,0.013,571.169,381.613,0.012,572.301,370.685,0.023,573,367.126,0.019,573,365,0.025,570.461,367.269,0.036,569.732,369.536,0.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,1288,MCPP
246,399,0,243.346,431.121,0.015,242.202,449.773,0.014,242,468.211,0.018,242,487.298,0.022,240.788,509.026,0.013,241,530.865,0.015,241,554.174,0.021,239.571,597.144,0.013,240.5,612,0.017,241.577,632.83,0.017,243.824,653.331,0.014,245.017,671.27,0.024,245,689.503,0.019,245,697.308,0.013,245,702.9,0.033,248.852,695.531,0.015,255.911,686.611,0.014,266.725,667.422,0.017,275.986,647.031,0.02,287.193,622.375,0.017,300.638,594.503,0.014,315.776,564.448,0.021,332.033,535.913,0.017,345.229,508.306,0.012,359.691,479.895,0.017,373.13,451.896,0.021,385.821,430.293,0.021,394.442,416.484,0.012,401.348,408.427,0.019,406.686,404.651,0.018,413.498,405.437,0.012,421.438,408.292,0.014,428.873,416.961,0.019,435.916,433.928,0.025,444.349,454.454,0.013,451.274,483.188,0.012,456.937,517.624,0.014,466.625,553.174,0.018,478.462,584.939,0.019,488.514,612.67,0.022,497.24,637.756,0.013,507.849,659.128,0.013,516.401,680.375,0.016,523.286,693.523,0.016,530.092,702.456,0.017,536.744,707.454,0.019,539.234,706,0.016,542.5,701.5,0.023,545.492,689.9,0.015,549.249,667.004,0.015,551.758,637.262,0.013,554.017,602.733,0.016,556.266,565.611,0.022,559.772,528.504,0.027,564.036,500.404,0.025,568.155,462.495,0.013,567.554,448.323,0.014,566.145,439.018,0.017,566,431.181,0.016,564.89,423.229,0.017,565,420.327,0.171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,1205,MCPP
260,384,0,256.883,411.017,0.014,254.295,439.751,0.014,252,466.5,0.018,249.782,495.22,0.02,247.596,523.255,0.015,245.34,552.576,0.014,244.012,581.697,0.02,241.785,636.275,0.023,242,658.148,0.016,244.64,674.801,0.016,247.351,688.603,0.017,250.753,695.337,0.015,254.823,697.706,0.027,260.206,696.318,0.018,267.498,689.502,0.016,280.24,655.487,0.02,289.498,631.443,0.013,301.012,611.378,0.019,312.102,582.686,0.021,324.901,556.198,0.017,336.761,530.15,0.012,350.869,502.174,0.015,364.446,476.145,0.018,373.171,454.073,0.015,381.13,437.435,0.018,391.732,425.024,0.016,394,416.5,0.018,396.293,417.353,0.016,398,416.5,0.035,401.959,421.973,0.019,407.546,429.764,0.013,415.873,439.141,0.022,423.751,453.716,0.017,432.325,475.65,0.013,444.267,497.112,0.014,454.784,520.905,0.018,463.935,541.737,0.017,475.891,563.802,0.015,485.947,587.211,0.025,494.901,606.04,0.017,505.934,626.542,0.014,514.776,645.866,0.013,521.485,661.97,0.015,528.148,675.987,0.017,534.911,684.911,0.017,538.866,689.821,0.016,541.152,692.152,0.037,543.276,689.724,0.035,544.552,678.37,0.02,544.352,661.336,0.012,544.785,637.732,0.013,545.924,612.677,0.018,547.053,585.72,0.017,549.337,555.446,0.016,551.584,522.526,0.018,552.417,489.901,0.017,554.515,462.164,0.016,555,441.427,0.015,555,424.676,0.018,554.114,414.795,0.017,552.981,408.907,0.016,553,405.566,0.017,551.74,402.218,0.018,550.624,396.118,0.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1223,MCPP
261,401,0,258.919,416.609,0.02,257.679,433.5,0.024,256.557,450.092,0.014,255.436,469.714,0.007,254.3,491.995,0.011,253.157,516.543,0.016,252.057,542.643,0.024,249.78,601.725,0.014,248.841,624.974,0.015,249,649.007,0.016,246.129,669.277,0.021,245.418,685.406,0.018,244.35,697.151,0.02,244,708.936,0.013,244,714.667,0.018,244,717,0.02,246.31,714.845,0.013,249.033,713.225,0.017,254.785,708.215,0.026,263.183,698.248,0.027,278.154,666.275,0.012,288.795,641.65,0.027,301.117,617.777,0.009,313.866,590.534,0.016,328.544,561.639,0.018,340.018,535.33,0.024,353.623,512.066,0.013,366.264,488.718,0.012,377.993,467.647,0.017,388.681,447.638,0.009,395.867,430.333,0.023,401.604,415.43,0.016,406.402,410.598,0.01,408.695,408.305,0.017,410.95,409,0.037,413.322,412.983,0.02,416.39,417.186,0.014,422.525,429.049,0.012,429.391,444.911,0.018,440.987,464.378,0.021,452.248,482.197,0.024,458.828,502.465,0.015,467.742,521.484,0.012,477.28,541.221,0.011,484.777,561.332,0.017,491.489,582.381,0.017,500.361,601.767,0.016,510.427,623.012,0.022,516.687,640.497,0.021,521.871,657.115,0.013,526.017,670.613,0.011,529.559,681.478,0.017,532.517,685.517,0.017,534.734,686,0.016,536,686,0.038,537.143,683.857,0.026,538,680.614,0.017,538.465,671.959,0.011,539.595,653.688,0.012,540,628.437,0.014,541.724,600.454,0.017,544.989,573.089,0.016,547.228,547.373,0.021,549.437,519.543,0.015,551.642,488.015,0.015,552.452,454.89,0.017,554.18,426.429,0.018,555.693,406.601,0.025,557.602,389.989,0.027,560.04,374.841,0.013,558.817,372.633,0.032,556.566,375.434,0.034,562.053,377.526,0.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,1408,MCPP
254,393,0,254,438.102,0.017,253,459.263,0.013,252.65,480.659,0.016,251.498,503.55,0.022,251,527.709,0.016,251,553.409,0.019,250.151,599.035,0.014,250,628.259,0.02,248.907,651.306,0.015,247.591,667.271,0.016,245.673,682.62,0.015,244.542,690.751,0.018,244,695.784,0.016,244,698.5,0.05,248.078,695.961,0.019,253.776,690.224,0.011,263.249,676.908,0.014,275.471,653.952,0.016,284.5,630.5,0.022,299.685,602.99,0.016,313.884,574.233,0.012,329.922,542.156,0.017,342.59,511.552,0.026,359.747,483.422,0.022,372.201,460.336,0.014,386.138,435.853,0.016,397.101,417.848,0.012,404.806,408.194,0.012,412.321,403.72,0.019,418.338,403.868,0.017,421.934,406.934,0.013,426.505,412.631,0.023,430.983,423.212,0.034,445.656,455.683,0.016,454.121,476.008,0.011,463.53,498.962,0.015,475.378,525.462,0.021,485.584,549.982,0.015,495.587,575.5,0.016,508.407,603.253,0.015,519.385,631.463,0.018,527.765,658.296,0.022,537.5,674,0.02,543.655,689.973,0.014,547.418,695.418,0.012,549.87,696,0.015,552.148,693.852,0.017,555.584,690.416,0.016,558.936,677.881,0.023,561,650.712,0.023,561,620.406,0.017,561.651,586.466,0.011,562.788,550.798,0.011,564.825,515.719,0.016,567.095,479.48,0.033,568.166,448.016,0.026,569.367,402.233,0.015,569.494,391.472,0.011,568.5,386.5,0.051,566.651,389,0.021,568.049,392.148,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,1213,MCPP
255,396,0,252.874,418.322,0.017,251.569,441.327,0.013,250.5,462.5,0.019,249.34,490.851,0.015,248.211,519.505,0.016,248,550.553,0.016,249.012,579.32,0.017,250.179,637.954,0.016,250,653.553,0.018,250,665.031,0.016,250,672,0.021,251.319,678.298,0.014,252.778,681.556,0.023,254.804,682,0.007,257.041,680.979,0.019,262.707,678.717,0.024,268.548,671.42,0.015,274.919,659.777,0.017,281.581,643.791,0.018,291.171,625.126,0.021,301.678,603.417,0.015,311.653,578.442,0.015,325.709,551.537,0.015,337.073,522.209,0.025,351.393,492.94,0.03,376.804,444.576,0.021,388.059,426.006,0.016,395.513,413.378,0.016,400.331,407.669,0.011,402.911,405.089,0.011,405.147,406.074,0.016,407.384,408.384,0.017,415.01,412.005,0.016,421.64,428.28,0.02,429.965,456.792,0.018,441.293,485.9,0.012,452.196,515.788,0.015,461.278,543.745,0.017,471.547,572.52,0.023,484.65,597.163,0.019,493.89,620.73,0.013,506.76,642.33,0.012,520,665.5,0.017,525.885,678.065,0.017,532.563,689.845,0.017,538.372,699.869,0.016,540.007,708.046,0.016,541.151,710.302,0.039,542.161,707.678,0.02,542.479,703.563,0.014,543.608,698.351,0.013,544.744,688.564,0.015,545,668.856,0.016,545,642.771,0.023,543.898,607.852,0.017,542.802,567.86,0.014,541.651,525.086,0.016,543.487,487.441,0.016,546,462,0.016,550.097,442.516,0.017,551,426.676,0.02,551,416.571,0.019,549.951,411.802,0.048,556.914,414.305,0.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1233,MCPP
257,396,0,254.991,421.111,0.015,252.707,448.521,0.015,251.711,475.944,0.022,250.612,500.935,0.011,249.524,524.479,0.017,248.5,548.5,0.016,247.245,575.62,0.017,244.379,620.321,0.017,242.028,646.71,0.017,240.893,663.601,0.045,238.513,679.406,0.015,237,688.913,0.016,238.188,690.594,0.015,240,691.5,0.028,242.838,691,0.024,245.118,689.941,0.015,249.711,686.466,0.01,258.37,674.953,0.016,267.617,657.67,0.019,277.5,638.5,0.018,288.373,609.913,0.014,300.809,579.578,0.015,313.237,547.942,0.018,329.364,517.32,0.016,342.08,485.895,0.018,360.829,454.549,0.022,374.553,429.671,0.014,388.831,407.988,0.013,399.265,391.445,0.017,407.534,381.466,0.018,414.409,376.394,0.019,418.013,376,0.014,420.227,376,0.016,421.277,378.553,0.018,422.391,382.173,0.016,423.5,387,0.017,429,403,0.017,438.191,429.25,0.017,445.913,451.738,0.017,454.003,478.008,0.02,459.411,505.055,0.014,469.884,532.025,0.02,480.266,559.709,0.013,489.997,584.215,0.016,501.283,615.173,0.016,511.699,642.096,0.02,518.904,664.528,0.014,525.727,684.227,0.019,533.441,696.692,0.022,537.669,705.339,0.015,541.633,708.317,0.013,543.87,709.435,0.018,543.565,705.87,0.013,544.688,701.559,0.017,546.624,691.878,0.016,547,670.725,0.036,549.147,613.576,0.022,550.789,572.74,0.015,553.781,529.949,0.012,556.062,491.001,0.016,559.624,458.285,0.017,562.543,435.111,0.016,563.895,420.255,0.018,565.043,414.827,0.168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1270,MCPP
257,397,0,249.673,440.614,0.016,246.304,468.468,0.014,242.843,499.417,0.021,240.666,531.844,0.012,238.493,565.853,0.018,237.574,602.213,0.021,236.461,651.287,0.012,236.637,690.094,0.018,237,709.119,0.019,237,719.094,0.014,237,723.5,0.047,240.267,715.644,0.015,246.764,692.355,0.014,254.827,671.863,0.016,267.342,646.928,0.038,295.641,594.931,0.026,328.151,539.201,0.01,341.716,509.116,0.016,359.271,481.214,0.02,373.291,454.387,0.02,386.858,428.427,0.013,396.88,409.239,0.014,403.99,395.852,0.021,408.929,390.071,0.015,412.198,390,0.014,414.406,392.406,0.02,419.305,398.631,0.025,426.515,416.544,0.013,434.944,440.733,0.011,447.112,472.956,0.017,457.325,508.302,0.016,468.284,542.851,0.016,482.428,572.889,0.018,491.504,602.887,0.027,502.381,627.722,0.021,515.062,650.89,0.011,524.103,671.231,0.012,533.818,686.464,0.011,540.115,695.452,0.017,542.8,698.8,0.021,544,700,0.02,543,695.855,0.013,543,692.252,0.013,543,679.177,0.019,544.5,654.5,0.017,544,625.033,0.027,544.713,588.346,0.015,545.85,545.697,0.011,547.92,504.477,0.011,550.201,464.487,0.018,553.71,429.668,0.018,557.09,401.55,0.015,558.939,384.545,0.023,560.588,380.648,0.019,561.5,377,0.043,560,383.085,0.139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,1141,MCPP
252,397,0,249.122,453.826,0.022,248.012,481.699,0.009,248,510.064,0.018,248,539.04,0.017,248,564.265,0.021,249.517,591.932,0.014,251.779,633.656,0.034,254.453,667.073,0.013,256.97,696.727,0.018,258.132,702.661,0.038,259.176,699.649,0.018,264.714,692.382,0.016,271.517,681.552,0.024,278.248,664.964,0.016,286.516,643.71,0.011,297.565,619.914,0.016,307.723,590.913,0.019,319.316,559.597,0.014,331.224,529.215,0.028,340.842,497.902,0.024,362.642,447.073,0.018,370.632,425.518,0.016,377.585,414.553,0.013,385.406,410.826,0.019,388.572,411,0.029,390.434,413.434,0.033,392.529,416.793,0.021,399.004,428.26,0.02,407.888,441.517,0.011,420.211,461.345,0.012,430.546,480.921,0.016,442.922,505.845,0.017,456.829,532.256,0.022,467.466,557.439,0.017,480.586,582.172,0.013,491.64,602.066,0.014,503.404,622.243,0.022,513.855,640.742,0.014,520.642,656.497,0.015,526.147,667.294,0.017,531.826,675.921,0.025,533.897,678.449,0.018,536,679.5,0.042,536.18,675.46,0.026,538.051,672.923,0.012,540.363,668.274,0.013,541.317,663.731,0.014,543.924,651.841,0.019,542.426,623.214,0.015,540.651,593.441,0.021,540,559.69,0.021,541.797,526.038,0.015,545.12,493.88,0.013,548.494,465.885,0.013,551.868,439.056,0.019,553.843,421.832,0.017,556,408,0.015,554.355,407.711,0.017,553.5,406,0.033,551.464,405.732,0.021,550.932,401.728,0.02,551.234,398.533,0.103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,1261,MCPP
