@relation RegistrosP1.2
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute edad numeric
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
168,418,0,202.213,413.853,0.016,240.144,409.951,0.018,272,406.5,0.017,303.788,403.201,0.014,335.242,400.604,0.017,368.306,397.486,0.018,398.853,396.042,0.021,451.555,394.948,0.01,465.995,395,0.016,482.782,397.638,0.02,485.105,398.421,0.015,486,402.5,0.016,484.315,404.371,0.023,481.557,408.258,0.022,473.74,417.167,0.011,462.73,431.351,0.011,449.901,445.289,0.018,431.129,465.175,0.016,416,482.858,0.019,392,507.5,0.022,368.979,529.286,0.014,344.269,555.502,0.012,314.203,578.45,0.015,294.293,599.791,0.019,270.86,621.991,0.023,251.319,639.161,0.021,236.917,660.367,0.02,220.07,678.4,0.011,207.087,693.285,0.03,196.13,710.219,0.012,196.996,712.993,0.016,201.45,714.112,0.016,210.884,716.471,0.017,222.618,718.724,0.017,251.559,716.52,0.017,278.379,713.203,0.016,309.606,709.119,0.016,340.704,703.796,0.033,379.617,702.038,0.01,412.515,700.084,0.011,445.998,701.2,0.014,470.564,703.658,0.022,493.679,705.891,0.011,509.5,708,0.017,513.054,709,0.018,515.5,709,0.035,512.994,706.988,0.123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,926,24,MCPP
189,413,0,203.23,407.918,0.018,235.686,400.996,0.019,243.887,402,0.016,263.582,400.589,0.017,286.196,399.467,0.016,310.449,397.686,0.016,337.397,395.448,0.017,366.208,393.215,0.016,416.789,390.966,0.018,438.741,391,0.016,459.854,392.255,0.018,470.134,392,0.017,481.001,395.001,0.016,484.243,397.243,0.016,485.744,400.231,0.016,486,402.731,0.017,485.014,404.972,0.017,483.893,408.32,0.017,480.333,412.889,0.017,472.937,421.407,0.017,463.251,433.156,0.018,451.328,445.492,0.015,436.04,460.671,0.016,420.343,475.824,0.022,399.848,495.196,0.021,380.846,511.226,0.009,362.88,530.315,0.014,342.337,545.405,0.017,325.025,568.283,0.024,303.634,585.597,0.019,284.081,604.879,0.029,247.304,641.609,0.012,229.306,656.564,0.016,216.033,667.64,0.017,205.154,678.846,0.018,196.765,685.831,0.017,197,688.054,0.016,198.299,689,0.016,203.606,690.535,0.017,212.119,692.78,0.017,223.064,694.006,0.016,243.368,694,0.017,263.488,691.501,0.017,289.196,690.627,0.018,315.344,688.014,0.016,344.782,688.384,0.016,373.151,688,0.017,401.438,688,0.031,427.491,688,0.008,450.015,688,0.011,462.619,688,0.017,476.102,688,0.017,483.7,688,0.023,484.5,688,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1061,24,MCPP
188,404,0,217.907,404.779,0.018,241.908,405.9,0.015,256.2,406,0.017,274.268,406,0.016,299.654,404.743,0.018,327.138,405,0.017,359.096,404.497,0.032,389.246,404,0.017,436.98,403.255,0.018,466.448,403,0.015,486.534,403,0.008,497.537,404.107,0.014,503.072,405.214,0.017,503.351,407.702,0.029,498.073,413.341,0.023,491.737,419.973,0.017,482.484,432.021,0.011,465.746,443.534,0.029,448.535,460.172,0.018,426.349,477.921,0.016,402.078,498.349,0.011,377.061,519.074,0.014,350.159,542.073,0.016,320.285,565.036,0.026,291.187,589.436,0.017,265.553,610.002,0.013,244.548,628.351,0.017,225.167,644.292,0.02,210.962,660.499,0.026,184.027,687.469,0.015,174.402,696.354,0.011,167.978,702.022,0.016,167.878,705.633,0.018,170.042,707.021,0.016,174.503,709.251,0.021,182.796,711.513,0.023,197.057,710.663,0.018,213.905,709.079,0.012,235.693,706.214,0.011,263.181,703.545,0.015,289.857,702.137,0.017,318.971,700.076,0.017,346.419,698.899,0.023,379.502,700.224,0.026,407.253,701.604,0.016,433.385,703.853,0.01,454.935,706.675,0.014,472.366,709.382,0.013,484.347,710.816,0.015,488.817,711,0.018,490.5,711,0.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1037,24,MCPP
193,407,0,225.071,409,0.011,254.116,409,0.013,282.871,409,0.016,310.379,409.599,0.021,337.392,410.669,0.015,367.405,411,0.014,397.378,411.938,0.016,450.664,414.153,0.02,468.577,412.801,0.02,488.105,413.282,0.012,500.666,414.424,0.017,508.688,415.125,0.018,511.5,417,0.034,508.128,419.744,0.02,503.974,424.026,0.01,494.736,430.948,0.019,484.37,442.923,0.021,466.451,456.549,0.019,448.629,471.905,0.019,429.848,489.982,0.012,408.22,508.271,0.018,387.979,528.788,0.025,367.834,547.158,0.018,328.536,590.331,0.017,303.249,607.905,0.016,284.176,630.314,0.023,263.91,646.497,0.015,247.573,662.427,0.012,232.973,677.875,0.016,220.132,688.892,0.018,213.311,696.804,0.016,209.148,700.852,0.017,208.666,704.001,0.015,210.454,705.909,0.039,218.002,706.667,0.016,233.442,706.209,0.013,256.648,704.129,0.024,281.932,700.878,0.012,311.088,697.528,0.014,342.369,696.69,0.018,375.901,695.555,0.017,406.521,696,0.02,431.338,696,0.019,453.559,695.234,0.014,471.511,695,0.02,483.27,693.973,0.012,486.381,694,0.05,486,691.66,0.181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1042,24,MCPP
203,399,0,250.676,402.043,0.013,294.131,404.452,0.016,324.553,404,0.023,355.62,402.514,0.014,384.965,401.424,0.011,413.889,401,0.022,438.607,401,0.012,481.942,402.948,0.017,496.235,405.206,0.015,503.552,407.443,0.025,508.72,409.688,0.014,508.417,413.25,0.013,501.423,419.433,0.015,494,425,0.023,480.62,439.035,0.014,462.446,451.064,0.013,442.863,468.003,0.026,424.951,482.477,0.012,405.124,501.606,0.015,382.504,518.707,0.02,361.511,538.962,0.011,344,555.5,0.019,321.293,575.765,0.024,304.007,593.706,0.022,281.436,613.479,0.017,264.852,628.719,0.013,248.81,642.721,0.022,234.897,657.318,0.016,222.378,669.136,0.012,213.615,680.264,0.009,207.99,687.762,0.015,204.388,694.223,0.016,204,699.001,0.016,206.237,703.475,0.017,210.959,707.959,0.016,219.517,712.438,0.027,237.775,712.484,0.019,262.298,713,0.022,311.079,713,0.016,336.289,713.968,0.017,366.379,714,0.017,396.574,715.206,0.018,418.98,716.332,0.017,441.141,717,0.016,456.738,717.574,0.019,465.836,718,0.014,470.452,717.183,0.016,472.868,717,0.019,474,717,0.015,476.259,717,0.016,483.769,717,0.129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,975,24,MCPP
194,403,0,252.363,404,0.014,279.004,402.792,0.017,306.765,403,0.021,332.414,401.504,0.013,361.212,401.415,0.015,389.005,401.709,0.017,432.399,403.654,0.02,455.773,404,0.015,471.778,405.052,0.016,484.403,406.218,0.016,488.696,408.678,0.022,488.44,410.881,0.016,486.865,414.837,0.013,481.981,422.358,0.019,468.977,434.448,0.016,454.192,446.992,0.014,434.17,463.692,0.017,419.785,479.386,0.021,396.237,500.187,0.017,377.154,518.466,0.013,352.5,545,0.021,325.601,566.895,0.016,304.226,589.028,0.014,280.949,608.515,0.015,263.685,626.336,0.021,245.704,644.295,0.021,233.234,658.766,0.012,219.816,672.184,0.014,215,683,0.02,215,687.857,0.022,216.453,691.907,0.018,222.888,695.524,0.01,240.722,696.984,0.013,262.218,695.883,0.017,289.589,694.767,0.026,319.257,691.339,0.016,348.773,689.56,0.011,380.364,688.431,0.014,406.234,688,0.018,429.988,688,0.016,452.185,688,0.016,470.464,686.909,0.022,488.499,687,0.018,495.203,688,0.012,499.808,688,0.015,501,688,0.136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,886,24,MCPP
172,403,0,192.704,403,0.016,227.08,404,0.012,243.375,404,0.016,264.006,404,0.019,288.849,404,0.018,314.38,404,0.02,342.435,404,0.011,370.566,405.263,0.023,426.952,407.861,0.012,439.38,407,0.014,455.613,408.634,0.022,467.523,409.752,0.016,473.464,411.732,0.012,475.025,414.051,0.037,470.574,419.533,0.014,462.829,427.171,0.019,456,440,0.018,442.695,450.525,0.013,429.769,465.846,0.02,413.912,481.343,0.015,396.769,499.183,0.015,375.96,516.7,0.017,360.795,537.12,0.02,339.92,553.067,0.031,322.381,575.619,0.015,301.569,596.986,0.01,280.229,618.771,0.016,259.185,638.992,0.026,243.688,659.047,0.032,216.87,689.13,0.018,205.277,703.584,0.016,204,707,0.017,208.326,708.326,0.017,211.342,709.781,0.016,218.341,711.812,0.016,233.579,712,0.023,252.619,710.846,0.025,279.9,706.974,0.01,307.802,702.843,0.011,339,699.5,0.016,369.974,699.368,0.017,400.737,699,0.019,429.401,700.792,0.02,452.588,702.961,0.012,469.641,704.109,0.015,486.732,706.498,0.018,491.315,706,0.017,491.988,706,0.051,491,703.649,0.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1018,24,MCPP
197,401,0,212.32,401,0.022,232.907,402.46,0.013,251.65,403.592,0.018,271.77,404,0.022,293.812,404.841,0.014,316.75,405.94,0.015,344.068,407.086,0.015,398.337,407.768,0.022,423.378,407.321,0.017,447.664,408,0.013,470.699,408,0.015,490.322,408,0.027,505.09,408.841,0.015,512.473,410.824,0.009,516,412,0.02,513.818,414.365,0.014,512.027,417.216,0.021,504.579,425.019,0.012,492.935,435.558,0.023,478.995,447.719,0.016,462.51,463.49,0.014,440.702,477.456,0.023,421.579,497.256,0.015,396.652,513.231,0.01,375.036,533.964,0.016,355.322,552.526,0.021,333.338,571.645,0.021,290.253,608.168,0.029,270.819,626.181,0.025,237.988,658.09,0.014,220.465,671.828,0.017,210.285,685.458,0.021,199.078,692.937,0.021,193.701,699.874,0.017,192,704.782,0.012,193.667,707.667,0.011,195.915,708.958,0.017,205.838,710.093,0.017,219.394,711.2,0.016,243.469,709.677,0.023,266.037,707.691,0.019,292.549,705.458,0.013,322.161,703.655,0.012,351.341,702.186,0.018,381.917,702.926,0.017,408.04,701.955,0.016,436.54,702,0.026,463.728,700.691,0.018,487.986,700,0.013,508.324,700,0.011,522.879,699.347,0.014,529.832,699,0.023,533.5,699,0.048,528.866,700.067,0.123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1074,24,MCPP
201,404,0,248.171,409.207,0.015,270.571,410,0.012,293.352,410,0.016,317.443,408.503,0.021,342.737,408.403,0.011,368.819,407.299,0.039,412.758,407,0.011,460.346,410.079,0.016,484.796,411.228,0.026,497.561,413.702,0.01,506.198,416.759,0.015,511.5,421,0.021,508.671,426.987,0.018,500.869,434.547,0.01,491.576,443.424,0.016,481.516,453.484,0.026,465.19,467.409,0.024,449.531,479.555,0.01,428.514,495.081,0.019,407.066,512.679,0.018,382.692,531.056,0.03,360.947,551.053,0.051,269.018,621.195,0.009,247.82,639.047,0.023,231.86,656.613,0.01,216.969,670.67,0.017,204.616,684.146,0.017,194.076,694.043,0.015,189.007,701.988,0.016,186.742,707.645,0.018,185.738,712.047,0.018,187.369,713.738,0.015,189.976,714.488,0.018,201.267,715.606,0.02,215.329,716,0.024,237.893,715.179,0.017,264.625,713.115,0.013,290.973,710.828,0.009,321.464,708.595,0.015,349.668,707.653,0.038,413.5,710.5,0.018,438.041,715.005,0.015,459.228,718.48,0.013,478.826,720.87,0.019,489.649,722.072,0.016,494.854,722,0.035,496.421,719.579,0.166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,1029,24,MCPP
175,405,0,194.29,403.865,0.016,220.497,404,0.014,246.497,404,0.017,274.044,403.118,0.023,305.181,401.994,0.014,337.219,400.889,0.012,370.202,399.752,0.02,433.815,402.833,0.018,442.123,399.522,0.012,459.5,398.5,0.02,470.051,396.268,0.02,480.57,396,0.011,485.951,397.976,0.016,488.246,401.369,0.016,489.236,404.708,0.02,489,409.329,0.014,487.547,416.717,0.02,479.184,429.826,0.02,468.406,443.975,0.01,455.564,464.299,0.017,435.5,483.553,0.026,418.894,505.474,0.017,394.395,528.065,0.016,373.209,548.068,0.014,354.6,568.073,0.042,315.346,607.289,0.024,274.825,651.079,0.014,252.036,670.819,0.02,235.479,689.857,0.011,218.365,701.399,0.018,211.676,710.74,0.019,208.462,715.614,0.014,207.5,718.5,0.036,210.805,719,0.028,214.993,719,0.026,245.299,715.522,0.023,266.807,710.581,0.026,321.404,700.63,0.018,350.749,696.116,0.011,381.186,693.283,0.015,405.793,690.03,0.019,428.147,688.893,0.022,443.419,687.798,0.013,456.922,686.673,0.014,461.934,685.511,0.017,466.423,685.394,0.02,470,684.5,0.021,471.615,686,0.011,473,686,0.014,477.182,688.073,0.103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1002,24,MCPP
