@relation RegistrosP3.2
 @attribute x1 real
 @attribute y1 real
 @attribute coord_time1 real
 @attribute x2 real
 @attribute y2 real
 @attribute coord_time2 real
 @attribute x3 real
 @attribute y3 real
 @attribute coord_time3 real
 @attribute x4 real
 @attribute y4 real
 @attribute coord_time4 real
 @attribute x5 real
 @attribute y5 real
 @attribute coord_time5 real
 @attribute x6 real
 @attribute y6 real
 @attribute coord_time6 real
 @attribute x7 real
 @attribute y7 real
 @attribute coord_time7 real
 @attribute x8 real
 @attribute y8 real
 @attribute coord_time8 real
 @attribute x9 real
 @attribute y9 real
 @attribute coord_time9 real
 @attribute x10 real
 @attribute y10 real
 @attribute coord_time10 real
 @attribute x11 real
 @attribute y11 real
 @attribute coord_time11 real
 @attribute x12 real
 @attribute y12 real
 @attribute coord_time12 real
 @attribute x13 real
 @attribute y13 real
 @attribute coord_time13 real
 @attribute x14 real
 @attribute y14 real
 @attribute coord_time14 real
 @attribute x15 real
 @attribute y15 real
 @attribute coord_time15 real
 @attribute x16 real
 @attribute y16 real
 @attribute coord_time16 real
 @attribute x17 real
 @attribute y17 real
 @attribute coord_time17 real
 @attribute x18 real
 @attribute y18 real
 @attribute coord_time18 real
 @attribute x19 real
 @attribute y19 real
 @attribute coord_time19 real
 @attribute x20 real
 @attribute y20 real
 @attribute coord_time20 real
 @attribute x21 real
 @attribute y21 real
 @attribute coord_time21 real
 @attribute x22 real
 @attribute y22 real
 @attribute coord_time22 real
 @attribute x23 real
 @attribute y23 real
 @attribute coord_time23 real
 @attribute x24 real
 @attribute y24 real
 @attribute coord_time24 real
 @attribute x25 real
 @attribute y25 real
 @attribute coord_time25 real
 @attribute x26 real
 @attribute y26 real
 @attribute coord_time26 real
 @attribute x27 real
 @attribute y27 real
 @attribute coord_time27 real
 @attribute x28 real
 @attribute y28 real
 @attribute coord_time28 real
 @attribute x29 real
 @attribute y29 real
 @attribute coord_time29 real
 @attribute x30 real
 @attribute y30 real
 @attribute coord_time30 real
 @attribute x31 real
 @attribute y31 real
 @attribute coord_time31 real
 @attribute x32 real
 @attribute y32 real
 @attribute coord_time32 real
 @attribute x33 real
 @attribute y33 real
 @attribute coord_time33 real
 @attribute x34 real
 @attribute y34 real
 @attribute coord_time34 real
 @attribute x35 real
 @attribute y35 real
 @attribute coord_time35 real
 @attribute x36 real
 @attribute y36 real
 @attribute coord_time36 real
 @attribute x37 real
 @attribute y37 real
 @attribute coord_time37 real
 @attribute x38 real
 @attribute y38 real
 @attribute coord_time38 real
 @attribute x39 real
 @attribute y39 real
 @attribute coord_time39 real
 @attribute x40 real
 @attribute y40 real
 @attribute coord_time40 real
 @attribute x41 real
 @attribute y41 real
 @attribute coord_time41 real
 @attribute x42 real
 @attribute y42 real
 @attribute coord_time42 real
 @attribute x43 real
 @attribute y43 real
 @attribute coord_time43 real
 @attribute x44 real
 @attribute y44 real
 @attribute coord_time44 real
 @attribute x45 real
 @attribute y45 real
 @attribute coord_time45 real
 @attribute x46 real
 @attribute y46 real
 @attribute coord_time46 real
 @attribute x47 real
 @attribute y47 real
 @attribute coord_time47 real
 @attribute x48 real
 @attribute y48 real
 @attribute coord_time48 real
 @attribute x49 real
 @attribute y49 real
 @attribute coord_time49 real
 @attribute x50 real
 @attribute y50 real
 @attribute coord_time50 real
 @attribute x51 real
 @attribute y51 real
 @attribute coord_time51 real
 @attribute x52 real
 @attribute y52 real
 @attribute coord_time52 real
 @attribute x53 real
 @attribute y53 real
 @attribute coord_time53 real
 @attribute x54 real
 @attribute y54 real
 @attribute coord_time54 real
 @attribute x55 real
 @attribute y55 real
 @attribute coord_time55 real
 @attribute x56 real
 @attribute y56 real
 @attribute coord_time56 real
 @attribute x57 real
 @attribute y57 real
 @attribute coord_time57 real
 @attribute x58 real
 @attribute y58 real
 @attribute coord_time58 real
 @attribute x59 real
 @attribute y59 real
 @attribute coord_time59 real
 @attribute x60 real
 @attribute y60 real
 @attribute coord_time60 real
 @attribute x61 real
 @attribute y61 real
 @attribute coord_time61 real
 @attribute x62 real
 @attribute y62 real
 @attribute coord_time62 real
 @attribute x63 real
 @attribute y63 real
 @attribute coord_time63 real
 @attribute x64 real
 @attribute y64 real
 @attribute coord_time64 real
 @attribute x65 real
 @attribute y65 real
 @attribute coord_time65 real
 @attribute x66 real
 @attribute y66 real
 @attribute coord_time66 real
 @attribute x67 real
 @attribute y67 real
 @attribute coord_time67 real
 @attribute x68 real
 @attribute y68 real
 @attribute coord_time68 real
 @attribute x69 real
 @attribute y69 real
 @attribute coord_time69 real
 @attribute x70 real
 @attribute y70 real
 @attribute coord_time70 real
 @attribute x71 real
 @attribute y71 real
 @attribute coord_time71 real
 @attribute x72 real
 @attribute y72 real
 @attribute coord_time72 real
 @attribute x73 real
 @attribute y73 real
 @attribute coord_time73 real
 @attribute x74 real
 @attribute y74 real
 @attribute coord_time74 real
 @attribute x75 real
 @attribute y75 real
 @attribute coord_time75 real
 @attribute x76 real
 @attribute y76 real
 @attribute coord_time76 real
 @attribute x77 real
 @attribute y77 real
 @attribute coord_time77 real
 @attribute x78 real
 @attribute y78 real
 @attribute coord_time78 real
 @attribute x79 real
 @attribute y79 real
 @attribute coord_time79 real
 @attribute x80 real
 @attribute y80 real
 @attribute coord_time80 real
 @attribute x81 real
 @attribute y81 real
 @attribute coord_time81 real
 @attribute x82 real
 @attribute y82 real
 @attribute coord_time82 real
 @attribute x83 real
 @attribute y83 real
 @attribute coord_time83 real
 @attribute x84 real
 @attribute y84 real
 @attribute coord_time84 real
 @attribute x85 real
 @attribute y85 real
 @attribute coord_time85 real
 @attribute x86 real
 @attribute y86 real
 @attribute coord_time86 real
 @attribute x87 real
 @attribute y87 real
 @attribute coord_time87 real
 @attribute x88 real
 @attribute y88 real
 @attribute coord_time88 real
 @attribute x89 real
 @attribute y89 real
 @attribute coord_time89 real
 @attribute x90 real
 @attribute y90 real
 @attribute coord_time90 real
 @attribute x91 real
 @attribute y91 real
 @attribute coord_time91 real
 @attribute x92 real
 @attribute y92 real
 @attribute coord_time92 real
 @attribute x93 real
 @attribute y93 real
 @attribute coord_time93 real
 @attribute x94 real
 @attribute y94 real
 @attribute coord_time94 real
 @attribute x95 real
 @attribute y95 real
 @attribute coord_time95 real
 @attribute x96 real
 @attribute y96 real
 @attribute coord_time96 real
 @attribute x97 real
 @attribute y97 real
 @attribute coord_time97 real
 @attribute x98 real
 @attribute y98 real
 @attribute coord_time98 real
 @attribute x99 real
 @attribute y99 real
 @attribute coord_time99 real
 @attribute x100 real
 @attribute y100 real
 @attribute coord_time100 real
@attribute cant_ptos numeric
@attribute total_time real
@attribute usuario {MCPP,JCCCH,jofl,MAUC,MNPB,LJLE,CACA,IJPDP,ENPR,APTP,JACCH,WJRT,LEPD,LSCC,PAPR,IVCCH,MACCH,JLAP,AEAP,SLAP,JAGR,MICHC,MLCHC,YACP,ASYC,LMCHG,NFVG,MJHP,MCPR,LEPP}
@data
496,403,0,467.483,405.037,0.02,440.56,406.247,0.015,414.526,406,0.016,391.219,406,0.017,368.813,406,0.016,345.661,406,0.016,323.829,406.851,0.017,280.103,409.921,0.017,257.156,411.092,0.016,239.599,414.638,0.018,220.327,416.667,0.033,209.414,417.917,0.021,199.944,419,0.006,195.595,419.702,0.023,194,420.5,0.02,195,423.064,0.017,196.182,427.726,0.019,196.306,434.834,0.017,196.57,442.009,0.019,195.451,450.944,0.017,195,463.053,0.019,194.21,474.111,0.023,193.086,484.229,0.024,191.847,506.227,0.029,193,527.136,0.021,193,535.119,0.012,194.276,542.465,0.021,197.272,549.545,0.02,199.767,555.417,0.015,204.027,560.013,0.03,210.751,563.25,0.016,234.889,566,0.029,277.862,565.397,0.015,300.391,564.267,0.017,324.699,563.15,0.017,345.527,562.026,0.017,371.069,562,0.017,396.9,562,0.017,416.056,562,0.017,440.565,564.911,0.017,459.107,565.579,0.015,476.93,566.702,0.017,489.387,567.821,0.017,495.706,568.941,0.017,499.185,569,0.033,502,572,0.018,499.787,573.426,0.017,497.905,576.095,0.016,497.671,580.355,0.016,497.21,586.741,0.017,497,592.562,0.017,495.967,599.198,0.016,496,607.074,0.017,497.272,618.718,0.018,498.398,627.184,0.017,499.035,637.177,0.016,501.278,648.391,0.017,502.761,657.324,0.016,503.882,666.938,0.016,506.001,677.003,0.017,507.123,684.861,0.017,507,688.975,0.018,507,693.458,0.017,502.539,697.948,0.016,501.788,698.606,0.016,498.813,700.458,0.017,494.604,701,0.016,489.141,703.915,0.017,477.008,705.09,0.017,461.087,706.208,0.017,444.016,704.668,0.018,424.225,703.543,0.016,406.205,701.848,0.016,387.153,700.303,0.016,368.094,700,0.017,347.12,700,0.017,324.852,701.057,0.017,301.163,702.183,0.016,273.664,704.611,0.018,252.561,708.266,0.017,232.165,709.546,0.017,215.302,711.338,0.015,199.178,712.788,0.017,188.717,714.821,0.017,181.827,716.029,0.017,177.393,716,0.067,181.915,716.638,0.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,1687,MCPP
508,408,0,469.607,409,0.017,450.41,409,0.017,432.528,409,0.017,412.129,409,0.018,393.293,407.664,0.017,373.268,408,0.016,338.099,408,0.016,306.666,408,0.016,281.302,408,0.027,258.099,408,0.012,239.982,409.064,0.012,218.457,410.186,0.018,205.077,411.302,0.017,191.435,413.855,0.017,185.798,416.101,0.016,184,418.342,0.015,184,421.377,0.017,184,424.743,0.017,185.035,431.211,0.017,186.153,436.765,0.018,188.549,443.646,0.017,189.794,452.368,0.016,191,464.198,0.017,191,474.113,0.015,191,484.626,0.022,191,496.702,0.02,190,505.036,0.017,190.25,514.124,0.023,192,523.962,0.018,192.364,531.457,0.016,195.826,542.043,0.015,199.922,547.652,0.017,204.404,552.404,0.017,210.843,556.895,0.016,218.645,560.277,0.017,237.402,562.425,0.017,256.673,563.334,0.018,287.408,561.544,0.017,310.5,560.5,0.016,340.094,559.3,0.016,367.51,558.18,0.017,396.521,557.057,0.017,419.231,557,0.017,440.458,557,0.017,459.152,558.303,0.023,470.133,558.428,0.019,481.387,559.548,0.018,487.679,560.67,0.019,491.369,561.79,0.015,492.914,563.829,0.017,493.516,565.032,0.017,494,566.456,0.018,494,569.821,0.016,494.79,573.58,0.017,497.034,579.617,0.02,498.637,587.46,0.016,500.521,594.564,0.016,501.88,603.04,0.017,503.997,613.983,0.018,504,625.226,0.016,504,636.653,0.019,504,648.61,0.018,505,669.065,0.017,505,678.827,0.016,505,686.094,0.017,505,692.83,0.025,502.729,698.451,0.019,499.367,703.633,0.017,495.671,707.329,0.022,490.262,711.369,0.022,468.241,716.697,0.021,455.016,717,0.019,435.123,717.941,0.017,416.522,716.938,0.017,389.814,715.818,0.033,337.981,713.583,0.011,312.483,713,0.012,286.926,713,0.016,262.416,713.79,0.016,241.614,714,0.019,219.38,715.031,0.015,201.578,713.849,0.023,188.35,715.275,0.019,182.012,716.398,0.019,177.964,717,0.02,176,717,0.119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,1622,MCPP
497,406,0,469.33,404.936,0.018,434.821,405,0.016,410.451,405,0.016,387.722,405,0.017,365.299,405,0.017,341.833,405,0.016,319.483,405,0.019,267.235,406.297,0.016,255.711,406.419,0.017,238.882,407,0.016,223.426,407.66,0.016,212.735,408.783,0.017,204.669,409.904,0.017,197.851,412.05,0.016,196.854,414.291,0.018,195.732,416.536,0.017,196,420.167,0.017,196,427.581,0.017,196,435.417,0.015,195.244,441.78,0.015,194.122,450.023,0.017,194,459.948,0.016,192.881,470.073,0.024,193,477.66,0.011,191.642,486.866,0.018,192,497.301,0.016,190.399,504.605,0.022,190,512.07,0.011,190,520.746,0.017,190,528.759,0.016,191.08,533.318,0.017,193.411,537.821,0.022,195.65,542.299,0.014,202.002,546.602,0.015,206,549.5,0.016,214.823,554.067,0.015,227.559,555.812,0.018,244.053,556.937,0.017,262.726,557,0.017,283.075,555.829,0.021,304.425,554.714,0.016,324.448,555,0.013,345.5,555,0.018,366.735,554.652,0.018,388.59,555,0.018,406.096,555,0.015,427.366,555,0.015,444.018,555,0.016,458.463,557.533,0.018,471.711,557,0.017,483.085,559.511,0.016,490.789,560.631,0.016,495.26,561.753,0.016,497.744,562.872,0.017,499,563.5,0.017,498,566.169,0.032,496.821,570.717,0.018,497,574.434,0.017,497,579,0.018,498.722,589.056,0.015,499,595.206,0.019,499.95,601.7,0.017,502.088,610.354,0.016,503.2,620.803,0.016,504.315,626.892,0.021,505.441,635.086,0.013,505,642.5,0.02,505,649.97,0.021,505,655.909,0.017,504.101,660.595,0.012,502.956,666.222,0.012,500.673,670.654,0.017,499.713,673.862,0.018,497.164,678.672,0.016,495,680,0.019,491.384,682.308,0.021,486.208,684.517,0.011,475.229,685.888,0.015,461.873,688.021,0.017,447.176,689.14,0.024,428.176,689,0.019,412.166,689,0.013,392.144,689,0.014,376,689,0.015,352.085,689,0.02,332.283,689.866,0.012,309.207,690.99,0.018,290.116,692.111,0.024,268.707,693.226,0.033,234.328,695.445,0.016,220.886,696.568,0.012,212.084,697.702,0.015,204.166,698.833,0.016,199.163,699.959,0.018,195.786,698.929,0.051,201.691,699,0.14,0,0,0,0,0,0,0,0,0,97,1797,MCPP
495,410,0,456.022,409,0.017,437.079,409,0.018,416.777,409,0.017,399.432,409,0.017,379.92,409,0.016,360.202,409,0.016,319.882,409.775,0.016,291.14,410.898,0.017,269.683,412.017,0.017,249.527,413.137,0.017,235.652,414.258,0.018,219.659,414,0.016,212.483,415.502,0.017,204.632,417.248,0.016,199.766,418.745,0.016,198.135,420.731,0.027,198,422.972,0.016,198.106,426.53,0.015,199.224,432.345,0.018,200,439.092,0.017,200.944,446.774,0.012,202,456.901,0.013,202,467.421,0.016,202,477.482,0.025,201.045,487.598,0.012,199.924,497.684,0.012,197.603,506.59,0.016,196.683,514.217,0.026,197.558,525.535,0.012,197.566,532.828,0.014,198,539.104,0.016,200.407,545.012,0.017,201.925,549.699,0.016,205.13,553.13,0.017,208.505,556.505,0.017,213.155,558.577,0.018,220.451,559.409,0.017,238.967,559,0.016,259.027,557.697,0.016,281.467,555.453,0.016,307.505,552.312,0.017,333.384,549.967,0.017,357.965,548.865,0.017,380.068,549,0.018,405.365,550.38,0.016,420.006,551,0.017,437.292,551.62,0.016,453.412,552,0.016,468.204,552.862,0.017,482.792,553.984,0.018,491.837,555.105,0.015,497.137,557.455,0.018,502.74,558.348,0.017,503.929,559.465,0.016,503,562,0.032,503,564.804,0.033,502.924,572.304,0.018,503,579.163,0.017,503,588.544,0.018,504.437,596.06,0.017,505.557,607.133,0.016,507.361,618.807,0.016,509.604,629.218,0.016,511.853,640.266,0.017,514.086,652.475,0.017,516.327,660.145,0.016,517.287,669.298,0.019,518.409,679.685,0.017,518,686.5,0.016,517.351,689.948,0.015,516.231,694.077,0.017,515.108,697.676,0.017,512.975,700.025,0.017,510.729,701.135,0.016,507.232,703.512,0.017,499.745,705.752,0.019,487.027,707.995,0.016,471.768,708.615,0.015,455.646,708.26,0.018,435.635,708,0.016,416.306,707.018,0.017,392.893,705.9,0.016,370.484,704.774,0.017,346.793,705,0.018,324.668,705,0.017,296.693,707.172,0.023,273.073,709.422,0.01,251.244,710.829,0.016,233.76,711.949,0.017,219.091,713.07,0.018,209.245,714.195,0.016,199.306,712.701,0.018,194.828,714.435,0.015,192.5,715.5,0.033,191.464,715,0.033,196.091,714,0.1,0,0,0,0,0,0,0,0,0,97,1755,MCPP
492,406,0,460.586,407.047,0.017,429.85,408,0.013,408.739,407.374,0.015,388.787,407,0.016,368.711,406.095,0.017,348.478,406,0.019,326.055,406,0.019,276.483,407.25,0.012,262.317,408.371,0.024,240.5,408,0.014,228.675,408,0.012,217.226,408,0.017,209.906,408,0.017,206.055,408,0.016,204.5,408,0.02,203.755,410.245,0.032,204,413.692,0.023,200.408,421.55,0.012,197.914,429.564,0.016,196.163,437.857,0.017,194.145,445.493,0.014,192.923,454.616,0.024,193,467.032,0.016,191.732,473.878,0.012,190.563,483.496,0.018,189.5,493.5,0.014,190,503.034,0.02,189.235,509.591,0.014,189,517.643,0.019,190.022,525.156,0.014,191.139,530.694,0.017,191,533.895,0.022,193.757,538.514,0.013,196.542,541.542,0.015,199.5,544.5,0.017,208.408,547.545,0.016,215.188,549.729,0.017,225.04,551.004,0.018,243.101,551,0.021,259.439,551,0.014,282.048,549.629,0.018,300.305,550,0.015,320.872,550.594,0.017,339.926,551.728,0.016,361.596,552,0.018,381.604,552.977,0.017,401.57,553,0.023,419.212,554.201,0.018,437.284,555.33,0.011,453.56,556,0.012,466.4,556.582,0.018,478.03,557.703,0.022,485.114,558.823,0.027,487.837,559.919,0.014,489.046,561.046,0.011,490,562.349,0.015,490,564.622,0.029,491.269,567.806,0.014,491,571.5,0.016,491,576.853,0.019,491.916,585.328,0.015,492,593.259,0.018,492,600.055,0.016,493.266,609.124,0.02,494.395,620.95,0.03,494,627.482,0.019,495,646.243,0.017,495,655.087,0.017,495.982,661.893,0.016,496,668.631,0.018,496,677.812,0.018,495.637,683.452,0.017,494.506,687.483,0.018,493.43,690.711,0.013,492.271,694.188,0.018,490.277,697.585,0.016,488.103,699.897,0.021,484.703,702.198,0.032,478.294,704.64,0.02,457.019,708.906,0.016,441.149,710,0.011,424.215,710.699,0.023,405.025,710.212,0.013,385.507,709.089,0.016,367.022,709,0.019,349.472,709.181,0.011,333.914,710.292,0.029,313.289,711.839,0.025,292.464,714.099,0.011,270.957,715.669,0.021,230.677,717.907,0.013,215.595,719.031,0.017,203.279,720.156,0.017,192.267,721.273,0.02,188.039,721,0.022,187,721,0.041,195.417,719.117,0.138,0,0,0,0,0,0,98,1855,MCPP
490,411,0,418.716,411,0.018,383.076,411,0.017,347.706,411,0.016,292.815,413,0.016,258.367,413,0.018,233.652,414,0.016,218.294,415.677,0.016,212.163,418.837,0.016,208.84,422.32,0.016,206.598,432.01,0.017,206,442.223,0.016,205.114,458.088,0.017,205,475.902,0.021,203,495.348,0.017,204,510.285,0.015,205.859,527.015,0.017,207,537.494,0.017,209.337,545.349,0.017,214.746,550.164,0.016,226.615,554.827,0.017,252.745,556,0.017,284.95,553.392,0.02,324.377,552,0.008,364.106,552,0.017,403.595,554.07,0.016,442.724,555.278,0.018,476,556,0.016,491.294,558.765,0.017,495,562,0.017,492.816,566.553,0.019,493,575.063,0.015,493.853,590.974,0.016,495.096,606.772,0.017,496,627.696,0.018,497.581,647.811,0.016,497,664.745,0.016,495.936,682.446,0.017,495,692.226,0.018,494,699.5,0.016,492.732,702.536,0.034,487.447,701.724,0.018,458.5,702,0.017,425.344,698.239,0.017,384.925,698.004,0.016,339.839,697,0.017,296.217,698,0.017,251.862,700,0.017,217.34,702.974,0.017,194.064,706.215,0.017,189.097,707.452,0.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,1855,MCPP
501,407,0,439.098,407.455,0.013,399.301,406.194,0.027,363.506,405,0.015,301.415,405,0.018,263.531,405.477,0.009,227.56,405,0.018,205.863,405,0.017,196.235,406.255,0.03,197,416.633,0.02,199.988,432.903,0.016,200,452.019,0.022,198.55,475.046,0.011,197.284,498.448,0.018,195.059,517.467,0.014,193.806,533.971,0.013,195.438,545.189,0.018,200.322,552.322,0.019,207.616,556.847,0.015,223.484,556.814,0.02,259.294,555.58,0.016,304.067,551.347,0.018,348.011,549,0.016,396.118,548,0.021,434.985,548.349,0.015,466.623,548.616,0.019,489.057,549.843,0.026,496.196,552.098,0.026,495.532,556.935,0.036,493,563.817,0.02,493,575.002,0.01,494.442,593.979,0.017,494.685,606.793,0.015,495.933,623.598,0.017,496,638.217,0.016,496,654.505,0.017,495.341,665.294,0.017,493.098,675.511,0.015,489.718,682.424,0.016,483.843,686.771,0.017,470.001,688.625,0.016,449.433,691.87,0.017,419.784,693.111,0.016,387.75,693,0.018,357.664,694.595,0.016,322.896,696.839,0.017,284.481,699.08,0.016,248.49,701.324,0.018,223.775,705.566,0.017,198.298,708.809,0.017,182.703,710.049,0.017,172.835,708.709,0.065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,1984,MCPP
505,404,0,484.805,402.99,0.012,463.423,403,0.009,442.557,401.642,0.016,423.792,400.517,0.025,402.773,401,0.013,382.131,401,0.014,357.627,401,0.019,308.571,402.893,0.017,276.846,404.041,0.014,252.386,405.164,0.016,234.661,406.334,0.023,216.451,407.472,0.012,212,408.5,0.016,208.679,408,0.017,207,408,0.037,209.013,410.026,0.03,207.865,414.539,0.025,205.166,421.084,0.015,202.987,431.56,0.01,201.36,440.478,0.019,199.464,450.678,0.013,198.106,463.723,0.018,196.967,473.265,0.016,195.861,484.395,0.026,196,497.762,0.014,195.632,507.309,0.012,194.502,517.485,0.021,195,528.268,0.019,195.718,536.023,0.024,196.835,543.01,0.016,200.798,549.697,0.01,205.297,555.371,0.013,211.111,559.889,0.014,216.645,561.658,0.022,229.965,563,0.02,246.445,563,0.017,267.335,562.317,0.01,290.382,561.181,0.017,314.321,560.032,0.019,335.806,558.96,0.011,359.066,557.797,0.016,380.029,558,0.023,404.426,558,0.017,419.97,559,0.012,440.22,559,0.015,457.205,559.8,0.018,474.673,560.917,0.02,487.403,562.037,0.022,493.746,564.249,0.019,496.507,565.507,0.023,498.762,567.762,0.019,498.59,571.769,0.014,499,575.187,0.02,500.665,580.163,0.017,501.975,585.876,0.015,502,591.765,0.016,500.765,597.173,0.019,499.607,604.355,0.021,500.046,615.295,0.016,499,624.092,0.012,498.284,632.732,0.019,497.179,643.214,0.012,496.033,652.733,0.02,496,659.542,0.015,494.767,668.86,0.016,493.661,676.374,0.018,494,684.217,0.023,492.439,687.682,0.012,490.624,691.064,0.017,487.547,694.453,0.017,484.272,696.818,0.014,477.644,699.119,0.015,466.095,701.381,0.017,454.813,704.956,0.019,432.2,704,0.016,416,702.5,0.017,391.445,701.358,0.015,370.685,698.614,0.021,350.159,697.114,0.016,329.032,696.002,0.029,303.394,696,0.023,255.653,697,0.014,233.643,697,0.014,214.51,697,0.021,196.491,697,0.02,185.247,697,0.013,176.047,697,0.013,169.301,698.116,0.016,166.238,698,0.039,169.469,698,0.02,175.745,699.582,0.118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,1704,MCPP
501,404,0,448.165,409.755,0.015,410.819,412.011,0.016,370.429,412,0.022,302.629,412,0.011,257.649,411,0.015,222.541,410.036,0.018,196.419,411,0.017,187.612,413.463,0.034,188.837,421.348,0.017,190.078,436.625,0.017,191,450.222,0.017,191,470.976,0.013,191.797,489.967,0.015,192,505.273,0.017,192,521.002,0.018,193,532.581,0.016,195.772,538.544,0.017,201.038,542.013,0.017,208.76,544.253,0.017,220.487,544,0.016,254.109,545,0.017,294.676,545,0.017,336.406,545,0.017,378.272,546.464,0.017,416.069,546.71,0.017,450.298,547.953,0.016,475.092,549.19,0.017,487.732,550.433,0.015,489.339,553.677,0.015,488.979,558.062,0.032,489,563.805,0.016,490.645,578.162,0.017,492.888,595.329,0.017,493,614.181,0.016,494,631.603,0.018,495,652.303,0.016,494,668.858,0.017,492.902,683.492,0.016,491.657,691.028,0.018,490.418,696.165,0.016,482.255,698,0.018,452.361,700.189,0.02,409.643,697.134,0.017,359.578,697.671,0.016,313.01,697.913,0.017,270.041,701.156,0.017,235.811,707.197,0.018,207.622,710,0.016,194.355,712,0.017,196.164,712,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,1854,MCPP
492,403,0,445.969,405.212,0.017,412.124,405,0.017,376.771,404.298,0.017,319.088,404,0.017,278.368,404,0.017,244.202,404,0.017,221.631,404.671,0.012,208.438,405.912,0.017,204.862,408.277,0.034,208,416.199,0.016,209,431.013,0.017,209,448.101,0.011,207.631,471.056,0.018,207.389,490.721,0.016,207,508.972,0.016,206,525.755,0.017,207.336,536.343,0.017,209.578,543.735,0.016,214.462,548.642,0.017,228.534,553.119,0.017,260.242,551.697,0.018,306.474,550,0.019,352.593,550.58,0.014,394.621,554.031,0.017,432.163,557.272,0.024,461.65,557,0.02,483.527,558,0.009,490.983,559.994,0.016,494.356,561.119,0.033,496,567.45,0.018,495.03,574.879,0.017,496,590.477,0.016,495,606.172,0.028,495.927,644.271,0.017,496,660.055,0.017,496,675.937,0.017,495.337,687.652,0.017,493.096,694.713,0.017,487.464,699.268,0.017,470.5,701.5,0.017,444.488,699,0.017,414.081,697,0.017,381.667,696,0.017,345.434,697.473,0.017,304.25,698.717,0.017,266.484,700.965,0.016,236.764,704.406,0.016,211.559,707.444,0.017,194.556,709,0.017,190,709,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,1884,MCPP
